song_name,href,lyric,artist
วันที่เธอต้องไป,/music/thailyric/12542,"เคยเป็นคนที่เข้มแข็ง
อะไรก็เจอมาหมดแล้ว
มั่นใจตัวเองว่าไม่เสียใจ
เคยผิดหวังมากี่ครั้ง
ก็ทนมาได้ทุกๆ ครั้ง
ยิ่งทำให้ตัวฉันมั่นใจ

ถ้าวันหนึ่งเธอต้องไป
จะไม่มีน้ำตา
เพราะรู้ดีมันคงไม่ต่างกันเท่าไร
แต่แล้ววันที่เธอต้องไป
ทำไมไม่เหมือนเดิม
ฉันก็ไม่เข้าใจเพราะอะไร

อาจเป็นเพราะรักเธอมากกว่าที่คิด
เป็นเพราะฉันไม่เคยจะรักใคร
อย่างที่ฉันรักเธอ
จึงทำให้เป็นคนอ่อนแออย่างนี้

พยายามตั้งกี่ครั้งไม่เคยลืมเธอได้สักครั้ง
กลับจำทุกคำที่ฉันพูดไป

ว่าวันที่เธอต้องไป
จะไม่มีน้ำตา
เพราะรู้ดีมันคงไม่ต่างกันเท่าไร
แล้ววันที่เธอต้องไปทำไมไม่เหมือนเดิม
ฉันก็ไม่เข้าใจเพราะอะไร

อาจเป็นเพราะรักเธอมากกว่าที่คิด
เป็นเพราะฉันไม่เคยจะรักใคร
อย่างที่ฉันรักเธอ
จึงทำให้เป็นคนอ่อนแออย่างนี้

อาจเป็นเพราะรักเธอมากแต่ไม่เคยรู้
เป็นเพราะฉันไม่เคยจะรักใคร
อย่างที่ฉันรักเธอ
จึงต้องกลายเป็นคนอ่อนแออย่างนี้

อาจเป็นเพราะรักเธอมากกว่าที่คิด
เป็นเพราะฉันไม่เคยจะรักใคร
อย่างที่ฉันรักเธอ
จึงทำให้เป็นคนอ่อนแออย่างนี้

อาจเป็นเพราะรักเธอมากแต่ไม่เคยจะรู้
เป็นเพราะฉันไม่เคยจะรักใคร
อย่างที่ฉันรักเธอ
จึงต้องกลายเป็นคนอ่อนแออย่างนี้

เคยเป็นคนที่เข้มแข็ง 
อะไรก็เจอมาหมดแล้ว
เคยเป็นคนที่เข้มแข็ง และไม่เสียใจ (เสียใจ)
เคยเป็นคนที่เข้มแข็ง 
อะไรก็เจอมาหมดแล้ว
เคยเป็นคนที่เข้มแข็ง",zom_marie
10 A.M. (สิบโมงเช้า),/music/thailyric/23003,"เธอจะรู้รึเปล่า ว่าในทุกๆ เช้า ฉันจะคิดถึงใคร
ที่ฝันถึงทุกคืน ที่อยากเจอทุกวัน คือเธอรู้ไหม
แต่วันนี้ไม่คุ้นเลย เมื่อฉันได้พบเธอ ที่ดูไม่สดใส
และทำได้แค่เฝ้าดู ทำได้แค่เป็นห่วง อยู่ตรงนี้ใกล้ ๆ

ถัาในทุกค่ำคืน หัวใจของเธอเงียบเหงา
ไม่มีคนเคียงกาย มองฟ้าช่างดูเศร้าๆ
ฉันขอเธอได้ไหม ถ้าเธอไม่มีใคร
ให้คิดถึงฉันในทุกเช้า

10 โมงเช้า ฉันอยากมาเจอเธอทุกวัน
ให้ฉันดูแลเธอทุกวัน
10 โมงเช้า ฉันนั้นจะเจอเธอทุกวัน
จะเป็นอย่างนี้ทุกๆ วัน

10 โมงเช้า ฉันอยากมาเจอเธอทุกวัน
ให้ฉันดูแลเธอทุกวัน
10 โมงเช้า ฉันนั้นจะเจอเธอทุกวัน
จะเป็นอย่างนี้ทุกๆ วัน

ให้ฉันดูแลเธอทุกวัน

มีความรักของฉัน ที่ให้เธอทุกวัน
เป็นภูมิคุ้มกัน
รอยยิ้มที่หายไป จะคืนกลับมาใหม่
และเก็บไว้ในใจฉัน

ถัาในทุกค่ำคืน หัวใจของเธอเงียบเหงา
ไม่มีคนเคียงกาย มองฟ้าช่างดูเศร้าๆ
ฉันขอเธอได้ไหม ถ้าเธอไม่มีใคร
ให้คิดถึงฉันในทุกเช้า

10 โมงเช้า ฉันอยากมาเจอเธอทุกวัน
ให้ฉันดูแลเธอทุกวัน
10 โมงเช้า ฉันนั้นจะเจอเธอทุกวัน
จะเป็นอย่างนี้ทุกๆ วัน

10 โมงเช้า ฉันอยากมาเจอเธอทุกวัน
ให้ฉันดูแลเธอทุกวัน
10 โมงเช้า ฉันนั้นจะเจอเธอทุกวัน
จะเป็นอย่างนี้ทุกๆ วัน

ให้ฉันดูแลเธอทุกวัน

10 โมงเช้า ฉันอยากมาเจอเธอทุกวัน
ให้ฉันดูแลเธอทุกวัน
10 โมงเช้า ฉันนั้นจะเจอเธอทุกวัน
จะเป็นอย่างนี้ทุกๆ วัน

10 โมงเช้า ฉันอยากมาเจอเธอทุกวัน
ให้ฉันดูแลเธอทุกวัน
10 โมงเช้า ฉันนั้นจะเจอเธอทุกวัน
จะเป็นอย่างนี้ทุกๆ วัน

ให้ฉันดูแลเธอทุกวัน

ให้ฉันดูแลเธอทุกวัน

เพราะฉันคิดถึงเธอทุกวัน",zom_marie
Blush,/music/thailyric/20459,"Hush it
You're saying all the words that I don't wanna hear
My friends say you're just playing and should disappear
But I don't care

You know I crush it
I wear my lipstick just for coffee cause you love it
Stop playing dumb before you push it
Push it push it push it push me away

Won't you make me Blush
And show me what you really got
It could never be too much
Too much of you is never enough

Won't you make me blush
I'm getting tired of chasing you down
Before you push it push it push it push it push me away
Won't you make me blush

I can give you all the signs but can't take you there
If I call you, would you ride with me anywhere
Just like that

I don't even care about your sports car
Or how you comb your hair like a rockstar
All this time there's been so many chances

Won't you make me blush
And show me what you really got
It could never be too much
Too much of you is never enough

Won't you make me blush
I'm getting tired of chasing you down
Before you push it push it push it push it push me away
Won't you make me blush

Make me blush make me blush
Make me blush make me blush
Make me blush make me blush

If you don't know it by now
I'll be seeing you around someday
You could be the first one I call
We could really have it all

Won't you make me

Make me blush make me blush
Make me blush make me blush
Make me blush make me blush

Won't you make me blush
And show me what you really got
It could never be too much
Too much of you is never enough

Won't you make me blush
I'm getting tired of chasing you down
Before you push it push it push it push it push me away
Won't you make me blush",zom_marie
Bubble,/music/thailyric/19265,"I know you should be leaving.
But we got everything we need right here
I love the sound of your heart beating.
And your fingers running through my hair

Painting pictures in the stars from the balcony
It's like this perfect moment was made for me
You ask me to dance but just keep it slow
Cause I don't want this night to end no

In our perfect little Bubble
Our perfect little bubble
Our perfect little bubble oh yeah
Our perfect little bubble bubble bubble

Outside there could be trouble
But here it's always sunny side up.
Let's stay underneath the covers
Talking nothin but stupid stuff

Painting pictures in the stars from the balcony
It's like this perfect moment was made for me
I lean into whisper you don't have to go
Cause I don't want the world to know

Bout our Perfect little bubble
Our perfect little bubble
Our perfect little bubble oh yeah
Our perfect little bubble bubble bubble

In our perfect little bubble
Our perfect little bubble
Our perfect little bubble oh yeah
Our perfect little bubble bubble bubble

This is more than enough
You and me just two of us yeah
Ooh this is more than enough yeah
You and me
In this perfect little bubble

In our perfect little bubble
Our perfect little bubble oh yeah
Our perfect little bubble",zom_marie
Can't You See,/music/thailyric/18626,"เหนื่อยและล้าเต็มทีในโลกที่เดียวดาย
หรือความรักไม่ได้มีไว้สำหรับฉัน
เมื่อไรที่เหมือนจะเจอคนเดียวที่ฉันต้องการ
กลับต้องเหลือเพียงแค่ความเสียใจ

เธอคือคนเดียวที่เป็นความหวัง
ทำให้ฉันคิดไปไกลอย่างนั้น
เป็นดังฝันที่ฉันไม่อยากตื่นมาพบความจริง
แต่บางครั้งเหมือนไม่คิดอะไร
แววตาคู่นั้นไม่ได้มีฉันข้างใน

Can't You See เธอรู้อะไรบ้างไหม
Can't you see คนๆ นี้ไม่เหลือน้ำตาพอให้ไหล
ถ้าเธอนั้นพอเข้าใจ
อย่าทำร้ายกันอีกเลยได้ไหม

Can't you see คำว่ารักที่ซ่อนเอาไว้
ถ้าเธอรู้ฉันรักเธอมากแค่ไหน
โปรดจับมือฉันไว้ โอบกอดฉันไว้ได้หรือเปล่า

ความเจ็บที่หวังจะลืมทุกสิ่งที่ต้องเผชิญ
อยากให้เป็นเธอที่พาฉันเดินข้ามไป
อย่าปล่อยฉันไว้ลำพังกลับสู่โลกที่เดียวดาย
อย่าให้ฉันต้องเจ็บอีกครั้งเลย

เธอคือคนเดียวที่เป็นความหวัง
ทำให้ฉันคิดไปไกลอย่างนั้น
เป็นดังฝันที่ฉันไม่อยากตื่นมาพบความจริง
แต่บางครั้งเหมือนไม่คิดอะไร
แววตาคู่นั้นไม่ได้มีฉันข้างใน

Can't you see เธอรู้อะไรบ้างไหม
Can't you see คนคนนี้ไม่เหลือน้ำตาพอให้ไหล
ถ้าเธอนั้นพอเข้าใจ
อย่าทำร้ายกันอีกเลยได้ไหม

Can't you see คำว่ารักที่ซ่อนเอาไว้
ถ้าเธอรู้ฉันรักเธอมากแค่ไหน
โปรดจับมือฉันไว้ โอบกอดฉันไว้ได้หรือเปล่า

Can't you see เธอรู้อะไรบ้างไหม
Can't you see คนคนนี้ไม่เหลือน้ำตาพอให้ไหล
ถ้าเธอนั้นพอเข้าใจ
อย่าทำร้ายกันอีกเลยได้ไหม

Can't you see คำว่ารักที่ซ่อนเอาไว้
ถ้าเธอรู้ฉันรักเธอมากแค่ไหน
โปรดจับมือฉันไว้ โอบกอดฉันไว้
ได้หรือเปล่า",zom_marie
Just Wanna Be With You,/music/thailyric/23331,"เก็บบางอย่างในใจ ไม่ให้เธอได้รู้
แอบมองเธอไกลๆ ต้องคอยหนีคอยหลบสายตา
ก็ยังกลัวว่าเธอจะดูออก ไม่กล้าเผยความจริงให้เธอได้รู้ไป

แกล้งทำเป็นรู้สึกเย็นชา ทั้งที่ใจอ้างว้าง
และต้องการให้เพียงมีใครอยู่ข้างๆ
หัวใจต้องการเปิดประตู ให้เธอเดินเข้ามา
อยากให้เธอเข้าใจให้เธอได้รู้ว่า

อยากจะมีแค่เธอเท่านั้น เพียงแค่เธอเท่านั้น
เสียงข้างในของฉัน บอกว่ารักเธอจนหมดใจ
ยิ่งฝืนไม่ให้หวั่นไหว ก็ยิ่งแพ้เธอหมดทุกๆทาง
จะได้ไหมให้ฉันมีเธออยู่ข้างๆ Just Wanna Be With You

หากไม่บอกเธอไป และต้องทนเก็บไว้
คงอึดอัดในใจ คำว่ารักคงรอไม่ได้อีก
ก็มันค่อยๆ มากขึ้นทุกที
จนอยากเผยความจริงให้เธอได้รู้ไป

แกล้งทำเป็นรู้สึกเย็นชา ทั้งที่ใจอ้างว้าง
และต้องการให้เพียงมีใครอยู่ข้างๆ
หัวใจต้องการเปิดประตู ให้เธอเดินเข้ามา
อยากให้เธอเข้าใจให้เธอได้รู้ว่า

อยากจะมีแค่เธอเท่านั้น เพียงแค่เธอเท่านั้น
เสียงข้างในของฉัน บอกว่ารักเธอจนหมดใจ
ยิ่งฝืนไม่ให้หวั่นไหว ก็ยิ่งแพ้เธอหมดทุกๆทาง
จะได้ไหมให้ฉันมีเธออยู่ข้างๆ Just wanna be with you

พอได้แล้วกับใจที่ดื้อรั้น
เผยความจริงที่เก็บเอาไว้ ว่ารักเธอ

อยากจะมีแค่เธอเท่านั้น เพียงแค่เธอเท่านั้น
เสียงข้างในของฉัน บอกว่ารักเธอจนหมดใจ
ยิ่งฝืนไม่ให้หวั่นไหว ก็ยิ่งแพ้เธอหมดทุกๆ ทาง
จะได้ไหมให้ฉันมีเธออยู่ข้างๆ Just wanna be with you",zom_marie
Still Talking,/music/thailyric/21655,"I still hear the stories yeah they keep me awake at night
I still have the notebook lying next to the bedroom light
I can't get over I'm only human
I'm Still Talking still talking to you

I hope that you can hear all these words
That I never got to say
Is it me or do I see you some days
I look up every night to the sky
But I get lost in the blue
I'm still talking, talking to you
I'm still talking still talking to you

Still remember your number yeah I know it all off by heart
I still play your records but they sound different now we're apart
I can't get over I'm only human
I'm still talking still talking to you

I hope that you can hear all these words
That I never got to say
Is it me or do I see you some days
I look up every night to the sky
Oh I hope you like the view
I'm still talking talking to you
I'm still talking talking to you oh

I'm still talking still talking to you

I remember the stories
Yeah they keep me awake at night
I still have the notebook
Lying next to my bedroom light
I can't get over",zom_marie
Wink,/music/thailyric/18339,"มันงงๆ เมื่อกี้ยังเต้นถี่
เคยกุมๆ มันไว้ได้ทุกที
แต่ว่าคราวนี้ หัวใจหลุดลอยแล้วดูซิ
มีอาการจากวันที่พบเธอ
อยากจะบอกว่ามันเวินเวอร์
วุ่นวายซะจนเพ้อ
ห้ามแล้วแต่ใจก็ยังเผลอ

คิดถึงเธอ แต่ไม่รู้ถึงเธอไหม
คิดแล้วกลุ้มใจ เป็นอะไรไม่รู้

เห็นใจฉันไหม ใจฉันหาย
แบบว่าหาเท่าไรไม่เห็น
แค่เธอจ้องตา ก็เป็น
Wink a Wink a Wink ตลอด
หัวใจที่หวง วันนี้หาย
เธอเห็นไหมถามหน่อยอยากรู้
อยากจะให้เธอ น่าดู
Wink a Wink a Wink
ไปจอดที่ไหนนะหัวใจ
อยู่ๆ ก็หายไป อยู่ไหนนะหัวใจ หายไป
หา หา หา ไม่เจอ

ใจหายไปอยู่ไหน
อยู่บนต้นไม้ อยู่บนเสาไฟ
อยู่ทะเลทราย หรืออยู่ข้างกาย
When you smile ใจมันละลาย
มันเกิดอาการ Wink Wink
ตาเป็นประกายปิ๊งๆ
ไอเราก็ยังซิงๆ
อยากจะขอแนบแอบอิง
ถามว่ารักเธอไหมยังไม่บอก
เดี๋ยวถ้าเผลอหลุดออกไปกลัวเธอจะไม่ตอบ
ความรักมันก็เหมือนข้อสอบ
ไม่ว่าจะตอบข้อไหนคำตอบก็คือเธอตลอด

คิดถึงเธอ แต่ไม่รู้ถึงเธอไหม
คิดแล้วกลุ้มใจ เป็นอะไรไม่รู้

เห็นใจฉันไหม ใจฉันหาย
แบบว่าหาเท่าไรไม่เห็น
แค่เธอจ้องตา ก็เป็น
Wink a Wink a Wink ตลอด
หัวใจที่หวง วันนี้หาย
เธอเห็นไหมถามหน่อยอยากรู้
อยากจะให้เธอ น่าดู
Wink a Wink a Wink
ไปจอดที่ไหนนะหัวใจ
อยู่ๆ ก็หายไป อยู่ไหนนะหัวใจ หายไป
หา หา หา ไม่เจอ

You นะ Look so fine
Why you look shy
ไม่ต้องเขินไม่ต้องอาย
I'm gonna make you smile
ส่งสายตาวิ้งวิ้ง
ยิงหัวใจแบบคิวปิด
เข้าใกล้มาอีกนิด
จะเอาหัวใจมาลิ้งค์ๆ
ที่บอกว่าเธอยังซิง
ก็แบบว่าอยากจะเปิดดู
อยากจะเปิดหัวใจ
แล้วชวนเธอมาเปิด Sing
อ่ะ Sing a Song
And sing along let's sing with me
อ่ะ แถมฟรีคบกันแบบ Long long
Together whatever whenever
wherever forever and ever
ใจเธอหายหาไม่เจอ
หาไม่เจอก็ไม่ต้องคิดแปลกใจ
ถึงไม่มีใครเห็นใจ
แต่ใจฉันอยู่ที่เธอ

เห็นใจฉันไหม ใจฉันหาย
แบบว่าหาเท่าไรไม่เห็น
แค่เธอจ้องตา ก็เป็น
Wink a Wink a Wink ตลอด
หัวใจที่หวง วันนี้หาย
เธอเห็นไหมถามหน่อยอยากรู้
อยากจะให้เธอ น่าดู
Wink a Wink a Wink
ไปจอดที่ไหนนะหัวใจ
อยู่ๆ ก็หายไป อยู่ไหนนะหัวใจ หายไป
หา หา หา ไม่เจอ

มันเกิดอาการ Wink Wink
ตาเป็นประกายปิ๊งๆ

ส่งยิ้มไปให้หัวใจมัน Wink Wink",zom_marie
กล่องสุ่ม,/music/thailyric/18362,"อีกแล้วที่ฉันได้พบเจอกล่อง ที่มันช่างดูดีอย่างนี้
สิ่งของที่มันอยู่ซ่อนข้างใน ฉันว่าคงจะเป็นของดี
ผูกโบว์และห่อกล่องด้วยสีทอง ทำไมช่างดูแพงแบบนี้
ยิ่งมองเท่าไรก็ยิ่งคันมือ อยากจะลองแกะดูสักที

แต่ว่าทุกครั้งที่ฉันลองเปิด
ใจฉันนั้นลุ้นสิ่งของข้างใน
และเมื่อฉันเห็นทีไร มันก็ไม่ใช่ที่ฝัน

สุ่มเปิดเจอแต่ความเหงา ไม่โชคดีอย่างใครเขา
ไม่มีดวงจะได้พบเจอ กับความรักที่เฝ้ารอ
สุ่มเปิดเจอแต่ความเหงา ไม่โชคดีอย่างใครเขา
เมื่อไรฉันจะได้พบเจอ กับความรักที่รอคอย
ก็อยากจะรู้มีจริงรึเปล่า

อยากวอนเวลาช่วยเล่าให้ฟัง ว่าจะเจออะไรพรุ่งนี้
จะได้รู้ว่ากล่องนี้ฉันควรเปิด หรือว่าควรจะโยนทิ้งไป

เพราะว่าทุกครั้งที่ฉันลองเปิด
ใจฉันนั้นลุ้นสิ่งของข้างใน
และเมื่อฉันเห็นทีไร มันก็ไม่ใช่ที่ฝัน

สุ่มเปิดเจอแต่ความเหงา ไม่โชคดีอย่างใครเขา
ไม่มีดวงจะได้พบเจอ กับความรักที่เฝ้ารอ
สุ่มเปิดเจอแต่ความเหงา ไม่โชคดีอย่างใครเขา
เมื่อไรฉันจะได้พบเจอ กับความรักที่รอคอย
ก็อยากจะรู้มีจริงรึเปล่า

ใจยังคงเฝ้ารอเจอคนในฝัน
คนที่จะรักกันจริงด้วยหัวใจ
ต่อให้วันนี้เธอจะอยู่ห่างไกล
ฉันเชื่อว่ายังมีแม้วันนี้

จะสุ่มเปิดเจอแต่ความเหงา ไม่โชคดีอย่างใครเขา
ไม่มีดวงจะได้พบเจอ กับความรักที่เฝ้ารอ
สุ่มเปิดเจอแต่ความเหงา ไม่โชคดีอย่างใครเขา
เมื่อไรฉันจะได้พบกับความรัก
ที่รอคอยอยากจะรู้มีจริงหรือเปล่า

อยากจะรู้มีจริงหรือเปล่า
สุ่มเปิดเจอแต่ความเหงา
ความรักที่ฉันเฝ้ารอ อยากจะรู้มีจริงหรือเปล่า",zom_marie
กาแฟ,/music/thailyric/10338,"จะตอนเช้า จะตอนสาย มันไม่หาย
ไม่รู้เป็นอะไร อาการแปลก
อดไม่ไหว ขาดไม่ได้ ต้องการเธอและมันมากขึ้นทุกที

ยังงงว่าฉันเองเป็นอะไร
วันเดียวที่ได้เจอกับเธอ ลา ลั้ล ลา

ตื่นตอนเช้าหัวใจก็เอาแต่เฝ้าคิดถึงเธอ
ได้แต่เพ้อแล้วภาวนา ข้างในหัวใจ
ขอให้เจอกัน ให้ได้พบกัน
ได้ไหมให้ใจเต้นแรงเหมือนวันก่อนนั้น No Ho

ยังงงว่าฉันเองเป็นอะไร
วันเดียวที่ได้เจอกับเธอ ลา ลั้ล ลา

ก็วันนั้นที่เธอได้หันมามองและยิ้มให้กัน
ทำให้ฉันแทบจะบ้าตาย หายใจไม่ทัน
มือไม้มันสั่น สั่นไปถึงใจ ก็รู้ได้เลยตอนนั้นว่าเธอคือ

เธอคือ
ทุกสิ่งที่ฉันเฝ้าตามหา ตลอดเวลาที่ผ่านมา
หากเพียงเธอหันมาสบตาเธอก็จะรู้ข้างใน
ว่าต้องการเธอมากเพียงไหน โปรดเถอะก่อนฉันจะขาดใจ
ช่วยบอกกับฉันทีได้ไหมว่าเธอก็คิดเหมือนกั­นกับฉัน กับฉัน

ตื่นตอนเช้าหัวใจก็เอาแต่เฝ้าคิดถึงเธอ
ได้แต่เพ้อแล้วภาวนา ข้างในหัวใจ
ขอให้เจอกัน ให้ได้พบกัน
ได้ไหมให้ใจเต้นแรงเหมือนวันก่อนนั้น

ก็วันนั้นที่เธอได้หันมามองและยิ้มให้กัน
ทำให้ฉันแทบจะบ้าตาย หายใจไม่ทัน
มือไม้มันสั่น สั่นไปถึงใจ ก็รู้ได้เลยตอนนั้นว่าเธอคือ
กาแฟ ของฉัน",zom_marie
