song_name,href,lyric,artist
ชุดวิวาห์ (Wedding Dress),/music/thailyric/10368,"เมื่อฉันได้พบกับเธอ ไม่เหมือนที่เจอกับใคร
ไม่รู้อะไรสะกดใจให้มองอยู่อย่างนั้น
ทุกครั้งที่เธอสบตา เมื่อเผลอมองมาเจอะกัน
ก็เหมือนว่าฉัน สั่นสะเทือนถึงหัวใจ

จะกี่ครั้งที่หลงในอารมณ์อย่างนี้
ก็ยิ่งคิดก็ยิ่งฝันไกลกว่านั้น

ชุดวิวาห์เข้ากับเธอ นี่ฉันคงเพ้อไปใช่ไหม
แค่เห็นหน้าเธอ เพ้อได้ขนาดนั้น
ชุดวิวาห์เธอกับฉัน ไม่รู้สักวันเป็นอย่างนั้นจะได้ไหม

ไม่รู้ว่ามากแค่ไหน ก็นับไม่ได้สักที
ครั้งที่เท่าไร ตกอยู่ในหลุมรักเธอ
ไม่พบไม่เจอเมื่อใด กระวนกระวายเวิ่นเว้อ
ก็ภาพของเธอ ยังติดตรึงทั้งหัวใจ

จะกี่ครั้งที่หลงในอารมณ์ อย่างนี้
ก็ยิ่งคิดก็ยิ่งฝันไกลกว่านั้น

ชุดวิวาห์เข้ากับเธอ นี่ฉันคงเพ้อไปใช่ไหม
แค่เห็นหน้าเธอ เพ้อได้ขนาดนั้น
ชุดวิวาห์เธอกับฉัน ไม่รู้สักวันเป็นอย่างนั้นจะได้ไหม

ใจมันเพ้อไปไกล นั่งดูรูปในอินสตาแกรม
ก็กลัวว่าเธอจะมีแฟน But baby I don't give a damn. Oh oh
ตั้งแต่ครั้งแรกที่เราพบเจอ ต้องยอมรับว่าไม่เคยพบเคยเจอ
คนที่น่ารักเหมือนเธอ ฝันถึงภาพเราอยู่ในชุดวิวาห์
นอนกอดกันทุกวันในยามนิทรา มันคงดีถ้าเราได้เคียงคู่กัน
วันทั้งวันมีแค่เธอคู่ฉัน Oh oh oh
มันจะเป็นไปได้หรือเปล่า (มันจะเป็นไปได้หรือเปล่า)
Oh oh oh มันจะเป็นไปได้หรือเปล่า
Would you be my baby?

จะกี่ครั้งที่หลงในอารมณ์ อย่างนี้
ก็ยิ่งคิดก็ยิ่งฝันไกลกว่านั้น

ชุดวิวาห์เข้ากับเธอ นี่ฉันคงเพ้อไปใช่ไหม
แค่เห็นหน้าเธอ เพ้อได้ขนาดนั้น
ชุดวิวาห์เธอกับฉัน ไม่รู้สักวันเป็นอย่างนั้นจะได้ไหม

ชุดวิวาห์เข้ากับเธอ นี่ฉันคงเพ้อไปใช่ไหม
แค่เห็นหน้าเธอ เพ้อได้ขนาดนั้น
ชุดวิวาห์เธอกับฉัน ไม่รู้สักวันเป็นอย่างนั้นจะได้ไหม
มันจะเป็นไปได้หรือเปล่า
มันจะเป็นไปได้หรือเปล่า
มันจะเป็นไปได้หรือเปล่า Baby Baby
มันจะเป็นไปได้หรือเปล่า
ใจมันเพ้อไปไกล",1_etc
ที่ว่างข้างๆ ตัว,/music/thailyric/9890,"หายใจให้หมดวันเท่านั้นไม่หวังอะไร
ห้องเดิมๆ ยังมีแค่ฉันทุกวัน ที่หนาวจนชินและชา
นั่งสบตากับความอ้างว้างมานาน ทุกวันไม่มีใคร
ท้อจนหลับไป ไฟก็ดับลง

เพลงนิยามบอกใจว่าความหวังเหมือนยังมี
อาจจะมีคนตอบคำถามในใจ ที่ย้ำเตือนตลอดมา
คนที่ยอมมาเปลี่ยนความเหงาที่มี ให้กลับเป็นความรัก
เขาไปอยู่ไหน ได้แต่แอบหวังลึกๆ ในใจ

ใครจะมีแทนที่ว่างข้างๆ ตัว ให้ไม่กลัวเหงารอบๆ กาย
ห้องว่างในใจอ้างว้างมานาน หยุดมันไม่ค่อยไหว
ใครจะมาแทนที่ว่างข้างๆ กายกัน คนนั้นที่ฝันมานาน
บอกทีว่าเขาคือเธอใช่ไหม ที่คนนี้มีชีวิตเพื่อรอ

เหงาเป็นเพื่อนที่ดีในวันที่ไม่มีใคร
แค่ปลอบใจตัวเองเอาไว้ทุกวัน ให้ฉันมีแรงตื่นมา
อาจสักวันคงเจอคนนั้นสักที ที่ใจเฝ้าตามหา
หากันต่อไป แม้จะได้พบแค่หนทางตัน

ใครจะมีแทนที่ว่างข้างๆ ตัว ให้ไม่กลัวเหงารอบๆ กาย
ห้องว่างในใจอ้างว้างมานาน หยุดมันไม่ค่อยไหว
ใครจะมาแทนที่ว่างข้างๆ กายกัน คนนั้นที่ฝันมานาน
บอกทีว่าเขาคือเธอใช่ไหม ที่คนนี้มีชีวิตเพื่อรอ

คนหนึ่งที่คำว่ารัก ยังไม่รู้อยู่ที่ไหน
แต่ว่าเขาก็มีหนึ่งใจ ที่มันจะมี ให้คนๆ เดียว

ใครจะมีแทนที่ว่างข้างๆ ตัว ให้ไม่กลัวเหงารอบๆ กาย
ห้องว่างในใจอ้างว้างมานาน หยุดมันไม่ค่อยไหว
ใครจะมาแทนที่ว่างข้างๆ กายกัน คนนั้นที่ฝันมานาน
บอกทีว่าเขาคือเธอใช่ไหม ที่คนนี้มีชีวิตเพื่อรอ
เขาคือเธอใช่ไหม ที่จากนี้ขอมีชีวิตเพื่อเธอ",1_etc
1 Minute,/music/thailyric/15208,"Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
เพียงแค่นาทีเดียวให้ฉันเข้าไป
ทักและทาย Say hi ให้เธอสักครั้งก่อนเขา

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
Ooh baby Just One More Try
ฉันคงไม่ต้องมัวมานั่งเสียใจอย่างนี้

Hey hey hey girl นี่ผมกวนอะไรคุณหรือเปล่า ohh
Hey girl คุณชื่ออะไรครับนี่คุณมาแค่คนเดียว
และถ้าไม่รังเกียจขอนั่งเป็นเพื่อนได้ไหม
Ooh baby พูดอยู่คนเดียวนี่เราโอเคหรือเปล่า ohh
Hey girl ก็เธออยู่ตรงนั้นก็อยากจะลองเดินเข้าไปคุยสักที

ใจยังโลเลไม่เคยจะกล้าสักทีเลย Uh

กำลังจะเดินเข้าไปแล้วแต่โชคชะตาไม่เป็นใจ
มีใครอีกคนอยู่ตรงนั้น ที่คิดเหมือนฉันเดินเข้าไป
พูดคุยกับเธอก่อนฉัน Oh no no no baby

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
เพียงแค่นาทีเดียวให้ฉันเข้าไป
ทักและทาย Say hi ให้เธอสักครั้งก่อนเขา

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
Ooh baby Just One More Try
ฉันคงไม่ต้องมัวมานั่งเสียใจอย่างนี้

เฝ้ามองดูเธอตั้งนาน
ตั้งแต่เธอนั้นได้เดินเข้ามา แต่ดันชะล่าใจ
Girl I'm so crazy 'bout you
ยังไม่ทันได้บอกให้เธอรู้

แค่หนึ่งนาทีที่มัวแต่ยืนคิด
ก็จำจนตายตลอดทั้งชีวิต
ไม่รอกันเลยสักนิดโชคชะตา
จะมา ก็มา จะไป ก็ไป
Why you do me like that
ก็โอกาสดีไม่เคยจะรอใคร
ก่อนจะหมดอายุต้องรีบคว้าเอาไว้
ไม่งั้นจะเป็นอย่างฉันนั้น No no

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
เพียงแค่นาทีเดียวให้ฉันเข้าไป
ทักและทาย Say hi ให้เธอสักครั้งก่อนเขา

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
Ooh baby Just One More Try
ฉันคงไม่ต้องมัวมานั่งเสียใจอย่างนี้

Uh hmm 3 พยางค์เว่ย
Yo ถ้าฉันเดินเข้าไปตั้งแต่แรกคงไม่ต้องมานั่งเสียใจ
น่าจะเดินเข้าไปชวนเธอชนแก้วแต่ว่าคนข้างๆ เธอใคร
หรือเป็นคนที่มาด้วย ถ้าเป็นอย่างนั้นฉันคงจะดวงซวย
เดินเข้าไปฉันคงจะโดนล็อค โดนหมัดน็อคไม่มีใครมาช่วย
มัวแต่คิดว่าคนเรามักนก แต่ว่าเป็นคนตลกที่มักได้
สุ่มสี่สุ่มห้าแล้วชวนไปยกซด เป็นมุกตลกที่ดูจะมักง่าย
แล้วควรทำอะไรเป็นสิ่งแรก ต้นไม้ความคิดมันมักมีกิ่งแยก
มัวแต่คิดโน่นคิดนี่คิดนั่นสุดท้าย หมาคาบเอาไป แดก

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
เพียงแค่นาทีเดียวให้ฉันเข้าไป
ทักและทาย Say hi ให้เธอสักครั้งก่อนเขา

Oh ขอฉันขอช่วยย้อนเวลาได้ไหม
Ooh baby Just One More Try
ฉันคงไม่ต้องมัวมานั่งเสียใจอย่างนี้

One minute is all I need
It's all I need to get you back
It's all I need,it's all l need
One minute is all I need
It's all I need to get you back
It's all I need it's all l need

Asking the Savior for just a favor
Protect me from these haters they want me to lose
Give me chance  who she gonna choose
She feeling alive when I come in the room
I missed it the first time not knowing what ta do
But now I show and I prove

When I step in the booth
Two stepping im getting right to the Truth
Enlightened like Buddha
To the top we making our moves
Where you going What your name is
I ain't famous but I still trailblazing
Stargazing when u staring at me
Fix your face if u staring at me
There no comparing to me
Embarrassing to see",1_etc
Bad Girl,/music/thailyric/15691,"ทุกๆ สายตาเป็นประกาย
เกือบจะหลอมละลายและล้มไปกอง
ยิ้มหวานๆ เธอโปรยให้ใครหนอ
อย่าให้ฉันต้องรอด้วยใจไหวสั่น

หากเพียงมองดูจากสายตา
เธอก็ดูไม่ธรรมดาใช่ไหม Ooh baby
แต่ว่าฉันไม่อาจห้ามไหว
อย่างกับโดนดึงดูดเข้าไปหยุดใจไม่อยู่

ได้โปรดอย่าใจร้าย Bad Girl
ปล่อยฉันไปได้ไหม Bad Girl
ก็ยินดีจะรักแค่เธอ
สบตามาเท่านั้น ก็หวั่นไหว

ห้ามใจไม่ให้รัก Bad girl
ก็ดูจะยากนัก Bad Girl
อย่าลงมือเลยนะ โอ้วเธอ
เธอคงไม่ใจร้าย ขนาดนั้น

ไม่ว่าใครจะเตือนอย่างไร
อาจจะเสียใจถ้าคิดจะลอง
แต่ตอนนี้มีเพียงแต่เราสอง
ในสมองมันรวนว่าควรทำไง

หากเพียงมองดูจากสายตา
เธอก็ดูไม่ธรรมดาใช่ไหม Ooh baby
แต่ว่าฉันไม่อาจห้ามไหว
อย่างกับโดนดึงดูดเข้าไป หยุดใจไม่อยู่

ได้โปรดอย่าใจร้าย Bad Girl
ปล่อยฉันไปได้ไหม Bad Girl
ก็ยินดีจะรักแค่เธอ
สบตามาเท่านั้น ก็หวั่นไหว

ห้ามใจไม่ให้รัก Bad girl
ก็ดูจะยากนัก Bad Girl
อย่าลงมือเลยนะ โอ้วเธอ
เธอคงไม่ใจร้าย ขนาดนั้น

รักดีไหมหรือไม่ควรรัก รักเธอแล้วอาจโดนทำร้าย
ทำยังไงก็ใจมันรัก ทั้งที่รักเธออันตราย

รักดีไหมหรือไม่ควรรัก รักเธอแล้วอาจโดนทำร้าย
ทำยังไงก็ใจมันรัก ทั้งที่รักเธออันตราย

รักดีไหมหรือไม่ควรรัก รักเธอแล้วอาจโดนทำร้าย
ทำยังไงก็ใจมันรัก ทั้งที่รักเธออันตราย

รักดีไหมหรือไม่ควรรัก รักเธอแล้วอาจโดนทำร้าย
ทำยังไงก็ใจมันรัก ทั้งที่รักเธออันตราย

ได้โปรดอย่าใจร้าย Bad Girl
ปล่อยฉันไปได้ไหม Bad Girl
ก็ยินดีจะรักแค่เธอ
สบตามาเท่านั้น ก็หวั่นไหว

ห้ามใจไม่ให้รัก Bad girl
ก็ดูจะยากนัก Bad Girl
อย่าลงมือเลยนะ โอ้วเธอ
เธอคงไม่ใจร้าย ขนาดนั้น

รักดีไหมหรือไม่ควรรัก รักเธอแล้วอาจโดนทำร้าย
ทำยังไงก็ใจมันรัก ทั้งที่รักเธออันตราย

รักดีไหมหรือไม่ควรรัก รักเธอแล้วอาจโดนทำร้าย
ทำยังไงก็ใจมันรัก ทั้งที่รักเธออันตราย",1_etc
Beside You,/music/thailyric/17433,"ลบไปได้ไหม เรื่องร้ายๆ ที่เธอไม่อยากจำ
ลืมเถอะวันที่ว่างเปล่า และช่วงชีวิตที่เดินลําพัง

สัญญาตรงนี้จะทําให้เธอนั้นยิ้มได้อีกครั้ง
ให้ฉันได้เป็นดั่งแสงสว่าง
ให้โลกสีเทาได้เปลี่ยนไป

อาจไม่ได้มีพรวิเศษ
มีแค่สองมือนี้ที่ไม่มีวันปล่อยมือเธอ
แค่อยากจะมีชีวิตอยู่เพื่อเธอ
ได้รักเพียงเธอเท่านั้น

I'm always Beside You
ขอให้คนคนนี้ได้เคียงข้างเธอ
ไม่ว่าจะร้ายหรือดีเท่าไร
Beside you แค่หันมามองตรงนี้
จะเจอคนที่รักเธอหมดใจ
ให้ฉันเป็นคนนั้นของเธอได้ไหม

ขอเธอได้ไหมโปรดให้ฉันได้เป็นคนปลอบเธอ
คนที่คอยโอบกอดเธอไม่ว่าทุกข์หรือสุขเท่าไร

สัญญากับฉัน อย่าหมดหวังไม่ว่ายากแค่ไหน
ทางที่เธอต้องเจอจะไกล ให้รักพาเธอไปตรงนั้น

อาจไม่ได้มีพรวิเศษ
มีแค่สองมือนี้ที่ไม่มีวันปล่อยมือเธอ
แค่อยากจะมีชีวิตอยู่เพื่อเธอ
ได้รักเพียงเธอเท่านั้น

I'm always beside you
ขอให้คนคนนี้ได้เคียงข้างเธอ
ไม่ว่าจะร้ายหรือดีเท่าไร
Beside you แค่หันมามองตรงนี้
จะเจอคนที่รักเธอหมดใจ
ให้ฉันเป็นคนนั้นของเธอได้ไหม

I'm always beside you
ขอให้คนคนนี้ได้เคียงข้างเธอ
ไม่ว่าจะร้ายหรือดีเท่าไร
Beside you แค่หันมามองตรงนี้
จะเจอคนที่รักเธอหมดใจ
ให้ฉันเป็นคนนั้นของเธอได้ไหม
ให้ฉันเป็นคนนั้นของเธอได้ไหม",1_etc
Close Your Eyes And See,/music/thailyric/14030,"Oh oh เหมือนเธอหวั่นใจ
กลัวมีใครเข้ามาแทรกกลางรักเรา
คิดน้อยลงหน่อยเรา
อย่าเอาความเชื่อใจไปทิ้งที่ไหนไกล

ก็ฉันไม่ใช่ใคร แต่เป็นคนๆ หนึ่งที่อยู่ข้างเคียงเธอ
เชื่อฉัน ได้ไหมเธอ อยากให้เธอได้ลองเปิดใจแล้วเข้ามา

Close Your Eyes And See
รักเดียวที่มีแค่เธอหลับตา
เธอจะเห็น Just you and me
รับรู้ด้วยใจอย่างนี้ มีเธอคนเดียวฉันสัญญา

รักเธออย่างไร ก็ยังเป็นเหมือนเดิมไม่เปิดทางให้ใคร
ยังเป็นเธอคนเดียวในใจ ยังเป็นเธอคนเดียวที่เด่นชัด
ไม่รักเธอจะรักใครที่ไหน

ก็ฉันไม่ใช่ใคร แต่เป็นคนๆ หนึ่งที่อยู่ข้างเคียงเธอ
เชื่อฉัน ได้ไหมเธอ อยากให้เธอได้ลองเปิดใจแล้วเข้ามา

Close your eyes and see
รักเดียวที่มีแค่เธอหลับตา
เธอจะเห็น Just you and me
รับรู้ด้วยใจอย่างนี้ มีเธอคนเดียวฉันสัญญา

เสียงหัวใจสั่งไว้ ไม่ต้องถามมากมาย ให้ฉันมั่นใจ
เพราะทุกทีที่หลับตาไว้ ฉันเห็นแค่เธอ ก็รู้ว่าฉันต้องเชื่อใจ

Close your eyes and see
รักเดียวที่มีแค่เธอหลับตา
เธอจะเห็น Just you and me
รับรู้ด้วยใจอย่างนี้ มีเธอคนเดียวฉันสัญญา

เชื่อใจฉันเชื่อใจเธอ เชื่อใจฉันเชื่อใจเธอ
เชื่อใจฉันเชื่อใจเธอ Oh ho woo We're out",1_etc
Disco Oh Now,/music/thailyric/14038,"อยู่กับดวงดาว คืนนี้สองเรามาเคล้าคลอครื้นเครง
ปล่อยใจแวววาว ให้เสียงหัวใจได้เคล้าคลอเสียงเพลง
Disco Oh Now ให้เสียงดนตรีที่เร้าใจบรรเลง
Let it flow now คืนนี้ของเราจะพร่างพราว
All Nyte All Nyte

ในคืนที่เราจะมีแต่เสียงดนตรี คลอเคลียไปอย่างนั้น
ผ่อนคลายกําลังพอดีมีแสงดวงจันทร์
จิตใจมันสั่นมันไหวไปกับเพลง

กอดฉันไว้นานๆ อย่างนี้ Hold Me Tight
ปล่อยใจฝันล่องลอยกับลม ให้แสนไกล
ภายใต้แสงดาว ในคืนที่ฉันมีกับเธอ มีแค่สองเรา

อยู่กับดวงดาว คืนนี้สองเรามาเคล้าคลอครื้นเครง
ปล่อยใจแวววาว ให้เสียงหัวใจได้เคล้าคลอเสียงเพลง
Disco Oh Now ให้เสียงดนตรีที่เร้าใจบรรเลง
Let it flow now คืนนี้ของเราจะพร่างพราว
All Nyte All Nyte

ยิ่งเพียงถ้อยคําที่เธอกระซิบเบาๆ ใจยิ่งหวั่นไหว
บทเพลงบรรเลงอารมณ์ให้ฉันเคลิ้มไป
ไม่มีอะไรอีกแล้วที่ต้องการ

กอดฉันไว้นานๆ อย่างนี้ Hold Me Tight
ปล่อยใจฝันล่องลอยกับลม ให้แสนไกล
ภายใต้แสงดาว ในคืนที่ฉันมีกับเธอ มีแค่สองเรา

อยู่กับดวงดาว คืนนี้สองเรามาเคล้าคลอครื้นเครง
ปล่อยใจแวววาว ให้เสียงหัวใจได้เคล้าคลอเสียงเพลง
Disco Oh Now ให้เสียงดนตรีที่เร้าใจบรรเลง
Let it flow now คืนนี้ของเราจะพร่างพราว
All Nyte All Nyte

อยู่กับดวงดาว คืนนี้สองเรามาเคล้าคลอครื้นเครง
ปล่อยใจแวววาว ให้เสียงหัวใจได้เคล้าคลอเสียงเพลง
Disco Oh Now ให้เสียงดนตรีที่เร้าใจบรรเลง
Let it flow now คืนนี้ของเราจะพร่างพราว
All Nyte All Nyte",1_etc
คนไร้หัวใจ,/music/thailyric/12673,"มันดูเหมือนฉันเป็น
คนหลอกลวงใช่ไหม
เธอคงรู้สึกอยู่ ว่าฉันไร้หัวใจ
เป็นคนที่รักหรือเป็นแค่คนที่ร้าย
และในคำว่ารัก
ฉันมีอะไรปิดบังหรือเปล่า

อยากบอกเธอจริงๆ บอกตรงๆ
ว่ามันทั้งใจ ไม่เคยมีนาที
ที่ใจของฉันจะเป็นของใคร
นอกจากเธอคนนี้

เจ็บทุกๆ ครั้งที่ต้องทำไม่ดี
เห็นน้ำตาของเธอทุกที
ก็เกือบจะขาดแล้วใจ

อยากจะขอร้อง อย่าเลิกรักกัน
อดทนเพื่อฉันได้ไหม
สักวันจะรู้ฉันไม่มีใคร
และคนไม่มีหัวใจ
มีแค่เธอเท่านั้น

การทำเป็นรักจริงๆ ไม่เคยมีใจ
ง่ายกว่าการที่รัก
แล้วต้องทำเป็นไม่มีเยื่อใย
อยากบอกเธอจริงๆ บอกตรงๆ
ว่ามันทั้งใจ ไม่เคยมีนาที
ที่ใจของฉันจะรักใคร
ถ้าไม่ใช่เธอนี้

เจ็บทุกๆ ครั้งที่ต้องทำไม่ดี
เห็นน้ำตาของเธอทุกที
ก็เกือบจะขาดแล้วใจ

อยากจะขอร้อง อย่าเลิกรักกัน
อดทนเพื่อฉันได้ไหม
สักวันจะรู้ฉันไม่มีใคร
และคนไม่มีหัวใจ
มีแค่เธอเท่านั้น

สบตาฉันแล้วมองเข้าไป ข้างใน
มองให้เห็นหัวใจ
ที่เธอเคลือบแคลง
มันมีเธออยู่
ในคำว่ารักไม่เคยเปลี่ยนแปลง
เธอคนเดียวเท่านั้น อยู่ตรงนั้น
จนวันสุดท้าย

เจ็บทุกๆ ครั้งที่ต้องทำไม่ดี
เห็นน้ำตาของเธอทุกที
ก็เกือบจะขาดแล้วใจ

อยากจะขอร้อง อย่าเลิกรักกัน
อดทนเพื่อฉันได้ไหม
สักวันจะรู้ฉันไม่มีใคร
และคนไม่มีหัวใจ
มีแค่เธอเท่านั้น

และไม่ว่าชีวิตพบเจอใครๆ
คนที่ฉันจะให้หัวใจคนสุดท้ายคือเธอ",1_etc
คือเธอใช่ไหม,/music/thailyric/8813,"ฉันเคยได้แต่หวัง
ได้พบรักแท้ที่ฉันเฝ้าคอย
แค่เพียงอย่างน้อยได้พบกัน

ไม่รู้คือเธอใช่ไหมที่เป็นตัวจริง
เป็นคนสุดท้ายของหัวใจ เธอใช่ไหม
ที่มาเติมเต็มใจและคอยดูแลตลอดไป

จับมือฉันและบอกได้ไหมเธอคือคนนั้น
ตัวจริงของหัวใจ อยู่กับเธอทีไร
เหมือนมีอะไรไม่เหมือนเดิมขึ้นในใจ
ใช่ไหม คือเธอใช่ไหมที่รักฉันจริงๆ

ฉันเคยมีคำถาม
สุดท้ายแล้วฉันจะลงเอยที่ใคร
รักแท้อยู่ไหน บอกฉันที

ไม่รู้คือเธอใช่ไหมที่เป็นตัวจริง
คือคนสุดท้ายของหัวใจ เธอใช่ไหม
ที่มาเติมเต็มใจและคอยดูแลตลอดไป

จับมือฉันและบอกได้ไหมเธอคือคนนั้น
ตัวจริงของหัวใจ อยู่กับเธอทีไร
เหมือนมีอะไรไม่เหมือนเดิมขึ้นในใจ
ใช่ไหม คือเธอใช่ไหมที่รักฉันจริงๆ

อยากอยู่ใกล้เธออย่างนี้ไปนานๆ จะได้ไหม

จับมือฉันและบอกได้ไหมเธอคือคนนั้น
ตัวจริงของหัวใจ อยู่กับเธอทีไร
เหมือนมีอะไรไม่เหมือนเดิมขึ้นในใจ
ใช่ไหม คือเธอใช่ไหมที่รักฉันจริงๆ",1_etc
จากสวรรค์,/music/thailyric/11923,"เคยสงสัยบ้างไหมว่าเพราะอะไร เหตุใดจึงรักพ่อ
แค่เพียงนึกทุกครั้งก็รู้ในใจ คำตอบช่างง่ายดาย
ก็เพราะพ่อนั้นคือผู้ให้ พ่อรักลูกหมดหัวใจ
จดและจำเอาไว้ตลอดมา

ทั่วแผ่นดินทุกแคว้นแห่งหนใดๆ จะห่างไกลแค่ไหน
ไม่เคยเห็นสักครั้งที่พ่อท้อใจ ต้องเดินไปให้ได้
เพื่อพบไถ่ถามลูกเป็นไง ขาดเหลือพ่อจะทำให้
จะมีราชาคนไหนเป็นแบบนี้ ไม่มีแล้ว

อยากบอกว่าลูกภูมิใจ ได้เป็นลูกพ่อคนนี้
และจะเพียรทำความดี ให้เป็นเหมือนดังใจพ่อต้องการ
จะรักและคอยดูแลกัน
จะกี่วัน กี่เดือนกี่ปีและต่อจากนี้
ให้พ่อได้ยิ้มสักที จากบนนั้น

เมื่อได้เห็นท้องฟ้าป่าเขาลำธาร จะย้ำเตือนทุกครั้ง
และเมื่อได้ฟังเพลงของพ่อบรรเลง ยิ่งจำได้ขึ้นใจ
คำสอนของพ่อที่มีมากมาย ลูกนั้นจะทำให้ได้
บอกตัวเองเอาไว้ชั่วชีวิต ทำเพื่อพ่อ

อยากบอกว่าลูกภูมิใจ ได้เป็นลูกพ่อคนนี้
และจะเพียรทำความดี ให้เป็นเหมือนดังใจพ่อต้องการ
จะรักและคอยดูแลกัน
จะกี่วัน กี่เดือนกี่ปีและต่อจากนี้
ให้พ่อได้ยิ้มสักที จากบนนั้น

อยากบอกว่าลูกภูมิใจ ได้เป็นลูกพ่อคนนี้
และจะเพียรทำความดี ให้เป็นเหมือนดังใจพ่อต้องการ
จะรักและคอยดูแลกันไปอีกนานเท่านาน จะทำเพื่อบ้านหลังนี้
ให้พ่อได้ยิ้มสักที จากบนนั้น
ให้พ่อได้ยิ้มอีกที จากสวรรค์",1_etc
