song_name,href,lyric,artist
ขวางหูขวางตา,/music/thailyric/17305,"รู้ดีว่าเธออึดอัดอยู่ในใจ
รู้ดีว่าเธอมีใครซ่อนอยู่
รู้เลยว่าเธออยากบอกให้โลกรู้
ว่าหัวใจของเธอรักใคร
แต่ติดที่เธอยังมีฉันอยู่

เหมือนเธอต้องการจะผลักให้ฉันนั้นไกลออกไป
เหมือนเธอเลือกแล้วคำตอบวันนี้มันไม่ใช่ฉัน

ไม่ได้อยากเป็นตัวปัญหา
ขวางหูขวางตาของใคร
เธอเห็นฉันเป็นผู้ร้าย หายใจยังผิดเลย
ก็รู้ว่าเธอคงเหนื่อย
ที่รักเขามากแต่ต้องปิดเอาไว้
คบซ้อนมันลำบากใจ
ก็เปิดตัวเขาเลยดีไหม ฉันพร้อมจะไป

ฉันเองจะรับความผิดนี้ไว้
ให้เธอได้ไปกับเขาคนใหม่
ฉันเองจะทำเพื่อเธอครั้งสุดท้าย
อยากให้เธอรักกันจนตาย
อยากให้เธอจงมีความสุข

เหมือนเธอต้องการจะผลักให้ฉันนั้นไกลออกไป
เหมือนเธอเลือกแล้วคำตอบวันนี้มันไม่ใช่ฉัน

ไม่ได้อยากเป็นตัวปัญหา
ขวางหูขวางตาของใคร
เธอเห็นฉันเป็นผู้ร้าย หายใจยังผิดเลย
ก็รู้ว่าเธอคงเหนื่อย
ที่รักเขามากแต่ต้องปิดเอาไว้
คบซ้อนมันลำบากใจ
ก็เปิดตัวเขาเลยดีไหม ฉันพร้อมจะไป

เหมือนเธอต้องการจะผลักให้ฉันนั้นไกลออกไป
เหมือนเธอเลือกแล้วคำตอบวันนี้มันไม่ใช่ฉัน

ไม่ได้อยากเป็นตัวปัญหา
ขวางหูขวางตาของใคร
เธอเห็นฉันเป็นผู้ร้าย หายใจยังผิดเลย
ก็รู้ว่าเธอคงเหนื่อย
ที่รักเขามากแต่ต้องปิดเอาไว้
คบซ้อนมันลำบากใจ
ก็เปิดตัวเขาเลยดีไหม ฉันพร้อมจะไป",7_days_crazy
คอเหล็ก,/music/thailyric/23040,"เอามาอีกน้องแก้วเดียว มันไม่เคยพอใจ
เอามาอีกน้องแก้วเดียว มันทำอะไรพี่ไม่ได้
เอาให้ตับมันวอดวาย
เอาให้เมาทั้งคืนกลับบ้านไปไม่ไหว

Hey ไอ้น้อง จะเหล้า จะเบียร์ จะไวน์ ก็มาได้
Hey ไอ้น้อง จะแบน จะกลม ก็ชงให้มันเข้มไว้
ให้หัวใจมันคลายความช้ำ ถูกทำร้าย
Hey ไอ้น้อง ต้องกินเท่าไร จะลืมเรื่องร้ายๆ
Hey อย่างนี้ กลับแกล้มอย่างดี ก็ปนกับหยดน้ำตา
กับหัวใจที่มันอ่อนล้า เกินทนไหว

ยกแก้วชนกันให้มันมือ เอาเลยน้อง
หมดแก้วขอเบิ้ลสักหน่อย
ขอดื่มให้ความปวดร้าว ที่มันสะสม

เอามาอีกน้องแก้วเดียว มันไม่เคยพอใจ
เอามาอีกน้องแก้วเดียว มันทำอะไรพี่ไม่ได้
เอาให้ตับมันวอดวาย
เอาให้เมาทั้งคืนกลับบ้านไปไม่ไหว มันสะใจ

Hey ไอ้น้อง ดื่มให้กับรัก ที่มันต้องจบไป
Hey ไอ้น้อง ถ้าแลกกับตับ แต่มันจะรักษาใจ
ให้พ้นคืนเดียวดายจากนี้ จะได้ไหม

ยกแก้วชนกันให้มันมือ เอาเลยน้อง
หมดแก้วขอเบิ้ลสักหน่อย
ขอดื่มให้ความปวดร้าว ที่มันสะสม

เอามาอีกน้องแก้วเดียว มันไม่เคยพอใจ
เอามาอีกน้องแก้วเดียว มันทำอะไรพี่ไม่ได้
เอาให้ตับมันวอดวาย
เอาให้เมาทั้งคืนกลับบ้านไปไม่ไหว มันสะใจ

เอามาอีกน้องขอเย็นๆ ให้พี่ได้ดื่มให้ชื่นใจ
เอามาอีกน้องไม่ต้องกลัวว่าพี่จะเมาแล้วไม่จ่าย
ลองจับที่คอพี่ดู แล้วน้องจะรู้ว่าเหล็กเป็นไง

อีกขวดเลยน้อง ถ้าเอ็งยังกินไหว ก็ซดมันเข้าไป
แต่บอกให้รู้ว่ามันไม่ช่วยอะไรหรอกน้อง
พี่แค่จะเตือนไว้ แล้วเอ็งจะเข้าใจ
สุราผสมน้ำตามันขม ไม่ดีหรอกน้อง

ยกแก้วชนกันให้มันมือ ทุกๆ ขวดเพื่อความปวดร้าว

เอามาอีกน้องแก้วเดียว มันไม่เคยพอใจ
เอามาอีกน้องแก้วเดียว มันทำอะไรพี่ไม่ได้
เอาให้ตับมันวอดวาย
เอาให้เมาทั้งคืนกลับบ้านไปไม่ไหว มันสะใจ

เอามาอีกน้องขอเย็นๆ ให้พี่ได้ดื่มให้ชื่นใจ
เอามาอีกน้องไม่ต้องกลัวว่าพี่จะเมาแล้วไม่จ่าย
ลองจับที่คอพี่ดู แล้วน้องจะรู้ว่าเหล็กเป็นไง

ลองจับที่คอพี่ดู จะรู้ว่าแข็งกว่าเหล็กเป็นไง

อีกขวดเลยน้อง ถ้าเอ็งยังกินไหว ก็ซดมันเข้าไป
แต่บอกให้รู้ว่ามันไม่ช่วยอะไรหรอกน้อง

แล้วน้องจะรู้ว่าเหล็กเป็นไง

พี่แค่จะเตือนไว้ แล้วเอ็งจะเข้าใจ
สุราผสมน้ำตามันขม ไม่ดีหรอกน้อง

จะรู้ว่าแข็งกว่าเหล็กยังไง",7_days_crazy
แค่คิดไปเอง,/music/thailyric/13855,"วันเวลาที่ผ่านไป เปลี่ยนใจใครๆ ก็มากมาย
แล้วเธอก็จากไป เมื่อใครคนหนึ่งเข้ามา
ปฏิทินที่เปลี่ยนไป คือกฎและเกณฑ์ของเวลา
การรอคอยด้วยน้ำตา ที่ไม่มีวันเป็นจริง

แม้จะหลับตายังฝัน รูปเธอยังวางที่เดิม
ยังคิดถึงเธอเหลือเกิน จวบจนวันนี้

ได้แต่ คิดไปเองแอบฝันไปเอง ว่าเธอยังรักฉัน
จดจำอยู่ทุกคืนวัน ชีวิตประจำวัน ไม่อาจจะลืมได้ง่ายดาย
อยากบอกให้รู้คนดี ทุกวินาที จะรอเธอเรื่อยไป
ก็ต่อให้หลอกตัวเองเท่าไร ยังอยากให้เธอย้อนคืนกลับมา

เดือนเป็นปีที่ผ่านพ้น จนใครก็มองว่างมงาย
ยังมีเธอในหัวใจ จะนานเพียงใดยังรอ

แม้จะหลับตายังฝัน รูปเธอยังวางที่เดิม
ยังคิดถึงเธอเหลือเกิน จวบจนวันนี้

ได้แต่ คิดไปเองแอบฝันไปเอง ว่าเธอยังรักฉัน
จดจำอยู่ทุกคืนวัน ชีวิตประจำวัน ไม่อาจจะลืมได้ง่ายดาย
อยากบอกให้รู้คนดี ทุกวินาที จะรอเธอเรื่อยไป
ก็ต่อให้หลอกตัวเองเท่าไร ยังอยากให้เธอย้อนคืนกลับมา

แม้จะไกลจนเกินสายตาจะเห็น
แต่ในใจยัง คงชัดเจนว่ามีแค่เธอ

ได้แต่ คิดไปเองแอบฝันไปเอง ว่าเธอยังรักฉัน
จดจำอยู่ทุกคืนวัน ชีวิตประจำวัน ไม่อาจจะลืมได้ง่ายดาย
อยากบอกให้รู้คนดี ทุกวินาที จะรอเธอเรื่อยไป
ก็ต่อให้หลอกตัวเองเท่าไร ยังอยากให้เธอย้อนคืนกลับมา

ได้แต่ คิดไปเองแอบฝันไปเอง ว่าเธอยังรักฉัน
จดจำอยู่ทุกคืนวัน ชีวิตประจำวัน ไม่อาจจะลืมได้ง่ายดาย
อยากบอกให้รู้คนดี ทุกวินาที จะรอเธอเรื่อยไป
ก็ต่อให้หลอกตัวเองเท่าไร ยังอยากให้เธอย้อนคืนกลับมา

หลอกตัวเองเท่าไร ยังอยากให้เธอย้อนคืนกลับมา",7_days_crazy
แค่ได้รักเธอ,/music/thailyric/9466,"ฉันเผชิญกับความจริง ที่ไม่มีเธอวันนี้
รู้ตัวดีว่าเราต่างกันสักเท่าไหร่
เธอนั้นเป็นดั่งนางฟ้า ฉันมันคนธรรมดา
ยิ่งไขว่คว้าเท่าไหร่ตัวเธอยิ่งแสนไกล

เปรียบเทียบกับเขามันคนละชั้น ต่างกันมากไป
ทำดีแค่ไหน ทำดีเท่าไร ก็ไม่มีวัน

แค่ได้รักเธอ ก็ดีแค่ไหน
พยายามอีกสักเท่าไร นานเท่าไร
ก็คงไม่ได้เธอมาอยู่เคียงข้างกัน คงเป็นแค่ฝัน
เรามันแค่คนธรรมดา ธรรมดา
ไม่มีสิทธิ์จะรักนางฟ้า

แม้เนิ่นนานจากวันนั้น
เหมือนว่าเรายิ่งห่างกัน
รักที่มีต่อกัน ก็ยังไม่หายไป

เปรียบเทียบกับเขามันคนละชั้น ต่างกันมากไป
ทำดีแค่ไหน ทำดีเท่าไร ก็ไม่มีวัน

แค่ได้รักเธอ ก็ดีแค่ไหน
พยายามอีกสักเท่าไร นานเท่าไร
ก็คงไม่ได้เธอมาอยู่เคียงข้างกัน คงเป็นแค่ฝัน
เรามันแค่คนธรรมดา ธรรมดา
ไม่มีสิทธิ์จะรักนางฟ้า

ต้องยอมรับว่าเราอยู่คนละโลกกัน
คำว่ารักคงเป็นแค่ฝันไป
เมื่อลืมตาตื่นมาก็เข้าใจ
ระหว่างเรานั้น ไม่มีวัน

แค่ได้รักเธอ ก็ดีแค่ไหน
พยายามอีกสักเท่าไร นานเท่าไร
ก็คงไม่ได้เธอมาอยู่เคียงข้างกัน คงเป็นแค่ฝัน
เรามันแค่คนธรรมดา ธรรมดา
ไม่มีสิทธิ์จะรักนางฟ้า

ก็ดีแค่ไหน พยายามอีกสักเท่าไร นานเท่าไร
ก็คงไม่ได้เธอมาอยู่เคียงข้างกัน คงเป็นแค่ฝัน
เรามันแค่คนธรรมดา ธรรมดา
ไม่มีสิทธิ์จะรักนางฟ้า",7_days_crazy
จนกว่าวันนั้น,/music/thailyric/17747,"จนกว่าวันนั้น วันที่เธอจะลืมเขา
วันที่เราสองคนจะรักกัน
แม้ว่าตอนนี้มันจะเป็นเพียงแค่ฝัน
ฉันก็ยังคงยืนยันจะรักเธอ
จนกว่าวันนั้น วันที่ฝันของฉันเป็นจริง

รู้ว่าเธอนั้นเจออะไรมามากมาย
ที่มันทำร้ายหัวใจของเธอให้เจ็บช้ำ
ก็รู้ว่าเธอต้องเจอแบบนี้อยู่เหมือนเดิม
อยู่ทุกวัน แต่มันก็ยากที่จะตัดใจ

อยากให้เธอได้มองตาฉัน
คนที่มันอาจไม่มีค่าอะไร
อยากให้รู้ว่าฉันพอเข้าใจ
และพร้อมจะเดินไปข้างๆ เธอ

จนกว่าวันนั้น วันที่เธอจะลืมเขา
วันที่เราสองคนจะรักกัน
แม้ว่าตอนนี้มันจะเป็นเพียงแค่ฝัน
ฉันก็ยังคงยืนยันจะรักเธอ
จนกว่าวันนั้น วันที่ฝันของฉันเป็นจริง

ไม่กล้าพอจะเทียบกับเขาเลยสักอย่าง
คนที่เธอนั้นยังเก็บเอาไว้ในหัวใจ
แต่ทนเห็นเธอต้องเจ็บแบบนี้อยู่เรื่อยไป ไม่ไหว
ก็ใจของฉันมันก็รักเธอ

อยากให้เธอได้มองตาฉัน
คนที่มันอาจไม่มีค่าอะไร
อยากให้รู้ว่าฉันพอเข้าใจ
และพร้อมจะเดินไปข้างๆ เธอ

จนกว่าวันนั้น วันที่เธอจะลืมเขา
วันที่เราสองคนจะรักกัน
แม้ว่าตอนนี้มันจะเป็นเพียงแค่ฝัน
ฉันก็ยังคงยืนยันจะรักเธอ
จนกว่าวันนั้น วันที่ฝันของฉันเป็นจริง

แม้ว่าตอนนี้มันจะเป็นเพียงแค่ฝัน
ฉันก็ยังคงยืนยันจะรักเธอ
จนกว่าวันนั้น วันที่ฝันของฉันเป็นจริง",7_days_crazy
ฉันนอนไม่หลับ,/music/thailyric/19365,"เลยเวลาเที่ยงคืน แต่มันยังนอนไม่หลับ
เหม่อมองฟ้าไกลออกไป
เผื่อจะเห็นดาว ตกจากฟ้าไกล
ให้ฝันเป็นจริงสักวัน

มันเบื่อจะทนเหงาใจ ไม่มีใครมาเดินร่วมทาง
ได้แต่อ้างว้าง เป็นอยู่อย่างนั้น
เหน็ดเหนื่อยที่คอยอ้อนวอน
แล้วเมื่อไรเป็นจริงสักที ดั่งฝัน

แค่ขอเพียงใครสักคนนั้น
ให้ฉันได้กอดและบอกรักทุกคืน
เบื่อแล้วที่นอนไม่หลับ เหงาทุกคราวที่ตื่น
จะมีใครบ้างไหม กอดฉันให้นอนฝันดี

ยังคงเป็นทุกคืน ที่ฉันยังนอนไม่หลับ
เหม่อมองฟ้าไกลอย่างเคย
ยังไม่เห็นดาว ตกลงบ้างเลย
เหมือนเคยที่มองทุกวัน

มันเบื่อจะทนเหงาใจ แล้วเมื่อไรที่ดาวสักดวง
จะหล่นลงมา ให้เป็นอย่างหวัง
เหน็ดเหนื่อยที่คอยอ้อนวอน
แล้วเมื่อไหร่เป็นจริงสักที ดั่งฝัน

แค่ขอเพียงใครสักคนนั้น
ให้ฉันได้กอดและบอกรักทุกคืน
เบื่อแล้วที่นอนไม่หลับ เหงาทุกคราวที่ตื่น
จะมีใครบ้างไหม

ก็ไม่ได้เกิดมาเพื่อเหงา
ไม่คิดว่าจะต้องนอนหนาวเรื่อยไป
แค่ขอเพียงใครสักคน ขอมากไปหรือไร
จะมีใครบ้างไหม กอดฉันให้นอนฝันดี

แค่ขอเพียงใครสักคนนั้น
ให้ฉันได้กอดและบอกรักทุกคืน
เบื่อแล้วที่นอนไม่หลับ เหงาทุกคราวที่ตื่น
จะมีใครบ้างไหม

ก็ไม่ได้เกิดมาเพื่อเหงา
ไม่คิดว่าจะต้องนอนหนาวเรื่อยไป
แค่ขอเพียงใครสักคน ขอมากไปหรือไร
จะมีใครบ้างไหม กอดฉันให้นอนฝันดี

แค่ขอเพียงใครสักคน ขอมากไปหรือไร
จะมีใครบ้างไหม กอดฉันให้นอนฝันดี",7_days_crazy
ดีแค่ไหน,/music/thailyric/16675,"ก็รู้ตัวดี จะพยายามแค่ไหน
ฉันก็ไม่มีวันเข้าไปในใจของเธอ
ข่มไว้ในใจ ต้องเจียมตัวเองเสมอ
ก็แค่ได้มองเธอตรงนี้ก็ดีเท่าไร

แค่ไหน แค่นั้น
ฉันไม่มีสิทธิ์เรียกร้อง
ไม่มีวันคว้าเธอมาครอง
ไม่อาจเป็นเจ้าของ ฉันก็รู้ดีแก่ใจ

อาจไม่เคยอยู่ในสายตาของเธอ
แต่ว่าเธออยู่ในหัวใจเรื่อยมา
มันก็รู้คนธรรมดา ไม่อาจเอื้อมมือคว้าไป
บอกตัวเองได้เพียงรักเธอก็พอ
จะไม่ขอเรียกร้องให้ดูวุ่นวาย
ได้เท่านี้ก็ดีแค่ไหน
มันคงไม่ผิดใช่ไหม แค่ได้รักเธอ

บอกรักในใจ ไม่เคยให้ใครได้รู้
ขอแค่เฝ้ามองดูเผื่อเธอจะเป็นทุกข์ใจ
หากสักวันหนึ่งเธอมองไม่เจอคนไหน
รู้ไว้ว่าดวงใจดวงนี้ยังเป็นของเธอ

แค่ไหน แค่นั้น
ฉันไม่มีสิทธิ์เรียกร้อง
ไม่มีวันคว้าเธอมาครอง
ไม่อาจเป็นเจ้าของ ฉันก็รู้ดีแก่ใจ

อาจไม่เคยอยู่ในสายตาของเธอ
แต่ว่าเธออยู่ในหัวใจเรื่อยมา
มันก็รู้คนธรรมดา ไม่อาจเอื้อมมือคว้าไป
บอกตัวเองได้เพียงรักเธอก็พอ
จะไม่ขอเรียกร้องให้ดูวุ่นวาย
ได้เท่านี้ก็ดีแค่ไหน
มันคงไม่ผิดใช่ไหม แค่ได้รักเธอ

ฉันรู้ตัวว่าฉันนั้นเป็น แค่คนที่ยืนบนพื้น
เธอห่างไกลจากที่ฉันยืน
ก็คงไม่ฝืน คงไม่หวังปีนขึ้นไป

อาจไม่เคยอยู่ในสายตาของเธอ
แต่ว่าเธออยู่ในหัวใจเรื่อยมา
มันก็รู้คนธรรมดา ไม่อาจเอื้อมมือคว้าไป
บอกตัวเองได้เพียงรักเธอก็พอ
จะไม่ขอเรียกร้องให้ดูวุ่นวาย
ได้เท่านี้ก็ดีแค่ไหน
มันคงไม่ผิดใช่ไหม แค่ได้รักเธอ

มันคงไม่ผิดใช่ไหม แค่ได้รักเธอ",7_days_crazy
ต่อจากนี้,/music/thailyric/15474,"ฉันรู้แล้วว่าเราสองคน มาไกลได้เพียงเท่านี้
ด้วยเหตุผล ของเธอที่มี จากนี้คงไม่มีเรา
ฉันพูดได้แค่ไม่เป็นไร ปล่อยเธอจากไปกับเขา
แม้จะเหลือแค่ความว่างเปล่า ก็พร้อมที่จะเข้าใจ

ขอกอดเธอไว้ให้นานที่สุด
ซึมซับกลิ่นของอุ่นไอ
กล่องแห่งความรัก จะเก็บเธอไว้
จะเปิดมันทุกครั้ง ที่คิดถึงเธอ

ต่อจากนี้เธอจะเป็นความทรงจำที่ดี
จะรักเธออย่างนี้ แม้ไม่มี เธออยู่เดินร่วมทาง
สิ่งที่เราเคยมีให้กันมาแสนนาน
ฉันไม่มีทาง ลบมันจากใจ
รู้ไว้ฉันยังห่วงใยและรักเธอ

ขอให้เธอ ดูแลตัวเองให้ดี
อยู่กับรัก ที่เธอมี
ให้เธอโชคดี ในวันที่ไม่มีฉัน

ต่อจากนี้เธอจะเป็นความทรงจำที่ดี
จะรักเธออย่างนี้ แม้ไม่มี เธออยู่เดินร่วมทาง
สิ่งที่เราเคยมีให้กันมาแสนนาน
ฉันไม่มีทาง ลบมันจากใจ
รู้ไว้ฉันยังห่วงใยและรักเธอ

ต่อจากนี้เธอจะเป็นความทรงจำที่ดี
จะรักเธออย่างนี้ แม้ไม่มี เธออยู่เดินร่วมทาง
สิ่งที่เราเคยมีให้กันมาแสนนาน
ฉันไม่มีทาง ลบมันจากใจ
รู้ไว้ฉันยังห่วงใยและรักเธอ

รู้ไว้ฉันยังห่วงใยและคิดถึงเธอ",7_days_crazy
แทงหลัง,/music/thailyric/14494,"เพราะเธอคือทุกอย่างคือความฝัน
คือคนที่เคยวาดไว้
แต่ความจริงช่างโหดร้ายไม่สวยงาม
เพราะเจ้าของหัวใจเธอคือเพื่อนฉัน

แต่มันเกินห้ามใจอดทนไม่ไหว
ก็เลยหลุดพูดคำนั้น
แต่เธอคงไม่ว่ากัน ช่วยกันสักครั้ง

เก็บไอ้คำว่ารัก รักที่ฉันพูดไป ให้รู้
รู้แค่เราได้ไหมอย่าพึ่งบอกใคร
ให้เก็บมันไว้ อยู่ในส่วนที่ลึก
ลึกข้างในหัวใจ ให้รู้
รู้แล้วมีแค่เราได้ไหมฮู้ ฮู
อย่าพึ่งบอกใคร เหยียบมันเอาไว้
ให้รู้แค่เธอ

ไม่เคยหักหลังใคร ที่ฉันทำ
ก็รู้ว่ามันไม่ดี
แต่ขอเพียงเท่านี้ เท่านี้จริงๆ
ไม่มีอะไรมากเกิน

แต่มันเกินห้ามใจอดทนไม่ไหว
ก็เลยหลุดพูดคำนั้น
แต่เธอคงไม่ว่ากัน ช่วยกันสักครั้ง

เก็บไอ้คำว่ารัก รักที่ฉันพูดไป ให้รู้
รู้แค่เราได้ไหม อย่าพึ่งบอกใคร
ให้เก็บมันไว้อยู่ในส่วน ที่ลึก
ลึกข้างในหัวใจให้รู้
รู้แล้วมีแค่เราได้ไหม ฮู้ ฮู
อย่าพึ่งบอกใคร เหยียบมันเอาไว้
ให้รู้แค่เธอ

แต่มันเกินห้ามใจอดทนไม่ไหว
ก็เลยหลุดพูดคำนั้น
แต่เธอคงไม่ว่ากัน ช่วยกันสักครั้ง

เก็บไอ้คำว่ารัก รักที่ฉันพูดไป ให้รู้
รู้แค่เราได้ไหม อย่าพึ่งบอกใคร
ให้เก็บมันไว้อยู่ในส่วน ที่ลึก
ลึกข้างในหัวใจ ให้รู้
รู้แล้วมีแค่เราได้ไหม ฮู้ ฮู
อย่าพึ่งบอกใคร เหยียบมันเอาไว้
ให้รู้แค่เธอ

ก็ไม่ได้อยากจะทำอย่างนั้น
ทั้งๆ ที่รู้ว่าไม่ดี
แต่บอกไม่ถูกเวลาที่มอง
เธอไปบางครั้งทำไงดี
ไอ้นั่นก็เพื่อนคนนี้ก็แฟนมัน
ก็ไม่ได้คิดจะหักหลัง
แต่เหมือนเอามีดมาแทงกัน
ทุกครั้งที่เจอกันมันทำให้ฉันคิด
อยากทำได้แบบที่แฟนเธอทำ
ทั้งๆ ที่รู้ว่ามันผิด
อยากให้เธอมองเป็นคนสำคัญ
แต่ดันเป็นแฟนของเพื่อนสนิท
และคำที่พูดไปนั้นให้รู้แค่เราแล้วกัน
เพราะมันเป็นความสัมพันธ์ที่ไม่มีสิทธิ์

อย่าพึ่งบอกใคร เหยียบมันเอาไว้
ให้รู้แค่เธอ",7_days_crazy
เธอเก่งเรื่องลืม ฉันเก่งเรื่องจำ,/music/thailyric/9992,"เชื่อคนใจง่าย ก็มีแต่เหนื่อยหัวใจ
พูดอะไรไว้ ก็คงไม่เคยสนใจ
ที่บอกว่าเราจะรักกัน
อยู่ไปนานนานไม่คิดเปลี่ยนไป

เธอไม่เคยพูดเลยใช่ไหม หรือความจำเสื่อม
คงเป็นคำพูดที่มันเด็กๆ
อาจเป็นเรื่องเล็กของเธอ
แต่กับฉัน มันติดอยู่ในใจ

เธอเก่งเรื่องลืม ฉันเองมันเก่งเรื่องจำ
ยังคงรักษาคำพูดทุกคำ ไม่เปลี่ยนไป
หรือฉันโง่เองที่ยังจดจำ คำว่าจะรักตลอดไป
เธอลืมง่ายเพราะมีใคร ส่วนฉันยังรักเธอไปเมื่อใจไม่ยอมลืม

เมื่อเธอคนเก่า อยากจบเรื่องราวของเรา
แม้มันจะเหงา ต้องยอมรับมันให้ได้
ก็คงลืมเธอได้สักวัน จะเอาอย่างเธอที่สอนเอาไว้
คงต้องมีสักวัน ที่ฉันจะเก่งเหมือนเธอ

ก็คงเป็นฉันที่มันเด็กเด็ก ดูเป็นเรื่องเล็กของเธอ
แต่กับฉัน มันเป็นเรื่องใหญ่เสมอ

เธอเก่งเรื่องลืม ฉันเองมันเก่งเรื่องจำ
ยังคงรักษาคำพูดทุกคำ ไม่เปลี่ยนไป
หรือฉันโง่เองที่ยังจดจำ คำว่าจะรักตลอดไป
เธอลืมง่ายเพราะมีใคร ส่วนฉันยังรักเธอไปเมื่อใจไม่ยอมลืม

เธอเก่งเรื่องลืม ฉันเองมันเก่งเรื่องจำ
ยังคงรักษาคำพูดทุกคำ ไม่เปลี่ยนไป
หรือฉันโง่เองที่ยังจดจำ คำว่าจะรักตลอดไป
เธอลืมง่ายเพราะมีใคร ส่วนฉันยังรักเธอไปเมื่อใจไม่ยอมลืม

จะรักตลอดไป เธอลืมง่ายเพราะมีใคร
ส่วนฉันยังรักเธอไปเมื่อใจไม่ยอมลืม",7_days_crazy
