song_name,href,lyric,artist
กลับมาได้บ่,/music/thailyric/13879,"ก็ใจมันคิดฮอด คิดฮอดคนที่อยู่ไกล
ฝากลมซอยพัดไป พัดใจไปฮอดเจ้า
อยากบอกไห้ฮู้ว่ายังฮัก ยังฮัก ยังค่อยเฝ้าดูและห่วงใย
อยากกอดอยากยืนข้างกาย คือเก่าแต่ก่อน

ตั้งแต่มื้อที่เลิกกันไป บ่มีมื้อใด๋ บ่คิดฮอด
ยังคิดถึงตลอด คิดฮอดฮอยกอดฮักเฮา

กลับมาได้บ่ หัวใจน้องคิดฮอดเจ้า
น้องฮู้อ้ายว่าเศร้า ที่เฮ็ดให้เจ้าเสียใจ
คั่นแม่นกลับคืนไปได้ สิบ่เฮ็ดไห้อ้ายฮ้องไห้

กลับมาได้บ่น้องบ่อยากอยู่คนเดียว
ในมื้อที่โดดเดี่ยวมันทรมาน หัวใจ
ขอโทษซุอย่างที่เฮ็ดไป
อยากไห้ฮู้น้องยังคิดฮอด

ตั้งแต่มื้อที่เลิกกันไป บ่มีมื้อใด๋ บ่คิดฮอด
ยังคิดถึงตลอด คิดฮอดฮอยกอดฮักเฮา

กลับมาได้บ่ หัวใจน้องคิดฮอดเจ้า
น้องฮู้อ้ายว่าเศร้า ที่เฮ็ดให้เจ้าเสียใจ
คั่นแม่นกลับคืนไปได้ สิบ่เฮ็ดไห้อ้ายฮ้องไห้

กลับมาได้บ่น้องบ่อยากอยู่คนเดียว
ในมื้อที่โดดเดี่ยวมันทรมาน หัวใจ
ขอโทษซุอย่างที่เฮ็ดไป
อยากไห้ฮู้น้องยังคิดฮอด

ขอโทษซุอย่างที่เฮ็ดไป
อยากไห้ฮู้ ว่าน้องยังฮัก",arm_chutima
กะแค่ผู้ชาย,/music/thailyric/18111,"กินข้าว บ่ลง ยังคงคิดฮอดหลาย
ทั้งหลับ ทั้งน้ำตาไหล ในแต่ละคืน
บ่อยาก เฮ็ดอีหยัง นอนบ่หลับ แต่บ่อยากตื่น
เห็นแต่หน้า อ้ายกับคนอื่น อยู่ในสมอง

หม่องที่เฮาเคยไป เสื้อเคยใส่คู่กัน
สิ่งที่เคยผูกพัน ยังจำขึ้นใจ
เรื่องที่มันผ่านมา ย้อนเวลา บ่ได้
มันสิยากปานใด๋ ประสาตัดใจจากเขา

กะแค่ผู้ชาย ที่เฮาเคยฮัก
เคยฝากเคยฝังหัวใจ
มันยากแท้บ้อ ก็แค่ตัดใจ
จักสิไห้ นำเฮ็ดหยัง
บ่คิดสิลืมและยังฮักแฮง
แต่ว่ามันกะแค่ความหลัง
ถึงสิเป็นจั่งได๋กะส่าง เฮาต้องตัดใจ

หม่องที่เฮาเคยไป เสื้อเคยใส่คู่กัน
สิ่งที่เคยผูกพัน ยังจำขึ้นใจ
เรื่องที่มันผ่านมา ย้อนเวลา บ่ได้
มันสิยากปานได๋ ประสาตัดใจจากเขา

กะแค่ผู้ชาย ที่เฮาเคยฮัก
เคยฝากเคยฝังหัวใจ
มันยากแท้บ้อ ก็แค่ตัดใจ
จักสิไห้ นำเฮ็ดหยัง
บ่คิดสิลืมและยังฮักแฮง
แต่ว่ามันกะแค่ความหลัง
ถึงสิเป็นจั่งได๋กะส่าง เฮาต้องตัดใจ

กะแค่ผู้ชาย ที่เฮาเคยฮัก
เคยฝากเคยฝังหัวใจ
มันยากแท้บ้อ ก็แค่ตัดใจ
จักสิไห้ นำเฮ็ดหยัง
บ่คิดสิลืมและยังฮักแฮง
แต่ว่ามันกะแค่ความหลัง
ถึงสิเป็นจั่งได๋กะส่าง เฮาต้องตัดใจ

ถึงสิฮักอ้ายหลายกะส่าง เฮาต้องตัดใจ",arm_chutima
เขาถิ่มเฮาไปแล้วเด้อ,/music/thailyric/20572,"คั่นบ่จำเป็นบ่อยากให้อ้ายมาเห็นฮอดหน้า
ย้านอ้ายแนมเห็นฮอยน้ำตา
ย้านอ้ายหาว่าน้องอ่อนแอ

แม้ว่ามื้อนี้สิบ่มีอ้ายมาดูแล
แต่บ่อยากให้ฮู้ว่าน้องแพ้ตั้งแต่มื้อที่อ้ายสิไป

ไผสิฮู้ว่าผู้หญิง
ที่ข้างนอกนิ่งๆ บ่เคยง้อไผ
มามื้อนี้มันน้ำตาไหล
ฮ้องไห้บอกใจว่าอดเอา

เขาถิ่มเฮาไปแล้วเด้อ
เซาเพ้อถึงเขาทะแหม
เป็นอีหยังคือฮักคักแท้
เขาบ่แคร์ กะยังฮ้องหา

แม่นสิกำคอเสื้อเจ้าของ สิทุบตี
สิเอามีดมาจี้เขากะบ่เห็นค่า
น้ำตาสิไหล กะให้มันย้อยออกมา
บอกใจให้ลืมเขาสา แม้นว่าคิดฮอด

ไผสิฮู้ว่าผู้หญิง
ที่ข้างนอกนิ่งๆ บ่เคยง้อไผ
มามื้อนี้มันน้ำตาไหล
ฮ้องไห้บอกใจว่าอดเอา

เขาถิ่มเฮาไปแล้วเด้อ
เซาเพ้อถึงเขาทะแหม
เป็นอีหยังคือฮักคักแท้
เขาบ่แคร์ กะยังฮ้องหา

แม่นสิกำคอเสื้อเจ้าของ สิทุบตี
สิเอามีดมาจี้เขากะบ่เห็นค่า
น้ำตาสิไหล กะให้มันย้อยออกมา
บอกใจให้ลืมเขาสา แม้นว่าคิดฮอด

บอกกับใจให้ลืมเขาสา แม้นว่าคิดฮอด",arm_chutima
คือว่าเขาดี,/music/thailyric/21613,"ขอบคุณหลายๆที่ถิ่มกันไปในเนื้อนั้น
คั่นบ่ถิ่มกัน คงบ่พ้อคนที่ดีกว่า
ขอบใจหลายๆเด้อ ที่เธอเฮ็ดให้เสียน้ำตา
สิได้เฮียนฮู้สิได้ฮู้ว่า อกหักมันเป็นจั่งใด๋

บ่ต้องโทรมาแล้วเด้อ บ่อยากรื้อฟื้นให้ช้ำใจ
จบแล้วกะจบไปทางไผ่ก็ทางมัน
บ่อยากสิเว่าพื้นความหลัง จำได้อยู่บ้อในมื้อนั้น
ที่อ้ายเลือกไปกับมันถิ่มน้องให้เจ็บใจ

คือว่าเขาดี กะไปเอาเขาทะแม้
คือว่าฮักเขาคักแท้ สิมาตอแยอิหยังกันอีก
ที่ถิ่มน้องไป บ่คึดอยากอ้ายซั่นตี้
หน้าด้านอีหลี น้องมีคนใหม่แล้วเด้อ

ขอบคุณหลายๆ ที่เฮ็ดให้น้องพ้อคนใหม่
คั่นบ่ถิ่มไป น้องคงบ่พ้อคนจั่งเขา
เขาฮักน้องอีหลีบ่ได้เฮ็ด ให้มีน้ำตาคือเจ้า
เซาสาอย่ามาง้อเถอะเซา น้องบ่ได้ฮักอ้ายแล้ว

คือว่าเขาดี กะไปเอาเขาทะแม้
คือว่าฮักเขาคักแท้ สิมาตอแยอิหยังกันอีก
ที่ถิ่มน้องไป บ่คึดอยากอ้ายซั่นตี้
หน้าด้านอีหลี น้องมีคนใหม่แล้วเด้อ

คือว่าเขาดี กะไปเอาเขาทะแม้
คือว่าฮักเขาคักแท้ สิมาตอแยอิหยังกันอีก
ที่ถิ่มน้องไป บ่คึดอยากอ้ายซั่นตี้
หน้าด้านอีหลี น้องมีคนใหม่แล้วเด้อ",arm_chutima
แค่ขี้เมา,/music/thailyric/23660,"บ่ต้องมาหัวซา ประสาผู้หญิงขี้เหล้า
ให้อ้ายฮักกับเขา ให้เจ้าไปพ้อ ีชีวิตใหม่
แนวที่มันบ่ดี กะขอให้ทิ้งมันไป
บ่ต้องมาสนใจตราบใด ที่ยังบ่ตาย

อ้ายอย่ามาหย่างให้เห็น
อย่าทำเป็นห่วงกัน
มื้อที่อ้ายเลือกเขาคนนั้น
คือบ่คึดพ้อแน่จักน่อย

ว่าคนที่มันถืกป๋า เสียน้ำตาบ่น้อย
จึงบ่ลืมน้องสิค่อยๆ เฮ็ดใจ

น้องมันขี้เหล้าน้องมันขี้เมา
ขาดอ้ายกะแค่เหงาแต่ขาดเหล้านั้นบ่ได้
มีแหน่คิดฮอด แต่บ่อยากได้
ผู้ชายบ่ฮูจักพอ

ที่มันฮ้องไห้ บ่ได้เรียกร้อง
แค่หัวใจบ่แข็งคือคอ
แค่คิดฮอด ตอนที่เฮา นั้นยังฮักกัน

ต้องกลายเป็นขี้เหล้า
แบบบ่ได้ตั้งใจ โอ๊ย
เหล้าขวดนี้มันบ่เคย
ฆ่าไผตายคือกับเจ้า

เป็นขี้เมาบ่มีมื้อส่วง
ให้คนท้วงเขาเอิ้นบักขี้เมา
เบิ่ดขวดนี้กะเซ็นคือเก่า
ถืกถิ่มแฮ่งเมากว่าเก่า
บ่มีมื้อส่วง

น้องมันขี้เหล้าน้องมันขี้เมา
ขาดอ้ายกะแค่เหงาแต่ขาดเหล้านั้นบ่ได้
มีแหน่คิดฮอด แต่บ่อยากได้
ผู้ชายบ่ฮูจักพอ

ที่มันฮ้องไห้ บ่ได้เรียกร้อง
แค่หัวใจบ่แข็งคือคอ
แค่คิดฮอด ตอนที่เฮา นั้นยังฮักกัน

น้องมันขี้เหล้าน้องมันขี้เมา
ขาดอ้ายกะแค่เหงาแต่ขาดเหล้านั้นบ่ได้
มีแหน่คิดฮอด แต่บ่อยากได้
ผู้ชายบ่ฮูจักพอ

ที่มันฮ้องไห้ บ่ได้เรียกร้อง
แค่หัวใจบ่แข็งคือคอ
แค่คิดฮอด ตอนที่เฮา นั้นยังฮักกัน

เซาสาเถาะ เขาบ่มักคนขี้เมา",arm_chutima
ที่รักของคนอื่น,/music/thailyric/15369,"บ่ได้ตั้งใจ ให้เรื่องมันจบแบบนี้
ขอโทษอีหลี ที่น้องนั้นมีคนใหม่
บ่ได้คิดเลยว่าน้องต้องเลิกกับอ้าย
น้องกะแค่เหงาใจ ตอนที่อ้ายบ่อยู่

บ่ได้อยากให้เรื่องของเฮาต้องจบลงแค่ตรงนี้
แต่น้องกะยังคิดฮอดอ้ายทุกวินาที
ขอโทษได้บ่ขอโทษทุกอย่าง ที่น้องเฮ็ดลงไป

เข้าใจอ้ายอยู่ว่าน้องนั้นเฮ็ดพลาดไปแล้ว
ฮักของเฮามันจบสิกลับมาคบกันจังใด๋
แม้ว่ามันเป็นไปบ่ได้ ก็อยากอ้ายจำไว้เด้อว่า

น้องยังบ่ลืม อ้ายเลยจักเทือ
เป็นฮ้ายเอาเหลือ ไห้นำทุกเทือยามเว่าหา
ได้ยินชื่ออ้ายยามใด๋ น้องกะอยากพ้อหน้า
สิได้บอกกับอ้ายเลยว่า บ่ได้ตั้งใจให้เฮานั้นต้องลา
ยังคิดฮอดเจ้ายังฮักคือเก่าฮั่นหล่า
ที่รักของคนอื่น

บ่ได้อยากให้เรื่องของเฮาต้องจบลงแค่ตรงนี้
แต่น้องกะยังคิดฮอดอ้ายทุกวินาที
ขอโทษได้บ่ขอโทษทุกอย่าง ที่น้องเฮ็ดลงไป

เข้าใจอ้ายอยู่ว่าน้องนั้นเฮ็ดพลาดไปแล้ว
ฮักของเฮามันจบสิกลับมาคบกันจังใด๋
แม้ว่ามันเป็นไปบ่ได้ ก็อยากอ้ายจำไว้เด้อว่า

น้องยังบ่ลืม อ้ายเลยจักเทือ
เป็นฮ้ายเอาเหลือ ไห้นำทุกเทือยามเว่าหา
ได้ยินชื่ออ้ายยามใด๋ น้องกะอยากพ้อหน้า
สิได้บอกกับอ้ายเลยว่า บ่ได้ตั้งใจให้เฮานั้นต้องลา
ยังคิดฮอดเจ้ายังฮักคือเก่าฮั่นหล่า
ที่รักของคนอื่น

น้องยังบ่ลืม อ้ายเลยจักเทือ
เป็นฮ้ายเอาเหลือ ไห้นำทุกเทือยามเว่าหา
ได้ยินชื่ออ้ายยามใด๋ น้องกะอยากพ้อหน้า
สิได้บอกกับอ้ายเลยว่า บ่ได้ตั้งใจให้เฮานั้นต้องลา
ยังคิดฮอดเจ้ายังฮักคือเก่าฮั่นหล่า
ที่รักของคนอื่น

ยังคิดฮอดเจ้ายังฮักคือเก่าฮั่นหล่า
ที่รักของคนอื่น",arm_chutima
เธอคือ...?,/music/thailyric/14427,"ข้าวออกฮวงเป็นพวงแล้ว เริ่มเหลืองอุยฮุยแล้ว
ปีนี้อ้ายคงบ่แซว คงบ่มาซ่อยน้องสีข้าว
จำได้บ่ออกพรรษา ปลายฝนเริ่มต้นหนาว
ไผๆ กะควงผู้บ่าว มาเที่ยวงานกันเป็นคู่

หมอลำบ้านอ้ายน้องกะไป
หมอลำบ้านได๋ บ่เคยพลาด
ใส่ซ่งขาดๆ เสื้อฮิต ตามด้วยแขนยาว
แม้กลางคืนสิหนาว ส่ำใด

เธอคือกำลังใจ ให้ฉันไปเบิ่งหมอลำ
และเธอคือคนที่ทำให้ฉันน่ะ มีเรี่ยวแรง
ไกลปานได๋บ่เคยย่าน ขี่มอไซบ่เคยคร้าน
กลับบ้านดึก ก็ตื่นเซ้าไปโรงเรียนได้

ผิดกันกับรุ่นพี่ บ่มีแล้ว
ไผแนมหน้าก็ยิงแข่ว บ่สนใจ
โลกใบนี้มันสดใส ฮักเจ้าหลายๆ
โอ้ โอ ผู้บ่าวซำน้อย

หมอลำบ้านอ้ายน้องกะไป
หมอลำบ้านได๋ บ่เคยพลาด
ใส่ซ่งขาดๆ เสื้อฮิต ตามด้วยแขนยาว
แม้กลางคืนสิหนาว ส่ำใด

เธอคือกำลังใจ ให้ฉันไปเบิ่งหมอลำ
และเธอคือคนที่ทำให้ฉันน่ะ มีเรี่ยวแรง
ไกลปานได๋บ่เคยย่าน ขี่มอไซบ่เคยคร้าน
กลับบ้านดึก ก็ตื่นเซ้าไปโรงเรียนได้

ผิดกันกับรุ่นพี่ บ่มีแล้ว
ไผแนมหน้าก็ยิงแข่ว บ่สนใจ
โลกใบนี้มันสดใส ฮักเจ้าหลายๆ
โอ้ โอ

เธอคือกำลังใจ ให้ฉันไปเบิ่งหมอลำ
และเธอคือคนที่ทำให้ฉันน่ะ มีเรี่ยวแรง
ไกลปานได๋บ่เคยย่าน ขี่มอไซบ่เคยคร้าน
กลับบ้านดึก ก็ตื่นเซ้าไปโรงเรียนได้

ผิดกันกับรุ่นพี่ บ่มีแล้ว
ไผแนมหน้าก็ยิงแข่ว บ่สนใจ
โลกใบนี้มันสดใส ฮักเจ้าหลายๆ
โอ้ โอ ผู้บ่าวซำน้อย

เธอคือ ผู้บ่าวซำน้อย",arm_chutima
บ่ขวางทางอ้าย,/music/thailyric/12509,"เจ็บทุกครั้ง ยามเห็นอ้ายโพสต์ถึงเขา
แม้ว่าเฮา บ่ได้เป็นอิหยังกัน
เขาเป็นคน เฮ็ดให้อ้ายเปลี่ยนใจ
อ้ายจึงบอกเลิกน้องในวันนั้น

เขาสำคัญ แตกต่างจากน้อง
คิดอยู่ในใจ ว่าสิเฮ็ดให้อ้ายกับเขาเลิกกัน
ได้แต่ห้ามหัวใจเจ้าของ
บอกตัวเองว่า อย่า
เรื่องความหลังเก็บไว้ในใจ
อย่าให้มันแสดงออกมา
อย่าให้เขาฮู้ว่า เฮายังฮักเขาอยู่เหมิดใจ

ได้แต่ปั้นหน้ายิ้มใส่
ถามไถ่กับเขาคนนั้น
แต่ความจริงฉัน
เก็บอาการจนแทบบ่ไหว
อยากลืมความเก่าความหลัง
ที่เฮาสอง เคยฮักเคยแพงกันส่ำได๋
แต่ลืมบ่ได้ ว่าอ้ายคือคนสำคัญ

คือว่าหล่ะเน๊าะ เขางาม เขารวยกว่าน้อง
ถึงเฮาคบกันไป ความสุขก็คงบ่ยัง
ดีแล้วหล่ะที่อ้ายเลือกเขา
ดีกว่าคบกับคนเปื้อนฝัน
คนคือน้องขอไปตามทาง บ่ขวางทางอ้าย


ได้แต่ปั้นหน้ายิ้มใส่
ถามไถ่กับเขาคนนั้น
แต่ความจริงฉัน
เก็บอาการจนแทบบ่ไหว
อยากลืมความเก่าความหลัง
ที่เฮาสอง เคยฮักเคยแพงกันส่ำได๋
แต่ลืมบ่ได้ ว่าอ้ายคือคนสำคัญ

น้องขอไปตามทาง บ่ขวางทางอ้าย",arm_chutima
บ่มีฮักแท้ในวงเหล้า,/music/thailyric/14881,"อ้ายมันซั่ว หรือว่าน้องมันโง่
สับรางได้อย่างลงโต โพดโพอิหลี
เหงา อ้ายก็แวะมา เบิดเวลาแล้วอ้ายกะหนี
แม้ว่าน้องสิเฮ็ดดีกับอ้ายส่ำใด๋

โตจริงบ่ต้องติงคีง เขากะสำคัญ
โตสำรองคือจั่งน้องนั่นได้แต่สำคัญโต
น้องมันแค่เหล้าขาว น้องมันสาวเหล้าโท
รูปลักษณ์มันบ่น่าโชว์คือจั่งเหล้านอก

บ่มีฮักแท้ในวงเหล้า จักสิเว้าอิหยังหลาย
ถึงว่าน้องจะรักมากมาย แต่อ้ายแค่รู้สึกดี
ในใจของอ้ายมีเขาอยู่
ตำจอกจนวินกะบ่ได้อยู่ ในใจของพี่
ผู้สาวเหล้าขาว ผู้บ่าวเหล้าสี
ฮู้ดีมันต่างกัน

ไผว่าฮักแท้ มันแพ้ ชิดใกล้
ขนาดเขาอยู่ตั้งบักไกล ใจอ้ายยังมีแต่เขา
เกือบสิดีแล้ว เรื่องระหว่างเรา
แต่อ้ายกะมีเขาอยู่ในใจ โอ๊ย

บ่มีฮักแท้ในวงเหล้า จักสิเว้าอิหยังหลาย
ถึงว่าน้องจะรักมากมาย แต่อ้ายแค่รู้สึกดี
ในใจของอ้ายมีเขาอยู่
ตำจอกจนวินกะบ่ได้อยู่ ในใจของพี่
ผู้สาวเหล้าขาว ผู้บ่าวเหล้าสี
ฮู้ดีมันต่างกัน

บ่มีฮักแท้ในวงเหล้า จักสิเว้าอิหยังหลาย
ถึงว่าน้องจะรักมากมาย แต่อ้ายแค่รู้สึกดี
ในใจของอ้ายมีเขาอยู่
ตำจอกจนวินกะบ่ได้อยู่ ในใจของพี่
ผู้สาวเหล้าขาว ผู้บ่าวเหล้าสี
ฮู้ดีมันต่างกัน

ผู้สาวเหล้าขาว ผู้บ่าวเหล้าสี
ฮู้โตดี ว่าควรสิอยู่จุดได๋",arm_chutima
ไปต่อหรือพอส่ำนี่,/music/thailyric/13468,"น้องบ่ฮู้ดอกว่า น้องคบต่อผู้ใด๋
น้องบ่สนว่าอ้าย เคยฮักกับไผดอกหนา
ผูกพันลึกซึ้งน้องเข้าใจ น้องเองก็เคยผ่านมา
เพียงแต่ว่า น้องบ่แม่นคนจมปลัก

ระหว่างเฮาสองที่ฮักกันอยู่ตอนนี้
กับฮักที่เคยมี จากวันนั้น
เมื่อเขากลับมาน้องฮู้ดีว่าอ้ายไหวหวั่น
และนี่ก็เป็นวัน ที่อ้ายต้องตัดใจจากไผสักคน

สิไปต่อ หรือสิพอส่ำนี้
เว้ามาตี้ ฟ่าวตัดสินใจ
คั่นยังบ่ลืมเขากะไป
แต่คั่นฮักน้องหลาย อ้ายกะอยู่
คั่นอ้ายยังคิดฮอดเขา
เฮากะเลิกกันสา ต่างคนต่างอยู่
ฮักไผลองเว้ามาดู
อ้ายสิอยู่ หรืออ้ายสิไป

แค่อ้ายบอกมา น้องสิถ่าฟัง
ใจอ้ายต้องการหยัง ในตอนนี้
สิอยู่หรือว่าสิไป เว้ามาให้จบดี
อย่าให้คาราคาซังอยู่จั่งซี่ สิเลือกไผ

สิไปต่อ หรือสิพอส่ำนี้
เว้ามาติ๊ ฟ่าวตัดสินใจ
คั่นยังบ่ลืมเขากะไป
แต่คั่นฮักน้องหลาย อ้ายกะอยู่
คั่นอ้ายยังคิดฮอดเขา
เฮากะเลิกกันสา ต่างคนต่างอยู่
ฮักไผลองเว้ามาดู
อ้ายสิอยู่ หรืออ้ายสิไป

สิไปต่อ หรือสิพอส่ำนี้
โอ๊ย ฟ่าวตัดสินใจ
คั่นยังบ่ลืมเขากะไป
แต่คั่นฮักน้องหลาย อ้ายกะอยู่
คั่นอ้ายยังคิดฮอดเขา
เฮากะเลิกกันสา ต่างคนต่างอยู่
ฮักไผลองเว้ามาดู
อ้ายสิอยู่ หรืออ้ายสิไป

ฮักไผลองเว้ามาเถาะ
สิไปต่อหรือพอส่ำนี้",arm_chutima
