song_name,href,lyric,artist
แค่เธอ,/music/thailyric/6159,"เส้นทางแสนไกล ออกเดินไม่รู้จะหยุดตรงไหน
เมื่อไรจะถึงปลายทาง
เฝ้ามองเรื่องราว ปวดร้าวลึกๆ ในใจครั้งก่อน
ยังซับซ้อนในกาลเวลา

แต่ตอนนี้ ได้เข้าใจในทุกอย่าง
ความรักที่เคยมีมา แม้ไกลเท่าไรไม่ืลืม

และในวันนี้ทุกอย่างในใจ
จะเป็นอย่างไร แค่ตัดสินใจ
จะเดินกลับหลัง หรือก้าวต่อไป
แค่เราที่รู้

แต่ตอนนี้ ได้เข้าใจในทุกอย่าง
ความรักที่เคยมีมา แม้ไกลเท่าไรไม่ืลืม

และในวันนี้ทุกอย่างในใจ
จะเป็นอย่างไร แค่ตัดสินใจ
จะเดินกลับหลัง หรือก้าวต่อไป
แค่เราที่รู้

หากวันพรุ่งนี้ทุกอย่างเปลี่ยนไป
จะเกิดอะไร ต้องเปิดหัวใจ
จะต้องกลับหลัง หรืออยู่ไม่มีใครรู้

และในวันนี้ทุกอย่างในใจ
จะเป็นอย่างไร แค่ตัดสินใจ
จะเดินกลับหลัง หรือก้าวต่อไป
แค่เราที่รู้

หากวันพรุ่งนี้ทุกอย่างเปลี่ยนไป
จะเกิดอะไร ต้องเปิดหัวใจ
จะต้องกลับหลัง หรืออยู่ไม่มีใครรู้

และในวันนี้ทุกอย่างในใจ
จะเป็นอย่างไร แค่ตัดสินใจ
จะเดินกลับหลัง หรือก้าวต่อไป
แค่เราที่รู้

แค่เราที่รู้ แค่เราที่รู้",armchair
ขอให้หยุดฟัง,/music/thailyric/6153,"บางเวลา ห่างกัน แสนไกล แต่ได้ยินเสียง
และคล้ายว่าเราไม่เคยห่างไกลกัน
ในบางวัน อาจดูไม่มีความหมาย
แต่ยังมีฉัน ที่คิดถึงกัน และคอยห่วงใยเธอ
ห่างไกลกันเท่าไหร่ คล้ายคล้ายว่าผูกพัน
จดจำทุกถ้อยคำ
ส่งความคิดถึงกัน เท่านั้นก็สุขใจ
ดั่งอยู่เคียงข้างกัน
เต็มไปด้วยความรัก ความผูกพัน
แทนที่ความเงียบเหงา ทุกถ้อยคำ
ส่งความคิดถึง ด้วยเสียง
เธอและฉันยังมีกัน ไม่ห่างไกล
เธอผู้เดียวเท่านั้นที่เฝ้ารอ
เพียงแค่อยากจะขอให้หยุดฟัง
คำหนึ่งคำ ว่ารัก จากฉัน
เติมความหมายในใจตลอดไป",armchair
เข้าใจและยอมรับ,/music/thailyric/6154,"ลมช่วยพัดพา สู่ความฝัน
วันที่สวยงาม ตามใจฉัน
วันที่มีเธอ อยู่เคียงกัน
คงไม่มีวันจะเปลี่ยนไป
หากวันนั้น ถ้าเราได้เข้าใจ เปลี่ยนแปลง
ก็จะพบกับความผูกพัน ที่แสนดี
วันนี้ หากเธอไม่มีใคร หากเธออยากคิดเปลี่ยนใจ
เหมือนว่าเธอมอง ว่ามันไม่สำคัญ
แต่ฉันว่าก็ดี อยู่แล้ว
แม้ว่าเรามอง ต่างกันไปเสียบ้าง
แต่วันนั้น ถ้าเราสองเข้าใจ และยอมรับ
เหมือนว่าเธอมอง ว่ามันไม่สำคัญ
แต่ฉันก็ว่าดี อยู่แล้ว
แม้ว่าเรามองต่างกันไปเสียบ้าง
แต่วันนั้น ถ้าเราสองเข้าใจ และยอมรับ",armchair
ทำไม,/music/thailyric/6160,"อย่างไร เธอคิดอย่างไร
คืนที่ผ่านไป แค่เพียงกาย หรือเปล่า
ความจริง ...ฉันอยู่ตรงนี้
จริงจริง ...ฉันอยู่ตรงไหน
จะเป็นเพื่อนอย่างเดิมไหม ได้อย่างไร

เหตุผล เป็นหมื่นพันให้เธอนั้น ตระหนัก
ฉัน คงผูกพันเธออย่างเดิม ไม่ได้

ทำไม ...ทุกอย่างเธอก็รู้อยู่
ทำไม ...แค่เปิดใจอีกครั้งหนึ่ง
ทำไม ...ไม่เปิดใจอีกครั้งหนึ่ง ..ทำไม

เหตุใด เป็นเพราะเหตุใด
ทำเพราะเหตุใด แค่เพียงกาย หรือเปล่า
จะเป็น ...เนื่องจากความเหงา
จะเป็น ...แค่หนึ่งคืนนั้น
อะไรระหว่างเรานั้น คืออะไร

เหตุผล เป็นหมื่นพันให้เธอนั้น ตระหนัก
ฉัน คงกลับไปเป็นอย่างเดิม ไม่ง่าย

ทำไม ...ทุกอย่างเธอก็รู้อยู่
ทำไม ...แค่เปิดใจอีกครั้งหนึ่ง
ทำไม ...ไม่เปิดใจอีกครั้งหนึ่ง ..ทำไม",armchair
ผู้ชายที่โชคดี,/music/thailyric/6163,"ออกจะเกินไปไหม ถ้าฉันจะยืนยัน
ว่าผู้ชายอย่างฉัน ช่างโชคดี
อาจมีใครยังหา หาคนที่พอดี
แต่ในนาทีนี้ ฉันเจอะแล้ว

คนที่พร้อมจะคอยอยู่ข้างกันไป
หัวเราะ ร้องไห้
เจอะเจอเรื่องดีหรือร้าย ก็กอดฉัน
ดั่งมีใครส่งเขาลงมาจากบนนั้น ให้พบกัน

หากคุณได้พบใคร แล้วกลายเป็นผูกพัน
ก็คงไม่ต่างกัน กับตัวฉัน วันนั้น สักเท่าไหร่
พบกันแล้วก็อย่าให้แคล้วคลาดไป
โปรดรักเขาไปจนหมดหัวใจ

พบกันแล้วก็อย่าให้แคล้วคลาดไป
โปรดรักเขาไปจนหมดหัวใจ
พบกันแล้วก็อย่าให้แคล้วคลาดไป
แค่รักเขาไปจนหมดหัวใจ",armchair
มินิต ออฟ เลิฟ (Minute of Love),/music/thailyric/6169,"วันที่จับมือกัน เธอกับฉันนั้นลืมบ้างไหมว่าเมื่อไหร่
จำอะไรได้บ้างไหม ว่าสุดท้ายอะไรที่ทำให้ได้พบกัน
แล้วใครรักใครก่อน ไม่รู้ว่าเรารักกันเมื่อไหร่

แต่ความรู้สึกของฉันวันนั้นเท่านั้น ( มันได้ตอบคำถาม )
บอกกับฉันว่าเธอคนนี้ ( อยู่กับฉันบนโลกใบนี้ )
และนับตั้งแต่นาทีตรงนั้น ที่ฉันเพิ่งรู้ว่ารักเธอ

ก็อยากให้รู้ว่านับตั้งแต่วันนั้นทุกวินาทีของฉัน
บอกกับฉันว่าโลกนี้มีเธออยู่
เพราะฉันไม่เคยรู้สึก อะไรมากมายเท่านี้
ก็อยากให้รู้แม้จะอยู่ห่างไกลถึงแม้จะอยู่ตรงไหน
ถ้าโลกนี้นั้นมีแค่ใครสักคนหนึ่ง ให้คิดถึงกันทุกวัน
จะทำให้หมดคำถาม ...ตลอดไป

อยู่ด้วยกัน และอยู่ข้างข้างกัน บนโลกใบนี้
อยู่ด้วยกัน และอยู่ข้างข้างกัน",armchair
รึเปล่า,/music/thailyric/6171,"ไม่แน่ใจ กับท่าที แต่รู้ว่ามีความหมาย
ได้พบกัน อยู่ทุกวัน แต่ฉันไม่เคยมั่นใจ

จะให้ทำอย่างไร ก็ไม่รู้
ยังเฝ้ามองเธออยู่ ทุกคืนวัน
ดูเหมือนมีอะไรอยู่ในดวงตาคู่นั้น
บอกฉันให้รู้อยู่ทุกวัน ว่าเธอมีใจให้เหมือนกัน

รึเปล่า เธอคิดอยู่รึเปล่า
ไม่อยากจะคาดเดา เราอาจจะคิดไปเอง
รึเปล่า เธอคิดอยู่รึเปล่า
รู้สึกบ้างรึเปล่า เพราะว่าฉันรักแต่เธอ
รู้สึกรึเปล่า

จะให้ทำอย่างไร ก็ไม่รู้
ยังเฝ้ามองเธออยู่ ทุกคืนวัน
ดูเหมือนมีอะไรอยู่ในดวงตาคู่นั้น
บอกฉันให้รู้อยู่ทุกวัน ว่าเธอมีใจให้เหมือนกัน

รึเปล่า เธอคิดอยู่รึเปล่า
ไม่อยากจะคาดเดา เราอาจจะคิดไปเอง
รึเปล่า เธอคิดอยู่รึเปล่า
รู้สึกบ้างรึเปล่า เพราะว่าฉันรักแต่เธอ
รู้สึกรึเปล่า

เธอคิดอยู่รึเปล่า ไม่อยากจะคาดเดา รู้สึกอยู่รึเปล่า

รึเปล่า เธอคิดอยู่รึเปล่า
ไม่อยากจะคาดเดา เราอาจจะคิดไปเอง
รึเปล่า เธอคิดอยู่รึเปล่า
รู้สึกบ้างรึเปล่า เพราะว่าฉันรักแต่เธอ
รู้สึกรึเปล่า",armchair
วันที่ฉันป่วย,/music/thailyric/6172,"แค่อยากตื่น
และฟื้นขึ้นมองเธอได้
และอยากให้อยู่ใกล้ใกล้
ในฝันนั้นมีดวงดาว
ที่อยู่ไม่ห่างจากฉัน

ดวง ดาว ที่ระยิบพราวและ วาว วาม
คงจะไม่งามดั่ง ดวงตา ดวงที่จ้องมา ดั่งตาคู่นั้น
คนดี คนที่ฉันมีอยู่เคียงกาย
ทำให้หัวใจหวั่นไหวไปทุกอย่างกับเธอ

ไม่มีใครที่ล้ำค่า ไม่มีใครสำคัญกว่า
คนที่คอยห่วงหา คอยห่วงใยทุกลมหายใจ
เมื่อหลับตาลงในคืนที่อ่อนล้า
ตื่นมามีเธอไม่ห่างหาย
อยู่ข้างเคียงกายตลอดมา
พบความรักที่ล้ำค่า ความใส่ใจที่เกินกว่า
ไม่อาจจะเสาะหา คำขอบคุณได้ดังตั้งใจ
ก่อนหลับตาลงในวันที่อ่อนล้า
จดจำแววตาที่สดใส
คอยห่วงใยอยู่ข้างข้างกัน
เพียงแค่เรานั้นตื่น",armchair
สำเริงสำราญ,/music/thailyric/6173,"สำเริงสำราญ สุขสบาย หาย คลาย
ตัดใจแล้วจากวันนี้ สตรี ปรีดา
เจ้ามาหยอกล้อ พะเนาพะน้อ
เจ้าเอียงหยอกเย้า สรรพเสียง
แค่เพียงเหงา ว่างเปล่า เท่านั้น
แสนรื่นรมย์กลมกล่อม
กลิ่นเอยกลิ่นหอม ชื่นใจ กับลม ชมเชย
สุขเอยสุขสม รื่นรมย์ อุรา ปรีดา

ฉันเริงสำราญ สุขสบาย หาย คลาย
ตัดใจแล้วจากวันนี้ สตรี นารี
ไม่มีหยอกล้อ พะเนาพะน้อ
ที่คอยหยอกเย้า สรรพเสียง
แค่เพียงเหงา ว่างเปล่า เท่านั้น
แสนรื่นรมย์ในจิตใจ
ก็ยังสบายมากมาย กว่าตอน มีใคร
จิตใจขื่นขม ตรอมตรม กับเธอ นะเธอ
โอ้ชีวิต คิดไปก็เศร้า เมามาย
ศัตรูชีวิต ก็คือสตรี ""ยกเว้นแม่""

สำเริงสำราญ สุขสบาย หาย คลาย
ตัดใจแล้วจากวันนี้ สตรี ปรีดา
เจ้ามาหยอกล้อ พะเนาพะน้อ
เจ้าเอียงหยอกเย้า สรรพเสียง
แค่เพียงเหงา ว่างเปล่า เท่านั้น
แสนรื่นรมย์กลมกล่อม
กลิ่นเอยกลิ่นหอม ชื่นใจ กับลม รำเพย
ก็เคยขื่นขม ตรอมตรม กับลม นารี
ศัตรูชีวิต (ก็)คือสตรี",armchair
อยู่ที่เธอทุกอย่าง,/music/thailyric/6175,"อยากจะหลับตานอน ปล่อยให้ใจของฉันลอยออกไป
อบอุ่นกลิ่นไอ อยากจะกลับไป ณ.วันนั้น
มีเพียงแค่เธอกับฉัน กับวันที่แสนสดใส
อยากให้เวลาที่ล่วงเลยไป  หยุดลงตรงนาทีเดิม

ปราศจากเธอนั้น แต่ละวันของฉัน ไร้ความหมาย
ผิดแผกแปลกไป ไม่มีชีวิต ที่สดใส
ที่ที่เคยได้เห็นอยู่ ไม่มีเธอก็แสนหดหู่
มองดูขอบฟ้าที่ว่างเปล่า ความเหงาก็เข้ามาแทน

อยุ่ที่เธอทุกอย่าง นั่นคือทุกอย่าง
ที่สร้างความงาม เปลี่ยนโลกใบใหม่
โลกที่มีเธออยู่ไม่ห่าง
ทุกอย่างก็ดูสว่าง และ สดใส
อยู่ที่เธอทุกอย่าง นั่นคือทุกอย่าง
ที่สร้างความงาม ที่แสนยิ่งใหญ่
แค่รอคอยโอกาสสักครั้ง
ก็ยังเฝ้าคอยจังหวะ  จะบอกรักกันวันหนึ่ง
จะบอกทุกความรู้สึก ที่เก็บไว้ ..จะได้ไหม จะได้ไหม
PabPupPaDaDub
( จะบอกทุกความรู้สึกที่เก็บไว้..ให้เธอเข้าใจ )
PabPupPaDaDub",armchair
