song_name,href,lyric,artist
เราสองสามคน,/music/thailyric/6092,"เป็นร้อยเป็นพัน กี่นาที
ที่ฉันต้องฝันต้องคอยแบบนี้
นับเป็นปี อีกกี่วันไม่รู้
วันไหนจะได้เจอ

ฝันก็จบลงเมื่อตอน
ที่เธอเดินเข้ามาข้างในหัวใจ

บอกไม่ถูกเลยว่ารู้สึก ดีใจสักเท่าไร
มากแค่ไหนก็ไม่รู้ คนคนเดียวที่ฉันเฝ้ารอ
กลับมาเห็นเขาอยู่ข้างข้างฉัน ใช่เธอจริงๆ

อยากร้องตะโกน บอกกับเธอที่รัก
ว่ารักเธอจนหมดใจ ไม่รู้ทำไม
เก็บอาการไม่ไหว เพราะรักจริงๆ เลย

ฝันก็จบลงเมื่อตอน
ที่เธอเดินเข้ามาข้างในหัวใจ

บอกไม่ถูกเลยว่ารู้สึก ดีใจสักเท่าไร
มากแค่ไหนก็ไม่รู้ คนคนเดียวที่ฉันเฝ้ารอ
กลับมาเห็นเขาอยู่ข้างข้างฉัน ใช่เธอจริงๆ

คนอย่างฉันโชคดีเหลือเกิน
ที่มีเธอเข้ามา ทำให้ฉันเต็มเปี่ยมด้วยรัก

บอกไม่ถูกเลยว่ารู้สึก ดีใจสักเท่าไร
มากแค่ไหนก็ไม่รู้ คนคนเดียวที่ฉันเฝ้ารอ
กลับมาเห็นเขาอยู่ข้างข้างฉัน ใช่เธอจริงๆ

บอกไม่ถูกเลยว่ารู้สึก ดีใจสักเท่าไร
มากแค่ไหนก็ไม่รู้ คนคนเดียวที่ฉันเฝ้ารอ
กลับมาเห็นเขาอยู่ข้างข้างฉัน ใช่เธอจริงๆ",asanee_wasan
จินตนาการ,/music/thailyric/6074,"จินตนาการ ฝันอันยิ่งใหญ่ ฝันที่ห่างไกล มายา
จินตนาการ ฝันของคนกล้า งามตระการตา ที่มาแห่งความจริง

จินตนาการ ฝันกำเนิดสิ่ง นำมาอ้างอิง การใฝ่หา
จินตนาการ ที่บรรเจิดจ้า มาจากปัญญา ของมวลมนุษย์

ที่สิ้นสุด นั้นไม่มี ทุกที่ ไกลและกว้าง
ตื้นและลึก ริมและกลาง แสงสว่าง และมืดมน

ทุกคนมีฝัน สรรค์สร้างโลกใบใหญ่ โลกใบนี้
แต้มเติมแต่งสี ที่ไม่มีหมองหม่น เป็นเหตุเป็นผล ผู้คนเข้าใจ
(จินตนาการ) ขอจงสร้างฝัน สรรค์สร้างโลกกันเถอะ เกิดความหมาย
งดงามไสว ฝันไปได้ทั้งสิ้น ใครอยากโบยบิน ใครอยากเดินดิน

จินตนาการ มีมาเนิ่นนาน จินตนาการ ของมวลมนุษย์

ทุกคนมีฝัน สรรค์สร้างโลกใบใหญ่ โลกใบนี้
แต้มเติมแต่งสี ที่ไม่มีหมองหม่น เป็นเหตุเป็นผล ผู้คนเข้าใจ
(จินตนาการ) ขอจงสร้างฝัน สรรค์สร้างโลกกันเถอะ เกิดความหมาย
งดงามไสว ฝันไปได้ทั้งสิ้น ใครอยากโบยบิน ใครอยากเดินดิน

จินตนาการ จงยั่งยืนนาน จินตนาการ ของมวลมนุษย์",asanee_wasan
ฉันเสียดาย,/music/thailyric/6076,"คงยังไม่สายเกิน มีทางจะเริ่มกันใหม่ ได้อีกไหม
มีกันอยู่สองคน เกินเลยสักนิดสักหน่อย ก็ปล่อยไป

ฉันทำผิด ผิดไปวันนั้น และเสียใจจนวันนี้
ขอโอกาส หากว่าพอเหลือมี แก้ไขให้ดีอีกครั้ง

ฝากเพลงถึงเธอเพลงหนึ่ง ซึ่งเธอก็คงฟังอยู่ ให้ลองคิดดูซักหน่อย
อยากขอให้เธอลองฟัง ว่าฉันยังคงรอคอย จะยอมอภัยให้ได้ไหม

กลับมองย้อนไปวันเก่า อะไรที่เราเคยผ่าน ว่ามันสำคัญเท่าไหร่
ก็รักเรายังมีทาง อย่าทิ้งให้มันจางไป วอนเธอเห็นใจกันสักครั้ง (ฉันเสียดาย)

เรามาก็แสนไกล ไกลเกินจะทิ้งทุกอย่าง ไว้ตรงนี้
ใจคอจะทิ้งกัน จะทำอย่างนั้นคงเจ็บ ยิ่งกว่านี้

เพราะความสุข ช่วงเวลานั้น กี่ร้อยวันพันชั่วโมง
คุ้มหรือเปล่า หากมันจะสิ้นลง ตรงเสี้ยวนาทีอย่างนี้

ฝากเพลงถึงเธอเพลงหนึ่ง ซึ่งเธอก็คงฟังอยู่ ให้ลองคิดดูซักหน่อย
อยากขอให้เธอลองฟัง ว่าฉันยังคงรอคอย จะยอมอภัยให้ได้ไหม

กลับมองย้อนไปวันเก่า อะไรที่เราเคยผ่าน ว่ามันสำคัญเท่าไหร่
ก็รักเรายังมีทาง อย่าทิ้งให้มันจางไป วอนเธอเห็นใจกันสักครั้ง (ฉันเสียดาย)

ฝากเพลงถึงเธอเพลงหนึ่ง ซึ่งเธอก็คงฟังอยู่ ให้ลองคิดดูซักหน่อย
อยากขอให้เธอลองฟัง ว่าฉันยังคงรอคอย จะยอมอภัยให้ได้ไหม

กลับมองย้อนไปวันเก่า อะไรที่เราเคยผ่าน ว่ามันสำคัญเท่าไหร่
ก็รักเรายังมีทาง อย่าทิ้งให้มันจางไป วอนเธอเห็นใจกันสักครั้ง (ฉันเสียดาย)",asanee_wasan
ไม่รู้,/music/thailyric/6083,"เป็นเพราะเรามีรักมานาน ก็ดูเหมือนมันจะเก่าไป
ดูไม่ค่อยจะมีอะไร ไม่เหมือนวันวาน

จนฉันลืมว่าฉันมีเธอ ว่าเราได้เจอกันอย่างไร
มัวไปหลงไปอยู่ไหนๆ ไม่รู้เรื่องราว

ไม่รู้ ว่ารักเธอมากสักเท่าไร (ไม่รู้) ชีวิตต้องการมีใคร
ไม่เคยคิดซักครั้ง ว่าเสียเธอไปนั่นคือเสียอะไร
ไม่เคยมองให้รู้ ว่าเธอคิดยังไง ไม่ดูไม่แล

จนได้เจอชีวิตคนอื่น ที่มีเรื่องราวต้องเลิกรา
ทำให้ฉันต้องมาค้นหา ว่าฉันเป็นไร

ไม่รู้ ว่ารักเธอมากสักเท่าไร (ไม่รู้) ชีวิตต้องการมีใคร
ไม่เคยคิดซักครั้ง ว่าเสียเธอไปนั่นคือเสียอะไร
ไม่เคยมองให้รู้ ว่าเธอคิดยังไง ไม่ดูไม่แล

ไม่รู้ ว่ารักเธอมากสักเท่าไร ชีวิตต้องการมีใคร
ไม่เคยคิดซักครั้ง ว่าเสียเธอไปนั่นคือเสียอะไร
เพิ่งจะมาได้รู้ ว่าเธอคือใจ
หัวใจฉันเอง หัวใจฉันเอง",asanee_wasan
รับไม่ไหว,/music/thailyric/6089,"บอกตรงๆคนสวยคนดี วันนี้ฉันยังไม่พร้อม
บอกตรงๆใจฉันยังตรอม ไม่พร้อมจะเจอ

เรามันคนเคยมีประวัติ ก็อึดอัดที่เจอหน้าเธอ
มันยังมีอารมณ์เหม่อๆ เผลอคิดไปไกล

การอยู่คนเดียว เป็นสิ่งจำเป็น ได้เห็นอะไรมากมาย
ได้ปลอบตัวเอง ได้ปล่อยเวลา ได้เยียวได้ยาแผลใจ
ขอบใจจริงๆ ในความหวังดี แต่บอกตรงๆวันนี้รับมันไม่ไหว

อยู่ดีๆลมพัดมาโดน ทุกหนมันยังเจ็บแผล
จะมาคอยมาถามมาแคร์ เปิดแผลทำไม

เรามันคนเคยมีประวัติ ก็อึดอัดที่เจอหน้าเธอ
มันยังมีอารมณ์เหม่อๆ เผลอคิดไปไกล

การอยู่คนเดียว เป็นสิ่งจำเป็น ได้เห็นอะไรมากมาย
ได้ปลอบตัวเอง ได้ปล่อยเวลา ได้เยียวได้ยาแผลใจ
ขอบใจจริงๆ ในความหวังดี แต่บอกตรงๆวันนี้รับมันไม่ไหว

ไม่เป็นไรหรอกสาวเอย เพราะฉันไม่ได้โกรธใคร
ไม่จำเป็นต้องมาพิสูจน์ หรือพูดว่าใครเปลี่ยนไป
เอาเวลาไปหาเขาเถิด เอาเวลาไปให้คนอื่นได้ชื่นใจ
ฉันเข้าใจ อยู่แล้ว อยู่แล้ว

การอยู่คนเดียว เป็นสิ่งจำเป็น ได้เห็นอะไรมากมาย
ได้ปลอบตัวเอง ได้ปล่อยเวลา ได้เยียวได้ยาแผลใจ
ขอบใจจริงๆ ในความหวังดี แต่บอกตรงๆวันนี้รับมันไม่ไหว",asanee_wasan
ลูกผู้ชาย,/music/thailyric/6096,"มองตาก็เห็นถึงใจ เป็นนัยว่าฉันรักเธอ
ก็อยากเสนอให้เธอรักฉัน
โปรดตอบสนองฉันที ฉันนี้ยังงงยังงัน
มันมีปัญหาสัมพันธ์กันในใจ

มันเป็นอย่างนี้มาก่อน ไม่ได้เดือดร้อนใครๆ
คือศักดิ์คือศรีของลูกผู้ชายเป็นอย่างนี้

ลูกผู้ชาย ไม่กินเส้นหมี่กันหรอก
ลูกผู้ชาย เขากินเส้นใหญ่ขอบอก

(หมี่ไม่กิน เส้นหมี่ไม่เอา หมี่มันเบา ไม่อยากจะมอง
ลูกผู้ชายไม่เป็นที่สอง ไม่เป็นรอง เส้นหมี่ไม่เอา)

วานเธอไปคิดทบทวน ตอบด่วนว่ารักหรือเปล่า
เจอกันตอนเช้าช่วยบอกได้ไหม
จะมอบความรักให้เธอ จะมอบให้เธอเรื่อยไป
แค่เพียงให้เธอได้โปรดเห็นใจในเรื่องนี้

ลูกผู้ชาย ไม่กินเส้นหมี่กันหรอก
ลูกผู้ชาย เขากินเส้นใหญ่ขอบอก

(จะกินเส้นใหญ่ อันไหนไม่ดี
กลับไปโทษเส้นหมี่ อย่างนี้ได้ไง
ก็เลยจริงใจ ไม่มีรอเรือ
ก็เลยจริงใจ ไม่มีรอเรือ)

วานเธอไปคิดทบทวน ตอบด่วนว่ารักหรือเปล่า
เจอกันตอนเช้าช่วยบอกได้ไหม
จะมอบความรักให้เธอ จะมอบให้เธอเรื่อยไป
แค่เพียงให้เธอได้โปรดเห็นใจในเรื่องนี้

ลูกผู้ชาย ไม่กินเส้นหมี่กันหรอก
ลูกผู้ชาย เขากินเส้นใหญ่ขอบอก

ลูกผู้ชาย ไม่กินเส้นหมี่กันหรอก
ลูกผู้ชาย เขากินเส้นใหญ่ขอบอก

ลูกผู้ชาย ไม่กินเส้นหมี่กันหรอก
ลูกผู้ชาย เขากินเส้นใหญ่ขอบอก",asanee_wasan
สิทธิ์ของเธอ,/music/thailyric/6099,"หยุดบอกว่ารักสักทีได้ไหม
ถ้าไม่ได้หมายความเพียงแค่ฉัน
หยุดบอกได้ไหมว่าคิดถึงกัน
คิดถึงทั้งฉันและใครต่อใคร

มันสิทธิ์ของเธอ อยากจะซึ้งจะดีกับใคร
เธอก็ปล่อยฉันไป ไม่เป็นไรแค่คนๆเดียว

เมื่อคนอย่างเธอเท่าไหร่มันก็ไม่พอ
และคนอย่างฉันก็ทนรับมันไม่ได้
ให้เธอหมดใจใจฉัน ก็อยากจะได้จากเธอทั้งใจ
รักกันไปส่งๆคงไม่พอ

ให้บอกว่าเราจบกันดีไหม อย่าทำให้ฉันแย่ไปกว่านี้
อยู่ๆกันไปก็คงไม่ดี พอกันแค่นี้ให้มันจบไป

เธอก็อยู่ของเธอ เป็นที่รักของใครต่อใคร
เธอก็ปล่อยฉันไป ไม่เป็นไรแค่คนๆเดียว

เมื่อคนอย่างเธอเท่าไหร่มันก็ไม่พอ
และคนอย่างฉันก็ทนรับมันไม่ได้
ให้เธอหมดใจใจฉัน ก็อยากจะได้จากเธอทั้งใจ
รักกันไปส่งๆคงไม่พอ

เธอก็อยู่ของเธอ เป็นที่รักของใครต่อใคร
เธอก็ปล่อยฉันไป ไม่เป็นไรแค่คนๆเดียว

เมื่อคนอย่างเธอเท่าไหร่มันก็ไม่พอ
และคนอย่างฉันก็ทนรับมันไม่ได้
ให้เธอหมดใจใจฉัน ก็อยากจะได้จากเธอทั้งใจ
รักกันไปส่งๆคงไม่พอ ฉันขอลา",asanee_wasan
ใกล้ ไกล,/music/thailyric/6070,"อยู่ใกล้กันบ้างก็ดี (จะได้ไม่มีห่วงใย)
อยู่ไกลกันบ้างก็ดี (ส่งมอบไมตรีมอบใจ)
อยู่ใกล้กันมากไม่ดี (ก็เพราะบางทีมันไกลไป)
อยู่ไกลกันมากไม่ดี (อยู่ใกล้กว่านี้ดีกว่าไกล)

ใกล้หรือไกลก็ยังดี เพราะบางทีไม่มีใคร
ที่จะมาคอยใส่ใจ ว่าอยู่ใกล้หรือไกลดี
เมื่อตัวเราอยู่คนเดียว ใครแลเหลียวก็ไม่มี
ทนทรมานนานนับปี จนไม่มีใกล้หรือไกล

อยู่ใกล้กันบ้างก็ดี (จะได้ไม่มีห่วงใย)
อยู่ไกลกันบ้างก็ดี (ส่งมอบไมตรีมอบใจ)
อยู่ใกล้กันมากไม่ดี (ก็เพราะบางทีมันไกลไป)
อยู่ไกลกันมากไม่ดี (อยู่ใกล้กว่านี้ดีกว่าไกล)

ใกล้หรือไกลต้องลองดู ต้องดูอยู่ทุกเวลา
คอยดูไว้ไม่ให้คลาดคลา รู้ปัญหาถ้าพลั้งไป
เมื่อสองเราอยู่รวมกัน วันทั้งวันสบายใจ
ไม่มีทุกข์ไม่ห่างไกล รักกันไว้อยู่ใกล้กัน

อยู่ใกล้กันบ้างก็ดี (จะได้ไม่มีห่วงใย)
อยู่ไกลกันบ้างก็ดี (ส่งมอบไมตรีมอบใจ)
อยู่ใกล้กันมากไม่ดี (ก็เพราะบางทีมันไกลไป)
อยู่ไกลกันมากไม่ดี (อยู่ใกล้กว่านี้ดีกว่าไกล)",asanee_wasan
จะพยายาม,/music/thailyric/6073,"เมื่อก่อนก็ไม่รู้ว่าทำให้เธอหวั่น
เมื่อก่อนก็ไม่รู้ว่าทำให้กลัว
ท่าทางเฉยชาที่ติดตัว ที่ตัวฉันเป็นมานาน
ไม่รู้เลยว่ามันไปกัดกินใจ

เมื่อไหร่ที่ลึกซึ้ง แต่ฉันไม่เคยบอก
เมื่อไหร่ก็ไม่หวานกับคำพูดใด

ไม่เคยรู้เลยว่าขัดใจ ว่าเธอต้องการจะฟัง
แต่หากมันยังทัน จากวันนี้ไป...

จะพยายามซักหน่อยรอได้ไหม
และจะพยายามเรียนรู้มันไป
ขาดตกอะไรสอนหน่อย อย่างน้อยต้องใช้เวลา
จะพยายามที่สุด คอยได้ไหม
และจะพยายามเรียนรู้ให้ไว
อดทนกันไปซักหน่อย จะขอชดใช้เวลาที่เคยในหัวใจ

ไม่เคยรู้เลยว่าขัดใจ ว่าเธอต้องการจะฟัง
แต่หากมันยังทัน จากวันนี้ไป...

จะพยายามซักหน่อยรอได้ไหม
และจะพยายามเรียนรู้มันไป
ขาดตกอะไรสอนหน่อย อย่างน้อยต้องใช้เวลา
จะพยายามที่สุด คอยได้ไหม
และจะพยายามเรียนรู้ให้ไว
อดทนกันไปซักหน่อย จะขอชดใช้เวลาที่เคยในหัวใจ

จะพยายามซักหน่อยรอได้ไหม
และจะพยายามเรียนรู้มันไป
ขาดตกอะไรสอนหน่อย อย่างน้อยต้องใช้เวลา
จะพยายามที่สุด คอยได้ไหม
และจะพยายามเรียนรู้ให้ไว
อดทนกันไปซักหน่อย จะขอชดใช้เวลาที่เคยในหัวใจ",asanee_wasan
เจ็บแต่ดี,/music/thailyric/6075,"เชื่อมั่นตัวเอง ว่าเติบโตมาพอแล้ว
ไม่น่าจะดูมีวี่แววต้องช้ำใจ
ได้ผ่านเวลา ได้เรียนรู้
ก็นึกว่าสายตานั้นกว้างไกล...
ไม่คาดไม่ฝันว่าวันนี้จะสับสน
คนตัวเล็กๆ เพียงหนึ่งคนเขาทิ้งไป
เจอกับบทเรียนที่แสนแพง
ก็นึกว่าเราโตพอจะเข้าใจ

เจ็บแต่ดี จะได้รู้ไว้ ว่าตัวเองไม่ได้มีคุณและค่าใด
การชนะมาทุกอย่าง ย้ำให้ใจนั้นยิ่งกร่าง ให้เสียคน
ให้คนอย่างฉันนั้นต้องคิดใหม่
สุดท้ายได้แต่มอง มองความเป็นไปของตัวเอง ไม่เหลือใคร

เกิดแก่เจ็บตาย ก็เข้าใจในคำสอน
แต่เจ็บวันนี้ยังหลอกหลอนได้มากมาย
อุตส่าห์ทำตัวว่ารู้ดี แต่แล้วก็ไม่ได้ดีกว่าใคร

เจ็บแต่ดี จะได้รู้ไว้ ว่าตัวเองไม่ได้มีคุณและค่าใด
การชนะมาทุกอย่าง ย้ำให้ใจนั้นยิ่งกร่าง ให้เสียคน
เจ็บปวดยังไงก็ต้องยินยอม จะได้รู้ไว้
ว่าตัวเองไม่ได้มีคุณและค่าใด
การชนะมาทุกอย่าง ย้ำให้ใจนั้นยิ่งกร่าง ให้เสียคน
ให้คนอย่างฉันนั้นต้องคิดใหม่

(สุดท้ายได้แต่มอง มองความเป็นไปของตัวเอง ไม่เหลือใคร)
สุดท้ายได้แค่มอง มองความเป็นไปของตัวเอง ไม่เหลือใคร",asanee_wasan
