song_name,href,lyric,artist
ไม่เคยไม่รักเธอ,/music/thailyric/3050,"เห็นแววตาของฉันใช่ไหม
รู้ไหมแววตานั้นโกหกใครไม่เป็น
ฉันแค่อยากให้เธอได้เห็น
ก่อนจะเล่าเรื่องจริงมันเป็นยังไง

ว่าฉัน ก็เป็นแค่หนึ่งคน
รักแล้วก็มีแกว่ง มีขึ้นลงสลับไป
บางครั้ง อาจแกว่งจนต้องพลาดไป
แต่ฉันก็ยืนยันได้ซ้ำๆ ทุกๆ วันว่า

ที่ไหน เมื่อไร แค่ไหน เท่าไรก็ยังเลือกเธอ
สุดท้ายยังไง จะพลั้งพลาดไปก็ยังรักแค่เธอ
ให้รู้ว่าไว้เลยว่าฉันไม่เคยจะไม่รักเธอ
ฉันรู้ตัวจริงๆ ว่าไม่มีใครดีไปกว่านี้

ฉันจะไม่แก้ตัวมากมาย
เพราะฉันเองเจ็บปวดที่ทำเช่นกัน
รู้แล้วว่าผู้คนผู้นั้น มันเทียบไม่ได้กับเธอ

อย่างไรจากนี้ หากขอได้อีกครั้ง
จะขอแค่โอกาส พิสูจน์ภาพที่ฉันบอกไป
ว่าเธอ สำคัญเกินกว่าผู้ใด
จะย้ำการกระทำ และบอกซ้ำทุกๆ วันว่า

ที่ไหน เมื่อไร แค่ไหน เท่าไรก็ยังเลือกเธอ
สุดท้ายยังไง จะพลั้งพลาดไปก็ยังรักแค่เธอ
ให้รู้ว่าไว้เลยว่าฉันไม่เคยจะไม่รักเธอ
ฉันรู้ตัวจริงๆ ว่าไม่มีใครดีไปกว่านี้

ฉันรู้ตัวดีว่าตอนนี้ อาจสายเกินไปแล้ว
ขอ ฉันขอแค่เวลาอีกสักครั้ง
จะเป็นไปได้บ้างไหม

ที่ไหน เมื่อไร แค่ไหน เท่าไรก็ยังเลือกเธอ
สุดท้ายยังไง จะพลั้งพลาดไปก็ยังรักแค่เธอ
ให้รู้ว่าไว้เลยว่าฉันไม่เคยจะไม่รักเธอ
ฉันรู้ตัวจริงๆ ว่าไม่มีใครดีไปกว่านี้

ที่ไหน เมื่อไร แค่ไหน เท่าไรก็ยังเลือกเธอ
สุดท้ายยังไง จะพลั้งพลาดไปก็ยังรักแค่เธอ
ให้รู้ว่าไว้เลยว่าฉันไม่เคยจะไม่รักเธอ
ฉันรู้ตัวจริงๆ ว่าไม่มีใครดีไปกว่าเธอ

ให้รู้ว่าไว้เลยว่าฉันไม่เคยจะไม่รักเธอ

ที่ไหน เมื่อไร แค่ไหน เท่าไรก็ยังเลือกเธอ
สุดท้ายยังไง ก็ยังรักแค่เธอ
ให้รู้ว่าไว้เลยว่าฉันไม่เคยจะไม่รักเธอ
ฉันรู้ตัวจริงๆ ว่าไม่มีใครดีไปกว่าเธอ",better_weather
ไม่มีแล้วความรัก (Lost),/music/thailyric/8211,"รู้อยู่ รู้ที่เธอบอกว่ารักกัน
รู้ว่าเธอไม่มีใครอื่น
หรือจริงๆ นั้นมีหรือเปล่า
รู้ลึกๆ ในใจ ก็รู้ว่าเธอต้องไปอยู่แล้ว
และรู้ว่าฉันต้องอยู่ ทั้งที่รักไม่มี

เธอที่คุ้นเคย เธอที่ฉันรู้จัก
เธอคนที่ฉันรักจนหมดหัวใจ
ตัวเธออยู่ตรงนี้ ใจเธออยู่ที่ไหน
ทำไมมันช่างแสนไกล

ก็ไม่มีแล้วความรัก
ไม่มีแล้วอะไรที่เคยมี
เพราะแม้เรื่องราวเหล่านั้นจะบอก
แต่ฉันก็รู้ เธอหลอกอยู่ตอนนี้

และแม้น้ำตาจะไหลไปเท่าไร
ก็รักเธอไปอย่างนี้ ทำไมก็ไม่รู้หัวใจ
เข้ามาใกล้ๆ อีกหน่อย
ที่รักฉันมีเพียงเธอ

ทุกครั้งที่ฉันนั่งมองเธอ
ฉันรู้ว่าเธอไม่เหลือใจ
ฉันย้ำใจไม่ให้ร้องไห้ แต่มันยังร้องไห้
มีสิ่งไหนที่พอจะทำได้อีกไหมเธอ

ก็ไม่มีแล้วความรัก
ไม่มีแล้วอะไรที่เคยมี
เพราะแม้เรื่องราวเหล่านั้นจะบอก
แต่ฉันก็รู้ เธอหลอกอยู่ตอนนี้

และแม้น้ำตาจะไหลไปเท่าไร
ก็รักเธอไปอย่างนี้ ทำไมก็ไม่รู้หัวใจ
เข้ามาใกล้ๆ อีกหน่อย
ที่รักฉันมีเพียงเธอ",better_weather
ยังไม่รู้,/music/thailyric/3051,"ในวันนี้ฉันไม่มีใคร ไม่มีเธอที่เข้าใจ
ตั้งแต่วันที่เธอไปจากฉัน
ต้องทนฝืนเก็บความเดียวดาย
ไม่มีใครสักคนข้างกายไม่มี อีกแล้ว

ช่วงเวลาที่เลยผ่านจากไปช้าๆ
ฉันยังคงต้องยืนลำพัง อย่างนี้ต่อไป
เมื่อไม่มีเธอ ก็ไม่มีใคร
จากนี้ยังคงต้องเดินต่อไป ใช่ไหม

ยังไม่รู้ ไม่รู้ต้องทนอีกนานเท่าไร
ฉันยังคงต้องเดินอยู่กับความเดียวดายและช้ำใจ
อีกนานสักเท่าไร นานสักเท่าไร

อยู่อย่างคนที่ไม่มีใจ ตั้งแต่เธอบอกลาฉันไป
ยังไม่รู้ต้องทำไง ยังไม่รู้

เพราะแม้เวลาได้เลยผ่าน จากไปช้าๆ
ฉันยังคงต้องยืนลำพัง อย่างนี้ต่อไป
เมื่อไม่มีเธอ ก็ไม่มีใคร
จากนี้ฉันยังต้องเดินต่อไป ใช่ไหม

ยังไม่รู้ ไม่รู้ต้องทนอีกนานเท่าไร
ฉันยังคงต้องเดินอยู่กับความเดียวดายและช้ำใจ
อย่างนี้ อีกนานสักเท่าไร

ส่วนตัวเธอ ไม่เหลือความทรงจำดีๆ
ในตอนนี้ เธอไม่เหลือเลยใช่ไหม
ฉันเข้าใจ ไม่เป็นไร
ฉันเพียงแค่ขอ ให้เธอเก็บเอาไว้

เพราะแม้เวลาล่วงเลยผ่าน จากไปช้าๆ
แต่มันก็ยังคง เหมือนเดิม

ยังไม่รู้ ไม่รู้ต้องทนอีกนานเท่าไร
ฉันยังคงต้องเดินอยู่กับความเดียวดายและช้ำใจ
อย่างนี้ อีกนานสักเท่าไร

ส่วนตัวเธอ ไม่เหลือความทรงจำดีๆ
ในตอนนี้ เธอไม่เหลือเลยใช่ไหม
ฉันเข้าใจ ไม่เป็นไร
ฉันเพียงแค่ขอ ให้เธอเก็บเอาไว้",better_weather
อิส ธิส เลิฟ (Is This Love),/music/thailyric/3052,"Is this love? นี่คือรัก ใช่รึเปล่า
ต้องเดินจับมือ หรือกอดกัน
ทำแบบนั้นใช่ไหม

Oh จนเมื่อฉันได้พบเธอ
ก็รู้ว่าเธอมีค่าแค่ไหน
และมันช่างมีความหมายเพียงใด

เรื่องแบบนี้เขาเรียกว่ารัก
รักคือรักใช่ไหม ที่ทำให้โลกใบนี้งดงามสดใส
เป็นดั่งรุ้งบนฟ้าสีคราม
ที่กลายเป็นความงดงามในเช้าวันใหม่
Is this love?

Is this love? นี่คือรัก ใช่รึเปล่า
ยังไม่แน่ใจ ก็ไม่เคยเจอความรักสักคราว

Oh จนเมื่อฉันได้พบเธอ
ก็รู้ว่าเธอมีค่าแค่ไหน
และมันช่างมีความหมายเพียงใด

เรื่องแบบนี้เขาเรียกว่ารัก
รักคือรักใช่ไหม ที่ทำให้โลกใบนี้งดงามสดใส
เป็นดั่งรุ้งบนฟ้าสีคราม
ที่กลายเป็นความงดงามในเช้าวันใหม่
Is this love?

คล้ายมีดาวเป็นล้านดวง
เพราะว่าฉันได้เจอกับรัก
ที่ไม่ใช่เพียงความฝัน

เรื่องแบบนี้เขาเรียกว่ารัก
รักคือรักใช่ไหม ที่ทำให้โลกใบนี้งดงามสดใส
เป็นดั่งรุ้งบนฟ้าสีคราม
ที่กลายเป็นความงดงามในเช้าวันใหม่

เรื่องแบบนี้เขาเรียกว่ารัก
รักคือรักใช่ไหม ที่ทำให้โลกใบนี้งดงามสดใส
เป็นดั่งรุ้งบนฟ้าสีคราม
ที่กลายเป็นความงดงามในเช้าวันใหม่

Is this love? ตื่นเช้า ฉันคงจะไม่เบิกบาน
Is this love? ก่อนนอน ก็คงจะแสนทรมาน
Is this love? ดอกไม้ ก็คงจะไม่ผลิบาน
หากไม่มีเธอ

Is this love? และเรื่องราวของฉันกับเธอ
Is this love? คงไม่ลงเอยที่ฉันรักเธอ
Is this love? ขอบคุณที่ทำให้ฉันได้เจอ
กับรักที่งดงาม

This is love.",better_weather
แค่เท่านั้น,/music/thailyric/9077,"นั่งเพียงคนเดียว ใจมันก็ลอยกลับไป
มีคนนึงที่ฉันนั้นรักหมดใจ แต่เขาจากไป
และฉันยังคง นั่งตรงมุมเดิม
ยิ่งเติมให้เหงาจับใจ
เตือนตัวเองแต่มือมันเเผลอกดไป
ก็รู้ดึกไป ขออภัย

ก็ตอนนั้นฉันไม่รู้ตัว
และตอนนี้ฉันก็เสียใจ
ฉันไม่ได้จะขออะไรหรอก
เพียงแค่อยากรู้เธอเป็นไง แค่เท่านั้น

ถ้าเธอจะโกรธ ฉันเองก็พอเข้าใจ
คำบางคำที่ตัวฉันเผลอส่งไป
มันฝืนไม่ไหว ฝืนยังไง

ก็ตอนนั้นฉันไม่รู้ตัว
และตอนนี้ฉันก็เสียใจ
ฉันไม่ได้จะขออะไรหรอก
เพียงแค่อยากรู้เธอเป็นไง แค่เท่านั้น

ก็ตอนนั้นฉันคิดถึงเธอ
แค่เธอเคยบ้างไหมที่คิดถึงกัน
ฉันไม่ได้จะขออะไรหรอก
เพียงแค่อยากรู้เธอเป็นไง

แค่อยากให้รู้ยังคิดถึงเธอ
แค่เธอเคยบ้างไหมที่คิดถึงกัน
ฉันไม่ได้จะขออะไรหรอก
เพียงแค่อยากรู้เธอเป็นไง
แค่เท่านั้น แค่เท่านั้น แค่เท่านั้น",better_weather
ทำไมต้องทำให้มีน้ำตา,/music/thailyric/9446,"ตั้งแต่ที่เราบอกเลิกกัน ฉันยังรักแต่เธอทุกวัน
พยายามที่จะคบใคร หลอกตัวเองทั้งนั้น

พยายามที่จะแข็งแรง พยายามที่จะเข้าใจ
พยายามจะยืนให้ไหว แต่มันก็ไม่ไหว
จะให้ฉันรู้เรื่องราวเมื่อไร
ก็ความทุกที่เธอเจอเธอเหมือนฉันหรือไร

โอว นี่เราไม่รักกันแล้วใช่ไหม
โอว ทำไมต้องทำให้ใจบอบช้ำ
ทำไมไม่พูดอะไรสักคำ
ทำไมต้องทำให้มีน้ำตา

นี่เราไม่รักกันแล้วใช่ไหม
โอว ทำไมต้องทำให้ใจบอบช้ำ
ทำไมไม่พูดอะไรสักคำ
ทำไมต้องทำให้มีน้ำตา

พยายามที่จะแข็งแรง พยายามที่จะเข้าใจ
พยายามจะยืนให้ไหว แต่มันก็ไม่ไหว
จะให้ฉันรู้เรื่องราวเมื่อไร
ก็ความทุกที่เธอเจอเธอเหมือนฉันหรือไร

โอว นี่เราไม่รักกันแล้วใช่ไหม
โอว ทำไมต้องทำให้ใจบอบช้ำ
ทำไมไม่พูดอะไรสักคำ
ทำไมต้องทำให้มีน้ำตา

นี่เราไม่รักกันแล้วใช่ไหม
โอว ทำไมต้องทำให้ใจบอบช้ำ
ทำไมไม่พูดอะไรสักคำ
ทำไมต้องทำให้มีน้ำตา

โอว นี่เราไม่รักกันแล้วใช่ไหม
โอว ทำไมต้องทำให้ใจบอบช้ำ
ทำไมไม่พูดอะไรสักคำ
ทำไมต้องทำให้มีน้ำตา

นี่เราไม่รักกันแล้วใช่ไหม
โอว ทำไมต้องทำให้ใจบอบช้ำ
ทำไมไม่พูดอะไรสักคำ
ทำไมต้องทำให้มีน้ำตา",better_weather
เธอไม่เหมือนเดิม,/music/thailyric/9445,"มีคำถาม ที่เธอไม่เคยตอบ
ว่ารักของเรา จะเดินทางไปที่ใดกัน
มีแต่ตัวฉัน ยืนท่ามกลางทะเลทราย
ไร้ซึ่งจุดหมาย และไร้ซึ่งคนเข้าใจ

เมื่อวันเวลาไม่อาจคืนย้อนมา
แต่ฉันยังคิดถึงความทรงจำที่เราเคยรักกัน
ยังคงเสียน้ำตา ยังคงเสียใจ ต่อไป

ทรมานเพียงใดเธอรู้บ้างไหม
วันที่มองแววตาเธอแล้วไม่เหมือนเดิม
ถึงแม้ฉันจะรักเธอเท่าใด
อ้อนวอนแค่ไหนเธอก็ไม่รักฉันเหมือนเดิม
โอะ โอ้ว ไม่รักฉันเหมือนเดิม เธอไม่เหมือนเดิม

เมื่อวันเวลาไม่อาจคืนย้อนมา
แต่ฉันยังคิดถึงความทรงจำในวันที่เราเคยรักกัน
ยังคงเสียน้ำตา ยังคงเสียใจ ต่อไป

ทรมานเพียงใดเธอรู้บ้างไหม
วันที่มองแววตาเธอแล้วไม่เหมือนเดิม
ถึงแม้ฉันจะรักเธอเท่าใด
อ้อนวอนแค่ไหนเธอก็ไม่รักฉันเหมือนเดิม
โอะ โอ้ว ไม่รักฉันเหมือนเดิม เธอไม่เหมือนเดิม

ทรมานเพียงใดเธอรู้บ้างไหม
วันที่มองแววตาเธอแล้วไม่เหมือนเดิม
ถึงแม้ฉันจะรักเธอเท่าใด
อ้อนวอนแค่ไหนเธอก็ไม่รักฉันเหมือนเดิม
โอะ โอ้ว ไม่รักฉันเหมือนเดิม เธอไม่เหมือนเดิม

มีคำถาม ที่เธอไม่เคยตอบก็ให้เข้าใจ
ก็มีแต่คำถาม ก็มีแต่คำถาม ก็มีแต่คำถาม",better_weather
มีคนอกหักทุกวัน,/music/thailyric/9441,"เธอไม่ใช่คนโชคร้ายที่สุด
เธอไม่ใช่คนเดียวที่ต้องผิดหวัง
เธอไม่ใช่คนเดียวที่ความรัก มันพัง

ไม่ผิดที่เธอนั้นนอนไม่หลับ
ไม่ผิดที่เธออยากกลับไปหาเขา
ไม่ผิดที่เธอไม่ลืมเรื่องวันเก่า
แต่ขอให้เธอเข้าใจ

มีคนอกหักทุกวัน มีคนบอกลากันทุกวัน
เธออย่าไปเสียใจ ที่เธอต้องเป็นหนึ่งในนั้น
เธออย่าเพิ่งท้อใจ คนที่เจอความรักก็มีอยู่เหมือนกัน
มีทุกวัน และสักวัน จะเป็นวันของเธอ

ไม่แปลกที่เธอจะไม่เข้าใจ
เหตูผลมากมายที่ได้ยินจากเขา
ไม่แปลกที่กลางคืนเธอจะเหงา
แต่ขอให้เธอเข้าใจ

มีคนอกหักทุกวัน มีคนบอกลากันทุกวัน
เธออย่าไปเสียใจ ที่เธอต้องเป็นหนึ่งในนั้น
เธออย่าเพิ่งท้อใจ คนที่เจอความรักก็มีอยู่เหมือนกัน
มีทุกวัน และสักวัน จะเป็นวันของเธอ

ตราบใดที่ยังมีเพลงรักให้ฟัง
ดอกไม้ก็ยังผลิบานในทุกวัน
และฉัน ฉันจะยืนข้างข้างเธอเสมอ

มีคนอกหักทุกวัน มีคนบอกลากันทุกวัน
เธออย่าไปเสียใจ ที่เธอต้องเป็นหนึ่งในนั้น
เธออย่าเพิ่งท้อใจ คนที่เจอความรักก็มีอยู่เหมือนกัน
มีทุกวัน และสักวัน จะเป็นวันของเธอ

มีคนอกหักทุกวัน มีคนบอกลากันทุกวัน
เธออย่าไปเสียใจ ที่เธอต้องเป็นหนึ่งในนั้น
เธออย่าเพิ่งท้อใจ คนที่เจอความรักก็มีอยู่เหมือนกัน
มีทุกวัน และสักวัน จะเป็นวันของเธอ

มีคนอกหักทุกวัน มีคนบอกลากันทุกวัน
เธออย่าไปเสียใจ ที่เธอต้องเป็นหนึ่งในนั้น
เธออย่าเพิ่งท้อใจ คนที่เจอความรักก็มีอยู่เหมือนกัน
มีทุกวัน และสักวัน จะเป็นวันของเธอ",better_weather
ไม่ใช่ฉัน,/music/thailyric/8861,"ถามทุกวันว่ายังรักรึเปล่า
อาจเป็นเพราะเธอเจอกับเรื่องราว
ที่ทำให้เธอเริ่มไม่แน่ใจ

เธออาจจะเห็นคนอื่นที่ทำให้เธอหวั่นหัวใจ
บางคนก็คิดนอกใจบางคนมีใครซ่อนไว้
เหมือนรักไม่มีความหมาย
ไม่ใช่ฉันที่จะทำอย่างนั้น ทำอย่างนั้น

ขอมือ ขอมือเธอหน่อยได้ไหม
แล้วมองตรงมาที่ตาของฉัน
สัญญา สัญญาจะมีเพียงแต่เธอทุกวัน
เชื่อใจฉันนะคนดี

ฉันเข้าใจกับสิ่งที่เธอหวั่นหัวใจ
ไม่อยากให้เธอระแวงไม่อยากให้เธอคิดไกล
ว่ารักเราเป็นอย่างนั้น
ไม่ใช่ฉันที่จะทำอย่างนั้น ทำอย่างนั้น

ขอมือ ขอมือเธอหน่อยได้ไหม
แล้วมองตรงมาที่ตาของฉัน
สัญญา สัญญาจะมีเพียงแต่เธอทุกวัน
เชื่อใจฉันนะคนดี

ขอมือ ขอมือเธอหน่อยได้ไหม
แล้วมองตรงมาที่ตาของฉัน
สัญญา สัญญาจะมีเพียงแต่เธอทุกวัน
เชื่อใจฉันนะคนดี

ให้เวลาฉันหน่อย ฉันจะทำให้เธอได้รู้
ไม่ใช่ฉันที่จะทำอย่างนั้น ทำอย่างนั้น

ขอมือ ขอมือเธอหน่อยได้ไหม
แล้วมองตรงมาที่ตาของฉัน
สัญญา สัญญาจะมีเพียงแต่เธอทุกวัน
เชื่อใจฉันนะคนดี

ขอมือ ขอมือเธอหน่อยได้ไหม
แล้วมองตรงมาที่ตาของฉัน
สัญญา สัญญาจะมีเพียงแต่เธอเท่านั้น
เชื่อใจฉันนะคนดี",better_weather
อากาศเปลี่ยนแปลงบ่อย,/music/thailyric/8740,"ลมหอบเอาฝนมา ขอบฟ้าสีเทาอ่อนๆ
อากาศไม่แน่นอน จากร้อนแล้วมันก็หนาว
พยากรณ์เปลี่ยนแปลงทุกวัน จนฉันหัวใจสั่นๆ
ใครคนที่บอกรักกัน วันนี้ยังดีใช่ไหม เพราะเราห่างไกล

ฉันก็หวั่นใจ แล้วก็ห่วงไยเหลือเกิน เธอเป็นไง

ถามหน่อยนะ บอกได้ไหม
ว่าเธอยังมีฉัน และทุกวันความรักเรายังอยู่
ถามได้ไหมบอกให้รู้ อากาศเปลี่ยนกี่ครั้ง
หัวใจเธอนั้นไม่เคยเปลี่ยน

ถามหน่อยนะ ถามเธอที

อูณหภูมิอาจจะขึ้นลง แดดร้อนแล้วฝนโดนจะป่วย
ได้แต่ช่วยฝากภูมิคุ้มกัน ผ่านเสียงของฉันให้เธอไม่เหงา
ก็รู้ว่าเราห่างกัน

สุขทุกข์เป็นอย่างไร ฉันก็ห่วงใย และหัวใจใครดูแล

ถามหน่อยนะ บอกได้ไหม
ว่าเธอยังมีฉัน และทุกวันความรักเรายังอยู่
ถามได้ไหม บอกให้รู้ อากาศเปลี่ยนกี่ครั้ง
หัวใจเธอนั้นไม่เคยเปลี่ยน

อุตุอาจเตือนว่าท้องฟ้ามัวหม่น
แต่จะอดทนรอคอยวันที่สดใส

ถามหน่อยนะ บอกได้ไหม
ว่าเธอยังมีฉัน และทุกวันความรักเรายังอยู่
ถามได้ไหม บอกให้รู้
อากาศเปลี่ยนกี่ครั้ง หัวใจของเธอนั้น

ถามหน่อยนะ บอกได้ไหม
ว่าเธอยังมีฉัน และทุกวันความรักเรายังอยู่
ถามได้ไหม บอกให้รู้ อากาศเปลี่ยนกี่ครั้ง
หัวใจเธอนั้นยังไม่เปลี่ยน

ถามหน่อยนะ ถามเธอที ช่วยบอกฉันที",better_weather
