song_name,href,lyric,artist
กลืน,/music/thailyric/3213,"ที่เธอบอกฉันเอาไว้ว่าจะมาหา นั่นเธอพูดจริงใช่ไหม
ที่เธอบอกฉันเอาไว้ฉันเชื่อคำพูดเธอ
ที่เธอบอกฉันเอาไว้ว่าเธอจะรัก ว่าเธอรักจริงจากใจ
แต่จนบัดนี้ยังหาตัวเธอไปอยู่ไหน

หลอกเธอหลอกฉันจนตายใจ จะอีกกี่ทีหล่ะฉันเหลือทนแล้ว

กลืนมันลงไปเถอะนะที่เธอพูดมา คารมคมคายไปงัดมาจากไหน
กลืนมันเข้าไปเถอะนะที่เธอพูดมา อารมณ์ของฉันไม่เหลือให้อ่อนไหว

ที่เธอหลอกฉันเอาไว้ว่าจะมาหา นั่นเธอพูดมาได้ไง
ไม่เคยจะคิดมาหาจริงๆใช่ไหมเธอ
ที่เธอหลอกฉันเอาไว้ว่าเธอจะรัก แต่ความรักจริงไม่มี
ที่เธอหลอกฉันว่ารักทำไมทำอย่างนี้

หลอกเธอหลอกฉันจนตายใจ จะอีกกี่ทีหล่ะฉันเหลือทนแล้ว

กลืนมันลงไปเถอะนะที่เธอพูดมา คารมคมคายไปงัดมาจากไหน
กลืนมันเข้าไปเถอะนะที่เธอพูดมา อารมณ์ของฉันไม่เหลือให้อ่อนไหว

กลืนมันลงไปเถอะนะที่เธอพูดมา คารมคมคายไปงัดมาจากไหน
กลืนมันเข้าไปเถอะนะที่เธอพูดมา อารมณ์ของฉันไม่เหลือให้อ่อนไหว

ให้เธอไปคิดซักนิดจะดีไหม ก่อนบอกเรื่องใดไม่จริง
ไม่มีสิ่งไหนทำร้ายใจกันเท่านี้อีก",blackhead
คุ้มมั๊ย,/music/thailyric/3214,"พอแล้ว หยุดทำฉันเสียที
ฉันทนเพียงพอแล้ว หยุดโมโหเสียที
ฉันทนไม่ไหว

อีกแล้ว ถูกบีบคั้นข้างใน
ฉันต้องเจ็บอีกแล้ว ดั่งไฟเผาดวงใจ

ใจหนึ่งก็อยาก หนีจากไป
อีกใจหนึ่งก็อยาก สู้กันใหม่

แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ที่ต้องมาทนเจ็บช้ำเพราะเธอ ลองคิดดู
แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ต้องเกือบจะตายกี่ครั้งเพราะเธอ ลองคิดดู(ซิ)

แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ที่ต้องมาทนเจ็บช้ำเพราะเธอ ลองคิดดู
แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ต้องเกือบจะตายกี่ครั้งเพราะเธอ ลองคิดดู(ซิ)

ใจหนึ่งก็อยาก หนีจากไป
แต่ใจหนึ่งไม่อยาก เริ่มต้นใหม่

ใจหนึ่งก็อยาก หนีจากไป
อีกใจหนึ่งก็อยาก สู้กันใหม่

แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ที่ต้องมาทนเจ็บช้ำเพราะเธอ ลองคิดดู
แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ต้องเกือบจะตายกี่ครั้งเพราะเธอ ลองคิดดู(ซิ)

แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ที่ต้องมาทนเจ็บช้ำเพราะเธอ ลองคิดดู
แล้วมันจะคุ้มมั๊ย อีกทีมันจะคุ้มมั๊ย
ต้องเกือบจะตายกี่ครั้งเพราะเธอ ลองคิดดู(ซิ)",blackhead
ใจฉันอยู่กับเธอ,/music/thailyric/3215,"ผ่านไปแล้ว ทุกอย่างมันจบลงแล้ว และตัวฉันเองต้องไป
ฉันเสียใจ ฉันร้องไห้ ทุกคราวที่คิดขึ้นมา

เหตุการณ์นั้น ระหว่างเรื่องเธอและฉัน จะจำไว้นานเท่านาน
ภาพแห่งความสุข ที่พ้นผ่าน จะไม่มีวันเลือนลบไป

ไม่ว่าเธอนั้นมีใคร แม้จะอย่างไร เพียงอยากบอกให้รู้ว่า

ใจฉันอยู่กับเธอ แม้จะห่างกันแสนไกลเพียงไหน
ใจฉันอยู่กับเธอ หมดเลยทั้งหัวใจ และรักตลอดไป

เธอคงรู้ กับสิ่งที่ผ่านมานั้น และตัวฉันเองเข้าใจ
ต่างก็เห็นอยู่ แต่เก็บอยู่ข้างใน ไม่จำเป็นต้องอธิบาย

ไม่ว่าเธอนั้นมีใคร แม้จะอย่างไร เพียงอยากบอกให้รู้ว่า

ใจฉันอยู่กับเธอ แม้จะห่างกันแสนไกลเพียงไหน
ใจฉันอยู่กับเธอ หมดเลยทั้งหัวใจ และรักตลอดไป

ผ่านไปแล้ว ทุกอย่างมันจบลงแล้ว และตัวฉันเองต้องไป
เธอจะมีเขา หรือจะมีเหตุผลใด ฉันไม่ใส่ใจ เพียงอยากบอกให้รู้ว่า

ใจฉันอยู่กับเธอ แม้จะห่างกันแสนไกลเพียงไหน
ใจฉันอยู่กับเธอ หมดเลยทั้งหัวใจ และรักตลอดไป

ใจฉันอยู่กับเธอ แม้จะห่างกันแสนไกลเพียงไหน
ใจฉันอยู่กับเธอ หมดเลยทั้งหัวใจ และรักตลอดไป",blackhead
ยอมรับ,/music/thailyric/3226,"เรื่องระหว่างเรานั้น ใครก็มองว่าฉันผิด ที่เป็นคนคิดบอกลาให้เธอเสียใจ
เขาคงไม่อาจรู้ ว่าเราเข้ากันไม่ได้ ที่อยู่กันไปเพราะคำว่ารักและเป็นคนดี

แต่เธอคงรู้ถึงความรู้สึก อึดอัดใจที่เรานั้นมีตลอดมา
เพียงแค่ฉันเป็นคนบอกลาก่อนเธอเท่านี้

ฉันยอมรับผิด ทุกคำกล่าวหา ที่ฉันนั้นทิ้งเธอไป ขอโทษที่ฉันเปลี่ยนใจจากเธอไป
ฉันยอมรับผิด ไม่มีข้อแม้ ถึงฉันจะต้องเสียใจ แต่ไม่อาจจะทนอย่างนี้อีกต่อไป

ฉันเองก็พอรู้ ที่เคยให้คำสัญญา จะอยู่ด้วยกันตราบฟ้าและดินมลาย
แล้วมาจนวันนี้ ฉันเองเพิ่งรู้ว่าทำไม่ได้ ที่อยู่กันไปเพราะคำว่ารักและเป็นคนดี

แต่เธอคงรู้ถึงความรู้สึก อึดอัดใจที่เรานั้นมีตลอดมา
เพียงแค่ฉันเป็นคนบอกลาก่อนเธอเท่านี้

ฉันยอมรับผิด ทุกคำกล่าวหา ที่ฉันนั้นทิ้งเธอไป ขอโทษที่ฉันเปลี่ยนใจจากเธอไป
ฉันยอมรับผิด ไม่มีข้อแม้ ถึงฉันจะต้องเสียใจ แต่ไม่อาจจะทนอย่างนี้อีกต่อไป

เมื่อเธอก็เป็นเธอ และฉันก็เป็นฉัน เมื่อเราไม่เข้ากัน จะอยู่กันไปเพื่ออะไร

ฉันยอมรับผิด ทุกคำกล่าวหา ที่ฉันนั้นทิ้งเธอไป ขอโทษที่ฉันเปลี่ยนใจจากเธอไป
ฉันยอมรับผิด ไม่มีข้อแม้ ถึงฉันจะต้องเสียใจ แต่ไม่อาจจะทนอย่างนี้อีกต่อไป

ฉันยอมรับผิด ทุกคำกล่าวหา ที่ฉันนั้นทิ้งเธอไป ขอโทษที่ฉันเปลี่ยนใจจากเธอไป
ฉันยอมรับผิด ไม่มีข้อแม้ ถึงฉันจะต้องเสียใจ แต่ไม่อาจจะทนอย่างนี้อีกต่อไป

ยอมรับไว้คนเดียว",blackhead
รักคือ,/music/thailyric/3228,"ทุ่มเทจิตใจไปทั้งหัวใจให้ใครซักคน แต่มันกลับเจอเพียงความสับสนข้างในหัวใจ
อยากเจอกับตัวเองรักที่จริงนั้นเป็นเช่นไร มันมีความหมายเพียงใด อยากจะรู้

แต่แล้วก็เจอเธอรักจริงๆที่ใจต้องการ ก็เพราะว่ามันคือความอ่อนหวานที่มีข้างใน
แต่มองอีกทางนึงรักนั้นเป็นเหมือนไฟเผาใจ บางทีก็ทุกข์ระทม ข่มและขื่น
หวานและสุกเหนือคำบรรยาย มันทำให้รู้สึกเจ็บ และแสนอบอุ่น นี่แหล่ะรัก

แต่ก่อนนั้นฉันคิดว่ารักคือความเข้าใจ และตอนนี้ฉันรู้ว่ารักคือความห่วงใย(ต่อกัน)
แต่จากนี้ฉันคิดว่ารักคือความเสียใจ ที่จะต้องเผชิญกับรักที่มีแต่ทุกข์ความช้ำและรัก
ที่โดนแยกทาง

มันไม่มีสิ่งใดเทียมเท่า ถ้าอยากจะรู้ความรู้สึก ต้องเผชิญกับตัวเอง

แต่ก่อนนั้นฉันคิดว่ารักคือความเข้าใจ และตอนนี้ฉันรู้ว่ารักคือความห่วงใยต่อกัน
แต่จากนี้ฉันคิดว่ารักคือความเสียใจ ที่จะต้องเผชิญกับรักที่มีแต่ทุกข์ความช้ำเท่านั้น

แต่ก่อนนั้นฉันคิดว่ารักคือความเข้าใจ และตอนนี้ฉันรู้ว่ารักคือความห่วงใย(ต่อกัน)
แต่จากนี้ฉันคิดว่ารักคือความเสียใจ ที่จะต้องเผชิญกับรักที่มีแต่ทุกข์ความช้ำและรัก
ที่โดนแยกทาง",blackhead
เธอจะอยู่กับฉันไหม,/music/thailyric/3220,"จะกี่ครั้งที่เธอเสียใจ ที่ฉันทำผิดพลาดพลั้ง
ให้เธอผิดหวังมากมาย กี่ปัญหาที่ต้องรับมัน
และฝืนทนเก็บเอาไว้
และพร้อมยอมอภัยเรื่อยมา

จนวันหนึ่งที่ตัวเธอจะจากไป
ฉันเพิ่งได้เห็นคุณค่า
ในเวลานี้ฉันยอมจะแก้ไข
จะไม่ทำให้เธอมีน้ำตา

แต่อยากรู้ว่าเธอจะอยู่กับฉันไหม
อยากถามเพียงแค่เท่านั้น ที่ฉันนั้นยังห่วงใย
ฉันต้องการจะอยู่เคียงข้างเธอนั้นจนไม่หายใจ
ตอบฉันทีได้ไหมคนดี

หากเธอนั้นยังคงเชื่อใจ และให้โอกาสอีกครั้ง
จะลบภาพความหลังให้หมดไป
และตัวฉันนั้นก็รู้ดี ว่านี่โอกาสสุดท้าย
ที่ฉันจะแก้ไขได้เพื่อเธอ

จนวันหนึ่งที่ตัวเธอจะจากไป
ฉันเพิ่งได้เห็นคุณค่า
ในเวลานี้ฉันยอมจะแก้ไข
จะไม่ทำให้เธอมีน้ำตา

แต่อยากรู้ว่าเธอจะอยู่กับฉันไหม
อยากถามเพียงแค่เท่านั้น ที่ฉันนั้นยังห่วงใย
ฉันต้องการจะอยู่เคียงข้างเธอนั้นจนไม่หายใจ
ตอบฉันทีได้ไหมคนดี

แต่อยากรู้ว่าเธอจะอยู่กับฉันไหม
อยากถามเพียงแค่เท่านั้น ที่ฉันนั้นยังห่วงใย
ฉันต้องการจะอยู่เคียงข้างเธอนั้นจนไม่หายใจ
ตอบฉันทีได้ไหมคนดี",blackhead
ไม่ตอบได้ไหม,/music/thailyric/3224,"อาจมีบางคำ ที่เธอนั้นต้องการ
อยากให้ยืนยันว่าเรานั้นจะรักกันตลอดไป
แต่ความเป็นจริงที่ตัวฉันเข้าใจ
อาจจะฟังไม่สวยงาม อย่างนั้น

เหตุที่ฉันยังไม่ยอมบอก กับเธอให้มั่นใจ
ก็เพราะฉันไม่รู้คำตอบ ว่าควรเป็นเช่นไร

อย่าทำให้ฉันต้องลำบากใจ
อย่าทำให้ฉันต้องพูดออกไป
กับคำถามที่เธอต้องการ
ว่าเราจะรักกันนานเท่าไร

แค่เพียงตอนนี้ฉันมีแต่เธอ
ตราบเท่าชีวิตจะมอบให้ได้
แต่ถามว่าเราจะรักกันนานแค่ไหน
ไม่ตอบได้ไหมเธอ

หากดวงชะตาพาให้ฉันพบเธอ
ก็ภาวนาให้เราได้เจอรักจริงตลอดไป
แต่หากชะตาเปลี่ยนให้รักร้างไกล
ซึ่งก็คงจำต้องยอมไปอย่างนั้น

เหตุที่ฉันยังไม่ยอมบอก กับเธอให้มั่นใจ
ก็เพราะฉันไม่รู้คำตอบ ว่าควรเป็นเช่นไร

อย่าทำให้ฉันต้องลำบากใจ
อย่าทำให้ฉันต้องพูดออกไป
กับคำถามที่เธอต้องการ
ว่าเราจะรักกันนานเท่าไร

แค่เพียงตอนนี้ฉันมีแต่เธอ
ตราบเท่าชีวิตจะมอบให้ได้
แต่ถามว่าเราจะรักกันนานแค่ไหน
ไม่ตอบได้ไหมเธอ",blackhead
เธอได้ยินไหม,/music/thailyric/3221,"เธอได้ยินไหมหัวใจเธอร่ำร้องหาใคร 
แต่เหมือนว่าไม่ใช่ฉัน
เธอตอบได้ไหม 
ว่าใครที่เธอนั้นต้องการ 
อย่าหลอกกันอย่างนั้นเลย

ขอให้แค่เธอบอกฉัน 
ฉันก็พร้อมให้เธอไปกับเขา 
ให้รักเราจบไป 
ไม่ต้องแกล้งโกหกฉัน 
อย่าปฏิเสธก็ยังรักกันได้ไหม 
ปล่อยฉันไปตามหัวใจ(ดีกว่า)
ถึงแม้เธอจะไม่รักเขา 
แต่ดูเหมือนรักเราก็ยังคงห่างไกล 
ในใจเธอไม่เคยมีฉันใช่ไหม 
อยากให้ถามหัวใจ 
อย่ามาโกหกกัน

เธอได้ยินไหมหัวใจเธอร่ำร้องหาใคร 
แต่เหมือนว่าไม่ใช่ฉัน
เธอตอบได้ไหม 
ว่าใครที่เธอนั้นต้องการ 
อย่าหลอกกันอย่างนั้นเลย

ขอให้แค่เธอบอกฉัน 
ฉันก็พร้อมให้เธอไปกับเขา 
ให้รักเราจบไป 
ไม่ต้องแกล้งโกหกฉัน 
อย่าปฏิเสธก็ยังรักกันได้ไหม 
ปล่อยฉันไปตามหัวใจ(ดีกว่า)
ถึงแม้เธอจะไม่รักเขา 
แต่ดูเหมือนรักเราก็ยังคงห่างไกล 
ในใจเธอไม่เคยมีฉันใช่ไหม
อยากให้ถามหัวใจ 
อย่ามาโกหกกัน

ถ้าไม่รักก็บอกมา 
ฉันก็พร้อมจะจากไป 
ยื้อฉันไว้ทำไมให้ช้ำใจอย่างนี้
แม้ฉันเสียเธอให้เขา 
มันยังดีกว่าที่เรา 
อยู่กับแต่จนชอกช้ำกันต่อไป

ขอให้แค่เธอบอกฉัน 
ฉันก็พร้อมให้เธอไปกับเขา 
ให้รักเราจบไป
ไม่ต้องแกล้งโกหกฉัน 
อย่าปฏิเสธก็ยังรักกันได้ไหม 
ปล่อยฉันไปตามหัวใจ(ดีกว่า)
ถึงแม้เธอจะไม่รักเขา 
แต่ดูเหมือนรักเราก็ยังคงห่างไกล 
ในใจเธอไม่เคยมีฉันใช่ไหม 
อยากให้ถามหัวใจ 
อย่ามาโกหกกัน",blackhead
สัญญา,/music/thailyric/3229,"สายตาที่ฉันมองเธอ เมื่อเธอมองที่ฉัน
เห็นถึงความฝันคราวสัมพันธ์ ห่วงใยอยู่ในนั้น

หากแม้ วันที่เธอต้องไป
สุดขอบฟ้า หรือดาวที่อยู่แสนไกล
อยากขอ เพียงให้เธอมั่นใจ
ไม่มีวันที่ฉันจะแปรเปลี่ยนจากเธอ

ขอให้คำสัญญา ฉันจะรักๆ แต่เธอต่อไป
ฉันสัญญา สัญญา พร้อมให้เธอหมดทั้งหัวใจ

รักที่เธอให้มา รักนี้มีค่ามากเกินสิ่งใด
วอนเธอเก็บหัวใจ ของฉันไว้นานเท่านาน

ขอเพียงแค่ฉันมีเธอ และเธอยังมีฉัน
เห็นถึงความรัก ความสำคัญ ที่มีต่อกัน

หากแม้ วันที่เธอต้องไป
สุดขอบฟ้า หรือดาวที่อยู่แสนไกล
อยากขอ เพียงให้เธอมั่นใจ
ไม่มีวันที่ฉันจะแปรเปลี่ยนจากเธอ

ขอให้คำสัญญา ฉันจะรักๆ แต่เธอต่อไป
ฉันสัญญา สัญญา พร้อมให้เธอหมดทั้งหัวใจ

อาจดูเป็นเพียงแค่คำหวานซึ้งใจ
แต่มันเป็นคำเปี่ยมความหมาย สำหรับฉัน
เก็บความจริงใจอยู่ในนั้น
ไม่เคยมีใครได้จากฉัน
ผูกความสัมพันธ์มั่นในสัญญา สัญญา

ขอให้คำสัญญา ฉันจะรักๆ แต่เธอต่อไป
ฉันสัญญา สัญญา พร้อมให้เธอหมดทั้งหัวใจ

ขอให้คำสัญญา ฉันสัญญา สัญญา
รักที่เธอให้มา (รักนี้มีค่ามากเกินสิ่งใด ไม่ว่าสิ่งใดๆ)
วอนเธอเก็บหัวใจ (ของฉันไว้นานเท่านาน ให้เธอเก็บไว้)",blackhead
ฉันอยู่ตรงนี้,/music/thailyric/3217,"ฉันอยู่ตรงนี้ถ้าเธอต้องการ ถ้าเผื่อทางนั้นทำเธอหมองหม่น
เห็นเธอเสียความรู้สึก ฉันที่รักเธอกว่าทุกคนก็เสียใจ

หากคำว่ารักมันร้ายกับเธอมากไป บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆของเธอมา ฉันจะรักษามันด้วยรักจริง (ด้วยหัวใจที่เหมือนเดิม)

ไม่ได้เคยคิดจะแทนที่ใคร แต่ถ้าคนไหนทำเธอทุกข์ทน
ฉันคนนี้ก็มีสิทธิ์ ฉันก็รักเธออยู่ทั้งคนหมดทั้งใจ

หากคำว่ารักมันร้ายกับเธอมากไป บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆของเธอมา ฉันจะรักษามันด้วยรักจริง (ด้วยหัวใจที่เหมือนเดิม)

หากคำว่ารักมันร้ายกับเธอมากไป บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆของเธอมา ฉันจะรักษามันด้วยรักจริง (ด้วยหัวใจที่เหมือนเดิม)

หากคำว่ารักมันร้ายกับเธอมากไป บอกมาได้ไหมให้ฉันช่วยซับน้ำตา
ส่งใจช้ำๆของเธอมา ฉันจะรักษามันด้วยรักจริง (ด้วยหัวใจที่เหมือนเดิม)

ถ้าเธอมีน้ำตา ถ้าเธอต้องช้ำใจ ฉันอยู่ตรงนี้",blackhead
