song_name,href,lyric,artist
Blur Blur,/music/thailyric/12657,"เธอเปลี่ยนชีวิตฉัน
ให้เป็นดั่งดอกไม้ไฟ
สว่างสดใสยิ่งกว่าใครๆ
แล้วตอนสุดท้าย
เธอก็เดินไปจากหัวใจ
ปล่อยให้ความรักร่วงโรยดับไป

แต่ว่าคืนนี้ฉันจะลืมเธอ
คืนนี้จะฉันจะปล่อยเบลอ
คืนนี้ฉันจะลืมเธอ

คืนนี้ฉันจะลืมเธอ
คืนนี้จะฉันจะปล่อยเบลอ
คืนนี้ฉันจะลืมเธอ
เบลอ เบลอ เบลอ

เธอเปลี่ยนชีวิตฉัน
ให้เป็นดั่งดอกไม้ไฟ
สว่างสดใสยิ่งกว่าใครๆ
แล้วตอนสุดท้าย
เธอก็เดินไปจากหัวใจ
ปล่อยให้ความรักร่วงโรยดับไป

แต่ว่าคืนนี้ฉันจะลืมเธอ
คืนนี้จะฉันจะปล่อยเบลอ
คืนนี้ฉันจะลืมเธอ

คืนนี้ฉันจะลืมเธอ
คืนนี้จะฉันจะปล่อยเบลอ
คืนนี้ฉันจะลืมเธอ
เบลอ เบลอ เบลอ

เบลอ เบลอ คืนนี้ฉันจะลืมเธอ
เบลอ เบลอ คืนนี้ฉันจะลืมเธอ

มาไว ไปไว ความรักของเรา
ก็เหมือนกับดอกไม้ไฟ
Burn sky burn my life burn everything
แล้วมันก็มอดดับไป
บทแรกรักมองดูโลกอย่างสวย
บทสุดท้ายแม่งดูโคตรเฮงซวย
งงสิครับ ทีนี้ต้องเบลอสิครับ
ไม่ว่าใครจะว่ายังไง ฉันจะบอกว่า

คืนนี้ฉันจะลืมเธอ
คืนนี้ฉันจะลืมเธอ
คืนนี้ฉันจะลืมเธอ
คืนนี้ฉันจะปล่อยเบลอ
คืนนี้ฉันจะลืมเธอ
เบลอ เบลอ เบลอ

คืนนี้ฉันจะลืมเธอ
เบลอ เบลอ
เบลอ เบลอ เบลอ",boom_boom_cash
Cyberpunk,/music/thailyric/23732,"ไม่เข้าใจจริงๆ เลยว่ามึงโตมาแบบไหน
คอยระรานคุกคามให้ร้อนเป็นไฟ
อยู่กันดีๆ อยู่กันไม่ได้ใช่ไหม
อยู่กันดีๆ อยู่กันไม่ได้ใช่ไหม

ไม่สนที่ถูกต้อง จะเอาที่ถูกใจ
ไม่สนที่ถูกต้อง จะเอาที่ถูกใจ
ไม่สนที่ถูกต้อง จะเอาที่ถูกใจ
ไม่สนที่ถูกต้อง จะเอาที่ถูกใจ

ไม่มีใครเหลียวแลไม่มีใครสน
อยากได้แสงไฟจนลืมความเป็นคน
อยากให้กูเสียใจ โทษทีกูไม่สน
โทษทีกูไม่สน โทษทีกูไม่สน

Lalala lalalalalalala
Lalalalalala lalalala
Lalala lalalalalalala
Lalalalalala lalalala

Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala
Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala

Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala
Cyberpunk lalalalalala lalalala
กูไม่แคร์  lalalalalala lalalala
รับคำขอโทษเป็นเงินสด เท่านั้นนะคะ

ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ

ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ

ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ
ไม่สนที่ถูกต้องจะเอาที่ถูกใจ

ไม่มีใครเหลียวแลไม่มีใครสน
อยากได้แสงไฟจนลืมความเป็นคน
อยากให้กูเสียใจ โทษทีกูไม่สน
โทษทีกูไม่สน โทษทีกูไม่สน

Lalala lalalalalalala
Lalalalalala lalalala
Lalala lalalalalalala
Lalalalalala lalalala

Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala
Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala

Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala
Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala

Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala
Cyberpunk lalalalalala lalalala
กูไม่แคร์ lalalalalala lalalala

Cyberpunk",boom_boom_cash
Drink and Drunk,/music/thailyric/12641,"ฉันทำไปเพื่อจะลืมความจริง
ทิ้งทุกสิ่งที่มันทำร้ายใจ
ไม่ต้องการได้คำตอบ
เพียงแค่ฉันอยากลืมคำถาม

ยกขึ้นมา we will Drink and Drunk
ช่างหัวมันคนที่เคยทิ้งเรา
ไม่ต้องการ คิดถึงเธอ
พอกันทีไอคำว่ารัก
Drink and drunk

มองดูเรามีความสุข
ดูเฮฮาเหมือนทุกคนไม่มีทุก
แล้วใครมันจะไปรู้ละว่าที่มันจุก
อยู่ข้างในมันทรมานแทบบ้า
รอช้าอยู่ทำไม แชมเปญ
เตกิล่า ไวน์ วอดก้า อยู่ที่ไหน
จุดไฟเผาจัดมันมา Let's drink it

เห้ยห้าช็อท เห้ยหกช็อท
เห้ยกินอะไรเข้าไปกันบ้าง
ไม่รู้มันหลายช็อท
เธอไม่รักเธอไม่สน
อยากจะกินรินเอา
อยากจะเมากินเอง
ดื่มให้ความหลัง
แล้วก็ดื่มให้ความเศร้า
ดื่มให้ความรักที่มันกลายเป็นขี้เถ้า
ดื่มให้คนเลวที่ทิ้งแผลไว้ให้เรา
เอ้าชน

ฉันทำไปเพื่อจะลืมความจริง
ทิ้งทุกสิ่งที่มันทำร้ายใจ
ไม่ต้องการได้คำตอบ
เพียงแค่ฉันอยากลืมคำถาม

ยกขึ้นมา we will drink and drunk
ช่างหัวมัน คนที่เคยทิ้งเรา
ไม่ต้องการคิดถึงเธอ
พอกันทีไอคำว่ารัก
Drink and drunk

Drink and drink
and drink and drunk
ใครเตือนไม่ฟังชีวิตพังก็มา
เสียทั้งใจเสียทั้งน้ำตา
สมน้ำหน้ากลายเป็นหมาหัวเน่า

Drink and drink
and drink and drunk
ตีหน้าเศร้าเหมือนละครดราม่า
อกหักแล้วก็ดื่มไม่ต้องสนเวลา
Drink and drink
and drink and drunk

ฉันทำไปเพื่อจะลืมความจริง
ทิ้งทุกสิ่งที่มันทำร้ายใจ
ไม่ต้องการได้คำตอบ
เพียงแค่ฉันอยากลืมคำถาม

ยกขึ้นมา we will drink and drunk
ช่างหัวมันคนที่เคยทิ้งเรา
ไม่ต้องการคิดถึงเธอ
พอกันทีไอคำว่ารัก
Drink and drunk",boom_boom_cash
Hakuna Matata,/music/thailyric/22373,"ตอนที่เธอทิ้งไม่เหลียวแล
ฉันจะเป็นยังไงเธอก็ไม่เคยแคร์เลย
อ๋อ ตอนนี้อยากจะรีเทิร์นหรอ
อ๋อ Say goodbye to my hand

หมดโอกาสของเธอแล้ว
ไม่มีคนที่ใจอ่อนอีกต่อไปแล้ว No...
Now I got all the boys and
I'm done being your toy

I got all I want หน้า ผม ขนตา ทาลิป คิ้วเป๊ะ
ใช้ชีวิตตามที่ใจต้องการ
Hakuna Matata Hakuna Matata
Hakuna Matata Hakuna Matata
Hakuna Matata Hakuna Matata

Baby gyal if you wanna party
Tiktok trend come follow me
ไหนใครมีของดี เอามาโชว์สิ
Shake dem baby gyal
Shake dem booty

Go low go low
Bando Bando
BBC so flow so flow
Take control don't let your boyfriend know

Go low go low
Bando bando
BBC so flow so flow
Take control don't let your boyfriend know

จะสุขจะทุกข์ I never care
ไม่มีข้อแม้ไม่มีกฎเกณฑ์
ชีวิตจากนี้ฉันจะกำหนดเอง
I'm ma I'm ma I'm ma do it my way

Hakuna Matata Hakuna Matata
Hakuna Matata Hakuna Matata
Hakuna Matata Hakuna Matata

ใช้ชีวิตแบบไม่มีกังวล
เหมือนซิมบ้า เจ้าป่ายืนอยู่ข้างบน
เครียดไปก็ไม่ไหว เอ้า กูก็คน
แฟนเก่าน่ารำคาญก็ไม่ต้องทน

คิดมากไปบางทีต้อง Let it go
หย่อนไป ตึงไป ต้อง Let it flow
ตอบช้าโทษที I'm making dough
Credit card กูไม่เคยต้อง On hold

ผ่านไปสิบปียังเล่นดนตรี (Checked)
กู party เหมือนพรุ่งนี้ไม่มี (Checked)
ทิ้งกูแล้วมาขอคืนดี
Move on แล้วโทษที

จะสุขจะทุกข์ I never care
ไม่มีข้อแม้ไม่มีกฎเกณฑ์
ชีวิตจากนี้ฉันจะกำหนดเอง
I'm ma I'm ma I'm ma do it my way

Hakuna Matata Hakuna Matata
Go low go low
Bando bando
Go low go low

Hakuna Matata Hakuna Matata
Go low go low
Bando bando
Go low go low

Hakuna Matata Hakuna Matata",boom_boom_cash
Keep Going (App War Version),/music/thailyric/14722,"เริ่มต้นฉันไม่มีอะไร
ไม่ได้คิดว่าพรุ่งนี้ฉันจะเป็นยังไง
แค่อยากจะไปทำตามหัวใจ

เดินทางมาไม่ไกลเท่าไร
ฉันก็เดินเข้าไปเจอกับอันตราย
เหมือนดังกับฟ้ากำลังท้าทาย

แม้ล้มจะพยุงเดินไป
คิดเข้าไว้
หวังเพียงสักวันพายุที่มันถาโถม
ก็จะสดใส Keep going
เส้นทางที่ไม่เดินตามใคร
คงไม่ต่างอะไรจากทะเลทราย
ดูยังไง มองทางไหนก็ช่างโหดร้าย
หรือจะยอม

ฝันที่แสนยิ่งใหญ่
จะใหญ่สักเท่าไร
ไม่มีทางเท่าหัวใจ
เสียน้ำตาไปเท่าไร
ฉันโชคดีเพียงใด
ที่ไม่เคยยอมแพ้

ชูมือขึ้นฟ้า Keep going
ความหวังยังมีอยู่ Keep keep keep going
จะไม่ยอมถอย Keep going
ถ้ายังหายใจอยู่ Keep keep keep going

ไม่รู้ว่าอีกไกลแค่ไหน
สิ่งที่ฝันจะเป็นจริงฉันต้องทำยังไง
ไม่เคยมีใครบอกให้เข้าใจ

ทุกๆ ก้าวที่เราเลือกจะเดิน
มีพลังอยู่ข้างในเราจะไปเผชิญ
I will do mistake and I will learn

ฝันที่เรามีมันยิ่งใหญ่ขึ้นทุกวัน
ทางมีน้อยไปเราต้องใช้ให้จริงจัง
ยากสักแค่ไหนมันต้องวัดกันที่ใจ
สู้ไม่มีถอย ถ้าอ่อนแอก็แพ้ไป
เอาแต่บ่นมัวแต่กลัวมัวแต่รอคนกระจอก
คนขี้เกียจชอบมักง่ายจะยิ่งใหญ่ไม่มีหรอก
The is the war
ไม่อยากจะพูดเยอะ วู้ย เจ็บคอ

ฝันที่แสนยิ่งใหญ่
จะใหญ่สักเท่าไร
ไม่มีทางเท่าหัวใจ
เสียน้ำตาไปเท่าไร
ฉันโชคดีเพียงใด
ที่ไม่เคยยอมแพ้

ชูมือขึ้นฟ้า Keep going
ความหวังยังมีอยู่ Keep keep keep going
จะไม่ยอมถอย Keep going
ถ้ายังหายใจอยู่ Keep keep keep going

ชูมือขึ้นฟ้า Keep going
ความหวังยังมีอยู่ Keep keep keep going
จะไม่ยอมถอย Keep going
ถ้ายังหายใจอยู่ Keep keep keep going",boom_boom_cash
No Way,/music/thailyric/15329,"อยากจะรู้ว่าเธออยู่ไหน ตอนที่เธอไม่อยู่
ฉันคิดถึงเธอมากแค่ไหน เธอก็คงไม่รู้
เอาแต่มองแต่ดูโทรศัพท์  หากเป็นเธอจะได้รีบรับ
รอฟังเสียงเธอบอกว่า Hey how you doing girl

ยอมรับว่าเคยเจ้าชู้แต่ตอนนี้มีแต่ You
น้องๆ หนูๆ เขาก็รู้ ว่าเรานะคือเป็นคู่ Yes อ่า
So ไม่ต้องห่วง About me to ไม่เป็นเหมือนก่อน
So be cool คืนนั้นคืนนี้อาจจะ สุดท้าย My baby boo

ก็บอกกับเธอแล้วไง จะไปเจ้าชู้กับใคร
พูดเรื่องเก่าทำไม คงไม่น่าไว้ใจ
เป็นกูก็คงไม่กล้าไว้ใจ
แต่พี่เป็น แบบพวกโจรกลับใจ
พี่ไม่ใช่พวก พ่อปลาไหล
ดูแล้วอาจจะน่าสงสัย แต่ใจฉันมีแต่ U girl

ที่เธอเรียกที่รัก เรียกฉันคนเดียวใช่ไหม
ที่เธอบอกคิดถึง บอกฉันคนเดียวใช่ไหม
คนที่เธออยากกอด คือฉันคนเดียวใช่ไหม
หรือว่าเธอมีคนอื่น หรือว่าเธอมีคนอื่น Oh

No Way no way no way พี่ไม่ใช่พวกเสเพล
No way no way no way ไม่ใช่พวกผีทะเล
No way no way no way จบแล้วกับเรื่องเกเร
What u say Let me love u baby bae baby bae

หรือว่าเธอมีคนอื่น
หรือว่าเธอมีคนอื่น

ดึกดื่นป่านนี้ไปอยู่ที่ไหน โทรไม่รับ ไลน์ไม่ตอบ
บอกกับฉันว่าไม่มีใคร แต่ทำตัวน่าสงสัย
คอยระวังระแวงเธออยู่ เพราะว่าเธอน่ะช่างเจ้าชู้
คนเขาเตือน เขาบอกว่า Hey ระวังโดนเธอหลอก

อดีต อดีต อดีต เราอย่ามาพูดถึง Shit i did
Let's Take a hit It's kwan kwan and อยู่กับปัจจุบัน And live
จัดไป All night จับจับ จูบจูบ ถูถู  ถูไถ All night จ้ะ
I mean I like you right now How that sound girl

It sounds like not the typical we light a splif or two
How bout you finish up your drink and then we dipping boo
So what you get into cause I would like to get in you
And let me see if that yoga got you flexible

ที่เธอเรียกที่รัก เรียกฉันคนเดียวใช่ไหม
ที่เธอบอกคิดถึง บอกฉันคนเดียวใช่ไหม
คนที่เธออยากกอด คือฉันคนเดียวใช่ไหม
หรือว่าเธอมีคนอื่น หรือว่าเธอมีคนอื่น Oh

No way no way no way พี่ไม่ใช่พวกเสเพล
No way no way no way ไม่ใช่พวกผีทะเล
No way no way no way จบแล้วกับเรื่องเกเร
What u say Let me love u baby bae baby bae

หรือว่าเธอมีคนอื่น
หรือว่าเธอมีคนอื่น

แค่อยากจะรู้ให้มั่นใจ
ว่าเธอยังรักและไม่มีใคร
Cause I don't wanna cry
สรุปว่าไว้ใจได้ไหม

ที่เธอเรียกที่รัก เรียกฉันคนเดียวใช่ไหม
ที่เธอบอกคิดถึง บอกฉันคนเดียวใช่ไหม
คนที่เธออยากกอด คือฉันคนเดียวใช่ไหม
หรือว่าเธอมีคนอื่น หรือว่าเธอมีคนอื่น Oh

No way no way no way พี่ไม่ใช่พวกเสเพล
No way no way no way ไม่ใช่พวกผีทะเล
No way no way no way จบแล้วกับเรื่องเกเร
What u say Let me love u baby bae baby bae

ที่เธอเรียกที่รัก เรียกฉันคนเดียวใช่ไหม
ที่เธอบอกคิดถึง บอกฉันคนเดียวใช่ไหม
คนที่เธออยากกอด คือฉันคนเดียวใช่ไหม
หรือว่าเธอมีคนอื่น หรือว่าเธอมีคนอื่น Oh",boom_boom_cash
U Drink I Drink,/music/thailyric/12470,"U Drink I Drink
Drink ให้รักที่พัง ผิดหวังเพราะเธอทุ่มเท
U drink I drink
Drink ให้คนเลวๆ ที่ทิ้งเธอไปไม่แคร์
U drink I drink
Drink ให้คนดีๆ ที่เธอไม่เคยเหลียวแล
ดื่มให้หัวใจ ที่มีแต่ปัญหา
ช่วยพาฉัน ไปจาก ตรงนี้ Come on

Drink it Drink it up
Bottom Bottoms up
Drink it Drink it up
Bottom Bottoms up
Drink it Drink it up
Bottom Bottoms up
Drink it Drink it
One Two Three Go

ดื่มตั้งแต่ ฟ้ายังไม่มืดเลย
รู้ตัวอีกทีก็ตีสี่เลย
แดกกันยันหว่างคนอย่างเราไม่ต้องพักไม่ต้องผ่อน
ไม่ต้องนอนไม่ต้องกลับไม่ต้องสร่าง

Yeah we party hard
We drop it hard like boom boom
My drinks are fucking hot like there's a fire in the room

ดื่มเข้าไปจนกว่ามึงจะลืม
ไม่ต้องคิดถึงคนเมื่อวานซืน
ถ้ามึงจะ Drink กูก็จะไม่ทิ้ง
ไม่ต้องสงสัยเพราะกูน่ะคนจริง

โดนทิ้งกี่ทีมึงก็เรียกแต่กู
โดนทิ้งแม่งทั้งปีมึงก็เรียกแต่กู
โดนทิ้งกี่ทีมึงก็เรียกแต่กู
โดนทิ้งแม่งทั้งปีมึงก็เรียกแต่กู

U drink I drink
Drink ให้รักที่พัง ผิดหวังเพราะเธอทุ่มเท
U drink I drink
Drink ให้คนเลวๆ ที่ทิ้งเธอไปไม่แคร์
U drink I drink
Drink ให้คนดีๆ ที่เธอไม่เคยเหลียวแล
ดื่มให้หัวใจ ที่มีแต่ปัญหา
ช่วยพาฉัน ไปจาก ตรงนี้ Come on

Drink it Drink it up
Bottom Bottoms up
Drink it Drink it up
Bottom Bottoms up
Drink it Drink it up
Bottom Bottoms up
Drink it Drink it
One Two Three Go

ก็กูน่ะรู้ว่ามึงไม่มีใคร
กูอยุ่กับมึงด้วยความจริงใจ
มึงชวนกูดื่มแล้วมึงห้ามหยุด
ถ้ายังไม่ตายต้องเอาให้สุด
เพราะว่า

โดนทิ้งกี่ทีมึงก็เรียกแต่กู
โดนทิ้งแม่งทั้งปีมึงก็เรียกแต่กู
โดนทิ้งกี่ทีมึงก็เรียกแต่กู
โดนทิ้งแม่งทั้งปีมึงก็เรียกแต่กู

U drink I drink
Drink ให้รักที่พัง ผิดหวังเพราะเธอทุ่มเท
U drink I drink
Drink ให้คนเลวๆ ที่ทิ้งเธอไปไม่แคร์
U drink I drink
Drink ให้คนดีๆ ที่เธอไม่เคยเหลียวแล
ดื่มให้หัวใจ ที่มีแต่ปัญหา
ช่วยพาฉัน ไปจาก ตรงนี้ Come on

Drink it Drink it up
Bottom Bottoms up
Drink it Drink it up
Bottom Bottoms up
Drink it Drink it up
Bottom Bottoms up
Drink it Drink it
One Two Three Go",boom_boom_cash
คิดถึง,/music/thailyric/12729,"ฟ้ามืดลงทีไร หัวใจก็เริ่มบางเบา
ทบทวนเรื่องเก่าเรา
อยู่ดีๆ น้ำตาก็ไหล

และฉันก็ยังคอย
อยากกอดเธอ
ให้เหมือนที่เคยมีกัน
ขอโทษเรื่องวันนั้น
ในวันนี้ สิ่งที่เหลือ
ก็มีเพียงความเสียใจ

อยากกลับคืนวันให้เป็นดังเก่า
อยากกลับคืนวันให้เป็นของเรา

ก็ฉันคิดถึงเธอ มันคิดถึง
ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

ก็ฉันคิดถึงเธอ มันคิดถึง
ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม
ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

คิดถึงลมหายใจ
ของเธอที่ดังอยู่ข้างกาย
ในตอนนี้สิ่งที่ฉัน
มีคือหัวใจสลาย
เธอจะรู้บ้างไหม
ว่าตอนนี้ฉันทุรนทุราย
เพียงแค่นึกถึงเธอทีไร
มันทรมานจะเป็นจะตาย

So this time I messed up
This is the best thing I can do
ได้แต่นั่งดูรูปของเธอ
แล้วคิดว่าฉันยังมีเธออยู่

หากเธอให้โอกาสอีกครั้ง
just one chance that I will prove
จะดูแลและรักษาเธอ
ให้เหมือนที่เธอเคยทำให้ดู

อยากกลับคืนวันให้เป็นดังเก่า
อยากกลับคืนวันให้เป็นของเรา

ก็ฉันคิดถึงเธอ มันคิดถึง
ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

ก็ฉันคิดถึงเธอ มันคิดถึง
ไม่รู้ว่าจะทำเช่นไร

ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

ฉันคิดถึง
ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม

ก็ฉันคิดถึงเธอ มันคิดถึง
ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง
แล้วเธอจะรู้บ้างไหม",boom_boom_cash
ภักดีแค่ไหน,/music/thailyric/17691,"ยอมเข้ากรงที่เธอสร้างไว้ ให้รักมันคุมขัง
เพราะว่ารักจึงไม่ไปไหน เชื่อใจ ทุกครั้ง
ฉันไว้ใจเธอที่สุดแล้ว ให้เธอไปไม่ยั้ง
ได้รับมาแค่ความผิดหวัง ก็ยัง ทนฝืน

ยังคงยอมทนยังทำมันไปทุกอย่าง ไม่ว่าดีร้าย
ดังคนงมงายวางใจลงไปไม่เผื่อ เพียงเพื่อได้รู้ ว่า

ภักดีแค่ไหน สุดท้ายก็ร้องไห้
แสนจะเจ็บใจ เลือกไปรักเธอ
ฉันมันผิดเอง ที่คิดไปไว้ใจ
รักคนผิดไป ต้องพอเท่านี้

ไม่มีแล้วสวรรค์ที่ฝัน
เหลือแค่เพียงน้ำตาของฉัน
ไม่มีแล้วคนโง่คนนั้น  Oh
แค่นี้มันก็เจ็บเจียนตาย

แค่นี้มันก็เจ็บเจียนตาย

เคยเข้าใจว่าทำดีนั้น ย่อมได้ดีกลับคืน
แล้วทำไมฉันต้องทนฝืน กล้ำกลืน โหดร้าย
ทำเพื่อเธอไปจนหมดแล้ว ไม่เห็นได้อะไร
ผิดที่ฉันคนเดียวใช่ไหม ที่ไป เชื่อเธอ

ยังคงยอมทนยังทนทำไปทุกอย่าง ไม่ว่าดีร้าย
ดังคนงมงายวางใจลงไปไม่เผื่อ เพียงเพื่อได้รู้ ว่า

ภักดีแค่ไหน สุดท้ายก็ร้องไห้
แสนจะเจ็บใจ เลือกไปรักเธอ
ฉันมันผิดเอง ที่คิดไปไว้ใจ
รักคนผิดไป ต้องพอเท่านี้

ไม่มีแล้วสวรรค์ที่ฝัน
เหลือแค่เพียงน้ำตาของฉัน
ไม่มีแล้วคนโง่คนนั้น  Oh
แค่นี้มันก็เจ็บเจียนตาย

แค่นี้มันก็เจ็บเจียนตาย

ภักดีแค่ไหน สุดท้ายก็ร้องไห้
แสนจะเจ็บใจ เลือกไปรักเธอ
ฉันมันผิดเอง ที่คิดไปไว้ใจ
รักคนผิดไป ต้องพอเท่านี้",boom_boom_cash
มันใหญ่มาก 6 บาย บูม บูม แคช,/music/thailyric/10191,"ได้โปรดมามันอีกครั้ง รวมกันสู่โลกเดียวกัน
จุดหมายเดียวกัน อีกครั้งหนึ่ง
ทุกคนพร้อมยอมเหนื่อย เพื่อวันยิ่งใหญ่

ระเบิดพลังแห่งฝัน รวมกันสู่โลกเดียวกัน
และพร้อมมามัน อีกมากมาย
เพราะเมื่อฝันร่วมกัน แล้วมันใหญ่มาก

Get up, get up, come on
Get up, get up, come on
Get up, get up, come on
Big mountain

Get up, get up, come on
Get up, get up, come on
Get up, get up, come on
Big mountain

โลกนี้มันกว้างใหญ่ ผู้คนช่างมากมาย
มองไปทางไหนก็เจอแต่เรื่องราววุ่นวาย
คนเป็นล้านแต่ไม่เคยคิดทักทาย
เฮ้ยเบื่อจริงมันต้องมีทางแก้

ขอเพียงสักวันที่เราจะเปลี่ยนแปลงมัน
ขอเพียงสักวันที่เราจะทำตามฝัน
ขอเพียงสักวันที่เราจะเอาให้มัน
ฝันของใครๆ ก็อยากตามฝัน

ถึงเวลาปลดปล่อยพลัง
อดทนอดกลั้นต้องตะโกนดังดัง
จะโดดจะเต้นจนกว่ารองเท้าจะพัง
ชูมือขึ้นฟ้าจนกว่าจะหมดกำลัง

กอดคอแล้วโยกเหงื่อท่วมสะใจ
ไม่รู้จักกันก็ไม่เห็นเป็นไร
มองตาคนข้างๆ แล้วส่งยิ้มให้ไป
เผื่อล้มหมดสติก็ฝากด้วยแล้วกัน

ได้โปรดมามันอีกครั้ง รวมกันสู่โลกเดียวกัน
จุดหมายเดียวกัน อีกครั้งหนึ่ง
ทุกคนพร้อมยอมเหนื่อย เพื่อวันยิ่งใหญ่

ระเบิดพลังแห่งฝัน รวมกันสู่โลกเดียวกัน
และพร้อมมามัน อีกมากมาย
เพราะเมื่อฝันร่วมกัน แล้วมันใหญ่มาก

Get up, get up, come on
Get up, get up, come on
Get up, get up, come on
Big mountain

Get up, get up, come on
Get up, get up, come on
Get up, get up, come on
Big mountain

Big mountain say มัน มัน ใหญ่ ใหญ่ มาก มาก
Big mountain say มัน มัน ใหญ่ ใหญ่ มาก มาก
Big mountain ใหญ่

10 9 8 7 6 5 4 3 2 1 Big mountain

ได้โปรดมามันอีกครั้ง รวมกันสู่โลกเดียวกัน
จุดหมายเดียวกัน อีกครั้งหนึ่ง
ทุกคนพร้อมยอมเหนื่อย เพื่อวันยิ่งใหญ่

ระเบิดพลังแห่งฝัน รวมกันสู่โลกเดียวกัน
และพร้อมมามัน อีกมากมาย
เพราะเมื่อฝันร่วมกัน แล้วมันใหญ่มาก

ระเบิดพลังสู่ฟ้า ปลดปล่อยพลังออกมาพร้อมกัน
ระเบิดพลังออกไปด้วยกัน ให้มันยิ่งใหญ่
ด้วยกัน สร้างฝันยิ่งใหญ่
ก้าวเดินก้าวใหม่ ให้มันยิ่งใหญ่",boom_boom_cash
