song_name,href,lyric,artist
เพื่อนร่วมทาง,/music/thailyric/8298,"ไม่ว่าความฝันจะไกลสักเท่าไร
ก็ไม่หวั่นไหวถ้าเธอเคียงข้าง
แบ่งปันชีวิต
เป็นเพื่อนร่วมทางไม่ห่างไปไหน

ไม่ว่าวันนี้และในทุกๆ วัน
เธอจะมีฉันไม่ว่าเมื่อไร
เป็นเพื่อนเสมอ
ผูกพันด้วยใจเพราะฉันรักเธอ

ถึงแม้ว่าฝันของเราจะอยู่แสนไกล
ถึงแม้ว่าฝันของเราต่างกันมากมาย
แต่ในวันนี้ที่ฉันได้พบเธอเพราะความฝัน

ปลอบโยนกันวันที่เสียใจ
ร่วมยินดีวันที่ยิ้มได้
นี่คือความหมาย ของเพื่อนใช่ไหม

ไม่ว่าความฝันจะไกลสักเท่าไร
ก็ไม่หวั่นไหวถ้าเธอเคียงข้าง
แบ่งปันชีวิต
เป็นเพื่อนร่วมทางไม่ห่างไปไหน

ไม่ว่าวันนี้และในทุกๆ วัน
เธอจะมีฉันไม่ว่าเมื่อไร
เป็นเพื่อนเสมอ
ผูกพันด้วยใจเพราะฉันรักเธอ

ได้พบได้เห็นพูดคุยกับเธอทุกวัน
ถึงแม้ว่าฉันและเธอจะทะเลาะกัน
โกรธนานแค่ไหน
เพื่อนกันสุดท้ายก็เป็นดั่งเดิม

ปลอบโยนกันวันที่เสียใจ
ร่วมยินดีวันที่ยิ้มได้
นี่คือความหมาย ของเพื่อนใช่ไหม

ไม่ว่าความฝันจะไกลสักเท่าไร
ก็ไม่หวั่นไหวถ้าเธอเคียงข้าง
แบ่งปันชีวิต
เป็นเพื่อนร่วมทางไม่ห่างไปไหน

ไม่ว่าวันนี้และในทุกๆ วัน
เธอจะมีฉันไม่ว่าเมื่อไร
เป็นเพื่อนเสมอ
ผูกพันด้วยใจเพราะฉันรักเธอ",boy_peacemaker
คือเธอ,/music/thailyric/8530,"ทุกคืนไม่ยอมหลับ ไม่รู้เป็นเพราะอะไร
ในคืนเดียวดาย ใจคิดถึงเพียงเธอ
เหมือนมีพร้อมทุกอย่าง อยากได้อะไร
ฉันมีเสมอ แต่เหมือนไม่มีใคร

เมื่อได้พบเธอคนนี้
เพิ่งจะรู้สิ่งใดที่ขาดหาย

คือคำว่ารัก คำเดียวที่ใจต้องการ
หนึ่งเดียวและทุกอย่าง แค่ได้รักเธอนั้นคือที่สุด
ชีวิตมีเธอ ความเหงาก็หายไป ไม่มีที่ว่างให้ใคร
ชีวิตทั้งหมดขอใช้กับเธอ

ทุกวันที่หมุนผ่าน ก็ยิ่งทำให้เข้าใจ
มันทำให้รู้ เธอสำคัญเพียงใด
เพราะเมื่อฉันใกล้เธอ ในหัวใจไม่ว่างเปล่า
เธอคือดวงดาว เปลี่ยนฟ้าให้สดใส

เมื่อได้พบเธอคนนี้
เพิ่งจะรู้สิ่งใดที่ขาดหาย

คือคำว่ารัก คำเดียวที่ใจต้องการ
หนึ่งเดียวและทุกอย่าง แค่ได้รักเธอนั้นคือที่สุด
ชีวิตมีเธอ ความเหงาก็หายไป ไม่มีที่ว่างให้ใคร
ชีวิตทั้งหมดขอใช้กับเธอ

คือคำว่ารัก คำเดียวที่ใจต้องการ
หนึ่งเดียวและทุกอย่าง แค่ได้รักเธอนั้นคือที่สุด
ชีวิตมีเธอ ความเหงาก็หายไป ไม่มีที่ว่างให้ใคร
ชีวิตทั้งหมดขอใช้กับเธอ

คนนี้คนเดียว ที่ใจต้องการ
หนึ่งเดียวและทุกอย่าง แค่ได้รักเธอนั้นคือที่สุด
ชีวิตมีเธอ ความเหงาก็หายไป ไม่มีที่ว่างให้ใคร
ชีวิตทั้งหมดขอใช้กับเธอ",boy_peacemaker
ด้วยหัวใจ,/music/thailyric/8772,"แต่ละครั้งที่มีรัก แต่ละครั้งต้องบอบช้ำ
แผลที่โดนใครทำให้ช้ำให้เสียใจ
บอกตัวเองกี่พันครั้งจะไม่พลั้งหัวใจให้ใคร
เพราะรู้ว่าคงต้องเสียใจอย่างเดิม

แต่คนบนฟ้าคงกำหนด ให้หัวใจได้เจอกับเธอ
และสั่งให้ฉันต้องลองเปิดใจอีกสักที

จากนี้ไป ฉันพร้อมจะทำเพื่อเธอทุกอย่าง
ด้วยหัวใจรู้แล้วฉันมีชีวิตอยู่เพื่อใคร
และชีวิตที่เหลืออยู่นี้ อยากจะขอเธอแชร์ลมหายใจ
ให้รู้ว่าเธอนั้นคือคนสุดท้าย สัญญาด้วยหัวใจ

จากวันนั้นที่เคยท้อ ที่เคยรออย่างสิ้นหวัง
เธอช่วยทำให้ฉันมองรักในมุมต่างไป
เธอเป็นเหมือนคนในฝัน ที่มาเปลี่ยนโลกฉันไปทั้งใบ
หมดหัวใจจากนี้มีแค่เธอ

แต่คนบนฟ้าคงกำหนด ให้หัวใจได้เจอกับเธอ
และสั่งให้ฉันต้องลองเปิดใจอีกสักที

จากนี้ไป ฉันพร้อมจะทำเพื่อเธอทุกอย่าง
ด้วยหัวใจรู้แล้วฉันมีชีวิตอยู่เพื่อใคร
และชีวิตที่เหลืออยู่นี้ อยากจะขอเธอแชร์ลมหายใจ
ให้รู้ว่าเธอนั้นคือคนสุดท้าย สัญญาด้วยหัวใจ

แต่คนบนฟ้าคงกำหนด ให้หัวใจได้เจอกับเธอ
และสั่งให้ฉันต้องลองเปิดใจอีกสักที

จากนี้ไป ฉันพร้อมจะทำเพื่อเธอทุกอย่าง
ด้วยหัวใจรู้แล้วฉันมีชีวิตอยู่เพื่อใคร
และชีวิตที่เหลืออยู่นี้ อยากจะขอเธอแชร์ลมหายใจ
ให้รู้ว่าเธอนั้นคือคนสุดท้าย สัญญาด้วยหัวใจ",boy_peacemaker
ฝัน,/music/thailyric/9170,"เธอเป็นคนที่เคยอยู่ในฝัน
เธอเป็นคนที่รอมาแสนนาน
เจอกับเธอเหมือนฝันเป็นจริง
ได้อยู่ใกล้กับเธอดั่งในฝัน
อยากจะขอให้เธออยู่ข้างกัน
อย่างนี้ทุกวันตลอดไป

แต่ฝันก็ถึงตอนจบ
เมื่อได้พบความจริงว่าฝันของเธอไม่มีฉัน
เมื่อฉันเป็นแค่ลมผ่าน
ที่แสนเจือจาง ไม่มีค่าอะไรให้จำ

ต่อให้พยายามเท่าไรก็ได้เท่านี้
ได้แค่นี้ ใกล้เพียงตัวแต่ไกลหัวใจ
แต่ต่อให้วันเวลาผ่านเลยไปซักเพียงไหน
ก็จะไม่มีวันเปลี่ยนใจ และจะรักเธอตลอดไป

ได้แค่เพียงรอคอยอยู่ในฝัน
ว่าสักวันเธอนั้นจะสนใจ
แอบหวังให้เราได้ผูกพัน

แต่ฝันก็ถึงตอนจบ
เมื่อได้พบความจริงว่าฝันของเธอไม่มีฉัน
เมื่อฉันเป็นแค่ลมผ่าน
ที่แสนเจือจาง ไม่มีค่าอะไรให้จำ

ต่อให้พยายามเท่าไรก็ได้เท่านี้
ได้แค่นี้ ใกล้เพียงตัวแต่ไกลหัวใจ
แต่ต่อให้วันเวลาผ่านเลยไปซักเพียงไหน
ก็จะไม่มีวันเปลี่ยนใจ และจะรักเธอตลอดไป

ต่อให้พยายามเท่าไรก็ได้เท่านี้
ได้แค่นี้ ใกล้เพียงตัวแต่ไกลหัวใจ
แต่ต่อให้วันเวลาผ่านเลยไปซักเพียงไหน
ก็จะไม่มีวันเปลี่ยนใจ และจะรักเธอตลอดไป
ก็จะไม่มีวันเปลี่ยนใจ
และจะรักเธอจนลมหายใจสุดท้าย",boy_peacemaker
เพียงในใจ,/music/thailyric/8427,"ฉันรู้ดีเสมอ ว่าคนที่คู่ควรเธอ
จะต้องดีเลิศเลอและคงไม่ใช่ฉัน
เราไม่ควรพบเจอกัน มันไม่มีหนทางใด
ที่จะมาทำลายความต่างกัน

อยากบอกว่ารัก ให้เธอได้ยินเพียงสักครั้ง
แต่กลับต้องฝืนให้เสียงนั้นดังในใจ
อยากบอกให้รู้ ว่ารักเธอทั้งหัวใจ
แต่ต้องเก็บไว้ อย่างนี้ตลอดมา

สุดท้าย ต้องรักเธอข้างเดียวอยู่เรื่อยไป
ให้ทำยังไงก็ไม่มีทางบอก เธอเลย
ทำได้เพียงอย่างที่เคยบอกรัก แค่เพียงในใจ
แม้ความจริงต้องช้ำสักเพียงไหน ฉันยอม

แม้รักเธอแค่ไหน จะแกล้งทำเป็น ไม่มีใจ
ไม่ให้เธอรู้ตัวว่ารักเธอ

อยากบอกว่ารัก ให้เธอได้ยินเพียงสักครั้ง
แต่กลับต้องฝืนให้เสียงนั้นดังในใจ
อยากบอกให้รู้ ว่ารักเธอทั้งหัวใจ
แต่ต้องเก็บไว้อย่างนี้ตลอดมา

สุดท้ายต้องรักเธอข้างเดียวอยู่เรื่อยไป
ให้ทำยังไงก็ไม่มีทางบอก เธอเลย
ทำได้เพียง อย่างที่เคยบอกรัก แค่เพียงในใจ
แม้ความจริงต้องช้ำสักเพียงไหน ฉันยอม

สุดท้าย ต้องรักเธอข้างเดียวอยู่เรื่อยไป
ให้ทำยังไงก็ไม่มีทางบอก เธอเลย
ทำได้เพียง อย่างที่เคยบอกรัก แค่เพียงในใจ
แม้ความจริงต้องช้ำสักเพียงไหน ฉันยอม",boy_peacemaker
การเปลี่ยนแปลง,/music/thailyric/2768,"ไม่เอาอีกแล้ว ฉันพอทีกับความรัก
ทุ่มเทกี่ครั้ง ฉันก็ยังต้องผิดหวัง
กี่ทีกี่ครั้งที่เสียน้ำตา
เจ็บจนอ่อนล้าฉันซ้ำเกินไป

วิ่งตามแค่ไหนก็ได้เพียงเงา
กับความเหงาใจ แค่เท่านั้น
ได้เจอกับเธอ ก็เริ่มเข้าใจในความรัก
คนที่บอบซ้ำ ได้มาเจอกับความหวัง

จากสิ่งที่คิดว่ามันว่างเปล่า
ที่เราไขว่คว้าไม่เคยมีจริง
เธอนำความรักแท้จริงเข้ามาผูกพันในหัวใจ
และวันนี้ฉันเปลี่ยนไป

ตั้งแต่เมื่อฉันรู้จัก และฉันได้มาพบเธอ
มันทำให้ฉันต้องเปลี่ยน
เปลี่ยนแปลงหัวใจฉันไป
ได้เรียนรู้สิ่งใหม่ ที่ฉันไม่เคยพบเจอ

เพราะสำหรับฉันแต่ก่อน
ความรักคือการคว้ามา
แต่ในวันนี้ฉันเปลี่ยนความรักคือการให้ไป
เพิ่งจะรู้และเข้าใจ เมื่อฉันได้มารักเธอ

ตั้งแต่เมื่อฉันรู้จัก และฉันได้มาพบเธอ
มันทำให้ฉันต้องเปลี่ยน
เปลี่ยนแปลงหัวใจฉันไป
ได้เรียนรู้สิ่งใหม่ ที่ฉันไม่เคยพบเจอ

เพราะสำหรับฉันแต่ก่อน
ความรักคือการคว้ามา
แต่ในวันนี้ฉันเปลี่ยนความรักคือการให้ไป
เพิ่งจะรู้และเข้าใจ เมื่อฉันได้มารักเธอ

ตั้งแต่เมื่อฉันรู้จัก และฉันได้มาพบเธอ
มันทำให้ฉันต้องเปลี่ยน
เปลี่ยนแปลงหัวใจฉันไป
ได้เรียนรู้สิ่งใหม่ ที่ฉันไม่เคยพบเจอ

เพราะสำหรับฉันแต่ก่อน
ความรักคือการคว้ามา
แต่ในวันนี้ฉันเปลี่ยนความรักคือการให้ไป
เพิ่งจะรู้และเข้าใจ เมื่อฉันได้มารักเธอ

เพิ่งจะรู้และเข้าใจ เมื่อฉันได้มารักเธอ",boy_peacemaker
ความเคยชิน,/music/thailyric/2769,"รู้ฉันก็รู้ มันจบแล้ว แต่ว่ายังฝืนทำใจลืมเธอไม่ลง
เกลียดความอ่อนไหว ที่มันคงยังรบกวนความจำ
ให้ทุกเรื่องยังคงมีเธอเรื่อยมา

ภาพความเคยชินวันเหล่านั้น
มองไปทางไหนฉันก็เจอแต่น้ำตา
อยากที่จะหนีความเป็นจริง
ให้พ้นความทรงจำ ให้ชีวิตฉันเดินต่อไปซักที

แต่จะหยุดมันยังไง บอกให้ใจมันลืมเธอ
สั่งสมองให้คอยควบคุมใจ
แต่จะสั่งการยังไง ก็ฉุดใจไว้ไม่ไหว
เมื่อสมองและหัวใจไม่ยอมเดินไปด้วยกัน

และฉันต้องทำอย่างไร
เมื่อความคุ้นเคยที่เราเคยมี
ยังทำร้ายฉันจนวันนี้ อีกนานไหม
กว่าใจฉันจะเคยชิน กับการไม่มีเธอ

ถึงแม้ฉันฝืนใจแค่ไหน
มันก็ไม่ช่วยให้อะไรดีขึ้นเลย
เบื่อที่ต้องเห็นภาพเดิมเดิม
พอแล้วความทรงจำ โปรดอย่าทำให้ฉันเจ็บกว่านี้เลย

แต่จะหยุดมันยังไง บอกให้ใจมันลืมเธอ
สั่งสมองให้คอยควบคุมใจ
แต่จะสั่งการยังไง ก็ฉุดใจไว้ไม่ไหว
เมื่อสมองและหัวใจไม่ยอมเดินไปด้วยกัน

และฉันต้องทำอย่างไร
เมื่อความคุ้นเคยที่เราเคยมี
ยังทำร้ายฉันจนวันนี้ อีกนานไหม
กว่าใจฉันจะเคยชิน กับการไม่มีเธอ

และฉันต้องทำอย่างไร
เมื่อความคุ้นเคยที่เราเคยมี
ยังทำร้ายฉันจนวันนี้ อีกนานไหม
กว่าใจฉันจะเคยชิน กับการไม่มีเธอ

อีกนานไหมกว่าใจฉันจะเคยชิน กับการไม่มีเธอ",boy_peacemaker
ความอ่อนแอ,/music/thailyric/2770,"อย่าบอกอะไรฉันเลย อย่าเอ่ยความจริงให้รู้เลย
เก็บคำร่ำลาที่มีไว้ก่อน
ถ้าหากเธอจะทิ้งกัน อย่าบอกความจริงให้ฉันฟัง
ช่วยทำว่ายังรักกัน ให้เหมือนที่แล้วมา

ช่วยรอเวลา ให้ใจเเข็งแรงกว่านี้หน่อย
แล้วค่อยๆ ปล่อย ให้มันตายช้าช้า
จะขอได้ไหม ขอความเห็นใจคนที่ไร้ค่า
เก็บช่วงเวลา ที่ได้มีเธออย่างนี้

ความอ่อนแอที่มีวันนี้มันทำให้ฉันกลัว
ขอแค่เพียงเวลาปรับตัวให้ได้เตรียมหัวใจ
กับความเหงาเดียวดาย ต้องอยู่อย่างอ้างว้าง
เมื่อพร้อมจะยอมให้เธอเดินจากไป
ไม่ขออะไรอีกเลย

อย่าเปลี่ยนเป็นคนละคน อย่าเปลี่ยนไปจนฉันรู้ตัว
อย่าทำร้ายคนขี้กลัว ได้โปรดเห็นใจ
ไม่ต้องทำดีมากมาย ไม่ต้องทำดีกว่าที่เคย
แค่ทำเหมือนเรารักกัน แค่นั้นก็พอใจ

แค่รอเวลา ให้ใจเเข็งแรงกว่านี้หน่อย
แล้วค่อยๆ ปล่อย ให้มันตายช้าช้า
ได้ไหม ขอความเห็นใจคนที่ไร้ค่า
เก็บช่วงเวลา ที่ได้มีเธออย่างนี้

ความอ่อนแอที่มีวันนี้มันทำให้ฉันกลัว
ขอแค่เพียงเวลาปรับตัวให้ได้เตรียมหัวใจ
กับความเหงาเดียวดาย ต้องอยู่อย่างอ้างว้าง
เมื่อพร้อมจะยอมให้เธอเดินจากไป
ไม่ขออะไรอีกเลย

ความอ่อนแอที่มีวันนี้มันทำให้ฉันกลัว
ขอแค่เพียงเวลาปรับตัวให้ได้เตรียมหัวใจ
กับความเหงาเดียวดาย ต้องอยู่อย่างอ้างว้าง
เมื่อพร้อมจะยอมให้เธอเดินจากไป
ไม่ขออะไรอีกเลย

เมื่อพร้อมจะยอมให้เธอเดินจากไป
ไม่ขออะไรอีกเลย",boy_peacemaker
ใจฉันเป็นของเธอ,/music/thailyric/2771,"ฉันไม่รู้ว่าเป็นเพราะใคร โชคชะตาเป็นใจ
หรืออะไรทำให้เธอลาจาก คนที่รักกันมากมาย
ต้องพรากกันไปไกล ฉันก็คนจะทนอย่างไรไหว

ฉันไม่รู้จะทำอย่างไร เหมือนใจมันจะขาด
ชีวิตมันดูอ้างว้าง วังเวงไปทุกอย่าง
เหมือนคนที่เดียวดาย จมอยู่กับความหลัง
อยากให้รู้ฉันเสียใจ และปวดร้าวมากเพียงไหน

ใจของฉันมันเป็นของเธอ ไม่ว่านานเท่าไร
และมันจะเป็นของเธอตลอดไป
ใจของฉันมันเป็นของเธอ คนเดียวทั้งใจ
จะรอเธอ รักเธอจนตายใจเอย

ฉันไม่รู้ว่าเหตุผลใด ฟ้าข้างบนจงใจ
หรือว่าใครทำให้เราไกลกัน มันโหดร้ายจนเกินไป
ฉันไม่เคยเตรียมใจ ที่จะเสียเธอไปอย่างวันนี้

ฉันไม่รู้จะทำอย่างไร เหมือนใจมันจะขาด
ชีวิตมันดูอ้างว้าง วังเวงไปทุกอย่าง
เหมือนคนที่เดียวดาย จมอยู่กับความหลัง
อยากให้รู้ฉันเสียใจ และปวดร้าวมากเพียงไหน

ใจของฉันมันเป็นของเธอ ไม่ว่านานเท่าไร
และมันจะเป็นของเธอตลอดไป
ใจของฉันมันเป็นของเธอ คนเดียวทั้งใจ
จะรอเธอ รักเธอจนตายใจเอย

ใจของฉันมันเป็นของเธอ ไม่ว่านานเท่าไร
และมันจะเป็นของเธอตลอดไป
ใจของฉันมันเป็นของเธอ คนเดียวทั้งใจ
จะรอเธอ รักเธอจนตายใจเอย",boy_peacemaker
เนื้อคู่,/music/thailyric/2772,"เนื้อคู่ ฉันยังไม่เกิดสักที
และดูเหมือนยังไม่มีวี่แววจะพบเจอ
ไม่รู้ว่านานเท่าไหร่
กว่าฉันนั้นจะได้เจอะเจอกับเธอ คนที่ฉันรอ

เฝ้ารอทุกคืนทุกวัน มาหลายปี
ถามใครที่มีวิธีเผื่อเราจะพบใคร
สักคนที่เป็นเหมือนเรา ที่เหงาหัวใจไม่ต่างกับฉัน
แต่มันจะมีสักคนไหม

ก็ได้แต่ฝันไป ไม่กลายเป็นจริงสักที
ก็ได้แต่รอทั้งปี และฉันต้องเหงาอย่างนี้ถึงเมื่อไร

อยากมีคนรัก คนมีรักมันเป็นแบบไหน
คนอย่างฉันมันยังไม่เคยเข้าใจ
บอกก็คงไม่รู้ ดีแค่ไหนก็คงไม่รู้
คงต้องหาสักคนมาเป็นเนื้อคู่

อยากมีคนรัก คนคนนั้นเขาอยู่ที่ไหน
คนอย่างฉันต้องรออีกนานเท่าไหร่
กว่าจะเจอ คนที่ฝัน
คนที่มาเติมให้ใจของฉันมันเต็มสักที

ถึงคราวเมื่อลมหนาวมา กลับร้อนใจ
เห็นใครเขาเดินคู่กันยิ่งทำให้ร้อนรน
กี่หนาวที่ฉันต้องทน
กี่ฝนที่ฉันต้องผิดหวัง กับการรอใครจะมารัก

ก็ได้แต่ฝันไป ไม่กลายเป็นจริงสักที
ก็ได้แต่รอทั้งปี และฉันต้องเหงาอย่างนี้ถึงเมื่อไร

อยากมีคนรัก คนมีรักมันเป็นแบบไหน
คนอย่างฉันมันยังไม่เคยเข้าใจ
บอกก็คงไม่รู้ ดีแค่ไหนก็คงไม่รู้
คงต้องหาสักคนมาเป็นเนื้อคู่

อยากมีคนรัก คนคนนั้นเขาอยู่ที่ไหน
คนอย่างฉันต้องรออีกนานเท่าไหร่
กว่าจะเจอ คนที่ฝัน
คนที่มาเติมให้ใจของฉันมันเต็มสักที

ก็ได้แต่ฝันไป ไม่กลายเป็นจริงสักที
ก็ได้แต่รอทั้งปี และฉันต้องเหงาอย่างนี้ถึงเมื่อไร

อยากมีคนรัก คนมีรักมันเป็นแบบไหน
คนอย่างฉันมันยังไม่เคยเข้าใจ
บอกก็คงไม่รู้ ดีแค่ไหนก็คงไม่รู้
คงต้องหาสักคนมาเป็นเนื้อคู่

อยากมีคนรัก คนคนนั้นเขาอยู่ที่ไหน
คนอย่างฉันต้องรออีกนานเท่าไหร่
กว่าจะเจอ คนที่ฝัน
คนที่มาเติมให้ใจของฉันมันเต็มสักที",boy_peacemaker
