song_name,href,lyric,artist
คนโง่ในกระจก,/music/thailyric/2760,"ถ้าวันนั้นได้รู้ เธอสำคัญมากแค่ไหน
ถ้าเธอไม่จากไป ถ้าไม่ได้ไปกับเขา
ถ้าฉันคนนี้ ยังเหลือใครใคร
ตื่นขึ้นมาไม่เห็นความว่างเปล่า
ฉันคนนี้ก็คงไม่ได้รู้ รู้ถึงความปวดใจ

ถ้าวันนั้นได้รู้ ถนอมเธอมากกว่าใคร
ถ้าฉันไม่จากไป ตัวเขาคงไม่เข้ามา
ถ้ารู้อย่างนี้ จะไม่มีวัน
ปล่อยให้เธอไปโดยไม่ไขว่คว้า
รู้ก็สาย เมื่อไม่เหลือเธอนั้นอีกแล้ว

จากนี้ทุกครั้งฉันเห็นตัวเอง เงาในกระจกสะท้อนมา
ฉันก็เห็นเพียงคนโง่คนหนึ่ง ที่ควรต้องเจ็บอย่างนี้
ในแววตาคนในกระจก คอยซ้ำเติมใจทุกที
เจ็บสักทีก็ดี ก็สมที่ไม่เหลือใคร

ถ้าได้รู้สักนิด ถ้าคิดได้เร็วกว่านี้
ต้องไม่มีวันนี้ ที่เห็นเธอเดินจากไป
ได้รู้วันนี้จะได้อะไร จะเอาเธอคืนมาได้จากไหน
เมื่อได้รู้ เมื่อวันนี้ได้รู้ก็สาย

จากนี้ทุกครั้งฉันเห็นตัวเอง เงาในกระจกสะท้อนมา
ฉันก็เห็นเพียงคนโง่คนหนึ่ง ที่ควรต้องเจ็บอย่างนี้
ในแววตาคนในกระจก คอยซ้ำเติมใจทุกที
เจ็บสักทีก็ดี ก็สมที่ไม่เหลือใคร

ฉันทิ้งทุกทุกโอกาส ที่จะได้อยู่ข้างเธอ
ฉันทิ้งวันคืนที่ดี จะไปหาได้จากไหน
เพิ่งรู้ว่าผิด เพิ่งรู้ว่าเจ็บ ยิ่งกว่าเสียใจ
คิดเสียดาย มันก็ยังสายไป

จากนี้ทุกครั้งฉันเห็นตัวเอง เงาในกระจกสะท้อนมา
ฉันก็เห็นเพียงคนโง่คนหนึ่ง ที่ควรต้องเจ็บอย่างนี้
ในแววตาคนในกระจก คอยซ้ำเติมใจทุกที
เจ็บสักทีก็ดี ก็สมที่ไม่เหลือใคร",boy_pisanu
ประกาศรัก,/music/thailyric/2763,"จะประกาศรักวันนี้ ให้รู้กันให้ก้องฟ้า
บอกลาความเหงาในหัวใจ
ให้รอยยิ้ม ความรักถักทอออกเป็นดอกไม้
ด้วยความจริงใจให้กับเธอ

ต่อจากวันนี้ เรานั้นจะร่วมกันสร้างความฝัน
ผูกพันกันไว้ด้วยหัวใจ
จะมีกันและกัน กับวันที่มีความหมาย
จับมือกันไป ด้วยกันตลอดทาง

วันเวลาได้พาให้เราเจอะเจอกัน
และได้ทำให้ความสัมพันธ์
แต่งเติมต่อกันจนมันงดงาม
ฝากความฝันที่มีอยู่ให้เป็นรู้
ให้เป็นรักช่วยกันติดตาม
ทุกๆ วันมีข้อความว่าเราจะรักกันตลอดไป

จะประกาศรักวันนี้ ให้รู้กันให้ก้องฟ้า
บอกลาความเหงาในหัวใจ
ให้รอยยิ้ม ความรักถักทอออกเป็นดอกไม้
ด้วยความจริงใจให้กับเธอ

ต่อจากวันนี้ เรานั้นจะร่วมกันสร้างความฝัน
ผูกพันกันไว้ด้วยหัวใจ
จะมีกันและกัน กับวันที่มีความหมาย
จับมือกันไป ด้วยกันตลอดทาง

วันเวลา ก็พาให้เราต้องเจอกัน
มีบางครั้ง ที่ใจสองใจ
ต่างคนก็เดินกันไปสองทาง
จากกันไปก็เลยเศร้า ต่างก็เหงา
ก็คิดถึงไม่เคยจืดจาง
ขอมีเธอเดินร่วมทางให้มีวันดีๆ ตลอดไป

จะประกาศรักวันนี้ ให้รู้กันให้ก้องฟ้า
บอกลาความเหงาในหัวใจ
ให้รอยยิ้ม ความรักถักทอออกเป็นดอกไม้
ด้วยความจริงใจให้กับเธอ

ต่อจากวันนี้ เรานั้นจะร่วมกันสร้างความฝัน
ผูกพันกันไว้ด้วยหัวใจ
จะมีกันและกัน กับวันที่มีความหมาย
จับมือกันไป ด้วยกันตลอดทาง

แค่มีใจสองใจเดินร่วมทาง มาเติมความรักที่หายไป
จะมีกันและกัน กับวันที่มืความหมาย
จับมือกันไปด้วยกันตลอดทาง ด้วยกันตลอดทาง

หัวใจของเรา

จะมีกันและกัน กับวันที่มืความหมาย
จับมือกันไปด้วยกันตลอดทาง",boy_pisanu
จักรวาลแห่งรัก,/music/thailyric/2762,"รัก...อยู่ในใจ ฮืม...ไม่ เคยจะหวั่นไหว
ต่อให้โลกนี้สลายไปก่อน
ฉัน...ยังอยู่ตรงนี้ ฮืม...จะกี่หมื่นปี
แม้ว่าอาทิตย์จะลับ และดับไป

อู้ว์...รักเธอไม่เคยเปลี่ยน
มันเนิ่นนานนักคนดี
ขอ...ให้เวลาทุกๆนาที
ที่เดินอยู่อย่างนี้ มีแค่สองเรา

รักเธอซะจนดวงอาทิตย์ยังมองมา
เหมือนโลกที่ยังควงคู่กับจันทรา
ให้มัน สะเทือนไปถึงดวงดารา
ว่าเรารักกัน...รักกัน เกิดมาทั้งทีมันคงจะมีชีวิตเดียว
อยู่บนจักรวาลเรา คงจะตัวนิดเดียว
จะไปทำอะไรให้มันยิ่งใหญ่ กว่านี้ไม่มีแล้ว

ก็แค่ได้รักเธอ ก็ยิ่งใหญ่ บนจักรวาล แห่งรัก.....
โฮ...โวะ...โอ...นา...นา รัก...อยู่ในใจ
ฮืม...ไม่เคยจะหวั่นไหว ต่อให้โลก นี้สลายไปก่อน
ฉัน...ยังอยู่ตรงนี้ ฮืม...จะกี่หมื่นปี
แม้ว่าอาทิตย์จะลับและดับไป

อู้ว์...รักเธอไม่ เคยเปลี่ยน
เข้ามาลึกๆถึงข้างในเข้ามายืนใกล้ๆ
มาอยู่ในอ้อมกอด จดจำค่ำคืนนี้ที่สำคัญ
เป็นของกัน และกัน โฮ...โฮ...โว

ปล่อยให้หัวใจเธอล่องลอยในอวกาศ
ฉันคนนี้แหละจะเป็นเหมือน บอดี้การ์ด
ไม่มีสิ่งใดที่จะทำร้ายเธอได้ ขอให้เธอมั่นใจ
ก็แค่เธอมั่นใจ แสงของดวงดาวนั้นจะคอย นำทาง
ให้เราเดินก้าวไปไม่มีอะไรมาขัดขวาง
ให้เรามองเห็นหนทางสว่าง บนจักรวาลแห่งรัก

ก็ แค่ได้รักเธอ ก็ยิ่งใหญ่ บนจักรวาลแห่งรัก.....
โฮ...โวะ...โอ...นา...นา
รัก...อยู่ในใจ ฮืม...ไม่เคยจะหวั่นไหว
ต่อให้โลกนี้สลายไปก่อน
ฉัน...ยังอยู่ตรงนี้ ฮืม...จะกี่หมื่นปี แ
ม้ว่า อาทิตย์จะลับและดับไป

อู้ว์...รักเธอไม่เคยเปลี่ยน
รัก...อยู่ในใจ ฮืม...ไม่เคยจะหวั่นไหว
ต่อ ให้โลกนี้สลายไปก่อน
ฉัน...ยังอยู่ตรงนี้ ฮืม...จะกี่หมื่นปี
แม้ว่าอาทิตย์จะลับและดับไป
อู้ว์...รัก เธอไม่เคยเปลี่ยน",boy_pisanu
อยากบอกเธอเหลือเกิน,/music/thailyric/2766,"วันนั้นฉันไม่เคยได้ถาม ว่าใจฉันมันคิดกับเธอเช่นไร
เธอเองก็ยังมองข้ามฉันไป แล้วเหตุใดจึงอยากเจอทุกวัน

ฉันเลยถามหัวใจฉันดู ก็เลยรู้ที่มันตอบกลับมา

ว่าใจ มันเรียกเธอที่รัก มันไม่หยุดรักเธอ
เวลาขาดเธอ เหงาใจจนทนไม่ไหว
ก็ใจ มันรักเธอกว่าใคร มันต้องเหนื่อยแทบตาย
ที่ต้องเก็บรักให้อยู่ลึกๆ ทั้งที่อยากบอกเหลือเกิน

วันนี้คงจะยังไม่สาย ที่จะใช้เวลาบอกเธอทุกคำ
ฉันหวังจะเปลี่ยนแปลงเรื่องทุกอย่าง นับจากนี้ฉันจะทำเพื่อเธอ

เพราะฉันถามว่าใจรักใคร ก็ได้รู้ที่มันตอบกลับมา

ว่าใจ มันเรียกเธอที่รัก มันไม่หยุดรักเธอ
เวลาขาดเธอ เหงาใจจนทนไม่ไหว
ก็ใจ มันรักเธอกว่าใคร มันต้องเหนื่อยแทบตาย
ที่ต้องเก็บรักให้อยู่ลึกๆ ทั้งที่อยากบอกเหลือเกิน

เพราะฉันถามว่าใจรักใคร ก็ได้รู้ที่มันตอบกลับมา

ว่าใจ มันเรียกเธอที่รัก มันไม่หยุดรักเธอ
เวลาขาดเธอ เหงาใจจนทนไม่ไหว
ก็ใจ มันรักเธอกว่าใคร มันต้องเหนื่อยแทบตาย
ที่ต้องเก็บรักให้อยู่ลึกๆ ทั้งที่อยากบอกเหลือเกิน

ทั้งที่อยากบอกเหลือเกิน
ทั้งที่อยากบอกเหลือเกิน
ทั้งที่อยากบอกเหลือเกิน",boy_pisanu
คิดมากไปใช่ไหม,/music/thailyric/2761,"ฉันไม่ชอบที่เธอไปยืน ใกล้ๆกับใครไม่รู้
ฉันไม่ชอบที่เธอไปคุย กับเขาอย่างคนสำคัญ
ฉันไม่ชอบที่เธอไปมอง จ้องตากับเขานานๆ
ก็ไม่รู้อะไรบอกฉัน บอกว่ามันไม่ไว้ใจ

ก็ไม่ชอบทำตัวระแวง ที่คอยจับผิดใครๆ
ก็ไม่ชอบทำตัวสงสัย ว่ามีอะไรชอบกล
ก็ไม่ชอบทำตัวเป็นคน ที่เธอจะต้องระอา
แต่พอมองแล้วก็เจ็บใจ แต่ยิ่งมองก็ยิ่งปวดใจ

ไม่ใช่คนขี้หึง แต่มันนึกแล้วใจร้อนผ่าว
คิดมากเรื่องเธอกับเขา ว่าต้องมีอะไร
ก็ไม่อยากให้เป็นจริง ที่เธอจะคิดนอกใจ
ฉันคิดมากไปใช่ไหม
ให้เธอตอบได้ไหม (ว่าฉันคิดไปเอง)

ขอให้เขาเป็นเพื่อนคนหนึ่ง ที่เธอไม่เจอกันนาน
ขอให้เขากำลังเดินทาง แค่แวะผ่านมาก็ไป
ขอให้เขาไม่มีอะไร ที่ฉันจะต้องแคลงใจ
ก็เป็นแค่เพียงคนอื่นไกล แค่เท่านั้น ใช่หรือเปล่า
ช่วยบอกฉันหน่อย

ไม่ใช่คนขี้หึง แต่มันนึกแล้วใจร้อนผ่าว
คิดมากเรื่องเธอกับเขา ว่าต้องมีอะไร
ก็ไม่อยากให้เป็นจริง ที่เธอจะคิดนอกใจ
ฉันคิดมากไปใช่ไหม
ให้เธอตอบได้ไหม (ว่าฉันคิดไปเอง)

ไม่ใช่คนขี้หึง แต่มันนึกแล้วใจร้อนผ่าว
คิดมากเรื่องเธอกับเขา ว่าต้องมีอะไร
ก็ไม่อยากให้เป็นจริง ที่เธอจะคิดนอกใจ
ฉันคิดมากไปใช่ไหม
ให้เธอตอบได้ไหม (ว่าฉันคิดไปเอง)",boy_pisanu
สิ่งที่เธอไม่รู้,/music/thailyric/2765,"ยิ้มให้เธอ ทักทายใกล้ชิด
ทำสนิทสนม เหมือนวันเก่าๆ
ถามทุกข์สุข เรื่องเธอกับเขา
ทนแสดงว่าฉัน ไม่เป็นอะไร

มันเหมือนหน้าฉาก สวมหน้ากากเอาไว้
เธอคงไม่สนใจเบื้องหลัง

สิ่งที่เธอไม่รู้ คือฉันร้องไห้เกือบตาย
มันเหมือนทั้งโลกสลาย
ทุกๆ คืนยังหลับทั้งน้ำตา
สิ่งที่เธอไม่เห็น คือฉันละเมอเรียกหา
สองมือยังเอื้อมคว้า ร้องหาเธอ

เหมือนไม่เจ็บ เหมือนลืมหมดแล้ว
แต่ความเป็นจริง เบื้องหลังยังสะเทือนใจ

มันเหมือนหน้าฉาก สวมหน้ากากเอาไว้
เธอคงไม่สนใจเบื้องหลัง

สิ่งที่เธอไม่รู้ คือฉันร้องไห้เกือบตาย
มันเหมือนทั้งโลกสลาย
ทุกๆ คืนยังหลับทั้งน้ำตา
สิ่งที่เธอไม่เห็น คือฉันละเมอเรียกหา
สองมือยังเอื้อมคว้า ร้องหาเธอ

แค่เธอ เธอ ต้องเจ็บ ต้องทนต้องทุกข์ใจ

สิ่งที่เธอไม่รู้ คือฉันร้องไห้เกือบตาย
มันเหมือนทั้งโลกสลาย
ทุกๆ คืนยังหลับทั้งน้ำตา
สิ่งที่เธอไม่เห็น คือฉันละเมอเรียกหา
สองมือยังเอื้อมคว้า ร้องหาเธอ",boy_pisanu
ออกมาเต้น,/music/thailyric/2767,"อีกหน่อยก็ฟุบ มัวแต่คิดหนัก กี่คนจะทนไหว
ทำงานไม่พัก เลยเวียนหัวบ่อย ทำยังไงทำยังไงจะหาย

มันเดือดมันร้อน นอนไม่ค่อยหลับ ปล่อยไปอาจจะเจ๊ง
ประสาทมันทึบ มันไม่ค่อยสั่ง ทำยังไงทำยังไงจะหาย

ออกมาเต้น ออกมาเต้น เด็ดขาดลีลาไปเลย
ออกมาเต้น ออกมาเต้น เต้นหน่อยค่อยคิดกัน

เอะอะก็ตู้ม ไม่นานก็โลกแตก จะอยู่กันแบบไหน
เบื่อๆชีวิต ใครมาช่วยหน่อย ทำยังไงทำยังไงจะหาย

ออกมาเต้น ออกมาเต้น เด็ดขาดลีลาไปเลย
ออกมาเต้น ออกมาเต้น เต้นหน่อยค่อยคิดกัน

กลัวทำไมใครเค้าจะโห่ ก็จำทำนองเอาไว้
จูงมือกันมาเต้นกันหน่อย ก็ปล่อยสไตล์สวยๆ

ออกมาเต้น ออกมาเต้น เด็ดขาดลีลาไปเลย
ออกมาเต้น ออกมาเต้น เต้นหน่อยค่อยคิดกัน",boy_pisanu
เกิดเป็นรักได้ยังไง (Why I Love),/music/thailyric/8848,"บอกกับตัวเอง เมื่อได้เจอเธอ
อย่าไปคิดฝันอะไร เมื่อเธอและฉัน
ต่างมีทางเดินห่างกันแสนไกล

แม้จะคอยย้ำเตือนกับหัวใจ
อย่าๆ ไปคิดไกล แม้ระวังแล้ว
ใจกลับเผลอไป มีเธอไม่รู้ตัว

เกิดขึ้นมาเมื่อไร เกิดเป็นรักได้ไง
บอกตรงๆ ไม่รู้ รู้แค่รักเธอ
เกิดขึ้นมาได้ไง ผูกพันกันเมื่อไร
บอกจริงๆ ไม่รู้ รู้แต่หัวใจ หัวใจมีแต่เธอ

เมื่อมันรักแล้วก็ให้รู้ไว้
ว่าไม่คิดที่จะเปลี่ยนจะเกิดอะไร
ก็จะเต็มใจที่จะรับมัน
เกิดขึ้นมาเมื่อไร เกิดเป็นรักได้ไง
บอกตรงๆ ไม่รู้ รู้แค่รักเธอ
เกิดขึ้นมาได้ไง ผูกพันกันเมื่อไร
บอกจริงๆ ไม่รู้ รู้แต่หัวใจ หัวใจมีแต่เธอ

เกิดขึ้นมาเมื่อไร เกิดเป็นรักได้ไง
บอกตรงๆ ไม่รู้ รู้แค่รักเธอ
เกิดขึ้นมาได้ไง ผูกพันกันเมื่อไร
บอกจริงๆ ไม่รู้ รู้แต่หัวใจ หัวใจมีแต่เธอ

เปลี่ยนแปลงไปเมื่อไร ก็ไม่เข้าใจเหมือนกัน
บอกตามตรงไม่รู้ รู้แต่หัวใจ
หัวใจมีแต่เธอ หัวใจมีแต่เธอ",boy_pisanu
เจอกันที่ความรัก,/music/thailyric/13047,"เคยเข้าใจบ้างไหมเธอ
คนอย่างฉันนั้นไม่มีอะไร
อยู่ตัวคนเดียว เหงาก็ทนไป
จนมีเธอมาจ้องตา

เป็นคู่ปรับคนสำคัญ
เป็นคนที่หัวใจฉันห่วงหา
ไม่เคยมีใคร ได้เดินเข้ามา
ในใจนี้เหมือนมีเธอ

แต่วันนี้ที่ฉันต้องลาจาก
ฉันไม่อยากให้เธอผิดหวัง
หนทางไป ไม่รู้เมื่อไหร่จะเจออีกครั้ง
เลิกกันได้ไหม

อยากบอกว่ายังรักเธอ หมดใจที่มี
ดีงามเหลือเกินที่หัวใจ
ไม่อยากให้เธอต้องรอ ในวันต้องไกล
กลัวเธอเสียใจถ้าไม่เห็นกัน
รักคนที่ดีกว่าฉัน เพราะรักเธอมาก
ก็ไม่อยากให้เธอผิดหวัง

อยากบอกว่ายังรักเธอ หมดใจที่มี
ดีงามเหลือเกินที่หัวใจ
ไม่อยากให้เธอต้องรอ ในวันต้องไกล
กลัวเธอเสียใจถ้าไม่เห็นกัน
รักคนที่ดีกว่าฉัน เพราะรักเธอมาก
ก็ไม่อยากให้เธอผิดหวัง

คิดถึงเมื่อไหร่ ไปเจอกันที่ความรัก",boy_pisanu
พูดลอยลอย,/music/thailyric/10404,"พูดลอยลอย ให้ลมให้ฟ้าได้ฟัง
ว่าฉันยัง คิดถึงเธอมากแค่ไหน
ผ่านช่วงเวลาเนิ่นนาน
แต่ฉันไม่เคยมีใครใหม่
และไม่คิดดึงเธอกลับมา

รู้ว่าเธอ ก็ไปกับเขาได้ดี
ก็บางที ก็มีบางครั้งอิจฉา
ฝากฟ้ายินดีกับเธอ
ที่พบบางคนที่ดีกว่า
โชคชะตา คือสิ่งที่ฉันไม่มี

ฝากบอกว่าฉันอยู่ไหว
บอกให้ฉันหน่อยได้ไหม
แค่ไม่มีใคร ถึงไหน ยังอยู่ได้ดี

ฝากบอกว่าฉันอยู่ไหว
จะมีฝันร้าย แค่บางที
นอกนั้นดี นอกนั้นดีหมดเลย

พูดลอยลอย ผ่านลมและฟ้าอีกครั้ง
ให้เธอฟัง เผื่อเธอคนนั้นอยากรู้
ฝากฟ้าและลมบอกเธอ
ว่าฉันไม่เคยรอเธออยู่
รู้แค่เพียง ว่ายังคิดถึงเธอ

ฝากบอกว่าฉันอยู่ไหว
บอกให้ฉันหน่อยได้ไหม
แค่ไม่มีใคร ถึงไหน ยังอยู่ได้ดี

ฝากบอกว่าฉันอยู่ไหว
จะมีฝันร้าย แค่บางที
นอกนั้นดี นอกนั้นดีหมดเลย

พูดลอยลอยผ่านลมและฟ้าอีกครั้ง
ให้เธอฟัง เผื่อเธอคนนั้นอยากรู้
ฝากฟ้าและลมบอกเธอ
ว่าฉันไม่เคยรอเธออยู่
รู้แค่เพียง ว่ายังคิดถึงเธอ

ฝากฟ้าและลมบอกเธอ
ว่าฉันไม่เคยรอเธออยู่
รู้แค่เพียง ว่ายังคิดถึงเธอ",boy_pisanu
