song_name,href,lyric,artist
ของหวาน,/music/thailyric/2628,"หอม....ติดใจ....ผู้คน...ต้องการ
หวาน...ฉ่ำลิ้น...ได้ยิน....ทำตาม

ไม่ได้เปิด Franchise
แต่ทำขายกันเกร่อ ใครจะอดใจไหว
ของเขาน่ากิน โดนจนลิ้นยังติดใจ

ก็คนมันซื้อบ่อยไป ทำขายกันจนเกร่อ
เขาลูกค้ามากมาย กำไรก็คุ้มเยอะ
แม้ไม่รู้ทำไง ทำตามเขาไปเถอะ
ก็ของเขา มันขายดี เอาอีกเอาเหอะ
(ก็ของเขา มันเข้าที เอาอีกเอาเหอะ)

ของ....ทำตาม...มากไป...เลี่ยนเกิน
หา....ตัวเอง....ไม่เจอ....ไม่เกิด

ไม่ได้เปิด Franchise
ดันจะขายกันเกร่อ อดใจไม่ไหว
ทำตามแล้วพัง ยังไม่ยั้งไม่เบรก....ไว้

ก็คนมันซื้อบ่อยไป ทำขายกันจนเกร่อ
เขาลูกค้ามากมาย กำไรก็คุ้มเยอะ
แม้ไม่รู้ทำไง ทำตามเขาไปเถอะ
ก็ของเขา มันขายดี เอาอีกเอาเหอะ
(ก็ของเขา มันเข้าที เอาอีกเอาเหอะ)

ก็คนมันซื้อบ่อยไป ทำขายกันจนเกร่อ
เขาลูกค้ามากมาย กำไรก็คุ้มเยอะ
แม้ไม่รู้ทำไง ทำตามเขาไปเถอะ
ก็ของเขา มันขายดี เอาอีกเอาเหอะ
(ก็ของเขา มันเข้าที เอาอีกเอาเหอะ)

ก็คนมันซื้อบ่อยไป ทำขายกันจนเกร่อ
เขาลูกค้ามากมาย กำไรก็คุ้มเยอะ
แม้ไม่รู้ทำไง ทำตามเขาไปเถอะ
ก็ของเขา มันขายดี เอาอีกเอาเหอะ
(ก็ของเขา มันเข้าที เอาอีกเอาเหอะ)

เรามาถูกทางแล้ว",boyd_kosiyabong
คิดมากไป,/music/thailyric/2629,"ก็คิดว่าเธอมีใจ ไม่คิดว่าเธอมีใคร
ก็เธอมาทำดีให้ เลยเข้าใจผิด
ก็คิดว่าเธอตัวเปล่า เลยฝันจนเป็นเรื่องราว
ที่แท้เธอก็มีเขา อยากจะบ้าตาย...

ยิ่งคิดใจยิ่งสั่น ในหัวมันยุ่งวุ่นวาย
ไม่รักเธอรีบไป อย่าสนใจตัวฉันเลย...

อย่าเห็นฉันเป็นคนเซ่อ อย่าทำให้ฉันรักเธอ
สุดท้ายต้องมานั่งเหม่อ ต้องมาเสียใจ

กลายเป็นฉันเองคิดมากไป...
เธอแคร์บ้างไหม อยากรู้จริง...

ยิ่งคิดใจยิ่งสั่น ในหัวมันยุ่งวุ่นวาย
ไม่รักเธอรีบไป อย่าสนใจตัวฉันเลย...

อย่าเห็นฉันเป็นคนเซ่อ อย่าทำให้ฉันรักเธอ
สุดท้ายต้องมานั่งเหม่อ ต้องมาเสียใจ

ต้องมาเสียใจ... ก็คิดมากไป....โอว..",boyd_kosiyabong
ฉัน,/music/thailyric/2630,"ฉัน...เคยเป็นคนที่มันไม่มีอะไร
ฉัน...เคยเป็นคนที่ไม่มีความหมาย
ฉัน...เคยมี มีความท้อแท้ในใจ
ฉัน...เคยเป็นคนที่ไร้สิ้นจุดหมาย....

ในวันนั้น...เคยมีหวังแต่มันก็หายไป
ในวันนั้น...มองไม่เห็นโลกที่สดใส
ในวันนั้น...ผิดหวัง ชีวิตแทบพังทลาย
ในวันนั้น...ไม่อยากพบไม่อยากเจอหน้าใคร

ลองคิดไปทำไมฉันจึงเจ็บช้ำ
เพราะใครที่ทำให้เป็นอย่างนั้น
หรือเพราะฉันเองนั้นกลัว...มากไป
เธอก็ไม่มีใคร...เข้าใจ

ลองคิดไปทำไมฉันจึงเจ็บช้ำ
เพราะใครที่ทำให้เป็นอย่างนั้น
หรือเพราะฉันเองนั้นกลัว...มากไป
เธอก็ไม่มีใคร...เข้าใจ

ในวันนี้...ชีวิตฉันยังต้องก้าวไป
ในวันนี้...ยังมองหาโลกที่สดใส
ในวันนี้...อยากหาเพียงคนที่เข้าใจ
ในวันนี้...จะมี จะมี จะมีไหม...",boyd_kosiyabong
ผู้คุมวิญญาณ,/music/thailyric/2631,"มันมีชีวิตซ่อนเร้น แค่เห็นอย่านึกว่าดี
มันผลาญชีวิตและความคิดใครต่อใครมากมาย
เพื่อให้ตัวเองอยู่ดี
มันทำให้คนเลิกเถอะ มันทำให้คนอดอยาก
มันกินสมอง งับครอบฟัน
ใช้ความหวัง ครอบงำ ซะจนคุณเหมือนเป็นทาส

ไม่แคร์ชีวิตใคร ว้า ฮูว
เป็นตายช่างหัวมัน ว้า..ฮูว
ถ้าเดินมาหลงทาง สิ่งที่ฝันวอดวาย

มันเอาตาย...มันเอาตาย
มันเอาตาย...น่ากลัว

ดูไปก็คล้ายมนุษย์ มันคือผู้คุมวิญญาณ
ถ้ารักชีวิต รักจะคิด
รักจะฝัน ระวังอย่าไปเผลอสบตา

ไม่แคร์ชีวิตใคร ว้า ฮูว
เป็นตายช่างหัวมัน ว้า..ฮูว
ถ้าเดินมาหลงทาง สิ่งที่ฝันวอดวาย

มันเอาตาย...มันเอาตาย
มันเอาตาย...น่าเกลียด

มันเอาตาย...มันเอาตาย
มันเอาตาย...มันเอาตาย
มันเอาตาย...มันเอาตาย
น่าเกลียด",boyd_kosiyabong
ไม่เข็ด,/music/thailyric/2632,"เคยลองเสี่ยงมาทุกที เรื่องดวงฉันคงหมดหวังกัน
เดือนปีผ่านไปเนิ่นนาน ไม่มีโชคกับเขาสักที

หวังรวยก็คงไม่ไหว โต๊ดเต็งเผื่อไว้สูญเปล่า
เขารวยแต่เราเฉาทุกที...

มันก็คงจะเหมือนกัน เรื่องรักฉันมักจะช้ำใน
ดีแต่เฉียดทุกงวดไป แต่สุดท้ายก็แห้วทั้งปี

แล้ววันหนึ่งบุญหล่นทับ
เหมือนได้เจอทรัพย์ก้อนใหญ่
เธอมาเขย่าใจ จะทำอะไรยังไงกันดีหนอ

อยากจะรักก็กลัวเสียใจ
แต่ไม่รักก็คงเสียดาย
อยากจะรู้เธอเป็นยังไง
ต้องลองทุ่มไป หัวใจไม่เข็ดสักที

มันก็คงจะเหมือนกัน เรื่องรักฉันมักจะช้ำใน
ดีแต่เฉียดทุกงวดไป แต่สุดท้ายก็แห้วทั้งปี

แล้ววันหนึ่งบุญหล่นทับ
เหมือนได้เจอทรัพย์ก้อนใหญ่
เธอมาเขย่าใจ จะทำอะไรยังไงกันดีหนอ

อยากจะรักก็กลัวเสียใจ
แต่ไม่รักก็คงเสียดาย
อยากจะรู้เธอเป็นยังไง
ต้องลองทุ่มไป เพราะใจไม่เข็ด

อยากจะรักก็กลัวเสียใจ
แต่ไม่รักก็คงเสียดาย
อยากจะรู้เธอเป็นยังไง
ต้องลองทุ่มไป ก็ใจไม่เข็ด

อยากจะรักก็กลัวเสียใจ
แต่ไม่รักก็คงเสียดาย
อยากจะรู้เธอเป็นยังไง
ต้องลองทุ่มไป หัวใจไม่เข็ด...เลยสักที

โว้ .....โฮว...",boyd_kosiyabong
เย้! ร็อกแอนด์โรลล์ (Yeah! Rock n Roll),/music/thailyric/2633,"เซ็งจริงๆ ชีวิตทุกวัน มันมีแต่นั่งช้ำใจ
ดวงมันทำชีวิตวุ่นวาย ก็เลยทุ่มไปต่างๆ
เคยมีงานวันนี้เสียงาน จนพาลให้ต้องเสียแฟน
ซึมกระทือ นอนบื้อหลายวัน ชีวิตนี้มันหมดเก่ง

อยากปล่อยมันไปซักวัน
จะลืมเหตุการณ์ร้อยพัน
เบื่อ....อยากมันส์ซักวัน
ระบายเอาความเจ็บใจไปกับบทเพลง...

ปล่อยตัวเองให้มันส์
กับเสียงเพลงกลางแสงไฟ ในค่ำคืน
เหวี่ยงให้ปึ๋ง ให้ลืมความทุกข์ทิ้งไปสักวัน
ขอมันส์ ไปกับ Rock n roll

เซ็งจริงๆ ชีวิตทุกวัน มันมีแต่นั่งช้ำใจ
ดวงมันทำชีวิตวุ่นวาย ก็เลยทุ่มไปต่างๆ
เคยมีงานวันนี้เสียงาน จนพาลให้ต้องเสียแฟน
ซึมกระทือ นอนบื้อหลายวัน ชีวิตนี้มันหมดเก่ง

อยากปล่อยมันไปซักวัน
จะลืมเหตุการณ์ร้อยพัน
เบื่อ....อยากมันส์ซักวัน
ระบายเอาความเจ็บใจไปกับบทเพลง...

ปล่อยตัวเองให้มันส์
กับเสียงเพลงกลางแสงไฟ ในค่ำคืน
เหวี่ยงให้ปึ๋ง ให้ลืมความทุกข์ทิ้งไปสักวัน
ขอมันส์ ไปกับ Rock n roll

Yeah! Rock n roll....
Yeah! Rock n roll... yeah ...yeah

Yeah! Rock n roll....
Yeah! Rock n roll... yeah ...yeah

Yeah! Rock n roll....
Yeah! Rock n roll... yeah ...yeah

Yeah! Rock n roll....
Yeah! Rock n roll... yeah ...yeah",boyd_kosiyabong
รักเธอไม่สุด,/music/thailyric/2634,"ชะ ดี๊ ดา ดั๊ด ด๊า ด้า ดาว ชะ ดี๊ ดา ดั๊ด ด๊า ด้า ดาว
ด๊า ดัด ดา ดี่ ดั๊ด ด๊า ดาว ดา ดี่ ดั๊ด ด๊า ดาว

อยู่กันมานาน...ใช่ไหม หัวใจก็เลยสับสน
จึงอยากค้น...ว่ารัก...เธอเท่าไร
เธออยากได้ยิน..คำนั้น รักกันไม่เคยเปลี่ยนไป
อยากให้ย้ำ...รักเธอที่สุด

สิ่งนั้นที่เธอขอมา ฉันคงทำให้เธอไม่ไหว
จะพูดยังไง ก็รักมันมีมากกว่า
ร่วมทางมาจนวันนี้...ในใจที่มีมันล้นเกินกว่า
คำว่าสุด ไม่สุด (เท่าใจที่ฉันมี )(ไม่พอ...)

บอกเลยใจฉันคนนี้ นั้นมีให้เธอมากมาย
นานเท่าไร ก็ยัง...ไม่สุด

ชะ ดี๊ ดา ดั๊ด ด๊า ด้า ดาว ชะ ดี๊ ดา ดั๊ด ด๊า ด้า ดาว
ด๊า ดัด ดา ดี่ ดั๊ด ด๊า ดาว ดา ดี่ ดั๊ด ด๊า ดาว

สิ่งนั้นที่เธอขอมา ฉันคงทำให้เธอไม่ไหว
จะพูดยังไง ก็รักมันมีมากกว่า
ร่วมทางมาจนวันนี้...ในใจที่มีมันล้นเกินกว่า
คำว่าสุด ไม่สุด (เท่าใจที่ฉันมี )(ไม่พอ...)

บอกเลยใจฉันคนนี้ นั้นมีให้เธอมากมาย
นานเท่าไร ก็ยัง...ไม่สุด

บอกอีกครั้ง...รักเธอ...ไม่สุด...
ตราบชีวิต...ฉันยัง...ไม่สุด...
จะรักแต่เธอ...",boyd_kosiyabong
เลิร์นทูฟลาย (Learn To Fly),/music/thailyric/2635,"ฟ้ามัวไม่สว่าง มองทางช่างมืดมน
มีใครไหมสักคน ต้องทุกข์ทนอย่างฉัน
ไร้คนให้พึ่งพิง โบยบินแค่ลำพัง
ในใจฉันยังสั่น เมื่อกางปีกเหินไป

ไปที่ใด อู้ว...อูว.. ไปที่ใด โอ้ว....โฮ้ว...
ไปที่ใด อู้ว...อูว.. ไม่เห็นทาง ว่างเปล่า...

ไม่นานฟ้าสว่าง ปลายทางไม่มืดมน
ในชีวิตของคน ล้วนต้องเจอขวากหนาม
แม้ใจยังเต้นอยู่ ลองดูสักหนทาง
ยังมีแสงสว่าง ฟ้ายังส่องให้เรา...

ไปต่อไป อู้ว....อูว...ไปต่อไป โอ้ว....โฮ้ว...
ไปต่อไป อู้ว....อูว... คงสักวัน..พบทาง...",boyd_kosiyabong
หากขาดเธอ,/music/thailyric/2636,"ถ้าหากคืนนี้ หมู่ดาวที่เคยส่องแสง นั้นหายไป
ใครเลยจะรู้ ว่าฟากฟ้าจะงดงามสักเท่าไหร่ หากไร้ซึ่งดาว
ค่ำคืนคงดูเหน็บหนาว เปลี่ยวเหงาในหัวใจ
เมื่อมองฟ้ากว้างใหญ่ ไม่เห็นอะไรอยู่เลย

จะต่างอะไรกับฉัน เมื่อเธอห่างไกล ไม่ย้อนมา
ดวงดาวบนฟ้า...ก็คงร่วงลงหมดแสง... อ่อนแรงล้มไป
ทุกคืนฉันยืนเหน็บหนาว ปวดร้าวในหัวใจ
มีชีวิตอยู่เพียงกาย ยามไม่มีเธอ

เพราะเธอนั้นคือทุกสิ่งที่ฉันมี เธอทำชีวิตให้สดใส

อยากจะขอให้เธอกลับมาเติมเต็มชีวิตเดียวดาย
อยู่กับฟ้ามืดมัว ใจฉันมันกลัวกลายเป็นผงทราย
ก่อนดาวจะร่วงลง ก่อนคนจะสิ้นใจอยู่ตรงนี้

เพราะเธอนั้นคือทุกสิ่งที่ฉันมี เธอทำชีวิตให้สดใส

อยากจะขอให้เธอกลับมาเติมเต็มชีวิตเดียวดาย
อยู่กับฟ้ามืดมัว ใจฉันมันกลัวกลายเป็นผงทราย
ก่อนดาวจะร่วงลง ก่อนคนจะสิ้นใจอยู่ตรงนี้

อยากจะขอให้เธอกลับมาเติมเต็มชีวิตเดียวดาย
อยู่กับฟ้ามืดมัว ใจฉันมันกลัวกลายเป็นผงทราย
ก่อนดาวจะร่วงลง ก่อนคนจะสิ้นใจอยู่ตรงนี้

หากขาดเธอ",boyd_kosiyabong
หากว่าเธอยังรักฉัน,/music/thailyric/2637,"หากว่าเธอยังรักฉัน วันนี้คงยังยิ้มได้
หากว่าเธอยังรักฉัน ชีวิตคงมีความหมาย
หากว่าเรายังรักกัน สิ่งที่ฝันก็คงไม่สูญไป
เสียใจ คงไม่เสียใจ เลยสักวัน

หากว่าเธอยังรักฉัน วันนี้คงไม่ว่างเปล่า
หากว่าเธอยังรักฉัน ชีวิตคงไม่ปวดร้าว
หากว่าเรายังรักกัน สิ่งที่ฝันคงยังมีเรื่องราว
ทุกวัน คงไม่ทุกข์ใจเรื่องเธอ...

จบไปนาน ฉันรู้ดี ในวันนี้
ฉันควรจะลืมมันไป
แต่...มันทำไม่ง่ายดาย
ฉันต้องทนอย่างนี้นานเท่าไร (ไม่รู้เลย)

หากว่าเธอยังรักฉัน วันนี้คงดีทุกอย่าง
หากว่าเธอยังรักฉัน ชีวิตคงไม่อ้างว้าง
หากว่าเรายังรักกัน วันนี้ฉันคงไม่มีน้ำตา
ทุกวัน คงไม่ช้ำใจเพราะเธอ....

จบไปนาน ฉันรู้ดี ในวันนี้
ฉันควรจะลืมมันไป
แต่...มันทำไม่ง่ายดาย
ฉันต้องทนอย่างนี้นานเท่าไร (ไม่รู้เลย)

จบไปนาน...รู้ตัวดี ในวันนี้
ฉันควรจะลืมมันไป
แต่...มันทำไม่ง่ายดาย
หรือต้องทนอย่างนี้ตลอดไป โว้ว....โอว

จบไปนาน ฉันรู้ดี ในวันนี้
ฉันควรจะลืมเธอไป
แต่...มันทำไม่ง่ายดาย
ถ้าเธอยังอยู่ฉันคงสุขใจ ไปแสนนาน",boyd_kosiyabong
