song_name,href,lyric,artist
คนที่ไม่เข้าตา,/music/thailyric/699,"มองใครต่อใคร
ที่เดินจับมือเกี่ยวกัน
เห็นเค้าเหล่านั้น ก็นึกอิจฉาในใจ
ทำไมไม่เป็น ไม่มีอย่างเขา
คิดแล้วมันก็เศร้าใจ

มีเพียงความเหงา ให้เดินกอดคอเท่านั้น
ที่นั่งติดกันเวลาดูหนัง คือใคร
จะกิน จะเดิน จะนอน ก็เหงา
ไม่มีใครเคียงข้างกาย ไม่มีใครเลย

จะมีใคร ใครรัก คนหน้าตาอย่างฉัน
ที่มันธรรมดา ไม่เข้าตาเหมือนใครๆ
จะมีใคร ใครไหม ที่จะมองแต่หัวใจ
จะมีไหมใคร เข้าใจรักกัน

จะมีกี่คนที่เค้าจะมองอย่างนั้น
จะมีสักวันบ้างไหม ที่ฝันเป็นจริง
จะมีกี่คนที่เขาจะรับ
ที่ฉันเป็นได้ทุกสิ่ง

มีเพียงความเหงา ให้เดินกอดคอเท่านั้น
ที่นั่งติดกันเวลาดูหนัง คือใคร
จะกิน จะเดิน จะนอน ก็เหงา
ไม่มีใครเคียงข้างกาย ไม่มีใครเลย

จะมีใคร ใครรัก คนหน้าตาอย่างฉัน
ที่มันธรรมดา ไม่เข้าตาเหมือนใครๆ
จะมีใคร ใครไหม ที่จะมองแต่หัวใจ
จะมีไหมใคร เข้าใจรักกัน

มองเห็นความสำคัญ
จับมือกอดฉัน ด้วยความเต็มใจ
จะยอมให้ทุกทุกสิ่ง ที่ตัวฉันมี
จะไม่ทำให้เค้าผิดหวังเลยสักครั้ง

จะมีใคร ใครรัก คนหน้าตาอย่างฉัน
ที่มันธรรมดา ไม่เข้าตาเหมือนใครๆ
จะมีใคร ใครไหม ที่จะมองแต่หัวใจ
จะมีไหมใคร เข้าใจรักกัน

จะมีใคร ใครรัก คนหน้าตาอย่างฉัน
ที่มันธรรมดา ไม่เข้าตาเหมือนใครๆ
จะมีใคร ใครไหม ที่จะมองแต่หัวใจ
จะมีไหมใคร เข้าใจรักกัน",calories_blah_blah
ได้ไหม,/music/thailyric/700,"หากวันนี้เธอยังรับฟัง
สิ่งที่ฉันทำพลาดไป
เธออาจคิดว่ามันสายเกินไป
สายเกินใจ ยอมรับ

ไม่เคยรู้เรื่องที่ทำนั้นผิด
ไม่เคยคิดจนเมื่อเสียเธอไป
แค่เพียงคิด เธอคงให้อภัย
ความเลวร้ายในตัวฉัน

ได้ไหม ยอมอภัยซึ่งกัน
ให้ฉันเปลี่ยนตัวฉัน..เอง
ได้ไหม ยอมอภัยให้ฉัน
ฉันพร้อมจะทำให้เธอ..ได้เข้าใจ

ไม่เคยรู้เรื่องที่ทำนั้นผิด
ไม่เคยคิดจนเมื่อเสียเธอไป
แค่เพียงคิด เธอคงให้อภัย
ความเลวร้ายในตัวฉัน

ได้ไหม ยอมอภัยซึ่งกัน
ให้ฉันเปลี่ยนตัวฉัน..เอง
ได้ไหม ยอมอภัยให้ฉัน
ฉันพร้อมจะทำให้เธอ..ได้เข้าใจ

ได้ไหม ยอมอภัยซึ่งกัน
ให้ฉันเปลี่ยนตัวฉัน..เอง
ได้ไหม ยอมอภัยให้ฉัน
ฉันพร้อมจะทำให้เธอ..

ได้ไหม ยอมอภัยซึ่งกัน
ให้ฉันเปลี่ยนตัวฉัน..เอง
ได้ไหม ให้อภัยกับฉัน
ไม่มีแล้วคำร่ำลา
ในวันนี้ฉันรักเธอมากกว่า
ที่จะยอมให้เธอจากไป",calories_blah_blah
ถ้าความรักมีตัวตน,/music/thailyric/701,"ถ้าความรักมีตัวตน ช่วยทำให้ฉันพบใครบางคน
ให้ฉันพบ กับความรัก..ซักที
ช่วยทำให้เธอคนนั้น
มองเห็นหัวใจของฉันสักครั้ง
ให้เราได้ผูกพัน ให้เราได้รักกัน...

แล้วฉันจะมอบรักแท้ และจะไม่เปลี่ยนหัวใจ
ทุกความสุขจากใจ ฉันให้เธอ
ทุกสิ่งที่ฉันคิดฝัน ทุกสิ่งที่ฉันพร่ำเพ้อ
ขอแลกด้วยรักจากเธอ.. เท่านั้น

จะทำให้เธอคนนั้น
มองเห็นหัวใจของฉันสักครั้ง
ให้เราได้ผูกพัน ให้เราได้รักกัน

แล้วฉันจะมอบรักแท้ และจะไม่เปลี่ยนหัวใจ
ทุกความสุขจากใจ ฉันให้เธอ
ทุกสิ่งที่ฉันคิดฝัน ทุกสิ่งที่ฉันพร่ำเพ้อ
ขอแลกด้วยรักจากเธอ.. เท่านั้น

แล้วฉันจะมอบรักแท้ และจะไม่เปลี่ยนหัวใจ
ทุกความสุขจากใจ ฉันให้เธอ
ทุกสิ่งที่ฉันคิดฝัน ทุกสิ่งที่ฉันพร่ำเพ้อ
ขอแลกด้วยรักจากเธอ..

แล้วฉันจะมอบรักแท้.....
ทุกสิ่งที่ฉันคิดฝัน ทุกสิ่งที่ฉันพร่ำเพ้อ
ขอแลกด้วยรักจากเธอ.... เท่านั้น...",calories_blah_blah
ถามตะวัน,/music/thailyric/702,"ที่ตรงนี้ช่างเหน็บหนาว
เมื่อเจอเรื่องราวที่ต้องสูญเสียบางอย่าง
ที่เคยมีแต่มันหาย
ทำให้ชีวิตไร้ซึ่งความหมาย โว้ว....
สายลมแห่งกาลเวลา ที่เคยพัดใครต่อใคร
มันบังเอิญพัดเธอพรากจาก ฉันไป

อยากจะถามเหลือเกิน ดวงตะวันสีทองเจ้าเอย
เจ้าเคยคิดถึงจันทร์บ้างไหม เมื่อยามที่คนรักนั้นต้องไกลห่าง
พอจะมีวิธีแบบไหน ที่ทำให้ใจไม่ต้องทนทรมาน
เมื่อยามที่ความคิดถึง มันคอยกัดกินหัวใจ

เฝ้ารอคอยด้วยความหวัง ว่าสักวันสายลมแห่งกาลเวลา
มันจะพัดเธอกลับมา ทำให้ชีวิตฉันคืนความหมาย โว้ว...
แม้ว่าจะนานเท่าไหร่ ด้วยรักที่ไม่เสื่อมคลาย
เธอที่หายนั้นคงคืนกลับ มาเหมือนเดิม

อยากจะถามเหลือเกิน ดวงตะวันสีทองเจ้าเอย
เจ้าเคยคิดถึงจันทร์บ้างไหม เมื่อยามที่คนรักนั้นต้องไกลห่าง
พอจะมีวิธีแบบไหน ที่ทำให้ใจไม่ต้องทนทรมาน
เมื่อยามที่ความคิดถึง มันคอยกัดกินหัวใจ

อยากจะถามเหลือเกิน ดวงตะวันสีทองเจ้าเอย
เจ้าเคยคิดถึงจันทร์บ้างไหม เมื่อยามที่คนรักนั้นต้องไกลห่าง
พอจะมีวิธีแบบไหน ที่ทำให้ใจไม่ต้องทนทรมาน
เมื่อยามที่ความคิดถึง มันคอยกัดกินหัวใจ

อยากจะถามเหลือเกิน ดวงตะวันสีทองเจ้าเอย
เจ้าเคยคิดถึงจันทร์บ้างไหม เมื่อยามที่คนรักนั้นต้องไกลห่าง
พอจะมีวิธีแบบไหน ที่ทำให้ใจไม่ต้องทนทรมาน
เมื่อยามที่ความคิดถึง มันคอยกัดกินหัวใจ

เมื่อยามที่ความคิดถึง มันคอยกัดกินหัวใจ",calories_blah_blah
ปลดปล่อย,/music/thailyric/703,"แล้วฉันก็พบเธอ แสงดาวที่ฉันตามหามานาน
แล้วฉันก็ได้เจอ ดวงดาวที่รับฟังเรื่องราวจากฉัน
ทุกๆ สิ่งใด รอบกายเหมือนไร้ซึ่งความสำคัญ
จากตรงนี้มีแค่ดาวกับฉัน เท่านั้นพอ

รู้สึกเหมือนได้เจอ แสงดาวที่ฝันเมื่อฉันหลับตา
ล่องลอยเข้ามา ดาวดวงนี้คือเธอใช่ไหม
เข้ามาข้างกาย สิ่งร้ายๆ ก็หายไปพลัน
จากตรงนี้แค่มีดาวกับฉัน เท่านั้นพอ

ปลดปล่อยให้ฉันรู้สึกผ่อนคลาย
ปล่อยใจฉันไปอยู่ข้างดวงดาว
ไออุ่นล้อมใจเลี้ยงกายกอดฉัน
ได้ไหม พาใจฉันไปอยู่กับดาว

( Rap )
เรื่องข้างนอกดูดีๆ มันก็มีตั้งเยอะ
เรื่องในใจก็ลองปล่อยไปบ้างเถอะ
คนดูดีทำไม่ดีก็มีเนอะ
คิดไปทำไม ในเมื่อเราก็ต้องเจอะ
ดาวที่มีเราก็มีอยู่ที่ใจ สุขที่แท้ก็คงอยู่ที่ข้างใน
ดูดีๆดาวยังมีแม้ Sunshine
โว้ โว โว โว่ โว้ Allright

ปลดปล่อยให้ฉันรู้สึกผ่อนคลาย
ปล่อยใจฉันไปอยู่ข้างดวงดาว
ไออุ่นล้อมใจเลี้ยงกายกอดฉัน
ได้ไหม พาใจฉันไปอยู่กับดาว

ปลดปล่อยให้ฉันรู้สึกผ่อนคลาย
ปล่อยใจฉันไปอยู่ข้างดวงดาว
ไออุ่นล้อมใจเลี้ยงกายกอดฉัน
ได้ไหม พาใจฉันไปอยู่กับดาว

ปลดปล่อยให้ฉันรู้สึกผ่อนคลาย
ปล่อยใจฉันไปอยู่ข้างดวงดาว
ไออุ่นล้อมใจเลี้ยงกายกอดฉัน
ได้ไหม พาใจฉันไปอยู่กับดาว",calories_blah_blah
ยัวร์ สเป็ก (Your Spec),/music/thailyric/706,"เธอกำลังมองหาใคร ไอ้ตัวของฉันมันไม่มีหรอก
เธอกำลังหาทางออก ในสิ่งที่ฉันนั้นยังไม่กล้าตอบ

อาจจะไม่มี อาจจะหาได้มากกว่านี้
แต่สิ่งที่ฉันรู้ดี ไอ้ฉันตอนนี้
มันไม่มี ไม่มี ไม่มี ให้เธอหรอก

your spec เธอคงไม่เจออยู่กับฉัน
your spec ฉันคงไม่ดีอย่างคนนั้น
อย่างที่ฝัน... ไม่ใช่ฉันหรอก

เธอกำลังมองหาใคร ไอ้ตัวของฉันมันไม่มีหรอก
เธอกำลังหาทางออก ในสิ่งที่ฉันนั้นยังไม่กล้าตอบ

อาจจะไม่มี อาจจะหาได้มากกว่านี้
แต่สิ่งที่ฉันรู้ดี ไอ้ฉันตอนนี้
มันไม่มี ไม่มี ไม่มี ให้เธอหรอก

your spec เธอคงไม่เจออยู่กับฉัน
your spec ฉันคงไม่ดีอย่างคนนั้น
อย่างที่ฝัน... ไม่ใช่ฉันหรอก

your spec เธอคงไม่เจออยู่กับฉัน
your spec ฉันคงไม่ดีอย่างคนนั้น
อย่างที่ฝัน... ไม่ใช่ฉันหรอก

( Rap )
เธอน่ะอยากให้ฉัน เหมือนเจ้าชายในฝัน
ขี่ม้าขาวพาเธอเที่ยว ที่ปลายฟ้าด้วยกัน
แต่มันไม่ง่ายอย่างนั้น คือฉันไม่ใช่อย่างนั้น
อยากจะได้อย่างโน้นอย่างนี้ ทำไมจะต้องบังคับกัน
แต่ละวันเธออยู่ด้วยกัน เธออยากให้ตัวฉันเป็นใคร
ถ้าเธอไม่รักในตัวฉัน แล้วให้ตัวฉันทำยังไง
ให้หาใหม่ง่ายกว่าไหม ถ้าเธอไม่ได้ดั่งใจ
ถ้าเธอว่าฉันไม่ตรงสเป๊ก แต่ฉันก็รักเธอหมดใจ

your spec เธอคงไม่เจออยู่กับฉัน
your spec ฉันคงไม่ดีอย่างคนนั้น
อย่างที่ฝัน... ไม่ใช่ฉันหรอก

your spec เธอคงไม่เจออยู่กับฉัน
your spec ฉันคงไม่ดีอย่างคนนั้น
อย่างที่ฝัน... ไม่ใช่ฉันหรอก",calories_blah_blah
ยู โนว์ ไอ ดู (You Know I Do),/music/thailyric/707,"เธอคงไม่รู้ ว่าบางครั้งฉันก็เสียใจ
เธอคงไม่คิด ว่าฉันจะเป็นคนอ่อนไหว
เรื่องราวที่ฉันทำผิดเอาไว้ ฉันก็รับรู้และก็เสียใจ
แต่ก็ยังกลัวที่จะพูดออกไป

ก็อาจมีบางครั้ง ที่ฉันนั้นพลาดพลั้งไป
แต่ก็เป็นทุกครั้งที่เธอต้องเจ็บและเสียใจ
เรื่องราวที่ฉันทำผิดเอาไว้ เธอก็รับรู้และก็ให้อภัย
แต่ก็ยังรอให้ฉันบอกออกไป

you know i do i love you
อยากให้เธอรู้ว่าฉันก็..เสียใจ
you know i do i love you
ไม่อยากให้เธอจะต้องจาก..ไปไหน
you know i do i love you
เธอก็รู้ว่าฉันรักเธอ..ทั้งหัวใจ
you know i do i love you
รักเธอตลอดไป...

ก็อยากให้เธอรู้ ว่าทุกนาทีจากนี้ไป
ไม่มีอีกแล้วที่เธอต้องเจ็บและเสียใจ
เรื่องราวที่ได้ทำผิดเอาไว้ จะไม่มีแล้วไม่ให้เสียใจ
จะทำเพื่อคนดีคนนี้ตลอดไป

you know i do i love you
อยากให้เธอรู้ว่าฉันก็..เสียใจ
you know i do i love you
ไม่อยากให้เธอจะต้องจาก..ไปไหน
you know i do i love you
เธอก็รู้ว่าฉันรักเธอ..ทั้งหัวใจ
you know i do i love you
รักเธอตลอดไป...

you know i do i love you
(ฉันไม่รู้ว่าจะเชื่อเธอได้ไง)
you know i do i love you
ได้โปรดเชื่อใจ (ฉันไม่รู้ว่าจริงไม่จริงที่เธอพูดไป)
you know i do i love you
ขอเพียงแค่สักครั้งหนึ่ง
(ขอให้พูดแล้วทำได้จริงตามที่เธอให้ สัญญา)
you know i do i love you
ไม่มีแล้วไม่ทำแล้ว รักเธอตลอดไป",calories_blah_blah
วอนเธอ,/music/thailyric/710,"ชูวีดูวับ ชูวีดูวับ ฮืออ..

อีกครั้ง.. ใจมันลอยจากชั้นไป
พยายามข่มใจเท่าไหร่ ไม่ไหว
อีกแล้ว.. เหมือนเดิมจากครั้งที่ผ่าน
พยายามหยุดใจเอาไว้ เก็บไว้

รักเธอแต่กลัวช้ำใจ เหมือนที่เคยเจ็บมา
อยากถามเธอ ซักครั้ง ได้มั๊ย

ถ้าจะบอกรักไป ถ้าจะฝากหัวใจ
เธอจะยอมรึเปล่า
วอนให้เธอดูแลหัวใจ และจะไม่ปล่อยชั้นไว้
ให้เหงาเดียวดาย อย่างเคย..


เจ็บช้ำ.. จากรักเดิมที่เคยหายไป
วันและคืนปวดร้าวเท่าไหร่ ไม่ลืม
อยากรู้.. ว่าเธอจริงจังรึเปล่า
รักของเราจะเป็นอย่างไร อยากรู้

รักเธอแต่กลัวช้ำใจ เหมือนที่เคยเจ็บมา
อยากถามเธอ ซักครั้ง ได้มั๊ย

ถ้าจะบอกรักไป ถ้าจะฝากหัวใจ
เธอจะยอมรึเปล่า
วอนให้เธอดูแลหัวใจ และจะไม่ปล่อยชั้นไว้
ให้เหงาเดียวดาย อย่างเคย..

ถ้าจะบอกรักไป ถ้าจะฝากหัวใจ
เธอจะยอมรึเปล่า
วอนให้เธอดูแลหัวใจ และจะไม่ปล่อยชั้นไว้
ให้เหงาเดียวดาย อย่างเคย..

และจะไม่ปล่อยชั้นไว้
ให้เหงาเดียวดาย อย่างเคย

ชูวีดูวับ ชูวีดูวับ",calories_blah_blah
สายลมไม่เห็นใจ,/music/thailyric/711,"รักเธอ แต่ไม่รู้ต้องทำเช่นไร
ได้แต่ขอให้ลมช่วยพาพัดไป
ก็เห็นใคร ส่งความรักให้กันมากมาย
ไปกับสายลม ที่ผ่านมา

แต่ว่าสายลม ไม่เคยพัดอะไรสู่เธอ
ทิ้งให้ใจพร่ำเพ้อละเมอแต่เธอ..เท่านั้น
และก็สายลม ไม่เคยเห็นใจคนอย่างฉัน
พัดมาทำให้หนาวหัวใจ แค่นั้นจริงๆ

เพราะเธอ ไม่รับรู้อะไรบ้างเลย
ก็ยังเฉย เหมือนเดิมไม่เคยรู้ใจ
ฝากมันไปกับสายลม ก็ไม่รู้จะพึ่งอะไร
จงเห็นใจ ช่วยพัดไปหน่อยให้ถึงใจเธอ

แต่ว่าสายลม ไม่เคยพัดอะไรสู่เธอ
ทิ้งให้ใจพร่ำเพ้อละเมอแต่เธอ..เท่านั้น
และก็สายลม ไม่เคยเห็นใจคนอย่างฉัน
พัดมาทำให้หนาวหัวใจ แค่นั้นจริงๆ

สายลม..อย่ามองฉันเลยไป สร้างปาฏิหาริย์ให้ที
สายลม..ช่วยบอกเธอได้ไหม.. รักเธอเหลือเกิน

แต่ว่าสายลม ไม่เคยพัดอะไรสู่เธอ
ทิ้งให้ใจพร่ำเพ้อละเมอแต่เธอ..เท่านั้น
และก็สายลม ไม่เคยเห็นใจคนอย่างฉัน
พัดมาทำให้หนาวหัวใจ แค่นั้นจริงๆ",calories_blah_blah
เกลียดเธอไม่ลง,/music/thailyric/697,"จมกับความโหดร้าย ที่ทำลายให้ใจบอบช้ำ
เกลียดเธอจริงๆ ที่เป็นคนทำ
ให้ฉันไม่เหลืออะไร ไม่เหลือใครสักคน

เคยมีความเกลียดแค้น
อยากให้เธอต้องเจออย่างฉัน
แต่ทำยังไง ก็ไม่มีวันเกลียดเธอได้ลง
ต้องแพ้ให้เธอ ไม่รู้ทำไม

ให้เกลียดแค่ไหน ก็ยังต้องรัก
ไม่อาจหยุดรักห้ามใจตัวเองได้เลยสักที
ให้เกลียดแค่ไหน ก็เป็นเช่นนี้
เธอเติมความรักที่ดีลงมาในใจ
เปลี่ยนให้ฉันคนเดิมได้มีชีวิตใหม่
ทำให้ฉันเข้าใจ ความรักจริงๆ ที่แท้เป็นไง

เคยมองเธอว่าร้าย ไม่จริงใจกับใครสักครั้ง
จะทำยังไงก็ไม่มีทาง ที่จะทำดีกับเธอ
แต่ฉันมองผิดไป

เคยมีความเกลียดแค้น
อยากให้เธอต้องเจออย่างฉัน
แต่ทำยังไงก็ไม่มีวัน เกลียดเธอได้ลง
ต้องแพ้ให้เธอ ไม่รู้ทำไม

ให้เกลียดแค่ไหน ก็ยังต้องรัก
ไม่อาจหยุดรักห้ามใจตัวเองได้เลยสักที
ให้เกลียดแค่ไหน ก็เป็นเช่นนี้
เธอเติมความรักที่ดีลงมาในใจ
เปลี่ยนให้ฉันคนเดิมได้มีชีวิตใหม่
ทำให้ฉันเข้าใจ ความรักจริงๆ ที่แท้เป็นไง

ให้เกลียดแค่ไหน ก็ยังต้องรัก
ไม่อาจหยุดรักห้ามใจตัวเองได้เลยสักที
ให้เกลียดแค่ไหน ก็เป็นเช่นนี้
เธอเติมความรักที่ดีลงมาในใจ
เปลี่ยนให้ฉันคนเดิมได้มีชีวิตใหม่

จากคนหนึ่งที่เคยเหมือนตาย ให้วันนี้มีวันที่สวยงาม
ทำให้ฉันเข้าใจ ความรักจริงๆ ที่แท้เป็นไง",calories_blah_blah
