song_name,href,lyric,artist
ฉันคิด,/music/thailyric/11750,"ฉันรู้ว่าเธอกำลังกังวล เธอบอกทางสายตา
ฉันรู้ว่าเธอไม่กล้า ที่จะพูดจาเปิดหัวใจ
ฉันรู้ว่าเธอกำลัง อยากรู้ว่าฉันนั้นคิดอะไรอยู่

อาจเพราะเป็นเพียงเวลาไม่นานที่เราได้พบกัน
อาจเพราะว่ามีเพียงเธอคนเดียวที่ดูฉันสนใจ
อาจเพราะฉันไม่มองใคร
อาจเพราะฉันมองเพียงเธอคนเดียว

หากอยากถาม ว่าฉันนั้นคิดอะไรไหม
ก็จะขอ บอกเธอเลยว่าใช่ ฉันคิด

คิดว่าเธอ เป็นคนน่ารักดี
มีใครมาด้วยหรือเปล่า
ถ้าไม่มี ก็อยากจะชวนเธอ
พูดคุยกันยาวๆ

เพราะวันนี้บรรยากาศก็ดี๊ดี
มีเสียงเพลงและแสงดาว
ถ้าไม่รีบไป ก็อยู่คุยกันจนเช้า
จนดาวหมดฟ้า จนเธอง่วงนอน

เพราะฉันนั้นเคยได้เจอกับคนที่ตรงกับหัวใจ
แต่ฉันก็คิดเบาๆ และไม่ได้บอกกับเขาไป
อาจเหมือนจะลืมกันไป
แต่ลึกๆ ฉันนั้นมันยังคง เสียใจ

หากอยากถาม ว่าฉันนั้นคิดอะไรไหม
ก็จะขอ บอกเธอเลยว่าใช่ ฉันคิด

คิดว่าเธอ เป็นคนน่ารักดี
มีใครมาด้วยหรือเปล่า
ถ้าไม่มี ก็อยากจะชวนเธอ
พูดคุยกันยาวๆ

เพราะวันนี้บรรยากาศก็ดี๊ดี
มีเสียงเพลงและแสงดาว
ถ้าไม่รีบไป ก็อยู่คุยกันจนเช้า
จนดาวหมดฟ้า จนเธอง่วงนอน

รู้ไหมว่าเธอ เป็นคนน่ารักดี
มีใครมาด้วยหรือเปล่า
ถ้าไม่มี ก็อยากจะชวนเธอ
พูดคุยกันยาวๆ

เพราะวันนี้บรรยากาศก็ดี๊ดี
มีเสียงเพลงและแสงดาว
ถ้าไม่รีบไป ก็อยู่คุยกันจนเช้า
จนดาวหมดฟ้า จนเธอง่วงนอน

ให้ดวงดาวหมดฟ้า จะยอมให้นอน",chilling_Sunday
ดาวมองพระจันทร์,/music/thailyric/12072,"ดาวไกลๆ หนึ่งดวงนั้น คงไม่ต่างอะไรจากตัวฉัน
กี่คืนกี่วัน ก็ไม่พ้นตำแหน่งเดิม
อยู่ห่างจากเธอ ที่ใครๆ เขาก็ใฝ่ฝัน
เป็นดั่งพระจันทร์ที่เคลื่อนไหวตลอดคืน

เส้นทางที่พระจันทร์นั้นลอยผ่าน
มีดาวเป็นล้านได้ใกล้เธอ กับคนไกลอย่างฉัน
เธอจะรู้บ้างไหม ว่ามีฉันคนนี้อีกคนที่คิดถึงเธอ

เราคงเป็นเหมือนดาว จะมองทีไรก็ดูเศร้า
เป็นดาวขี้เหงาเฝ้ามองพระจันทร์
พยายามเท่าไร รอวนเวียนถึงวันใหม่
ค่ำคืนไหนก็ยังห่างไกลเหมือนเดิม

ดวงดาวอย่างฉัน คงส่องแสงได้เพียงเท่านี้
ไม่มีวันที่จันทร์ จะเหลียวมองกลับมา
ดั่งเธอกับฉัน ที่แตกต่างกันคนละฟากฟ้า
ไม่อยู่ในสายตา แค่คิดก็หมดหวัง

เส้นทางที่พระจันทร์นั้นลอยผ่าน
มีดาวเป็นล้านได้ใกล้เธอ กับคนไกลอย่างฉัน
เธอจะรู้บ้างไหม ว่ามีฉันคนนี้อีกคนที่คิดถึงเธอ

เราคงเป็นเหมือนดาว จะมองทีไรก็ดูเศร้า
เป็นดาวขี้เหงาเฝ้ามองพระจันทร์
พยายามเท่าไร รอวนเวียนถึงวันใหม่
ค่ำคืนไหนก็ยังห่างไกลเหมือนเดิม

เส้นทางที่พระจันทร์นั้นลอยผ่าน
มีดาวเป็นล้านได้ใกล้เธอ กับคนไกลอย่างฉัน
เธอจะรู้บ้างไหม ว่ามีฉันคนนี้อีกคนที่คิดถึงเธอ

เราคงเป็นเหมือนดาว จะมองทีไรก็ดูเศร้า
เป็นดาวขี้เหงาเฝ้ามองพระจันทร์
พยายามเท่าไร รอวนเวียนถึงวันใหม่
ค่ำคืนไหนก็ยังห่างไกลเหมือนเดิม

เราคงเป็นเหมือนดาว...
เป็นดาวขี้เหงาเฝ้ามองพระจันทร์
พยายามเท่าไร...
ค่ำคืนไหนก็ยังห่างไกลเหมือนเดิม",chilling_Sunday
เธอเคยบ้างไหม,/music/thailyric/12010,"คืนนี้ช่างสวยงาม ดวงดาวเต็มฟ้าคราม
เราสองคน อยู่ใต้แสงจันทร์
มีเพียงคำถามเดียว อยากจะถามเธอสักครั้ง
ว่ามีใจให้กัน บ้างไหม

อยากจะรู้ เธอนั้นคิดอะไรอยู่
แต่ที่รู้ คือฉันอยากจะถามเธอเสียที

เธอเคยบ้างไหม ที่จะรู้สึกดีกับใคร
จนเธอนั้นไม่อาจจะเก็บมันเอาไว้
อย่างเช่นความในใจ ของฉันในตอนนี้
อยากจะบอกเธอ อยากให้เธอรู้ทั้งหัวใจ สักที

ตั้งแต่ได้พบเธอ เธอเปลี่ยนโลกที่ฉันเจอ
ให้สวยกว่าเดิม เปิดมุมมองฉันเพิ่มเติม
เธอทำให้รู้ว่า ว่ารักฉันมีค่า
ฉันควรหยุดค้นหาเพราะเจอสิ่งนั้นในตัวเธอ

อยากจะรู้ เธอนั้นคิดอะไรอยู่
แต่ที่รู้ คือฉันอยากจะถามเธอเสียที

เธอเคยบ้างไหม ที่จะรู้สึกดีกับใคร
จนเธอนั้นไม่อาจจะเก็บมันเอาไว้
อย่างเช่นความในใจ ของฉันในตอนนี้
อยากจะบอกเธอ อยากให้เธอรู้ทั้งหัวใจ

เธอรู้ไหม ใจฉันสั่น กับการที่จะบอกเธอ น้า...
ตั้งแต่บัดนี้ไป เธอจะเป็นคนเดียวในหัวใจ

เธอเคยบ้างไหม ที่จะรู้สึกดีกับใคร
จนเธอนั้นไม่อาจจะเก็บมันเอาไว้
อย่างเช่นความในใจ ของฉันในตอนนี้
อยากจะบอกเธอ อยากให้เธอรู้ทั้งหัวใจ สักที

ฉันจะบอกเธอในคืนนี้ ฉันจะบอกเธอในตอนนี้
มีแต่เธอและฉันในคืนนี้
ฉันจะบอกเธอด้วยความรู้สึกนี้ ฉันจะบอกเธอด้วยหัวใจ
ว่าฉัน นั้นรักเธอ",chilling_Sunday
ล่ำบึ้ก,/music/thailyric/11139,"ล่ำบึ้กไปก็เท่านั้น ไม่เห็นเขาหล่อกว่าแฟนฉัน
ไม่เห็นจะสักเท่าไร
ไหนใครบอกคิ้วหนาหน้าตาก็ดี
รู้ไหมฉันแอบดูกี่ที ยังไงก็ยังไม่น่าสนใจ

ไว้จอนมีลักยิ้ม หน้าก็ดูติ๋มๆ
ไม่ต้องเลยมายิ้ม ยังไงก็ไม่สนใคร
หน้าตาแบบบ้านๆ หยุดเลยตรงนั้น
เพราะถ้าไม่หล่อกว่าแฟนฉัน
ระวังให้ดีเถอะจะต้องเสียใจ

ก็แฟนฉันรูปหล่อ (แฟนฉันรูปหล่อ)
และแฟนฉันรุ่นใหญ่ (แฟนฉันรุ่นใหญ่)
ไม่ทำเก็กไม่ทำตัวเด็กๆ
เรื่องเล็กไม่ทำเป็นเรื่องใหญ่ เหมือนหนุ่มๆ ทั่วไป
และแฟนฉันใจกว้าง (แฟนฉันใจกว้าง) ไม่เคยจะห่างไปไหน
แม้ว่าเขาจะดูแก่ เหมือนว่าเขาเป็นเพื่อนแม่
แต่ฉันไม่เคยสนใจ ก็แฟนฉันรูปหล่อ

ไว้จอนมีลักยิ้ม หน้าก็ดูติ๋มๆ
ไม่ต้องเลยมายิ้ม ยังไงก็ไม่สนใคร
หน้าตาแบบบ้านๆ หยุดเลยตรงนั้น
เพราะถ้าไม่หล่อกว่าแฟนฉัน
ระวังให้ดีเถอะจะต้องเสียใจ

ก็แฟนฉันรูปหล่อ (แฟนฉันรูปหล่อ)
และแฟนฉันรุ่นใหญ่ (แฟนฉันรุ่นใหญ่)
ไม่ทำเก็กไม่ทำตัวเด็กๆ
เรื่องเล็กไม่ทำเป็นเรื่องใหญ่ เหมือนหนุ่มๆ ทั่วไป
และแฟนฉันใจกว้าง (แฟนฉันใจกว้าง) ไม่เคยจะห่างไปไหน
แม้ว่าเขาจะดูแก่ เหมือนว่าเขาเป็นเพื่อนแม่
แต่ฉันไม่เคยสนใจ ก็แฟนฉันรูปหล่อ

นี่เธอรู้ไหมว่าไม่ว่าเธอจะหล่อแค่ไหน
ก็แค่อยากบอกให้เธอรู้ไว้ จะได้ไม่ต้องทำหน้าสงสัย
ไม่ต้องยักคิ้ว ไม่ต้องวีดวิ้ว ไม่ต้องทำเก๊กเพราะดูแล้วอิ้ว
ฉันไม่เปลี่ยนใจไปจากเขาหรอก

ก็แฟนฉันรูปหล่อ (แฟนฉันรูปหล่อ)
และแฟนฉันรุ่นใหญ่ (แฟนฉันรุ่นใหญ่)
ไม่ทำเก็กไม่ทำตัวเด็กๆ
เรื่องเล็กไม่ทำเป็นเรื่องใหญ่ เหมือนหนุ่มๆ ทั่วไป
และแฟนฉันใจกว้าง (แฟนฉันใจกว้าง) ไม่เคยจะห่างไปไหน
แม้ว่าเขาจะดูแก่ เหมือนว่าเขาเป็นเพื่อนแม่
แต่ฉันไม่เคยสนใจ (แต่ฉันไม่เคยสนใจ)
ฉันไม่เคยสนใจ ก็แฟนฉันรูปหล่อ",chilling_Sunday
อีกแล้ว,/music/thailyric/11182,"อยู่คนเดียวทุกครั้ง ต้องเปิดเพลงดังๆ เอาไว้คลายเหงา
รู้สึกมันช่างว่างเปล่า เหลือเรา อยู่กับตัวเองทุกที ทุกที

รู้สึกอย่างฉันไหม ว่าเราช่างเดียวดายในโลกไปนี้
รอบกายที่เห็นไม่มี สักคน
ยิ่งทำให้ฉันร้อนรน ร้อนใจ
เพราะอะไร บอกได้ไหมทำไมฉันเป็นอย่างนี้

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา
โลกที่ไม่มีเธอ นั้นมันช่างว่างเปล่า
เธอทำให้ฉันเข้าใจว่าความเหงา นั้นมันเป็นอย่างไร

รู้สึกอย่างฉันไหม ว่ามันช่างเดียวดายเมื่อเราห่างกัน
เมื่อไรจะถึงวัน ได้เจอ
เฝ้ารอให้ถึงวัน ได้พบเธอ
คิดเสมอ อยากให้เธอมาอยู่ด้วยกันตอนนี้

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว
อีกแล้ว แค่นี้ก็ทนไม่ไหวหรือเรา
โลกที่ไม่มีเธอ นั้นมันช่างว่างเปล่า
เธอทำให้ฉันเข้าใจว่าความเหงา
นั้นมันเป็นอย่างไร
นั้นมันเป็นอย่างไร

อีกแล้ว นี่ฉันต้องคิดถึงเธออีกแล้ว",chilling_Sunday
Status,/music/thailyric/15384,"สถานการณ์ลำบาก
ตัดขาดจากคนหนึ่งคนไม่ไหว
ที่สองเราคุยกันอยู่
ก็ไม่รู้เธอคุยคนเดียวใช่ไหม

ไม่มีสิทธิ์จะหวงไม่มีสิทธิ์ทวงความเป็นเจ้าของ
ไม่มีสิทธิ์ครอบครอง สักเสี้ยวหัวใจ
มันแค่เกิดคำถามขึ้นมา จากความหวั่นไหว
รู้ฐานะของฉันแค่คนคุย

แต่คุยแค่ไหนถึงจะได้คบกัน
หรือเป็นแค่ฉันที่จริงจัง จนกลายเป็นรักเธอ
ความรักครึ่งๆ กลางๆ ช่วยเลือกทางให้ฉันเถอะ
มันเจ็บในความค้างคา แต่ไร้ปัญญาจะตัดใจ

เธอคิดจริงจังหรือเปล่า
หรือฉันแค่เพียงตัวเลือกแก้เหงา
ความไม่ชัดเจนมันร้าว
มันเจ็บจนเหมือนจะตายรู้ไหม

ไม่มีสิทธิ์จะหวง ไม่มีสิทธิ์ทวงความเป็นเจ้าของ
ไม่มีสิทธิ์ครอบครองสักเสี้ยวหัวใจ
มันแค่เกิดคำถามขึ้นมาจากความหวั่นไหว
รู้ฐานะของฉันแค่คนคุย

แต่คุยแค่ไหนถึงจะได้คบกัน
หรือเป็นแค่ฉันที่จริงจังจนกลายเป็นรักเธอ
ความรักครึ่งๆ กลางๆ ช่วยเลือกทางให้ฉันเถอะ
มันเจ็บในความค้างคา แต่ไร้ปัญญาจะตัดใจ

แต่คุยแค่ไหนถึงจะได้คบ
หรือเป็นแค่ฉันที่จริงจังจนกลายเป็นรักเธอ
ความรักครึ่งๆ กลางๆ ช่วยเลือกทางให้ฉันเถอะ
มันเจ็บในความค้างคา
ให้คุยให้ตายก็ไม่ได้คบ
หรือเป็นแค่ฉันที่จริงจังคาดหวังจนแพ้เธอ
ความรักครึ่งๆ กลางๆ ช่วยเลือกทางให้ฉันเถอะ
มันเจ็บในความค้างคา
เพราะรักเข้าแล้ว จนหมดใจ",chilling_Sunday
คนเก่าเขาทำไว้ดี (Can't Win),/music/thailyric/19592,"ถามหน่อย ขอฉันถามหน่อย
เอาจริงๆ เธอลืมเขาได้หรือยัง

ที่ฉันถามเพราะว่าฉันนั้นก็รู้สึก
เหมือนว่าเธอยังไม่ Move on ไปจากเขา
มีทางไหมที่เธอนั้นจะลืมคนเก่า
เเล้วจะหันมามองที่ฉันสักที

อยากที่จะรู้ ว่าเขาทำไว้ดีมากเเค่ไหน
ฉันนั้นเลยเเทนเขาไม่ได้
ไม่ว่าจะพยายามสักเท่าไร
อยากที่จะรู้ ว่าเขาทำไว้ดีมากใช่ไหม
ฉันคงต้องยอมรับให้ได้
ไม่ว่าพยายามสักเเค่ไหน ก็เเทนเขาไม่ได้จริงๆ

ที่ฉันถามเพราะว่าฉันนั้นก็รู้สึก
เหมือนว่าเธอยังไม่ Move on ไปจากเขา
มีทางไหมที่เธอนั้นจะลืมคนเก่า
เเล้วจะหันมามองที่ฉันสักที

อยากที่จะรู้ ว่าเขาทำไว้ดีมากเเค่ไหน
ฉันนั้นเลยเเทนเขาไม่ได้
ไม่ว่าจะพยายามสักเท่าไร
อยากที่จะรู้ ว่าเขาทำไว้ดีมากใช่ไหม
ฉันคงต้องยอมรับให้ได้
ไม่ว่าพยายามสักเเค่ไหน ก็เเทนเขาไม่ได้จริงๆ

ฉันจะสู้เขาได้อย่างไร
ในเมื่อฉันเเพ้มาตลอด เเพ้โดยไม่ทันได้เริ่มเลย

อยากที่จะรู้ ว่าเขาทำไว้ดีมากเเค่ไหน
ฉันนั้นเลยเเทนเขาไม่ได้
ไม่ว่าจะพยายามสักเท่าไร
อยากที่จะรู้ ว่าเขาทำไว้ดีมากใช่ไหม
ฉันคงต้องยอมรับให้ได้
ไม่ว่าจะพยายามสักเเค่ไหน ก็เเทนเขาไม่ได้จริงๆ

ไม่ว่าพยายามสักเเค่ไหน ก็เเทนเขาไม่ได้เลย",chilling_Sunday
แค่คิดก็ผิด,/music/thailyric/14410,"ตอนนี้เธอเป็นใคร
วันนี้ฉันไม่ค่อยมั่นใจ
เธอคนเดิมคงไม่กล้าทำอย่างนี้
ที่วันนี้เธอพาใคร
อีกคนมาข้างในหัวใจ
เธอทำร้ายฉันที่รักเธอคนนี้

วันนี้ถ้าให้ตัวฉันลองเป็นเธอ
จะไม่มีทางทำเหมือนที่ฉันเจอ
จะไม่มีวันทำให้เธอร้องไห้

แค่ฉันลองคิดดูก็รู้สึกผิดแล้ว
ฉันก็คงไม่กล้าจะทำแล้ว
เมื่อฉันนึกภาพเธอกำลังนั่งเสียใจ
แค่เท่านี้น้ำตาก็เอ่อล้น
มันเจ็บแทบทนไม่ไหว
อยากจะรู้เธอทำได้ยังไง
ถ้าเป็นฉันนั้นคงทำมันไม่ได้

ฉันไม่ดียังไง
หรือว่าฉันนั้นพลาดอะไร
แค่บอกกันฉันพร้อมรับฟังอย่างดี
ไม่ใช่การที่เธอมีใคร
แก้ปัญหาด้วยการนอกใจ
ถ้าเธอรักกันต้องไม่ทำอย่างนี้

วันนี้ถ้าให้ตัวฉันลองเป็นเธอ
จะไม่มีทางทำเหมือนที่ฉันเจอ
จะไม่มีวันทำให้เธอร้องไห้

แค่ฉันลองคิดดูก็รู้สึกผิดแล้ว
ฉันก็คงไม่กล้าจะทำแล้ว
เมื่อฉันนึกภาพเธอกำลังนั่งเสียใจ
แค่เท่านี้น้ำตาก็เอ่อล้น
มันเจ็บแทบทนไม่ไหว
อยากจะรู้เธอทำได้ยังไง
ถ้าเป็นฉันนั้นคงทำมันไม่ได้

แค่ฉันลองคิดดูก็รู้สึกผิดแล้ว
ฉันก็คงไม่กล้าจะทำแล้ว
เมื่อฉันนึกภาพเธอกำลังนั่งเสียใจ
แค่เท่านี้น้ำตาก็เอ่อล้น
มันเจ็บแทบทนไม่ไหว
อยากจะรู้เธอทำได้ยังไง
ถ้าเป็นฉันนั้นคงทำมันไม่ได้

มันเจ็บแทบทนไม่ไหว
ตอนนั้นทำได้ยังไง
ถ้าเป็นฉันคงไม่มีวันทำเธอเสียใจ",chilling_Sunday
ดีพอไหม,/music/thailyric/17565,"เธอก็รู้ ว่าตัวฉันนั้นคิด เธอก็รู้ ว่าตัวฉันนั้นรักใคร
แต่ทำไม เธอดูไม่แน่ใจ ในเมื่อฉันชัดเจนขนาดนี้

บางทีเธอก็เหมือนจะรัก
บางเวลาคุยกัน เธอเหมือนคนไม่รู้จัก
เธอนั้นคิดยังไง บอกมาให้ฉันเข้าใจ

ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
บอกทีว่าฉันต้องทำอย่างไร มันติดตรงไหนเธอช่วยบอกที
ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
คนเดียวที่เธอจะยอมหมดใจ ไม่รู้ฉันพอจะเป็นคนนั้น ได้รึเปล่า

ก็ไม่รู้ มันเกิดขึ้นตอนไหน แต่ที่รู้ คือตัวฉันนั้นรักใคร
แต่ทำไม เธอดูไม่แน่ใจ ในเมื่อฉันชัดเจนขนาดนี้

บางทีเธอก็เหมือนจะรัก
บางเวลาคุยกัน เธอเหมือนคนไม่รู้จัก
เธอนั้นคิดยังไง บอกมาให้ฉันเข้าใจ

ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
บอกทีว่าฉันต้องทำอย่างไร มันติดตรงไหนเธอช่วยบอกที
ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
คนเดียวที่เธอจะยอมหมดใจ ไม่รู้ฉันพอจะเป็นคนนั้น ได้รึเปล่า

มันนานจนเริ่มสงสัย ว่าสิ่งที่ฉันให้ไป
ทุกอย่างๆ ที่ผ่านมา ไม่เคยมากพอที่จะให้เธอรัก

ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
บอกทีว่าฉันต้องทำอย่างไร มันติดตรงไหนเธอช่วยบอกที
ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
คนเดียวที่เธอจะยอมหมดใจ ไม่รู้ฉันพอจะเป็นคนนั้น ได้รึเปล่า

ได้รึเปล่า มันติดตรงไหนเธอช่วยบอกที

ฉันพอเป็นคนนั้น จะได้รึเปล่า ฉันดีพอให้เธอนั้นรักได้ไหม
คนเดียวที่เธอจะยอมหมดใจ ไม่รู้ฉันพอจะเป็นคนนั้น ได้รึเปล่า",chilling_Sunday
ต้องลืมหรือต้องรอ,/music/thailyric/23114,"ได้ยินเสียงโทรศัพท์ก็นึกว่าเธอทักมา
ทำอะไรฉันก็นึกถึงแต่เธอ
ทั้งที่ในวันนั้น เธอบอก
ให้ห่างกันสักพักก่อน
แต่สักพักมันนานแค่ไหน
หรือเป็นเพียงข้ออ้างเพื่อจะทิ้งกัน

ฉันควรจะรอให้เธอกลับมา
หรือควรจะลืมทุกช่วงเวลาที่ผ่านมา
ราวกับว่าไม่เคยเกิดขึ้นเลย
การรอคอยที่ดูเลือนลาง ไม่มีคืนไหนไม่ทรมาน
แต่ถ้าให้ลืมเธอก็เจ็บปวดไม่แพ้กัน

ที่บอกว่าขอเวลา
มันนานไปแล้วหรือเปล่า
หรือตลอดมาที่ฉันนั้นเข้าใจ
ไม่ใช่ที่คิดไว้ เธอหลอก

ให้ห่างกันสักพักก่อน แต่สักพักมันนานแค่ไหน
หรือเป็นเพียงข้ออ้างเพื่อจะทิ้งกัน

ฉันควรจะรอให้เธอกลับมา
หรือควรจะลืมทุกช่วงเวลาที่ผ่านมา
ราวกับว่าไม่เคยเกิดขึ้นเลย
การรอคอยที่ดูเลือนลาง ไม่มีคืนไหนไม่ทรมาน
แต่ถ้าให้ลืมเธอก็เจ็บปวดไม่แพ้กัน

ฉันควรจะรอให้เธอกลับมา
หรือควรจะลืมทุกช่วงเวลาที่ผ่านมา
ราวกับว่าไม่เคยเกิดขึ้นเลย
การรอคอยที่ดูเลือนลาง ไม่มีคืนไหนไม่ทรมาน
แต่ถ้าให้ลืมเธอก็เจ็บปวดไม่แพ้กัน

ราวกับว่าไม่เคยเกิดขึ้นเลย
การรอคอยที่ดูเลือนลาง ไม่มีคืนไหนไม่ทรมาน
แต่ถ้าให้ลืมเธอก็เจ็บปวดไม่แพ้กัน

ถ้างั้น ฉันขอไม่ลืมเธอ เเละเจ็บปวด",chilling_Sunday
