song_name,href,lyric,artist
กลับมาเป็นเหมือนเดิมได้ไหม,/music/thailyric/8590,"ทำไมสายตาเย็นชา เวลาที่เราเจอกัน
ทำไมต้องทำอะไรอย่างนั้น ไม่เข้าใจ
เธอลืมไปแล้วหรือไงเรื่องราวครั้งนั้น
ภาพในวันวาน ที่ดีต่อกัน

หากวันนั้นฉันทำอะไร ที่ไม่ดีที่ผิดไป
อยากจะขอให้ลืมมันไปได้ไหม กลับมารักกัน

เรากลับมาเป็นเหมือนเดิมได้ไหมเธอ
ยังรอเธอเสมอ ทุกครั้งที่หายใจ
ไม่อยากมีชีวิต อ้างว้างอีกต่อไป
ก็มันทนไม่ไหวจริงๆ เพราะหัวใจรักแค่เธอ

ในวันที่ไม่มีกัน ในใจของฉันว่างเปล่า
ไม่เคยต้องเหงาอะไรแบบนี้ เพิ่งเข้าใจ
ถ้าหากฉันย้อนเวลากลับไปวันวาน
ฉันจะไม่ยอม ให้เธอจากไป

หากวันนั้นฉันทำอะไร ที่ไม่ดีที่ผิดไป
อยากจะขอให้ลืมมันไป ได้ไหม กลับมารักกัน

เรากลับมาเป็นเหมือนเดิมได้ไหมเธอ
ยังรอเธอเสมอ ทุกครั้งที่หายใจ
ไม่อยากมีชีวิต อ้างว้างอีกต่อไป
ก็มันทนไม่ไหวจริงๆ เพราะหัวใจรักเธอคนเดียว

เรากลับมาเป็นเหมือนเดิมได้ไหมเธอ
ยังรอเธอเสมอ ทุกครั้งที่หายใจ
ไม่อยากมีชีวิต อ้างว้างอีกต่อไป
ก็มันทนไม่ไหวจริงๆ เพราะหัวใจรักเธอคนเดียว
ก็มันทนไม่ไหวจริงๆ เพราะหัวใจรักเธอคนเดียว",crescendo
คำวิเศษ,/music/thailyric/8728,"ถ้อยคำจากคนที่คุ้นเคย
ที่ใครได้ฟังจนคุ้นชินคุ้นชิน
คำธรรมดาที่ได้ยิน
แต่สำหรับฉันยิ่งฟังยิ่งชื่นใจ

ถามกินข้าวหรือยัง เตือนให้งดของมัน
ขับรถช้าๆ นะค่อยๆ ไป พักสักหน่อยเรื่องงาน
นอนอย่าดึกมากไป ถ้อยคำเป็นร้อยที่เอ่ย

เป็นดังคำวิเศษ ถ้อยคำพิเศษ
จะกี่ครั้งที่ฟังก็สัมผัสได้ถึงความห่วงใย
แค่บางคำวิเศษ จากคนพิเศษ
สิ่งเล็กๆ ที่ดูโรแมนติก
อยากขอฟังมันอีกจะได้ไหม

อะไรที่มาจากหัวใจ
มันย่อมจะตรงสู่หัวใจๆ
ต้องแปลอะไรให้มากมาย
บางคำก็ทำให้เผลอต้องแอบยิ้ม

ถามจะกลับเมื่อไหร่ โทรบอกกันนิดนึง
เพราะฉันเป็นห่วงรู้ไหม พักสักหน่อยเรื่องงาน
นอนอย่าดึกมากไป ถ้อยคำเป็นร้อยที่เอ่ย

เป็นดังคำวิเศษ ถ้อยคำพิเศษ
จะกี่ครั้งที่ฟังก็สัมผัสได้ถึงความห่วงใย
แค่บางคำวิเศษ จากคนพิเศษ
สิ่งเล็กๆ ที่ดูโรแมนติก
อยากขอฟังมันอีกจะได้ไหม

ไม่มีคำว่ารัก แต่ระหว่างบรรทัด
ซ่อนความอบอุ่นเอาไว้

เป็นดังคำวิเศษ ถ้อยคำพิเศษ
จะกี่ครั้งที่ฟังก็สัมผัสได้ถึงความห่วงใย
แค่บางคำวิเศษ จากคนพิเศษ
สิ่งเล็กๆ ที่ดูโรแมนติก
อยากขอฟังมันอีก

เป็นดังคำวิเศษ ถ้อยคำพิเศษ
จะกี่ครั้งที่ฟังก็สัมผัสได้ถึงความห่วงใย
แค่บางคำวิเศษ จากคนพิเศษ
สิ่งเล็กๆ ที่ดูโรแมนติก
อยากขอฟังมันอีกจะได้ไหม",crescendo
เธอคือดวงตะวัน,/music/thailyric/8659,"เธอคือดวงตะวันยามเช้า
เป็นรอยยิ้มที่ทำให้ฉันนั้นชื่นใจ
เสียงหัวเราะที่แสนสดใส
เกาะกุมใจของฉันเอาไว้ไม่เคยจาง

หากดวงตะวัน
ยังคงขึ้นทางทิศเดิม
เธอไม่ต้องถาม
ว่าใจฉันนั้นจะเปลี่ยนไปไหม

เพราะว่าเธอ คือของขวัญจากบนฟ้า
ที่ลงมาให้ฉันได้เรียนรู้
และให้ฉันได้รู้จักคำว่าความรัก

เธอคือดวงตะวัน เธอคนเดียวเท่านั้น
เป็นดังดวงตะวันแห่งชีวิต
หลับก็รู้เสมอ ว่าตื่นขึ้นมาก็เจอ
คนที่ทำเพื่อฉันได้เสมอ

ในวันพรุ่งนี้
ไม่มีใครรู้ว่าทุกสิ่งจะเปลี่ยนไปสักเท่าไหร่
แต่ในหัวใจ ฉันจะมั่นคงไม่เปลี่ยนไปไหน

เพราะว่าเธอ คือของขวัญจากบนฟ้า
ที่ลงมาให้ฉันได้เรียนรู้
และให้ฉันได้รู้จักคำว่าความรัก

เธอคือดวงตะวัน เธอคนเดียวเท่านั้น
เป็นดังดวงตะวันแห่งชีวิต
หลับก็รู้เสมอ ว่าตื่นขึ้นมาก็เจอ
คนที่ทำเพื่อฉันได้เสมอ

เพราะว่าเธอ คือของขวัญจากบนฟ้า
ที่ลงมาให้ฉันได้เรียนรู้
และให้ฉันได้รู้จักคำว่าความรัก

เธอคือดวงตะวัน เธอคนเดียวเท่านั้น
เป็นดังดวงตะวันแห่งชีวิต
หลับก็รู้เสมอ ว่าตื่นขึ้นมาก็เจอ
คนที่ทำเพื่อฉันได้เสมอ

ให้ทั้งความอุ่นใจ มอบทั้งความสดใส
เป็นกำลังให้ฉันมีชีวิต เกิดเพื่อเป็นคู่กัน
มีแค่เธอกับฉัน เป็นวงจรความรักที่แนบชิด

เธอคือดวงตะวันยามเช้า
เป็นรอยยิ้มที่ทำให้ฉันนั้นชื่นใจ
รักและรักจะรักเธอเสมอไป
ในใจฉันนั้นมันเป็นของเธอ",crescendo
อ่อนหวาน,/music/thailyric/8531,"โปรดช่วยฟังฉันหน่อย อยากให้เธอช่วยฟัง
ชีวิตฉันนั้นยังต้องการ ใคร ใครสักคน
ดึงให้ฉันพ้นจาก ชีวิตที่ขมขื่น
ตื่นจากความกล้ำกลืน
ใคร คนไหนจะทำให้ชีวิตฉันเปลี่ยน

อ่อนหวาน มันอ่อนไปนิดนึง
อ่อนจนฉันจะขาดใจ

ฉันต้องการให้ใครสักคน เปิดประตูเข้ามา
เพิ่มความรักความเสน่ห์หา ให้มันเต็มหัวใจ
ล้างชีวิตที่มันขื่นขม ให้กลับมายืนได้ใหม่
เพิ่มให้กันอีกนิดได้ไหม ชีวิตฉันอ่อนหวาน

อ่อนความหวานนิดหน่อย ไม่มีใครข้างกาย
หลบหลีกความวุ่นวาย เกินไป
รอใครคนไหน จะทำให้ชีวิตฉันเปลี่ยน

อ่อนหวาน มันอ่อนไปนิดนึง
อ่อนจนฉันจะขาดใจ

ฉันต้องการให้ใครสักคน เปิดประตูเข้ามา
เพิ่มความรักความเสน่ห์หา ให้มันเต็มหัวใจ
ล้างชีวิตที่มันขื่นขม ให้กลับมายืนได้ใหม่
เพิ่มให้กันอีกนิดได้ไหม ชีวิตฉันอ่อนหวาน

ฉันต้องการให้ใครสักคน เปิดประตูเข้ามา
เพิ่มความรักความเสน่ห์หา ให้มันเต็มหัวใจ
ล้างชีวิตที่มันขื่นขม ให้กลับมายืนได้ใหม่
เพิ่มให้กันอีกนิดได้ไหม

ฉันต้องการให้ใครสักคน เปิดประตูเข้ามา
เพิ่มความรักความเสน่ห์หา ให้มันเต็มหัวใจ
ล้างชีวิตที่มันขื่นขมให้กลับมายืนได้ใหม่
เพิ่มให้กันอีกนิดได้ไหม ชีวิตฉันอ่อนหวาน

(ชีวิตฉันอ่อนหวาน ชีวิตฉันอ่อนหวาน)",crescendo
ใจกลางความเจ็บปวด,/music/thailyric/551,"เป็นคนสุดท้าย ที่ได้รู้ความจริง
เมื่อที่ฉันนั้นถูกเธอทิ้ง คนโง่ที่เพิ่งจะเข้าใจ
เรื่องเธอและเขา เก็บอยู่นานเท่าไร
มาเฉลยเอาในตอนท้าย กับตาตัวเองจนซึ้งใจ

ถูกทำร้ายโดยคนรัก เจ็บแค่ไหนต้องพร้อมเข้าใจ
อยู่กับแผลเธอให้ไว้ กับความทรมานอยู่ข้างในนี้

อยู่ตรงกลางใจ อยู่ที่ใจกลาง ความเจ็บปวดรวดร้าวที่มี
ไม่เคยคิดเลยสักนิด ว่าชีวิตต้องมาพบจุดจบอะไรอย่างนี้
เจ็บแต่ยอมไป ปล่อยวางดวงใจให้กับคนที่เขาต้องการ
เธอจากไปแล้ว เหลือเพียงความอ้างว้าง

แค่เพียงระบาย ก็ยังร้องไม่ออก
เศร้าจนลึกเกินจะดึงถอน อาการคนมันยังช้ำใน
คงมีสักวัน แต่ไม่รู้เมื่อไร ที่ตัวฉันมันจะยืนไหว
ไม่ยอมเป็นใครที่โง่งม

ถูกทำร้ายโดยคนรัก เจ็บแค่ไหนต้องพร้อมเข้าใจ
อยู่กับแผล เธอให้ไว้ กับความทรมานอยู่ข้างในนี้

อยู่ตรงกลางใจ อยู่ที่ใจกลาง ความเจ็บปวดรวดร้าวที่มี
ไม่เคยคิดเลยสักนิด ว่าชีวิตต้องมาพบจุดจบอะไรอย่างนี้
เจ็บแต่ยอมไป ปล่อยวางดวงใจให้กับคนที่เขาต้องการ
เธอจากไปแล้ว เหลือเพียงความอ้างว้าง

คงมีเวลา ให้พอจะเรียนรู้
ให้กลับมาอยู่ดูแลตัวเองอีกครั้ง

อยู่ตรงกลางใจ อยู่ที่ใจกลาง ความเจ็บปวดรวดร้าวที่มี
ไม่เคยคิดเลยสักนิด ว่าชีวิตต้องมาพบจุดจบอะไรอย่างนี้
เจ็บแต่ยอมไป ปล่อยวางดวงใจให้กับคนที่เขาต้องการ
เธอจากไปแล้ว เหลือเพียงความอ้างว้าง",crescendo
ดีกว่าเดิม,/music/thailyric/554,"เคยไหม ที่ทำอะไรแล้วพลาดไป
ทุกข์ร้อนกังวล เสียใจอยู่เสมอ
เคยไหม ที่คิดว่าอยากจะย้อนเวลา
แก้ไขเรื่องราวที่เคยพลาดพลั้ง

แต่มันคงไม่มีทาง จะย้อนไปได้อย่างนั้น
มีแต่พรุ่งนี้ เรามีแต่พรุ่งนี้ ทุกๆ คนก็เหมือนกัน

เริ่มต้นกันใหม่ ยิ้มรับวันใหม่ทำให้ดีกว่าเดิม
เรื่องที่เคยผ่านให้มันเป็นดั่งสิ่งที่คอยสอนใจ
เริ่มต้นกันใหม่ ยิ้มรับวันใหม่ทำให้ดีกว่านั้น
ทุกคนมีชีวิตเพื่อทำ ให้วันพรุ่งนี้นั้นดีกว่าเดิม

เคยไหม ที่คิดว่าอยากจะย้อนเวลา
แก้ไขเรื่องราวที่เคยพลาดพลั้ง
แต่มันคงไม่มีทาง จะย้อนไปได้อย่างนั้น
มีแต่พรุ่งนี้ เรามีแต่พรุ่งนี้ทุกๆ คนก็เหมือนกัน

เริ่มต้นกันใหม่ ยิ้มรับวันใหม่ ทำให้ดีกว่าเดิม
เรื่องที่เคยผ่านให้มันเป็นดั่งสิ่งที่คอยสอนใจ
เริ่มต้นกันใหม่ ยิ้มรับวันใหม่ทำให้ดีกว่านั้น
ทุกคนมีชีวิตเพื่อทำ ให้วันพรุ่งนี้นั้นดีกว่าเดิม

พรุ่งนี้เป็นของเรา ยังมีสิ่งที่ต้องทำอีกตั้งมากมาย

เริ่มต้นกันใหม่ ยิ้มรับวันใหม่ ทำให้ดีกว่าเดิม
เรื่องที่เคยผ่านให้มันเป็นดั่งสิ่งที่คอยสอนใจ
เริ่มต้นกันใหม่ ยิ้มรับวันใหม่ทำให้ดีกว่านั้น
ทุกคนมีชีวิตเพื่อทำ ให้วันพรุ่งนี้นั้นดีกว่าเดิม",crescendo
ถ้ายังรัก,/music/thailyric/556,"ทุกอย่างมันอยู่ที่ใจ แค่ลองฟังเสียงข้างในมันบอก
ว่ายอมแพ้แล้วหรือยัง
ทุกอย่างมันอยู่ที่ใจ บอกว่าไม่ไหวหรือยัง
ลองถามใจตัวเองให้ดังๆ สักครั้ง

ยังเชื่อในความรักหรือเปล่า
เชื่อในคำๆ นี้แค่ไหน
ทางแยกในวันนี้คงทำให้เราได้เข้าใจ

ถ้ายังรักก็ต้องยังไหว หัวใจไม่หวั่นไหว
จะยากเย็นซักแค่ไหน ก็ไม่ต้องกลัว
ถ้ายังรักก็ต้องยังไหว แม้ไม่ใช่ความฝัน
รักคือเธอกับฉัน มีกันและกันด้วยความรัก

ทุกอย่างมันอยู่ที่ใจ
ถ้ายังคงรักก็ไม่มีวัน ที่จะเดินหนีไป
ทุกอย่างมันอยู่ที่ใจ ถ้าหากหมดใจแล้ว
ยังจะฝืนต่อมันคงไม่มีทางใช่ไหม

ยังเชื่อในความรักหรือเปล่า
เชื่อในคำๆ นี้แค่ไหน
ทางแยกในวันนี้คงทำให้เราได้เข้าใจ

ถ้ายังรักก็ต้องยังไหว หัวใจไม่หวั่นไหว
จะยากเย็นซักแค่ไหน ก็ไม่ต้องกลัว
ถ้ายังรักก็ต้องยังไหว แม้ไม่ใช่ความฝัน
รักคือเธอกับฉัน มีกันและกัน

ถ้ายังรักก็ต้องยังไหว หัวใจไม่หวั่นไหว
จะยากเย็นซักแค่ไหน ก็ไม่ต้องกลัว
ถ้ายังรักก็ต้องยังไหว แม้ไม่ใช่ความฝัน
รักคือเธอกับฉัน จับมือไปด้วยกันด้วยความรัก",crescendo
รักหมดใจ,/music/thailyric/560,"ดูกันมานานเท่าไหร่ แต่เพิ่งรู้ตัวในวันนี้ ในตอนนี้
เก็บอยู่ในใจเท่าไหร่ โดยที่ไม่เคยจะเอ่ยถาม
เพราะยังไม่แน่ใจ กับความจริงที่เรามาถึงทาง
ที่ควรจะแยกกันใช่ไหม
เก็บงำมาเนิ่นนาน อึดอัดอยู่ในหัวใจ

รักเธอจนหมดใจ แต่วันนี้ใจมันเปลี่ยนไป
เคยรักเคยมีความเข้าใจ หากตอนนี้มันกลับมีไม่พอ
รักเธอจนหมดใจ แต่วันนี้ใจมันหมดไป
อย่าถามเลยว่าเหตุผลใด
เพราะมันไม่ทำให้รักของเรากลับคืน

มันคงก็จะดีถ้าเรารู้ตัวกันก่อนหน้านี้ ก่อนตอนนี้
หวังว่าแค่เพียงเผลอใจให้กับความเหงาและความอ่อนไหว
และความจริงที่เรามาถึงทางที่ควรจะแยกกันใช่ไหม
เก็บงำมาเนิ่นนาน อึดอัดอยู่ในหัวใจ

รักเธอจนหมดใจ แต่วันนี้ใจมันเปลี่ยนไป
เคยรักเคยมีความเข้าใจ หากตอนนี้มันกลับมีไม่พอ
รักเธอจนหมดใจ แต่วันนี้ใจมันหมดไป
อย่าถามเลยว่าเหตุผลใด
เพราะมันไม่ทำให้รักของเรากลับคืน

หยุดมือจากความรักที่หมดไป
เก็บกอดเอาหัวใจกลับมาเป็นของเรา

รักเธอจนหมดใจ แต่วันนี้ใจมันเปลี่ยนไป
เคยรักเคยมีความเข้าใจ หากตอนนี้มันกับมีไม่พอ
รักเธอจนหมดใจ แต่วันนี้ใจมันหมดไป
อย่าถามเลยว่าเหตุผลใด
เพราะมันไม่ทำให้รักของเรากลับคืน",crescendo
หยุดก่อนได้ไหม,/music/thailyric/565,"ยังมีศรัทธาแม้ในนาทีสุดท้าย
ยังคงเชื่อใจ ว่าเธอจะไม่ทำร้าย

ก็เรานั้นเคย รักกันที่สุด
รู้ใจและห่วงใย วันคืนผ่านไป
ฉันยังเป็นสุข ไม่คิดเธอจะเปลี่ยนใจ

หยุดก่อนได้ไหม ไม่เคยคุ้นการเผื่อใจ
ถ้ารักเราต้องจบกัน
เก็บคำลาไว้ ยังเตรียมน้ำตาไม่ทัน
เผื่อใจรับความผิดหวังยังไม่เป็น

จะมีบ้างไหม หนทางที่พอจะเหนี่ยวรั้ง
ให้เราสองคนเป็นเหมือนดังวันวานได้ไหม

ก็เรานั้นเคย รักกันที่สุด
รู้ใจและห่วงใย วันคืนผ่านไป
ฉันยังเป็นสุข ไม่คิดเธอจะเปลี่ยนใจ

หยุดก่อนได้ไหม ไม่เคยคุ้นการเผื่อใจ
ถ้ารักเราต้องจบกัน
เก็บคำลาไว้ ยังเตรียมน้ำตาไม่ทัน
เผื่อใจรับความผิดหวังยังไม่เป็น

หยุดก่อนได้ไหม ไม่เคยคุ้นการเผื่อใจ
ถ้ารักเราต้องจบกัน
เก็บคำลาไว้ ยังเตรียมน้ำตาไม่ทัน
เผื่อใจรับความผิดหวังยังไม่เป็น

หยุดก่อนได้ไหม ไม่เคยคุ้นการเผื่อใจ
ถ้ารักเราต้องจบกัน
เก็บคำลาไว้ ยังเตรียมน้ำตาไม่ทัน
เผื่อใจรับความผิดหวังยังไม่เป็น

หยุดก่อนได้ไหม",crescendo
ทั้งทั้งที่รู้,/music/thailyric/9567,"คนโน้นคนนี้ก็เตือน
คงเหมือนเรานี้เลอะเลือน
จริงจริงแล้วมันจำใจ
แต่ใครจะเห็นความจริง
ใครจะรู้จริงไปกว่าตัวเรา

คนไหนใครหนอเข้าใจ
บางครั้งบางหนฝืนใจ
เราก็เหมือนดังใครใครอยากทำชีวิตดีดี
แต่มีบางครั้งคนเราก็ต้องจำใจ

ทั้งทั้งที่รู้อยู่ ก็ทั้งทั้งที่รู้อยู่เต็มหัวใจ
จะลองทำไปสักครั้ง
ทั้งทั้งที่รู้อยู่ ก็ทั้งทั้งที่รู้อยู่พอเข้าใจ
ก็แล้วมีทางอื่นไหมให้เราเลือกทำ

เราก็เหมือนดังใครใครอยากทำชีวิตดีดี
แต่มีบางครั้งคนเราก็ต้องจำใจ

ทั้งทั้งที่รู้อยู่ ก็ทั้งทั้งที่รู้อยู่เต็มหัวใจ
จะลองทำไปสักครั้ง
ทั้งทั้งที่รู้อยู่ ก็ทั้งทั้งที่รู้อยู่พอเข้าใจ
ก็แล้วมีทางอื่นไหมให้เราเลือกทำ

ก็ทั้งทั้งที่รู้ทั้งทั้งที่รู้อยู่ ก็ทั้งทั้งที่รู้ทั้งทั้งที่รู้อยู่
ก็ทั้งทั้งที่รู้ทั้งทั้งที่รู้อยู่ ก็ทั้งทั้งที่รู้...ทั้งทั้งที่รู้อยู่ ทั้งทั้งที่รู้",crescendo
