song_name,href,lyric,artist
ไม่มีวันไหนไม่คิดถึง,/music/thailyric/1781,"บางคราวชีวิตก็ยากเกินเดาอะไร
บ่อยครั้งเรื่องที่ไม่เข้าใจก็พัดเข้ามา
ทั้งทั้งที่มือจับกันไว้ ไม่ทันไรก็ต้องพูดลา
น้ำตาไม่เคยแห้งไป

ยังจำความหลังของเราได้ทุกนาที
บันทึกความรักที่มีเก็บไว้ในใจ
เหมือนเสียงเธอดังอยู่ตรงนี้ อยู่ในทุกทุกที่ที่ไป
ไม่เคยมีวันไหนไม่คิดถึงเธอ

เมื่อใดก็ไม่เหงา
แม้เราไม่เจอะเจอ
เพราะเราคุยกันเสมอในใจ

หลับตาลงทุกทียังมีภาพเธอกับรอยยิ้มเก่า
ได้ยินเพลงของเราทุกท่วงทำนองไม่เคยหายไป
ความคิดถึงเดินทางมาพบเจอ
มากระซิบบอกเธอให้วางใจ
จะไม่มีเรื่องใดใด ไม่มีภาพใดใด ที่ลบเลือน

วันคืนผ่านพ้นจนเกินจะย้อนเวลา
พรุ่งนี้ไม่รู้เลยว่าต้องพบอะไร
ฉันรู้เพียงเธออยู่ตรงนี้ อยู่กับฉันทุกที่ที่ไป
ไม่ยอมมีวันไหนไม่คิดถึงเธอ

เมื่อใดก็ไม่เหงา
แม้เราไม่เจอะเจอ
เพราะเราคุยกันเสมอในใจ

หลับตาลงทุกทียังมีภาพเธอกับรอยยิ้มเก่า
ได้ยินเพลงของเราทุกท่วงทำนองไม่เคยหายไป
ความคิดถึงเดินทางมาพบเจอ
มากระซิบบอกเธอให้วางใจ
จะไม่มีเรื่องใดใด ไม่มีภาพใดใด ที่ลบเลือน

วันไหนหัวใจก็เหมือนเดิม",dan_beam
สิ่งมีชีวิตที่เรียกว่าพ่อ,/music/thailyric/1787,"ท้อก็ห้ามอ่อนแอ แพ้ก็ห้ามถอดใจ
ไม่ยอมให้ลูกรับรู้ว่าผิดหวัง
ขอแค่ลูกสุขกาย เรื่องใดก็ทำได้ทุกอย่าง
พร้อมประคองทุกทางที่ลูกล้มลงไป

เมื่อไรที่เห็นว่าลูกเจ็บกาย พ่อยิ่งร้าวใจกว่า
ภาวนา ให้เจ็บแทนเองได้ไหม

สิ่งมีชีวิตเล็กๆแต่รักช่างกว้างใหญ่
สิ่งมีชีวิตที่ใจเปี่ยมไปด้วยความหวังดี
มืออุ่นอุ่นที่คุ้นใจ มือผู้ชายคนนี้
ล้ายังไงก็พร้อมยินดีกอดไว้
สิ่งมีชีวิตที่คอยห่วงใยไม่เหินห่าง
สิ่งมีชีวิตที่ยังแอบยิ้มเมื่อลูกยิ้มได้
ไม่ว่าสุขหรือทุกข์ทน รักไม่เคยหล่นหาย
จนกว่าวันสุดท้ายที่พ่อสิ้นลม

แม้ไม่พูดออกมา พูดว่ารักสักคำ
ทุกการกระทำก็ฟ้องมากกว่านั้น
ทุกๆเรื่องหนักใจ ไม่เคยแสดงว่าไหวหวั่น
ลูกคือสิ่งสำคัญที่สุดของหัวใจ

เมื่อไรที่เห็นว่าลูกเจ็บกาย พ่อยิ่งร้าวใจกว่า
ภาวนา ให้เจ็บแทนเองได้ไหม

สิ่งมีชีวิตเล็กๆแต่รักช่างกว้างใหญ่
สิ่งมีชีวิตที่ใจเปี่ยมไปด้วยความหวังดี
มืออุ่นอุ่นที่คุ้นใจ มือผู้ชายคนนี้
ล้ายังไงก็พร้อมยินดีกอดไว้
สิ่งมีชีวิตที่คอยห่วงใยไม่เหินห่าง
สิ่งมีชีวิตที่ยังแอบยิ้มเมื่อลูกยิ้มได้
ไม่ว่าสุขหรือทุกข์ทน รักไม่เคยหล่นหาย
จนกว่าวันสุดท้ายที่พ่อสิ้นลม

สิ่งมีชีวิตเล็กๆแต่รักช่างกว้างใหญ่
สิ่งมีชีวิตที่ใจเปี่ยมไปด้วยความหวังดี
มืออุ่นอุ่นที่คุ้นใจ มือผู้ชายคนนี้
ล้ายังไงก็พร้อมยินดีกอดไว้
สิ่งมีชีวิตที่คอยห่วงใยไม่เหินห่าง
สิ่งมีชีวิตที่ยังแอบยิ้มเมื่อลูกยิ้มได้
ไม่ว่าสุขหรือทุกข์ทน รักไม่เคยหล่นหาย
จนกว่าวันสุดท้ายที่พ่อสิ้นลม",dan_beam
คำเดียวกัน,/music/thailyric/1768,"เก็บ...คำบางคำอยู่ในหัวใจ
ถ้อยคำที่มันยิ่งใหญ่ คิดไปว่าเธอรับรู้มันดี
และรู้ว่าชีวิตคนคนนี้มีแต่เธอ

แล้วทุกอย่างมันก็กลายเป็นความว่างเปล่า
เมื่อวันนึงเธอมีเขาเข้ามาบอกคำที่ฉันไม่บอก ไม่รู้ว่าเธอรอ

เจ็บปวดอะไรอย่างนี้ (รู้ทำไมไม่พูดมันไป)
ยิ่งคำที่ทิ้งไว้ให้สาย (ทิ้งไว้ให้สาย)
ฉันคงต้องเสียเธอไป ถึงรักเท่าไหร่ก็ไม่มีเธออีกแล้ว

คำคำเดียวกัน คำว่ารักคำเดียวกัน
แค่คนเดียวเท่านั้นที่พูดกับเธอได้
คำคำเดียวกันของฉันคงหมดความหมาย
วันนี้คงทำไม่ได้ บอกรักกับเธอไม่ได้ อีกแล้ว

หาก...วันเวลาจะเดินย้อนไป
ให้เราได้มาเริ่มใหม่
ฉันคงบอกเธอว่ารักบ่อยๆ
อย่างน้อยให้เธอรู้ว่าคนนี้มีแต่เธอ

แล้วทุกอย่างมันก็กลายเป็นความว่างเปล่า
เมื่อวันนึงเธอมีเขาเข้ามาบอกคำที่ฉันไม่บอก ไม่รู้ว่าเธอรอ

เจ็บปวดอะไรอย่างนี้ (รู้ทำไมไม่พูดมันไป)
ยิ่งคำที่ทิ้งไว้ให้สาย (ทิ้งไว้ให้สาย)
ฉันคงต้องเสียเธอไป ถึงรักเท่าไหร่ก็ไม่มีเธออีกแล้ว

คำคำเดียวกัน คำว่ารักคำเดียวกัน
แค่คนเดียวเท่านั้นที่พูดกับเธอได้
คำคำเดียวกันของฉันคงหมดความหมาย
วันนี้คงทำไม่ได้ บอกรักกับเธอไม่ได้ อีกแล้ว

วันนี้คงทำไม่ได้ บอกรักกับเธอไม่ได้...อีกแล้ว",dan_beam
คิดมาก,/music/thailyric/1769,"ฉันรู้ว่าถามตรงๆเธอคงจะไม่พอใจ
ว่าฉันเซ้าซี้ทำไม เรียกร้องอะไรเหลือเกิน
แต่คงต้องพูดออกไป เพราะฉันไม่รู้จริงๆว่าเธอยังคงมีกัน
ยังมีแค่ฉันในใจ ยังเหมือนเมื่อวานรึเปล่า

ท่าทางห่างเหินเกินทั้งที่เดินข้างๆกัน
เจอะหน้าทุกวันเหมือนความสัมพันธ์ไม่เท่าเก่า
หมั่นโทรไปหากี่ครั้งก็เจอว่าเธออยู่กับใครเค้า
บ่นเอาว่าฉันขี้เหงาไป

ก็เลยต้องถาม...เพื่อความแน่ใจ
ว่าเธอยังมี....ยังมีเยื่อใย
ช่วยพูดกับฉัน...บอกฉัน....ว่าฉันแค่คิดมากไป...คิดอะไร
ไม่เคยใจน้อย...ก็มันน้อยใจ
ฉันกลัวเธอเบื่อ....และไม่เหลือใจ
ช่วยบอกว่ารักฉันได้มั้ย....รักฉันได้มั้ย....ต่อไปจะไม่ถามเลย

ฉันรู้ว่าฉันกังวลจนเธอคงรำคาญใจ
แต่เธอรู้มั้ยทำไมเหตุผลก็คือรักเธอ
ขาดเธอฉันคงขาดใจ
ไม่รู้ว่าฉันกังวลหรือเธอกำลังมีใคร
แววตาถึงเหมือนไกลๆ เธอคิดอะไรรึเปล่า

ท่าทางห่างเหินเกินทั้งที่เดินข้างๆกัน
เจอะหน้าทุกวันเหมืนความสัมพันธ์ไม่เท่าเก่า
หมั่นโทรไปหากี่ครั้งก็เจอว่าเธออยู่กับใครเค้า
บ่นเอาว่าชั้นขี้เหงาไป

ก็เลยต้องถาม...เพื่อความแน่ใจ
ว่าเธอยังมี....ยังมีเยื่อใย
ช่วยพูดกับฉัน...บอกฉัน....ว่าฉันแค่คิดมากไป...คิดอะไร
ไม่เคยใจน้อย...ก็มันน้อยใจ
ฉันกลัวเธอเบื่อ....และไม่เหลือใจ
ช่วยบอกว่ารักฉันได้มั้ย....รักฉันได้มั้ย....ต่อไปจะไม่ถามเลย

เรายังเหมือนเดิมใช่มั้ย เรายังรักกันใช่มั้ย
บอกฉันให้ฉันวางใจหน่อย
เรายังเหมือนเดิมใช่ไหม เรายังรักกันใช่มั้ย
บอกฉันให้ฉันวางใจหน่อย
ว่ารักเรา....ยังเหมือนเดิม",dan_beam
ใช้เบอร์เดิม,/music/thailyric/1770,"น้ำใจนักกีฬา ฉันว่าฉันมีพอ
ผู้แพ้ย่อมไม่มีสิทธิ์วอนขออะไร
เมื่อเธอเลิกแล้วคงหมดเรื่องราว
ยอมแพ้เค้าจริงๆจากใจ
เมื่อสู้ไม่ได้ก็ยอมโดยดี

ถึงเราต้องเลิกกัน ถึงฉันแค่คนไกล
เธอยังมีค่าในใจอยู่ทุกนาที
อยู่ในฐานะอะไรช่างมัน จำไว้ฉันยังเป็นคนนี้
คนเดิมคนที่เคยป็นเมื่อวาน

ไม่ว่าโทรมาคุยทั่วๆไป
หรือจะมาระบายอย่างเคย
จะบ่นเฉยๆ ได้เลยทุกทีที่เธอต้องการ
แม้จะเดินด้วยกันไม่ได้ไกล ถึงยังไงก็คนเคยคบกัน
ฉัน...ไม่อยากให้เธอเกรงใจ

ไปอยู่กับเค้า ถ้าอยู่แล้วเหงาหรือมีปัญหา
ถ้าไม่มีไหล่ซับน้ำตา คิดถึงฉันได้ไหม
ช่วยโทรมาหา มาบอกฉัน
จะคิดว่าแค่เพื่อนกันก็ได้
วันไหนที่เธอเสียใจ อยากให้เธอช่วยจำเอาไว้
ฉันใช้เบอร์เดิม

ถึงเราต้องเลิกกัน ถึงฉันแค่คนไกล
เธอยังมีค่าในใจอยู่ทุกนาที
อยู่ในฐานะอะไรช่างมัน จำไว้ฉันยังเป็นคนนี้
คนเดิมคนที่เคยป็นเมื่อวาน

ไม่ว่าโทรมาคุยทั่วๆไป
หรือจะมาระบายอย่างเคย
จะบ่นเฉยๆ ได้เลยทุกทีที่เธอต้องการ
แม้จะเดินด้วยกันไม่ได้ไกล ถึงยังไงก็คนเคยคบกัน
ฉัน...ไม่อยากให้เธอเกรงใจ

ไปอยู่กับเค้า ถ้าอยู่แล้วเหงาหรือมีปัญหา
ถ้าไม่มีไหล่ซับน้ำตา คิดถึงฉันได้ไหม
ช่วยโทรมาหา มาบอกฉัน
จะคิดว่าแค่เพื่อนกันก็ได้
วันไหนที่เธอเสียใจ อยากให้เธอช่วยจำเอาไว้
ฉันใช้เบอร์เดิม

ไปอยู่กับเค้า ถ้าอยู่แล้วเหงาหรือมีปัญหา
ถ้าไม่มีไหล่ซับน้ำตา คิดถึงฉันได้ไหม
ช่วยโทรมาหา มาบอกฉัน
ก็เรายังเป็นเพื่อนกัน...ใช่ไหม
วันไหนที่เธอเสียใจ อยากให้เธอช่วยจำเอาไว้
ฉันใช้เบอร์เดิม

อวยพรให้เค้าจริงใจ แต่ถ้าเค้าไม่จริงวันไหน
ฉันใช้เบอร์เดิม",dan_beam
ตามหาหัวใจ,/music/thailyric/1771,"หลับตาลงครั้งใด เห็นว่ามีแต่ภาพใครบางคน
ที่กี่ครั้งก็ยังวกวน ดูไม่ชัดเจน
ได้ยินแต่เสียงเรียกของเธอ
ที่ฟังแล้วอบอุ่นและคุ้นในใจ
ยิ่งห้ามไม่ให้คิด ยิ่งติดอยู่ข้างใน
ยิ่งห้ามใจเท่าไร ยิ่งใกล้เทอเข้าไปทุกที

ตามหาหัวใจ ที่ลืมไว้กับใครซักคน
จะตามจะค้นจนเจอ เธอคนนั้นในความทรงจำของฉัน
ซักครั้ง.ให้หัวใจได้ตื่นขึ้นใช้ลมหายใจพร้อมเธอ
ไม่อยากสัมผัสรักจากเธอ อย่างไม่มีตัวตน

รูปที่ถ่ายจากหัวใจ รูปที่ใช้ทั้งความรู้สึก
สุดท้ายก็ต้องเลือนลางตามกาลเวลา
คล้ายภาพความทรงจำ แต่แปลกคือเธอเท่านั้น
ที่ไม่เคยลบไม่เคยเลือนจากใจฉัน
ไม่อาจจะล้างรักนี้ที่โอบกอดฉันไว้
ความรักเป็นยังไง รับรู้ได้ทั้งหมดจากเธอ

ตามหาหัวใจ ที่ลืมไว้กับใครซักคน
จะตามจะค้นจนเจอ เธอคนนั้นในความทรงจำของฉัน
ซักครั้ง.ให้หัวใจได้ตื่นขึ้นใช้ลมหายใจพร้อมเธอ
ไม่อยากสัมผัสรักจากเธอ อย่างไม่มีตัวตน

ตามหาหัวใจ ที่ลืมไว้กับใครซักคน
จะตามจะค้นจนเจอ เธอคนนั้นในความทรงจำของฉัน
ซักครั้ง.ให้หัวใจได้ตื่นขึ้นใช้ลมหายใจพร้อมเธอ
ไม่อยากสัมผัสรักจากเธอ อย่างไม่มีตัวตน

ความทรงจำ และความรักของเทอ
จะอยู่นัยตัวของชั้น ตลอดไป",dan_beam
ปาฏิหาริย์ครั้งสุดท้าย,/music/thailyric/1778,"อาจเป็นฟ้ากำหนดมา ให้เราต้องแยกกัน
อาจเป็นเพราะความผิดฉัน ที่เคยทำอะไรร้ายๆ

ทุกครั้งเรายังได้เริ่มใหม่ เธอยังเดินหวนมาใหม่
เชื่อว่าเธอไม่ไป ไกลจากฉัน
เพิ่งรู้ครั้งนี้ไม่เหมือนเก่า รอเธอรอแล้วว่างเปล่า
หัวใจเหมือนจะขาดทุกวัน

อยากให้ปาฎิหาริย์มีอีกครั้ง ยังหวังเพียงเธอให้อภัย
กลับมาคืนดีกัน ขอโอกาสฉันครั้งสุดท้าย
จะไม่ให้เธอเสียใจสัญญา
อยากให้ปาฎิหารย์ดลจิตใจ ให้รู้รอเธอทุกเวลา
เพื่อเธอรู้ว่าฉัน ทุกวันได้แต่ภาวนา
เธอจะกลับมารักกันดังเดิม

กว่าจะรู้ว่าขาดเธอ มันปวดร้าวเจียนตาย
กว่าจะรู้ตัวห่วงใคร ก็ไม่มีอะไรเหลือแล้ว

ทุกครั้งเรายังได้เริ่มใหม่ เธอยังเดินหวนมาใหม่
เชื่อว่าเธอไม่ไป ไกลจากฉัน
เพิ่งรู้ครั้งนี้ไม่เหมือนเก่า รอเธอรอแล้วว่างเปล่า
หัวใจเหมือนจะขาดทุกวัน

อยากให้ปาฎิหาริย์มีอีกครั้ง ยังหวังเพียงเธอให้อภัย
กลับมาคืนดีกัน ขอโอกาสฉันครั้งสุดท้าย
จะไม่ให้เธอเสียใจสัญญา
อยากให้ปาฎิหารย์ดลจิตใจ ให้รู้รอเธอทุกเวลา
เพื่อเธอรู้ว่าฉัน ทุกวันได้แต่ภาวนา
เธอจะกลับมารักกันดังเดิม

เพื่อเธอรู้ว่าฉัน ทุกวันได้แต่ภาวนา
เธอจะกลับมารักกันเหมือนเดิม",dan_beam
ไม่รับปาก,/music/thailyric/1782,"ก็อาจจะดูว่าเฉยชา ว่าเฉยเมย
ว่าละเลยไม่ค่อยเอาใจใส่
ไม่เหมือนคนรักกัน
เธอบอกว่าเธอไม่แน่ใจ ไม่เชื่อใจ ไม่ไว้ใจ
เธอนั้นไหวหวั่น เธออยากจะมีความมั่นใจ ทุกทีที่

เธอมาถามกัน (มาถามกัน มาถามกัน)
ว่าฉันจริงจัง มั่นคงสักเท่าไร
ทุกทีที่เธอมาขอกัน (มาขอกัน มาขอกัน)
เธอขอให้ฉันรักเธอหมดทั้งหัวใจ
แล้วต้องไม่รักใครใคร
ช่วยทำให้เธอเรื่องเดียวจะได้หรือเปล่า

ไม่รับปาก แต่อยากสัญญาว่าทุกๆวัน
ฉันนั้นจะไม่ทำให้เธอต้องเสียใจ
ไม่ยืนยัน แต่อยากสัญญาไม่ว่าเมื่อไร
ฉันจะคอยดูแลและอยู่ข้างๆกัน
อาจไม่หวานบ่อยแต่จะหวานนาน ๆ
จะดีกับเธอพรุ่งนี้ให้ดีเท่าเมื่อวาน
ปฏิญาณด้วยเกียรติของหัวใจ

ฉันรู้ว่าเธอต้องทนกับฉัน
และฉันก็รู้ว่าเธอนั้นดีแค่ไหน
ฉันก็รู้ว่าฉันไม่เป็นดังใจ
แต่รู้ไหมไม่เคยไม่รักเธอ
ฉันไม่รู้เหมือนกันหรอกวันพรุ่งนี้
แต่ไม่ว่าร้ายหรือดีที่เราจะเจอยังมีคนๆนึง
จะมีเพียงเธอ ไม่พูดขอพิสูจน์ด้วยหัวใจ

เธอมาถามกัน (มาถามกัน มาถามกัน)
ว่าฉันจริงจัง มั่นคงสักเท่าไร
ทุกทีที่เธอมาขอกัน (มาขอกัน มาขอกัน)
เธอขอให้ฉันรักเธอหมดทั้งหัวใจ
แล้วต้องไม่รักใครใคร
ช่วยทำให้เธอเรื่องเดียวจะได้หรือเปล่า

ไม่รับปาก แต่อยากสัญญาว่าทุกๆวัน
ฉันนั้นจะไม่ทำให้เธอต้องเสียใจ
ไม่ยืนยัน แต่อยากสัญญาไม่ว่าเมื่อไร
ฉันจะคอยดูแลและอยู่ข้างๆกัน
อาจไม่หวานบ่อยแต่จะหวานนาน ๆ
จะดีกับเธอพรุ่งนี้ให้ดีเท่าเมื่อวาน
ปฏิญาณด้วยเกียรติของหัวใจ

ไม่มีวันจะไม่รักเธอ ก็ขอให้เธอนั้นมั่นใจ
ฉันจะไม่รักใครๆ (ฉันจะไม่รักใคร)
ถึงฉันจะไม่รับปาก แต่ฉันก็อยากสัญญา (แค่อยากจะสัญญา)
ว่าทุกวันจะรักเธอ ฉันจะไม่รักใคร (ฉันจะไม่รักใคร)",dan_beam
เราไม่ต้องรักกัน แต่ฉันต้องรักเธอ,/music/thailyric/1784,"ฉันเหมือนต้นไม้ที่ขาดน้ำไร้ก้านใบ
แต่เธอเหมือนดอกไม้ที่สดใสทุกยาม
ฉันเหมือนก้อนดินที่ด่างพร้อยและต้อยต่ำ
แต่เธอเหมือนเมฆงามที่อยู่สูงเกินคว้า

กับคนไม่สำคัญ
เธอสำคัญกว่าฟ้า กว่าใครบนโลกนี้

เธอเป็นดังสายฝนของคนอ่อนไหว
เธอเป็นลมหายใจที่ฉันต้องมี (ฉันต้องมี)
เป็นที่สุดสิ่งดีๆ ที่เจอ
พอใจแค่ได้รักๆ เธอเท่านั้น
เราไม่ต้องรักกันแต่ฉันต้องรักเธอ รู้ตัวเสมอ
หัวใจที่ซ่อนเร้น เต้นได้อยู่ ก็เพราะเธอ

หลงเหลือกี่วันนับจากนี้ไม่เป็นไร
ก็จะรัก จะใช้ให้หมดทุกนาที
พรุ่งนี้ต้องเป็นวันสุดท้ายก็ยินดี แค่วันนี้
พบเธอมันก็คุ้มนักหนา

กับคนไม่สำคัญ
เธอสำคัญกว่าฟ้า กว่าใครบนโลกนี้

เธอเป็นดังสายฝนของคนอ่อนไหว
เธอเป็นลมหายใจที่ฉันต้องมี (ฉันต้องมี)
เป็นที่สุดสิ่งดีๆ ที่เจอ
พอใจแค่ได้รักๆ เธอเท่านั้น
เราไม่ต้องรักกันแต่ฉันต้องรักเธอ รู้ตัวเสมอ
หัวใจที่ซ่อนเร้น เต้นได้อยู่ ก็เพราะเธอ

ทุกวันที่โหดร้าย ฉันหายใจได้เพราะเธอ

กับคนไม่สำคัญ
เธอสำคัญกว่าฟ้า กว่าใครบนโลกนี้

เธอเป็นดังสายฝนของคนอ่อนไหว
เธอเป็นลมหายใจที่ฉันต้องมี (ฉันต้องมี)
เป็นที่สุดสิ่งดีๆ ที่เจอ
พอใจแค่ได้รักๆ เธอเท่านั้น
เราไม่ต้องรักกันแต่ฉันต้องรักเธอ รู้ตัวเสมอ
หัวใจที่ซ่อนเร้น เต้นได้อยู่ ก็เพราะเธอ

ทุกวันที่โหดร้าย ฉันหายใจได้เพราะเธอ",dan_beam
โสด,/music/thailyric/1788,"ถ้าไม่ทำงานก็นอน ไม่ค่อยได้กินข้าวเช้า
เปิดดูหนังเก่าๆ ที่เคยดูแล้วอีกหน
วนเวียนไปอย่างนี้ ชีวิตของคนที่โสด1คน
ได้แต่หายใจทิ้งไปวันๆ เพื่อนชวนบางทีก็ไป
แต่ไม่ชอบไปกับเขา เบื่อไปนั่งจับเจ่า
ตอนเค้าเอามือจับกัน ไม่ได้ขี้อิจฉา
แต่น้อยใจโชคชะตาเท่านั้น ทำไมฉันยังหาใครไม่มี

ถูกใครเค้าถามตรงๆ ว่าคิดยังไง
ถึงไม่ยอมมีคู่ใจสักที ต้องบอกกับเขาไปว่ามีแล้ว
คบมาเป็นปี วันไหนโอกาสดีเดี๋ยวพามา

ที่จริงน่ะแฟนเขา ไม่ใช่เรา ก็พูดไป
ก็แก้ไปแบบนี้ แต่กลับมาบ้านเราก็เศร้าทุกที
ไม่รู้สิ หรือผงมันเข้าตา

ก็อยากมีแฟนฉัน ที่รักกัน ที่ซึ้งใจ
ให้พ้นวันเหนื่อยล้า มีคนคอยยิ้มให้
มีใครนั่งสบตา ในวันพรุ่งนี้ที่ตื่นมา คงอุ่นใจ

แค่อยากมีใครสักคน โทรถามทำไมตื่นสาย
ชวนดูหนังใหม่ๆ เกี่ยวก้อยเดินไปด้วยกัน
อยู่คนเดียวก็ไหว แต่เหมือนโลกมีครึ่งใบเท่านั้น
หากมีคนเติมฝันก็คงดี

ถูกใครเค้าถามตรงๆ ว่าคิดยังไง
ถึงไม่ยอมมีคู่ใจสักที ต้องบอกกับเขาไปว่ามีแล้ว
คบมาเป็นปี วันไหนโอกาสดีเดี๋ยวพามา

ที่จริงน่ะแฟนเขา ไม่ใช่เรา ก็พูดไป
ก็แก้ไปแบบนี้ แต่กลับมาบ้านเราก็เศร้าทุกที
ไม่รู้สิ หรือผงมันเข้าตา

ก็อยากมีแฟนฉัน ที่รักกัน ที่ซึ้งใจ
ให้พ้นวันเหนื่อยล้า มีคนคอยยิ้มให้
มีใครนั่งสบตา ในวันพรุ่งนี้ที่ตื่นมา คงอุ่นใจ

มาคอยเป็นโลกครึ่งใบให้กับฉัน",dan_beam
