song_name,href,lyric,artist
ขอร้อง,/music/thailyric/1793,"เหมือนหัวใจไม่เหลือใจ
พูดคําเดียวคือเธอจะไปเท่านั้น
เหมือนง่ายดาย เหมือนหัวใจ
ไม่เคยใช้คําว่ารักด้วยกัน

ฉันทําผิดที่ใด ได้แต่ถามตัวเองอย่างนั้น
ไม่เคยจะไม่รักเธอสักวัน แต่กำลังจะต้องร้องไห้

อย่าทิ้งกันไปได้ไหม เธอรู้ฉันอยู่ไม่ไหว
โลกคงแตกสลาย นาทีที่ไม่เหลือเธอ
คนที่รักที่สุด คนที่รักเสมอ
หมดชีวิตที่เห็นเมื่อใดก็เป็นของเธอ

อย่าไปจากตรงนี้ อย่าไปจากคนนี้
ฉันกลัวฉันกลัว พรุ่งนี้จะไม่มีแรงหายใจ

เพราะหัวใจไม่เหลือใคร
เพราะฉันมีเพียงเธอคนเดียวเท่านั้น
ขอร้องเธอ ขอร้องเธอ
สงสารฉันเถอะ อย่าไปจากฉัน (ได้ไหม)

ฉันทําผิดที่ใด ได้แต่ถามตัวเองอย่างนั้น
ไม่เคยจะไม่รักเธอสักวัน แต่กำลังจะต้องร้องไห้

อย่าทิ้งกันไปได้ไหม เธอรู้ฉันอยู่ไม่ไหว
โลกคงแตกสลาย นาทีที่ไม่เหลือเธอ
คนที่รักที่สุด คนที่รักเสมอ
หมดชีวิตที่เห็นเมื่อใดก็เป็นของเธอ

อย่าไปจากตรงนี้ อย่าไปจากคนนี้
ฉันกลัวฉันกลัว พรุ่งนี้

อย่าทิ้งกันไปได้ไหม เธอรู้ฉันอยู่ไม่ไหว
โลกคงแตกสลาย นาทีที่ไม่เหลือเธอ
คนที่รักที่สุด คนที่รักเสมอ
หมดชีวิตที่เห็น ก็มีแค่เธอ

อย่าไปจากตรงนี้ อย่าไปจากคนนี้
ฉันกลัวฉันกลัว พรุ่งนี้จะไม่มีแรงหายใจ
อย่าทิ้งฉันไปได้ไหม",dan_worrawech
แค่เธอ,/music/thailyric/1794,"ขว้างลมหายใจ ทิ้งไว้ในอากาศ
ไม่อาจจะวาดหวังอะไรได้อีกแล้ว
เมื่อไม่มีใครให้รัก ไม่มีที่พักหัวใจ
ทุกๆ วันผ่านไปอย่างไร้จุดหมาย

แล้วเธอก็มาสร้างวันเวลา
ที่คนหนึ่งเคยค้นหามานานแสนนาน
เคยลืมเรื่องความคิดถึง ความรักที่ดีนั้นซึ้งเพียงใด
สุดท้ายคือเธอที่ทำให้ฉันเข้าใจ มันอีกครั้ง

แค่ได้เจอเธอก็คุ้ม ที่ได้มีชีวิตหนึ่ง
อาจจะไม่ได้ซึ้งถึงวันนั้น แค่ฝันก็เกินพอ
แค่ได้รักเธอวันนี้ ก็มีความหมายให้ฉันเดินต่อ
แค่ขอมีเธอตลอดไป จะอยู่เพื่อใช้ลมหายใจนี้เพื่อเธอ

นับจากนี้ไปในทุกๆ นาที
จะฝากความรักที่มีเอาไว้กับสายลม
ให้คอยห่มเธอเมื่อเหงา คอยพัดความเศร้าให้จางไป
จะกอดเธอด้วยหัวใจจนวันสุดท้าย สุดที่รัก

แค่ได้เจอเธอก็คุ้ม ที่ได้มีชีวิตหนึ่ง
อาจจะไม่ได้ซึ้งถึงวันนั้น แค่ฝันก็เกินพอ
แค่ได้รักเธอวันนี้ ก็มีความหมายให้ฉันเดินต่อ
แค่ขอมีเธอตลอดไป จะอยู่เพื่อใช้ลมหายใจนี้เพื่อเธอ

อยากจะยืนจะหยุดที่เธอ
อยากจะเผลอ ฝันถึงเธอทุกวัน
ฉันเพียงแค่อยากจะให้ได้มีวันนั้น
สักวันที่เธอก็คงจะฝันถึงฉันเหมือนกันได้ไหม

แค่ได้เจอเธอก็คุ้ม ที่ได้มีชีวิตหนึ่ง
อาจจะไม่ได้ซึ้งถึงวันนั้น แค่ฝันก็เกินพอ
แค่ได้รักเธอวันนี้ ก็มีความหมายให้ฉันเดินต่อ
แค่ขอมีเธอตลอดไป จะอยู่เพื่อใช้ลมหายใจนี้เพื่อเธอ

จะอยู่เพื่อใช้ลมหายใจนี้เพื่อเธอ",dan_worrawech
ชีวิตหลังความเจ็บ,/music/thailyric/1796,"โลกก็ยังคงเดิน ฉันก็ยังต้องหายใจ
แม้เธอจะหายไป แต่หัวใจเจ็บเหลือเกิน
แต่ฉันก็ยังสงสัย ถ้าใจมันยังเหมือนเดิม
จะมีชีวิตที่ดีต่อไป ได้หรือเปล่า

ถ้าตอนตื่นเช้าขึ้นมาทุกวัน
ก็ยังต้องหันไปมองข้อความ
ที่ดูกี่ครั้งมันก็ว่างเปล่า

ยังเดินที่เดิม เจอเก้าอี้ตัวเก่า
ที่เคยนั่งมองดวงตาคู่นั้น ด้วยยิ้มที่สดใส
เป็นภาพชีวิตที่ไม่เคยแยกจาก
แต่วันนี้เธอจากฉันไป

ชีวิตจะมีความสุขอีกไหม ไม่รู้
ที่รู้คือทุกๆ วัน ฉันเจ็บ
หมดแล้วหนทางที่จะหลุดพ้น
จากภาพเราเหล่านั้น เพราะยังไม่มีสักวัน
ที่ในชีวิตของฉันไม่มีเธอ

ฉันก็ยังเดินไป พบผู้คนที่คุ้นเคย
เขามองและเขาห่วง และถามไถ่ถึงเธอ
เหมือนทุกสิ่งที่มี ที่ชีวิตนี้ได้เจอ
ต่างได้พบมันพร้อมกับเธอไปทุกอย่าง

ในเพลงเหล่านั้นที่เคยได้ฟัง
มันมีความหลังมากมาย ไม่รู้จบ
ได้ฟังกี่ครั้ง ก็พบแต่น้ำตา

ดูหนังเรื่องเดิม แต่มันเศร้า
มันเศร้ายิ่งกว่า มองซ้ายมองขวา
ไม่เจออีกแล้ว รอยยิ้มที่อ่อนไหว
เป็นภาพชีวิตที่ไม่เคยแยกจาก
แต่วันนี้เธอกลับหายไป

ชีวิตจะมีความสุขอีกไหม ไม่รู้
ที่รู้คือทุกๆ วัน ฉันเจ็บ
หมดแล้วหนทางที่จะหลุดพ้น
จากภาพเราเหล่านั้น เพราะยังไม่มีสักวัน
ที่ในชีวิตของฉันไม่มีเธอ

Girl I'm missing your face
I could never erase
All the love we shared
When you were mine
When you were mine

All the things that we've said
Never could be replaced
I wish we never had to say goodbye
And made you cry",dan_worrawech
ใช้หัวใจ,/music/thailyric/1798,"เช้าลืมตาขึ้นมา กับเสียงหายใจอ่อนล้า
นั่งดูนาฬิกา ที่เดินอย่างช้าๆ

พยายามเปิดเพลงเบาๆ
เพื่อกลบเกลื่อนเรื่องความเหงา
และก็มีน้ำตามาบรรเทา ที่คอยเข้าใจเรา
แต่ทำไมกลับเศร้ากว่าเดิม

ให้ฉันได้ใช้หัวใจ บอกใครว่ารักสักที
หากมันต้องช้ำก็ยังดี ก็ยังได้มีใครให้หึง
จูบเธอจะซึ้งเท่าไร กอดเธอคงให้ไออุ่นกับฉัน
โปรดเถิดสวรรค์เมตตากัน ให้คนนั้นกับฉันสักที

ทิ้งตัวนอนกี่คืน ก็ฝืนตัวเองไม่ไหว
ฉันจะหลับได้อย่างไร เมื่อใจยังเศร้าอยู่อย่างนี้

ทำได้แค่เพียงเปิดเพลงเบาๆ
เพื่อกลบเกลื่อนเรื่องความเหงา
และก็มีน้ำตามาบรรเทา ที่คอยเข้าใจเรา
แต่ทำไมกลับเศร้ากว่าเดิม

ให้ฉันได้ใช้หัวใจ บอกใครว่ารักสักที
หากมันต้องช้ำก็ยังดี ก็ยังได้มีใครให้หึง
จูบเธอจะซึ้งเท่าไร กอดเธอคงให้ไออุ่นกับฉัน
โปรดเถิดสวรรค์เมตตากัน ให้คนนั้นกับฉันสักที

ขอแค่ยืนอยู่ข้างใคร ขอมีใจอยู่ใกล้กัน
แค่นั้น แต่ไม่รู้จะได้เจอเธอไหม
ฟ้าให้เราห่างแสนไกล
หรือแกล้งเก็บเอาเธอซ่อนไว้ที่ใด เมื่อไหร่จะมีเธอ

ให้ฉันได้ใช้หัวใจ บอกใครว่ารักสักที
หากมันต้องช้ำก็ยังดี ก็ยังได้มีใครให้หึง
จูบเธอจะซึ้งเท่าไร กอดเธอคงให้ไออุ่นกับฉัน
โปรดเถิดสวรรค์เมตตากัน ให้คนนั้นกับฉันสักที

ให้ฉันได้ใช้หัวใจ บอกใครว่ารักสักที
ให้ฉันได้ใช้หัวใจ อยากจะได้ใช้หัวใจรักใครสักที",dan_worrawech
บรรยากาศเป็นใจ,/music/thailyric/1802,"บรรยากาศมันเป็นใจ
แค่เธอกับฉัน นั่งอยู่ด้วยกันดื่มด่ำกับความหวาน
เผลอใจต้องการ พูดคำบางคำที่มันคั่งค้างใจ
ไม่มีใครส่วนเกินให้เกิดเงา
โลกนี้มีแต่เรา ถึงดูเงียบไปก็ไม่เคยเหงา
ข้อความข้างใน พูดเบาๆ เธอคงได้ยินเธอคงรับรู้

แต่พูดไม่ถูก ไม่รู้จะเริ่มยังไง
อดใจเอาไว้ได้ไม่นาน
มันอาจท่วมใจ ถ้าไม่ได้บอกเธอ

หากมีใครคนนึง จะคอยเดินตาม
คอยทำความรำคาญเวลาเธอเหงา
อยู่กันไปนานๆ ทำตัวเป็นเงา
เปลี่ยนให้คำว่าเรามันมีความหมาย

ก็ไม่รู้ จะรังเกียจไหม
หากเราจะใช้หัวใจร่วมกัน
หัวใจต้องการใครมาผูกพัน
แค่เธอคนเดียวคือเธอเท่านั้น เอ่อคือฉัน

ไม่มีใครจะแทนคำตอบฉัน ก็แค่เธอเท่านั้น
พื้นที่ข้างในมุมแห่งความรัก เว้นไว้เพื่อเธอ
คิดอย่างไร เธอคงได้ยินเธอคงรับรู้

แต่พูดไม่ถูก ไม่รู้จะเริ่มยังไง
อดใจเอาไว้ได้ไม่นาน
มันอาจท่วมใจ ถ้าไม่ได้บอกเธอ

หากมีใครคนนึง จะคอยเดินตาม
คอยทำความรำคาญเวลาเธอเหงา
อยู่กันไปนานๆ ทำตัวเป็นเงา
เปลี่ยนให้คำว่าเรามันมีความหมาย

ก็ไม่รู้ จะรังเกียจไหม
หากเราจะใช้หัวใจร่วมกัน
หัวใจต้องการใครมาผูกพัน
แค่เธอคนเดียวคือเธอเท่านั้น เอ่อคือฉัน

ที่สุดก็หาจนเจอ แค่เธอคนที่ฉันเคยวาดไว้
เธอเป็นอะไรที่ดีที่สุดที่เคยเจอ
อยากเป็นคนที่ใช้ชีวิตที่มีครั้งนี้ไปหมดกับเธอ
แค่นั้นก็พอแล้ว

ฉันไม่รู้เธอคิดยังไง พูดออกไปเข้าข้างตัวเอง
เท่าที่รู้เท่าที่เห็นมากกว่าผูกพัน
โปรดอย่าปล่อยให้ล่องลอยไป
ความในใจช่วยรับหน่อยเถอะ
สัมผัสด้วยรักของฉัน จากในตาของฉัน

หากมีใครคนนึง จะคอยเดินตาม
คอยทำความรำคาญเวลาเธอเหงา
อยู่กันไปนานๆ ทำตัวเป็นเงา
เปลี่ยนให้คำว่าเรามันมีความหมาย

เมื่อฉันรักและเธอก็รัก แค่คำๆ นั้นที่เรารู้จัก
หัวใจต้องการเธอเพื่อความรัก
ถ้าเธอยินดีที่จะหยุดพัก จะบอกรักแค่เธอ",dan_worrawech
วันที่สวยงาม (Beautiful Day),/music/thailyric/1805,"นับจากบัดนี้ไป จากวินาทีแห่งนี้
จะมีทางใหม่ให้เธอและฉันเดิน
ให้ฝันพาเราทั้งสองสู่ความสดใส
รวมความรักที่มีทั้งสองดวงใจ เข้าด้วยกัน

วันที่สุขและสวยงาม มีเธออยู่ตรงนี้
มีเธออยู่กับฉัน จะคอยอยู่เคียงข้างกัน
เป็นจริงดั่งความฝัน ที่ฉันนั้นเฝ้ารอจนวันนี้

และต่อจากนี้ไป ความทุกข์ใดๆ แค่ไหน
ฉันจะไม่หวั่น แค่เราอยู่ด้วยกัน
ความฝันจะพาเราสองสู่ความสดใส
รวมความรักที่มีทั้งสองดวงใจ เข้าด้วยกัน

วันที่สุขและสวยงาม มีเธออยู่ตรงนี้
มีเธออยู่กับฉัน จะคอยอยู่เคียงข้างกัน
เป็นจริงดั่งความฝัน ที่ฉันนั้นเฝ้ารอจนวันนี้

วันที่สุขและสวยงาม มีเธออยู่ตรงนี้
มีเธออยู่กับฉัน จะคอยอยู่เคียงข้างกัน
เป็นจริงดั่งความฝัน ที่ฉันนั้นเฝ้ารอจนวันนี้

วันที่สุขและสวยงาม มีเธออยู่ตรงนี้
มีเธออยู่กับฉัน จะคอยอยู่เคียงข้างกัน
เป็นจริงดั่งความฝัน ที่ฉันนั้นเฝ้ารอจนวันนี้

ที่ฉันนั้นเฝ้ารอจนวันนี้ ฉันนั้นเฝ้ารอจนวันนี้",dan_worrawech
วันละ Kiss,/music/thailyric/1806,"เป็นอาการเดิมที่เธอจะลืมบอกกัน
ว่าเธอรักฉันแค่ไหน
เป็นคํายืนยันที่เคยได้ยินจากใจ
ดูเริ่มจะเบลอไปทุกที่

รอฟังมานานเมื่อวานก็ไม่บอกกัน
ยิ่งทําให้ ใจมันเริ่มชา
ก็เดาว่าเธอคงแค่ขี้เกียจพูดออกมา
มันคงจะดีกว่าถ้าฉันจะขอแค่

Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ
Kiss นี้ ขอฉันวันละนิดให้ชีวิต
Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ
Kiss นี้ ไม่ต้องมากระซิบว่าเธอรัก
แค่ฝากรอยจูบไว้พูดแทนข้อความ ความผูกพันธ์
ยืนยันว่าเธอยังรักกัน แค่วันละ Kiss

เลยตามเลยไปก็กลัวเราไกลห่างกัน
ปล่อยนานวัน ไปคงไม่ดี
ก็พอมีทางขอแค่เธอนั้นช่วยย้ำให้ฉันที
ว่าเธอรักฉันอยู่ และจะคอยดูแลกัน

Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ
Kiss นี้ ขอฉันวันละนิดให้ชีวิต
Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ
Kiss นี้ ไม่ต้องมากระซิบว่าเธอรัก
แค่ฝากรอยจูบไว้พูดแทนข้อความ ความผูกพันธ์
ยืนยันว่าเธอยังรักกัน แค่วันละ Kiss

เพราะรักเธอนั้นที่ทําให้ใจฉันเต้นอยู่
แค่วันละ Kiss ขอวันละครั้งเธอทําให้ได้ไหม
ขอเน้นๆ แก้มซ้าย ให้ขั้วหัวใจได้รู้สึกดี
เพราะรักคํานี้ฉันจะได้ยินจากจูบเธอ แค่วันละKiss

Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ
Kiss นี้ ขอฉันวันละนิดให้ชีวิต
Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ Kiss สิ
Kiss นี้ ไม่ต้องมากระซิบว่าเธอรัก
แค่ฝากรอยจูบไว้พูดแทนข้อความ ความผูกพันธ์
ยืนยันว่าเธอยังรักกัน แค่วันละ Kiss",dan_worrawech
สิทธิ,/music/thailyric/20504,"ฉันยังกอดเมื่อวานเอาไว้
ไม่คิดจะปล่อยให้มันผ่านไป
และยังคงเก็บรักเธอเอาไว้ ให้ทุกความสุขมัน
หมุนเวียน ต่อไป เพราะเธอคือใจ

ไม่ใช่ว่าไม่รู้ ไม่ได้ปิดหูปิดตา
ว่าทุกนาทีนี้ เธอมีใครอยู่
แต่ยังคงรัก ทั้งๆ ที่รู้
เธอยังมีเขาอยู่ ตรงนั้น

คิดจะรักแต่เขาก็เป็นสิทธิ์ของเธอ
รู้ว่าเรื่องแบบนี้มันเป็นสิทธิ์ของใจ
เธอจะทำอะไร เอาเลยตามสบาย
แค่ไม่ ละเมิด พื้นที่ ในใจของฉัน

เพราะว่าเรื่องแบบนี้มันเป็นสิทธิ์ของฉัน
ที่จะรักเธอนั้นมันเป็นสิทธิ์ของใจ
อย่าไล่ให้ไป ขอรักเธอต่อไป
จะรอเธอจนฉันมีความหมาย

มือที่อุ่น ที่เคยจับ แก้มที่หอมละมุนที่เคยจูบ
ผมสลวยที่ลูบไล้
คอยปลอบโยนยามเธอร้องไห้มา ทิ้งกายกับฉัน
ย้อนนึกแต่วันนั้น

ถึงแม้วันนี้ไม่รู้ เหมือนโดนปิดหูปิดตา
ว่าในนาทีนั้นฉันทำอะไร
ทำผิดตรงไหนเธอ จึงจากไป
ไม่สงสารฉันหน่อยเหรอ

คิดจะรักแต่เขาก็เป็นสิทธิ์ของเธอ
รู้ว่าเรื่องแบบนี้มันเป็นสิทธิ์ของใจ
เธอจะทำอะไร เอาเลยตามสบาย
แค่ไม่ ละเมิด พื้นที่ ในใจของฉัน

เพราะว่าเรื่องแบบนี้มันเป็นสิทธิ์ของฉัน
ที่จะรักเธอนั้นมันเป็นสิทธิ์ของใจ
อย่าไล่ให้ไป ขอรักเธอต่อไป
จะรอเธอจนฉันมีความหมาย

Should I wait here another day
Sacred and holy you threw us away
I pray that i'll be your สิทธิพิเศษ
I just want to see you I know I can't free you from there

คิดจะรักแต่เขาก็เป็นสิทธิ์ของเธอ
รู้ว่าเรื่องแบบนี้มันเป็นสิทธิ์ของใจ
เธอจะทำอะไร เอาเลยตามสบาย
แค่ไม่ ละเมิด พื้นที่ ในใจของฉัน

เพราะว่าเรื่องแบบนี้มันเป็นสิทธิ์ของฉัน
ที่จะรักเธอนั้นมันเป็นสิทธิ์ของใจ
อย่าไล่ให้ไป ขอรักเธอต่อไป
I just want to see you I know
I can't free you from there

คิดจะรักแต่เขาก็เป็นสิทธิ์ของเธอ
รู้ว่าเรื่องแบบนี้มันเป็นสิทธิ์ของใจ
เธอจะทำอะไร เอาเลยตามสบาย
แค่ไม่ ละเมิด พื้นที่ ในใจของฉัน

เพราะว่าเรื่องแบบนี้มันเป็นสิทธิ์ของฉัน
ที่จะรักเธอนั้นมันเป็นสิทธิ์ของใจ
อย่าไล่ให้ไป ขอรักเธอต่อไป
จะรอเธอจนฉัน",dan_worrawech
ทดเวลาบาดเจ็บ,/music/thailyric/8341,"มองเธอจากแววตา คงจวนหมดเวลา
รอเพียงแต่คำลา ว่าเธอจะไป
เร็วจนมันไม่ทันได้เตรียมใจ
จนไม่รู้ว่าสิ่งใด ควรจะทำตอนนี้

ฉันไม่ได้เฝ้าดูแล ฉันไม่ได้เฝ้าเอาใจ
ฉันไม่ได้ใกล้เธอให้มากกว่านี้
ฉันใช้เวลาเกินไป ในเรื่องโง่ๆ เกินไป
ไม่เหลือเวลาให้กับเรื่องดีๆ
รู้ฉันเลวเต็มที ฉันแค่หวังว่ายังไม่สายไป

เพียงหนึ่งนาทีที่เธออยู่
ช่วยต่อเวลาที่มีอยู่
ฉันอยากจะทำ
ทุกอย่างที่เคยมองข้ามไป

จะกอดให้แน่นเท่าใจ
บอกว่ารักเธอมากเท่าไร
แม้ว่ามัน อาจจะสายแล้วก็ตาม

ความรู้สึกดีๆ ที่ยังอยู่ยังมี
ใช้ไม่กี่นาทีชดเชย ไม่ได้
แต่ว่าคำบางคำที่ลืมไป
ที่ยังค้างในจิตใจ เธอต้องรู้ตอนนี้

ฉันไม่ได้เฝ้าดูแล ฉันไม่ได้เฝ้าเอาใจ
ฉันไม่ได้ใกล้เธอให้มากกว่านี้
ฉันใช้เวลาเกินไป ในเรื่องโง่ๆ เกินไป
ไม่เหลือเวลาให้กับเรื่องดีๆ
รู้ฉันเลวเต็มที ฉันแค่หวังว่ายังไม่สายไป

เพียงหนึ่งนาทีที่เธออยู่
ช่วยต่อเวลาที่มีอยู่
ฉันอยากจะทำ
ทุกอย่างที่เคยมองข้ามไป

จะกอดให้แน่นเท่าใจ
บอกว่ารักเธอมากเท่าไร
แม้ว่ามัน อาจจะสาย

ไม่รู้ว่าจะยังทันไหม
ให้เวลาหัวใจ ขอแค่ได้บอก
เธอว่ารักอีกครั้ง อีกสักครั้ง

เพียงหนึ่งนาทีที่เธออยู่
ช่วยต่อเวลาที่มีอยู่
ฉันอยากจะทำ
ทุกอย่างที่เคยมองข้ามไป

จะกอดให้แน่นเท่าใจ
บอกว่ารักเธอมากเท่าไร
ไม่รู้ว่าเธอ อยากฟังไหม
ฉันรักเธอ",dan_worrawech
น้ำตาคั่งในสมอง (Don't Cry),/music/thailyric/1801,"(Dont cry) คอยเตือนตัวเองไว้
(Dont cry) ไม่มีเธออีกแล้ว
(Dont cry) จะต้องอดทนไม่ร้องไห้
(Dont cry) ก็น้ำตายังคงไหลรินไป
คั่งในสมองจนแทบตาย เจ็บเกินกว่าใครจะทน

ฉันสูญสิ้นทุกอย่าง ตั้งแต่เธอทิ้งแล้วเดินหนีจาก
เวลาหยุดเดินไปแล้ว ไปพร้อมเธอ
ชีวิตเหลืออยู่ ให้จำเรื่องเดียวเสมอ
ก็คือเธอ มีเพียงเธอ ยังรักเธอ

จะพยายามยังไง (ก็ลืมเธอไปไม่ไหว)
จะพยายามตัดใจ (ยังคงเป็นไปไม่ได้)
ภาพของเธอยังทำร้าย เรื่อยไป

เธอคงไม่คิดว่าฉัน (จะเจ็บปวดใช่ไหม)
เธอคงจะคิดว่าฉัน (อาการไม่นานเท่าไร)
ทั้งที่จริง แผลมันคาใจ

(Dont cry) คอยเตือนตัวเองไว้
(Dont cry) ไม่มีเธออีกแล้ว
(Dont cry) จะต้องอดทนไม่ร้องไห้
(Dont cry) ก็น้ำตายังคงไหลรินไป
คั่งในสมองจนแทบตาย เจ็บเกินกว่าใครจะทน

Rap

จะพยายามยังไง (ก็ลืมเธอไปไม่ไหว)
จะพยายามตัดใจ (ยังคงเป็นไปไม่ได้)
ภาพของเธอยังทำร้าย เรื่อยไป

เธอคงไม่คิดว่าฉัน (จะเจ็บปวดใช่ไหม)
เธอคงจะคิดว่าฉัน (อาการไม่นานเท่าไร)
ทั้งที่จริง แผลมันคาใจ

(Dont cry) คอยเตือนตัวเองไว้
(Dont cry) ไม่มีเธออีกแล้ว
(Dont cry) จะต้องอดทนไม่ร้องไห้
(Dont cry) ก็น้ำตายังคงไหลรินไป
คั่งในสมองจนแทบตาย เจ็บเกินกว่าใครจะทน

Rap",dan_worrawech
