song_name,href,lyric,artist
อย่าหักหลัง,/music/thailyric/4445,"เออ...ฉันก็ไม่ใช่คนดีเท่าไร
ถ้าดีไม่พอ ก็บอกได้เลย ต่อหน้าได้ไหม
เออ...ก็ฉันพึ่งรู้ว่า เธอจะไป
ก็อยากได้ยิน ให้เธอพูดเอง ก็พอเข้าใจ

ฉันรับไม่ได้ ถ้าต้องรู้เป็นคนสุดท้าย

ถึงจะหักอกกัน ฉันก็ไม่ว่า
แต่อย่าหักหลังกัน เพราะมันคงอภัยไม่ไหว มากไป
พูดมาเลย อย่างน้อยเป็นเพื่อนกันต่อไป
ถ้าเธอจริงใจ และยังเป็นลูกผู้ชาย

เออ...ไอ้เรื่องผิดหวัง มันธรรมดา
เมื่อรักก็มา ไม่รักก็ไป ใครๆ ก็รู้
เออ...ฉันไม่ค่อยชอบเป็นคนถูกหลอก
ต่อหน้าก็ดี ลับหลังก็ไป ไปหาคนอื่น

ฉันรับไม่ได้ ถ้าต้องรู้เป็นคนสุดท้าย

ถึงจะหักอกกัน ฉันก็ไม่ว่า
แต่อย่าหักหลังกัน เพราะมันคงอภัยไม่ไหว มากไป
พูดมาเลย อย่างน้อยเป็นเพื่อนกันต่อไป
ถ้าเธอจริงใจ และยังเป็นลูกผู้ชาย

เบื่อกันก็ว่ามา ต่อหน้าฉันเลย
พูดกันแบบแฟร์ๆ ดีไหม

โอ้ว...รับไม่ได้ ถ้าต้องรู้เป็นคนสุดท้าย

ถึงจะหักอกกัน ฉันก็ไม่ว่า
แต่อย่าหักหลังกัน เพราะมันคงอภัยไม่ไหว มากไป
พูดมาเลย อย่างน้อยเป็นเพื่อนกันต่อไป ถ้าเธอจริงใจ
หักอกก็แค่ผิดหวัง หักหลังมันรับไม่ได้",fahrenheit
ขาดๆ เกินๆ,/music/thailyric/4432,"อาจมีบางที ขาดขาด เกินเกิน เย้ เย......
บทมันจะเพลิน อย่าขัดฉันเลย
อาจเป็นบางวัน จะหลุด เฉยเฉย เย้ เย.....
ไม่เป็นไรเลย ปล่อยปล่อยของฉันไป

รับรองไม่ต้องห่วง
ฉันยังไม่ไปไหน

ขาดขาดเกินเกิน
ยังไงยังไง ก็รักเธอ เย้...
หลุดหลุดเผลอเผลอ ยังไงยังไง
ก็รักเธอไป รักเธอไป
บูดบูดเบื๊อกเบื๊อก ยังไง ก็รัก เธอไง
ไม่ต้องเบื่อ อยากให้เชื่อใจ
ที่เพี้ยนไปก็เพราะรักเธอ

อาจเป็นบางที เฉื่อยเฉื่อย ช้าช้า เย้ เย.....
ก็คือเวลา ถ่านอ่อน นิดนึง
อาจมีบางวัน บูดบูด ตึงตึง เย้ เย.....
ปล่อยไปวันนึง ก็หยุด แล้วไง

รับรองไม่ต้องห่วง
ฉันยังไม่ไปไหน

ขาดขาดเกินเกิน
ยังไงยังไง ก็รักเธอ เย้...
หลุดหลุดเผลอเผลอ ยังไงยังไง
ก็รักเธอไป รักเธอไป
บูดบูดเบื๊อกเบื๊อก ยังไง ก็รัก เธอไง
ไม่ต้องเบื่อ อยากให้เชื่อใจ
ที่เพี้ยนไปก็เพราะรักเธอ

อาจเป็นบางวัน จะออก เบื๊อกเบื๊อก เย้ เย....
แต่ไม่มีวัน ถอดเกือก ขว้างใคร

ขาดขาดเกินเกิน
ยังไงยังไง ก็รักเธอ เย้...
หลุดหลุดเผลอเผลอ ยังไงยังไง
ก็รักเธอไป รักเธอไป
บูดบูดเบื๊อกเบื๊อก ยังไง ก็รัก เธอไง
ไม่ต้องเบื่อ อยากให้เชื่อใจ
ที่เพี้ยนไปก็เพราะรักเธอ

รักเธอ ไม่หนีไปไหน เย้เย....

บูดบูดเบื๊อกเบื๊อก ยังไง ก็รัก เธอไง
ไม่ต้องเบื่อ อยากให้เชื่อใจ ที่เพี้ยนไปก็เพราะรักเธอ",fahrenheit
เงียบทําไม,/music/thailyric/4435,"วันนี้คิดอะไร ทำเหมือนไม่รู้จัก
อยู่ดีๆก็ทำเป็นเฉยไม่มองไม่อยากทัก

ดูไม่รักกันเลย ไม่สนใจกันเลย
อยากลงเอยอย่างไรให้ช่วยเคลียร์


ฉันไม่รู้ว่ามีอะไรทำให้ห่างกัน
เงียบทำไมก็ฉันยังหวั่น
อย่าเกรงใจกันให้ฉันรู้ความจริง

บอกมาได้ไหมบอกฉันให้รู้สักที
ให้ฉันคิดๆคิดไปทำไม
อยากจะมีใครก็มันเรื่องของใจ
หากเธอจะไปฉันคงไม่ห้าม

วันนี้ฉันจะฟัง
ยอมรับฟังทุกอย่าง
หากจะมีอีกทางที่เห็นว่าดีจะตามใจ

ยังไม่รู้จริงๆ
ฉันต้องทำยังไง
อยู่ยังไงกับใจที่หายไป


ฉันไม่รู้ว่ามีอะไรทำให้ห่างกัน
เงียบทำไมก็ฉันยังหวั่น
อย่าเกรงใจกันให้ฉันรู้ความจริง

บอกมาได้ไหมบอกฉันให้รู้สักที
ให้ฉันคิดๆคิดไปทำไม
อยากจะมีใครก็มันเรื่องของใจ
หากเธอจะไปฉันคงไม่ห้าม

บอกกันให้รู้สักที
ให้ฉันคิดๆคิดไปทำไม
อยากจะมีใครก็มันเรื่องอของใจ
หากเธอจะไปฉันคงไม่ห้าม",fahrenheit
เจ้าหญิง,/music/thailyric/4436,"เด็กๆแอบฝันว่าฉันได้พบเจ้าชาย
ออกมาจากในนิทาน
ใส่หมวกขี่ม้าค้นหาเจ้าหญิงหนึ่งองค์
ที่ทนทุกข์มาเนิ่นนาน
เติบใหญ่ก็รู้ที่เพ้อที่ฝันมาก่อน ไม่มีอะไรที่จริง
ไม่มีเจ้าหญิงที่ซ่อนร่างอยู่หลังครัว ไม่มีสโนวไวท์

ไม่มีซินเดอเรลล่ากับรถที่เป็นฟักทอง
ไม่มีเจ้าชายสักองค์ที่หลงมาจูบ
ให้ตื่นมาเพื่อเจอเจ้าชายหัวใจงดงาม

ฉันรู้ว่าฉันมันเป็นใคร ฉันรู้ว่าฉันมันคือใคร
ไม่ได้หวังซะจนไกล ปวดท้องก็ทนไป
ได้ใช้ชีวิตอันเป็นจริง เป็นแค่ผู้หญิงที่แสนธรรมดา
ไม่หนีไปกว่าใคร

ฉันรู้ว่าฉันมันเป็นใคร ฉันรู้ว่าฉันมันคือใคร
อยู่อย่างนี้ก็สบายสุขทุกข์ไม่เป็นไร
ได้พบความรักอันลวงๆ ก็แค่เก็บมันจับโยนไว้ใต้เตียง
บอกลา แล้วปิดไฟ

กับสิ่งที่ฉันได้พบได้เห็นมันบอก ต้องทำจิตใจให้ชิน
จะกรวดจะหินหรือได้แก้วก็ว่าไป เมื่อไหร่ก็เมื่อนั้น

ไม่มีซินเดอเรลล่ากับรถที่เป็นฟักทอง
ไม่มีเจ้าชายสักองค์ที่หลงมาจูบ
ให้ตื่นมาเพื่อเจอเจ้าชายหัวใจงดงาม

ฉันรู้ว่าฉันมันเป็นใคร ฉันรู้ว่าฉันมันคือใคร
ไม่ได้หวังซะจนไกล ปวดท้องก็ทนไป
ได้ใช้ชีวิตอันเป็นจริง เป็นแค่ผู้หญิงที่แสนธรรมดา
ไม่หนีไปกว่าใคร

ฉันรู้ว่าฉันมันเป็นใคร ฉันรู้ว่าฉันมันคือใคร
อยู่อย่างนี้ก็สบายสุขทุกข์ไม่เป็นไร
ได้พบความรักอันลวงๆ ก็แค่เก็บมันจับโยนไว้ใต้เตียง
บอกลา แล้วปิดไฟ

ฉันรู้ว่าฉันมันเป็นใคร ฉันรู้ว่าฉันมันคือใคร
ไม่ได้หวังซะจนไกล ปวดท้องก็ทนไป
ได้ใช้ชีวิตอันเป็นจริง เป็นแค่ผู้หญิงที่แสนธรรมดา
ไม่หนีไปกว่าใคร

ฉันรู้ว่าฉันมันเป็นใคร ฉันรู้ว่าฉันมันคือใคร
อยู่อย่างนี้ก็สบายสุขทุกข์ไม่เป็นไร
ได้พบความรักอันลวงๆ ก็แค่เก็บมันจับโยนไว้ใต้เตียง
หลับตา เพื่อตื่นมา เริ่มต้นใหม่",fahrenheit
ผิดไหม,/music/thailyric/4439,"ผิดไหม ที่ไม่ไปพบเธอ
ไม่ต้องการพบเจอ ไม่ต้องการเจอะหน้าใคร
ผิดไหม ที่ไม่ยอมเข้าใจ
ไม่อยากฟังเรื่องราวที่เธออยากอธิบาย

ผิดเหรอ ที่เป็นคนรักจริง
ที่เป็นคนฝังใจ รักแล้วยากจะลบเลือน
ผิดเหรอ ที่อ่อนแอเหลือเกิน
เกินจะยอมรับรู้การลาจาก
รับรู้ว่าเธออยากจากฉันไป

ปล่อยฉันไว้คนเดียว ฉันยังจะทนไหว
ฝันได้ตามใจ มีเธอได้แสนนาน
ให้ฉันเจอความจริง ฉันทนไม่ไหว
จะให้ฉันทำใจยังไง ทั้งหัวใจมันรัก รักเธอ

ผิดไหมที่ไม่เข้มแข็งพอ
พอที่จะเสียเธอ เสียให้คนอื่นเขาไป
ผิดไหมที่ทำใจไม่ได้
ไม่อยากทนเห็นเธอต้องลาจาก
รักเธอจนลำบากใจเหลือเกิน

ปล่อยฉันไว้คนเดียว ฉันยังจะทนไหว
ฝันได้ตามใจ มีเธอได้แสนนาน
ให้ฉันเจอความจริง ฉันทนไม่ไหว
จะให้ฉันทำใจยังไง ทั้งหัวใจมันรัก รักเธอ

ให้ฉันเจอความจริง ฉันทนไม่ไหว
จะให้ฉันทำใจยังไง ทั้งหัวใจมันรัก รักเธอ
จะให้ฉันทนได้ยังไง ทั้งหัวใจมีไว้ รักเธอ",fahrenheit
ความรักจงเจริญ,/music/thailyric/4433,"แปลกจริงหนอ เราต่างก็คิดไป
กล่าวหารัก ว่าเป็นเหมือนตัวการ
รักก่อเหตุ เพราะรักหักอก
ต้องมานอน กระเทือนหัวใจ

ถูกหักหลังก็บอกว่ารักลวง
ถูกใครทิ้งก็มาคร่ำครวญ
รักก็อยู่ของรักดีๆ มาหลอกใครไม่ได้

รัก..ไม่ได้ก่อปัญหา รัก..ไม่โหดร้าย
ไม่เคยฆ่าใคร..ซักคน

ถึงแม้ว่าโลกแตก ถึงพระอาทิตย์ดับ
ถึงฟ้าจะต่ำ ฝนจะตก รถจะติด ท่อจะตัน
ก็รักกันไปตลอด ก็รักกันไปทุกวัน
ก็รักได้อยู่ ไม่มีหย่อน ไม่มีหยุด ไม่มีหมด ไม่มีจบ

บางคนว่าเขาเบื่อ บางคนว่าเขาหน่าย
ถึงเขาจะบ่น เขาจะโกรธ เขาจะเกลียด เขาจะเข็ด
สำหรับฉัน...ความรักจงเจริญ

ต่างความคิด ใช่ห้ามให้พูดจา
ต่างภาษา ใช่ห้ามให้รักกัน
ผิวจะต่าง หรือผมจะต่าง
ไม่ได้ห้าม ให้ใครรักใคร

ส่งความรักกันเถอะ อย่าหวงเลย
อย่าทำเฉยกับคนข้างเคียง
รักสุดๆ ให้โลกเอียงๆ โลกจะคืนรักให้

รัก..ไม่ได้ก่อปัญหา รัก..ไม่โหดร้าย
ไม่เคยฆ่าใคร..ซักคน

บางคนว่าเขาเบื่อ บางคนว่าเขาหน่าย
ถึงเขาจะบ่น เขาจะโกรธ เขาจะเกลียด เขาจะเข็ด
สำหรับฉัน...ความรักจงเจริญ

เหมือนฉันอยาก รักเธอก่อน ใครจะทำไม

รัก..ไม่ได้ก่อปัญหา รัก..ไม่โหดร้าย
ไม่เคยฆ่าใคร..ซักคน

บางคนว่าเขาเบื่อ บางคนว่าเขาหน่าย
ถึงเขาจะบ่น เขาจะโกรธ เขาจะเกลียด เขาจะเข็ด
สำหรับฉัน...ความรักจงเจริญ",fahrenheit
น้ำตาคือคำตอบ,/music/thailyric/4438,"มันจำเป็นด้วยหรือที่เธอต้องตั้งคำถาม
พยายามให้รู้ถึงความห่วงใย
หากว่าเธอจากไปแล้วฉันจะเป็นยังไง
ไม่ต้องกลัวหรือรู้สึกผิดมากมาย

เธอจะอยู่กับเขา และเธอจะไปจากฉัน
มันก็แค่เท่านั้น ฉันต้องเข้าใจ
อย่ากังวลว่าใครเขาจะเห็นเธอเป็นผู้ร้าย
ฉันจะตายก็ไม่โทษเธอเลย

แค่อยากให้เธอดูแลเขาให้ดีๆ
อย่าทำร้ายเขาเหมือนฉันครั้งนี้ ให้เขาต้องลำบาก
และอย่ามัวเสียเวลากับคนที่เธอไม่ได้รัก
(รีบไปจากฉันเสียดีกว่า)

คนนึงกำลังช้ำ อีกคนกำลังจะทิ้ง
มันเป็นสิ่งที่เลวร้ายไม่ใช่เหรอ
อยากจะพูดตอบคำถาม แต่รู้ว่าทำไม่ไหว
เห็นน้ำตาฉันไหม มันคือคำตอบ

แค่อยากให้เธอดูแลเขาให้ดีๆ
อย่าทำร้ายเขาเหมือนฉันครั้งนี้ ให้เขาต้องลำบาก
และอย่ามัวเสียเวลากับคนที่เธอไม่ได้รัก
(รีบไปจากฉันเสียดีกว่า)

แค่อยากให้เธอดูแลเขาให้ดีๆ
อย่าทำร้ายเขาเหมือนฉันครั้งนี้ ให้เขาต้องลำบาก
และอย่ามัวเสียเวลากับคนที่เธอไม่ได้รัก
(รีบไปจากฉันเสียดีกว่า)

แค่กลับหลังเดินไป อย่าชักช้า ยิ่งได้ฟังคำถาม
มาชี้ มาย้ำ อย่างงั้น อย่างงี้
มันเจ็บเข้าใจไหม ยิ่งเลวร้ายไปใหญ่
แม้ว่าฉันจะมีน้ำตา..ปล่อยฉัน...ไม่เป็นไร",fahrenheit
ไม่ยากหรอก,/music/thailyric/4441,"มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ

คิดหนักเมื่อเขาจะกลับมาหา
คิดหนักจะปฏิเสธเขายังไง
รู้อยู่หรอกว่าจะต้องทำใจแข็ง
มันยังกลัว ๆ ว่าใจจะอ่อนยอมกันไป
จะทำยังไงถ้าเขามาอ้อนวอนขอ (ก็พูดว่าไม่)
ทำยังไงถ้าหากว่าเขาไม่เลิกรา (ก็พูดว่าไม่)
เปลืองอารมณ์ไม่อยากจะเจอกันอีกแล้ว
(ก็พูดว่าไม่ ไม่)(ก็ไม่ต้องเหนื่อยเปลืองเวลา)

อย่างนี้ไม่ยากหรอก ก็นึกว่ามันจะหนักหนา
อย่างนี้แล้วไม่ห่วงหรอกเท่าไรก็เท่ากัน
อย่างนี้ไม่ยากหรอก จะมาเมื่อไรก็เมื่อนั้น
อย่างนี้แล้วก็รู้แล้วก็เกมกันไปเลย

ถามอีกหน่อยช่วยบอกอีกที อีกที อีกทีนะ (ก็พูดว่าไม่)
ถามอีกหน่อยต้องบอกกับเขาว่าอะไร (ก็พูดว่าไม่)
ถามอีกอย่างที่อาจจะเป็นปัญหา (ก็พูดว่าไม่)
ใจเราเองเราจะไปบอกมันยังไง
จะมายังไงก็บอกแค่คำคำนี้ (ก็พูดว่าไม่)
จะมายังไงก็ฝึกเข้าไว้ให้คุ้นเคย (ก็พูดว่าไม่)
มันคงจะดีที่ไม่ต้องพูดกันเยอะ (ก็พูดว่าไม่)
ใจเราเองเราคงจะบอกกันไปเลย

อย่างนี้ไม่ยากหรอก ก็นึกว่ามันจะหนักหนา
อย่างนี้แล้วไม่ห่วงหรอกเท่าไรก็เท่ากัน
อย่างนี้ไม่ยากหรอก จะมาเมื่อไรก็เมื่อนั้น
อย่างนี้แล้วก็รู้แล้วก็เกมกันไปเลย

มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ

รักกันใหม่น่า รักกันใหม่น่า ไม่ต้องคิดมาก รักกันใหม่น่า
ที่แล้วก็ให้แล้ว ที่แล้วก็ให้แล้ว ไปที่แล้วก็ให้ รักกันใหม่น่า
ถึงจะมีคนอื่น ก็แค่มีคนอื่น มันก็ธรรมดาเข้าใจน่า
ก็มารักกันใหม่ เหอะ รักกันใหม่..เหอะน่า

ฮืมมาย่ะนัน นัน น้าว...
ฮืมมาย่ะนัน นัน น้าว...
ฮืมมาย่ะนัน นัน น้าว...
ฮืมมาย่ะนัน นัน น้าว...
(ก็พูดว่าไม่ ก็พูดว่าไม่ ก็พูดว่าไม่
ก็พูดว่าไม่ ไม่ ก็ไม่ต้องบอกให้เปลืองเวลา)

อย่างนี้ไม่ยากหรอก ก็นึกว่ามันจะหนักหนา
อย่างนี้แล้วไม่ห่วงหรอกเท่าไรก็เท่ากัน
อย่างนี้ไม่ยากหรอก จะมาเมื่อไรก็เมื่อนั้น
อย่างนี้แล้วก็รู้แล้วก็เกมกันไปเลย

อย่างนี้ไม่ยากหรอก ก็นึกว่ามันจะหนักหนา
อย่างนี้แล้วไม่ห่วงหรอกเท่าไรก็เท่ากัน
อย่างนี้ไม่ยากหรอก จะมาเมื่อไรก็เมื่อนั้น
อย่างนี้แล้วก็รู้แล้วก็เกมกันไปเลย

มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ ต้องให้ได้อย่างนี้
มันต้องอย่างนี้สิ อย่างนี้สิ",fahrenheit
สิทธิ์ของเธอ,/music/thailyric/4442,"หยุดบอกว่ารักสักทีได้ไหม
ถ้าไม่ได้หมายความเพียงแค่ฉัน
หยุดบอกได้ไหมว่าคิดถึงกัน
คิดถึงทั้งฉันและใครต่อใคร

มันก็สิทธิ์ของเธอ
อยากจะซึ้งจะดีกับใคร
เธอก็ปล่อยฉันไป
ไม่เป็นไรแค่คนๆ เดียว

เมื่อคนอย่างเธอ เท่าไหร่มันก็ไม่พอ
และคนอย่างฉัน ก็ทนรับมันไม่ได้
ให้เธอหมดใจ ใจฉันก็อยากจะได้จากเธอทั้งใจ
รักกันไปส่ง ๆ คงไม่พอ
(ฉันขอ..ลืม)(ฉันขอ..ลา)

อย่าบอกว่าเราจบกันได้ไหม ฮืม...
อย่าทำให้ฉันแย่ไปกว่านี้ ฮื้อ...ฮือ...
อยู่ ๆ กันไปก็คงไม่ดี
พอกันแค่นี้ให้มันจบไป

เธอก็อยู่ของเธอ เป็นที่รักของใครต่อใคร
เธอก็ปล่อยฉันไป ไม่เป็นไรแค่คน ๆ เดียว

เมื่อคนอย่างเธอ เท่าไหร่มันก็ไม่พอ
และคนอย่างฉัน ก็ทนรับมันไม่ได้
ให้เธอหมดใจ ใจฉันก็อยากจะได้จากเธอทั้งใจ
รักกันไปส่งๆ คงไม่พอ
(ฉันขอ..ลืม)(ฉันขอ..ลา)

เมื่อคนอย่างเธอ เท่าไหร่มันก็ไม่พอ
และคนอย่างฉัน ก็ทนรับมันไม่ได้
ให้เธอหมดใจ ใจฉันก็อยากจะได้จากเธอทั้งใจ
รักกันไปส่ง ๆ คงไม่พอ
(ฉันขอ..ลืม)(ฉันขอ..ลา)

เธอก็อยู่ของเธอ
เป็นที่รักของใครต่อใคร
เธอก็ปล่อยฉันไป
ไม่เป็นไรแค่คนๆ เดียว",fahrenheit
เสียใจได้ยินไหม,/music/thailyric/4443,"เพราะว่ารักจึงเปรียบเธอนั้นเป็นดังชีวิต
ก็เพราะว่ารักจึงเปรียบเธอนั้นเป็นดวงใจ
เพราะว่ารักจึงเปี่ยมจึงล้นไปด้วยความหมาย
ทุ่มเททั้งใจทุ่มเททั้งกาย
และหวังให้เป็นดังความฝัน

ไม่คิดว่าเธอจะเปลี่ยนแปรผัน ไปได้เพียงนี้
ไม่คิดว่าเธอจะให้สิ่งนี้เป็นรางวัล
ไม่คิดว่าเธอจะกลับทอดทิ้ง ไปจากใจฉัน
ได้แต่เสียใจ ได้แต่เสียใจ
บอกว่าฉันเสียใจได้ยินไหม

หวังจะเป็นที่พึ่งสุดท้าย ให้กับชีวิต
เมื่อต้องสูญไป เมื่อต้องเสียไป
ฉันก็คล้ายเหมือนคนที่สิ้นหวัง
ฉันกับเธอนับจากวันนี้ เป็นแค่ความหลัง
แต่ยังเสียใจ แต่มันเสียใจ
บอกว่าฉันเสียใจได้ยินไหม

รักเธอมากเกิน รักเธอมากไป
รักเหลือเกิน รักจนไม่มีให้ใคร
หวังจนมากเกิน หวังจนมากไป
สูญเสียเธอ เหมือนจะขาดใจ

หวังจะเป็นที่พึ่งสุดท้าย ให้กับชีวิต
เมื่อต้องสูญไป เมื่อต้องเสียไป
ฉันก็คล้ายเหมือนคนที่สิ้นหวัง
ฉันกับเธอนับจากวันนี้ เป็นแค่ความหลัง
แต่ยังเสียใจ แต่มันเสียใจ
บอกว่าฉันเสียใจได้ยินไหม

รักเธอมากเกิน รักเธอมากไป
รักเหลือเกิน รักจนไม่มีให้ใคร
หวังจนมากเกิน หวังจนมากไป
สูญเสียเธอ เหมือนจะขาดใจ",fahrenheit
