song_name,href,lyric,artist
คนที่แล้วก็พูดแบบนี้,/music/thailyric/8904,"ติดสายไม่ว่างคุย พรุ่งนี้ไม่ว่างเจอ
คนนั้นแค่เพื่อนเธอ อย่าถามอย่าวุ่นวาย
ให้เธอมีเวลาเป็นส่วนตัว บ้างจะได้ไหม

บอกฉันให้ลองห่าง เผื่อเราจะเข้าใจ
ที่เหลือไม่ต้องทาย ก็คุ้นก็เคยอยู่
ทุกอาการที่เป็นจากที่เห็น ฉันก็พอรู้
ว่าต้องเตรียมเผื่อที่ให้ความเสียใจ
จะกี่รายไม่ต่างกันเลย

คนที่แล้วก็พูดอย่างนี้ คนจะทิ้งก็เป็นแบบนี้
ใช้มันทุกทาง หาทุกวิธี
ให้ค่อยๆ ทรมาน คนหมดรักเขาทำอย่างนี้
บอกให้รู้โดยไม่ต้องมีคำว่าเลิกกัน
ไม่ต้องรอให้เธอพูดมัน
ทุกๆ การกระทำบอกฉันให้เตรียม ปวดใจ

แค่ฉันมันน่าเบื่อ แค่เธอมีคนใหม่
แค่คิดว่าเคยใช่ แค่ฉันยังไม่ดี
เพราะต้นเหตุที่คนจะหมดใจ ก็ประมาณนี้
บอกตรงๆ เอาเลยให้ชัดสักที
ไม่จำเป็นต้องรออะไร

คนที่แล้วก็พูดอย่างนี้ คนจะทิ้งก็เป็นแบบนี้
ใช้มันทุกทาง หาทุกวิธี
ให้ค่อยๆ ทรมาน คนหมดรักเขาทำอย่างนี้
บอกให้รู้โดยไม่ต้องมีคำว่าเลิกกัน
ไม่ต้องรอให้เธอพูดมัน
ทุกๆ การกระทำบอกฉันให้เตรียม ปวดใจ

คนที่แล้วก็พูดอย่างนี้ คนจะทิ้งก็เป็นแบบนี้
ใช้มันทุกทาง หาทุกวิธี ให้ค่อยๆ ทรมาน
คนหมดรักเขาทำอย่างนี้
บอกให้รู้โดยไม่ต้องมีคำว่าเลิกกัน
ไม่ต้องพูดว่าไปซักคำ พฤติกรรมที่ทำก็ฟ้องว่าเธอ หมดใจ",faii_am_fine
ใจดีดี,/music/thailyric/9244,"แค่คนธรรมดาคนหนึ่ง ซึ่งธรรมดา
ที่ไม่เคยเข้าตาเธอกว่าทั่วไป
ไม่อ่อนหวานนุ่มนวลอ้อนออดและเอาใจ
เทียบใคร ก็แพ้เขาทุกวัน

มีแต่ความรัก ที่ดีพอมอบให้กัน
ถ้าเธออยากรับมันไป

ให้เธอตัดสินใจ ว่าจะเลือกใคร
ว่าใครที่ธอนั้นต้องการ คนที่ฝันคนสุดท้าย
หากว่าคนรักเธอต้องดีเลิศเลอ
ทุกอย่างก็เสียใจ ฉันมีให้เธอแค่ใจดีๆ

อยากให้เธอนั้นแคร์ เพียงแต่ไม่เคยพูดไป
ได้แต่เจียมหัวใจเราอยู่ทุกที
แอบเปลี่ยนความรักจริงเป็นสิ่งที่ดีๆ
ขอทำเพื่อเธอไปทุกวัน

อาจไม่ถูกรัก ไม่ถูกมองว่าสำคัญ
แต่รู้ฉันทำเพื่อใคร

ให้เธอตัดสินใจ ว่าจะเลือกใคร
ว่าใครที่เธอนั้นต้องการ คนที่ฝันคนสุดท้าย
หากว่าคนรักเธอต้องดีเลิศเลอ
ทุกอย่างก็เสียใจ ฉันมีให้เธอแค่ใจดีๆ

อยากให้เธอนั้นแคร์ เพียงแต่ไม่เคยพูดไป
ได้แต่เจียมหัวใจเราอยู่ทุกที
แอบเปลี่ยนความรักจริงเป็นสิ่งที่ดีๆ
ขอทำเพื่อเธอไปทุกวัน

อาจไม่ถูกรัก ไม่ถูกมองว่าสำคัญ
แต่รู้ฉันทำเพื่อใคร

ให้เธอตัดสินใจ ว่าจะเลือกใคร
ว่าใครที่เธอนั้นต้องการ คนที่ฝันคนสุดท้าย
หากว่าคนรักเธอต้องดีเลิศเลอ
ทุกอย่างก็เสียใจ ฉันมีให้เธอแค่ใจดีๆ

ให้เธอตัดสินใจ ว่าจะเลือกใคร
ว่าใคร ที่เธอนั้นต้องการ คนที่ฝันคนสุดท้าย
หากว่าคนรักเธอต้องดีเลิศเลอ
ฉันคงต้องถอยไป เพราะมีให้เธอแค่ใจดีๆ
ถึงไม่ใช่คนแสนดีฉันก็รักเธอ",faii_am_fine
เปลี่ยนเเฟนหลายหน (ไม่ใช่คนหลายใจ),/music/thailyric/8775,"กว่าจะยอมคบหาใครๆ หัวใจก็ดูถ้วนถี่
แต่ไม่เจอรักแท้สักทีกี่คนที่ผ่านพ้นมา
ต้องถูกมองว่าไม่จริงใจยังไม่ทันไรก็เลิกลา
อย่างกับฉันไม่เสียน้ำตา ไม่เสียใจ

ไม่ว่ารักว่าเลือกคนไหน
ฉันทุ่มลงไปทุกๆ อย่าง
แต่จบทุกครั้งให้ทำอย่างไร

เปลี่ยนแฟนหลายหน ไม่ได้แปลว่าเป็นคนหลายใจ
เจอคนที่ใช่มีใครอยากเปลี่ยนอีกหน
ไม่เคยหลายใจ คบใครแค่ทีละคน
แต่สุดท้ายกี่หนก็โดนทิ้งไป

อยู่คนเดียวไม่ได้นานๆ เหมือนมันจะเป็นกรรมเก่า
ต้องมีแฟนข้างๆ เป็นเงา ก็เลยต้องไขว่คว้ามา
แต่กี่คนที่คล้ายจะดี สุดท้ายก็ดีแค่หน้าตา
เจอะแต่คนแค่คั่นเวลาทุกทีไป

ทุกๆ ครั้งที่จบกับใคร ฉันคิดในใจทุกๆ วัน
มันผิดที่ฉันคนเดียวใช่ไหม

เปลี่ยนแฟนหลายหน ไม่ได้แปลว่าคนหลายใจ
เจอคนที่ใช่มีใครอยากเปลี่ยนอีกหน
ไม่เคยหลายใจ คบใครแค่ทีละคน
แต่สุดท้ายกี่หนก็โดนทิ้งไป

เปลี่ยนแฟนหลายหน ไม่จำเป็นต้องเป็นคนหลายใจ
เจอคนที่ใช่มีใครอยากเปลี่ยนอีกหน
ไม่เคยหลายใจ คบใครแค่ทีละคน
แต่สุดท้ายกี่หนก็โดนทิ้งไป

เปลี่ยนแฟนหลายหน ไม่ได้แปลว่าเป็นคนหลายใจ
แค่รอคนสุดท้ายเท่านั้น",faii_am_fine
ฟ้าลืม,/music/thailyric/9256,"ฟ้ามีตา ให้เจอะกับคนที่หามานาน
แล้วแกล้งกัน ให้จบด้วยความโหดร้าย
ให้เรามาพบกันบนเส้นทาง ที่ต่างกันมากมาย
เกินจะใช้ชีวิตร่วมกัน

ทรมานเมื่อรู้ว่าเรารักกันอยู่
แต่ต่างก็รู้ไม่อาจได้คู่กัน

ฟ้า ทำให้เราเจอะกัน ทำให้เราไหวหวั่น
ให้รักกัน ให้สองเราผูกพันแต่ว่าความเป็นจริง
ฟ้า ลืมว่าเราต่างกัน ลืมว่าคนที่คู่ควรไม่ใช่ฉัน
ฟ้าทำอย่างนั้นทำไม

รักในใจ ไม่อาจให้ใครล่วงรู้ความจริง
ทุกๆ สิ่ง ต้องหลบต้องคอยปิดไว้
อยู่กับความลับยิ่งนานยิ่งเจ็บ
ยิ่งเก็บ ยิ่งช้ำใจ รักแค่ไหนก็ไม่มีวัน

ทรมานเมื่อรู้ว่าเรารักกันอยู่
แต่ต่างก็รู้ไม่อาจได้คู่กัน

ฟ้า ทำให้เราเจอะกัน ทำให้เราไหวหวั่น
ให้รักกัน ให้สองเราผูกพันแต่ว่าความเป็นจริง
ฟ้า ลืมว่าเราต่างกัน ลืมว่าคนที่คู่ควรไม่ใช่ฉัน
ฟ้าทำอย่างนั้นทำไม

ฟ้า ทำให้เราเจอะกัน ฟ้า ลืมว่าเราต่างกัน

ฟ้า ทำให้เราเจอะกัน ทำให้เราไหวหวั่น
ให้รักกัน ให้สองเราผูกพันแต่ว่าความเป็นจริง
ฟ้า ลืมว่าเราต่างกัน ลืมว่าคนที่คู่ควร ไม่ใช่ฉัน
ฟ้าทำอย่างนั้นทำไม

ฟ้าคงลืมว่าฉันก็มีหัวใจ",faii_am_fine
หยุดพูดให้รู้สึกดี,/music/thailyric/9115,"อย่าตบหัว แล้วเอามือมาลูบหลัง
กี่ครั้งที่ฉันนั้นให้อภัย
ได้โปรดเถอะเธอหยุดแก้ตัว
วันนี้ทุกอย่างนั้นสายไป
สายเกินที่จะอดทน

จบได้แล้ว เมื่อเธอยังเผื่อใจไว้
ให้ใครต่อใครมากมายหลายคน
เหตุใดเธอไม่รู้จักพอ
ทั้งที่มีฉันอยู่ทั้งคน
วันนี้จะไม่ทนกับเธออีกแล้ว

หยุดพูดให้รู้สึกดี
อย่าใช้วิธีแสนเก่า เต็มที่ก็แค่บรรเทา
แต่ความปวดร้าวมันยังไม่จางหาย
วันนี้ไม่มีอีกแล้วคะแนนสงสาร
มีแต่น้ำตาหยดสุดท้าย
แทนคำร่ำลาให้คนของหัวใจที่ไม่รักดี

จบได้แล้วเมื่อเธอยังเผื่อใจไว้
ให้ใครต่อใครมากมายหลายคน
เหตุใดเธอไม่รู้จักพอทั้งที่มีฉันอยู่ทั้งคน
วันนี้จะไม่ทนกับเธออีกแล้ว

หยุดพูดให้รู้สึกดี
อย่าใช้วิธีแสนเก่า เต็มที่ก็แค่บรรเทา
แต่ความปวดร้าวมันยังไม่จางหาย
วันนี้ไม่มีอีกแล้วคะแนนสงสาร
มีแต่น้ำตาหยดสุดท้าย
แทนคำร่ำลาให้คนของหัวใจที่ไม่รักดี

แม้หัวใจของฉันจะรักเธอมาก
แต่วันนี้แต่ตอนนี้คนคนนี้
มันเจ็บจนคำว่ารักมันหนักไป

หยุดพูดให้รู้สึกดี
อย่าใช้วิธีแสนเก่า เต็มที่ก็แค่บรรเทา
แต่ความปวดร้าวมันยังไม่จางหาย
วันนี้ไม่มีอีกแล้วคะแนนสงสาร
มีแต่น้ำตาหยดสุดท้าย
แทนคำร่ำลาให้คนของหัวใจที่ไม่รักดี",faii_am_fine
หลอกใช้,/music/thailyric/3750,"อยากลองใจของเธอ แน่นอนแค่ไหน
วัดใจกันสักหน่อย
ปล่อยให้นานยิ่งเสี่ยง ขอเพียงได้รู้
ฉันหรือเธอใครแน่จริง

เพราะเธอทำให้หวั่นใจ ยิ่งวัดใจเธอยิ่งรู้
แอบซ่อนความหลอกลวง ไว้ลึกลึกภายใน
เธอต้องการเพียงหลอกใช้

ตั้งใจทำทุกอย่าง หวังดีต่อเธอ
แล้วเธอทำฉันเจ็บ
เจ็บก็ยอมให้หลอก ไม่เคยบอกใคร
เก็บเอาไว้เพียงผู้เดียว

เพราะเธอทำให้หวั่นใจ ยิ่งวัดใจเธอยิ่งรู้
แอบซ่อนความหลอกลวง ไว้ลึกลึกภายใน
เธอต้องการเพียงหลอกใช้

ตั้งใจทำทุกอย่าง หวังดีต่อเธอ
แล้วเธอทำฉันเจ็บ
เจ็บก็ยอมให้หลอก ไม่เคยบอกใคร
เก็บเอาไว้เพียงผู้เดียว

เพราะเธอทำให้หวั่นใจ ยิ่งวัดใจเธอยิ่งรู้
แอบซ่อนความหลอกลวง ไว้ลึกลึกภายใน
เธอต้องการเพียงหลอกใช้

เพราะเธอทำให้หวั่นใจ ยิ่งวัดใจเธอยิ่งรู้
แอบซ่อนความหลอกลวง ไว้ลึกลึกภายใน
เธอต้องการเพียงหลอกใช้

เพราะเธอทำให้หวั่นใจ ยิ่งวัดใจเธอยิ่งรู้
แอบซ่อนความหลอกลวง ไว้ลึกลึกภายใน
เธอต้องการเพียงหลอกใช้

ต้องการเพียงหลอกใช้",faii_am_fine
จากวันนี้โลกจะมีคนเหงาน้อยลงสองคน,/music/thailyric/3749,"เหมือนอ้างว้างอยู่เพียงลำพังในห้องที่ไร้ประตู
เหมือนต้นไม้ขาดคนมาดูแห้งแล้งลงไปทุกทีทุกที
เหมือนเปลวเทียนอ่อนแรงกำลังยิ่งนานยิ่งดูริบหรี่
เหมือนชีวิตถูกทิ้งในความเงียบงัน

เกือบคิดว่าไม่มีแล้วคนที่เกิดมาเพื่อฉัน
แต่แล้วเธอก็เดินเข้ามา

ความรักของเธอลบคำว่าเหงาและเขียนคำว่าเข้าใจ
ได้รู้ว่าควรหายใจเพื่อใครให้ฉันยิ้มได้อีกคน
จากวันนี้โลกจะมีคนเหงาน้อยลงไปสองคน
ไม่มีแล้วคนที่ใจหม่นๆ เมื่อเรามีกันและกัน

เหมือนว่าห้องได้เจอประตูเปิดมาพบความสวยงาม
เหมือนต้นไม้มีคนรดน้ำให้มันชุ่มชื้นขึ้นมาขึ้นมา
เหมือนเปลวเทียนได้มือประคองป้องลมให้ไฟสว่าง
เหมือนชีวิตได้เจอปลายทางสักที

เกือบคิดว่าไม่มีแล้วคนที่เกิดมาเพื่อฉัน
แต่แล้วเธอก็เดินเข้ามา

ความรักของเธอลบคำว่าเหงาและเขียนคำว่าเข้าใจ
ได้รู้ว่าควรหายใจเพื่อใครให้ฉันยิ้มได้อีกคน
จากวันนี้โลกจะมีคนเหงาน้อยลงไปสองคน
ไม่มีแล้วคนที่ใจหม่นๆ เมื่อเรามีกันและกัน

เกือบคิดว่าไม่มีแล้วคนที่เกิดมาเพื่อฉัน
แต่แล้วเธอก็เดินเข้ามา

ความรักของเธอลบคำว่าเหงาและเขียนคำว่าเข้าใจ
ได้รู้ว่าควรหายใจเพื่อใครให้ฉันยิ้มได้อีกคน
จากวันนี้โลกจะมีคนเหงาน้อยลงไปสองคน
ไม่มีแล้วคนที่ใจหม่นๆ เมื่อเรามีกันและกัน

เกือบคิดว่าไม่มีแล้วคนที่เกิดมาเพื่อฉัน
แต่แล้วเธอก็เดินเข้ามา",faii_am_fine
เหตุผลที่ทนเหงา,/music/thailyric/3751,"มีคนมาถามฉันบ่อย
ว่าทำไมชอบไปไหนคนเดียว
ทนเหงานมานานได้ยังไง
ใครเข้ามา ก็ไม่เคยว่าจะสนใจ
ไม่มีใครรู้เหตุผลจริงๆ

ฉันรู้ว่า ฉันรอเธอ  กลับมาเจอตามคำสัญญากัน
เพราะรักต้องเชื่อใจกันไว้
แต่ละวัน อยู่กับเงา เหงาจับหัวใจ
ข่มใจไว้ทั้งที่มันยากเหลือเกิน

นอนก็ยังข่มตาไม่ลง
คิดมากทุกที ว่าเธอยังดีอย่างเดิมไหม

ยิ่งไกลห่าง ฉันก็ยิ่งห่วง
บอกเลยว่าหวงเธอเหลือเกิน
แต่ฉันขอวัดด้วยหัวใจ
ท่องคำว่ารักไว้ทุกวัน เหตุผลที่ฉันต้องยอมทนเหงาใจ
ก็คือเธอ เพราะรักเธอคือเหตุผล

รู้ คู่เราก็ว่างอยู่ ยิ่งมาดูยิ่งซึมเข้าไปใหญ่
อ้างว้าง เดียวดายแต่ยังหวัง
วันหนึ่งเธอ เธอกลับมาแล้วบอกรักกัน
อีกไม่นานความเหงาจะจางหายไป

นอนก็ยังข่มตาไม่ลง
คิดมากทุกที ว่าเธอยังดีอย่างเดิมไหม

ยิ่งไกลห่าง ฉันก็ยิ่งห่วง
บอกเลยว่าหวงเธอเหลือเกิน
แต่ฉันขอวัดด้วยหัวใจ
ท่องคำว่ารักไว้ทุกวัน เหตุผลที่ฉันต้องยอมทนเหงาใจ
ก็คือเธอ เพราะรักเธอคือเหตุผล

นอนก็ยังข่มตาไม่ลง
คิดมากทุกที ว่าเธอยังดีอย่างเดิมไหม

ยิ่งไกลห่าง ฉันก็ยิ่งห่วง
บอกเลยว่าหวงเธอเหลือเกิน
แต่ฉันขอวัดด้วยหัวใจ
ท่องคำว่ารักไว้ทุกวัน เหตุผลที่ฉันต้องยอมทนเหงาใจ
ก็คือเธอ เพราะรักเธอคือเหตุผล

ที่ทนเหงาก็เพราะเธอคือเหตุผล",faii_am_fine
ข้อแม้ (Promise),/music/thailyric/10952,"ก่อนที่เธอจะบอกรักฉัน ก่อนที่เราตกลงคบกัน
อยากให้เธอยืนยันให้ฉันมั่นใจ

ว่าจะยอมทำตามข้อแม้ ไม่ว่าเกิดอะไรแล้วแต่
เธอยินดีทำตามข้อแม้ฉันได้ไหม

อย่าทำให้ฉันเสียใจ ช่วยเข้าใจฉันวันที่ฉันน้อยใจ
วันที่ไม่มีเหตุผล ก็ขอให้ยอมให้ทนให้ได้
อยู่ข้างๆ ฉันทุกคราว อย่าปล่อยมือฉันวันที่ฉันงี่เง่า
เรียกเธอมานอนมองฟ้า หรือขอให้มานับดาว
อย่าทิ้งให้เหงาทำได้ไหม

ไม่ต้องมีอะไรทั้งนั้น แต่ต้องมีเวลาให้กัน
ต้องการคนดูแลที่ฉันมั่นใจ

ว่าจะยอมทำตามข้อแม้ ไม่ว่าเกิดอะไรแล้วแต่
เธอยินดีทำตามข้อแม้ฉันได้ไหม

อย่าทำให้ฉันเสียใจ ช่วยเข้าใจฉันวันที่ฉันน้อยใจ
วันที่ไม่มีเหตุผล ก็ขอให้ยอมให้ทนให้ได้
อยู่ข้างๆ ฉันทุกคราว อย่าปล่อยมือฉันวันที่ฉันงี่เง่า
เรียกเธอมานอนมองฟ้า หรือขอให้มานับดาว
อย่าทิ้งให้เหงาทำได้ไหม

อย่าทำให้ฉันเสียใจ ช่วยเข้าใจฉันวันที่ฉันน้อยใจ
วันที่ไม่มีเหตุผล ก็ขอให้ยอมให้ทนให้ได้
อยู่ข้างๆ ฉันทุกคราว อย่าปล่อยมือฉันวันที่ฉันงี่เง่า
เรียกเธอมานอนมองฟ้า หรือขอให้มานับดาว
อย่าทิ้งให้เหงาทำได้ไหม

อาจจะไม่มีเหตุผล แต่ถ้าเธอทนให้ได้
จะไม่รักใครนอกจากเธอ",faii_am_fine
ใจคอ (Heartless),/music/thailyric/10791,"อยากให้ดูข้อความเก่าๆ
ที่ยืนยันว่าครั้งหนึ่งเราเคยรักกัน
วันนั้นเธอเคยดีกับฉัน
เธออาจไม่นึกยินดี ที่วันนี้ฉันพูดถึงมัน
แต่อย่าหลอกตัวเองว่ามันไม่เคยมี

ยังไงก็ได้ไป ไม่จำเป็นอะไรต้องรีบหนี
คนที่รอเธอคงมี แต่ว่าคนๆ หนึ่งตรงนี้ไม่เหลือใคร

หมดรักก็แค่พูดลา เธอคงไม่มีปัญหาอะไรให้เจอ
แต่คนที่รักอยู่ คิดดูเถอะ ว่าจะผ่านวันนี้ยังไง
ไม่รู้ทำไมง่ายจัง เธอลบเลือนความหลังด้วยยางลบไหน
คนเคยรักกันมา น้ำตาไม่พอให้ไหล
ก็ช่างมันแค่นั้นใช่ไหม ใจคอ

ไม่มีที่ๆ เราเคยไป ไม่มีวันไหนๆ ที่เดินอยู่ข้างกัน
เมื่อคนที่จำได้มีแต่ฉัน
ยังเก็บทุกเรื่องดีๆ อยู่อย่างนี้เหมือนของสำคัญ
เธออาจจะลืมมัน แต่มันก็เคยมี

คนไปไม่ยากเย็น ไม่มีความจำเป็นต้องเดินหนี
ใจไม่อยู่ก็รู้ดี ต่อให้มีใครตายตรงนี้ก็คงไป

หมดรักก็แค่พูดลา เธอคงไม่มีปัญหาอะไรให้เจอ
แต่คนที่รักอยู่ คิดดูเถอะว่าจะผ่านวันนี้ยังไง
ไม่รู้ทำไมง่ายจัง เธอลบเลือนความหลังด้วยยางลบไหน
คนเคยรักกันมา น้ำตาไม่พอให้ไหล
ก็ช่างมันแค่นั้นใช่ไหม

ใช้เวลากี่ปีที่คบกัน เขาเข้ามาเท่านั้นจะไป
เรื่องของเรา ตั้งมากมาย ไม่มีผลกับใจเลยเหรอ

หมดรักก็แค่พูดลา เธอคงไม่มีปัญหาอะไรให้เจอ
แต่คนที่รักอยู่ คิดดูเถอะว่าจะผ่านวันนี้ยังไง
ไม่รู้ทำไมง่ายจัง ฉันลบเลือนความหลังอย่างเธอไม่ไหว
คนเคยรักกันมา น้ำตาไม่พอให้ไหล
ก็ช่างมันแค่นั้นใช่ไหม ใจคอ

แค่คำพูดดีๆ ก็คงไม่มีใช่ไหม โหดร้ายจริงๆ",faii_am_fine
