song_name,href,lyric,artist
ก็บอกไปแล้วนี่นา,/music/thailyric/4485,"วันนี้ฉันได้ทำเรื่องหนึ่ง
ซึ่งกับฉันมันๆเป็นเรื่องใหญ่
เอ่ยปากออกไป
บอกเธอว่ารักให้เธอรู้
ก็อยากจะห้ามใจ และเก็บเอาไว้ไม่ให้ดู
ไม่ให้รู้ว่าใจฉันคิดยังไง

แค่เห็นว่าเธอมองเขาอยู่
ก็ไม่รู้มีเวลาเท่าไหร่ ถ้าไม่บอกไป
ถ้าปิดเอาไว้ก็กลัวสาย
แต่พอกลับบ้านมา ก็เก็บมาคิดจนวุ่นวาย
ว่าในสายตาเธอจะมองฉันยังไง

ก็บอกไปแล้วนี่น่า
ก็บอกไปแล้วทำอย่างไร
ก็ไม่รู้เธอคิดยังไงไม่รู้
ไม่อยากเก็บไว้ในใจ
ก็เลยบอกไปให้รู้
ก็ไม่รู้ว่าเธอยินดีหรือเปล่า

พรุ่งนี้ถ้าบังเอิญว่าเดิน
เจอกับเธอแล้วจะทำเช่นไร
ถ้าเดินเข้าไป จะต้องวางตัวยังไงนะ
ถ้าเธอไม่สนใจ และไม่หันมามองฉัน
ใจมันไม่รู้จะทนได้ไหม

ก็บอกไปแล้วนี่น่า
ก็บอกไปแล้วทำอย่างไร
ก็ไม่รู้เธอคิดยังไงไม่รู้
ไม่อยากเก็บไว้ในใจ
ก็เลยบอกไปให้รู้
ก็ไม่รู้ว่าเธอยินดีหรือเปล่า

ก็บอกไปแล้วนี่น่า
ก็บอกไปแล้วทำอย่างไร
ก็ไม่รู้เธอคิดยังไงไม่รู้
ไม่อยากเก็บไว้ในใจ
ก็เลยบอกไปให้รู้
ก็ไม่รู้ว่าเธอยินดีหรือเปล่า

ก็บอกไปแล้วนี่น่า
ก็บอกไปแล้วทำอย่างไร
ก็ไม่รู้เธอคิดยังไงไม่รู้
ไม่อยากเก็บไว้ในใจ
ก็เลยบอกไปให้รู้
ก็ไม่รู้ว่าเธอยินดีหรือเปล่า

ได้แต่หวังให้เธอยินดีรับไป",faye_fang_kaew
ยังเป็นดอกไม้ของเธอหรือเปล่า,/music/thailyric/4495,"ได้ เจอ เหมือนเดิมทุกวัน
ทำใมนะตัวฉัน รู้สึกเธอห่างเหิน
สาย ตา เย็นชาเหลือเกิน
ไม่เป็นเหมือนก่อนนี้ ที่เคยดีกับฉัน

เห็นน้ำใสๆไหมที่ตา
ขอถามให้รู้เพราะมันคาที่ใจ

ยังเป็นดอกไม้ของเธออยู่หรือเปล่า (บอกกันสักหน่อย)
รักแล้วทำใมปล่อยเอาไว้ให้น้อยใจ
ยังเป็นคนรักของเธออยู่หรือเปล่า (เริ่มไม่มั่นใจ)
รักแล้วดูแลหน่อยได้ไหม ช้ำจะตายอยู่แล้วเธอ

ไม่ เจอ แต่มีข้อความ
ส่งมาให้กับฉัน แค่วันละหนึ่งครั้ง
เหมือนมัน ยังจะดีกว่า
มาเจอแล้วทำเหมือน อย่างกับไม่มีฉัน

เห็นน้ำใสๆไหมที่ตา
ขอถามให้รู้เพราะมันคาที่ใจ

ยังเป็นดอกไม้ของเธออยู่หรือเปล่า (บอกกันสักหน่อย)
รักแล้วทำใมปล่อยเอาไว้ให้น้อยใจ
ยังเป็นคนรักของเธออยู่หรือเปล่า (เริ่มไม่มั่นใจ)
รักแล้วดูแลหน่อยได้ไหม ช้ำจะตายอยู่แล้วเธอ

ยังเป็นดอกไม้ของเธออยู่หรือเปล่า (บอกกันสักหน่อย)
รักแล้วทำใมปล่อยเอาไว้ให้น้อยใจ
ยังเป็นคนรักของเธออยู่หรือเปล่า (เริ่มไม่มั่นใจ)
รักแล้วดูแลหน่อยได้ไหม ช้ำจะตายอยู่แล้วเธอ

รักแล้วทำใมปล่อยเอาไว้ให้น้อยใจ
ยังเป็นคนรักของเธออยู่หรือเปล่า (เริ่มไม่มั่นใจ)
รักแล้วดูแลหน่อยได้ไหม ช้ำจะตายอยู่แล้วเธอ",faye_fang_kaew
เอ็มเอสเอ็น (MSN),/music/thailyric/4499,"เจอเธอออนเอ็มเมื่อไร เราควรจะแชทเลยม่ะ
หรือต้องแกล้งๆออฟไลน์
ก็คิดจะโทรเข้าไป แต่เธอคงจะรู้ว่าใคร
เพราะ sms ที่ให้ไป

นัดตอนกลางวันกินข้าวเที่ยงด้วยกัน
บอกว่ารักกันได้ไหมนะได้ไหมนะ
can i feel it like that, can i feel it like that
คิดไว้ทุกวันตอนเธอมารับฉัน
ตอนเย็นกลับด้วยกันดีไหมนะดีไหมนะ
can i feel it like that, can i feel it like that

แอบเก็บเธออยู่ในฮาร์ทๆ ข้างในหัวใจ
จนมันเฮิร์ทๆไม่รู้ว่าทำไม โธ่เอ๋ยเรา พูดไม่ออกได้ไง
เก็บอาการอยู่ในฮาร์ทๆ แค่ได้ใกล้เธอ
มันก็เผลอๆแอบส่งเสียงในใจ ว่าเรารักเธอ
อยากให้เธอรู้ต้องทำไง

ใครๆเขาก็ชอบเธอ
ถ้าเกิดเธอไปชอบใคร แล้วฉันจะทำยังไง
แกล้งทำบังเอิญทุกวัน
แกล้งเดินชนกันทุกครั้ง ก็หวังให้เธอหวั่นไหว

นัดตอนกลางวันกินข้าวเที่ยงด้วยกัน
บอกว่ารักกันได้ไหมนะได้ไหมนะ
can i feel it like that, can i feel it like that
คิดไว้ทุกวันตอนเธอมารับฉัน
ตอนเย็นกลับด้วยกันดีไหมนะดีไหมนะ
can i feel it like that, can i feel it like that

แอบเก็บเธออยู่ในฮาร์ทๆ ข้างในหัวใจ
จนมันเฮิร์ทๆไม่รู้ว่าทำไม โธ่เอ๋ยเรา พูดไม่ออกได้ไง
เก็บอาการอยู่ในฮาร์ทๆ แค่ได้ใกล้เธอ
มันก็เผลอๆแอบส่งเสียงในใจ ว่าเรารักเธอ
อยากให้เธอรู้ต้องทำไง

อยากหยุดเวลาไว้นานเท่านาน อยากให้เธอถามให้รักฉันไป
เธอจะมีใจให้กันรึเปล่า ก็อยากจะเหมาว่ามีทั้งใจ
can i feel it like that, can i feel it like that

แอบเก็บเธออยู่ในฮาร์ทๆ ข้างในหัวใจ
จนมันเฮิร์ทๆไม่รู้ว่าทำไม โธ่เอ๋ยเรา พูดไม่ออกได้ไง
เก็บอาการอยู่ในฮาร์ทๆ แค่ได้ใกล้เธอ
มันก็เผลอๆแอบส่งเสียงในใจ ว่าเรารักเธอ
อยากให้เธอรู้ต้องทำไง

ว่ารักเธอ อยากให้เธอรู้ต้องทำไง",faye_fang_kaew
ถามไม่คิด (Silly Question),/music/thailyric/8892,"ยังนั่งร้านเดิม ยังไปที่เดิม
เธอถามว่าฉันทำไมยังไม่ไปหาอะไรใหม่ๆ
ยังเก็บของเดิมที่เธอให้มา
เธอพูดว่าเธอไม่รู้ว่าของชิ้นนั้นฉันชอบอะไร

ทำไมฉันถึงยังไม่มีใคร
ทำไมยังเหงาทุกทีที่เจอ
ทำไมฉันถึงยังไม่ลืมเธอ
ทั้งที่เธอก็ลืมตั้งนานแล้ว

กับสิ่งที่เธอถามฉันจะถามใคร
มันเจ็บที่ถูกทิ้งต้องนานเท่าไหร่
ที่เธออยากรู้ ฉันเองก็อยากรู้
ถ้าฉันถามอย่างนี้

อยากได้เธอคืนต้องทำยังไง
ช่วยตอบฉันหน่อยซิ
คำถามอยากๆ ที่ถามกันกี่ที
ตอบไม่ได้ใช่ไหม

แต่ละค่ำคืนที่ผ่านพ้นมา
นั่งคิดซ้ำๆ ที่เธอน่ะทิ้งฉันไว้ตรงนี้ให้ทรมาน
ทำไมไม่เคยกลับมาถามกัน
ว่าฉันน่ะทนทำใจในความเดียวดายนั้นได้ยังไง

ทำไมฉันถึงยังไม่มีใคร
ทำไมยังเหงาทุกทีที่เจอ
ทำไมฉันถึงยังไม่ลืมเธอ
ทั้งที่เธอก็ลืมตั้งนานแล้ว

กับสิ่งที่เธอถามฉันจะถามใคร
มันเจ็บที่ถูกทิ้งต้องนานเท่าไหร่
ที่เธออยากรู้ ฉันเองก็อยากรู้
ถ้าฉันถามอย่างนี้

อยากได้เธอคืนต้องทำยังไง
ช่วยตอบฉันหน่อยซิ
คำถามอยากๆ ที่ถามกันกี่ที
ตอบไม่ได้ใช่ไหม

แค่คำที่ถามไม่คิดแค่บางคำ
มันอาจทำร้ายใจคนที่คิดอยู่
เธอเข้าใจไหม

กับสิ่งที่เธอถามฉันจะถามใคร
มันเจ็บที่ถูกทิ้งต้องนานเท่าไหร่
ที่เธออยากรู้ ฉันเองก็อยากรู้
ถ้าฉันถามอย่างนี้

อยากได้เธอคืนต้องทำยังไง
ช่วยตอบฉันหน่อยซิ
คำถามอยากๆ ที่ถามกันกี่ที
ตอบไม่ได้ใช่ไหม

กับสิ่งที่เธอถามฉันจะถามใคร
มันเจ็บที่ถูกทิ้งต้องนานเท่าไหร่

อยากได้เธอคืนต้องทำยังไง
ช่วยตอบฉันหน่อยซิ
คำถามอยากๆ ที่ถามกันกี่ที
ตอบไม่ได้ใช่ไหมเธอ",faye_fang_kaew
เลิกกันนะ (Enough),/music/thailyric/9042,"ฉันรักเธอมากนะ เธอน่าจะรู้ดี
นับจนนาทีนี้ ไม่รักใครได้เหมือนเธอ

แต่สุดท้าย ยิ่งรักกันก็ยิ่งเหงา
ใกล้ชิด ก็เหมือนยิ่งห่างไกล
เราต่างความคิด ต่างความฝัน
กันอย่างนั้น เราจะคบ ฝืนคบเพื่ออะไร

ฮืม เลิกกันนะเธอ ก่อนมันจะสายไป
ฮืม เลิกกันนะเธอ ก็เราไม่เข้าใจ
เมื่อฉันยังรักเธอ และเธอก็รักฉัน
ถ้าเรานั้นยังรักกัน เลิกกันเหอะนะเธอ

ตอนที่เธอเป็นเพื่อนฉัน เราคุยกันได้เปิดใจ
ตอนนี้เธอรู้สึกมั้ย ทำไมมันไม่เหมือนเดิม

ก็มันเหมือน ยิ่งรักกันก็ยิ่งเหงา
ใกล้ชิด ก็เหมือนยิ่งห่างไกล
เราต่างความคิด ต่างความฝัน กันอย่างนั้น
เราจะคบ ฝืนคบเพื่ออะไร

ฮืม เลิกกันนะเธอ ก่อนมันจะสายไป
ฮืม เลิกกันนะเธอ ก็เราไม่เข้าใจ
เมื่อฉันยังรักเธอ และเธอก็รักฉัน
ถ้าเรานั้นยังรักกัน เลิกกันเหอะนะเธอ

ถ้ารักแล้วมันต้องพยายามขนาดนั้น
แปลว่าเราจะไปกันได้ก็ลำบาก
ให้คิดถึงเพราะจาก ดีกว่ารักแล้วเจ็บนะ

ฮืม เลิกกันนะเธอ ก่อนมันจะสายไป
ฮืม เลิกกันนะเธอ ก็เราไม่เข้าใจ
เมื่อฉันยังรักเธอ และเธอก็รักฉัน
ถ้าเรานั้นยังรักกัน เลิกกันเหอะนะเธอ",faye_fang_kaew
เลิฟอะฮอลิก (Loveaholic),/music/thailyric/8797,"คิดใช่ไหมที่ยอมให้เธอรับส่ง
คิดว่าฉันนะหลงเธอมากนักสิ
ที่เธอคิดอย่างงี้เธอมั่นใจมากไป

รู้ไหมที่เธอทำไม่ได้พิเศษ
ถ้าเธอยังไม่ยอม Up grade ซะที
มีคนคอยจะทำแทนเธอตั้งมากมาย

ข้องใจ อะไร อะไร อะไร Why
เธอ ทำไม ทำไม ทำไม โลกมันเปลี่ยนไปแล้ว

ถ้าไม่แคร์ ไม่แคร์ ฉันก็มีคนอื่น
เรื่องของเธอ ของเธอ ถ้าไม่จำก็ลืม
แค่ติดความรัก เสพย์ติดความรัก แต่ไม่ได้ติดเธอ

ถ้าไม่แคร์ ไม่แคร์ เดี๋ยวก็มีคนอื่น
เรื่องของเธอ ของเธอ เดี๋ยวมันก็ลืม
ชอบมีความรัก แค่มีความรัก ไม่จำเป็นต้องรักเธอ
Just Love Aholic

ก็แค่ฉันนะ Need คนคอย Take care
ต้องการคนดูแลเอาใจทุกวัน
และไม่ชอบทีต้องคอยนั่งคิดถึงใคร

รู้ไหมที่เธอทำไม่ได้พิเศษ
ถ้าเธอยังไม่ยอม Up grade ซะที
มีคนคอยจะทำแทนเธอตั้งมากมาย

ข้องใจ อะไร อะไร อะไร Why
เธอ ทำไม ทำไม ทำไม โลกมันเปลี่ยนไปแล้ว

ถ้าไม่แคร์ ไม่แคร์ ฉันก็มีคนอื่น
เรื่องของเธอ ของเธอ ถ้าไม่จำก็ลืม
แค่ติดความรัก เสพย์ติดความรัก แต่ไม่ได้ติดเธอ

ถ้าไม่แคร์ ไม่แคร์ เดี๋ยวก็มีคนอื่น
เรื่องของเธอ ของเธอ เดี๋ยวมันก็ลืม
ชอบมีความรัก แค่มีความรัก ไม่จำเป็นต้องรักเธอ
Just Love Aholic

ไม่ใช่ไม่สน ฉันแค่ไม่ทนฉันแค่ไม่ทน
ไม่ใช่ไม่รัก ฉันแค่ไม่ยอมฉันแค่ไม่ยอมเธอ

So What? So What? ไม่ได้ขู่แค่บอกกล่าว
กลัวเธอชะล่าใจเลยบอกข่าว
Oh Oh จะเอาไงถ้ามัน Enough
ถ้าไม่ได้ดั่งใจก็ Move on สิครับ

Baby come on, come on
ฉันก็ไม่ได้คิดว่าเธอผิด แต่รักของเธอยังไม่พอ
I want it more. You're get it?
Straight forward to you Faye อาจดูใจร้ายไปนิดๆ
So sorry. I'm just love Aholic

ถ้าไม่แคร์ ไม่แคร์ ฉันก็มีคนอื่น
เรื่องของเธอ ของเธอ ถ้าไม่จำก็ลืม
แค่ติดความรัก เสพย์ติดความรัก แต่ไม่ได้ติดเธอ

ถ้าไม่แคร์ ไม่แคร์ เดี๋ยวก็มีคนอื่น
เรื่องของเธอ ของเธอ เดี๋ยวมันก็ลืม
ชอบมีความรัก แค่มีความรัก ไม่จำเป็นต้องรักเธอ

ถ้าไม่แคร์ ไม่แคร์ ฉันก็มีคนอื่น
เรื่องของเธอ ของเธอ ถ้าไม่จำก็ลืม

ถ้าไม่แคร์ ไม่แคร์ เดี๋ยวก็มีคนอื่น
เรื่องของเธอ ของเธอ เดี๋ยวมันก็ลืม
ชอบมีความรัก แค่มีความรัก ไม่จำเป็นต้องรักเธอ
Just Love Aholic",faye_fang_kaew
มีสิทธิ์เจ็บถึงเมื่อไหร่ (In The End),/music/thailyric/9955,"มันเริ่มจากความเฉยชาที่มีให้กัน
มันเกิดขึ้นมาไม่นานเมื่อเธอเจอเขา
ฉันรู้ได้ทันที รู้ว่าเรื่องของเรา จะจบอีกไม่นาน

เธออาจยังมีเยื่อใย หรือกลัวแค่ผิด
ไม่ว่าอะไรที่คิดให้ทำอย่างนั้น
รู้ว่าฝืนใจอยู่ เพื่อจะไปสักวัน อย่าปิดบังฉันเลย

ช่วยบอกว่าฉันมีสิทธิ์เจ็บถึงเมื่อไหร่
และอีกนานไหม ที่ได้ยืนข้างๆ เธอ
แค่พูดมาตรงๆ ไม่อยากทำความเข้าใจเยอะ
ที่ฉันขอแค่ความจริง

ช่วยบอกแค่นี้เราจะจบกันเมื่อไหร่
ในวันสุดท้ายที่ไม่เหลือแล้วทุกสิ่ง
วันที่เธอไม่แคร์ ในวันที่เธอตั้งใจทิ้ง
ฉันคงถึงวันสิ้นสุด สิทธิ์ความเสียใจ

ในวันที่เธอให้เขาทุกความรู้สึก
ต่อให้ฉันนึกต้องการเธอมากแค่ไหน
ฉันจะทรมาน ถ้าเธอไม่สนใจ คงต้องเก็บไว้เอง

ช่วยบอกว่าฉันมีสิทธิ์เจ็บถึงเมื่อไหร่
และอีกนานไหม ที่ได้ยืนข้างๆ เธอ
แค่พูดมาตรงๆ ไม่อยากทำความเข้าใจเยอะ
ที่ฉันขอแค่ความจริง

ช่วยบอกแค่นี้เราจะจบกันเมื่อไหร่
ในวันสุดท้ายที่ไม่เหลือแล้วทุกสิ่ง
วันที่เธอไม่แคร์ ในวันที่เธอตั้งใจทิ้ง
ฉันคงถึงวันสิ้นสุด

คนไม่รักไม่ต้องไปคิด จะให้เขาแคร์
สิทธิ์คนแพ้ คือห้ามเรียกร้องให้เธอเห็นใจ
จำเอาไว้

ช่วยบอกว่าฉันมีสิทธิ์เจ็บถึงเมื่อไหร่
และอีกนานไหม ที่ได้ยืนข้างๆ เธอ
แค่พูดมาตรงๆ ไม่อยากทำความเข้าใจเยอะ
ที่ฉันขอแค่ความจริง

ช่วยบอกแค่นี้เราจะจบกันเมื่อไหร่
ในวันสุดท้ายที่ไม่เหลือแล้วทุกสิ่ง
วันที่เธอไม่แคร์ ในวันที่เธอตั้งใจทิ้ง
ฉันคงถึงวันสิ้นสุด สิทธิ์ความเสียใจ
ฉันคงถึงวันสิ้นสุด สิทธิ์ความเสียใจ",faye_fang_kaew
เม้าท์ ทู เม้าท์ (Mouth to Mouth),/music/thailyric/9775,"รู้รึเปล่า (รึเปล่า)
เรื่องที่เธอกำลังคิด สงสัยจะผิด มันไม่จริง (มันไม่จริง)
เห็นรึเปล่า (รึเปล่า)
คนที่เธอเก็บไปคิด ว่าฉันสนิท ไม่ใช่เลย (ไม่ใช่เลย)

ไม่อยากให้เธอเข้าใจฉันผิดไป
เพราะว่าทั้งหัวใจ ฉันมีแต่เธอ
เม้าท์กันไปเถอะ ก็ไม่ชอบจะตอบคำถาม
แต่เธอจะเป็นกับเขาด้วยรึไง

ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
ว่าฉันรักใคร ไม่อยากจะพูดเลย
ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
อยากรู้ใช่ไหม ว่าเรื่องจริง จะเป็นไง
เม้าท์ทูเม้าท์เลยดีกว่า

รู้รึยัง (รึยัง)
เรื่องที่เธอไม่ควรคิด ว่าฉันมีใคร มันไม่จริง (มันไม่จริง)
ซึ้งรึเปล่า (รึเปล่า)
เธอนั่นแหละที่ฉันคิด ว่าฉันสนิท กว่าทุกคนในโลกนี้

ที่เขาพูดกันมา มันก็มากเกินไป ใช่ที่ไหน (ไม่ใช่ไม่ใช่)
ที่ฉันคุยกับใคร ถ้าไม่ใช่เรื่องงาน ก็ที่บ้าน (อะฮ้าฮะฮ้า)
นู่นก็เม้าท์กันจริง นี่ก็บิ๊ลท์กันจัง ช่วยมาถามฉันก่อนได้ไหม
อยากให้รู้จริง อยากให้เม้าท์จริง
ว่าฉันน่ะชอบใคร (ชอบใคร)

ไม่อยากให้เธอเข้าใจฉันผิดไป
เพราะว่าทั้งหัวใจ ฉันมีแต่เธอ
เม้าท์กันไปเถอะ ก็ไม่ชอบจะตอบคำถาม
แต่เธอจะเป็นกับเขาด้วยรึไง

ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
ว่าฉันรักใคร ไม่อยากจะพูดเลย
ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
อยากรู้ใช่ไหม ว่าเรื่องจริง จะเป็นไง

ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
ว่าฉันรักใคร ไม่อยากจะพูดเลย
ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
อยากรู้ใช่ไหม ว่าเรื่องจริง จะเป็นไง
เม้าท์ทูเม้าท์เลยดีกว่า

ถ้าอยากจะเม้าท์ก็มาสิ มาเม้าท์ทูเม้าท์
อยากรู้ใช่ไหม ว่าเรื่องจริง จะเป็นไง
เม้าท์ทูเม้าท์เลยดีกว่า",faye_fang_kaew
เบบี้ บอย (Baby Boy),/music/thailyric/4489,"รู้น่ะเธอคงคิด อย่างงั้นสิ
ว่าเธอน่ะมีสิทธิ์จีบใครก็ได้อ่ะ
ชอบมีแฟนเยอะๆ ก็เอาเหอะคนรักเยอะ
เธอคงอยากให้คนยอมรับตัวเธออ่ะดิ

วางท่า take care ตลอด
เจอฉันทุกทีเธอก็ชอบมาหยอด
เพื่อนฉันทุกคนก็บอก
ว่าใครก็เคยโดนเธอเข้าจีบมาก่อน

I miss you. แล้วยังไงอ่ะ
I want you. ไม่เข้าใจอ่ะ
I love you. ไม่เป็นไรนะ

I miss you. พูดกับใครอ่ะ
I want you. คิดอะไรน่ะ
I love you. เธอเป็นใครอ่ะ

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
ไม่ใช่เพื่อนเล่นเธอเข้าใจมะ
ว่างมากก็ไปเล่นที่อื่นป่ะ

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
พูดเล่นไม่ต้องพูดเข้าใจมะ
รู้ไว้ซะ I'm not your toy!

ฉันก็เห็นฉันก็เห็นเธอยังดู
ดูตัวเองยังไม่ค่อยได้เลย
แล้วจะเอาอะไร อะไรมาดูแลฉันล่ะเธอ
ตอนเธอพูดคำว่ารักพูดเล่นๆ
พูดง่ายๆ เธอสนุกปากเหรอ
ขอโทษทีละกัน ก็ฉันไม่ค่อยสนุกกับเธอ

I miss you. แล้วยังไงอ่ะ
I want you. ไม่เข้าใจอ่ะ
I love you. ไม่เป็นไรนะ

I miss you. พูดกับใครอ่ะ
I want you. คิดอะไรน่ะ
I love you. เธอเป็นใครอ่ะ

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
ไม่ใช่เพื่อนเล่นเธอเข้าใจมะ
ว่างมากก็ไปเล่นที่อื่นป่ะ

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
พูดเล่นไม่ต้องพูดเข้าใจมะ
รู้ไว้ซะ I'm not your toy!

Shake it! Shake it!
Left Right
Shake it! Shake it!
Left Right

ถ้าจะรักกันจริงๆ เธอก็ให้เกียรติกันบ้างดิ
บอกรักคนนี้แล้วอย่าบอกรักคนนั้นสิ
เป็นผู้ใหญ่ไม่ใช่แค่ตัวโตๆ
ใจใหญ่แค่ไหนทำไมไม่ควักมาโชว์

Luv me U must show
Luv me U must show
ถ้าเธอเองจริงใจทำได้อย่างงั้น
เป็นใครเป็นใครก็โอ

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
ไม่ใช่เพื่อนเล่นเธอเข้าใจมะ
ว่างมากก็ไปเล่นที่อื่นป่ะ

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
พูดเล่นไม่ต้องพูดเข้าใจมะ
รู้ไว้ซะ I'm not your toy!

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!

Baby Baby Baby Boy Boy!
Baby Baby Baby Boy Boy!
พูดเล่นไม่ต้องพูดเข้าใจมะ
รู้ไว้ซะ I'm not your toy!

I'm not your toy!
I'm not your toy!
I'm not your toy!",faye_fang_kaew
ไม่คิดแต่รู้สึก (Maybe),/music/thailyric/4493,"วันๆ เอาแต่มอง วันๆ เอาแต่มอง
ทำไมเอาแต่มอง เมื่อไรจะเลิกมอง
ฉันก็เลยต้องมอง ฉันก็เลยต้องมอง
ที่จริงไม่อยากมอง ก็ไม่ได้อยากมอง

เธออย่ามาอย่ามาเข้าข้างตัวเอง
เธออย่ามาอย่ามาเข้าข้างตัวเอง
ใครอะใครอะใครกันแน่ที่เกร็ง
ฉันก็เกร็งก็เกร็งไปงั้นเองแหละ

เธออย่ามาอย่ามาอย่าคิดอย่างงี้
เธออย่ามาอย่ามาอย่าคิดอย่างงั้น
ใครอะใครอะใครกันแน่ที่สั่น
ฉันก็สั่นก็สั่นไปงั้นเองแหละ

ไม่นะ อะ ไม่นะไม่คิดนะ แต่รู้สึก
ดีนะ อะดีนะ มันดีตอน ใจเต้นตึก
ไม่นะ อะ ไม่นะไม่คิดนะ แต่รู้สึก
ดีนะ อะดีนะ มันดีตรง ความรู้สึก

วันๆ เอาแต่โทร วันๆ เอาแต่โทร
ทำไมเอาแต่โทร เมื่อไรจะเลิกโทร
ฉันก็เลยต้องรับ ฉันก็เลยต้องรับ
ที่จริงไม่อยากรับ ก็ไม่ได้อยากรับ

เธออย่ามาอย่ามาเข้าข้างตัวเอง
เธออย่ามาอย่ามาเข้าข้างตัวเอง
ใครอะใครอะใครกันแน่ที่เกร็ง
ฉันก็เกร็งก็เกร็งไปงั้นเองแหละ

เธออย่ามาอย่ามาอย่าคิดอย่างงี้
เธออย่ามาอย่ามาอย่าคิดอย่างงั้น
ใครอะใครอะใครกันแน่ที่สั่น
ฉันก็สั่นก็สั่นไปงั้นเองแหละ

ไม่นะ อะ ไม่นะไม่คิดนะ แต่รู้สึก
ดีนะ อะดีนะ มันดีตอน ใจเต้นตึก
ไม่นะ อะ ไม่นะไม่คิดนะ แต่รู้สึก
ดีนะ อะดีนะ มันดีตรง ความรู้สึก

ไม่นะ อะ ไม่นะไม่คิดนะ แต่รู้สึก
ดีนะ อะดีนะ มันดีตอน ใจเต้นตึก
ไม่นะ อะ ไม่นะไม่คิดนะ แต่รู้สึก
ดีนะ อะดีนะ มันดีตรง ความรู้สึก",faye_fang_kaew
