song_name,href,lyric,artist
Followers,/music/thailyric/15446,"ฉันไม่รู้เลย ว่ามันเกิดขึ้นเมื่อไร
แต่พอเวลาล่วงเลย เธอก็อยู่ในหัวใจ
เรื่องที่เป็นอยู่ ก็ยังไม่ค่อยแน่ใจ
เรื่องที่ฉันพบเจอ มันคือความรักใช่ไหม

รู้ตัวอีกที ไม่อาจละสายตา
เวลาที่มีค่า ทุกวินาที
จะใช้มองเธอ คนนี้คนเดียว

แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ
จะมองกี่ครั้ง ก็ยังหวั่นไหว ก็ไม่รู้ว่าทำไม
แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ
จะมองกี่ครั้ง ก็ยังหวั่นไหว ยอมเธอแล้วทั้งหัวใจ

เมื่อก่อนชีวิตไม่ค่อยจะสนจะแคร์อะไร
ที่มีมือถือ แค่เอาไว้รับ
แค่ไว้โทรหาพูดคุยถึงคนห่างไกล
แต่มาวันนี้ ไม่รู้นิ้วชี้ฉันเป็นอะไร
มันเอาแต่เลื่อนจอดูภาพเธอ
มาตั้งแต่เช้าจนตกดึกแล้วก็ไม่นอน

รู้ตัวอีกที ไม่อาจละสายตา
เวลาที่มีค่า ทุกวินาที
จะใช้มองเธอ คนนี้คนเดียว

แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ
จะมองกี่ครั้ง ก็ยังหวั่นไหว ก็ไม่รู้ว่าทำไม
แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ
จะมองกี่ครั้ง ก็ยังหวั่นไหว ยอมเธอแล้วทั้งหัวใจ

แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ
จะมองกี่ครั้ง ก็ยังหวั่นไหว ก็ไม่รู้ว่าทำไม
แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ
จะมองกี่ครั้ง ก็ยังหวั่นไหว ยอมเธอแล้วทั้งหัวใจ

แค่เพียงเธอยิ้ม แค่เธอหัวเราะ ก็เปลี่ยนแปลงโลกทั้งใบ",fellow_fellow
จูบปาก,/music/thailyric/11445,"ฉันรักเธอ คิดถึงเธอ
พูดไม่รู้กี่ครั้งให้เธอได้ฟัง
แต่เหมือนเธอ ไม่รับมัน
ไม่ว่าพูดกี่ครั้ง เธอไม่สนใจ

เธอยังไม่พร้อมที่จะเชื่อ
คนๆ นี้ใช่ไหม
ไม่เป็นไร เพราะฉันเข้าใจ

คำว่ารักเหมือนเป็นแค่ลมปาก
ไม่มีทางจะซึ้งเหมือนการจูบปาก
อย่างที่ใครเขาทำกัน
แสดงความรักแบบนั้นกับเธอไม่ได้
แค่คำว่าคิดถึงคงไม่พอหรอก
เอาจริงๆ ต้องใช้เวลาและหัวใจ
แต่ว่าเธอจะรู้ ในไม่นาน
ว่าสิ่งที่ฉันพูดไป มันคือความจริง
จะพิสูจน์ให้เห็นเอง

ฉันรู้ตัว ยอมรับมัน
คำที่พูดไปนั้นไม่มีความหมาย
แต่หัวใจ บังคับกัน
ให้ต้องพูดคำนั้นให้เธอได้ฟัง

เธอยังไม่พร้อมที่จะเชื่อ
คนๆ นี้ใช่ไหม
ไม่เป็นไร เพราะฉันเข้าใจ

คำว่ารักเหมือนเป็นแค่ลมปาก
ไม่มีทางจะซึ้งเหมือนการจูบปาก
อย่างที่ใครเขาทำกัน
แสดงความรักแบบนั้นกับเธอไม่ได้
แค่คำว่าคิดถึงคงไม่พอหรอก
เอาจริงๆ ต้องใช้เวลาและหัวใจ
แต่ว่าเธอจะรู้ ในไม่นาน
ว่าสิ่งที่ฉันพูดไป มันคือความจริง
จะพิสูจน์ให้เห็นเอง

พยายามด้วยความจริงใจ
เธอคงเห็นมันในซักวันหนึ่ง
ว่าใครที่รอเพียงเธอไม่เคยไปไหน

แต่ว่าเธอจะรู้ ในไม่นาน
ว่าสิ่งที่ฉันพูดไป มันคือความจริง

จะพิสูจน์ให้เห็นว่าบอกรัก
เหมือนเป็นแค่ลมปาก
ไม่มีทางจะซึ้งเหมือนการจูบปาก
อย่างที่ใครเขาทำกัน
แสดงความรักแบบนั้นกับเธอไม่ได้
แค่คำว่าคิดถึงคงไม่พอหรอก
เอาจริงๆ ต้องใช้เวลาและหัวใจ
แต่ว่าเธอจะรู้ ในไม่นาน
ว่าสิ่งที่ฉันพูดไป มันคือความจริง
จะพิสูจน์ให้เห็นเอง",fellow_fellow
ดีลีต,/music/thailyric/18243,"ลบเธอออกไป ต้องทำเช่นไร
เขาบอกต้องใช้เวลา แต่ต้องอีกนานเท่าไร

กว่าที่ฉันจะลืมทุกอย่าง ที่ทำให้เรารู้จักกัน
คงยากจะเลือนทุกอย่าง ให้จางจากใจฉัน

ไม่ว่าจะลบไปเท่าไร ลบรูปออกไป
ลบไปแค่ไหน แต่เธอยังอยู่ตรงนี้
ลบเธออกไป บล็อกเธอจากใจ
ลบไปแค่ไหน แต่ใจยังไม่ลืมสักที

ลบเธอจากใจ ต้องใช้อะไร
แล้วมันจะยากเกินไปไหม และต้องอีกนานเท่าไร

กว่าที่ฉันจะลืมทุกอย่าง ที่ทำให้เรารู้จักกัน
คงยากจะเลือนทุกอย่าง ให้จางจากใจฉัน

ไม่ว่าจะลบไปเท่าไร ลบรูปออกไป
ลบไปแค่ไหน แต่เธอยังอยู่ตรงนี้
ลบเธออกไป บล็อกเธอจากใจ
ลบไปแค่ไหน แต่ใจยังไม่ลืมสักที

ไม่ว่าจะลบไปเท่าไร ลบรูปออกไป
ลบไปแค่ไหน แต่เธอยังอยู่ตรงนี้
ลบเธออกไป บล็อกเธอจากใจ
ลบไปแค่ไหน แต่ใจยังไม่ลืม

ไม่ว่าจะลบไปเท่าไร ลบรูปออกไป
ลบไปแค่ไหน แต่เธอยังอยู่ตรงนี้
ลบเธออกไป บล็อกเธอจากใจ
ลบไปแค่ไหน แต่ใจยังไม่ลืมสักที",fellow_fellow
ที่สุด,/music/thailyric/18913,"ถ้าถามว่ายังคิดถึงเธออยู่ไหม ที่สุด
ถ้าถามว่าอยากจะเจอเธออยู่ไหม ที่สุด
ถ้าถามว่าฉันยังรักเธออยู่ไหม ที่สุด
ต่อให้ฉันรู้ดี ว่าเธอไม่มีวันกลับคืน

ถ้าจะถาม ว่าอยู่ได้ไหม
ในวันนี้ ที่ไม่มีเธอ
วันเวลา ทุเลาความเหงาให้เบา
ดีขึ้นบ้างแล้ว

โลกที่มันเคยเป็นสีดำ
ในวันนี้ เริ่มเป็นสีเทา
เริ่มจะชิน ที่ตอนตื่นเช้าข้างเรา
ไม่มีเธอแล้ว

แต่ถ้าถามลึกซึ้งเกินไปกว่านั้น
ใจของฉันไม่แข็งแรงขนาดนั้น

ถ้าถามว่ายังคิดถึงเธออยู่ไหม ที่สุด
ถ้าถามว่าอยากจะเจอเธออยู่ไหม ที่สุด
ถ้าถามว่าฉันยังรักเธออยู่ไหม ที่สุด
ต่อให้ฉันรู้ดี ว่าเธอไม่มีวันกลับคืน

เคยคิดถึงใครมากๆ แต่ทำอะไรไม่ได้ไหมอะ
อยากกลับไปใจจะขาด แต่ทำได้เพียงแค่เก็บไว้อะ
เหมือนวิญญาณหลุดจากร่าง เห็นตัวเดินไปข้างหน้า
แต่ใจยังอยู่กับที่ ไม่รู้เป็นผีหรือว่าเป็นบ้า

ถ้าฉันเป็นกินเนสบุ๊ก ฉันคงจะเขียนชื่อเธอในลิสต์
ในฐานะที่เธอนั้นเป็นที่สุด ในทุกๆอย่างของชีวิต
ส่วนฉันนั้นคือที่สุด ในการพยายามหักห้ามหัวใจ
ต้องกัดฟันเดินไปข้างหน้า แม้ว่าคิดถึงเธอมากเพียงใด

แต่ถ้าถามลึกซึ้งเกินไปกว่านั้น
ใจของฉันไม่แข็งแรงขนาดนั้น

ถ้าถามว่ายังคิดถึงเธออยู่ไหม ที่สุด
ถ้าถามว่าอยากจะเจอเธออยู่ไหม ที่สุด
ถ้าถามว่าฉันยังรักเธออยู่ไหม ที่สุด
ต่อให้ฉันรู้ดี ว่าเธอไม่มีวันกลับคืน

ถ้าถามว่ายังคิดถึงเธออยู่ไหม ที่สุด
ถ้าถามว่าอยากจะเจอเธออยู่ไหม ที่สุด
ถ้าถามว่าฉันยังรักเธออยู่ไหม ที่สุด
ต่อให้ฉันรู้ดี ว่าเธอไม่มีวันกลับคืน",fellow_fellow
เธอเหมือนเดือนกุมภา,/music/thailyric/20210,"เธอนั้นเหมือนกับแสงแดดตอนเจ็ดโมงเช้า
เธอเหมือนเพลงใน Playlist ที่ผมฟัง
เธอเหมือนกาแฟไม่ใส่น้ำตาลที่ผมต้องกินทุกวัน
มันเหมือนอะไรที่ผมขาด ไม่ได้

เหมือนเพิ่งเจอไม่นาน เหมือนเพิ่งเจอเมื่อวาน
แล้วทำไมวันนี้กลับคุ้นเคย

ตั้งแต่ที่ได้พบเธอ เธอเปลี่ยนโลกที่ผมเคยพบเจอ
เธอเหมือนเดือนกุมภา (เหมือนเดือนกุมภา)
ตั้งแต่ที่ได้พบเธอ เธอเปลี่ยนโลกที่ผมเคยพบเจอ
เธอเหมือนเดือนกุมภา
เธอคือความรักที่ผมนั้นหามานาน

Feels like 500 days of summer
Feels like about time
Feels like begin again with you

Feels like eternal sunshine
Feels like before sunrise
Feels like valentine's day with you

เธอนั้นเหมือน Croissant จากเตา ที่มันหอมเนย
เธอเหมือนฝนมาพร้อมแดดร้อน ในช่วงบ่าย
เธอนั้นเหมือนรูปจากกล้องฟิล์มที่ถ่ายแล้วคาดเดาไม่ได้
แต่ไม่ว่ายังไง ก็สวยงามเสมอ

เหมือนเพิ่งเจอไม่นาน เหมือนเพิ่งเจอเมื่อวาน
แล้วทำไมวันนี้กลับคุ้นเคย

ตั้งแต่ที่ได้พบเธอ เธอเปลี่ยนโลกที่ผมเคยพบเจอ
เธอเหมือนเดือนกุมภา (เหมือนเดือนกุมภา)
ตั้งแต่ที่ได้พบเธอ เธอเปลี่ยนโลกที่ผมเคยพบเจอ
เธอเหมือนเดือนกุมภา
เธอคือความรักที่ผมนั้นหามานาน

Feels like 500 days of summer
Feels like about time
Feels like begin again with you

Feels like eternal sunshine
Feels like before sunrise
Feels like valentine's day with you",fellow_fellow
พูดอะไรแบบนี้,/music/thailyric/12348,"นี่ฉันได้ยินอะไรผิดไปหรือเปล่า
คำๆ นี้ฉันเองไม่เคยได้ยินว่าเธอ
เคยพูดออกมา
เป็นมุกที่เธอแอบจำใครมาหรือเปล่า
แกล้งแบบนี้ฉันเองบอกเลยว่าตามไม่ทัน
มันไม่ชินเท่าไร

ที่เธอแสดงอารมณ์สายตาจริงจังอย่างนี้
และต่อด้วยคำๆ หนึ่งที่เธอพูดมา
ว่าเลิกกันเถอะ

พูดอะไรแบบนี้ ไม่ดี ไม่ดี
อย่าล้อเล่นกันแบบนี้ ไม่ดี ไม่ดี
เฉลยความจริงให้รู้ สักที
หยุดได้แล้วพอทีกับคำนี้
ช่วยเปลี่ยนเป็นคำที่ทำให้ชื่นใจ
ว่าสิ่งที่เธอพูดมาไม่ใช่ความจริง

เธอหวังให้ฉันเอาใจใส่เธอหรือเปล่า
แค่บอกฉันว่ามีสิ่งใดที่เธอต้องการ
จะยอมทำให้เลย

ไม่ใช่แสดงอารมณ์สายตาจริงจังอย่างนี้
และต่อด้วยคำๆ หนึ่งที่เธอพูดมา
ว่าเลิกกันเถอะ

พูดอะไรแบบนี้ ไม่ดี ไม่ดี
อย่าล้อเล่นกันแบบนี้ ไม่ดี ไม่ดี
เฉลยความจริงให้รู้ สักที
หยุดได้แล้วพอทีกับคำนี้
ช่วยเปลี่ยนเป็นคำที่ทำให้ชื่นใจ
ว่าสิ่งที่เธอพูดมาไม่ใช่ความจริง

อย่าทำให้ฉันนั้นต้องเข้าใจอะไรผิดไป
ถ้าไม่อยากให้เรื่องของเราสองคนต้องรุนแรงไปกว่านี้
ถ้าจะแกล้งฉัน ช่วยคิดถ้อยคำดีๆ ได้ไหม
ที่ไม่ใช่ถ้อยคำที่เธอพูดมา
ว่าเลิกกันเถอะ

พูดอะไรแบบนี้ ไม่ดี ไม่ดี
อย่าล้อเล่นกันแบบนี้ ไม่ดี ไม่ดี
เฉลยความจริงให้รู้ สักที
หยุดได้แล้วพอทีกับคำนี้
ช่วยเปลี่ยนเป็นคำที่ทำให้ชื่นใจ
ว่าสิ่งที่เธอพูดมาไม่ใช่ความจริง

พูดอะไรแบบนี้ ไม่ดี ไม่ดี
อย่าล้อเล่นกันแบบนี้ ไม่ดี ไม่ดี
เฉลยความจริงให้รู้ สักที
หยุดได้แล้วพอทีกับคำนี้
ช่วยเปลี่ยนเป็นคำที่ทำให้ชื่นใจ
ว่าสิ่งที่เธอพูดมาไม่ใช่ความจริง",fellow_fellow
เพลงส่วนบุคคล,/music/thailyric/11777,"ในวันที่ฉันได้พบใครสักคน
และเขาได้มีอิทธิพลในสายตา
ฉันได้แค่คิดไปว่า
แค่สบสายตาได้แค่นี้ ยังไม่พอใจ

ก็ติดที่ตรงฉันเองยังคงไม่กล้า
ถ้าอยู่กับคนที่มากเกินจะสู้หน้า
ฉันยังแอบเขินในใจ
ไม่กล้าเข้าไป กลัวจะอาย โดนเขานินทา

จังหวะยังดูไม่ดีเท่าไร
สถานการณ์ไม่เป็นดังใจ
อยากขอสักห้านาทีได้ไหม
ให้บทเพลงนี้พูดแทนจากใจ

เปิดเพียงลำพัง โปรดอย่าให้ใครเขาฟัง
ให้เธอเพียงเท่านั้น
ลองฟังเบาๆ ในตอนนี้

แค่มีบางคำ อยากบอกให้เธอรู้สักที
ว่าฉันนั้นคิดกับเธอเช่นไร
เธอจะยอมรับความจริงได้ไหม
ถ้าฉันบอกรักเธอ

จังหวะยังดูไม่ดีเท่าไร
สถานการณ์ไม่เป็นดังใจ
ช่วยฟังเพลงนี้อีกรอบหนึ่งได้ไหม
ก่อนที่เธอนั้นจะตัดสินใจ

เปิดเพียงลำพัง โปรดอย่าให้ใครเขาฟัง
ให้เธอเพียงเท่านั้น
ลองฟังเบาๆ ในตอนนี้

แค่มีบางคำ อยากบอกให้เธอรู้สักที
ว่าฉันนั้นคิดกับเธอเช่นไร
เธอจะยอมรับความจริงได้ไหม

เปิดเพียงลำพัง โปรดอย่าให้ใครเขาฟัง
ให้เธอเพียงเท่านั้น
ลองฟังเบาๆ ในตอนนี้

แค่มีบางคำ อยากบอกให้เธอรู้สักที
ว่าฉันนั้นคิดกับเธอเช่นไร
เธอจะยอมรับความจริงได้ไหม
ถ้าฉันบอกรักเธอ

ถ้าฉันบอกรักเธอ",fellow_fellow
แพ้ทุกที (Looper),/music/thailyric/15364,"ต้องทำยังไงให้เธอนั้นมองมาที่ฉัน
ต้องพยายามแค่ไหนให้เธอนั้นมาสนใจ
ต้องยอมเปลี่ยนแปลงตัวเองเพื่อเธอสักเท่าไร
ที่พอจะทำให้เรื่องของเรานั้นมันดีขึ้นมา

รู้ดีว่าฉันควรถอดใจ
รู้ดีว่าฉันควรปล่อยเธอไป
แต่ก็ไม่รู้ทำไม ฉันเป็นแบบนี้

เบื่อตัวเอง รัก คนที่เขาไม่รัก ทำไม
รัก โดยที่ เราก็รู้ต้องเสียใจ
ทั้งที่ฉันควรจะเดินหนีไป
แต่ก็แพ้ให้เธอ

เธอกับฉัน ในวันนั้นถ้าไม่เจอกันแต่แรกก็คงจะดี
ในวันนี้ตัวฉันคงไม่ต้องเป็นขนาดนี้
เคยเข้มแข็ง เคยชนะ เคยที่จะกล้าเผชิญทุกอย่าง
แต่วันนี้ตัวฉันกลับแพ้ให้เธอทุกทาง

รู้ดีว่าฉันควรถอดใจ
รู้ดีว่าฉันควรปล่อยเธอไป
แต่ก็ไม่รู้ทำไม ฉันเป็นแบบนี้

เบื่อตัวเอง รัก คนที่เขาไม่รัก ทำไม
รัก โดยที่ เราก็รู้ต้องเสียใจ
ทั้งที่ฉันควรจะเดินหนีไป
แต่ก็แพ้ให้เธอ ทุกที

เบื่อตัวเอง รัก คนที่เขาไม่รัก ทำไม
รัก โดยที่ เราก็รู้ต้องเสียใจ
ทั้งที่ฉันควรจะเดินหนีไป
แต่ก็แพ้ให้เธอ

รัก คนที่เขาไม่รัก ทำไม
รัก โดยที่ เราก็รู้ต้องเสียใจ
ทั้งที่ฉันควรจะเดินหนีไป
แต่ก็แพ้ให้เธอ

รักคนที่เขาไม่รัก
รักคนที่เขาไม่รัก
ทั้งที่ฉันควรจะเดินหนีไป
แต่ก็แพ้ให้เธอ ทุกที",fellow_fellow
เมษา (Maysa),/music/thailyric/16224,"อีกครั้งที่เวลา
ได้วนเวียนมา จนถึงในเดือนเมษา
ครบรอบในวันที่เธอลา
ที่เธอนั้นจะมา ในความทรงจำอีกครั้ง
เรื่องราวดีๆ ในเมื่อวาน
ที่ดูเลือนราง จะย้อนคืนในความฝัน
เหมือนช่วงเวลาคอยบรรเทา
บาดแผลในใจเรา ที่ไม่มีเธออีกแล้ว

จริงที่มันก็เนิ่นนาน ที่เราพรากจาก
ไม่นานพอให้ฉันลืม เธอสักครั้ง

วันนี้ที่ไม่ได้พบเจอกัน
เธอคิดถึงฉันบ้างไหม หรือเธอจะมีใครให้มอง
จะมีใครให้แคร์ มีคนมาแทนที่ฉัน
แต่เธอจะคิดยังไงก็ไม่เป็นไร แค่ขอให้รู้เอาไว้
ความจริงมันเป็นเช่นไร แต่เรายังรักกัน
อยู่ในฝันของฉันอยู่เลย

Hey ตอนนี้ฉันติดอยู่ในอีกหนึ่งมิติ
ที่เส้นของเรามันยังไม่ได้ถูกขีด
เลือดในหัวใจมันยังคงสูบฉีด
ไม่มีหยดน้ำตาไม่มีใครถูกบีบ
ฉันหยุดเวลาไว้ในฝัน และก็อยู่แค่ในนั้น
ไม่กล้าลืมตาเพราะว่ากลัวเธอจะหาย
ทุกครั้งที่เธอมามันช่างดูมีความหมาย

เหมือนฉันเป็นบ้าอยู่บนโลกที่ไม่จริง
โลกที่ฉันสร้าง ให้รักเรายังอิน
รู้ทั้งรู้ว่าทุกอย่างนั้นมันปลอม
แต่ก็มีความสุขอยู่ในภาพที่จำลอง
รู้สึกและสัมผัสได้ทั้งหมด
ความจริงใจหรือว่าคำโกหก
เพราะในความฝันนั้น ฉันเป็นคนเขียนบท
ที่จะเขียนเรื่องเรา ให้ไม่มีวันจบ

วันนี้ที่ไม่ได้พบเจอกัน
เธอคิดถึงฉันบ้างไหม หรือเธอจะมีใครให้มอง
จะมีใครให้แคร์ มีคนมาแทนที่ฉัน
แต่เธอจะคิดยังไงก็ไม่เป็นไร แค่ขอให้รู้เอาไว้
ความจริงมันเป็นเช่นไร
แต่เรายังรักกัน อยู่ในฝันของฉัน

เธออยู่กับฉันเหมือนเดิม
ยังอยู่ตรงนี้เหมือนเดิม ไม่มีคืนไหนสักคืน
ที่เธอนั้นจากไป ยังเป็นแบบนี้เหมือนเดิม
และไม่รู้จะนานสักแค่ไหน

วันนี้ที่ไม่ได้พบเจอกัน เธอคิดถึงฉันบ้างไหม

วันนี้ที่ไม่ได้พบเจอกัน
เธอคิดถึงฉันบ้างไหม หรือเธอจะมีใครให้มอง
จะมีใครให้แคร์ มีคนมาแทนที่ฉัน
แต่เธอจะคิดยังไงก็ไม่เป็นไร แค่ขอให้รู้เอาไว้
ความจริงมันเป็นเช่นไร
แต่เรายังรักกัน อยู่ในฝันของฉันอยู่เลย

อีกครั้งที่เวลาได้วนเวียนมา
จนถึงในเดือนเมษา
อีกครั้งที่เวลาได้วนเวียนมา
จนถึงในเดือนเมษา",fellow_fellow
ไม่สนิทอย่าทัก,/music/thailyric/16749,"เราไม่ได้สนิทกันแล้ว อย่ามาทักกันเลย
เรานั้นไม่ได้เกี่ยวกันแล้ว อย่ามารบกวนเลย
เราไม่ควรได้เจอกันแล้ว อย่าทำร้ายกันเลย
เราไม่ได้รู้จักกันแล้ว อย่ารื้อฟื้นมันเลย

กว่า ที่ฉันนั้นจะพร้อม กล้าลบรูปเธอในโทรศัพท์ฉัน
มันต้องพยายาม คอยฝืนหัวใจตัวเองอยู่พันครั้ง
อดหลับอดนอนมานานเท่าไร กับการที่ฉันนั้นจะลืมแค่เธอ
กว่า ที่ฉันนั้นจะพร้อม พยุงร่างกายให้เดินได้อีกครั้ง
ต้องเจ็บต้องหกล้ม วนเวียนทุรนทุรายเป็นพันครั้ง
จนในวันนี้ฉันพร้อมเริ่มใหม่ ฉุดตัวเองขึ้นมาจากความเสียใจ

และชีวิตจากนี้ ถ้ามีฉันอยู่ต้อง ไม่มีเธอ

เราไม่ได้สนิทกันแล้ว อย่ามาทักกันเลย
เรานั้นไม่ได้เกี่ยวกันแล้ว อย่ามารบกวนเลย
เราไม่ควรได้เจอกันแล้ว อย่าทำร้ายกันเลย
เราไม่ได้รู้จักกันแล้ว อย่ารื้อฟื้นมันเลย

เธอนั้นอย่าทำเป็นเหมือนว่าลืมเรื่องราวที่เกิดขึ้นวันนั้น
ในวันที่ฉันนั้นขอร้องให้เธอไม่เดินไปจากฉัน
แต่เธอก็เลือกจะทิ้งฉันไป
ไปกับใครอีกคนต้องการเริ่มใหม่
พอในวันนี้ฉันเริ่มพยุงร่างกายให้เดินได้อีกครั้ง
อยู่ดีๆ เธอก็กลับเข้ามาในชีวิตของฉัน
เธอบอกว่าเธอนั้นเป็นคนใหม่
แต่เผอิญวันนี้ฉันตัดสินใจ

ว่าชีวิตจากนี้ ถ้ามีฉันอยู่ต้อง ไม่มีเธอ

เราไม่ได้สนิทกันแล้ว อย่ามาทักกันเลย
เรานั้นไม่ได้เกี่ยวกันแล้ว อย่ามารบกวนเลย
เราไม่ควรได้เจอกันแล้ว อย่าทำร้ายกันเลย
เราไม่ได้รู้จักกันแล้ว อย่ารื้อฟื้นมันเลย

และชีวิตจากนี้ถ้ามีฉันอยู่ต้องไม่มีเธอ
และชีวิตจากนี้ถ้ามีฉันอยู่ต้องไม่มีเธอ

เราไม่ได้สนิทกันแล้ว อย่ามาทักกันเลย
เรานั้นไม่ได้เกี่ยวกันแล้ว อย่ามารบกวนเลย
เราไม่ควรได้เจอกันแล้ว อย่าทำร้ายกันเลย
เราไม่ได้รู้จักกันแล้ว อย่ารื้อฟื้นมันเลย

อย่ารื้อฟื้นมันเลยดีกว่า",fellow_fellow
