song_name,href,lyric,artist
คลื่นใจ,/music/thailyric/4449,"กำไว้นะหัวใจฉัน
รู้ไว้นะฉันมีให้เธอ
ไม่มีทางจะไปเผลอ
เผลอเอาไปให้ใคร

จำไว้นะนี่ใจฉัน
ถึงตัวฉันจะอยู่ไหน
ยังมีเธอได้ยินไหม
ใจยังส่งสัญญาณ..

ไกล..ห่างกันไปลับฟ้า
เธอห่วง.. ถ้าหากใจห่างไกลกัน
แล้วฉันจะเปลี่ยน
ก็เข้าใจว่าเธอรักก็เลยหวั่น
กลัวใจฉันไม่มั่นคง

รัก..รักเธอเท่าไหร่ ฉันไม่รู้
แต่รู้ แค่รักเธอไม่เคยจะรักใคร

ฟัง..หลับตาลงสักนิด
ลองฟัง..ว่ามีแรงสั่นสะเทือน
ให้เธอสัมผัส
นั่นคือใจที่คิดถึงแค่เธอ
ส่งมาให้เธอมั่นใจ

รู้ว่าเราห่าง
แต่เรามีคลื่นใจ ส่งให้ใจถึงกัน",film_rattapoom
เจ็บไหมอย่าถาม,/music/thailyric/4455,"พอจะรู้ว่าขาเป็นใคร แต่ไม่ได้ไปสนใจเพราะเธอบอกฉัน
เธอลืมเขาแล้วถึงมาคบกัน เชื่ออย่างนั้นอยู่ทุกวินาที

ดูเธอก็เหมือนไม่มีอะไร ไม่ทำให้ฉันสงสัยตอนที่เจอเขา
จนมาได้เห็นเธอยังเก็บรูปเขา ในกระเป๋าฉันถึงได้เข้าใจ

ถ้าเธอบอกฉันซักคำ คงไม่เป็นไรหรอกแค่นี้
แต่ที่มันรู้สึก ก็เพราะเธอนั้นปิดไว้

อย่าให้ต้องพูดเลยเธอว่าเจ็บไหม ที่รู้ในใจเธอยังแอบมีเขา
ไม่ควรทำแบบนี้รู้รึเปล่า ฉันเสียใจมากนะ ยังรักเขาทำไมไม่บอกฉัน

จะช่วยปลอบโยนหัวใจเธอด้วยซ้ำ ไม่จำเป็นเลยต้องทำเป็นปิดบังไว้
ต่อไปขอร้องอย่าทำอีกได้ไหม ทำอย่างนี้เห็นไหมฉันปวดร้าว

ถ้าเธอบอกฉันซักคำ คงไม่เป็นไรหรอกแค่นี้
แต่ที่มันรู้สึก ก็เพราะเธอนั้นปิดไว้

อย่าให้ต้องพูดเลยเธอว่าเจ็บไหม ที่รู้ในใจเธอยังแอบมีเขา
ไม่ควรทำแบบนี้รู้รึเปล่า ฉันเสียใจมากนะ ยังรักเขาทำไมไม่บอกฉัน

ยังรักเขาทำไมไม่บอกฉัน",film_rattapoom
เซย์ ไฮ!,/music/thailyric/4458,"มาช้อปเหรอครับ? happy berry เหรอครับ?
จะ center point หรือ banana dj สยาม
หรือโบนันซ่า?
มากินข้าวเหรอครับ? นั่ง to sit หรือ noodie
บาสกินร็อบบิ้น โอ บอง แปง
จะ new light หรือ iberry?

น่ารักจนไม่อยากเกรงใจ
ก็ยิ้มคุณมันสดใส ยังงี้ต้องรู้จักกันไว้
อยู่แถวไหน คุณเป็นคนแถวไหน
อยู่แถวไหน จะได้ทักทายกัน
อยู่แถวไหน บ้านหน่ะอยู่แถวไหน
บอกได้ไหม จะได้คุ้นเคยกัน

อยู่แถวไหน คุณเป็นคนแถวไหน
อยู่แถวไหน จะได้ดูแลกัน
อยู่แถวไหน คุณหน่ะอยู่แถวไหน
แล้วสะดวกแถวไหน จะได้นัดเจอกัน

ว่างๆ คุณชอบหยิบอะไรมาอ่าน
Hamburger หรือ A day
หรือเล่มไหนที่โอเค ไม่ลังเล
ไม่ว่านะครับ แค่อยากรู้จัก ที่เข้ามาทัก
แค่อยากจะถามว่าคุณหน่ะชอบอะไรครับ?

Hip hop indy มาเรียนเต้น หรือเทควันโด้?
หรือชอบเลี้ยงโกลเด้น ไปซอย 4 หรือ เอสคูโด้?
ดู MTV หรือ Channel V ชอบ On line หรือ Party?
ถ้าไม่รีบไปไหน สัพเพเหระกันหน่อยเป็นไร

น่ารักจนไม่อยากเกรงใจ
ก็ยิ้มคุณมันสดใส ยังงี้ต้องรู้จักกันไว้
อยู่แถวไหน คุณเป็นคนแถวไหน
อยู่แถวไหน จะได้ทักทายกัน
อยู่แถวไหน บ้านหน่ะอยู่แถวไหน
บอกได้ไหม จะได้คุ้นเคยกัน

อยู่แถวไหน คุณเป็นคนแถวไหน
อยู่แถวไหน จะได้ดูแลกัน
อยู่แถวไหน คุณหน่ะอยู่แถวไหน
แล้วสะดวกแถวไหน จะได้นัดเจอกัน

(RAP)

น่ารักจนไม่อยากเกรงใจ
ก็ยิ้มคุณมันสดใส ยังงี้ต้องรู้จักกันไว้
อยู่แถวไหน คุณเป็นคนแถวไหน
อยู่แถวไหน จะได้ทักทายกัน
อยู่แถวไหน บ้านหน่ะอยู่แถวไหน
บอกได้ไหม จะได้คุ้นเคยกัน

อยู่แถวไหน คุณเป็นคนแถวไหน
อยู่แถวไหน จะได้ดูแลกัน
อยู่แถวไหน คุณหน่ะอยู่แถวไหน
แล้วสะดวกแถวไหน จะได้นัดเจอกัน

ดู่ด้าวๆ ดะดะดูด้าวๆ
ดู่ด้าวๆ ดะดะดูด้าว
ดู่ด้าวๆ ดะดะดูด้าวๆ
ดู่ด้าวๆ ดะดะดูด้าว",film_rattapoom
ที่ที่เรารักกัน,/music/thailyric/4462,"มันคงสายไปแล้วใช่ไหม
ที่จะหวังได้หัวใจเธอกลับมา
ก็เอาเถอะ ไม่เป็นไร
จะไม่ให้เห็นน้ำตา
เธอจะได้จากไปอย่างไม่ต้องกังวล

ดูแลให้ดีรักกับเขา
อย่าเก็บไปคิดเรื่องของเราให้สับสน
อย่าห่วงว่าฉันเป็นไง  ถ้าไม่มีเธอสักคน
ไม่เป็นไรหรอกนะ บอกเธอเลยว่าฉัน

จะอยู่ตรงนี้ ตรงที่ที่เรารักกัน
ได้พบเธอในหัวใจอยู่ทุกวันก็เพียงพอแล้วไง
จะเป็นอย่างนี้  ไม่ว่าจะนานเท่าไร
ตรงที่ที่เป็นของเธอในหัวใจ  ยังไงก็จะเว้นว่างเอาไว้
ไม่ให้ใครมาแทนที่เธอ

ยินดีถ้าเห็นเธอสดใส
แต่หากวันไหนเสียน้ำตาและหมดหวัง
ก็อยากให้รู้ว่าเธอ  ไม่เคยถูกทิ้งลำพัง
เพียงแค่มองกลับมาเธอจะเห็นว่าฉัน

จะอยู่ตรงนี้ ตรงที่ที่เรารักกัน
ได้พบเธอในหัวใจอยู่ทุกวันก็เพียงพอแล้วไง
จะเป็นอย่างนี้  ไม่ว่าจะนานเท่าไร
ตรงที่ที่เป็นของเธอในหัวใจ  ยังไงก็จะเว้นว่างเอาไว้
ไม่ให้ใครมาแทนที่เธอ

จะอยู่ตรงนี้ ตรงที่ที่เรารักกัน
ได้พบเธอในหัวใจอยู่ทุกวันก็เพียงพอแล้วไง
จะเป็นอย่างนี้  ไม่ว่าจะนานเท่าไร
ตรงที่ที่เป็นของเธอในหัวใจ  ยังไงก็จะเว้นว่างเอาไว้
ไม่ให้ใครมาแทนที่เธอ",film_rattapoom
เบบี้ เบบี้,/music/thailyric/4463,"เหมือนไม่รู้สึกเลย ถ้าเธอไปไม่เท่าไหร่
ใช้ชีวิตต่อไป แบบคนเดียวเหมือนเก่า
คบเพื่อน เจอผู้คน อ่านหนังสือ
ฟังเพลงแค่นี้ก็ไม่เหงา แต่รู้ไหมคนดี

ตลอดเวลาที่ดูเหมือนยังเข้มแข็ง
หัวใจจริงๆ อ่อนแอและร่ำร้อง

เบบี้ เบบี้ เบ.. เธอจะกลับมาได้ไหม
ใจที่ไม่มีใคร มันเรียกร้องให้พาเธอกลับมาหา
เบเบี้ เบบี้ เบ..รู้เมื่อวันที่สายไป ว่ารักเธอ
อยากให้เธอได้ยินเสียงความรู้สึก ฉัน..
หากถ้าวันนึงพบกัน จะอ้อนวอน
(อ้อนวอนให้เธอกลับมา)ทุกความในใจ

เห็นค่าใครสักคน ก็ในวันที่ไม่อยู่
ไม่เคยก็ไม่รู้ ว่ามันมองไม่เห็นทาง
เสียงหัวเราะจากเธอ
ทำให้ฉันลืมความทุกข์ได้ตั้งกี่ครั้ง
ได้แต่ถอนหายใจ

ตลอดเวลาที่ดูเหมือนยังเข้มแข็ง
หัวใจจริงๆ อ่อนแอและร่ำร้อง

เบบี้ เบบี้ เบ.. เธอจะกลับมาได้ไหม
ใจที่ไม่มีใคร มันเรียกร้องให้พาเธอกลับมาหา
เบเบี้ เบบี้ เบ..รู้เมื่อวันที่สายไป ว่ารักเธอ
อยากให้เธอได้ยินเสียงความรู้สึก ฉัน..
หากถ้าวันนึงพบกัน จะอ้อนวอน
(อ้อนวอนให้เธอกลับมา)ทุกความในใจ

เบบี้ เบบี้ เบ.. เธอจะกลับมาได้ไหม
ใจที่ไม่มีใคร มันเรียกร้องให้พาเธอกลับมาหา
เบเบี้ เบบี้ เบ..รู้เมื่อวันที่สายไป ว่ารักเธอ
อยากให้เธอได้ยินเสียงความรู้สึก ฉัน..
หากถ้าวันนึงพบกัน จะอ้อนวอน
(อ้อนวอนให้เธอกลับมา)ทุกความในใจ",film_rattapoom
ไม่สัญญา,/music/thailyric/4472,"ฉันรู้ว่าเธอยังเหมือนไม่มั่นใจ ที่เรานั้นรักกัน
มันจะดีหรือเลวร้ายจะจบแบบไหนกัน
เหมือนวันนี้เธออยากขอ ถ้อยคำที่ฟังแล้วยืนยัน
ว่าเราจะไปด้วยกันถึงเมื่อไหร่

ใจจริงเรื่องวันพรุ่งนี้เป็นอย่างไร ก็ยังไม่แน่ใจ
เมื่อขอบฟ้ายังเปลี่ยนสีโลกยังเปลี่ยนทุกวัน
เมื่อต้นไม้ยังมีล้ม ผืนดินยังเคยต้องแยกกัน
กับวันพรุ่งนี้เป็นไง

ไม่สัญญา ว่าฉันจะยืนจะเคียงข้างเธอได้นานเท่าไร
ก็ยังไม่มั่นใจ แค่รู้ว่าทุกนาทีที่ตัวฉันเองยังอยู่
ก็รู้ว่าจะยืนอยู่ข้างๆเธอ

เวลาไม่ว่าจะเหลือสักเท่าไร ก็อย่าไปสนใจ
แค่วันนี้ที่เรามีจะอยู่เพื่อรักกัน
ให้ความรักนับจากนี้ ให้มันงดงามขึ้นทุกวัน
เท่านี้ที่ฉันจะพอให้สัญญา

ไม่สัญญาว่าฉันจะยืน จะเคียงข้างเธอได้นานเท่าไร
ก็ยังไม่มั่นใจ แค่รู้ว่าทุกนาทีที่ตัวฉันเองยังอยู่
ก็รู้ว่าจะยืนอยู่จะรักเธอ และขอทำดีเพื่อเธอเป็นคนของเธอต่อไป
ทั้งหมดของหัวใจก็ยกให้เธอคนเดียว ฉันยอมให้เธอทุกอย่าง
เท่านี้ที่ฉันจะพอให้สัญญา

ไม่สัญญา",film_rattapoom
ตรงนี้..ที่หัวใจ (Loveless Romeo),/music/thailyric/4459,"ความรักที่ให้เธอ ถูกบังด้วยสายตา
ถ้าเธอไม่หยุดหา ก็คงไม่อาจเห็น
คอยเติมรักทุกวัน แม้มันจะยากเย็น
แต่สิ่งที่รอเห็น อยากขอแค่เสี้ยวหัวใจ

เพราะว่ารัก ฉันมีอยู่เต็มหัวใจ
ให้รออีกนานแค่ไหน กว่าเธอจะมาค้นเจอ

ไม่อาจจะเป็นเจ้าชาย อย่างในนิยายเหมือนเธอฝัน
แต่พร้อมจะยอมทุ่มเททุกอย่าง ที่มีจนหมดทั้งใจ
อยากจะหยุดอยู่ตรงนี้ ตรงที่ที่เธอจะมองกันด้วยหัวใจ
จะรออยู่ตรงนี้ แม้นานสักแค่ไหน
จนกว่าเธอจะเข้าใจ กับรักที่ให้เธอ

และแม้จะต้องเจ็บ ต้องช้ำสักเท่าไร
ก็คงไม่โทษใคร หากบังเอิญเธอไม่คิดเหมือนกัน

เพราะว่ารัก ฉันมีอยู่เต็มหัวใจ
ให้รออีกนานแค่ไหน กว่าเธอจะมาค้นเจอ

ไม่อาจจะเป็นเจ้าชาย อย่างในนิยายเหมือนเธอฝัน
แต่พร้อมจะยอมทุ่มเททุกอย่าง ที่มีจนหมดทั้งใจ
อยากจะหยุดอยู่ตรงนี้ ตรงที่ที่เธอจะมองกันด้วยหัวใจ
จะรออยู่ตรงนี้ แม้นานสักแค่ไหน
จนกว่าเธอจะเข้าใจ

อยากขอเพียงได้เสี้ยวเวลา ให้ได้อยู่ในสายตาก็พอ
จะมีรักแท้เธอไว้เพื่อรอ
เพื่อรอวันได้บอก จะบอกไปว่ารักเธอ

ไม่อาจจะเป็นเจ้าชาย อย่างในนิยายเหมือนเธอฝัน
แต่พร้อมจะยอมทุ่มเททุกอย่าง ที่มีจนหมดทั้งใจ
อยากจะหยุดอยู่ตรงนี้ ตรงที่ที่เธอจะมองกันด้วยหัวใจ
จะรออยู่ตรงนี้ แม้นานสักแค่ไหน
จนกว่าเธอจะเข้าใจ กับรักที่ให้เธอ",film_rattapoom
ทัช มาย ฮาร์ต (Touch My Heart),/music/thailyric/4460,"เคยไหม เธอเคยไหม เคยเป็นรึเปล่า
ที่มันจู่ๆ ก็เหงา เพราะคิดถึงใครซักคน
เธอเคยไหม เธอเคยไหม เคยเป็นรึเปล่า
ชอบไปแอบๆ รักเขา รักเพียงคนเดียวทั้งปี

ได้แต่อมพะนำอย่างงี้เรื่อยไป มันไม่ดีเท่าไร
แต่ก็มีเพียงวิธีเดียว อยากให้เธอได้ลองทำดู

Touch My Heart Touch My Heart
เธอจะรู้ว่าฉันรู้สึกอย่างไร
Touch My Heart Touch My Heart
เธอจะรู้บ้างรึเปล่า ว่าฉันมันรักเธอมากเท่าไร

คำนั้นแค่คำนั้น พูดยากเหลือเกิน
คิดทีไรยังเขินๆ คิดแล้วกลัวๆ ทุกที

ได้แต่อมพะนำอย่างงี้เรื่อยไป มันไม่ดีเท่าไร
แต่ก็มีเพียงวิธีเดียว อยากให้เธอได้ลองทำดู

Touch My Heart Touch My Heart
เธอจะรู้ว่าฉันรู้สึกอย่างไร
Touch My Heart Touch My Heart
เธอจะรู้บ้างรึเปล่า ว่าฉันมันรักเธอมากเท่าไร

Touch My Heart Touch My Heart
เธอจะรู้ว่าฉันรู้สึกอย่างไร
Touch My Heart Touch My Heart
เธอจะรู้บ้างรึเปล่า ว่าฉันมันรักเธอ

Touch My Heart Touch My Heart
เธอจะรู้ว่าฉันรู้สึกอย่างไร
Touch My Heart Touch My Heart
เธอจะรู้บ้างรึเปล่า ว่าฉันมันรักเธอมากเท่าไร",film_rattapoom
ที่เดิม,/music/thailyric/4461,"ค้นพบ ว่าตื่นนอนทุกเช้า
ก็เรื่องราวที่ฝัน ฝันยังมีแค่ภาพเธอ
เห็นชัดมันไม่เคยจะเบลอ
หวั่นแต่เธอจะลืม ลืมว่ามีคนเฝ้าคอย

รู้ รู้ว่าวันไหนฉันจะเจอ
แต่ว่าฉันไม่เคยเผลอ เก็บเธอไว้เพียงคนเดียว

ก็ใจขอรอที่เดิม
แม้ว่าคืนและวันเวลาจะพาเปลี่ยนเวียนหมุนไป
ขอเธอจำเอาไว้ว่าหัวใจ หยุดอยู่ที่เดิม

พบสัมผัสที่เคยได้คุ้น
ไออุ่นทำให้ฉัน ฝันเรื่องเดิมไม่เคยลืม
นั่งนับคอยแต่วันและคืน
ยังยืนยันจะรอ คอยซักวันให้เธอมา

รู้ รู้ว่าวันไหนฉันจะเจอ
แต่ว่าฉันไม่เคยเผลอ เก็บเธอไว้เพียงคนเดียว

รู้ รู้ว่าวันไหนฉันจะเจอ
แต่ว่าฉันไม่เคยเผลอ เก็บเธอไว้เพียงคนเดียว

ก็ใจขอรอที่เดิม
แม้ว่าคืนและวันเวลาจะพาเปลี่ยนเวียนหมุนไป
ขอเธอจำเอาไว้ว่าหัวใจ หยุดอยู่ที่เดิม

รู้ รู้ว่าวันไหนฉันจะเจอ
แต่ว่าฉันไม่เคยเผลอ เก็บเธอไว้เพียงคนเดียว

ก็ใจขอรอที่เดิม
แม้ว่าคืนและวันเวลาจะพาเปลี่ยนเวียนหมุนไป
ขอเธอจำเอาไว้ว่าหัวใจ หยุดอยู่ที่เดิม",film_rattapoom
ปากอย่าง ใจอย่าง,/music/thailyric/4465,"แอบเก็บอาการไว้ข้างใน ไม่ให้ใครต่อใครได้รู้เลย
ว่ามันยังไม่เคยทำใจได้สักวัน
ยังหลอกใครได้อย่างแนบเนียน ไม่ให้มีสักหนึ่งหยดน้ำตา
ที่แสดงออกมาให้ใครเขารู้ทัน

แต่ความจริงในวันนี้ แทบไม่มีแรงหายใจ
ปากที่พูดว่า เข้มแข็ง
มันไม่ใช่เรื่องจริง มันไม่ได้ตรงกับใจ

ปากบอกไม่รักไม่สนไม่เป็นอะไร
ใจไม่ตรงกับปาก แต่ความเป็นจริงในใจ
เหมือนมันจะตาย ทำไม่ได้อย่างปาก
กลับมานอนฟูมฟายร้องไห้คนเดียว ทีหลัง
โกรธตัวเองที่ไม่ยอมรับความจริงสักครั้ง
ยิ่งรักแต่เธอ

อยากเก่งอย่างปากที่พูดไป ไม่ให้ใจตัวเองมันสวนทาง
ไม่แสดงอาการที่ดูว่าไหวหวั่น
อยากให้เวลานั้นย้อนคืน จะไม่ทำให้ใครต้องเสียใจ
นี้แหละความในใจที่ไม่เคยพูดมัน

แต่ความจริงในวันนี้ แทบไม่มีแรงหายใจ
ปากที่พูดว่า เข้มแข็ง
มันไม่ใช่เรื่องจริง มันไม่ได้ตรงกับใจ

ปากบอกไม่รักไม่สนไม่เป็นอะไร
ใจไม่ตรงกับปาก แต่ความเป็นจริงในใจ
เหมือนมันจะตาย ทำไม่ได้อย่างปาก
กลับมานอนฟูมฟายร้องไห้คนเดียว ทีหลัง
โกรธตัวเองที่ไม่ยอมรับความจริงสักครั้ง
ยิ่งรักแต่เธอ ยิ่งรักแต่เธอ

กลับมานอนฟูมฟายร้องไห้คนเดียว ทีหลัง
โกรธตัวเองที่ไม่ยอมรับความจริงสักครั้ง

ปากบอกไม่รักไม่สนไม่เป็นอะไร
ใจไม่ตรงกับปาก แต่ความเป็นจริงในใจ
เหมือนมันจะตาย ทำไม่ได้อย่างปาก
กลับมานอนฟูมฟายร้องไห้คนเดียว ทีหลัง
โกรธตัวเองที่ไม่ยอมรับความจริงสักครั้ง

ปากบอกไม่รักไม่สนไม่เป็นอะไร
ใจไม่ตรงกับปาก แต่ความเป็นจริงในใจ
เหมือนมันจะตาย ทำไม่ได้อย่างปาก
กลับมานอนฟูมฟายร้องไห้คนเดียว ทีหลัง
โกรธตัวเองที่ไม่ยอมรับความจริงสักครั้ง
ยิ่งรักแต่เธอ ยิ่งรักแต่เธอ ยิ่งรักแต่เธอ",film_rattapoom
