song_name,href,lyric,artist
คบออกสื่อไม่ได้,/music/thailyric/9605,"ฉันก็รู้ว่ามันไม่ควรที่เราสองคนนั้นแอบรักกัน
วันที่ฉันยังมีคนนั้นซึ่งนอนกอดกันผูกพันชิดใกล้
ทำให้เธอต้องทรมาน ต้องทนกับการเป็นแฟนแค่ในใจ
อยากจะพูดอะไร ต้องเก็บเอาไว้เมื่อตอนเจอกัน

ฉันก็นึกก็ฝันถึงวันที่โลกนี้มีแค่คำว่าเรา
ไม่ต้องคอยระแวงว่าเขาจะเจอความลับที่เราซ่อนมัน
แต่วันนี้มันยังไม่พร้อมเราคงต้องยอมเป็นแฟนแค่บางวัน
เป็นคนรักกัน ในที่ไม่มีใครเจอ

คบออกสื่อไม่ได้ ทำได้แค่เพียงแต่แอบรัก
รู้มั้ยฉันเองก็เจ็บนัก ต้องบอกรักเวลาที่แฟนเผลอ
รักออกสื่อไม่ได้ เธอรอได้ไหม ไม่นานจะเหลือแค่เธอ
จะบอกใครทุกคนที่เจอะเจอ ว่าฉันและเธอรักกันอย่างเปิดเผย

ฉันก็ขอให้เธอช่วยรออย่าเพิ่งท้อใจจนไปจากฉัน
ให้เวลาฉันเคลียร์คนนั้นเพื่อเรากอดกันได้อย่างโล่งใจ
ไม่ต้องทำอะไรทีเผลอ ได้เดินจับมือเธอไม่อายใคร
อย่าเพิ่งน้อยใจ รอฉันรอวันของเรา

คบออกสื่อไม่ได้ ทำได้แค่เพียงแต่แอบรัก
รู้มั้ยฉันเองก็เจ็บนัก ต้องบอกรักเวลาที่แฟนเผลอ
รักออกสื่อไม่ได้ เธอรอได้ไหม ไม่นานจะเหลือแค่เธอ
จะบอกใครทุกคนที่เจอะเจอ ว่าฉันและเธอรักกันอย่างเปิดเผย

คบออกสื่อไม่ได้ ฉันทำได้แค่เพียงแต่แอบรัก
รู้มั้ยฉันเองก็เจ็บนัก ต้องบอกรักเวลาที่แฟนเผลอ
รักออกสื่อไม่ได้ เธอรอได้ไหม ไม่นานจะเหลือแค่เธอ
จะบอกใครทุกคนที่เจอะเจอ ว่าฉันและเธอ

คบออกสื่อไม่ได้ ทำได้แค่เพียงแต่แอบรัก...
มันเจ็บนัก ต้องบอกรักเวลาที่แฟนเผลอ
รักออกสื่อไม่ได้ เธอรอได้ไหม ไม่นานจะเหลือแค่เธอ
จะบอกใครทุกคนที่เจอะเจอ ว่าฉันและเธอรักกันอย่างเปิดเผย

อย่าให้เอาใจของเธอไปก่อน",flame
จุดธูปบอกแม่,/music/thailyric/8973,"บอกตัวเองให้กลั้นน้ำตาไว้
ไม่ให้ร้อง ไม่ให้น้อยใจ
ใกล้ถึงวันแม่ทีไร น้ำตาจะไหลขึ้นมา

แม่จากลูกไปตั้งแต่เด็กน้อย
มีปมติดตัวคือกำพร้า
พยายามเข้มแข็งเรื่อยมา
แต่บางเวลาอ่อนล้าเกินไป

เห็นใครใครเขามีแม่กัน
มันก็อดอิจฉาไม่ไหว
ดอกมะลิฉันจะไหว้ใคร
ได้แต่จุดธูปบอกแม่ไปว่าลูกคิดถึง

จะเกิดชาติไหน แค่ขอได้เป็นลูกแม่
ไออุ่นแห่งความรักแท้
อยากกอดแม่อีกครั้งหนึ่ง
แต่ในชาตินี้ บุญลูกมีเพียงเสี้ยวหนึ่ง
ฝากควันแห่งความคิดถึง
กระซิบคำหนึ่งว่าลูกรักแม่

อธิษฐานวิญญาณของแม่นั้น
ให้ล่องลอยไปถึงสวรรค์
อาจจะไกลจนมองไม่เห็นกัน
แม่อยู่ในฝันเรื่อยมา
ปลอบตัวเองในวันที่มันเหงา
แม่ยังคอยมองเราจากบนฟ้า
ดั่งมีมือมาคอยเช็ดน้ำตา ให้ใจเข้มแข็งขึ้นใหม่

เห็นใครใครเขามีแม่กัน
มันก็อดอิจฉาไม่ไหว
ดอกมะลิฉันจะไหว้ใคร
ได้แต่จุดธูปบอกแม่ไปว่าลูกคิดถึง

จะเกิดชาติไหน แค่ขอได้เป็นลูกแม่
ไออุ่นแห่งความรักแท้
อยากกอดแม่อีกครั้งหนึ่ง
แต่ในชาตินี้ บุญลูกมีเพียงเสี้ยวหนึ่ง
ฝากควันแห่งความคิดถึง
กระซิบคำหนึ่งว่าลูกรักแม่

จะเกิดชาติไหน แค่ขอได้เป็นลูกแม่
ไออุ่นแห่งความรักแท้
อยากกอดแม่อีกครั้งหนึ่ง
แต่ในชาตินี้ บุญลูกมีเพียงเสี้ยวหนึ่ง
ฝากควันแห่งความคิดถึง

ไม่ว่าชาติไหน ก็ขอให้เป็นลูกแม่
ไออุ่นแห่งความรักแท้
อยากกอดแม่สุดหัวใจ
แต่ในชาตินี้ บุญลูกคงน้อยเกินไป
แม่จากไปไกลแสนไกล จุดธูปบอกไปว่าลูกรักแม่",flame
ฉันนอกกายเพราะเธอนอกใจ,/music/thailyric/8481,"เห็นแล้วเธอเจ็บใจใช่ไหม
ที่ฉันไปคลอเคลียเสียตัวกับเขา
การหักหลังจากคนรักเรา
ในวันนี้เธอคงจะเข้าใจ

ว่าฉันเลวก็เชิญเถอะนะ
แค่อยากรู้ว่ามันต่างกันตรงไหน
การที่เธอซุกซ่อนใครใคร
ไม่ได้เลวใช่ไหม ช่วยตอบที

เธอนอกใจฉันก่อนโทษใครไม่ได้
ทบทวนหน่อยไหม ว่าเธอเองก็เคยกระทำแบบนี้
ลักลอบมีความสัมพันธ์
อย่างกับฉันหูตาไม่ดี
กอดจูบลูบไล้ขนาดนี้เปิดห้องดีกว่าไหม

ที่ฉันแอบนอกกาย เพราะว่าเธอน่ะนอกใจ
ที่ฉันมีอะไรกับใครที่ไหน ก็เพราะว่าใจเธอไม่รักดี
ถ้ารักเราจะลงเหว มันก็เลวเท่ากันวันนี้
ลองมองย้อนดูตัวเองให้ดี
ฉันนอกกายวันนี้เพราะเธอนอกใจ

ถามคำเดียวว่าให้อภัยได้ไหม
ลบอะไรที่เธอได้ยินได้เห็น
เพิ่งรู้สินะ ว่ามันยากเย็น
อย่างที่ฉันเคยเป็นมาก่อนนี้

เธอนอกใจฉันก่อนโทษใครไม่ได้
ทบทวนหน่อยไหม ว่าเธอเองก็เคยกระทำแบบนี้
ลักลอบมีความสัมพันธ์
อย่างกับฉันหูตาไม่ดี
กอดจูบลูบไล้ขนาดนี้เปิดห้องดีกว่าไหม

ที่ฉันแอบนอกกาย เพราะว่าเธอน่ะนอกใจ
ที่ฉันมีอะไรกับใครที่ไหน ก็เพราะว่าใจเธอไม่รักดี
ถ้ารักเราจะลงเหว มันก็เลวเท่ากันวันนี้
ลองมองย้อนดูตัวเองให้ดี
ฉันนอกกายวันนี้เพราะเธอนอกใจ

เธอนอกใจฉันไม่เป็นไร
แต่พอฉันนอกกายเธอรับไม่ได้
ความยุติธรรมอยู่ไหน บอกทีฉันอยากรู้

ถ้าเธอซื่อสัตย์ทุกนาที ฉันคงยินดีใช้ชีวิตคู่
แต่สิ่งที่เธอทำอยู่ ผลักดันให้ฉันต้องนอกกาย

ที่ฉันแอบนอกกาย เพราะว่าเธอน่ะนอกใจ
ที่ฉันมีอะไรกับใครที่ไหน ก็เพราะว่าใจเธอไม่รักดี
ถ้ารักเราจะลงเหว มันก็เลวเท่ากันวันนี้
ลองมองย้อนดูตัวเองให้ดี
ฉันนอกกายวันนี้เพราะเธอนอกใจ

ลองมองย้อนดูตัวเองให้ดี
ว่าใครกันนะที่เลวก่อน",flame
โดนของ,/music/thailyric/8845,"ไม่รู้เวรกรรมอันใดดลใจให้ฉันต้องเจอ
ตกเป็นทาสรักให้เธอทำร้ายหัวใจตลอด
ดีกับเธอเท่าไหร่เธอยังคว้าใครๆ มากอด
ตาก็ไม่บอดแต่ต้องทำไม่เห็นทุกที

เหมือนอยู่เพื่อเจ็บเฉยๆ แต่ไม่เคยกล้าตัดใจ
ยอมตกเป็นของตายยอมรักคนไม่รักดี
เธอสั่งให้ทำอะไรก็รีบไปทำให้
ยอมให้เธอหลอกใช้ได้เต็มที่
สมองก็ยังมีแต่ไม่รู้ทำไมเหมือนกลวง

หรือเธอเป่าเวทย์มนต์คาถา
เสน่หาบูชาวิญญาณ
กักขังหน่วงเหนี่ยวทรมานให้เกิดภาพลวง

คิดจะหนีกี่ครั้งก็ดิ้นไม่ได้
ดั่งถูกคุณไสยผูกใจเป็นบ่วง
บูชายัญมัดตุ๊กตาห่วงถ่วงใจไว้

เหมือนโดนเล่นของใส่กัน
ฉันจึงหลงและฉันจึงบ้า
ทั้งที่เธอมีแต่น้ำตาตอบแทนใจ

ยิ่งเจ็บยิ่งรักขึ้นทุกวันเหมือนว่าฉันขาดเธอไม่ได้
บางครั้งก็ยังสงสัยทำไมยอมให้เธอทำร้าย
ทำไมเธอเลวได้ใจฉันยังรักอยู่

ต้องดิ้นให้ได้ มันดิ้นไม่ได้
ต้องดื้อให้ได้ มันดื้อไม่ได้
ต้องขัดให้ได้ มันขัดไม่ได้

ต้องขืนให้ได้ มันขืนไม่ได้
มัดขัดไม่ได้ มันขืนไม่ได้
มันหนีไม่ได้ มันดื้อไม่ได้

เหมือนอยู่เพื่อเจ็บเฉยๆ แต่ไม่เคยกล้าตัดใจ
ยอมตกเป็นของตายยอมรักคนไม่รักดี
เธอสั่งให้ทำอะไรก็รีบไปทำให้
ยอมให้เธอหลอกใช้ได้เต็มที่
สมองก็ยังมีแต่ไม่รู้ทำไมเหมือนกลวง

หรือเธอเป่าเวทย์มนต์คาถา
เสน่หาบูชาวิญญาณ
กักขังหน่วงเหนี่ยวทรมานให้เกิดภาพลวง

คิดจะหนีกี่ครั้งก็ดิ้นไม่ได้
ดั่งถูกคุณไสยผูกใจเป็นบ่วง
บูชายัญมัดตุ๊กตาห่วงถ่วงใจไว้

เหมือนโดนเล่นของใส่กัน
ฉันจึงหลงและฉันจึงบ้า
ทั้งที่เธอมีแต่น้ำตาตอบแทนใจ

ยิ่งเจ็บยิ่งรักขึ้นทุกวันเหมือนว่าฉันขาดเธอไม่ได้
บางครั้งก็ยังสงสัยทำไมยอมให้เธอทำร้าย
ทำไมเธอเลวได้ใจฉันยังรักอยู่

เหมือนโดนเล่นของใส่กัน
ฉันจึงหลงและฉันจึงบ้า
ทั้งที่เธอมีแต่น้ำตาตอบแทนใจ

ยิ่งเจ็บยิ่งรักขึ้นทุกวันเหมือนว่าฉันขาดเธอไม่ได้
บางครั้งก็ยังสงสัยทำไมยอมให้เธอทำร้าย
ทำไมเธอเลวได้ใจฉันยังรักอยู่

ความรักหรือว่าคุณไสย
ทำไมยอมให้เธอทำร้าย
ทำไมมันเจ็บแทบตายฉันยังโง่อยู่",flame
แฟนเราไม่เอาไหน,/music/thailyric/9126,"ไม่ว่าฉันจะรัก ทุ่มเทให้เธอเท่าไร
คบกันมานานแค่ไหน ก็ไม่เคยได้ใจเธออยู่ดี
เป็นที่รองรับระบายอารมณ์ให้เธอทุกที
คบกันแล้วเป็นอย่างนี้ คบกันไปทำไม

อิจฉาคู่รัก ที่เขาจริงจังและภักดี
ทุกวินาที เขามีแต่ความจริงใจ
แต่คนของเรา ทำไมไม่เคยมาสนใจ
รักกันประสาอะไรเป็นอย่างนี้

เมื่อแฟนเราไม่เอาไหน จะคบกันต่อดีไหม
ขอบอกตามตรงฉันน้อยใจ ที่เธอไม่เคยแคร์ฉันเลย
เคยห่วงเคยหวงกันบ้างไหม ดีแต่ทำให้เสียใจ
สักวันหนึ่งถ้าฉันทนไม่ไหว
ฉันคงจะต้องไป ถ้าเธอยังมีนิสัยเดิมๆ

ถึงแม้รักจนล้น อดทนเพื่อเธอเท่าไร
ใกล้กันมานานแค่ไหน มันก็ไกลหัวใจเธออยู่ดี
คนหนึ่งต้องช้ำ อีกคนซ้ำและคอยย่ำยี
รักกันแล้วเป็นอย่างนี้รักกันไปทำไม

อิจฉาคู่รัก ที่เขาจริงจังและภักดี
ทุกวินาที เขามีแต่ความจริงใจ
แต่คนของเรา ทำไมไม่เคยมาสนใจ
รักกันประสาอะไรเป็นอย่างนี้

เมื่อแฟนเราไม่เอาไหน จะคบมันต่อดีไหม
ขอบอกตามตรงฉันน้อยใจ ที่เธอไม่เคยแคร์ฉันเลย
เคยห่วงเคยหวงกันบ้างไหม ดีแต่ทำให้เสียใจ
สักวันหนึ่งถ้าฉันทนไม่ไหว
ฉันคงจะต้องไป ถ้าเธอยังมีนิสัยเดิมๆ

เมื่อแฟนเราไม่เอาไหน จะคบกันต่อดีไหม
ขอบอกตามตรงฉันน้อยใจ ที่เธอไม่เคยแคร์ฉันเลย
เคยห่วงเคยหวงกันบ้างไหม ดีแต่ทำให้เสียใจ
สักวันหนึ่งฉันคงทนเธอไม่ไหว โฮ

เมื่อแฟนเราไม่เอาไหน จะคบมันต่อดีไหม
ขอบอกตามตรงฉันน้อยใจ ที่เธอไม่เคยแคร์ฉันเลย
เคยห่วงเคยหวงกันบ้างไหม ดีแต่ทำให้เสียใจ
สักวันหนึ่งถ้าฉันทนไม่ไหว
ฉันคงจะต้องไป ถ้าเธอยังมีนิสัยเดิมๆ

สักวันหนึ่งทนไม่ไหว ฉันคงจะต้องไป
ถ้าเธอยังมีนิสัยเดิมๆ",flame
รักแต่ตัวหัวใจไม่เกี่ยว,/music/thailyric/8248,"ประชดชีวิตใช้สิทธิ์ความเหงา
วิญญาณสีเทาเอามาเต้นรำ
แสงสีหลอกลวงเยียวยาความช้ำ
ปล่อยไปตามกรรมทำใจร่าเริง

ไม่มีหัวใจ ไม่มีรักจริง
ไม่ต้องทิ้งความหวังขังใจพันผูก
ไม่มีน้ำตา ไม่มีสัญญา
ไม่ต้องมาเผาผีเก็บเถ้ากระดูก
ถูกใจใกล้กัน เท่านั้นพอ

รักแต่ตัวหัวใจไม่เกี่ยว เที่ยวไป
ไม่อยากเสียใจ ให้ใครทำร้าย มันมากพอ
เพียงใครสักคน พูดคุยห่วงใย
เท่านั้นที่จะขอ รักแท้ไม่รอหวัง
รักจริงอยู่แห่งไหน น้ำตาฉันรินไหลจนหมดแล้ว

ไม่คิดไม่เพ้อละเมอวาดฝัน
ใต้เงาพระจันทร์ยังดูน่ากลัว
สายลม
เสียงเพลง กลิ่นหอมยวนยั่ว
ปล่อยตัวขังใจในยามราตรี

ไม่มีหัวใจ ไม่มีรักจริง
ไม่ต้องทิ้งความหวังขังใจพันผูก
ไม่มีน้ำตา ไม่มีสัญญา
ไม่ต้องมาเผาผีเก็บเถ้ากระดูก
ถูกใจใกล้กัน เท่านั้นพอ

รักแต่ตัวหัวใจไม่เกี่ยว เที่ยวไป
ไม่อยากเสียใจ ให้ใครทำร้าย มันมากพอ
เพียงใครสักคน พูดคุยห่วงใย
เท่านั้นที่จะขอ รักแท้ไม่รอหวัง
รักจริงอยู่แห่งไหน น้ำตาฉันรินไหลจนหมดแล้ว

รักแต่ตัวหัวใจไม่เกี่ยว เที่ยวไป
ไม่อยากเสียใจ ให้ใครทำร้าย มันมากพอ
เพียงใครสักคน พูดคุยห่วงใย
เท่านั้นที่จะขอ รักแท้ไม่รอหวัง
รักจริงอยู่แห่งไหน น้ำตาฉันรินไหลจนหมดแล้ว

รักแท้ไม่รอหวัง รักจริงอยู่แห่งไหน
น้ำตาฉันรินไหลจนหมดแล้ว
น้ำตาฉันรินไหลจนหมดแล้ว",flame
ลมหนาวมาแล้วนะ,/music/thailyric/10912,"กอด ตัวเองเมื่อลมหนาวมา
บอก น้ำตาอย่าเพิ่งไหลเลย
อย่าเพิ่งยอมแพ้ แค่เธอยังไม่เฉลย
ไม่เอาไหนเลยเรื่องทำให้เธอเห็นใจ

ลมหนาวมาคนโสด ไม่โปรดไม่ปราน
รอนานเหลือเกิน เชื้อเชิญให้รักสักที
ลมหนาวมาทิ่มแทงแกล้งฉันอย่างนี้
อ่อนใจทุกที คนดีไม่มีไมตรีบ้างเลย

หนาวลมห่มรักคงอุ่น
แอบลุ้นไม่เคยห่างไปไหนได้ไกล
สักนิดก็พอ เหลียวมองสักที
ใจดวงนี้ขอมีโอกาสรักเธอได้ไหม

หน้าหนาว ฤดูที่ควรรักกัน
หน้าหนาว ไม่ควรนอนฝันลำพัง
ไม่ผิดใช่ไหม ถ้าฉันยังคงมีหวัง
รักเธอรักจังอยากฟังความใน จากใจเธอ

ลมหนาวมาคนโสด ไม่โปรดไม่ปราน
รอนานเหลือเกิน เชื้อเชิญให้รักสักที
ลมหนาวมาทิ่มแทงแกล้งฉันอย่างนี้
อ่อนใจทุกที คนดีไม่มีไมตรีบ้างเลย

หนาวลมห่มรักคงอุ่น
แอบลุ้นไม่เคยห่างไปไหนได้ไกล
สักนิดก็พอ เหลียวมองสักที
ใจดวงนี้ขอมีโอกาสรักเธอได้ไหม

หนาวใจไม่คลายหนาวได้
เปลี่ยนใจรักคนอื่นไม่เคยคิดเลย
คนเดียวที่รอ ขออย่าเฉยเมย
สงสารอกเอ๋ยเฉลยรักเธอจนเหนื่อยหัวใจ

หนาวลมห่มรักคงอุ่น
แอบลุ้นไม่เคยห่างไปไหนได้ไกล
สักนิดก็พอ เหลียวมองสักที
ใจดวงนี้ขอมีโอกาสรักเธอได้ไหม

หนาวใจไม่คลายหนาวได้
เปลี่ยนใจรักคนอื่นไม่เคยคิดเลย
คนเดียวที่รอ ขออย่าเฉยเมย
สงสารอกเอ๋ยเฉลยรักเธอจนเหนื่อยหัวใจ

ลมหนาวมาแล้วนะ หนาวใจๆ
ลมหนาวมาแล้วนะ รักกันๆ สักที
ลมหนาวมาแล้วนะ หนาวใจๆ
ลมหนาวมาแล้วนะ รักกันๆ สักทีนะเออ",flame
14 เมษา น้ำตาสาดใจ,/music/thailyric/4510,"มีเพียงน้ำตา ที่เปียกปอนหัวใจในดวงนี้
ไม่มีวันจะหยุด เธอเดินเข้ามาบอกลา
หัวใจก็ช้ำน้ำตาก้อไหลเกินกำลังจะฉุดรั้งเธอไม่ไหว
สงกรานต์วันนี้เป็นวันที่ฉันนั้นช้ำใจที่สุด
ภาพเธอกับเขา เคล้าคลออย่างนั้น
มันจะฝังอยู่ลึกๆข้างในนี้

เปียกปอนไปทั้งใจ เพราะว่าน้ำตาที่มันไหลไม่มีหยุด
นึกขึ้นทีไรทนไม่ไหวเลยสักที เจ็บจนลืมไม่ลง
เพราะว่าหัวใจที่สลายแหลกไม่เหลือ
เกือบจะตาย หมดความหมายในวันนี้

อกหักในวันสงกรานต์ 14 เมษา เธอทิ้งกัน
คนเขาสาดน้ำกัน ฉันต้องสาดน้ำตา
เปียกปอนไปทั้งใจ ไม่มีอารมณ์เล่นน้ำ
เธอกับเขาสาดรักกัน ส่วนฉันก็คงต้องสาดน้ำตา

ในวันสงกรานต์ ฉันไม่มีน้ำสาดให้เขา
เพราะฉันมีน้ำตา ที่ไหลรินออกมา
เอามาใช้สาดหัวใจที่มันช้ำอยู่ลึกๆ ข้างในนี้

เปียกปอนไปทั้งใจ เพราะว่าน้ำตาที่มันไหลไม่มีหยุด
นึกขึ้นทีไรทนไม่ไหวเลยสักที เจ็บจนลืมไม่ลง
เพราะว่าหัวใจที่สลายแหลกไม่เหลือ
เกือบจะตาย หมดความหมายในวันนี้

อกหักในวันสงกรานต์ 14 เมษา เธอทิ้งกัน
คนเขาสาดน้ำกัน ฉันต้องสาดน้ำตา
เปียกปอนไปทั้งใจ ไม่มีอารมณ์เล่นน้ำ
เธอกับเขาสาดรักกัน ส่วนฉันก็คงต้องสาดน้ำตา

มันเอ่อล้นจนใจจะรับไหว
มีใครบ้างไหม โดนหักอกวันสงกรานต์

เปียกปอนไปทั้งใจ เพราะว่าน้ำตาที่มันไหลไม่มีหยุด
นึกขึ้นทีไรทนไม่ไหวเลยสักที เจ็บจนลืมไม่ลง
เพราะว่าหัวใจที่สลายแหลกไม่เหลือ
เกือบจะตาย หมดความหมายในวันนี้

อกหักในวันสงกรานต์ 14 เมษา เธอทิ้งกัน
คนเขาสาดน้ำกัน ฉันต้องสาดน้ำตา
เปียกปอนไปทั้งใจ ไม่มีอารมณ์เล่นน้ำ
เธอกับเขาสาดรักกัน ส่วนฉันก็คงต้องสาดน้ำตา

(อกหักในวันสงกรานต์ 14 เมษา เธอทิ้งกัน)
คนเขาสาดน้ำกัน ฉันต้องสาดน้ำตา
เปียกปอนไปทั้งใจ ไม่มีอารมณ์เล่นน้ำ
เธอกับเขาสาดรักกัน ส่วนฉันก็คงต้องสาดน้ำตา

อกหักฉลองวันสงกรานต์
14 เมษา เอาน้ำตาสาดใจ",flame
คนโสดมีบ้างไหม,/music/thailyric/4511,"โสดอย่างนี้มานานเท่าไหร่เล่าใครจะรู้
โสดเป็นปีกี่เดือนกี่วัน ไม่เห็นจะมีใคร
เข้ามาเติมเต็มท่วงทำนอง
ช่วงชีวิตที่มันขาดหาย
ไม่รู้เมื่อไหร่ ใครหนอ

อยู่ลำพังมันเหงาเหลือเกิน โอ้ใจเอ๋ย
วอนสายลมลำเพยช่วยเอื้อนเอ่ย ความรักไป
ฝากเจ้านกที่เหินลม ช่วยหอบรักของข้านี้ไป
มีใครได้ยินไหมช่วยตอบที

รถไฟขบวนสุดท้าย ผ่านชานชาลาหรือยัง
ใครหนอคือความหวัง จะมอบใจให้กับฉัน
คนอื่นมีคู่รัก ปลอบตัวเองต้องมีสักวัน
จูงมือเดินเบียดกัน อยู่ที่ไหนเนื้อคู่ฉัน

คนโสดมีบ้างไหม ลองยกมือขึ้นหน่อย
จะได้ไม่ต้องคอยแอบมองแฟนคนอื่นอยู่อย่างนี้
อยากมีใครอย่างเขา มันอิจฉาน้ำตาตกในทุกที
กอดหมอนอยู่ทั้งปี อยากจะมีใครสักคนไว้ให้กอด

อยากจะเมมเบอร์โทรสักคนว่าที่รัก
ความคิดถึงมีที่หยุดพัก คงอุ่นในหัวใจ
ฟ้าดลใจช่วยเร่งที บอกผ่านเพลงนี้ไป
จะรักให้สาใจ ทิ้งความโสด

รถไฟขบวนสุดท้าย ผ่านชานชาลาหรือยัง
ใครหนอคือความหวัง จะมอบใจให้กับฉัน
คนอื่นมีคู่รัก ปลอบตัวเองต้องมีสักวัน
จูงมือเดินเบียดกัน อยู่ที่ไหนเนื้อคู่ฉัน

คนโสดมีบ้างไหม ลองยกมือขึ้นหน่อย
จะได้ไม่ต้องคอยแอบมองแฟนคนอื่นอยู่อย่างนี้
อยากมีใครอย่างเขา มันอิจฉาน้ำตาตกในทุกที
กอดหมอนอยู่ทั้งปี อยากจะมีใครสักคน

คนโสดมีบ้างไหม ลองยกมือขึ้นหน่อย
จะได้ไม่ต้องคอยแอบมองแฟนคนอื่นอยู่อย่างนี้
อยากมีใครอย่างเขา มันอิจฉาน้ำตาตกในทุกที
กอดหมอนอยู่ทั้งปี อยากจะมีใครสักคนไว้ให้กอด

ฝากเพลงรักของข้านี้ไป กล่อมเธอให้ฝันดี
จากใจหนึ่งดวงนี้ ของคนโสด",flame
เลวทั้งคู่,/music/thailyric/4515,"จะดีจะร้าย ฉันไม่ว่าหรอก
จะทำอะไร ตามใจเธอทุกอย่าง
จะรักหรือไม่รัก จะแคร์หรือไม่แคร์
ฉันก็ยอมทำตามที่เธอต้องการ

เพราะคำว่ารัก คำเดียวฉันจึงยอม
เธอต้องการอะไร ก็ให้ทั้งชีวิต
เพราะคำว่าไว้ใจ ตัวฉันเลยไม่ทันคิด
ว่าเพื่อนสนิทจะคิดทำร้าย

ไม่เคยนึกฝันว่าจะมีวันนี้ ทั้งเขาและเธอ
แอบมีใจให้กัน คนหนึ่งคือคนรัก
และอีกคนคือเพื่อนที่คบมานาน
บอกกันมาสักคำ ว่ามันแปลว่าอะไร

ก็เลวทั้งคู่ฉันเพิ่งได้รู้วันนี้
ก็เพื่อนที่แสนดี และคนที่ฉันรักหมดใจ
แอบมีความสัมพันธ์ ทำอย่างนั้นได้อย่างไร
อุตสาห์ไว้ใจฝากเธอเอาไว้กับนาย

จากนี้ไม่เหลือ หัวใจที่มีคงสลาย
อยากจะบอกเธอกับนาย ว่าจะไปตายที่ไหนก็ไป

ไม่คิดไม่นึกไม่คิดไม่ฝันว่ามันจะเป็นอย่างงี้
ก็รักกันดี ไม่มีวี่แววว่าจะมาทิ้งกันไป
แต่สิ่งที่เธอและนายน่ะทำ มันก็เกินไป
อยากนักใช่ไหมถึงได้มาแย่งแฟนกู

เพราะคำว่ารัก คำเดียวฉันจึงยอม
เธอต้องการอะไร ก็ให้ทั้งชีวิต
เพราะคำว่าไว้ใจ ตัวฉันเลยไม่ทันคิด
ว่าเพื่อนสนิทจะคิดทำร้าย

ไม่เคยนึกฝันว่าจะมีวันนี้ ทั้งเขาและเธอ
แอบมีใจให้กัน คนหนึ่งคือคนรัก
และอีกคนคือเพื่อนที่คบมานาน
บอกกันมาสักคำ ว่ามันแปลว่าอะไร

ก็เลวทั้งคู่ฉันเพิ่งได้รู้วันนี้
ก็เพื่อนที่แสนดี และคนที่ฉันรักหมดใจ
แอบมีความสัมพันธ์ ทำอย่างนั้นได้อย่างไร
อุตสาห์ไว้ใจฝากเธอเอาไว้กับนาย

จากนี้ไม่เหลือ หัวใจที่มีคงสลาย
อยากจะบอกเธอกับนาย ว่าจะไปตายที่ไหนก็ไป

จะไปลงนรกก็ไป ไป",flame
