song_name,href,lyric,artist
ขอเพียงเท่านั้นเอง,/music/thailyric/4411,"แอบมองตา อย่างที่เคยคุ้นกัน
ฉันคุ้นในสายตาคู่นั้น มันไม่เคยเปลี่ยนแปลง

เธอคือคนๆเดิมที่เคยผูกพัน เธอคือคนๆเดิมที่เคยห่วงหากัน
เธอคือคนเดียว คนที่ฉันคอยอยู่ทุกวัน

แต่วันนี้ ฉันนั้นคงทําได้เพียงแค่สบสายตา
ฉันรู้ว่าเธอคงไกลจนเกินไขว่คว้า เก็บความรักที่เตรียมมาเก็บเอาไว้
เผื่อวันไหน ฉันนั้นคงได้มีวันนํามันกลับคืนมา
ฉันหวังแค่เพียงวันใดที่เธออ่อนล้า
จะปลอบโยนเธอทั้งใจ และจะคอยซับนํ้าตาให้กับเธอ

แอบส่งใจ ส่งไปยังสายตา
ขอเพียงมองด้วยใจห่วงหา ขอเพียงเท่านั้นเอง

เธอคือคนๆเดิมที่เคยผูกพัน เธอคือคนๆเดิมที่เคยห่วงหากัน
เธอคือคนเดียว คนที่ฉันคอยอยู่ทุกวัน

แต่วันนี้ ฉันนั้นคงทําได้เพียงแค่สบสายตา
ฉันรู้ว่าเธอคงไกลจนเกินไขว่คว้า เก็บความรักที่เตรียมมาเก็บเอาไว้
เผื่อวันไหน ฉันนั้นคงได้มีวันนํามันกลับคืนมา
ฉันหวังแค่เพียงวันใดที่เธออ่อนล้า
จะปลอบโยนเธอทั้งใจ และจะคอยซับนํ้าตาให้กับเธอ

เฝ้ารอคอยคืนและวัน กว่าที่ฉันจะได้พบเจอ แค่อยากให้รู้สิ่งที่เธอไม่เคยถาม
ไม่ว่าเธอจะเป็นอย่างไร เปลี่ยนแปลงไปเพียงใดก็ตาม แต่เธอยังคงงดงามอยู่เสมอ

แต่วันนี้ ฉันนั้นคงทําได้เพียงแค่สบสายตา
ฉันรู้ว่าเธอคงไกลจนเกินไขว่คว้า เก็บความรักที่เตรียมมาเก็บเอาไว้
เผื่อวันไหน ฉันนั้นคงได้มีวันนํามันกลับคืนมา
ฉันหวังแค่เพียงวันใดที่เธออ่อนล้า
จะปลอบโยนเธอทั้งใจ และจะคอยซับนํ้าตาให้กับเธอ",ford_sobchai
หยุดตรงนี้ที่เธอ,/music/thailyric/4422,"กี่คราวที่ความรัก ต้องลงเอยด้วยน้ำตา กี่คราวที่ล้าจนไม่อยากมีใคร
กี่ครั้งที่เสาะหา ผ่านมาแล้วก็เลยไป ไม่มีใครที่เหมือนเธอ

เปรียบเธอดังจุดหมาย สุดท้ายของนักเดินทาง เมื่อเจอเธอแล้วก็ไม่อยากเจอใคร
ไม่มีใครอีกแล้วที่มีความรักจริงใจ เท่ากับเธอที่ให้ฉัน

หยุดตรงนี้ที่เธอ ไม่ไปใกลแล้วใจ จะหยุดทั้งใจไว้ที่เธอ
หยุดตรงนี้ที่เธอ เพราะเธอที่ฉันเจอ คือคนที่รักฉันหมดใจ(จะหยุดใจไว้ให้กับเธอ)

เปียกปอนกับลมฝน ฝ่าลมพายุมากมาย ก็เดินมาไกลจนแทบหมดกำลัง
ไม่เคยจะคาดคิด ว่าคนที่สิ้นหนทาง จะได้พบรักเช่นเธอ

เปรียบเธอดังจุดหมาย สุดท้ายของนักเดินทาง เมื่อเจอเธอแล้วก็ไม่อยากเจอใคร
ไม่มีใครอีกแล้วที่มีความรักจริงใจ เท่ากับเธอที่ให้ฉัน

หยุดตรงนี้ที่เธอ ไม่ไปใกลแล้วใจ จะหยุดทั้งใจไว้ที่เธอ
หยุดตรงนี้ที่เธอ เพราะเธอที่ฉันเจอ คือคนที่รักฉันหมดใจ(จะหยุดใจไว้ให้กับเธอ)

อยากจะขอบคุณฟ้า ที่ให้เรารักกัน และให้ฉันได้พบเธอ
(ไม่มีใครอีกแล้ว ที่มีความรักจริงใจ เท่ากับฉันที่ให้เธอ)

หยุดตรงนี้ที่เธอ ไม่ไปใกลแล้วใจ จะหยุดทั้งใจไว้ที่เธอ
หยุดตรงนี้ที่เธอ เพราะเธอที่ฉันเจอ คือคนที่รักฉันหมดใจ(จะหยุดใจไว้ให้กับเธอ)",ford_sobchai
ใต้แสงดวงดาว,/music/thailyric/4415,"เมื่อฉันมองขึ้นไปที่บนท้องฟ้า กับเรื่องราวที่มีมากมาย
และทุกคราวฉันเองก็ยังสงสัย ว่ามีสิ่งใดอยู่ภายใต้แสงดาว

อย่างน้อยก็เคยปลอบโยนเมื่อยามเหงาใจ เมื่อยามไม่มีผู้ใดอยู่เคียงข้างกาย

ใต้แสงดวงดาว ขอบฟ้าใดๆ ฟ้าจะไกลเพียงไหนฉันจะส่งใจให้รู้
ฝากถึงใจเธอ กับดาวที่คอยเฝ้าดู ฝากรักของเราให้รู้ให้อยู่ชั่วนิรันดร์

จากหัวใจของคนที่เคยโชคร้าย กลับเปลี่ยนไปเมื่อเราได้พบกัน
อาจเพราะพรหมลิขิตให้เป็นเช่นนั้น ต้องมีสักวันที่เราได้ซึ้งใจ

เมื่อมีเธอฉันนั้นอบอุ่นหัวใจ ไม่ต้องการสิ่งใดแค่เพียงสองเรา

ใต้แสงดวงดาว ขอบฟ้าใดๆ ฟ้าจะไกลเพียงไหนฉันจะส่งใจให้รู้
ฝากถึงใจเธอ กับดาวที่คอยเฝ้าดู ฝากรักของเราให้รู้ให้อยู่ชั่วนิรันดร์

เพราะในใจเธอ ล้นด้วยความรักยิ่งใหญ่ จากนี้หัวใจเก็บไว้ให้เธอเท่านั้น
ฉันจะทำเพื่อเธอ ฉันจะยืนสู้ไม่หวั่น จะมีเธอและฉันอยู่เคียงคู่ฟ้า

เมื่อมีเธอฉันนั้นอบอุ่นหัวใจ ไม่ต้องการสิ่งใดแค่เพียงสองเรา

ใต้แสงดวงดาว ขอบฟ้าใดๆ ฟ้าจะไกลเพียงไหนฉันจะส่งใจให้รู้
ฝากถึงใจเธอ กับดาวที่คอยเฝ้าดู ฝากรักของเราให้รู้ให้อยู่ชั่วนิรันดร์

ให้สองเราเคียงคู่กันจนวันหมดแสงดาว",ford_sobchai
ภาพความรัก,/music/thailyric/4418,"ทุกครั้งที่หลับตาครั้งใด ในใจมีแต่ภาพเดิม
ไม่เห็นมีสิ่งใดเพิ่มเติมให้เปลี่ยนไป จากใจที่แสนเดียวดาย

ความทรงจำที่ในคราวนั้น ไม่อาจเผลอตัว ให้ลืมเธอไป
วันเวลาที่มันขาดหาย ยังคงฝังในใจ ไม่มีลบเลือน

ภาพความรักในครั้งก่อน (Make me like a fire)
ไม่อาจถอนใจ (Fill me with desire)
หากวันนี้เธอไม่ไปไหน อยากจะรัก รักเธอให้เหมือนเดิม

ฉันนั้นยังเฝ้าคอยทุกวัน เพื่อบอกว่ายังรักเธอ
แม้ที่ผ่านมาหนทางที่ต่างเจอ ช่างห่างกันแสนยาวไกล

วันเวลาที่เราตามฝัน ไม่อาจพบเจอ กันก็มีเพียงแค่ใจ
ความทรงจำ ที่มีความหมาย และวันนี้ดีใจ ที่ได้พบเธอ

ภาพความรักในครั้งก่อน (Make me like a fire)
ไม่อาจถอนใจ (Fill me with desire)
หากวันนี้เธอไม่ไปไหน อยากจะรัก รักเธอให้เหมือนเดิม

วันเวลาที่เราตามฝัน ไม่อาจพบเจอ กันก็มีเพียงแค่ใจ
ความทรงจำ ที่มีความหมาย และวันนี้ดีใจ ที่ได้พบเธอ

ภาพความรักในครั้งก่อน (Make me like a fire)
ไม่อาจถอนใจ (Fill me with desire)
หากวันนี้เธอไม่ไปไหน อยากจะรัก รักเธอให้เหมือนเดิม

(Make me like a fire)
(Fill me with desire)
และตัวฉันเองไม่ไปไหน จะยังรัก รักเธอให้เหมือนเดิม
(Make me like a fire)
(Fill me with desire)
(Let me be)
(In your heart again)
(On baby)",ford_sobchai
ตราบใด,/music/thailyric/4414,"ตราบใดเธอและฉันยังมีหัวใจเดียวกัน
จะไม่ลืมสัญญา
จะไม่มีอะไรมาเปลี่ยนรักเราจนกว่า
ดวงตะวันทอแสงสุดท้าย

ตราบใดบนฟากฟ้ายังมีแสงดาวพร่างพราย
จะไม่ลืมสายตาซึ้งใจ
จะมั่นคงในความรู้สึกที่เธอมีให้
ขอให้ฟ้าและดาวช่วยเป็นพยาน

ตราบใดฟ้ายังมีแสงดาว ข้างเคียงคู่ใจ
นานสักเพียงไหนไม่เคยห่างกัน
ดั่งความรักที่เราสองคนร่วมใจผูกพัน
เราจะมีกันไม่เคยห่างไกล
เราสองสัญญาจะอยู่เคียงนิรันดร์ จดจำแม้วันสุดท้าย

ตราบใดเธอและฉันยังมีหัวใจเดียวกัน
จะให้เธอพักพิงด้วยใจ
หลับตาลงยังคงรู้สึกว่าเธออยู่ใกล้
เหมือนว่าฉันอิงกายข้างเธอนิรันดร์

ตราบใดฟ้ายังมีแสงดาว ข้างเคียงคู่ใจ
นานสักเพียงไหนไม่เคยห่างกัน
ดั่งความรักที่เราสองคนร่วมใจผูกพัน
เราจะมีกันแม้วันสุดท้าย

ตราบใดฟ้ายังมีแสงดาว ข้างเคียงคู่ใจ
นานสักเพียงไหนไม่เคยห่างกัน
ดั่งความรักที่เราสองคนร่วมใจผูกพัน
เราจะมีกันแม้วันสุดท้าย

ตราบใดฟ้ายังมีแสงดาว ข้างเคียงคู่ใจ
นานสักเพียงไหนไม่เคยห่างกัน
ดั่งความรักที่เราสองคนร่วมใจผูกพัน
เราจะมีกันแม้วันสุดท้าย",ford_sobchai
นิรันดร์,/music/thailyric/4417,"แต่ละวัน ผ่านพ้นไป
ด้วยดวงใจที่หมองหม่น
หากเธอมี ดวงตาที่ค้นหาใครซักคน
คอยรับฟัง คลื่นพายุ
ผ่านพ้นไป คลื่นสลายไม่เหลือฝั่ง

จบลงแล้ว
ความทุกข์ที่ประดังจบสิ้นไป
ยังคงเหลือแค่เพียงความเงียบเหงา
มืดและเหน็บหนาว
อ้างว้างเพียงใด
เพียงเธอได้รู้
ฉันยืนอยู่ต่อไป เพื่อเธอ

ยังมีชีวิต แม้ใจแหลกสลาย
แต่หากมีวันไหน
ที่เราได้พบเจอ
ดวงใจดวงนี้มั่นคง
และยังเป็นของเธอ
นิรันดร์

ไม่ว่าเธออยู่หนใด
แค่เพียงกายถูกขวางกั้น
แต่ความรัก
เปี่ยมล้นทุกคืนวัน เธอรู้ดี
ในวันนี้มีเพียงความเงียบเหงา
เจ็บและปวดร้าว
อ้างว้างเพียงใด
เพียงเธอได้รู้
ฉันยืนอยู่ต่อไป เพื่อเธอ",ford_sobchai
หัวใจที่หายไป,/music/thailyric/4423,"ให้มือไว้สองมือ ให้ตาไว้สองตา
และก็สร้างแขน ให้เราไว้คู่หนึ่ง
แต่ส่วนที่สำคัญ กลับมีเพียงข้างหนึ่ง
นั่นก็คือใจ ที่มันช่างเดียวดาย

แต่(ก็)มีหลายคนบอกไว้
ที่จริงแล้วใจอีกหนึ่งใจ
ฟ้าก็สร้างให้เราไว้ แต่วางไว้แยกกัน

ให้เราต้องตามหา ให้เราต้องมองหา
ให้เราคอยฟังเสียง อีกหัวใจที่หายไป
(ให้ฟังเสียงที่ร่ำร้อง ด้วยความรักจากหัวใจ)
เมื่อไรที่ได้พบ ให้เอาทั้งสองมือไปกอดไว้
แล้วหัวใจ ที่หายไป ก็จะคู่กัน

เราเดินมาพบกัน ในโลกที่กว้างไกล
สบตาครั้งไหน เราก็ใจสั่น
แปลกดีที่คุ้นเคย และสิ่งที่เหมือนกัน
นั่นก็คือใจ ที่เราต่างเดียวดาย

แต่(ก็)มีหลายคนบอกไว้
ที่จริงแล้วใจอีกหนึ่งใจ
ฟ้าก็สร้างให้เราไว้ แต่วางไว้แยกกัน

ให้เราต้องตามหา ให้เราต้องมองหา
ให้เราคอยฟังเสียง อีกหัวใจที่หายไป
(ให้ฟังเสียงที่ร่ำร้อง ด้วยความรักจากหัวใจ)
เมื่อไรที่ได้พบ ให้เอาทั้งสองมือไปกอดไว้
แล้วหัวใจ ที่หายไป ก็จะคู่กัน

แต่(ก็)มีหลายคนบอกไว้
ที่จริงแล้วใจอีกหนึ่งใจ
ฟ้าก็สร้างให้เราไว้ แต่วางไว้แยกกัน

ให้เราต้องตามหา ให้เราต้องมองหา
ให้เราคอยฟังเสียง อีกหัวใจที่หายไป
(ให้ฟังเสียงที่ร่ำร้อง ด้วยความรักจากหัวใจ)
เมื่อไรที่ได้พบ ให้เอาทั้งสองมือไปกอดไว้
แล้วหัวใจ ที่หายไป ก็จะคู่กัน

ให้สองเรา และสองใจ นั้นได้รักกัน",ford_sobchai
ก็มันคิดถึง,/music/thailyric/4409,"นานสักเพียงไร นานสักเพียงไร นับตั้งแต่เราเดินแยกจากกัน
เดินไปจนไกล เดินไปจนไกล หวังที่จะลบเรื่องทุกอย่าง
แต่ฉันเพิ่งได้รู้ว่าไกลสักเพียงใดก็ยังไม่เคยลืมเธอได้สักวัน
ฉันก็ได้รู้ยิ่งนานเพียงใด ก็ฝั่งใจกับเธอมาเท่านั้น

อยากให้เวลามันหมุนคืนไป มันผ่านไปแล้วฉันเข้าใจ
เธออาจจะลืมกัน เธออาจมีใคร แต่ฉันก็ยังอยากกลับมาเจอ

ก็มันคิดถึง ใจมันคิดถึง
อยากจะมาสบตากับเธอให้นานอย่างเมื่อวาน
มาเพื่อพบเธอแค่ไม่นาน ไม่รู้ว่ากวนใจเธอหรือป่าว
ก็มันคิดถึง ใจมันคิดถึง
อยากบอกเธอว่าฉันไม่เคยจะลืมเรื่องของเรา
รู้ไหมจะนานสักเท่าไหร่ คนคนนี้ก็ยังเป็นคนเก่าคนเดิม

คงไม่เป็นไร คงไม่เป็นไร ถ้าเธอไม่ต้องการจะทักทายฉัน
คงไม่กวนใจ คงไม่กวนใจ จะขอยืนตรงนี้แค่ไม่นาน
ขอแค่ได้รู้ ขอแค่ได้เห็น ว่าเธอสบายดีแล้วก็จากไป
ขอแค่ให้รู้ ไมคิดมากวนใจ มาตามความคิดถึงก็เท่านั้น

อยากให้เวลามันหมุนคืนไป มันผ่านไปแล้วฉันเข้าใจ
เธออาจจะลืมกัน เธออาจมีใคร แต่ฉันก็ยังอยากกลับมาเจอ

ก็มันคิดถึง ใจมันคิดถึง
อยากจะมาสบตากับเธอให้นานอย่างเมื่อวาน
มาเพื่อพบเธอแค่ไม่นาน ไม่รู้ว่ากวนใจเธอหรือป่าว
ก็มันคิดถึง ใจมันคิดถึง
อยากบอกเธอว่าฉันไม่เคยจะลืมเรื่องของเรา
รู้ไหมจะนานสักเท่าไหร่ คนคนนี้ก็ยังเป็นคนเก่าคนเดิม",ford_sobchai
โลกกว้างไปหรือใจแคบลง,/music/thailyric/4420,"ฉันพบตัวเอง หลงเดินมาที่เดิมที่เก่า
หนีคืนวันที่มันเหน็บหนาว ที่เหงาจนทนไม่ไหว
เพื่อหาคำตอบ ซึ่งมันเคยเป็นคำถามที่คาหัวใจ
นับแต่เธอจากไป เหมือนรอบกายก็เงียบงัน

ทุกๆเรื่องราว เมื่อครั้งที่เรานั้นเคยมีกัน
ทุกนาทีที่เราผูกพัน ไม่มีวันจะจางหาย
รู้เพียงตัวเอง ได้ยินแค่จังหวะเสียงเต้นของหัวใจ
เหมือนเธอยังคอยย้ำว่ายังไม่หายไป

ไม่เคยมีสักวัน ที่เธอห่างจากหัวใจ
แม้มันจะนานเท่าไหร่ ไม่ว่าวันเดือนปีพ้นไปก็ยิ่งชัดเจน
ไม่อยากมองให้เห็นใคร แม้โลกยังคงกว้างใหญ่
แค่ไม่รู้ว่าโลกกว้างไปหรือใจฉันแคบลง

เมื่อฟ้าสว่าง ฝนก็ซาและจางไป
ทุกชีวิตก็เริ่มสดใส และสวยงามขึ้นอีกครั้ง
และฉันจะยืนอยู่ ด้วยใจที่รู้ว่ามันอ้างว้าง
เหลือเพียงภาพความหลัง ที่ยังไม่หายไป

ไม่เคยมีสักวัน ที่เธอห่างจากหัวใจ
แม้มันจะนานเท่าไหร่ ไม่ว่าวันเดือนปีพ้นไปก็ยิ่งชัดเจน
ไม่อยากมองให้เห็นใคร แม้โลกยังคงกว้างใหญ่
แค่ไม่รู้ว่าโลกกว้างไปหรือใจฉันแคบลง

ไม่เคยมีสักวัน ที่เธอห่างจากหัวใจ
แม้มันจะนานเท่าไหร่ ไม่ว่าวันเดือนปีพ้นไปก็ยิ่งชัดเจน
ไม่อยากมองให้เห็นใคร แม้โลกยังคงกว้างใหญ่
แค่ไม่รู้ว่าโลกกว้างไปหรือใจฉันแคบลง",ford_sobchai
แสนรัก,/music/thailyric/4421,"จงใคร่ครวญหัวใจ ใครเล่าใครไหนกัน
แสนรักมั่น ห่วงใยเธอมากกว่าฉัน
มัวปิดบังฉันใย มีเรื่องใดพูดกัน
บอกกับฉัน อย่าทำเป็นเหินห่างไป

สายตาเธอบ่งบอก เห็นใจกันอย่าหลอก
จะรักใคร ไม่ต้องห่วงอย่าลวงฉันเลย
ถึงต้องช้ำใจกาย ฉันก็พร้อมยอมตาย
เพราะเป็นเธอ อย่างไรทนได้เสมอ

ร้อง อย่าร้องไห้เสียน้ำตา
หากจะรักเขา ก็จงลืมฉัน
จะต้องหักใจ ปวดร้าวทำไม
ตัดใครซักคน มั่นในรักเดียว

สายตาเธอบ่งบอก เห็นใจกันอย่าหลอก
จะรักใคร ไม่ต้องห่วงอย่าลวงฉันเลย
ถึงต้องช้ำใจกาย ฉันก็พร้อมยอมตาย
เพราะเป็นเธอ อย่างไรทนได้เสมอ

ร้อง อย่าร้องไห้เสียน้ำตา
หากจะรักเขา ก็จงลืมฉัน
จะต้องหักใจ ปวดร้าวทำไม
ตัดใครซักคน มั่นในรักเดียว",ford_sobchai
