song_name,href,lyric,artist
ตื่นได้แล้ว (Wake Up),/music/thailyric/9191,"ทำไมเวลาอยู่ใกล้เธอ ใจมันชอบเพ้อไป
ว่าเธอเอามือโอบไว้ กระซิบข้างหูว่ารักกัน
ทำไมเวลาเธอจ้องตา อารมณ์มันไหวหวั่น
แอบคิดว่าเธอชอบฉัน เข้าข้างตัวเองทุกทีไป

เก็บไปฝันว่าเรารักกัน
(มันคือหลอกตัวเองไม่รู้หรือไง
ยังไงก็เป็นเพียง แค่เพื่อนคนนึงได้เท่านั้น)

ตื่นขึ้นมาได้ไหมหัวใจจงตื่น
ทำไมยังไปฝันถึงเธอคนนั้น
(เธอไม่ได้คิดอะไรเลย เออออคนเดียว
ไม่กลัวหรือไง ถ้าเธอไม่คิดอย่างฉัน)

ตื่นขึ้นมาได้แล้วเลิกฝันกลางวัน
ก็เธอไม่ได้รักแม้ซักครึ่งใจ
(ทำไมไม่รู้ตัวกันเลยใจยังละเมอ
ใครช่วยฉันที ช่วยปลุกฉันทีแรงๆ)

ความจริงคือเธออยู่ใกล้กัน มือเธอกลับเหินห่าง
ไม่เคยมีคำพูดนั้น ที่สื่อออกมาว่ามีใจ
ลืมตามามองสบสายตา มองดูถึงข้างใน
กล้าคิดกับเธออยู่ไหม ในเมื่อแววตานั้นว่างเปล่า

เก็บไปฝันว่าเรารักกัน
(มันคือหลอกตัวเองไม่รู้หรือไง
ยังไงก็เป็นเพียง แค่เพื่อนคนนึงได้เท่านั้น)

ตื่นขึ้นมาได้ไหมหัวใจจงตื่น
ทำไมยังไปฝันถึงเธอคนนั้น
(เธอไม่ได้คิดอะไรเลย เออออคนเดียว
ไม่กลัวหรือไง ถ้าเธอไม่คิดอย่างฉัน)

ตื่นขึ้นมาได้แล้วเลิกฝันกลางวัน
ก็เธอไม่ได้รักแม้ซักครึ่งใจ
(ทำไมไม่รู้ตัวกันเลย ใจยังละเมอ
ใครช่วยฉันที ช่วยปลุกฉันทีแรงๆ)

Time to wake up and see nothing from you
Time to wake up and see all the truth
Time to wake up just wonder where you are
Time to wake up you're just away too far

เก็บไปฝันว่าเรารักกัน
(มันคือหลอกตัวเองไม่รู้หรือไง
ยังไงก็เป็นเพียงแค่เพื่อนคนนึงได้เท่านั้น)

ตื่นขึ้นมาได้ไหมหัวใจจงตื่น
ทำไมยังไปฝันถึงเธอคนนั้น
(เธอไม่ได้คิดอะไรเลย เออออคนเดียว
ไม่กลัวหรือไง ถ้าเธอไม่คิดอย่างฉัน)

ตื่นขึ้นมาได้แล้วเลิกฝันกลางวัน
ก็เธอไม่ได้รักแม้ซักครึ่งใจ
(ทำไมไม่รู้ตัวกันเลย ใจยังละเมอ
ใครช่วยฉันที ช่วยปลุกฉันทีแรงๆ)",grand_panwarat
เว้นวรรค,/music/thailyric/8913,"ขอเวลาหน่อย ขอเวลาหน่อย
ขอเว้นวรรคสักหน่อย

บาดเจ็บ พึ่งจะโดนทิ้ง หมาดๆ
ใจยังเป็นแผล ยังซมซม ไม่ดีเท่าไร
ดูออกที่เธอมารัก บอกก่อน
ถ้าเป็นตอนนี้ คงเร็วไป โว้โอ

ขอเวลาหน่อย ขอเวลาหน่อย
ขอเว้นวรรคสักหน่อย
ยังพักฟื้นพึ่งได้ไม่นาน

no no no นะยังก่อน
ยังรักใครได้ลำบาก
หยุดเถอะ ยังไม่ค่อยอยาก
เก็บรักนั้นไปก่อนไป

no no no ขอบายก่อน
ตอนนี้ไม่พร้อมเปิดใช้
พักซ่อมแซมเป็นการใหญ่
ยังไม่อยากรับใครไว้ในหัวใจ

เมื่อไหร่ ก็ยังไม่รู้ รออยู่
รอให้ความช้ำมันเบาบาง หรือจางหายไป
นานหน่อย เธอจะรอไหม
เหนื่อยหน่อย แต่ก็ช่วยวัดความจริงใจ โว้โอ...

ขอเวลาหน่อย ขอเวลาหน่อย
ขอเว้นวรรคสักหน่อย
ยังพักฟื้นพึ่งได้ไม่นาน

no no no นะยังก่อน
ยังรักใครได้ลำบาก
หยุดเถอะ ยังไม่ค่อยอยาก
เก็บรักนั้นไปก่อนไป

no no no ขอบายก่อน
ตอนนี้ไม่พร้อมเปิดใช้
พักซ่อมแซมเป็นการใหญ่
ยังไม่อยากรับใครไว้ในหัวใจ

no no no นะยังก่อน
ยังรักใครได้ลำบาก
หยุดเถอะ ยังไม่ค่อยอยาก
เก็บรักนั้นไปก่อนไป

no no no ขอบายก่อน
ตอนนี้ไม่พร้อมเปิดใช้
พักซ่อมแซมเป็นการใหญ่
ยังไม่อยากรับใครไว้ในหัวใจ",grand_panwarat
เธอเป็นแฟนฉันนะ,/music/thailyric/325,"เดินจับมือต่อหน้าใคร กางร่มให้ตอนฝนพรำ
คอยโทรถามว่าอยู่ไหน รู้สึกคิดถึง
วันอะไรที่สำคัญ ให้ของขวัญสักนิดหนึ่ง
ไปดูหนังรักซึ้งๆ สองต่อสองบ้าง

พูดว่าห่วงใยและแคร์ เอื้อมมาแตะที่หน้าผาก
ถามสักนิดว่าตอนนี้รู้สึกแบบไหน
เอารูปขึ้นบนหน้าจอ message บอกรักเท่าไหร่
หรืออย่างน้อย โทร good night ให้ชื่นใจบ้าง

อะไรที่คนที่รักเขาทำกัน
เธอไม่เคยทำให้ฉันสักนิดเลย
เป็นคนที่คุ้น แต่กลับไม่เคย
จะได้ความสนใจ เธอปล่อยให้เหงา

เธอเป็นแฟนฉันนะ
ทำไมเธอทำเหมือนคบไปวันๆ
ไม่ห่วงใยไม่ค่อยมองกัน ไม่ให้น้อยใจได้ยังไง
มีจิตใจอยู่นะ ไม่ดูแลอย่างนี้ใครกันจะทนไหว
นี่เธอยังอยากเป็นแฟนฉันไหม ช่วยตอบมาสักคำ

ทีกับใครเธอแสนดี ทีกับฉันไม่เห็นใจ
โทรไปหาใครต่อใคร เว้นกดเบอร์ฉัน
ถ้ายังไม่สบสายตา เธอก็อย่ามาว่ากัน
ถ้าหากฉันนั้นจะทำเหมือนเธอทำบ้าง

อะไรที่คนที่รักเขาทำกัน
เธอไม่เคยทำให้ฉันสักนิดเลย
เป็นคนที่คุ้น แต่กลับไม่เคย
จะได้ความสนใจ เธอปล่อยให้เหงา

เธอเป็นแฟนฉันนะ
ทำไมเธอทำเหมือนคบไปวันๆ
ไม่ห่วงใยไม่ค่อยมองกัน ไม่ให้น้อยใจได้ยังไง
มีจิตใจอยู่นะ ไม่ดูแลอย่างนี้ใครกันจะทนไหว
นี่เธอยังอยากเป็นแฟนฉันไหม ช่วยตอบมาสักคำ

เธอเป็นแฟนฉันนะ
ทำไมเธอทำเหมือนคบไปวันๆ
ไม่ห่วงใยไม่ค่อยมองกัน ไม่ให้น้อยใจได้ยังไง
มีจิตใจอยู่นะ ไม่ดูแลอย่างนี้ใครกันจะทนไหว
นี่เธอยังอยากเป็นแฟนฉันไหม ช่วยตอบมาสักคำ",grand_panwarat
ตุ๊กตาบลายท์,/music/thailyric/324,"ถ้าออกเดทต้องแต่งหน้าใหม่
เธอบอกแก้มฉันมันซีดไป
เสื้อผ้าหน้าผมดูแล้วไม่โอะโอ

จะควงเธอต้องเปลี่ยนให้หมด
ชุดแซก เกาะอกหรือสายเดี่ยว
กระโปรง รองเท้า ต้องเปรี้ยวให้ถูกใจ

ต้องแต่งตัวให้สวยๆ ต้องแต่งหน้าให้ใสๆ
เหมือนฉันเป็นตุ๊กตาของเธอ
อยากให้ถามใจดีๆ ตกลงรักฉันที่ไหน
เล่นมาบงการจนใจฉันเบลอ

ya ya ya อย่ามาวุ่นวาย วุ่นวาย
ไม่งั้นจะ say goodbye
จะเอาให้ได้อย่างใจ ไว้ชาติหน้าบ่ายๆ
เปลี่ยนฉันไม่ยอมหรอกนะ
เปลี่ยนใจได้ตามสบาย
ไม่รักอย่ารัก บอกไว้ฉันไม่ใช่ตุ๊กตาบลายท์

ทีเธอทำผมทรงไหนมา ไฮไลท์ไม่เห็นจะเข้าตา
ไม่เคยไปว่าอะไร เธอสักที
ก็ฉันเป็นเงี้ยะมาตั้งนาน
อยากได้สไตล์ที่เหมือนใคร
คงต้องไปหาข้างหน้าแล้วล่ะเธอ

ต้องแต่งตัวให้สวยๆ ต้องแต่งหน้าให้ใสๆ
เหมือนฉันเป็นตุ๊กตาของเธอ
อยากให้ถามใจดีๆ ตกลงรักฉันที่ไหน
เล่นมาบงการจนใจฉันเบลอ

ya ya ya อย่ามาวุ่นวาย วุ่นวาย
ไม่งั้นจะ say goodbye
จะเอาให้ได้อย่างใจ ไว้ชาติหน้าบ่ายๆ
เปลี่ยนฉันไม่ยอมหรอกนะ
เปลี่ยนใจได้ตามสบาย
ไม่รักอย่ารัก บอกไว้ฉันไม่ใช่ตุ๊กตาบลายท์

ต้องแต่งตัวให้สวยๆ ต้องแต่งหน้าให้ใสๆ
เหมือนฉันเป็นตุ๊กตาของเธอ
อยากให้ถามใจดีๆ ตกลงรักฉันที่ไหน
เล่นมาบงการจนใจฉันเบลอ

ya ya ya อย่ามาวุ่นวาย วุ่นวาย
ไม่งั้นจะ say goodbye
จะเอาให้ได้อย่างใจ ไว้ชาติหน้าบ่ายๆ
เปลี่ยนฉันไม่ยอมหรอกนะ
เปลี่ยนใจได้ตามสบาย
ไม่รักอย่ารัก บอกไว้

ya ya ya อย่ามาวุ่นวาย วุ่นวาย
ไม่งั้นจะ say goodbye
จะเอาให้ได้อย่างใจ ไว้ชาติหน้าบ่ายๆ
เปลี่ยนฉันไม่ยอมหรอกนะ
เปลี่ยนใจได้ตามสบาย
ไม่รักอย่ารัก บอกไว้ฉันไม่ใช่ตุ๊กตาบลายท์",grand_panwarat
สะกดใจ,/music/thailyric/327,"เธอสะกดชื่อฉันถูกไหมเธอ
ฉันสะกดชื่อเธออยู่ทุกที
มนต์สะกดอะไรนะวันนี้
ที่เธอทำให้ฉันนั้นเปลี่ยนไป

เช้าขึ้นมา กระจกก็มีหน้าเธอ
ดูหนังสือมีแต่ชื่อเธอมากมาย
ซื้อพิซซ่า เผลอสั่งหน้าเธอได้ไง
ไม่รู้เป็นอะไร เป็นไข้ใจหรือเปล่า

ตั้งแต่เจอะเธอ Love you
ได้ยินเสมอทุกวัน ทุกวันทุกวันอยู่ในหู

สงสัยเธอสะกดใจฉัน ด้วยคำ
คำว่า you love me
ฉันเลยสะกดได้แค่คำนี้ I Love you

ใกล้เข้านอน ช่วยโทรมากล่อมฉันที
ตั้งเป็น calling melody รอเธอ
รับประกันว่าฉันจะรับสายเธอ
หรือไม่ก็ไปเจอ ในฝันละกัน

เพราะใจของฉัน Love Love you
ได้ยินเสมอ Love ทุกวันทุกวัน ทุกวันอยู่ในหู

สงสัยเธอสะกดใจฉัน ด้วยคำ
คำว่า you love me
ฉันเลยสะกดได้แค่คำนี้ I Love you

เพราะใจของฉัน Love Love you
ได้ยินเสมอ Love ทุกวันทุกวัน ทุกวันอยู่ในหู

สงสัยเธอสะกดใจฉัน ด้วยคำ
คำว่า you love me
ฉันเลยสะกดได้แค่คำนี้ I Love you

สงสัยเธอสะกดใจฉัน ด้วยคำ
คำว่า you love me
ฉันเลยสะกดได้แค่คำนี้ I Love you",grand_panwarat
เก็บไว้ในหัวใจ,/music/thailyric/322,"ดวงตะวันที่เคยได้ส่องแสงสวยงาม
ก็ยังมีเวลาต้องหายลับไปจากขอบฟ้า
มันก็คงเหมือนรักของเรา ที่มีวันเวลาที่แสนดี
แต่อีกไม่นาน ก็ต้องหมดลงเหมือนกัน

มีสิ่งเดียวที่ใจฉันกลัว
คือพรุ่งนี้ไม่เจอหน้าเธอเหมือนเก่า
หากไม่มีเธอ แล้วชีวิตฉันมีเพื่ออะไร
อยากจะหยุดเวลาให้นาน
ให้ความรักของเรามั่นคงเรื่อยไป
เวลาที่มี จะเอ่ยคำนี้ให้หมดทั้งใจ

อยากบอกว่ารักเธอ ว่ารักเธอให้มากที่สุดตอนนี้
อยากใช้ทุกเวลาทุกวินาที อยู่ข้างเธอให้นาน
เพื่อบอกว่ารักเธอ ว่ารักเธอจนถึงวันต้องจากกัน
ฉันจะจำภาพเธออยู่ ฝังในใจเก็บไว้ไม่เคยจะลืม

เธอคนเดียวที่เดินเข้ามาเห็นหัวใจ
เป็นตะวันที่ส่องนำแสงเข้ามาที่ใจฉัน
ความทรงจำที่ดีที่สุด อยากจะมีมันไปอีกแสนนาน
คือตอนที่ฉัน ได้เดินอยู่เคียงข้างเธอ

มีสิ่งเดียวที่ใจฉันกลัว
คือพรุ่งนี้ไม่เจอหน้าเธอเหมือนเก่า
หากไม่มีเธอ แล้วชีวิตฉันมีเพื่ออะไร
อยากจะหยุดเวลาให้นาน
ให้ความรักของเรามั่นคงเรื่อยไป
เวลาที่มี จะเอ่ยคำนี้ให้หมดทั้งใจ

อยากบอกว่ารักเธอ ว่ารักเธอให้มากที่สุดตอนนี้
อยากใช้ทุกเวลาทุกวินาที อยู่ข้างเธอให้นาน
เพื่อบอกว่ารักเธอ ว่ารักเธอจนถึงวันต้องจากกัน
ฉันจะจำภาพเธออยู่ ฝังในใจเก็บไว้ไม่เคยจะลืม

อยากบอกว่ารักเธอ ว่ารักเธอให้มากที่สุดตอนนี้
อยากใช้ทุกเวลาทุกวินาที อยู่ข้างเธอให้นาน
เพื่อบอกว่ารักเธอ ว่ารักเธอจนถึงวันต้องจากกัน
ฉันจะจำภาพเธออยู่ ฝังในใจเก็บไว้ไม่เคยจะลืม

ความรักของเรานั้นยังอยู่
ฉันจะเก็บเธอไว้ในใจอย่างนี้",grand_panwarat
คนในกระจก,/music/thailyric/323,"เธอนะดูออกเหรอ ว่าฉันกำลังมีปัญหา
คล้ายๆ คนความรักเข้าตา ดูจะเพ้อๆ ยังไง
เธอว่าฉันอินเลิฟ ใจฉันลอยไปอยู่ที่ใคร
ถามทำไมหรือเธออยากจะช่วยกัน

ถ้าอย่างนั้น ก็มีบางอย่าง
ต้องขอวานเธอสักหน่อย
ฝากคำๆ หนึ่งไปบอกใครหน่อยได้ไหม

แค่หนึ่งคำนี้ ช่วยฟังดีๆ ให้ขึ้นใจ
กลับบ้านไปนะ ว่างตอนไหน
ช่วยไปที่หน้ากระจกเงา เธอจะพบคนนั้น
คนที่ฉันต้องการ ต้องการที่จะบอกเขา
ฝากบอกเพียงเบาๆ ฉันรักเขาคนนั้นหมดหัวใจ

ฉันไม่กล้าบอกเอง เกรงว่าเขาจะไม่เข้าใจ
ฉันต้องซ่อนอาการเก็บไว้ ไม่ให้เขาเห็นแววตา
เธอช่วยไปบอกเขา บอกทุกคำที่ฉันฝากมา
และอ้อนวอนให้เขา เข้าใจฉันสักที

ช่วยได้ไหม ฉันมีบางอย่าง
ต้องขอวานเธอสักหน่อย
ฝากคำๆ หนึ่งไปบอกใครหน่อยได้ไหม

แค่หนึ่งคำนี้ ช่วยฟังดีๆ ให้ขึ้นใจ
กลับบ้านไปนะ ว่างตอนไหน
ช่วยไปที่หน้ากระจกเงา เธอจะพบคนนั้น
คนที่ฉันต้องการ ต้องการที่จะบอกเขา
ฝากบอกเพียงเบาๆ ฉันรักเขาคนนั้นหมดหัวใจ

แค่หนึ่งคำนี้ ช่วยฟังดีๆ ให้ขึ้นใจ
กลับบ้านไปนะ ว่างตอนไหน
ช่วยไปที่หน้ากระจกเงา เธอจะพบคนนั้น
คนที่ฉันต้องการ ต้องการที่จะบอกเขา
ฝากบอกเพียงเบาๆ ฉันรักเขาคนนั้นหมดหัวใจ",grand_panwarat
แบบว่า Ah Ah,/music/thailyric/22223,"คืนนี้เข้าไปส่องดูใน Story
Swipe ไปเจอเธอ เออแบบหน้าตาดี
ก็ลอง Dm ไปคุยหน่อยคืนนี้
แบบว่าฉันนั้นยังคงเหงาและแฟนก็ไม่มี

แค่ลองคุยกันอะ โอ้ว ใจมันร้อนเปนไฟ
แค่ Call line กันน่ะ อุ้ว เธอมันฮอตไม่ไหว
แค่โทร มากระซิบ อื้ม นี่เธอคิดอะไร
ถ้าอยากจะชวนไป Outside ละเธอจะเอาไหม

Just comin into my club and ride on me like a car
Show me what u gotta do I know u ไม่ธรรมดา
In mercedes come on baby
Gimme somethin like aha yeah yeah
Are u ready yeah yeah go get it boy

Ah ah เธอทำฉันแบบว่า Crazy แบบว่า OK ก็แบบว่า Sexy
Ah ah he said he wanna touch me
Make it slowly l like it oh yeah

Lemme ah ah ah ah ah yah
Lemme ah ah ah ah ah yah
Lemme ah ah ah ah ah yah
Lemme ah ah ah

ก็ลองมองดูดีๆ Yeah pretty bitchy me
GRAN to the D ให้เธอมาเป็น My VIP
เข้ามา Side to side และฉันรู้เธอชอบอะไร
Can u with me tonight
Let's get it ah we gonna fight

เธอคิดว่าเธอเสือหรอ
เธอนึกว่าเธอเหนือเหรอ
เธอน่ะเป็นแค่เหยื่อ
มาให้เชือดละจะไปเหลือหรอ

เอาไงเธอจะมาป่ะ
ชักช้าเสียเวลานะ
อยู่ด้วยกันยันเช้า
Do it right now cause i know u wanna

Ah ah เธอทำฉันแบบว่า Crazy แบบว่า OK ก็แบบว่า Sexy
Ah ah he said he wanna touch me
Make it slowly l like it oh yeah

Lemme ah ah ah ah ah yah
Lemme ah ah ah ah ah yah
Lemme ah ah ah ah ah yah
Lemme ah ah ah

Ah อยากจะ Ah อยากจะ Umm อยากจะ Ah ah
โทษทีนะคะ แต่ว่าตอนนี้ต้องมีระยะห่าง
เอา เป็นว่ารอ วันที่เรา นั้นจะได้เจอกัน
แต่ว่าอยู่ที่บ้าน ผมจินตนาการถึงเธอทุกวัน

ตอนนี้ได้แต่ส่อง ได้แต่ไลก์ ได้แต่กดหัวใจไว้
She go live แต่ว่าเธอบอก เธออยากเจอผมใกล้ๆ
เธอบอกเธอ Work from home
แต่คืนนี้ You alone
เหมือนเธออยากร้องเพลง
แต่ไม่มี Microphone

อยู่กับ Gang gang มันดูแต่ Only fan fan
แต่คนนี้ร้อนและแรง Man
She's so fuckin bad ass สาส
คุยกับเธอในแชท
แต่อยากให้เธอมา Do like that
ช่วยเปิดกล้องหน้าให้ผมสักแป๊บ
ช่วยแบบว่า Ah Ah ah ah

Ah ah เธอทำฉันแบบว่า Crazy แบบว่า OK ก็แบบว่า Sexy
Ah ah he said he wanna touch me
Make it slowly l like it oh yeah

Lemme ah ah ah ah ah yah
Lemme ah ah ah ah ah yah
Lemme ah ah ah ah ah yah
Lemme ah ah ah",grand_panwarat
ผิดที่ฉันรักเธอ,/music/thailyric/10996,"รู้เพียงว่าเพราะรัก ฉันก็เลยต้องทำ
ไม่ว่าจะสูงต่ำ ดีเลวยังไง
รู้เพียงว่ารักเธอ อย่างไม่เคยรักใคร
ขอเพียงได้หัวใจ เธอเป็นของฉัน
ยอมหมดแล้ว ยอมหมดใจ
ฉันต้องทำยังไง เพื่อให้มีเธอ

ถ้าหากที่ฉันรักเธอมันผิด ร้ายแรงเกินอภัย
ลงนรกก็จะไปไม่กลัวอะไรทั้งนั้น
หากรักแล้วมันจะผิด ผิดที่ตัวฉัน
เมื่อคนเดียวที่ใจต้องการ นั่นคือเธอ

ที่ใดที่มีรัก ที่นั่นมีน้ำตา
ฉันเองเพิ่งรู้ว่า มันเป็นยังไง
หวังที่จะได้มา และไม่ยอมเสียไป
ร้ายดีสักเท่าไรจะทำทุกทาง
ยอมหมดแล้ว ยอมหมดใจ
ฉันต้องทำยังไง เพื่อให้มีเธอ

ถ้าหากที่ฉันรักเธอมันผิด ร้ายแรงเกินอภัย
ลงนรกก็จะไปไม่กลัวอะไรทั้งนั้น
หากรักแล้วมันจะผิด ผิดที่ตัวฉัน
เมื่อคนเดียวที่ใจต้องการ

ถ้าหากที่ฉันรักเธอมันผิด ร้ายแรงเกินอภัย
ลงนรกก็จะไป ไม่กลัวอะไรทั้งนั้น
หากรักแล้วมันจะผิด ผิดที่ตัวฉัน
เมื่อคนเดียวที่ใจต้องการ นั่นคือเธอ",grand_panwarat
รักเธอใช่ไหม,/music/thailyric/326,"ถามตัวเองว่าฉันเป็นอะไร
รู้สึกแปลกๆ ในใจ ทุกทีที่เธอมองตา
ใกล้ทีไร หวั่นไหวจนเหนื่อยล้า
ห่างกันก็ใจเรียกหา อยากเจอเธอทุกนาที

ไม่รู้ควรทำตัวเช่นไร
ควรปล่อยเอาไว้หรือควรหยุดมันแค่นี้
ที่รู้คือยังเบือนหน้าหนี ทั้งใจที่มียิ่งแล้วมา

รักเธอใช่ไหมหัวใจจึงเป็นอย่างนี้
ใครพอรู้ช่วยบอกมาที ฉันไม่ค่อยแน่ใจ
รักเธอใช่ไหม ถามใจตัวเองกี่ครั้ง
ยังไม่เคยเข้าใจซักวัน
ไม่รู้นานเท่าไหร่ จะพบคำตอบ

ทั้งที่เธอ ยังเหมือนฝันไปไกล
เวลาจะช่วยฉันไหม เผยความเป็นจริงซักหน
เพราะเธอทำ ทำให้ใจสับสน
แอบเหงาไม่มีเหตุผล แอบเพ้อในใจเบาๆ

ไม่รู้ควรทำตัวเช่นไร
ควรปล่อยเอาไว้ หรือควรหยุดมันแค่นี้
ที่รู้คือยังเบือนหน้าหนี ทั้งใจที่มียิ่งแล้วมา

รักเธอใช่ไหมหัวใจจึงเป็นอย่างนี้
ใครพอรู้ช่วยบอกมาที ฉันไม่ค่อยแน่ใจ
รักเธอใช่ไหม ถามใจตัวเองกี่ครั้ง
ยังไม่เคยเข้าใจซักวัน
ไม่รู้นานเท่าไหร่ จะพบคำตอบ

รักเธอใช่ไหมหัวใจจึงเป็นอย่างนี้
ใครพอรู้ช่วยบอกมาที ฉันไม่ค่อยแน่ใจ
รักเธอใช่ไหม ถามใจตัวเองกี่ครั้ง
ยังไม่เคยเข้าใจซักวัน
ไม่รู้นานเท่าไหร่ จะพบคำตอบ",grand_panwarat
