song_name,href,lyric,artist
คอสเมติกส์ (Cosmetics),/music/thailyric/59,"ชุดสีทองเหลือบ มุกประกายส่อง อยู่กลางแสงไฟ
เล็บสีแดงเลือดนก ดูช่างร้อนแรง ยิ่งยวนเย้าใจ
Mascara ละลายไหลไปตามเหงื่อไคล ให้ใจรุ่มเร้า
ระยะมองคลุมไหล่ ขาวนวลยิ่งชวนให้ฉัน ติดบ่วงจน

หลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กล้วว่ามันจะจาง กลัวว่าเธอจะล้างมันไป (ให้หาย)
ปล่อยให้ฉันหลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กลัวว่ามันจะจาง กลัวข้างในหัวใจไม่เหลือสิ่งไหนที่ฉันสนใจ

ผมสีน้ำตาลอ่อน หรือม่วงประกายแสด ก็แผดเผาใจ
ยิ่งใต้แสงนวลสลัว หัวใจสั่น หวั่นเธอหายไป
Brush on กับผิวชมพูให้ดูยิ่งอ่อนวัย เกินจะทนไหว
Lipgloss แวววาว ฉุดหัวใจให้ชายหวั่นไหว ติดบ่วงจน

หลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กล้วว่ามันจะจาง กลัวว่าเธอจะล้างมันไป (ให้หาย)
ปล่อยให้ฉันหลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กลัวว่ามันจะจาง กลัวข้างในหัวใจไม่เหลือสิ่งไหนที่ฉันสนใจ

Eye shadow คมเฉี่ยว ฟ้าเขียวเกี่ยวหัวใจ ชายใดที่เจอ
ทุกคนยอมสยบหัวใจ ได้เพียงพร่ำเพ้อ

หลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กล้วว่ามันจะจาง กลัวว่าเธอจะล้างมันไป (ให้หาย)
ปล่อยให้ฉันหลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กลัวว่ามันจะจาง กลัวข้างในหัวใจไม่เหลือสิ่งไหนที่ฉันสนใจ",groove_riders
แค่เธอก็พอ,/music/thailyric/60,"สิ่งที่ฉันไม่เคยรู้สึก สิ่งที่ฉันไม่เคยจะนึกว่ามี
แต่แล้วฉันก็พบจาก ได้พบจากเธอ เธอคนนี้

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้วแค่คนนี้

จะไม่มีวันรักใคร และจะไม่มีวันไปไหน
ฉันสัญญาว่าฉันจะ จะรักกับเธอเป็นคนสุดท้าย

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้วแค่คนนี้

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้วแค่คนนี้

จะไม่มีวันรักใคร(ไม่มีไม่มี) และจะไม่มีวันไปไหนสักที
ฉันสัญญาว่าฉันจะ จะรักกับเธอแค่คนๆนี้ (สัญญาๆ)

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้ว
ชีวิตฉันเพียงพอแล้ว ชีวิตฉันเพียงพอแล้ว
กับคนนี้",groove_riders
รักที่เพิ่งผ่านพ้นไป,/music/thailyric/65,"เคยนั่งตรงนี้ เก้าอี้ตัวนี้ อยู่ข้างๆเธอ
เป็นที่ประจำ ที่เธอและฉัน จะนัดกันเสมอ
แต่วันนี้ ที่เดิมตรงนี้ ที่ฉันได้เจอ
ทุกอย่างคงเดิม บรรยากาศเดิมๆ แต่ไม่มีเธอ

ดนตรี นั้นเล่นอยู่ ฟัง ฉันฟังอยู่
แต่ว่าในใจนั้น เงียบงัน

มีแต่เสียงเพลง ที่ว่างเปล่า
จบลงแล้ว ความรักของเรา
ไม่มีเขาเคียงข้างอีกแล้ว   ไม่มีคืนวันที่สดใส
ดื่มให้ตัวเองอีกที กับรักที่เพิ่ง ผ่านพ้นไป
ฉากวันนั้น ยังจดยังจำ แจ่มชัดในใจ
ภาพวันนั้นที่เธอบอกลาฉัน ยังไม่เคยเลือนหายไป
คำพูดวันนั้นที่บอกกับฉัน ว่าเธอต้องไป
เธอจับมือฉัน และบอกให้ฉัน ยกโทษให้ได้ไหม

ดนตรี นั้นเล่นอยู่ ฟัง ฉันฟังอยู่
แต่ว่าในใจนั้น เงียบงัน

มีแต่เสียงเพลง ที่ว่างเปล่า
จบลงแล้ว ความรักของเรา
ไม่มีเขาเคียงข้างอีกแล้ว   ไม่มีคืนวันที่สดใส
ดื่มให้ตัวเองอีกที กับรักที่เพิ่ง ผ่านพ้นไป
ฉากวันนั้น ยังจดยังจำ แจ่มชัดในใจ
ภาพวันนั้นที่เธอบอกลาฉัน ยังไม่เคยเลือนหายไป
คำพูดวันนั้นที่บอกกับฉัน ว่าเธอต้องไป
เธอจับมือฉัน และบอกให้ฉัน ยกโทษให้ได้ไหม

ดนตรี นั้นเล่นอยู่ ฟัง ฉันฟังอยู่
แต่ว่าในใจนั้น เงียบงัน

มีแต่เสียงเพลง ที่ว่างเปล่า
จบลงแล้ว ความรักของเรา
ไม่มีเขาเคียงข้างอีกแล้ว   ไม่มีคืนวันที่สดใส
ดื่มให้ตัวเองอีกที กับรักที่เพิ่ง ผ่านพ้นไป
ฉากวันนั้น ยังจดยังจำ แจ่มชัดในใจ
ภาพวันนั้นที่เธอบอกลาฉัน ยังไม่เคยเลือนหายไป
คำพูดวันนั้นที่บอกกับฉัน ว่าเธอต้องไป
เธอจับมือฉัน และบอกให้ฉัน ยกโทษให้ได้ไหม

มีแต่เสียงเพลง ที่ว่างเปล่า
จบลงแล้ว ความรักของเรา
ไม่มีเขาเคียงข้างอีกแล้ว   ไม่มีคืนวันที่สดใส
ดื่มให้ตัวเองอีกที กับรักที่เพิ่ง ผ่านพ้นไป
ฉากวันนั้น ยังจดยังจำ แจ่มชัดในใจ
ภาพวันนั้นที่เธอบอกลาฉัน ยังไม่เคยเลือนหายไป
คำพูดวันนั้นที่บอกกับฉัน ว่าเธอต้องไป
เธอจับมือฉัน และบอกให้ฉัน ยกโทษให้ได้ไหม",groove_riders
ฮอร์โมน,/music/thailyric/67,"ลำบาก ฉันรู้ว่าเธอในเวลานี้กำลังลำบาก
และก็รู้ดีในอารมณ์นี้นั้นเห็นจะหยุดยาก
ก็ตอนนี้เธอเตลิดเปิดเปิงไปหมดแล้ว

วัยรุ่น ฮอร์โมนของเธอในเวลานี้กำลังคุกรุ่น
จิตใจของหญิงและชายทั้งหลายกำลังว้าวุ่น
เมื่อได้ทดลองอยู่สองต่อสองคงไม่แคล้ว

ความบริสุทธิ์(นั้น/ต้อง)เก็บให้ดีๆ
Won't you baby ก่อนที่จะพลีให้ใคร

คิดเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
ถ้าพวกเขามาเห็น ซวยอย่างไม่ต้องสงสัย
ข่มใจเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
หากอารมณ์เธอพุ่งพล่านขึ้นเมื่อใด จงจำเอาไว้

โอ้ยเหนื่อย ถ้าฉันเห็นเธอในเวลานี้ฉันคงทำหน้าเมื่อย
ที่ต้องดิ้นรนกับความสับสนของอารมณ์เรื่อยๆ
จะตอบว่าเธอกำลังทำสิ่งที่ถูกแล้ว

ความบริสุทธิ์(นั้น/ต้อง)เก็บให้ดีๆ
Won't you baby ก่อนที่จะพลีให้ใคร

คิดเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
ถ้าพวกเขามาเห็น ซวยอย่างไม่ต้องสงสัย
ข่มใจเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
หากอารมณ์เธอพุ่งพล่านขึ้นเมื่อใด จงจำเอาไว้

คิดเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
ถ้าพวกเขามาเห็น ซวยอย่างไม่ต้องสงสัย
ข่มใจเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
หากอารมณ์เธอพุ่งพล่านขึ้นเมื่อใด จงจำเอาไว้

คิดเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
ถ้าพวกเขามาเห็น ซวยอย่างไม่ต้องสงสัย
ข่มใจเอาไว้ คิดถึงหน้าพ่อแม่ของเธอไว้
หากอารมณ์เธอพุ่งพล่านขึ้นเมื่อใด จงจำเอาไว้",groove_riders
ก่อนที่มันจะสาย,/music/thailyric/57,"จบลงอย่างนี้ทุกครั้งที่เราไม่พูดกัน ส่วนฉันก็ยังไม่รู้ว่าทำไม
เรื่องระหว่างสองเรา มันมีอะไรที่เปลี่ยนแปลงไป วันนี้เราช่างห่างเหินเหลือเกิน
รักเรายังดีใช่ไหม หรือมีอะไรติดอยู่ในใจ ฉันทำอะไรผิดไปบอกได้ไหม

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)

เพราะว่าใกล้ชิด หรือเพราะว่าเจอกันทุกวัน เจอะกันมานานจนเริ่มจะชินชา
อาจจะเหนื่อยมากไป จนบางทีเราไม่มีเวลา เจอหน้ากันครั้งสุดท้ายนั้นเมื่อไหร่
รักเรายังดีใช่ไหม หรือมีอะไรติดอยู่ในใจ รักเรายังไม่ได้เปลี่ยนไปใช่ไหม

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)

ฉันไม่เคยจะคิดซักนิด ไม่เคยคิดจะทำให้เธอเสียใจ
ฉันไม่เคยจะคิดทำร้าย มีแต่รักให้เธอหมดหัวใจ เธอรู้ไหม

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)",groove_riders
เมาไม่ขับ,/music/thailyric/64,"ช่วยด้วย ไม่น่าเลยไม่น่าเลย ไม่น่าหลวมตัวไปดื่ม
โอ้ซวย ดื่มแล้วเมา เหล้านั้นทำ สติผมจนป่านนี้ไม่ยอมฟื้น

อยากจะกลับบ้านอย่างปลอดภัย จะเลือกทางไหนในตอนนี้ ขับเองก็กลัวจะทำอะไรไม่ดี

พระพยอมผมเมาแล้วควรจะทำยังไงดี ท่านมีวิธีช่วยสั่งสอนผมสักหน่อย
พระพยอมผมเมาแล้วกลัวตัวเองวันละหน่อย ก็คนที่บ้านคอยผมมันหงอยเลยตอนนี้

แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด
แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด

รู้แล้ว ว่าผมเมาว่าผมเมา และดื่มเหล้าไม่คุ้มค่า
ถ้าหากว่าเมาแล้ว ไม่รู้ตัวแล้วผมควรทำแบบไหน ดีละครับ

อยากจะกลับบ้านอย่างปลอดภัย จะเลือกทางไหนในตอนนี้ ขับเองก็กลัวจะทำอะไรไม่ดี

พระพยอมผมเมาแล้วควรจะทำยังไงดี ท่านมีวิธีช่วยสั่งสอนผมสักหน่อย
พระพยอมผมเมาแล้วกลัวตัวเองวันละหน่อย ก็คนที่บ้านคอยผมมันหงอยเลยตอนนี้

แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด
แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด

พระพยอมผมเมาแล้วควรจะทำยังไงดี ท่านมีวิธีช่วยสั่งสอนผมสักหน่อย
พระพยอมผมเมาแล้วกลัวตัวเองวันละหน่อย ก็คนที่บ้านคอยผมมันหงอยเลยตอนนี้

พระพยอมผมเมาแล้วควรจะทำยังไงดี ท่านมีวิธีช่วยสั่งสอนผมสักหน่อย
พระพยอมผมเมาแล้วกลัวตัวเองวันละหน่อย ก็คนที่บ้านคอยผมมันหงอยเลยตอนนี้

แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด
แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด แมนโง่ แมนฉลาด",groove_riders
ถ้าปล่อยให้เธอเดินผ่าน,/music/thailyric/62,"ดีไหมหากเราลองรู้จักกัน
พูดและคุยในช่วงเวลาสั้นๆ
ไม่ต้องผูกมัดอะไร  แค่รู้จักกันเท่านั้น
ฟังแล้ว  อาจดูเจ้าชู้หลอกลวง
อยากจะรับรองว่าเธอไม่ต้องเป็นห่วง
ฉันไม่ได้หวังอะไร อยากบอกให้เธอมั่นใจ

ถ้าไม่ทำอย่างนี้  แล้วปล่อยให้เธอเดินผ่าน
ฉันไม่รู้ว่าอนาคตจะเสียใจแค่ไหนช้ำใจเท่าไหร่
ถ้ารู้ว่าฉันได้พลาดความรักที่แท้
รู้ไหมฉันไม่ทำแบบนี้กับใคร
ฉันต้องรวบรวมสะสมความกล้าสักเท่าไหร่
ขอล่ะ ขอคนดี อย่าเดินจากเดินหนีไป

ถ้าไม่ทำอย่างนี้  แล้วปล่อยให้เธอเดินผ่าน
ฉันไม่รู้ว่าอนาคตจะเสียใจแค่ไหนช้ำใจเท่าไหร่
ถ้ารู้ว่าฉันได้พลาดความรักที่แท้
รู้ไหมฉันไม่ทำแบบนี้กับใคร
ฉันต้องรวบรวมสะสมความกล้าสักเท่าไหร่
ขอล่ะ ขอคนดี อย่าเดินจากเดินหนีไป

ถ้าไม่ทำอย่างนี้  แล้วปล่อยให้เธอเดินผ่าน
ฉันก็ไม่รู้ว่าจะได้พบเจอเธออีกหรือไม่
ช้ำใจเท่าไหร่ หากรู้ว่าฉันได้พลาดความรักที่แท้
ดีไหมหากเราลองรู้จักกัน
คงจะดีนะ ถ้าเธอได้รู้จักฉัน
ดีไหม เราได้รู้จักกัน
ดีนะ  หากเธอได้รู้จักฉัน",groove_riders
เข้าใจ,/music/thailyric/9221,"เข้าใจ ฉันเข้าใจทุกอย่าง
เลิกบังเลิกอำพราง
ขอให้ฟังกันก่อน
เรื่องเราหากจะคิดไป
จะอยู่ไปใยให้หมอง
อยู่เราสองก็คงปวดใจ

สองใจ คิดไปคนละอย่าง
ต่างคนต่างมีทางรักช่างทำกันได้
สองคนไม่เคยเข้าใจ คนให้อภัยไม่มี
อยู่อย่างนี้เราดีอย่างไร มันดีอย่างไร

คงมีเพียงแค่รักกัน
แล้วรักนั้นมันมีสุขไหม
คงเป็นเพียงเราเผลอไป
ไม่ตั้งใจจะรักกัน ให้มันยั่งยืน

ฝืนไปตรมใจเปล่า
อยู่เดียวอาจเปลี่ยนเหงา
ขอเพียงเราเป็นเพื่อน
เสียใจอาจจะเสียใจ ก็ไม่นานไปก็ลืม
อาจจะเหมือนดังลมผ่านไป จำใจก็ลืม

คงมีเพียงแค่รักกัน
แล้วรักนั้นมันมีสุขไหม
คงเป็นเพียงเราเผลอไป
ไม่ตั้งใจจะรักกัน ให้มันยั่งยืน

ฝืนไปตรมใจเปล่า
เมื่อใดหากใจเหงา สองเราเป็นเพื่อน
แยกไปใช่จะรักกัน ยังผูกใจกันดั่งเหมือน
เพื่อนจะรักดังเดิมได้ไหม",groove_riders
ซูเปอร์สตาร์ (Superstar),/music/thailyric/61,"เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา
เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา

เหมือนตัวฉันล่องลอยในอวกาศ
ออกจากดาวโลกไปไกล สู่จักวาลที่แสนกว้างใหญ่
เหมือนลืมหายใจในสูญญากาศ
เมื่อลอยเหนือท้องนภา หลุดไปในห้วงเวลา
ก็เพราะว่าเธอคนนั้น เธอคือดาวในฝัน
เธอทำให้ฉันต้องหันมามองเธอจนกว่า
ดวงตาฉันสลาย ลมหายใจฉันจะหาย
ร้อนรนจนทนไม่ไหว โอ้ขอให้เธอช่วยกรุณา

So tell me lady ว่าเธอรู้ใช่ไหม
ว่าฉันมันหลงใหลตัวเธอมานาน
So come on baby
หากเธอรู้แล้วใยจึงแกล้งให้ฉันต้องทรมาน
Cause I'm going crazy เพราะฉันคลั่งไคล้เธอ
เพราะเธอคือ Superstar

เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา
เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา

เหมือนตัวฉันร่วงไปในหลุมอากาศ
หล่นลงจนลึกข้างใน กลับออกมาก็ไม่ได้
หัวใจฉันคงเป็นดังอุกกาบาต
สะเก็ดดาวที่ไม่มีค่า โอ้ขอให้เธอได้โปรดเมตตา

So tell me lady ว่าเธอรู้ใช่ไหม
ว่าฉันมันหลงใหลตัวเธอมานาน
So come on baby
หากเธอรู้แล้วใยจึงแกล้งให้ฉันต้องทรมาน
Cause I'm going crazy เพราะฉันคลั่งไคล้เธอ
ดั่งเธอเป็น Superstar

เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา
เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา

So tell me lady ว่าเธอรู้ใช่ไหม
ว่าฉันมันหลงใหลตัวเธอมานาน
So come on baby
หากเธอรู้แล้วใยจึงแกล้งให้ฉันต้องทรมาน
Cause I'm going crazy เพราะฉันคลั่งไคล้เธอ
เพราะเธอคือ Superstar

เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา
เธอคือ Superstar ส่องแสงบนท้องนภา
She's a Superstar โดดเด่นในดวงดารา",groove_riders
เธอทั้งนั้น (สุดที่รัก),/music/thailyric/63,"รู้ไหมว่ามันดียังไง และรู้ไหมว่าสุขใจเพียงใด
รู้ไหมว่าชีวิตเก่าๆ ของฉันนั้นเปลี่ยนไปเท่าไหร่
รู้ไหมว่าก่อนจะเจอเธอ รู้ไหมฉันเคยเป็นยังไง
รู้ไหมการที่ได้เจอเธอ นั้นช่างยิ่งใหญ่สักเท่าไหร่

เธอ เธอทั้งนั้นที่ทำ ให้ช่วงชีวิตของฉันน่าจดจำ
จนฉันได้เจอเธอ

โลกที่เคยมองดูซึมเซา โลกที่มีแต่ความว่างเปล่า
ฟ้าทึมๆ และวันเศร้าๆ ไม่คิดว่าจะมีวันนี้ได้

เธอ เธอทั้งนั้นที่ทำ ให้ช่วงชีวิตของฉันน่าจดจำ
จนฉันได้เจอเธอ

ขอบคุณสรวงสวรรค์ ให้เราได้เจอะกัน
ขอบคุณคนๆ นั้น ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ เธอ (สุดที่รัก)

รู้ไหมว่ามันดียังไง และรู้ไหมว่าสุขใจเพียงใด
รู้ไหมว่าชีวิตเก่าๆ ของฉันนั้นเปลี่ยนไปเท่าไหร่
รู้ไหมว่าก่อนจะเจอเธอ รู้ไหมฉันเคยเป็นยังไง
รู้ไหมการที่ได้เจอเธอ นั้นช่างยิ่งใหญ่สักเท่าไหร่

เธอ เธอทั้งนั้นที่ทำ ให้ช่วงชีวิตของฉันน่าจดจำ
จนฉันได้เจอเธอ

ขอบคุณสรวงสวรรค์ ให้เราได้เจอะกัน
ขอบคุณคนๆ นั้น ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ เธอ (สุดที่รัก)

ขอบคุณสรวงสวรรค์ ให้เราได้เจอะกัน
ขอบคุณคนๆ นั้น ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ เธอ (สุดที่รัก)",groove_riders
