song_name,href,lyric,artist
จนได้เจอ,/music/thailyric/19676,"ฉันผ่านมาเนิ่นนาน
จนฉันนั้นลืมวันวานเวลาที่เราทั้งสอง เคยรักกัน
มันยังไม่ใช่เธอ
เกือบลืมหมดเเล้วเกือบจะไม่คิดอะไรทั้งนั้น จนได้เจอ

เวลามันผ่านมานานตอนเธออยากจะลาจะลืมเธอไปก็ไม่อาจ
จนเวลาทำบางสิ่งมันจาง
คำพูดไม่กี่พยางค์ กำลังจะลืมให้ขาด
จนได้เจอกับเธออีกครั้ง กับคนที่คิดว่าจะไม่ได้เจออีกเเล้ว
ตั้งเเต่เธอไปฉันเจอเเต่ความผิดหวัง
จนได้เห็นเธอข้างกายดวงดาวดวงเดิมพร่างพราย
คำพูดในหัวมากมายเเต่ให้พูดคงยากไป

ปล่อยเธอก้าวเดินไปเเกล้งว่าลืมทุกฉากทุกตอน
ทั้งที่มันยังคิดถึงจนไม่รู้หลับรู้นอน
ฉันเขียนให้เธอทุกกาพย์ทุกกลอน
ฉันไม่เคยจะทิ้งทุกอย่างเเละตามหาเธอทุกคอน
ยังคงเจ็บเเละไม่ลืมเเละมันทำมันให้ซึมมันทุกคืนวันมะรืนยังไม่ลืม
เเละมันยังมีเเค่มึงเธอเพียงคนเดียวที่ใจมอบให้
ก่อนที่ร่างกายจะมอดไหม้ กูไม่ลืมก็ได้

ภาวนา ที่วันเวลามันเดินมาไกล
จนจะจำเรื่องในวันนั้นเเทบจะไม่ออก
เเต่ฉันไม่เข้าใจ ว่าในวันนี้
พึ่งจะเจอเธอคนเดิมทำอย่างไรใจก็ไม่ตอบ

เพราะว่าร่างกายมันไม่ยอมขยับ
อยากจะกุมมือเธอเข้ามาจับ
มีอีกมากมายที่ฉันจะพูด
Aye wannabe my dream come to
เป็นอะไรไม่รู้ เป็นเธอก็คงจะรู้

เพราะว่าเรารู้จักกันดีที่สุด
ตอนนี้ฉันก็กลับกลายเป็น VEZEU$
คิดถึงฉันรึเปล่า
เเต่เธอก็ไม่จำเป็นต้องตอบ
เรื่องมันไม่สำคัญ
เเค่เจอกัน ก็พอ ฉันได้เจอ

ฉันผ่านมาเนิ่นนาน
จนฉันนั้นลืมวันวานเวลาที่เราทั้งสอง เคยรักกัน
มันยังไม่ใช่เธอ
เกือบลืมหมดเเล้วเกือบจะไม่คิดอะไรทั้งนั้น จนได้เจอ

จนเรามาเจอกัน ทำไมมันชังกันไปเลยเพราะมัน
ทำใจเธอพังทั้งที่เคยรู้กัน ไม่จริง
ฉันอยากจะมองอีกทีกับกาลเวลาที่มี
ค้นพบเพื่อหาวิธีให้มันมลาย หาย ไป

เเค่ทำนายที่จะตาย เเค่เดียวดายเเค่นั้นเอง
ห้องนอนที่เคยมีเธอ
มันคงไม่มีรีเทิร์น Yeah
เรื่องเราที่เคยดีกัน ตอนนี้มันไม่มีเธอ

ขอโทษนะที่ไม่ค่อยมีเวลา
ไม่ได้ตั้งใจที่จะยื้อเธอกลับมา
ไม่ต้องไปสนหรอกคำที่เคยสัญญา
รับรองได้เลยว่าไม่มีทางกลับมา
มันก็คงจะดีพอถ้าหากว่าเราเข้าใจกัน
เธอบอกขอพอขอไม่ไปต่อ
เพราะเธอไม่ไหวที่จะรอ

ทำงานทุกวันไม่เว้นวันจันทร์
พักผ่อนกลางวันถึงวันศุกร์
หักโหมร่างกายทุรนทุราย
ว่าต้องรีบทำให้สำเร็จ
เเต่ไม่ทันไรความฝันที่วาดก็ต้องเก็บ
ความรักของเราคงต้องพอ
ขอโทษจริงๆ ที่ทำได้เพียงเเค่ให้รอ Aye aye",highhot
พัทยาแซด,/music/thailyric/19639,"เขาบอกว่าเขารักฉันกว่าใคร
แต่วันนี้เขาก็ได้หันหลังจากไป
เขามาทำให้ช้ำและเข้ามาซ้ำอย่างไว
แค่เวลาสั้นๆ ก็ทำให้ฉันขาดใจ

แค่ไม่นาน
ในช่วงเวลา
มีลมหนาวพัดผ่าน
แต่เธอหายลับตา

ที่เรารักกันมาก็นาน
ฉันเคยเป็นคนเดียวที่เธอต้องการ
แต่ว่าตอนนี้เธอไม่ต้องการ
ไม่ว่าฉันจะทำอย่างไรก็ตาม

ทำไม่เธอลืมกันไปง่ายๆ
ทำไมฉันเริ่มต้นใหม่ไม่ได้
ทำไมมันรักเธอจังให้ตาย
ทำไมใจของฉันไม่อาจให้ใคร

หรือแค่ต้องการ ไม่ให้เธอลา
เธอเคยรับปาก ว่าจะรักกว่า
ตอนนี้ว่างเปล่า ไม่ดีสักอย่าง

แต่แค่ไม่นาน ก็รักก็ลา
เธอลืมฉันขาด
แล้วทิ้งฉันไว้ให้ห่าง
(แล้วทิ้งฉันไว้ในพัทยา)

ศรีราชา เธอทิ้งกันมา
ลมพัดผ่าน มันว่างเปล่า
เธอไปจากฉัน และไม่ต้องเสียเวลา

เรื่องที่ผ่านมา ให้มัน
เป็นไปตามนั้น ช่างมัน
ต้องแซดตามเคย Yeah
ไม่แคร์กันเลย Yeah
ไม่ต้องมา Yeah
เพราะฉันไปเอง Yeah

วัด วัดคืออะไร
กูในตอนนี้ไม่รู้ว่าพร้อมจะอยู่จะไป
เดินไปบอกไอ้ฮอต ฮอต ฮอต ไม่เป็นไร
แค่กูกับมึงไม่พร้อมที่จะต้องยอม ว่าเป็นใคร

คนอื่นดึกๆ ก็ครึกๆ โครมบ้านไม่กลับ Woh
นึกถึงแกจนแทบไม่หลับ Aey
ลึกๆ คือกูเองไอ้ Sus aey ที่ไม่ดีไม่มีใครจำ

แค่ไม่นาน
ในช่วงเวลา
มีลมหนาวพัดผ่าน
เธอหายลับตา

แค่ต้องการ ไม่ให้เธอลา
เธอลืมฉันขาด
ทิ้งฉันไว้ในพัทยา",highhot
ลืมหรือจำ,/music/thailyric/19584,"เธอจะลืมมันหรือจำ
อยากกลับมาหาฉันหรือยัง
ส่วนฉันยังดันทุรัง
ยังคิดถึงเธออยู่ทุกวัน
เเละฉันได้เรียนรู้มัน

เธอจะลืมมันหรือจำ
อยากกลับมาหาฉันหรือยัง
ส่วนฉันยังดันทุรัง
ยังคิดถึงเธออยู่ทุกวัน
เเละฉันได้เรียนรู้มัน

เธอเป็นคนเดียวที่รู้กัน
ฉันยังจำคำพูดได้ทุกคำ เสียดาย
ที่สุดท้ายเราไม่ได้คู่กัน

เพราะว่าเธอ Let me lone
You for my pretty girl
You for my best  but I'm let you go
เหมือนเมื่อก่อนฉันไม่รู้ และไม่มีทางได้รู้
เเต่ไม่เป็นไร เพื่อให้ฉันดูโต

อยากกลับมาไหมฉันไม่รู้ But you know
Feel like baby pluto
ไม่มีเธอเเล้วมันจะตาย
You know that why cause you my boo

เธอจะลืมมันหรือจำ
อยากกลับมาหาฉันหรือยัง
ส่วนฉันยังดันทุรัง
ยังคิดถึงเธออยู่ทุกวัน
เเละฉันได้เรียนรู้มัน

เธอจะลืมมันหรือจำ
อยากกลับมาหาฉันหรือยัง
ส่วนฉันยังดันทุรัง
ยังคิดถึงเธออยู่ทุกวัน
เเละฉันได้เรียนรู้มัน

เธอเป็นคนเดียวที่รู้กัน
ฉันยังจำคำพูดได้ทุกคำ เสียดาย
ที่สุดท้ายเราไม่ได้คู่กัน

เพราะว่าเธอ Let me lone
You for my pretty girl
You for my best  but I'm let you go
เหมือนเมื่อก่อนฉันไม่รู้ และไม่มีทางได้รู้
เเต่ไม่เป็นไร เพื่อให้ฉันดูโต

เธออยากกลับมาไหมละฉันไม่รู้ But you know
Yeah โลกของฉันมันเเซดมันคล้ายกับ Baby pluto
เเละก็เพราะเธอคือ The best yeah เธอคือ The best yeah เธอคือ The best
ไม่มีเธอเเล้วมันจะตาย you Ynow that why cause you my boo whoa

She wanna let me go
เธออยู่ใน Safety zone
เข้าใจเธอดีว่าเธอนั้น Want to go
และเธอก็ยังไม่รู้เเละไม่มีวันได้รู้
ว่าฉันนั้นรักเธอมากเเค่ไหน You know
เธอไม่กลับมาเเล้ว และมันก็ทำให้กูโต

Baby เธอ ก็ทิ้ง Everything เเละกูคง
ต้องร้องจะเป็นจะตาย I'm cry bye bye
Bye you are my first.you are my life
This is my love and fuckin missin you",highhot
วังเวง,/music/thailyric/19601,"ฉันดูแลเธอเป็นอย่างดี
ทำไมรักเธอขนาดนี้
Say high

ฉันไม่เอาไม่อยากให้เธอต้องไป
ไม่มีเธอมันวังเวง เรื่องนี้ผิดเพราะฉันเอง
อยากจะขอแก้ตัว ฉันมันไม่ได้ตั้งใจ
แค่เจอกันอีกวันเดย์ ขอโอกาสอีก Again

ฉันคิดถึงเธอนะคนดี
ว่าฉันยังรออยู่ตรงนี้
เธอเคยทำมัน It for me
ตอนนั้นกำลังจะพอดี
แต่ไม่มีเธอ ในตอนนี้

เธอบอกกับฉัน ว่าพอที
ฉันมีแค่เธอ I'm sorry
เธอไปไม่ได้รอรี
ไม่มีเธอ Eyes on me
ทำได้แค่ Cry only

ฉันแค่เพียงต้องการให้เธอไม่ไป
กลับมาอยู่อีกวันเอง
อีกหน่อยก็กลับมาฟังเพลง

ฉันไม่เอาไม่อยากให้เธอต้องไป
ไม่มีเธอมันวังเวง เรื่องนี้ผิดเพราะฉันเอง
อยากจะขอแก้ตัว ฉันมันไม่ได้ตั้งใจ
แค่เจอกันอีกวันเดย์ ขอโอกาสอีก Again

วอนเธอวอนเธอเข้ามา Phone
พอเธอไปก็ Come alone
มองดูวันเวลา ให้ตายเถอะ
อยากให้เธอกลับมาข้างกาย

ขอแค่วันเดียวเธอกลับมาและฟังเพลง
ฉันทรมานอีกนาน ก็ถือว่านาน
หัวใจมันจะพัง มันจะแทบตาย โว้ว
แล้วจากนั้นก็ไปเธอแยกย้ายไป

ฉันไม่เอาไม่อยากให้เธอต้องไป
ไม่มีเธอมันวังเวง เรื่องนี้ผิดเพราะฉันเอง
อยากจะขอแก้ตัว ฉันมันไม่ได้ตั้งใจ
แค่เจอกันอีกวันเดย์ ขอโอกาสอีก Again

ฉันดูแลเธอเป็นอย่างดี
ทำไมรักเธอขนาดนี้",highhot
หลายปี,/music/thailyric/19585,"เราก็คบกันมานานหลายปี
เราก็ร่วมรักกันมาตั้งหลายที
วันนี้แค่อยากขอโทษที่ฉันทำไม่ดี
คืนนี้แค่ฝากพระจันทร์ดูแลเธอให้ที

เราผ่านมันมาหมดแล้วไม่ว่าเรื่องร้ายดี
แต่เธออยู่กับฉันตั้งแต่ชื่อเสียงฉันไม่มี
วันนี้ชื่อเสียงของฉันนี้มันค่อนข้างขายดี
แต่มันจะมีไหมเธออยู่ด้วยในวันนี้

รัก ฉันยังรัก
ฉันจะรักแม้เธอไม่รัก ก็ไม่เป็นไร
เธอจะพัก เธอควรพัก
เธอมีเขาฉันจะไม่ทักเพราะฉันเกรงใจ

คิดถึงฉันมั่งได้ไหมและช่วยกลับมาหาที
อยากอยู่ด้วยกันอีกครั้งและไปกันทุกสถานี
แค่เธฮจับมือฉันไว้แล้วท่องในโลกราตรี
ขอแค่อีกสักครั้งแค่อีกไม่กี่นาที

เธอมีรักอยู่ทางนั้น
ยังมีฉันอยู่ทางนี้ มันคงจะดี
ถ้าเราไม่เลิกกันก่อน

เราอยู่ด้วยกันตั้งแต่ฉันไร้ชื่อเสียง
คนที่เข้ามายุ่งกับเธอตอนนั้นฉันคงกระทืบเสีย
ตอนนี้ฉันเย็นลงแล้วตั้งแต่หัวใจมันพึ่งเสีย
แน่นอนว่าเธอไม่ชอบเวลาทะเลาะแล้วต้องมาขึ้นเสียง

สมองฉันสั่งให้ลืมแต่ใจมัน Save ภาพนั้น
ภาพที่ยืนข้างเธอและเธอก็ Save ข้างฉัน
มันไม่ใช่ภาพเบลอเธอคือ The best มากนะ
ชอบเห็นเธอร่าเริงและก็ตัวเล็กน่ารัก

เธอทำให้ท้องฟ้าสว่าง และฉันรู้สึกว่าชอบจัง
เธอทำให้รักสง่า เหมือนมีดอกไม้รอบๆ ทาง
เธอทำให้รัก Sus sus เธอบอกว่าฉันจะต้องดัง
แต่วันนี้ท้องฟ้าสว่างมันโดนความมืดมาครอบงำ

กลายเป็นว่า ความรู้สึกของฉันมันด้านชา
ไม่ว่าในชีวิตจะมีกี่คนที่เข้ามา
ฉันไม่เคยจะจำไม่เคยจะสนใบหน้าหรือคาดตา
แต่ว่าฉันจำเธอได้หมดจะทุกคำพูดหรือท่าทาง

เราก็คบกันมานานหลายปี
เราก็ร่วมรักกันมาตั้งหลายที
วันนี้แค่อยากขอโทษที่ฉันทำไม่ดี
คืนนี้แค่ฝากพระจันทร์ดูแลเธอให้ที

เราผ่านมันมาหมดแล้วไม่ว่าเรื่องร้ายดี
แต่เธออยู่กับฉันตั้งแต่ชื่อเสียงฉันไม่มี
วันนี้ชื่อเสียงของฉันนี้มันค่อนข้างขายดี
แต่มันจะมีไหมเธออยู่ด้วยในวันนี้

เราก็คบกันมานานหลายปี
เราก็ร่วมรักกันมาตั้งหลายที
วันนี้แค่อยากขอโทษที่ฉันทำไม่ดี
คืนนี้แค่ฝากพระจันทร์ดูแลเธอให้ที

เราผ่านมันมาหมดแล้วไม่ว่าเรื่องร้ายดี
แต่เธออยู่กับฉันตั้งแต่ชื่อเสียงฉันไม่มี
วันนี้ชื่อเสียงของฉันนี้มันค่อนข้างขายดี
แต่มันจะมีไหมเธออยู่ด้วยในวันนี้",highhot
99 Is Over,/music/thailyric/22006,"อยู่ในรัตติกาล อยู่กับความเงียบงัน
มันจะเหงาได้อีกเพียงใด
มันผ่านมาเนิ่นนาน จนเธอเดินเข้ามา
ใจของฉันก็เริ่มเปลี่ยนไป

จากที่มีเรื่องที่ใจต้องทน
จากที่เป็นคนที่ไม่อ่อนโยน
แต่ตอนที่เธอจับมือฉันไว้
(หลุดออกจาก Ninety nine ฝันร้าย)

จากนี้ฉันคงจะไม่ต้องทน
เพราะฉันมีเธอที่คอยปลอบโยน
ตอนนี้ฉันยังไม่พร้อมจะตาย
(อยากอยู่กับเธอจนวันสุดท้าย)

เธอโอบกอดใจของฉันไว้ เธอไม่แคร์ใครมองฉันร้าย
เท่านี้ฉันก็จะรักเธอจนวันตาย ขอแค่เธอไม่ทิ้งกันไป
ท้องฟ้าที่เคยมืดครึ้มหมดไป เมื่อได้จับมือกับความสดใส
รักที่ฉันเคยทำหล่นหาย จะใช้กับเธอเป็นคนสุดท้าย

อยู่ในรัตติกาล อยูjกับความเงียบงัน
มันจะเหงาได้อีกเพียงใด
มันผ่านมาเนิ่นนาน จนเธอเดินเข้ามา
ใจของฉันก็เริ่มเปลี่ยนไป

จากที่มีเรื่องที่ใจต้องทน
จากที่เป็นคนที่ไม่อ่อนโยน
แต่ตอนที่เธอจับมือฉันไว้
(หลุดออกจาก Ninety nine ฝันร้าย)

จากนี้ฉันคงจะไม่ต้องทน
เพราะฉันมีเธอที่คอยปลอบโยน
ตอนนี้ฉันยังไม่พร้อมจะตาย
(อยากอยู่กับเธอจนวันสุดท้าย

เธอโอบกอดใจของฉันไว้ เธอไม่แคร์ใครมองฉันร้าย
เท่านี้ฉันก็จะรักเธอจนวันตาย ขอแค่เธอไม่ทิ้งกันไป
รู้มั้ยฉันให้เธอได้หมดใจ ฝันร้ายของฉันมันได้จบไป
เธอคือนิยามของความสดใส และสวยยิ่งกว่านิยายบทไหน",highhot
F*ck Love,/music/thailyric/22880,"ฉันให้เขามาอยู่ในนั้น เขาอยู่ในใจฉัน
ฉันเหมือนคนที่มีหัวใจ แต่กลายเป็นคนไร้รัก
ฉันเลยไม่เอาใครทั้งนั้น ไม่ต้องเจ็บต้องช้ำ
ถ้าเธอรักฉันเธอก็ต้องไปเพราะฉันมีเธอไว้ Fuck

โปรดอย่ารักกันเลย เธออย่ารักฉันเลย
เธอเป็นแค่เพื่อนก็ดีแล้ว ไม่ต้องเลิกไม่ต้องมีแค้น

และนี่คืออัศวินรัตติกาลอยากจะพาเธอไปลอยละก็บินขึ้นบนยาน
แม้ว่ากูจะไม่ดีแต่ว่าเธอก็ยังมา พาเธอขึ้นไปละก็ Smoking กัญชา

ทำฉันหวาดระแวงเธอจนเป็นบ้า เธอขับเบนซ์ไม่ได้มีโตโยต้า
Suck on my dick ให้มันลงไปที่หน้า แทงจากข้างหลังละก็แทงไปข้างหน้าเธอ
ตอนนี้อยู่ข้างข้างเธอ ห้องฉันก็เหมือนเป็นบ้านเธอ
ชอบในตอนที่เรานอนอยู่ข้างล่างเธอ โทษที่ iPhone ไม่ค่อยจะมีหน้าเธอ

หวังว่าเธอไม่ได้เข้ามาทำร้ายกัน
ก็ไม่รู้ว่าเรามีอะไรคล้ายกัน
รู้ว่าเธอไม่ได้มาเพราะอยากได้ตังค์
คนที่เจ้าชู้นะมันตายไปแล้วฉันคนเดิมตอนนี้ฉันน่ะไม่ใช่มัน

อาจจะดูเหมือนเป็น Playboy แต่ใครจะรู้ว่ามีแค่เธอในใจ
อาจดูเหมือนฉันตาลอย แต่ควันมันลอยออกมาจากห้องข้างใน
Oh oh I'm get high get high ก็ไม่มีเธอมาคอยห้าม

ช่วงนี้ผมเมาอยู่ทองหล่อ อยู่บนนู้น No remix
High กันอยู่บนคอนโด ก็ไม่มีเธอคอน Control
Oh oh that's fine that's fine แต่ก็ไม่วายที่จะคิดถึงเธอ

ฉันให้เขามาอยู่ในนั้น เขาอยู่ในใจฉัน
ฉันเหมือนคนที่มีหัวใจ แต่กลายเป็นคนไร้รัก
ฉันเลยไม่เอาใครทั้งนั้น ไม่ต้องเจ็บต้องช้ำ
ถ้าเธอรักฉันเธอก็ต้องไปเพราะฉันมีเธอไว้ Fuck

โปรดอย่ารักกันเลย เธออย่ารักฉันเลย
เธอเป็นแค่เพื่อนก็ดีแล้ว ไม่ต้องเลิกไม่ต้องมีแค้น

ฉันไม่คิดมีรัก Don't give a fuck แม้หลับฝันก็ไม่มีเธอในนั้น
ฉันจะชี้ให้ชัด ฉันไม่คิดผูกมัด ฉันก็แค่อยากเมา ตอนที่เราเจอกัน
ฉันยัง Freestyle ชีวิตสบาย ไม่คิดอะไร
นี่มันดีจะตาย ใครจะว่ายังไง ก็ช่างแม่งไปดิ
I'm just living my life

ความสัมพันธ์ที่เราคิดว่าเราแฟร์
อยากกอดใครก็ตามสบายนั้น Your man
ไม่มีใครฉันไม่จำเป็นต้องกลัวแฟน
ไม่มีเขาเธอคอยให้ฉันเป็นตัวเเทน
มีแค่ความรู้สึกเท่านั้นที่เราแชร์
แค่กอดเธอและแคร์คนที่เราแคร์
พูดถึงรักสำหรับฉันมันไม่แท้
ถ้าไม่โอเคทิ้งฉันไปเลย

เราไม่ต้องมารักกันหรอก เป็นเพื่อนกันพอ
ไม่ต้องหาคำตอบ ในท่วงทำนอง
จริงอยู่ที่ใจเธอเจ็บ แต่แม่งปลอมๆ
เธอแค่กำลังสนุก ในโลกจำลอง

และตอนนี้กูก็เมาอยู่กับ ชีวิตที่มันมีแต่สิ่งที่อยากลอง
และถ้าไม่ได้เมากูว่าก็เจ็บตาย คนรอบตัวกูกำลัง Get high
สบายใจได้เลยฉันไม่ได้โกรธเธอ เป็นความผิดฉันไม่มีใครโทษเธอ
อยู่ในโลกเดิมที่มันหมุนไว ปล่อยให้ความรู้สึกมันตัดสินใจ

ฉันให้เขามาอยู่ในนั้น เขาอยู่ในใจฉัน
ฉันเหมือนคนที่มีหัวใจ แต่กลายเป็นคนไร้รัก
ฉันเลยไม่เอาใครทั้งนั้น ไม่ต้องเจ็บต้องช้ำ
ถ้าเธอรักฉันเธอก็ต้องไปเพราะฉันมีเธอไว้ Fuck

โปรดอย่ารักกันเลย เธออย่ารักฉันเลย
เธอเป็นแค่เพื่อนก็ดีแล้ว ไม่ต้องเลิกไม่ต้องมีแค้น",highhot
The Way To Die,/music/thailyric/16254,"You fucking lie (I know i know)
The Way To Die (I go i go)
เพราะว่าเธอแค่คน เข้ามาเอาผลประโยชน์
ใครที่รักกูมันก็มีแค่กู และคนตรงหน้ากระจก
That shit แม่งน่าตลก

You fucking lie (I know i know)
The way to die (I go i go)
เพราะว่าเธอแค่คน เข้ามาเอาผลประโยชน์
ใครที่รักกูมันก็มีแค่กู และคนตรงหน้ากระจก
That shit แม่งน่าตลก

ดูฝนเหมือนว่าจะตก
กับบรรยากาศที่ดูน่าสลด
ทุกคนในหน้ากระจก
เขายิ้มเหมือนว่าตลก
แต่ชีวิตเขาน่าจะจบ
That shit the way to die yay I go
If I die ไม่ต้องร้อง Don't cry นะ My bro
I will do it again
Because everything
It thought everthin to my name
ดูมีความสุขทุกทีที่อยู่กับเขา นะ OG

That bitch เพิ่งบอกกู As shit
แต่กูไม่ได้จำเพราะว่ามันได้แต่ด่า
แต่ไม่ได้ทำ กูบอกอะไรไห้ฟัง
Everybody know me
ถ้าไม่รู้จักกูมึงก็ไม่ต้องพูด
ไม่ได้อยู่ในเหตุการณ์มึงก็ไม่ต้องพูด
มึงด่ากันตามกันสัตว์ตลาดชิบหาย
จะเถียงมึงก็ไม่ต้องสู้ แค่ให้กูตายสักที
พวกแม่งจะได้เลิกด่ากู
กูเกิดมาคนเดียว แล้วก็ตายมันคนเดียว
อย่าพูดจาสักนิดเดียว
ถ้าไม่ได้ Real ไปกว่ากู Yay

You fucking lie (I know i know)
The way to die (I go i go)
เพราะว่าเธอแค่คน เข้ามาเอาผลประโยชน์
ใครที่รักกูมันก็มีแค่กู และคนตรงหน้ากระจก
That shit แม่งน่าตลก

You fucking lie (I know i know)
The way to die (I go i go)
เพราะว่าเธอแค่คน เข้ามาเอาผลประโยชน์
ใครที่รักกูมันก็มีแค่กู และคนตรงหน้ากระจก
That shit แม่งน่าตลก

ดูฝนเหมือนว่าจะตก
กับบรรยากาศที่ดูน่าสลด
ทุกคนตรงหน้ากระจก
เขายิ้มเหมือนว่าตลก
แต่ชีวิตเขาน่าจะจบ",highhot
Underground Love,/music/thailyric/22717,"ฉันก็รักที่เธอไม่เหมือนคนเก่า
แต่ว่าเธอจะรับฉันได้รึเปล่า
คนเก่าๆ ของฉันทิ้งฉันและทุกเรื่องราว
เมื่อเขารู้ว่าฉันคนนี้มัน Underground

ฉันเป็นคนที่รักศักดิ์ศรี Sus sus
บางครั้งเลยไม่มีเงินสักบาท
แต่ถ้าเธอยังคิดจะเดินร่วมทาง
มาอยู่กับฉันให้นานๆ

ในทุกๆ วันฉันพยายามอย่างหนัก
เพื่อพวกเขาจะทำให้ได้ผมสัญญา
ขอสาบานเอาไว้กับดวงจันทร์และดาว
ฉันไม่ได้จะรักเธอเพียงชั่วคราว

ฉันเป็นคนที่รักศักดิ์ศรี Sus sus
เพื่อเงินฉันเลยไม่ทำทุกอย่าง
ขอโทษด้วยนะถ้ากูมัน Underground
กูมากับ Gang gang gang

เธอไม่ใช่คนที่ฉันเคยเจอ
ถึงเราจะเจอกันด้วยความบังเอิญ
แต่ว่าเราก็เลือกทำตามใจ
ของตัวเองไปด้วยกัน

She said จะเป็นคนที่ดีที่สุด
ถ้าให้ฉันไม่รักเธอก็รู้ I never could
เธอรับฉันได้แม้ตอนไม่ใช่ Vezeus

Hey ฉันมัน Underground แต่ว่าสักวัน Rich
วันๆ กู Smoking weed แต่ว่าเธอไม่ทิ้ง
เธอชอบ Trick or treat and did my gift
ขอทำเพื่อ Gang อย่างนี้ชอบที่ You get me

ฉันชอบที่เธอเข้าใจอยากให้เป็นแบบนี้
และเธอไม่แคร์ว่าใครจะเป็น My enemy
ฉันไม่มีที่ว่างใครขอแค่เราเต็มที่
And you are mine baby

จะไม่ทำพังอย่างเก่า พูดแล้วทำให้ได้อย่างปาก
ถ้าใช้ทั้งชีวิตตอนมาทำมาตั้งนาน
ความรักที่ฉันทิ้งตอนนี้ฉันโคตรต้องการ

ใจดวงนี้ให้ได้แค่เธอกับไรห์ม
นอกจากนั้นฉันพร้อมจะ Fuck around
เจอมาเจ็บกว่านี้และเธอมา Fuck my town
มีเธออยู่ทุกเรื่องราว",highhot
ก็แค่เคย,/music/thailyric/15240,"แค่เคยได้พบแค่เคยครั้งหนึ่งเคยได้รัก
แค่ครั้งหนึ่งเราได้คบแต่ผมยังลืมไม่ได้ครับ
แค่เคยได้ใกล้ชิด แต่แล้วเธอก็คิดไล่
เคยมีรักที่ไม่นิด เคยมีชีวิตที่ชิดใกล้

แค่บอกกับฉันว่าเธอจะอยู่
แค่บอกกับฉันเธอจะไม่ไป
บอกว่ารักเธอมากที่สุด
แต่ก็ต้องปล่อยเธอเดินไปให้ไกล
ไม่มีแรงที่ฉุด ไม่เหลือแล้วรักให้พิสูจน์
แม้จะคิดถึงเธอที่สุด
ก็ขอให้มันจบลง ที่จูบสุดท้าย

แค่เธอเคยบอกกับฉันว่าตัวเธอนั้นไม่ไปไหน
แค่ฉันต้องสั่งตัวเองว่าเมื่อลาต้องกลั้นน้ำตาไม่ให้ไหล
แม้จะคิดถึงเธอแค่ไหน มันจะคิดถึงจนไม่ไหว
(คิดถึงจนทนไม่ไหวแล้วเธอ)

แค่เคยได้กอด แค่เคยดูแลเธอเรื่อยมา
ก็แค่ เคยได้ปลอบตอนที่เธอนั้นเหนื่อยล้า
แค่เคยอยู่ข้างกัน แค่เคยคิดถึงจนข้ามวัน
แค่เคยมีรัก เคยมีฝันที่ฉันและเธอร่วมสร้างมัน

แค่เคยมีรักอยู่ตรงนี้ แค่ฉันต้องกลายเป็นส่วนที่เกิน
แต่ฉันจะอยู่ตรงนี้ ฉันยังรอเธออยู่ตรงที่เดิม
เมื่อไม่มีเธออยู่ใกล้ๆ ฉันคงคิดถึงเธอแย่เลย
ให้เธอกลับมาคงไม่ใช่ เรื่องราวเหล่านั้นก็แค่เคย

แค่เคยได้พบแค่เคยครั้งหนึ่งเคยได้รัก
แค่ครั้งหนึ่งเราได้คบแต่ผมยังลืมไม่ได้ครับ
แค่เคยได้ใกล้ชิด แต่แล้วเธอก็คิดไล่
เคยมีรักที่ไม่นิด เคยมีชีวิตที่ชิดใกล้

แค่บอกกับฉันว่าเธอจะอยู่
แค่บอกกับฉันเธอจะไม่ไป
บอกว่ารักเธอมากที่สุด
แต่ก็ต้องปล่อยเธอเดินไปให้ไกล
ไม่มีแรงที่ฉุด ไม่เหลือแล้วรักให้พิสูจน์
แม้จะคิดถึงเธอที่สุด
ก็ขอให้มันจบลง ที่จูบสุดท้าย

ช่วงชีวิตที่เคยได้พบ แล้วจากไป
และเมื่อผมหลับฝัน ยังคงได้พบเธอข้างใน
แต่เมื่อเลิกหลับใหล ตัวเธอก็คงมีใครแล้ว
จะให้เธอกลับมา จริงๆ ก็คงไม่ใช่แล้ว Yeah

มีกระดาษปากกา และลมเวลาที่พัดไป
เมื่อครั้งเธอบอกลา ผมยังคงฝังใจ
ถ้าผมคิดถึงคงแย่เลย
ตัวเธอคงไม่คิดแน่ๆ เลย
ไม่เป็นไรเรื่องราววันวาน ก็แค่เคย",highhot
