song_name,href,lyric,artist
#Saveme,/music/thailyric/20563,"วันที่ใจฉันว่างเปล่า วันที่ใจฉันเหน็บหนาว
อยากมีใครช่วยแบ่งเบา แค่ใครสักคน
วันที่ฟ้าดูหมองหม่น ไม่เหลือใครสักคน
ในใจมันร้อนรน สับสนเหลือเกิน

อยากให้เป็นเธอ ที่โอบกอดฉัน
ให้มันหลุดพ้นจากความทุกข์ทนตอนนี้

ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ ณ ที่ตรงนั้น
ช่วยรับฉันไว้อยู่อ้อมกอดเธอ
ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ให้หัวใจเพ้อ
ให้ฉันได้เจอกับวันที่ดี Would you save me

วันที่เธอเดินเข้ามา วันที่ใจฉันห่วงหา
อยากให้เธอได้มองตา ในความมืดมน
วันที่ฟ้าดูหมองหม่น  ไม่เหลือใครสักคน
ในใจมันร้อนรน สับสนเหลือเกิน

อยากให้เป็นเธอ ที่โอบกอดฉัน
ให้มันหลุดพ้นจากความทุกข์ทนตอนนี้

ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ ณ ที่ตรงนั้น
ช่วยรับฉันไว้อยู่อ้อมกอดเธอ
ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ให้หัวใจเพ้อ
ให้ฉันได้เจอกับวันที่ดี Would you save me

ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ ณ ที่ตรงนั้น
ช่วยรับฉันไว้อยู่อ้อมกอดเธอ
ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ให้หัวใจเพ้อ
ให้ฉันได้เจอกับวันที่ดี Would you save me

ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ ณ ที่ตรงนั้น
ช่วยรับฉันไว้อยู่อ้อมกอดเธอ
ช่วยรักฉันจะได้ไหม อย่าทิ้งฉันไว้ให้หัวใจเพ้อ
ให้ฉันได้เจอกับวันที่ดี Would you save me",image_suthita
Break Free,/music/thailyric/22127,"You can drain all my blood
I won't shed a tear
And I won't be silenced by fea

So take all your sweet time
But know one thing
Your time's running out my dear

You can get rid of me but you'll see
There are millions of me
And we will Break Free

It might still be night time
Bud tid you forget
That the sun always rises
And when it does
When it finally does

We will break free

You can get rid of me but you'll see
There are millions of me
And we will break free

It might still be night time
Bud tid you forget
That the sun always rises
And when it does
When it finally does

We will break free",image_suthita
Film,/music/thailyric/21210,"ชีวิตคล้ายๆ การถ่ายภาพฟิล์ม
เราถูกสอนให้คิดเยอะๆ กับทุกๆ รูปที่ถ่าย
มีองค์ประกอบหลากหลาย ทำให้คิดมากไป
จนสุดท้าย พลาดรูปดีๆ มากมาย

กี่ครั้งแล้ว ที่ปล่อยหลุดมือหายไป
กี่ครั้งแล้ว ที่เราต้องกลับมานึกเสียดาย
รูปดีบ้าง ไม่ดีบ้าง ไม่เห็นเป็นอะไร

มันเหมือน กับการสร้างความทรงจำ
ไม่แปลกใจ ว่าทำไมต้องระวัง
ไม่อาจลบ อยู่ยังไงก็อย่างงั้น
อยากให้สมบูรณ์แบบ จนไม่กล้าบันทึกมัน

กี่ครั้งแล้ว ที่ปล่อยหลุดมือหายไป
กี่ครั้งแล้ว ที่เราต้องกลับมานึกเสียดาย
รูปดีบ้าง ไม่ดีบ้าง ไม่เห็นเป็นอะไร
หากว่ารู้สึกกับอะไร จะถ่ายมันเก็บไว้

จากวันนี้ไป จะไม่กลัวอะไร",image_suthita
Not A GoodBye,/music/thailyric/12527,"I guess we all know
Just how fast time can fly
From the very first day
Until this very last night

With all these loving memories
I'm glad to have you with me
This could be the perfect night
Cause we're all here side by side

Oh honey let's just stay awhile

So just keep holding on
to these lights
Please just keep holding on
and it's gonna be alright
Keep it with you,
oh all these times and tonight
At least just know that
this is Not A GoodBye

Oh honey let's just stay awhile

So just keep holding on
to these lights
Please just keep holding on
and it's gonna be alright
Keep it with you,
oh all these times and tonight
At least just know that
this is not a goodbye",image_suthita
Sad New Year,/music/thailyric/22850,"เปิดทีวีรอดูเคาท์ดาวน์ในคืนสุดท้ายของปี
เปิดไวน์หยิบแก้วมา 2 ใบ ฉันลืมไปว่าปีนี้

ต้องใช้แค่ใบเดียว เพราะว่าฉันอยู่คนเดียว
ไม่เหมือนทุกปีที่ผ่านมา

5 4 3 2 1 Happy New Year
มองไปข้างกาย ไม่มีเธออยู่ข้ามปีด้วยกัน
สุขสันต์วันปีใหม่ที่มีเพียงฉัน คนเดียว

ปีที่แล้วฉันยังจำได้ดี ไม่คิดว่าจะเป็นปีสุดท้าย
เธอมาหาพร้อม Pizza จากร้านที่เธอบอกว่าอร่อยดี
ปีนี้ฉันก็สั่งมา แต่ปีที่แล้วมันอร่อยกว่า คงเพราะมีเธอ

5 4 3 2 1 Happy New Year
มองไปข้างกาย ไม่มีเธออยู่ข้ามปีด้วยกัน
สุขสันต์วันปีใหม่ที่มีเพียงฉัน

นาฬิกาบอกเวลาเที่ยงคืนใกล้เข้ามา
เริ่มวันใหม่ เข้าปีใหม่ ใจฉันไม่พร้อมเลย
เพราะปีใหม่นี้ ไม่มีเธอเหมือนเคย
เสียงนับถอยหลังดังขึ้นมา

5 4 3 2 1 Happy New Year
มองไปข้างกาย ไม่มีเธออยู่ข้ามปีด้วยกัน
สุขสันต์วันปีใหม่ที่มีเพียงฉัน

5 4 3 2 1 Happy New Year
มองไปข้างกาย ไม่มีเธออยู่ข้ามปีด้วยกัน
สุขสันต์วันปีใหม่ที่มีเพียงฉัน คนเดียว",image_suthita
Unlucky,/music/thailyric/15435,"I'm an Unlucky person
An unlucky person
Unlucky person oh
I'm an unlucky person
An unlucky person
Unlucky person oh

For a long while
Life's been unkind
My songs never rhymed
Everything's quite wrong

I was always
Singing the blues
But there's no one to sing to
Sad songs kept playing on repeat

I'm an unlucky person
An unlucky person
Unlucky person oh
I'm an unlucky person
An unlucky person
Unlucky person oh

Who's lucky enough to meet you

Bittersweet
But without the sweet
Where bad and worse meet
That's where I was

But you
You make me alright
Keep me warm at night
Even when the coldness
Is so cruel

I'm an unlucky person
An unlucky person
Unlucky person oh
I'm an unlucky person
An unlucky person
Unlucky person oh

I'm an unlucky person
An unlucky person
Unlucky person oh
I'm an unlucky person
An unlucky person
Unlucky person oh

Who's lucky enough to meet you
Who's lucky enough to meet you
I'm lucky enough to meet you",image_suthita
Your Song,/music/thailyric/23668,"ไม่ได้นึกถึงเธอ มานานแล้วเหมือนกัน
แต่วันนี้ฉันบังเอิญ ได้ยินเพลงนั้น

ได้ฟังแล้วเหมือนย้อนเวลา กลับไปตอนที่เริ่มทำใจ
ได้ยินเพลงนี้ทีไร น้ำตาต้องไหล

ดูเหมือนการต้องเลิกรักเธอ จะยากจนเกือบเป็นไปไม่ได้
ตอนนั้นเหมือนจะไม่ไหว แต่ตอนนี้ฉันไม่เป็นอะไร
จริงแล้วฉันก็แปลกใจ ว่าหายดีตอนไหน
จำไม่ได้ว่าใช้เวลาไปนานเท่าไร แต่ฉันก็แค่ดีใจ
ที่ตอนนี้ฉันไม่รู้สึกอะไร

ก็ไม่เคยคิดเลย ว่าจะได้ยินอีกครั้ง
เพลงที่ฉันไม่เคยกล้าเปิดฟัง ตั้งแต่เธอไป

ได้ฟังแล้วเหมือนย้อนเวลา กลับไปตอนที่เริ่มทำใจ
ได้ยินเพลงนี้ทีไร น้ำตาต้องไหล

ดูเหมือนการต้องเลิกรักเธอ จะยากจนเกือบเป็นไปไม่ได้
ตอนนั้นเหมือนจะไม่ไหว แต่ตอนนี้ฉันไม่เป็นอะไร
จริงแล้วฉันก็แปลกใจ ว่าหายดีตอนไหน
จำไม่ได้ว่าใช้เวลาไปนานเท่าไร แต่ฉันก็แค่ดีใจ
ที่ตอนนี้ฉันไม่รู้สึกอะไร

ไม่ได้นึกถึงเธอ มานานแล้วเหมือนกัน",image_suthita
เกมล่าเธอ,/music/thailyric/15765,"รู้ดีว่ามันไม่ง่าย จุดหมายสุดท้ายที่ใจอยากเจอ
หนึ่งคำที่เรียกว่าเธอ คนที่คลี่คลายหัวใจดวงนี้
เหมือนคนที่หลงทางอยู่ไม่เจอจุดหมายปลายทางสักที
ยังรอคอยใจดีๆ ที่จะเยียวยารักษาให้หาย

เป็นเหมือนเกมที่เราต้องเล่นให้จบ
ตามให้เจอให้เจอสักคนที่หลบ
หลบอยู่สักแห่งที่ในโลกนี้

ตามหา ใครเพื่อมาปลดล็อคให้หัวใจ
เป็นกุญแจที่ไข คลี่คลายหัวใจดวงนี้

แม้ว่ายังไม่เคยได้พบคำตอบ
แม้ว่ามันจะเป็นเรื่องจริงหรือหลอก
ฉันก็พร้อมจะตามไปจนสุดฟ้า
เพื่อเจอกับเธอ

เสียงหัวใจเรียกร้องๆ ให้ฉันต้องเจอกับเธอ
เธอคือภาพความฝันที่ฉันมองเห็นเมื่อตอนละเมอ
ต้องเจอกับความเจ็บปวดแค่ไหนก็พร้อมเผชิญ
แค่เพียงในตอนสุดท้าย ก่อนลมหายใจสุดท้าย
ต้องพบกับเธอ

ตามหา ใครเพื่อมาปลดล็อคให้หัวใจ
เป็นกุญแจที่ไข คลี่คลายหัวใจดวงนี้

แม้ว่ายังไม่เคยได้พบคำตอบ
แม้ว่ามันจะเป็นเรื่องจริงหรือหลอก
ฉันก็พร้อมจะตามไปจนสุดฟ้า
เพื่อเจอกับเธอ",image_suthita
เข้าใจ,/music/thailyric/17370,"บางวันเราก็ต้องเจอ กับเรื่องราวที่ไม่ดี
ต้องผิดหวังต้องเจ็บช้ำ ต้องเสียใจ
อาจไม่มีโอกาสให้เตรียมตัว
ไม่มีสัญญาณบอกไว้
ไม่มีคำอธิบายใดๆ สักคำ

ยังไม่รู้ เพราะอะไร
ได้แต่ถามซ้ำๆ ว่าทำไม
ก็คงทำได้เพียง
พยายามทำความเข้าใจ แต่

บางทีการที่เราเข้าใจ
ก็ไม่ได้ทำให้ความเจ็บมันหายไป
ไม่ว่ามีเหตุผลเท่าไร
ก็อาจไม่ช่วยทำให้น้ำตาหยุดไหล

ยังไม่รู้ เพราะอะไร
ได้แต่ถามซ้ำๆ ว่าทำไม
ก็คงทำได้เพียง
พยายามทำความเข้าใจ แต่

บางทีการที่เราเข้าใจ
ก็ไม่ได้ทำให้ความเจ็บมันหายไป
ไม่ว่ามีเหตุผลเท่าไร
ก็อาจไม่ช่วยทำให้น้ำตาหยุดไหล

บางทีการที่เราเข้าใจ
ก็ไม่ได้ทำให้ความเจ็บมันหายไป
ไม่ว่ามีเหตุผลเท่าไร
ก็อาจไม่ช่วยทำให้น้ำตาหยุดไหล

แต่ว่าไม่เป็นไร
สุดท้ายมันจะผ่านไป",image_suthita
ใจเย็น (Still),/music/thailyric/14750,"ปลอบใจตัวเองคนเดียวต่อไป
ไม่อาจระบายให้ใครรู้ ว่าเรานั้นรู้สึก
อย่างไรที่ได้เจอ เธออีกครั้ง
อยากเป็นคนดี ที่พร้อมจะเข้าใจ
บางทีมันก็ยากเกินไป
รู้ ไม่ควร ไม่มีสิทธิ์
แต่ว่าเจอเธอเมื่อไร

เหมือนกลับไปยืนที่เก่า
ภาพความทรงจำครั้งเก่า เหมือนเดิม
เหตุการณ์ยังฝังในใจ
ทำทุกอย่าง พยายามจะลืมทุกอย่าง
จบไป แต่สุดท้ายก็ทำได้เพียง

ใจเย็นไว้ บอกตัวเองไว้
ห้ามใจให้นิ่งที่สุด เก็บไว้ลึกๆ ข้างใน
หากแม้ หากเธอผ่านมาพบเมื่อไร
ต้องไม่รู้สึก ซ่อนไว้ในใจ
ที่ยังคิดถึง เสมอ

เหมือนกลับไปยืนที่เก่า
ภาพความทรงจำครั้งเก่า เหมือนเดิม
เหตุการณ์ยังฝังในใจ
ทำทุกอย่าง พยายามจะลืมทุกอย่าง
จบไป แต่สุดท้ายก็ทำได้เพียง

ใจเย็นไว้ บอกตัวเองไว้
ห้ามใจให้นิ่งที่สุด เก็บไว้ลึกๆ ข้างใน
หากแม้ หากเธอผ่านมาพบเมื่อไร
ต้องไม่รู้สึก ซ่อนไว้ในใจ
ที่ยังคิดถึง

ใจเย็นไว้ บอกตัวเองไว้
ห้ามใจให้นิ่งที่สุด เก็บไว้ลึกๆ ข้างใน
หากแม้ หากเธอผ่านมาพบเมื่อไร
ต้องไม่รู้สึก ซ่อนไว้ในใจ
ที่ยังคิดถึง",image_suthita
