song_name,href,lyric,artist
แบ่งเธอ แบ่งใจ,/music/thailyric/932,"ไม่บอกก็รู้อึดอัดใช่มั้ย ที่เลือกใครไม่ได้ซักคน
ระหว่างคนคนนั้น และกับฉัน
อยากอยู่กับเขาอยากอยู่กับฉัน
สิ่งเหล่านั้นฉันก็เข้าใจ
แต่เธอยังมาถามว่าเธอควรจะทำอย่างไร

ให้เขาอยู่ส่วนเขา และฉันก็อยู่ส่วนฉัน
ขอแค่เท่านั้นก็พอใจ
เขาก็อยู่ส่วนเขาและฉันก็อยู่ส่วนฉัน
ฉันขอแค่นั้นทำได้หรือเปล่า
ในเมื่อเธอยอมแบ่งใจ
ฉันก็ยอมแบ่งเธอ ได้เหมือนกัน

อย่าคิดถึงเขา เมื่ออยู่กับฉัน
อย่าแบ่งปันไม่ว่าเรื่องใดและอย่าคิดถึงฉัน
เมื่อเวลาเธออยู่กับเขา

ให้เขาอยู่ส่วนเขา และฉันก็อยู่ส่วนฉัน
ขอแค่เท่านั้นก็พอใจ
เขาก็อยู่ส่วนเขาและฉันก็อยู่ส่วนฉัน
ฉันขอแค่นั้นทำได้หรือเปล่า
ในเมื่อเธอยอมแบ่งใจ
ฉันก็ยอมแบ่งเธอ ได้เหมือนกัน

เขาก็อยู่ส่วนเขาและฉันก็อยู่ส่วนฉัน
ฉันขอแค่นั้นทำได้หรือเปล่า
ในเมื่อเธอยอมแบ่งใจ
ฉันก็ยอมแบ่งเธอ ได้เหมือนกัน

ในเมื่อเธอยอมแบ่งใจ
ฉันก็ยอมแบ่งเธอ ได้เหมือนกัน",jennifer_kim
สายลม,/music/thailyric/936,"ไม่รู้ว่านานเท่าไร ที่ฉันและเธอห่างไกลตั้งแต่วันนั้น
อยากขอแค่เพียงสักวัน ให้เราได้มาพบกันเหมือนวันเก่า

แม้ไม่อาจเป็นดั่งใจที่ต้องการ เราต่างรู้
คงไม่นานเกินเฝ้ารอ จะจำไว้เสมอ

เมื่อใดที่สายลมพัด ดั่งมีความรักมาช่วยปลอบความเหงาใจ
ไม่ว่าตัวเธออยู่ไหน ลมจะเป็นเหมือนใจที่ห่วงใยกัน
เพราะรักแท้ก็เป็นเหมือนลมที่โอบกอดฉัน
แม้มองไม่เห็นแต่ฉันรู้สึกถึงเธอ

แค่นึกว่าได้เจอกัน หรือว่าพบในฝัน ฉันก็สุขใจเหลือเกิน
ไม่รู้ว่าตอนนี้เธอ จะเป็นแบบเดิมและคิดถึงกันหรือเปล่า

แม้ไม่อาจเป็นดั่งใจที่ต้องการ เราต่างรู้
คงไม่นานเกินเฝ้ารอ จะจำไว้เสมอ

เมื่อใดที่สายลมพัด ดั่งมีความรักมาช่วยปลอบความเหงาใจ
ไม่ว่าตัวเธออยู่ไหน ลมจะเป็นเหมือนใจที่ห่วงใยกัน
เพราะรักแท้ก็เป็นเหมือนลมที่โอบกอดฉัน
แม้มองไม่เห็นแต่ฉันรู้สึกถึงเธอ

ลมจะพัดมาจากทิศใดก็ตาม
สายลมเป็นดั่งสายใยเชื่อมใจเราไว้ไม่ขาด
ให้เราผูกพันแม้ต้องห่างไกล

ไม่ว่าตัวเธออยู่ไหน ลมจะเป็นเหมือนใจที่ห่วงใยกัน
เพราะรักแท้ก็เป็นเหมือนลมที่โอบกอดฉัน
แม้มองไม่เห็นแต่ฉันรู้สึกถึงเธอ

แม้มองไม่เห็นแต่สัมผัสได้เสมอ",jennifer_kim
มิสด์ คอล (Missed Call),/music/thailyric/933,"มันเป็นแค่ความรู้สึก ที่มีให้ใครสักคน
ที่มันมากมายเสียจนล้นใจ
มีเพียงแค่ความรู้สึก อยากคุยอยากชิดใกล้
แต่เธออึดอัดใช่ไหม ฉันรู้ดี

อยากโทรไปหาเธอไม่รู้วันละกี่ครั้ง
ฉันยังต้องตัดสินใจให้ดี
แต่มันยังห้ามใจ ไม่ได้เสียที
และในตอนนี้ขอโทรอีกสักครั้ง

Missed call and misunderstand too
May be I make some mistake...coz I miss you

Missed call and misunderstand too
May be I make some mistake...coz I miss you

ในการพูดคุยระหว่างวันเวลาที่ผ่าน
และฉันรู้ดีควรยืนอยู่ตรงไหน
ทุกครั้งที่ฉันนั้นอยากจะคุยก็เข้าใจ
แต่ทำไมมันยังต้องเสียใจ ทั้ง ๆที่รู้ดี

อยากโทรไปหาเธอไม่รู้วันละกี่ครั้ง
ฉันยังต้องตัดสินใจให้ดี
แต่มันยังห้ามใจ ไม่ได้เสียที
และในตอนนี้ขอโทรอีกสักครั้ง

Missed call and misunderstand too
May be I make some mistake...coz I miss you

Missed call and misunderstand too
May be I make some mistake...coz I miss you

แค่หนึ่งนาทีก็ดีใจ คือความสดใสที่เธอแบ่งปัน
เมื่อเธอหายไป มันทำให้ฉันกังวลไปทั้งวัน
แค่ได้ยินเสียงเธอรับสาย
แค่กอดเงาเธอเท่านั้นก็พอใจ...ได้ไหม

แต่ก็ยัง... Missed call
ใจหายวูบไป  เธอรู้ไหม ว่าอีกใจก็ยังเฝ้ารอ

Missed call... น้ำตามันเริ่มคลอ
แต่มันคงยังไม่พอทำให้เธอ..โทรกลับมา

Missed call and misunderstand too
May be I make some mistake...coz I miss you

Missed call and misunderstand too
May be I make some mistake...coz I miss you",jennifer_kim
โลนลี่ (Lonely),/music/thailyric/934,"วันที่เคยเรามองดูดาว
คืนที่เรามองดูดวงจันทร์
หัวใจมันบอกรักแค่เพียงเธอ

ลมหนาวมาพาเราอิงกาย
ลมหายใจเรามีเพียงกัน
ฉันมีเธอไกล้ชิดไม่เคย....ห่าง

เมื่อวันนั้น
กลายเป็นเพียงภาพวันวาน
สองเราจำจากไกล
แค่ได้เห็นดวงดาวทอแสงรำไร...
เหงาเกินทน

ขื่นและขมมองจันทร์บนฟ้าคราใด
เห็นเพียงเงาภาพเธอ
หลับตาลงทีไรใจเผลอพลันมีน้ำตา
ให้มันย้ำซ้ำๆ ในใจ
ว่าคิดถึงเธอ เหลือเกิน

วันนี้มองดูดาวเดียวดาย
คืนนี้ไม่มีเธอเคียงกาย
เหงาทีไรปวดร้าวเกินจะเอ่ย

ลมหนาวยืนเตือนความอาลัย
ลมหายใจเหลือเพียงลำพัง
หวังมีเธออีกครั้งในอ้อมกอด

เมื่อวันนั้น
กลายเป็นเพียงภาพวันวาน
สองเราจำจากไกล
แค่ได้เห็นดวงดาวทอแสงรำไร...
เหงาเกินทน

ขื่นและขมมองจันทร์บนฟ้าคราใด
เห็นเพียงเงาภาพเธอ
หลับตาลงทีไรใจเผลอพลันมีน้ำตา
ให้มันย้ำซ้ำๆ ในใจ
ว่าคิดถึงเธอ...เหลือเกิน

อยากบอกให้เธอได้ฟังซักครั้ง
อยากบอกดัง ๆ ให้เธอได้ยิน
จะกี่พันคืนที่ลา
น้ำตายังไหลร่วงริน
หวังมีเธอมาคลายเดียวดาย
นับคืนวันรอคอยเธอย้อนมาหา

ให้มันย้ำซ้ำๆ ในใจ
ว่าคิดถึงเธอเหลือเกิน",jennifer_kim
สายไป,/music/thailyric/935,"ไม่ว่าอะไรที่เคยให้เธอ ไปจนหมดใจ
จากเพื่อนคนหนึ่งที่เคยรู้ใจ ได้อย่างคนนี้
เข้าข้างตัวเองเสมอ สักวันเธอคงจะรู้ดี
เวลาผ่านไปทุกที อาจจะทำให้เธอได้เห็นใจ

แม้นาฬิกายังคงเดินหมุนต่อไป
แต่ฉันต้องหยุดหัวใจรักที่มี
และในวันนี้คงเป็นแค่เพื่อนที่ดี
เจอะกันได้เพียงแค่เพื่อนเท่านั้น

อย่ามองกันด้วยสายตา แบบนั้น
มันทำให้ทั้งหัวใจ ฉันปวดร้าว
สิ่งที่เคยให้เธอ ไปหมดทั้งหัวใจ
ก็เธอไม่เคยจะมองไม่สนใจ
อย่าบอกกันว่ารักเลย วันนี้
มันทำให้กลั้นน้ำตา ไว้ไม่ไหว
หากมีใจให้กัน แต่ทำไมจึงละเลย
ทิ้งความรักคนคุ้นเคย ปล่อยเวลาให้ล่วงเลยจนสายไป

ไม่ว่าจะนานก็ยังเฝ้ารอ รออยู่อย่างนี้
เธอไม่ใยดีกับรักที่มี ไม่เคยหวั่นไหว
ได้พบเจอกันเสมอ สบตาบอกเธอให้รู้ใจ
แต่เธอก็มองข้ามไป ไม่มีกันอยู่เลยในสายตา

อย่ามองกันด้วยสายตา แบบนั้น
มันทำให้ทั้งหัวใจ ฉันปวดร้าว
สิ่งที่เคยให้เธอ ไปหมดทั้งหัวใจ
ก็เธอไม่เคยจะมองไม่สนใจ
อย่าบอกกันว่ารักเลย วันนี้
มันทำให้กลั้นน้ำตา ไว้ไม่ไหว
หากมีใจให้กัน แต่ทำไมจึงละเลย
ทิ้งความรักคนคุ้นเคย ปล่อยเวลาให้ล่วงเลยจนสายไป",jennifer_kim
อยู่ในสายลมหรือเปล่า,/music/thailyric/937,"ไหน ความรักมันอยู่ที่ไหน
มองทางไหน ก็เห็นเพียงความปวดร้าว
คำว่ารักที่ใครพูดกัน
ฉันไม่เคยเห็นมันจะจริงเลยสักครั้ง
กี่คนแล้ว ที่เคยต้องเสียน้ำตา

เหงา โลกนี้มันช่างเงียบเหงา
มีแต่เงา ที่คอยเป็นเพื่อนเรื่อยมา
มีใครไหมที่รักฉันจริง
ฉันรอแต่เขา รอแต่เขา ตลอดมา
ยังคอยหา แต่เขานั้นอยู่ที่ไหน

อยู่ในสายลมหรือเปล่า อยู่ในแสงดาวใช่ไหม
ทำไม ทำไมฉันจึงไม่เคยได้เจอ
จะต้องเหงาถึงเมื่อไหร่ อีกนานไหมฉันจะพบเธอ
หรือว่าเธอไม่เคย มีอยู่จริง

ท่ามกลางชีวิต ที่มันสับสน
ขอเพียงสักคน ที่มีรักแท้

ไม่มีใครไหนเลย ที่รักจริง",jennifer_kim
ไม่ยอมหมดหวัง,/music/thailyric/8484,"ก็เคยฝันใฝ่และเคยมั่นใจในวันนี้
ว่าคงต้องดี ต้องเป็นได้ดังที่ตั้งใจ
แต่คนทั้งคน ที่เป็นความฝันของหัวใจ
กลับมาทิ้งกันไป ต้องสูญสิ้นไปหมดทุกอย่าง

ปวดใจเหลือเกิน
แต่คงต้องทน ข่มความทรมาน
ฉันจะต้องก้าวผ่าน
ตราบฉันยังคงหายใจ

แม้ว่าจะต้องเสียความรักไป
แม้ว่าจะไม่เหลือใครสักคน
มันจะเจ็บจะช้ำกี่หน
แต่คนคนนี้ไม่ท้อใจ

แม้ว่าในวันนี้มีน้ำตา
จะข่มมันให้ไหลอยู่ข้างใน
ความฝันนั้นจบไป แต่ยังเหลือตัวฉัน

ก็คงสักวัน ที่ลมฝนมันจะผ่านพ้น
จะยอมสู้ทน เพื่อรอพบวันที่สดใส
หากมีสักคน สักคนที่ทำให้กันด้วยหัวใจ
ถึงนานสักเท่าไร แต่ฉันก็ยังเฝ้ารอ

แม้ว่าจะต้องเสียความรักไป
แม้ว่าจะไม่เหลือใครสักคน
มันจะเจ็บจะช้ำกี่หน
แต่คนคนนี้ไม่ท้อใจ

แม้ว่าในวันนี้มีน้ำตา
จะข่มมันให้ไหลอยู่ข้างใน
ความฝันนั้นจบไป แต่ยังเหลือตัวฉัน

แม้ว่าจะต้องเสียความรักไป
แม้ว่าจะไม่เหลือใครสักคน
มันจะเจ็บจะช้ำกี่หน
แต่คนคนนี้ไม่ท้อใจ

แม้ว่าในวันนี้มีน้ำตา
จะข่มมันให้ไหลอยู่ข้างใน
ความฝันนั้นจบไปแต่ยังเหลือตัวฉัน

อดทนไว้และบอกใจ จะไม่ยอมหมดหวัง",jennifer_kim
แค่เพียงเพราะรัก,/music/thailyric/930,"คงมีบางทีที่เธอได้เห็น ร่องรอยน้ำตา
มันคือเวลา ที่เธอได้ทำให้ฉันได้คิดอะไร
ที่มันเป็นเพียง เรื่องราวส่วนหนึ่งของเรื่องใหญ่
ที่คนอย่างเธอ ไม่เคยใส่ใจ
ก็คนอย่างเธอ ไม่พร้อมจะจริงจัง

อย่าปฏิเสธอะไรอีก ฉันไม่ขอรับฟัง
ความจริงบางครั้ง เรามองต่างมุมและต่างแง่คิดของใคร
แต่ตัวเธอเอง ไม่เคยจะยอมเข้าใจ
ว่าคนอย่างเธอ ต้องการมากมายจนเธอไม่คิดถึงฉัน

มันคงเป็นกรรม ที่ต้องเกิดมาเพื่อเขา
หรือเพราะว่าเป็นตัวเรา เกิดมาเพื่อเสียใจ
กับสิ่งที่เขาทำลาย และทำทิ้งไว้
แค่เพียงเพราะรัก เราจึงอภัย
แต่แล้วทำไม เราจึงต้องรัก

เธอเคยเอาใจ ห่วงใยและพร้อมอภัยให้กัน
ไม่พูดสักคำ แต่เธอก็รู้ทุกครั้งฉันคิดอะไร
แต่พอนานวันทุกอย่างจืดจาง เลือนหายไป
เมื่อคนอย่างฉัน รักเธอหมดใจ
กลับมองข้ามใจของฉัน

มันคงเป็นกรรม ที่ต้องเกิดมาเพื่อเขา
หรือเพราะว่าเป็นตัวเรา เกิดมาเพื่อเสียใจ
กับสิ่งที่เขาทำลาย และทำทิ้งไว้
แค่เพียงเพราะรัก เราจึงอภัย
แต่แล้วทำไม เราจึงต้องรัก

มันต่างจากฝัน ที่เคยมีร่วมกัน
จากวันที่ยอม ทุ่มเทให้เธอทั้งใจ
จะขอให้ดูแลหัวใจ กลับกลายมาเป็นทำลาย

สุขทุกข์จะมีด้วยกัน
แต่แล้วที่แท้ความสุขนั้นเธอมีได้
แต่ทุกข์นั้นจะให้ใคร จะให้ฉันให้เพียงฉัน
ให้แต่ฉัน เก็บเอาไว้หรือเธอ

มันคงเป็นกรรม ที่ต้องเกิดมาเพื่อเขา
หรือเพราะว่าเป็นตัวเรา เกิดมาเพื่อเสียใจ
กับสิ่งที่เขาทำลาย และทำทิ้งไว้
แค่เพียงเพราะรัก เราจึงอภัย
แต่แล้วทำไม เราจึงต้องรัก

มันคงเป็นกรรม ที่ต้องเกิดมาเพื่อเขา
หรือเพราะว่าเป็นตัวเรา เกิดมาเพื่อเสียใจ
กับสิ่งที่เขาทำลาย และทำทิ้งไว้
แค่เพียงเพราะรัก เราจึงอภัย
แต่แล้วทำไม เราจึงต้องรัก",jennifer_kim
กำไลมาศ,/music/thailyric/10975,"ที่ยังรอเพราะรัก รักจนสุดแสน
รอเพราะแค้น แค้นจนสุดใจ
เธอรู้ไหมฉันรอจนใจสลาย
ให้ยอมลารักนั้น ฉันทนไม่ไหว
ให้ยอมอภัย ฉันทำไม่ได้
ทั้งรักทั้งเจ็บถึงแม้ตัวตาย
ฉันก็จะรอ

กำไลมาศ วิลาสจับใจ
ใส่คล้องไว้ มอบใจภักดีแต่เธอ
แทนสัญญา สักวันที่เรามาเจอ
จะเคียงคู่เธอตลอดไป

ภาพวันวาน หวานกลายเป็นขม
เจ็บระทมเมื่อเธอรักจางห่างไกล
ขอสัญญา ไม่ว่าจะนานแค่ไหน
จะให้เธอชดใช้ในสิ่งที่ทำ

ที่ยังรอเพราะรัก รักจนสุดแสน
รอเพราะแค้น แค้นจนสุดใจ
เธอรู้ไหมฉันรอจนใจสลาย
ให้ยอมลารักนั้น ฉันทนไม่ไหว
ให้ยอมอภัย ฉันทำไม่ได้
ทั้งรักทั้งเจ็บถึงแม้ตัวตาย
ฉันก็จะรอ

กำไลมาศ ชาติภพเปลี่ยนผัน
เฝ้านับวัน กลับมาพบเจ้าของใจ
ขอสัญญา ว่าฉันจะกอดเธอไว้
อยู่เคียงใจ ไม่ยอมให้พรากจากกัน

ในความอ้างว้างต้องทนร้าวรานเพียงไหน
เธอได้ยินไหมเสียงหัวใจเพรียกหา

ที่ยังรอเพราะรัก รักจนสุดแสน
รอเพราะแค้น แค้นจนสุดใจ
เธอรู้ไหมฉันรอจนใจสลาย
ให้ยอมลารักนั้น ฉันทนไม่ไหว
ให้ยอมอภัย ฉันทำไม่ได้
ทั้งรักทั้งเจ็บถึงแม้ตัวตาย

ให้ยอมลารักนั้น ฉันทนไม่ไหว
ให้ยอมอภัย ฉันทำไม่ได้
ทั้งรักทั้งเจ็บถึงแม้ตัวตาย ฉันก็จะรอ
ฉันจะรอเธอ ฉันจะรอ",jennifer_kim
กี่เพ้า,/music/thailyric/9094,"ธาตุแท้ที่อยู่ในหัวใจ
จะดีร้ายเท่าไร มองไม่รู้ด้วยตา
ธาตุแท้ ใครที่เราพบพา
อาจได้เพียงรู้หน้า แต่ไม่รู้ใจ

เหมือนดังกี่เพ้าถักทอ งามจับตาเท่าไร
แต่ที่มาที่ไป เรื่องราวข้างใน จะมีใครที่รู้

กี่เพ้านี้มีความลับใช่ไหม
กี่เพ้าเหมือนใจดวงนี้ใช่ไหม
สิ่งที่หัวใจเธอปิดเอาไว้ ไม่รู้ดีหรือร้าย

อยากไขหัวใจดวงนี้ได้ไหม
ให้เห็นเธอที่แท้ข้างใน
หวังแค่เพียงสักวันจะใช้ความรัก
เปิดใจให้เจอตัวจริง

หวั่นไหว เมื่อต้องมาใกล้กัน
ในบางคราวฉันหวั่น
และบางครั้งฉันกลัว
หวั่นไหว เธออาจไม่รู้ตัว
เมื่อมีความมืดมัว ปิดบังหัวใจ

เหมือนดังกี่เพ้าถักทอ งามจับตาเท่าไร
แต่ที่มาที่ไป เรื่องราวข้างใน จะมีใครที่รู้

กี่เพ้านี้มีความลับใช่ไหม
กี่เพ้าเหมือนใจดวงนี้ใช่ไหม
สิ่งที่หัวใจเธอปิดเอาไว้ ไม่รู้ดีหรือร้าย

อยากไขหัวใจดวงนี้ได้ไหม
ให้เห็นเธอที่แท้ข้างใน
หวังแค่เพียงสักวันจะใช้ความรัก
เปิดใจให้เจอตัวจริง

ให้ฉันได้รู้เธอนั้นคือใคร ได้ไหม
หวังแค่เพียงสักวันจะใช้ความรัก
เปิดใจให้เจอตัวจริง",jennifer_kim
