song_name,href,lyric,artist
เมรี,/music/thailyric/10504,"เมื่อน้องเป็นยักษ์พี่รับไม่ได้
เกิดชาติหน้าฉันใดขอให้เราคู่กัน ขอให้เรารักกัน

หัวใจเมียแทบขาดลงรอนๆ
หมดคำวอนอ้อนพี่ให้ห่วงหา
โอ้ปวดร้าวพระรถไม่เมตตา
มาร้างลาห่างหนีไม่มีคืน

สุริยาเลื่อนลาลับ สุดคณานับ เนิ่นนานปี
ณ ริมฝั่ง มหานที พระรถเมรี ร่ำรี้ ร่ำไร
สำเนียงน้อง ร่ำร้องว่า โอ้โอ๋กรรมมา แต่ปางไหน
อยู่หลัดๆ ก็มาพลัดพรากไป
แม่พวงมาลัย กลุ้มอุรา
เคยถนอม หอมระรื่น จากไปเป็นอื่น เสียแล้วหนา
เมรีหมดหวังละก็มานั่งโศกา ฟูมฟายน้ำตา หลั่งไหลนอง
โฉมยุพิน ปิ่นนารี ทุบอกชกตี ปากร่ำร้อง
ว่าภัสดาไม่หันหน้ามามอง รักหลุดลอย ละล่อง ลอยไป

พระรถตอบถ้อย เจ้าอย่าน้อยใจนัก เมรีเป็นยักษ์ จักอยู่ไฉน
พี่เป็นมนุษย์ หรือจะมาฉุดดวงใจ น้องจงกลับไป เสียเถิดนาง
แม่ขวัญตา แทบอาสัญ ใจรักมั่น ไม่จืดจาง
เศร้าโศกโศกา ไม่วายวาง หมดหนทาง จะติดตาม
ด้วยทะเล กั้นขวางหน้า หมดปัญญา แม่นงราม
กู่ตะโกน จนก้องน้ำ บาปเวรหรือกรรม เล่าจอมใจ
แม้นพี่ไม่กลับ มารับขวัญ ขอถวายชีวัน ไม่หวั่นไหว
นางก็พลัน กลั้นใจตาย น่าเห็นใจ แม่นงเยาว์

รักเขาข้างเดียว ข้าวเหนียวนึ่ง
น้ำท่วมไม่ถึง อับอายเขา
ไม่ส่องกระจกชะโงกดูเงา
ว่าตัวของเรา ต้องเจียมตน

อยากเจอรักแท้ ที่แน่วแน่นอนนัก
พี่จะบอกให้น้องรัก เอาบุญสักคน
ลองรักกับพี่ ซิไม่มีอับจน
เจ้าจะสุขล้นเพราะพี่เป็นคนใจดี

เจ้าจะสุขล้นเพราะพี่เป็นคนใจเดียว",kratae_rsiam
จะฆ่าเธออย่างไร,/music/thailyric/17953,"เก็บความแค้นจนล้น ท่วมท้นในใจ ถึงวันไหน ไม่เคยชินชา
ทั้งชีวิต ฉันภาวนา ให้ถึงเวลาพบเจอ
แต่แล้วก็แพ้ให้โชคชะตา เมื่อได้มาอยู่ใกล้กับเธอ
ทั้งที่รู้ห้ามให้ใจเธอ แต่ทำไม่ไหว

คนๆ นี้แหละทำให้ช้ำ ที่ต้องทำคือท่องเอาไว้
ต้องทำให้เขาเจ็บ ต้องทำให้เขาปวด แทบขาดใจ

เกลียดก็แสนเกลียด แค้นยิ่งกว่าใคร
เกลียดจนฉันอยาก ฆ่าเธอให้ตาย
ทำให้ฉันเจ็บ ต้องได้คืนกลับไป
แต่วันนี้จะฆ่าเธออย่างไร
เมื่อมันรักเธอ รักจนหมดใจ
บนความไหวหวั่น ฉันต้องทำอย่างไร

ใจหนึ่งสอนให้ฉัน มุ่งมั่นทำลาย ลบความแค้นที่ใจยังมี
ไม่ต้องสน ไม่ต้องใยดี เพราะเขาเคยทำร้ายใจ
แต่ใจอีกใจให้คิดดีดี ชีวิตนี้ขาดเขาได้ไหม
ไม่ว่าฉันจะเลือกทางใด ก็เจ็บทั้งนั้น

คนๆ นี้แหละทำให้ช้ำ ที่ต้องทำคือท่องเอาไว้
ต้องทำให้เขาเจ็บ ต้องทำให้เขาปวด แทบขาดใจ

เกลียดก็แสนเกลียด แค้นยิ่งกว่าใคร
เกลียดจนฉันอยาก ฆ่าเธอให้ตาย
ทำให้ฉันเจ็บ ต้องได้คืนกลับไป
แต่วันนี้จะฆ่าเธออย่างไร
เมื่อมันรักเธอ รักจนหมดใจ
บนความไหวหวั่น ฉันต้องทำอย่างไร

เกลียดก็แสนเกลียด แค้นยิ่งกว่าใคร
เกลียดจนฉันอยาก ฆ่าเธอให้ตาย
ทำให้ฉันเจ็บ ต้องได้คืนกลับไป
แต่วันนี้จะฆ่าเธออย่างไร
เมื่อมันรักเธอ รักจนหมดใจ
บนความไหวหวั่น ฉันต้องทำอย่างไร

ในวันนี้จะฆ่าเธออย่างไร
เมื่อมันรักเธอ รักเกินสิ่งใด
สั่งให้ฉันหยุดรัก ยากจนเกินตัดใจ
นาทีนี้ ฉันต้องทำอย่างไร",kratae_rsiam
เชื่อในรักใช่ไหม,/music/thailyric/14621,"ห่างไกลเกินคำว่าหวัง
แตกต่างเกินคำว่าฝัน
ไม่มีสิ่งไหนที่ใกล้เคียงกัน
สายตายืนยันอย่างนี้
แต่เมื่อรักเกิดขึ้นในใจ
ก็ไม่ต้องใช้เหตุผลที่มี
แค่เรารู้ใจดวงนี้มันเป็นของใคร

เชื่อในรักใช่ไหม เชื่อในรักได้ไหม
เชื่อว่ารักจะตอบทุกอย่าง
ทำให้เราสองพบเจอหนทางที่สดใส
ต่อให้ช้ำกี่ครั้ง ให้ผิดหวังกี่หน
หากเราทนและไม่หวั่นไหว
ต้องเจอขวากหนามสักเท่าไร
ความรักจะพาเราข้ามไป
แค่จับมือกันไว้ แค่เชื่อในคำว่ารัก

หมดใจมีเธอเท่านั้น
หากใจเธอเป็นเหมือนฉัน
ไม่ต้องมีใครมาเข้าใจมัน
สำคัญที่เราเท่านี้
สิ่งที่เหมือนว่ายากเกินไป
ที่เธอสงสัยอยู่ทุกนาที
เธอต้องรู้แค่วันนี้ใจเธอรักใคร

เชื่อในรักใช่ไหม เชื่อในรักได้ไหม
เชื่อว่ารักจะตอบทุกอย่าง
ทำให้เราสองพบเจอหนทางที่สดใส
ต่อให้ช้ำกี่ครั้ง ให้ผิดหวังกี่หน
หากเราทนและไม่หวั่นไหว
ต้องเจอขวากหนามสักเท่าไร
ความรักจะพาเราข้ามไป
แค่จับมือกันไว้ แค่เชื่อในคำว่ารัก

เชื่อในรักใช่ไหม เชื่อในรักได้ไหม

เชื่อในรักใช่ไหม เชื่อในรักได้ไหม
เชื่อว่ารักจะตอบทุกอย่าง
ทำให้เราสองพบเจอหนทางที่สดใส
ต่อให้ช้ำกี่ครั้ง ให้ผิดหวังกี่หน
หากเราทนและไม่หวั่นไหว
ต้องเจอขวากหนามสักเท่าไร
ความรักจะพาเราข้ามไป
แค่จับมือกันไว้แค่เชื่อในคำว่ารัก

เชื่อในรักได้ไหม
เชื่อด้วยทั้งหัวใจของเธอ",kratae_rsiam
ดูดพิษ (Love Sucks),/music/thailyric/23118,"คบฉันแบบไหน บางเวลาก็มาหากัน
บางเวลาก็ทำกับฉัน เหมือนคน แสนไกล แปลกดี

ฉันง่ายใช่ไหม เลยมองกันว่าเป็นของฟรี
ตีตรากัน ว่าฉัน  คนนี้  เอาอยู่  ไม่ใช่งู พิษร้าย

แต่สุดท้าย เธอมันคือสัตว์ร้ายในร่างคน
อยู่กับฉันตอนซมซาน แค่ในเวลาสับสน
ต่อกี่ครั้ง ที่ฉันต้องคอยบรรเทา เมื่อเธอทุกข์ทน
ในฐานะคนที่ห่วงใย

ก็อยากดูดพิษให้เธอ ที่หัวใจ
แต่เสร็จแล้วเธอเองก็หาย ฉันไร้ตัวตน
นี่ฉันเป็นคน ไม่ใช่ของตาย
ใต้ผิวบางๆ มันมีหัวใจ
ยังรักเธออยู่สักแค่ไหน ก็ไม่อยากเสียใจอีกหน

เรียกฉันที่รัก ในความจริงแค่ที่พักใจ
เธอใช้คำหลอกลวงกันไว้ ซื้อใจให้ฉันลืมข้อแม้

แต่สุดท้าย เธอมันคือสัตว์ร้ายในร่างคน
อยู่กับฉันตอนซมซาน แค่ในเวลาสับสน
ต่อกี่ครั้ง ที่ฉันต้องคอยบรรเทา เมื่อเธอทุกข์ทน
ในฐานะคนที่ห่วงใย

ก็อยากดูดพิษให้เธอ ที่หัวใจ
แต่เสร็จแล้วเธอเองก็หาย ฉันไร้ตัวตน
นี่ฉันเป็นคน ไม่ใช่ของตาย
ใต้ผิวบางๆ มันมีหัวใจ
ยังรักเธออยู่สักแค่ไหน ก็ไม่อยากเสียใจอีกหน

ก็อยากดูดพิษให้เธอ ที่ หัว
แต่เสร็จแล้วเธอเองก็หาย ฉันไร้ตัวตน
นี่ฉันเป็นคน ไม่ใช่ของตาย
ใต้ผิวบางๆ มันมีหัวใจ
ยังรักเธออยู่สักแค่ไหน ก็ไม่อยากเสียใจอีกหน

เธอรักฉันอยู่หน่อยนึงไหม
ทำไม ไม่สงสารกันสักหน",kratae_rsiam
ได้อะไรจากการรักเธอ,/music/thailyric/13801,"อยู่ตรงไหน หัวใจ เคยมีไหม หรือไม่มี
จึงทำร้ายฉันทุกวิธี เรื่อยมา
เปลี่ยนใจคน สักใจ พอจะรู้ ใช้เวลา
แต่กับเธอ ยิ่งนานยิ่งเจอแต่ความ ช้ำใจ

คำว่ารัก สั่งให้ฉันพร้อมจะยอมและทน
ไม่ไปให้พ้น ไม่ใช่ไม่มีที่ไป

บอกว่ารัก แล้วทำไมถึงไม่เคยแคร์
เหมือนฉันเป็นแค่ สิ่งของที่ทำตกไว้
หากยังรัก สักนาที ช่วยมีเยื่อใย
ฉันจะได้มี คำตอบให้ใจ
ว่าวันนี้ได้อะไรจากการรักเธอ

ช่วยตอบมาสักคำ หนึ่งคำถามที่ฉันมี
เธอจะเห็น น้ำตาของคนๆ นี้ เมื่อไร

คำว่ารัก สั่งให้ฉันพร้อมจะยอมและทน
เผื่อเธอไม่รู้ เหตุผลที่ไม่จากไป

บอกว่ารัก แล้วทำไมถึงไม่เคยแคร์
เหมือนฉันเป็นแค่ สิ่งของที่ทำตกไว้
หากยังรัก สักนาที ช่วยมีเยื่อใย
ฉันจะได้มี คำตอบให้ใจ
ว่าวันนี้ได้อะไรจากการรักเธอ

อยากให้กอดฉัน ในวันที่เสียใจ
ให้ฉันมั่นใจว่าเหลือใคร
คงเป็นคำขอ ที่มันไม่มากไป
ไม่อยากรู้สึก ว่าวันนี้มีเธออยู่ไหม

เหมือนฉันเป็นแค่ สิ่งของ
หากยังรัก สักนาที ช่วยมีเยื่อใย
ฉันจะได้มี คำตอบให้ใจ
ว่าวันนี้ได้อะไรจากการรักเธอ

ให้อุ่น หัวใจ ให้ฉันรู้ไว้ว่ายังเป็นคนของเธอ",kratae_rsiam
ตื๊ด,/music/thailyric/9502,"มีรักทีไรให้ใจก็โดนทิ้ง
ไม่รักกันจริง ซะเลยนะผู้ชาย
ก็พอกันที ไม่ไหวมันตรอมใจ
มันซังกะตาย กับรักที่น่าเบื่อ Let is go

มีความรักกับเขาสักที โอ้ชีวิตนี้ไม่ได้ดั่งใจ
ก็เพราะว่าเจอผู้ชาย ไวไฟลวดลายให้เราเจ็บช้ำ
คงต้องโทษตัวเองเอ้าเซ็ง เซ็ง เซ็งที่ไปถลำ
ไม่รู้ว่าเวรหรือกรรม หลอกกันซ้ำ ซ้ำแทบทนไม่ได้


ให้มันพอกันที อย่างนี้ไปกันไม่ไหว
อกหักไม่ยักกะตาย ไม่เห็นวอร์รี่

อารมณ์ไม่ดีอย่างนี้ มาตื๊ดสักหน่อย
อารมณ์บ่จอย ก็เลยมาตื๊ดสักที
ให้ลืมผู้ชายที่มันนิสัยไม่ดี
อกหักอย่างเนี้ย มามะมาตื๊ด ตี๊ด ตื๊ด

อารมณ์ไม่ดีอย่างนี้ มาตื๊ดสักหน่อย
อารมณ์บ่จอย ก็เลยมาตื๊ดสักที
ให้ลืมผู้ชายที่มันนิสัยไม่ดี อกหักอย่างเนี้ย
มามะมาตื๊ด ตื๊ด ตื๊ด ความรักจืดชืดมาตื๊ดดีกว่า

ตั๋วน้องเป็นสาว ถึงคราวอกหัก
เจอป้อจายวอกนัก หลอกฮื้อฮักตายใจ๋
ก็จ้างมันเต๊อะ แค่ป้อจายหลายใจ๋
ก็ต่างคนก็ต่างไป ตั๋วใผ๋ตั๋วมัน

อกหักละครั้งนี้ จะบ่ทุกข์ละจะบ่โศก
อะมีแต่โยก โยก โยก ให้โลกมันสะท้าน
เพลงแดนซ์อะตื๊ด อะตื๊ด
ละอย่างนี้ละตึงบ่ก๋าน ละท่าใผ๋ท่ามันเอ้าเต๋มตี่

เอ้าตื๊ดเรามาตื๊ด ตื๊ด ตื๊ด อย่ามาทำหน้าจืด เอ้าตื๊ดเข้าไว้
ทางหน้า ทางขวา ทางซ้าย อย่ามัวทำเขินอาย
ตื๊ดกันให้เต็มที่ อกหักรักจืดฝืดเคือง
ชีวิตมีแต่เรื่อง อะลองตื๊ดดูสิ สักพักจะรู้สึกดี๊ดี
อะตื๊ด ตื๊ดแบบนี้ จะรู้สึกสะใจ

ให้มันพอกันที อย่างนี้ไปกันไม่ไหว
อกหักไม่ยักกะตาย ไม่เห็นวอร์รี่

อารมณ์ไม่ดีอย่างนี้ มาตื๊ดสักหน่อย
อารมณ์บ่จอย ก็เลยมาตื๊ดสักที
ให้ลืมผู้ชายที่มันนิสัยไม่ดี
อกหักอย่างเนี้ย มามะมาตื๊ด ตี๊ด ตื๊ด

อารมณ์ไม่ดีอย่างนี้ มาตื๊ดสักหน่อย
อารมณ์บ่จอย ก็เลยมาตื๊ดสักที
ให้ลืมผู้ชายที่มันนิสัยไม่ดี
อกหักอย่างเนี้ย มามะมาตื๊ด ตื๊ด ตื๊ด
ความรักจืดชืดมาตื๊ดดีกว่า",kratae_rsiam
ถ่าอ้ายมาเฮ็ด,/music/thailyric/21626,"ญ) สุภาพบุรุษไป๊  ยิ้มอายๆ แล้วแค่คุยๆ
ต้องอ่อยประมาณใด๋ เว่าจั๋งไดอ้ายจังสิลุย
บ่เคย บ่เคย Sweet บ่เคยลวนลามสักนิด
ฮู้บ่น้องอยากเจ็บจี๊ด บ่ฮู้มือใด๋สิได้ซี๊ด

เปิดหน้าฝุดฝุดอยากให้อ้ายมาฉุดไปทำแฟนซะ
บ่มีพิษ บ่มีภัย และยังบ่มีไผมาเทคแคร์ค่ะ
อยากให้อ้ายเป็นเสือ น้องพร้อมเป็นเหยื่อมาโดนละ
เข้ามาได้ทันที เข้ามาสิ เข้ามาสิ โอเคป่ะ

โสด นะคะ รับรองว่าโสด ไปเช็ดได้หมด
ทั้งเฟซ ไอจี และไลน์ แอด แอด แอด แอด แอด
อยาก มีคนมาเอาใจใส่ เก็บห้อง ทอดไข่
ถ้าอ้ายเต็มใจก็มา มา มา มา

น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าให้อ้ายมาไล่ความเหงาไปให้น้องจั๊กหน่อย
น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าอ้ายมาควงแขน มาเป็นแฟนน้องคงจะเอ็นจอย

ตั้งใจจะบอกว่าชอบเธอแต่ทุกครั้งที่เจอต้องเปลี่ยนโหมด
ในใจกล้าๆ แต่ก็กลัวๆ มันยังไม่ค่อยชัวร์ว่าเธอโสด
ก็ลังเลกันไป เอาไงดี กลัวเธอจะมีแล้วคนโปรด
จะเดินไปกุมมือเธอเลยก็เกรงใจ เรามันสายอายไม่ใช่สายโหด

เพราะความน่าฮักเจ้าเป็นเหตุ ไผก็สังเกตได้
สิเบิ่งมุมใด๋ก็งามคัก อ้ายเลยจำเป็นต้องมักง่าย
หากแม่นน้องมีใจคือกัน เว่ามาสั้นๆ ว่าอ้ายใช่
น้องสิให้อ้ายเฮ็ดอีหยัง ฮ้องเอิ้นดังดังอ้ายเฮ็ดให้

โสด นะคะ รับรองว่าโสด ไปเช็กได้หมด
ทั้งเฟซ ไอจี และไลน์ แอด แอด แอด แอด แอด
อยาก เป็นคนที่เอาใจใส่ ชวนเล่น Free Fire
ถ้าน้องเต็มใจก็มา มา มา มา

น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าให้อ้ายมาไล่ความเหงาไปให้น้องจั๊กหน่อย
น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าอ้ายมาควงแขน มาเป็นแฟนน้องคงจะเอ็นจอย

น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าให้อ้ายมาไล่ความเหงาไปให้น้องจั๊กหน่อย
น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าอ้ายมาควงแขน มาเป็นแฟนน้องคงจะเอ็นจอย

โสด นะคะ รับรองว่าโสด ไปเช็กได้หมด
ทั้งเฟซ ไอจี และไลน์ แอด แอด แอด แอด แอด
อยาก มีคนมาเอาใจใส่ เก็บห้อง ทอดไข่
ถ้าอ้ายเต็มใจก็มา มา มา มา

น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าให้อ้ายมาไล่ความเหงาไปให้น้องจั๊กหน่อย
น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าอ้ายมาควงแขน มาเป็นแฟนน้องคงจะเอ็นจอย

น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าให้อ้ายมาไล่ความเหงาไปให้น้องจั๊กหน่อย
น้องถ่าให้อ้ายมาเฮ็ด น้องถ่าให้อ้ายมาซอย
น้องถ่าอ้ายมาควงแขน มาเป็นแฟนน้องคงจะเอ็นจอย",kratae_rsiam
ยิ่งถูกทิ้ง ยิ่งต้องสวย (Stay Cool!),/music/thailyric/10744,"อยู่ๆ ก็เสียหลัก โดนคนรักกันมาหลอก
ก็มันทั้งช้ำ มันทั้งช็อก น้ำตาก็แตกกระจาย
ก็คนมันช้ำหนัก ต้องหลบไปพักใจ
ก็เฮิร์ตนี่หว่า โดนทิ้งนี่หน่า จะให้ลั้นลาอย่างไร
เป็นอะไรอ่ะ ยิ้มเข้าสิ แคร์ไปทำไมคนไม่รักดีอ่ะ
กลัวอะไรอ่ะ ลุกขึ้นสิ ทำให้เขาเสียดายเซ่ๆ

ยิ่งถูกทิ้งยิ่งต้องสวย ไม่ต้องแคร์อะไร
เพรียวๆ เข้าไว้ เป๊ะรอไว้ก่อน
ยิ่งถูกทิ้งยิ่งต้องเซี๊ยะ ไม่ต้องเพลียอะไร
เอาให้แซ่บเข้าไว้ สวยอย่าไปยอมพักผ่อน

ต้องเอาให้เริ่ดค่ะ ทั้งหน้าและทรงผม
ต้องสวยให้สา สวยให้สมน้ำหน้าที่ทิ้งไป
ก็อย่าไปเสียหลัก ไม่รักก็ไปไป๊
ก็เรื่องของเขา เรื่องของเขา เดี๋ยวเราก็มีใหม่
เป็นอะไรล่ะ ยิ้มเข้าสิ แคร์ไปทำไมคนไม่รักดีอ่ะ
กลัวอะไรอ่ะ ลุกขึ้นสิ ทำให้เขาเสียดายเซ่ๆ

ยิ่งถูกทิ้งยิ่งต้องสวย ไม่ต้องแคร์อะไร
เพรียวๆ เข้าไว้เป๊ะรอไว้ก่อน
ยิ่งถูกทิ้งยิ่งต้องเซี๊ยะ ไม่ต้องเพลียอะไร
เอาให้แซ่บเข้าไว้ สวยอย่าไปยอมพักผ่อน

ยิ่งถูกทิ้งยิ่งต้องสวย ไม่ต้องแคร์อะไร
เพรียวๆ เข้าไว้ เป๊ะรอไว้ก่อน
ยิ่งถูกทิ้งยิ่งต้องเซี๊ยะ ไม่ต้องเพลียอะไร
เอาให้แซ่บเข้าไว้ สวยตื่นยันล้มตัวนอน

ซึมๆ เซาๆ ไม่ได้นะ ให้มันดูโทรมๆ ไม่ได้นะ
ถ้ามีคนดีๆ มาเจอตอนนี้ โอ๊ยตายๆ
มาเต็มมาเต็มเข้าไว้ ให้มันดูดีๆ เข้าไว้
ทำให้คนทิ้งเราอุทานว่าไม่ๆๆ

ยิ่งถูกทิ้งยิ่งต้องสวย ไม่ต้องแคร์อะไร
เพรียวๆ เข้าไว้ เป๊ะรอไว้ก่อน
ยิ่งถูกทิ้งยิ่งต้องเซี๊ยะ ไม่ต้องเพลียอะไร
เอาให้แซ่บเข้าไว้ สวยอย่าไปยอมพักผ่อน

ยิ่งถูกทิ้งยิ่งต้องสวย ไม่ต้องแคร์อะไร
เพรียวๆ เข้าไว้ เป๊ะรอไว้ก่อน
ยิ่งถูกทิ้งยิ่งต้องเซี๊ยะ ไม่ต้องเพลียอะไร
เอาให้แซ่บเข้าไว้ สวยตื่นยันล้มตัวนอน",kratae_rsiam
รอพี่ที่บ้านนอก,/music/thailyric/12288,"บ้านนอกปีนื้ มีงานวัดเหมือนปีก่อน
จิตใจสะท้อน ไม่มีพี่เหมือนปีเก่า
งานวัดคืนนี้ น้องเดินคนเดียวเหงาๆ
คิดถึงเรื่องราวเก่าๆ ตอนเราเที่ยวงานคืนนั้น

อากาศเหน็บหนาว พี่เอาเสื้อนอกคลุมให้
จับมือกุมไว้ น้องอายเขินจนใจสั่น
พี่บอกรักน้อง เราสองจะครองคู่กัน
จะหาเงินทองมาหมั้น จากนั้นพี่ก็หายไป

บ้านนอกวันนี้ ไม่เหมือนบ้านนอกวันนั้น
น้องเดินก้มหน้ามางาน ไม่กล้าสบตากับใคร
เบื่อตอบคำถาม ว่าแฟนไปไหน
หรือพี่ไปมีคนใหม่ ถึงไม่กลับมาบ้านเก่า

มาเที่ยวงานวัด หวังว่าจะมาเจอพี่
แต่ค่ำคืนนี้ น้องมีแต่ความหมองเศร้า
เพื่อนจากเมืองหลวง มาร่วมงานบุญบ้านเรา
บอกที่พี่ไม่เหมือนเก่า เพราะไปรักสาวเมืองกรุง

บ้านนอกวันนี้ ไม่เหมือนบ้านนอกวันนั้น
น้องเดินก้มหน้ามางาน ไม่กล้าสบตากับใคร
เบื่อตอบคำถาม ว่าแฟนไปไหน
หรือพี่ไปมีคนใหม่ ถึงไม่กลับมาบ้านเก่า

มาเที่ยวงานวัด หวังว่าจะมาเจอพี่
แต่ค่ำคืนนี้ น้องมีแต่ความหมองเศร้า
เพื่อนจากเมืองหลวง มาร่วมงานบุญบ้านเรา
บอกที่พี่ไม่เหมือนเก่า เพราะไปรักสาวเมืองกรุง",kratae_rsiam
ลื่น,/music/thailyric/15576,"อยากจะรู้นัก จะยอมรับไหม จับได้คามือ
จะแก้ตัวมายังไง ผิดก็รับซะจะไม่แค้นใจ
แต่นี่ทำไม กลับลื่นตามเคย

หลอกกันมาตลอด ฉันยังอภัย
ทนเก็บเอาไว้ ไม่เคยปริปาก
ยอมตลอด ไม่เคยหลบฉาก
เธอกลับมองฉัน ไม่มีความหมาย

หรือปลาไหล สิงใจ เธอสับเปลี่ยนเร็วนัก
รักหลายคน จนนับไม่ได้
กว่าจะรู้ ว่าเธอลื่นอย่างกับปลาไหล
รักแทบตาย สุดท้ายหลุดมือ

จบก็เพราะรัก เจ็บก็เพราะรัก
หลอกให้งมงาย เกือบต้องตาย ไปเป็นเป็น กว่าจะรู้รส
กว่าจะชัดเจน  สุดท้ายตายเย็นๆ ด้วยน้ำมือเธอ

หลอกกันมาตลอด ฉันยังอภัย
ทนเก็บเอาไว้ ไม่เคยปริปาก
ยอมตลอด ไม่เคยหลบฉาก
เธอกลับมองฉัน ไม่มีความหมาย

หรือปลาไหล สิงใจ เธอสับเปลี่ยนเร็วนัก
รักหลายคน จนนับไม่ได้
กว่าจะรู้ ว่าเธอลื่นอย่างกับปลาไหล
รักแทบตาย สุดท้ายหลุดมือ

หรือปลาไหล สิงใจ เธอสับเปลี่ยนเร็วนัก
รักหลายคน จนนับไม่ได้
กว่าจะรู้ ว่าเธอลื่นอย่างกับปลาไหล
รักแทบตาย สุดท้ายหลุดมือ

หรือปลาไหล สิงใจ เธอสับเปลี่ยนเร็วนัก
รักหลายคน จนนับไม่ได้
กว่าจะรู้ ว่าเธอลื่นอย่างกับปลาไหล
รักแทบตาย สุดท้ายหลุดมือ

หรือปลาไหล สิงใจ เธอสับเปลี่ยนเร็วนัก
รักหลายคน จนนับไม่ได้
กว่าจะรู้ ว่าเธอลื่นอย่างกับปลาไหล
รักแทบตาย สุดท้ายหลุดมือ",kratae_rsiam
