song_name,href,lyric,artist
ก่อนจากกัน,/music/thailyric/5103,"ก่อนจากกันวันนั้น เราสองสัญญาอะไร
จำได้ไหม ได้ไหม ถ้อยคำยืนยันสัญญา
ว่าจะคิดถึงกัน จะคอยเฝ้านับวันเวลา
มันจะเร็ว จะช้า จะคืนกลับมาพบกัน

อยู่ทางโน้น มันหนาว ใส่เสื้อหนาๆ เข้าไว้
อย่าเถลไถล เที่ยวเตร่จนเพลินทุกวัน
ว่างวันไหนก็โทรมาคุยกันบ้างแล้วกัน
ยิ่งถ้าฝันถึงกันก็คงดี

อยู่ทางนี้ ไม่หนาว แต่มันเหงาหัวใจ
เธอจะเป็นเช่นไร ป่านนี้
นึกถึงตอนที่เราร่ำลา แล้วน้ำตาจะไหลทุกที
มาจนวันนี้ ฉันก็ยิ่งใจหาย

จำได้ไหมวันนั้น บอกฉันจะไปไม่นาน
แค่ห่างไกล ห่างกัน หนึ่งวันก็นานแล้วใจ
ห่วงเสมอ ซักวัน ถ้าเธอเจ็บไข้ไม่สบาย
ใครจะมาสนใจ ใครจะดูแล

อยู่ทางนี้ ไม่หนาว แต่มันเหงาหัวใจ
เธอจะเป็นเช่นไร ป่านนี้
นึกถึงตอนที่เราร่ำลา แล้วน้ำตาจะไหลทุกที
มาจนวันนี้ ฉันก็ยิ่งใจหาย

จำได้ไหมวันนั้น บอกฉันจะไปไม่นาน
แค่ห่างไกล ห่างกัน หนึ่งวันก็นานแล้วใจ
ห่วงเสมอ ซักวัน ถ้าเธอเจ็บไข้ไม่สบาย
ใครจะมาสนใจ ใครจะดูแล

อย่าให้ฉันต้องรอต้องคอยอย่างนี้เรื่อยไป
ทรมานหัวใจ ทรมานเหมือนใจ จะขาดรอนๆ",lanna_commins
ขวัญเอย,/music/thailyric/5105,"โอ้เด็กหญิงขวัญ เอาแต่ร้องไห้โฮ
มองดูเพื่อนโชว์ ตุ๊กตาตัวนั้น
เพื่อนก็เห็นใจ เพราะว่าเป็นเพื่อนกัน
มีก็ต้องปัน เล่นด้วยกันไม่เป็นไร

ผ่านไปไม่ช้า เพื่อนก็เป็นสาวงาม
ชายมาเฝ้าตาม มาติดพันคลั่งไคล้
โอ้เจ้าขวัญเอย เจ้าก็ชักจะสนใจ
อยากได้หัวใจ ของเขาเหมือนกัน

จะซื้อเขาก็ไม่ขาย จะขอเขาก็ไม่แบ่ง
คิดจะยื้อจะแย่ง คงไม่ง่ายอย่างนั้น
รักไม่ใช่ของ ที่ต้องแบ่งปัน
ทำใจแล้วกัน ขวัญเอย

เรื่องมันเล็กๆ ก็ไม่ใช่เด็กแล้วไง
อยากก็ร้องไห้ คงไม่ได้อย่างเคย
ไม่ใช่ของเรา ก็อย่าไปฝันเลย
นี่แหละขวัญเอย เรื่องของหัวใจ

ผ่านไปไม่ช้า เพื่อนก็เป็นสาวงาม
ชายมาเฝ้าตาม มาติดพันคลั่งไคล้
โอ้เจ้าขวัญเอย เจ้าก็ชักจะสนใจ
อยากได้หัวใจ ของเขาเหมือนกัน

จะซื้อเขาก็ไม่ขาย จะขอเขาก็ไม่แบ่ง
คิดจะยื้อจะแย่ง คงไม่ง่ายอย่างนั้น
รักไม่ใช่ของ ที่ต้องแบ่งปัน
ทำใจแล้วกัน ขวัญเอย

เรื่องมันเล็กๆ ก็ไม่ใช่เด็กแล้วไง
อยากก็ร้องไห้ คงไม่ได้อย่างเคย
ไม่ใช่ของเรา ก็อย่าไปฝันเลย
นี่แหละขวัญเอย เรื่องของหัวใจ

ไม่ใช่ของเรา ก็อย่าไปฝันเลย
นี่แหละขวัญเอย เรื่องของหัวใจ",lanna_commins
จ้องตากับความเหงา,/music/thailyric/5107,"ในค่ำคืนที่เหว่ว้า ฉันนั่งจ้องตากับความเหงา
ชีวิตว่างเปล่าไม่มีใคร
โลกของฉันมันเปลี่ยนสี ตั้งแต่เขาทิ้งฉันไป
และฉันก็เหลือแค่ใจร้าว ๆ

จะคิดถึงคำว่ารัก ที่เลยผ่านไปให้มันคุ้น
ให้ใจที่เคยอุ่น คุ้นความหนาว
จะอย่างไรก็ช่างมัน ก็จะคิดถึงวันเก่า
ดูซิน้ำตาจะมีเท่าไหร่...

เมื่อมันเหงาก็ต้องเหงา ยังไงต้องทน
ถนนของความเดียวดายยังอีกไกล
เมื่อมันเหงาก็ต้องเหงา ต้องอยู่ให้ได้
ชีวิตดำเนินต่อไป ขาดเขาแล้วมันจะตาย..ให้รู้ไป

ในค่ำคืนที่เหว่ว้า ฉันนั่งจ้องตากับความเหงา
ยอมรับความเศร้า ไม่ไปไหน
บอกตัวเองตั้งแต่นี้ ไม่มีเขาไม่เป็นไร
จากนี้ต้องทำหัวใจให้ชิน

เมื่อมันเหงาก็ต้องเหงา ยังไงต้องทน
ถนนของความเดียวดายยังอีกไกล
เมื่อมันเหงาก็ต้องเหงา ต้องอยู่ให้ได้
ชีวิตดำเนินต่อไป ขาดเขาแล้วมันจะตาย..ให้รู้ไป

ในค่ำคืนที่เหว่ว้า ฉันนั่งจ้องตากับความเหงา
ยอมรับความเศร้า ไม่ไปไหน
บอกตัวเองตั้งแต่นี้ ไม่มีเขาไม่เป็นไร
จากนี้ต้องทำหัวใจให้ชิน

ชีวิตมันเหงาเพียงใด.. ก็ต้องชิน",lanna_commins
ปล่อยให้ฉันร้องไห้ (Just Let Me Cry),/music/thailyric/5112,"ปล่อยให้ฉันร้องไห้ได้ไหม
ปล่อยให้มันระบายออกมา
อย่าให้ฉันต้องกลั้นอีกเลย น้ำตา
มันล้า มันท้อ ขอที

อย่าให้ฉันต้องตอบได้ไหม
อย่าให้อธิบายตอนนี้
อย่าไปโทษว่าใคร คนไหน ไม่ดี
ไม่มี ไม่มีใคร

ไม่มีใครที่ไม่ดี ไม่มีใครที่ต้องช้ำ
ไม่มีใครเป็นคนทำ ไม่มีใครเห็นใจ

พรุ่งนี้ยังมีดวงตะวัน ดอกไม้ก็ยังจะบาน
และฉันก็เป็นแค่คนไม่มีความหมาย
ถึงจะทำอย่างไร เขาก็ยังจะไป
อย่าไปโทษใคร อย่าเลย

อย่าบอกฉันให้หยุดได้ไหม
ปล่อยให้ฉันร้องไห้สักหน
อย่าไปถามไปทวงอีกเลยเหตุผล
ปล่อยคนทั้งคนจากไป

ไม่มีใครที่ไม่ดี ไม่มีใครที่ต้องช้ำ
ไม่มีใครเป็นคนทำ ไม่มีใครเห็นใจ

พรุ่งนี้ยังมีดวงตะวัน ดอกไม้ก็ยังจะบาน
และฉันก็เป็นแค่คนไม่มีความหมาย
ถึงจะทำอย่างไร เขาก็ยังจะไป
อย่าไปโทษใคร อย่าเลย

พรุ่งนี้ยังมีดวงตะวัน ดอกไม้ก็ยังจะบาน
และฉันก็เป็นแค่คนไม่มีความหมาย
ถึงจะทำอย่างไร เขาก็ยังจะไป
อย่าไปโทษใคร อย่าเลย",lanna_commins
ป้อจาย รวนเร,/music/thailyric/5113,"เกิดเป็นคนบนดอยมีเมฆล่องลอยบนฟ้า
เจอะแต่น้ำกับป่าทุกวัน
บ่ มีแสงมีสีมีแต่ทีวีหนึ่งอัน
ชีวิตมัน บ่ เกยวุ่นวาย
อ้ายเป็นคนเมืองไกลช่างศิวิไลซ์หนักหนา
ฟังกำอู้ กำจา ชื่นใจ
บอกจะปิ๊กมาหา จะพาไปเที่ยวเมืองใต้
น้องก็รอแต่อ้ายเรื่อยมา

สัญญาว่าจะมารับ แต่อ้ายก็ลับไปกับสัญญา
เป็นปี บ่ เกยเห็นหน้า ใครหนอจะพาไปแอ่วทะเล
คนคอยก็ยังคอยหาย คอยอ้ายด้วยใจว้าเหว่
คนไกลหัวใจโลเล คงเหมือนทะเลที่ชอบเรรวน

แต่ก่อนเป็นทางลูกรัง เขาเปลี่ยนเป็นยางมะตอย
คอยก็คอยแต่อ้ายคืนหวน
ลำใยปีนี้ก็ดี ลิ้นจี่ก็มีเต็มสวน
แต่ บ่ มี ป้อจาย รวนเร

สัญญาว่าจะมารับ แต่อ้ายก็ลับไปกับสัญญา
เป็นปี บ่ เกยเห็นหน้า ใครหนอจะพาไปแอ่วทะเล
คนคอยก็ยังคอยหาย คอยอ้ายด้วยใจว้าเหว่
คนไกลหัวใจโลเล คงเหมือนทะเลที่ชอบเรรวน

แต่ก่อนเป็นทางลูกรัง เขาเปลี่ยนเป็นยางมะตอย
คอยก็คอยแต่อ้ายคืนหวน
ลำใยปีนี้ก็ดี ลิ้นจี่ก็มีเต็มสวน
แต่ บ่ มี ป้อจาย รวนเร",lanna_commins
ผู้ชายปากแข็ง,/music/thailyric/5114,"ถามเรื่องทะเลเธอก็รู้ ถามเรื่องภูเขาเธอก็ได้
แต่ถามเรื่อความรัก เธอทำเป็นไก๋เธอไม่ตอบ

ถามเรื่องหนังสือเธอก็ซึ้ง ถามเรื่องกีฬาเธอก็ทราบ
ชอบฉันใช่ไหม เธอไม่ยอมรับ เธอไม่ตอบ

แดดก็ร้อน ลมก็เย็น ใครๆ ก็รู้อยู่ แล้วยังมาทำร่ำไร
เกิดเป็นนกก็ต้องบิน แม่น้ำก็ไหลไป แต่ผู้ชายปากแข็ง

เธอรู้เรื่องถนนเกือบทุกสาย รู้เรื่องต้นไม้ เกือบทุกต้น
เธอรู้ว่าเรื่องอะไร ทำเป็นไม่สน เธอไม่ตอบ

แดดก็ร้อน ลมก็เย็น ใครๆ ก็รู้อยู่ แล้วยังมาทำร่ำไร
เกิดเป็นนกก็ต้องบิน แม่น้ำก็ไหลไป แต่ผู้ชายปากแข็ง

แดดก็ร้อน ลมก็เย็น ใครๆ ก็รู้อยู่ แล้วยังมาทำร่ำไร
เธอก็รู้ว่าที่จริง ผู้หญิงเขาขี้อาย แต่ผู้ชายปากแข็ง...
แต่ผู้ชายปากแข็ง",lanna_commins
เมื่อไหร่อ้ายจะเข้าใจ,/music/thailyric/5117,"อ้ายไออ้ายนอนเป็นไข้มาตลอดอาทิตย์
เขาคิดจะหาหยูกยาให้บ้างไหม
คนไม่สบายก็เห็นกันอยู่ เขากลับไม่ดูไม่แลอะไร
เป็นแฟนแบบไหน ขอพูดแทงใจดำ

ยิ่งตอนที่อ้ายกลุ้มใจมีปัญหา
เคยไหมที่เขาใส่ใจจะไถ่ถาม
จะเป็นวันนี้หรือว่าเมื่อไหร่
เขาห่วงบ้างไหมขอถามสักคำ
อ้ายเองก็รู้ หรือแกล้งไม่รู้อะไร

เรื่องส่วนตัวก็เข้าใจ ก็พอรู้ว่าฉันไม่ควรวุ่นวาย
แต่ทำไมต้องรักคนแบบนี้

เมื่อไหร่จะรู้สักที เมื่อไหร่อ้ายจะตาสว่าง
ต้องอีกกี่ครั้ง ต้องอีกกี่ครั้ง อะไรนักหนา
เมื่อไหร่จะรู้ซักที รักคนที่เขารักเราดีกว่า
เมื่อไหร่จะรู้ เมื่อไหร่จะเห็นค่า... คนที่รักอ้ายจริง

เขาถามบ้างไหมอยากกินอะไร จะอยู่จะใดเมื่อร้อนเมื่อหนาว
อ้ายน่ะรักเขา แล้วเขามีใจบ้างไหม

เรื่องส่วนตัวก็เข้าใจ ก็พอรู้ว่าฉันไม่ควรวุ่นวาย
แต่ทำไมต้องรักคนแบบนี้

เมื่อไหร่จะรู้สักที เมื่อไหร่อ้ายจะตาสว่าง
ต้องอีกกี่ครั้ง ต้องอีกกี่ครั้ง อะไรนักหนา
เมื่อไหร่จะรู้ซักที รักคนที่เขารักเราดีกว่า
เมื่อไหร่จะรู้ เมื่อไหร่จะเห็นค่า... คนที่รักอ้ายจริง

เมื่อไหร่จะรู้ เมื่อไหร่จะเข้าใจ ว่าใครรักอ้ายจริง",lanna_commins
เสื้อแห่งความสุข,/music/thailyric/5124,"เกิดเป็นพระราชาอยากได้ก็ได้อย่างใจ
อยากมีแต่สุขไม่ทุกข์ใจแต่หาไม่เจอซักที
ให้โหรช่วยทำนายโหรบอกให้ทำอย่างนี้
ก็ใส่เสื้อของผู้วิเศษที่เค้าไม่มีความทุกข์ใดๆ

ทหารของพระราชาออกตามหาแทบพลิกแผ่นดิน
ไม่พบไม่เจอไม่ได้ยินคนที่ไม่ มีทุกข์ใจ
เสาะหานับแรมปีผู้วิเศษคนนั้นอยู่ไหน
ไม่ว่าจะหญิงจะชายก็ล้วนแต่มีความทุกข์ทุกคน

หาเท่าไรหาไม่เจอเสื้อแห่งความสุขนั้นอยู่ไหน
จะค้นจะหาเท่าไรก็ยังไม่พบไม่เจอสักที
หาเท่าไรหาไม่เจอคนๆ นั้นเค้าอยู่ที่ใด
คนที่ไม่เคยทุกข์ใจไม่มี

ก่อนตะวันจะลับปลายนาที่หน้ากระท่อมหลังหนึ่ง
แว่วเสียงถ้อยคำพร่ำรำพึงขอบคุณชีวิตแสนดี
เมื่อหิวก็แค่มีกินเมื่อหลับก็นอนฝันดี
แค่นี้ก็มีความสุขวันนี้ไม่มีความทุกข์ใดๆ

ทหารของพระราชาเสาะหามาทั้งแผ่นดิน
เพิ่งพบเพิ่งเจอเพิ่งได้ยินคนที่ไม่มีทุกข์ใจ
เหล่าทหารของพระราชาจึงกระแทกประตูเข้าไป
ได้พบเพียงชายยากไร้ไม่มีแม้เสื้อติดกายสักตัว

หาเท่าไรหาไม่เจอเสื้อแห่งความสุขนั้นอยู่ไหน
จะค้นจะหาเท่าไรก็ยังไม่พบไม่เจอสักที
หาเท่าไรหาไม่เจอความสุขนั้นมันอยู่ที่ใด
ลืมว่ามันอยู่ที่ใจตรองให้ดี",lanna_commins
หนุ่มใต้สาวเหนือ,/music/thailyric/5125,"อย่ามาหาว่าคนใต้ขี้จุ๊ ก็อย่างที่รู้คงไม่ใช่ทุกราย
คนดีๆ ก็มีถมไป อย่างอ้ายนี่ไงป้อจายใจงาม

จะดีไม่ดีมันอยู่ที่ใจ จะมาจากไหนมันก็ไม่สำคัญ
ถ้ามาด้วยใจก็ไปด้วยกัน จะขอติดตามด้วยความเต็มใจ

หนุ่มเมืองใต้เป็นผู้ชายพายเรือ สาวเมืองเหนือก็จะนั่งเรือพาย
อู้ บ่ จาง ก็ บ่ เป็นจะใด กลัวอะไรถ้าหัวใจตรงกัน
หนุ่มเมืองใต้ ถ้า บ่ ได้ใจเกลือ สาวเมืองเหนือก็จะเชื่อน้ำคำ
ล่องแม่ปิงลงไปกินข้าวยำ เริงระบำกันให้ม่วนหัวใจ

ยังไงก็รักนะขอบอกซ้ำๆ ยังไงก็ย้ำคำที่เคยยืนยัน
จะเหนือจะใต้ก็ไม่ว่ากัน จะขาวจะดำก็ไม่เป็นไร

อยู่เมืองเหนือ มานมนาน บ่ เคยหันทะเลสักครั้ง
หวังอ้ายพาไปดู สวยจังฮู้ จะใด

ยังไงก็รักนะขอบอกซ้ำๆ ยังไงก็ย้ำคำที่เคยยืนยัน
จะเหนือจะใต้ก็ไม่ว่ากัน จะขาวจะดำก็ไม่เป็นไร

หนุ่มเมืองใต้เป็นผู้ชายพายเรือ สาวเมืองเหนือก็จะนั่งเรือพาย
อู้ บ่ จาง ก็ บ่ เป็นจะใด กลัวอะไรถ้าหัวใจตรงกัน
หนุ่มเมืองใต้ ถ้า บ่ ได้ใจเกลือ สาวเมืองเหนือก็จะเชื่อน้ำคำ
ล่องแม่ปิงลงไปกินข้าวยำ เริงระบำกันให้ม่วนหัวใจ

หนุ่มเมืองใต้เป็นผู้ชายพายเรือ สาวเมืองเหนือก็จะนั่งเรือพาย
อู้ บ่ จาง ก็ บ่ เป็นจะใด กลัวอะไรถ้าหัวใจตรงกัน
หนุ่มเมืองใต้ ถ้า บ่ ได้ใจเกลือ สาวเมืองเหนือก็จะเชื่อน้ำคำ
ล่องแม่ปิงลงไปกินข้าวยำ เริงระบำกันให้ม่วนหัวใจ

แค่ยืนยันให้ข้าเจ้าแน่ใจ หนุ่มเมืองใต้จะไม่ทิ้งกันเอย...",lanna_commins
อย่าลืมฉัน,/music/thailyric/5126,"อย่าลืมฉันนะ ที่เธอเคยบอก
ฉันไม่ลืมหรอกให้ลืมได้ไง
ในช่วงชีวิตที่เคียงข้างกัน
เธอทำเพื่อฉันมากมาย

หลับตาทุกครั้ง เหมือนเธอยังอยู่
เฝ้าคอยมองดูไม่เคยห่างไกล
ตื่นมาทุกเช้า ฉันนึกถึงเธอ
แต่จะได้เจอ เจอกันเมื่อไร

มีบางคนเคยบอกเอาไว้ว่าคนไกลกัน
วันเวลาจะทำให้ลืมกันได้
มันไม่จริงซักคำ เพราะฉันยังจำฝังใจ
เธออยู่ไหน ได้ยินไหม คิดถึงเธอ

อย่าลืมฉันนะ ฉันไม่ลืมหรอก
หัวใจมันบอกได้ยินบ้างไหม
ที่เดิมตรงนี้ ไม่ให้ใครนั่ง
ปล่อยมันให้ว่างรอเธอเรื่อยไป
ปล่อยมันให้ว่าง รอเธอกลับมา",lanna_commins
