song_name,href,lyric,artist
ง่ายเนาะ,/music/thailyric/12648,"ง่ายเนาะ แค่บอกว่าพอคำเดียว
กะป๋าอ้ายไปแบบบ่เหลียว
คือคนบ่เคยฮักกัน
ง่ายเนาะ แค่บล็อกเบอร์
บล็อกไลน์เท่านั้น
พิธีจบกัน ของเจ้า ก็จบลง

ง่ายแท้ บ่เห็นแก่ทางเดินเนิ่นนาน
นอนเบิ่งฟ้านับดาวนำกัน
วาดฝันฮักกันมั่นคง
ง่ายแท้ กับการผลักฮักเฮาแหกโค้ง
บอกลาจบลง
ก็ไปแบบมิดจีหลี่

แต่อ้ายนี่ติ๊ บ่มีวิธีลืมเจ้า
อยู่ไสกะเหงา
คิดฮอดแต่เจ้าอีหลี
บ่ได้เตรียมการจบ
เมื่อโดนเลิกคบ
ตัวสำรองบ่มี
ตัวช่วยคือเหล้าขวดนี้
เบิ่งติ๊ เบิ่งเจ้าเฮ็ดอ้าย

ง่ายเนาะ แค่บอกว่าพอก็ทิ้ง
เกือบสิบปีเพิ่งฮู้ความจริง
ว่าเจ้าบ่เคยมีใจ
ง่ายเนาะ กับการหาผู้มาแทนอ้าย
โพดแท้หัวใจ
สำพอทิ้งอ้ายง่ายคัก

แต่อ้ายนี่ติ๊ บ่มีวิธีลืมเจ้า
อยู่ไสกะเหงา
คิดฮอดแต่เจ้าอีหลี
บ่ได้เตรียมการจบ
เมื่อโดนเลิกคบ
ตัวสำรองบ่มี
ตัวช่วยคือเหล้าขวดนี้
เบิ่งติ๊ เบิ่งเจ้าเฮ็ดอ้าย

ง่ายเนาะ แค่บอกว่าพอก็ทิ้ง
เกือบสิบปีเพิ่งฮู้ความจริง
ว่าเจ้าบ่เคยมีใจ
ง่ายเนาะ กับการหาผู้มาแทนอ้าย
โพดแท้หัวใจ
สำพอทิ้งอ้ายง่ายคัก",lumplearn_wongsakorn
ขอสมัครเป็นแฟนใหม่,/music/thailyric/14700,"ล่ะแฟนเอ๋ยแฟนผู้สาวอ้าย
แอบเอิ้นซื่อในหัวใจ ลืมเขาได้บอกอ้ายแหน่
ล่ะคนอยากมาดูแล ขอสมัครไว้ล่วงหน้า
เวลานี้ได่บ่น้อ โอ้ โอย
ล่ะสาวเอ้ยสาวรับอ้ายไว้บ่น้อ
เป็นแฟนใหม่ที่ใจเดียว
เปิดไฟเขี้ยวยามได๋
พี่สิไป เอ่อเออ เอย เด้อยามนั่น

อ้ายขอสมัครมาเป็นคนรักษาใจ
มาขอเป็นแฟนใหม่ วันเธอเลิกกับแฟนเก่า
จะรอวันนั้น รอวันที่เธอลืมเขา
มาเริ่มต้นใหม่ใช้คำว่าเรา
ลบรอยรักเศร้าดูแลหัวใจ

อ้ายขอสมัครไว้เป็นคนรักของเธอ
ยืนยันแน่นหนักว่าฮักเด้อ ทุกข้อเสนอรับได้รอได้
เพียงเธอเท่านั้นที่ใจยืนยันว่ารักมากมาย
อดีตเก่าๆ บ่ขอก้าวก่าย พร้อมแล้วใจอ้ายขอมาดูแล

เห็นเธอแพ้น้ำตารินไหลหัวใจเจ้าหมองหม่น
เห็นเธอแพ้น้ำตารินไหลหัวใจเจ้าหมองหม่น
คงเจ็บปวดร้นในคราวครั้งผ่านมา
ฮู้อยู่หล่าอ้ายฮู้ว่าเธอเจ็บ คงจดจำจื่อในใจเจ้า
เซาฮักเขาวันได๋ทำได้ อย่าลืมเด้อบอกพี่
มีชายผู้นี้ยังรอท่าฮักเธอ

เสนอหัวใจสี่ห้องวางไว้
สมัครแล้วเป็นแฟนใหม่ ในวันที่ใจเธอพร้อม
จะรอวันนั้น รอนานแค่ไหนก็ยอม
อยากอยู่กับเจ้าเว้ากันอ้อมๆ
วันใจเธอพร้อมรับอ้ายเป็นแฟน

แคร์เขาได้ อย่าแคร์ดนหลายเด้ออดีตเก่าๆ
แคร์เขาได้ อย่าแคร์ดนหลายเด้ออดีตเก่าๆ
คนคอยฮักเจ้ายังมีอ้ายอีกหนึ่งคน
บ่มีเหตุผลดอกเด้อหัวใจมันฮักเจ้า
ก็คือฮักคือเก่าบ่มีเบื้องหน้าหรือว่าเบื้องหลัง
เกิดจากหัวใจที่รักมากมายจริงจัง
อยากไปดูแลเทคแคร์ทุกอย่าง
อยากอยู่ข้างๆ ลบรอยเรื่องเขา

ในคำว่าเรารอเจ้าจะพร้อมวันไหน
บ่ฮู้จะรับหรือไม่ เจ้าของหัวใจเป็นได้หรือเปล่า
อยากมาดูแลยามเจ้าอ่อนแอเจ็บมาจากเขา
อยากนั่งข้างๆ วางมือเบาๆ
ปลอบใจคนเหงาเจ้ายังมีอ้าย

ความหมายคือเธอคนนั้น
ความหมายคือเธอคนนั้น
ในฝันของอ้ายฮู้บ่ ดนปานได๋อ้ายกะบ่ท้อ
รอได้บ่เปลี่ยนแปลง
เป็นตำแหน่งหนึ่งเดียวฝันใฝ่
เป็นตำแหน่งหนึ่งเดียวฝันใฝ่
ขอสมัครเป็นแฟนใหม่ ในใจน้อง",lumplearn_wongsakorn
ขี้ค้านเจ็บ,/music/thailyric/15619,"จุดจบของคนหลายใจ
สุดท้ายคือบ่เหลือไผ
เข้าใจ อยู่แม่นบ่
อย่าคิดว่าเจ้าของคัก
สิตั๋วให้หลายคนหลงมัก
เก็บแต้มใจสะสมคนฮักไว้หลายคน

ภูมิใจหลายซั่นบ่ ที่มาล่อให้คนฮักได้
พอเขาฮักก็ถิ่มให้เสียใจ
คั่นบ่แม่นนิสัยคือสิเป็นสันดาน
อยากบอกเจ้าด้วยความหวังดี
ว่าอ้ายคนนี้สิบ่เป็นทางผ่าน
บ่อยากเป็นคนโง่ดักดาน
ใช้ของร่วมไผ

อยากเป็นคนข้างกาย
บ่ได้อยากเป็นควายข้างเธอ
อยากให้เข้าใจกันแหน่เด้อน้องหล่าคนงาม
เซาตั๋วกันเถาะคนดี หัวใจอ้ายนี้บ่อยากทรมาน
คั่นบ่ฮักกะให้ซ่อยสงสาร แหน่เด้อนาง
ย้อนอ้าย ขี้คร้านเจ็บ

จุดจบของคนหลายใจ
สุดท้ายคือบ่เหลือไผ
เข้าใจ อยู่แม่นบ่
อย่าคิดว่าเจ้าของคัก
สิตั๋วให้หลายคนหลงมัก
เก็บแต้มใจสะสมคนฮักไว้หลายคน

ภูมิใจหลายซั่นบ่ ที่มาล่อให้คนฮักได้
พอเขาฮักก็ถิ่มให้เสียใจ
คั่นบ่แม่นนิสัยคือสิเป็นสันดาน
อยากบอกเจ้าด้วยความหวังดี
ว่าอ้ายคนนี้สิบ่เป็นทางผ่าน
บ่อยากเป็นคนโง่ดักดาน
ใช้ของร่วมไผ

อยากเป็นคนข้างกาย
บ่ได้อยากเป็นควายข้างเธอ
อยากให้เข้าใจกันแหน่เด้อน้องหล่าคนงาม
เซาตั๋วกันเถาะคนดี หัวใจอ้ายนี้บ่อยากทรมาน
คั่นบ่ฮักกะให้ซ่อยสงสาร แหน่เด้อนาง

อยากเป็นคนข้างกาย
บ่ได้อยากเป็นควายข้างเธอ
อยากให้เข้าใจกันแหน่เด้อน้องหล่าคนงาม
เซาตั๋วกันเถาะคนดี หัวใจอ้ายนี้บ่อยากทรมาน
คั่นบ่ฮักกะให้ซ่อยสงสาร แหน่เด้อนาง
ย้อนอ้าย ขี้คร้านเจ็บ",lumplearn_wongsakorn
เข้าพรรษาปีนี้บ่มีเจ้า,/music/thailyric/16695,"สติ๊กเกอร์โอเคคืนนั้น
ที่เจ้าส่งไลน์มายืนยัน
ก่อนสิไปเวียนเทียนนำกัน
กะยังอยู่คือเก่า

รูปที่เฮาเซลฟี่คืนนั้น
ที่เฮ็ดหน้าคือจั่งเขินกัน
อ้ายยังเปิดเบิ่งดู๋วาสั่น
คือเจ้านั้นบ่ได้จากไป

ทุกเรื่องราว มื้อนี้ของปีกลาย
อ้ายยังจำได้ เบิดซุอย่าง

แต่เข้าพรรษาปีนี้ อ้ายบ่มีคนเคยฮู้ใจ
อ้ายบ่มีคนอ้ายฮักหลาย อยู่ข้างๆ
เข้าพรรษาปีนี้ อ้ายเหมือนเทียนที่ขาดแสงไฟ
บ่ฮู้สิต่อสิตั้งเทียนคู่ไผ เพราะบ่มีเจ้าอยู่ข้างๆ

กอดได้หอมได้แค่ความทรงจำ
ที่อ้ายเก็บไว้บ่เคยจาง
แม้เรื่องเฮาทุกอย่าง ปีนี้
อ้ายเฮ็ดได้แค่เพียงคิดฮอด

ทุกเรื่องราว มื้อนี้ของปีกลาย
อ้ายยังจำได้ เบิดซุอย่าง

แต่เข้าพรรษาปีนี้ อ้ายบ่มีคนเคยฮู้ใจ
อ้ายบ่มีคนอ้ายฮักหลาย อยู่ข้างๆ
เข้าพรรษาปีนี้ อ้ายเหมือนเทียนที่ขาดแสงไฟ
บ่ฮู้สิต่อสิตั้งเทียนคู่ไผ เพราะบ่มีเจ้าอยู่ข้างๆ

กอดได้หอมได้แค่ความทรงจำ
ที่อ้ายเก็บไว้บ่เคยจาง
แม้เรื่องเฮาทุกอย่าง ปีนี้
อ้ายเฮ็ดได้แค่เพียงคิดฮอด

แม้เรื่องเฮาทุกอย่าง ปีนี้
อ้ายเฮ็ดได้แค่เพียง คิดฮอด",lumplearn_wongsakorn
คนนอก,/music/thailyric/15500,"หันไปมองทางไหน ก็มีแต่น้ำตา
ตื่นขึ้นมา ก็มีแต่คำว่าเสียใจ
หันไปมองอะไร
ก็มีแต่ความทรงจำที่มีแต่เขา

เห็นเธอยังเฝ้ารอ ให้เขาคืนย้อนมา
เหมือนแววตาที่มีแต่ความว่างเปล่า
จากคนนอกคนนี้ หยุดเถอะนะคนดี
กลับมารักตัวเอง

อยากเป็นคนช่วยแชร์
ความช้ำความเสียใจ
ต่อให้เธอจะไม่แคร์ตัวฉัน ไม่เป็นไร
ขอให้เธอนั้นหายดี
ได้พบและเจอคนที่ดีกว่านั้น

อยากเป็นคนช่วยแชร์
ความทุกข์ความหมองเศร้า
อยากให้มันบรรเทาจากเธอไปสักที
รอยยิ้มของเธอที่มี
มีค่ากว่าการ ต้องเสียใจ

เห็นเธอยังเฝ้ารอ ให้เขาคืนย้อนมา
เหมือนแววตาที่มีแต่ความว่างเปล่า
จากคนนอกคนนี้ หยุดเถอะนะคนดี
กลับมารักตัวเอง

อยากเป็นคนช่วยแชร์
ความช้ำความเสียใจ
ต่อให้เธอจะไม่แคร์ตัวฉัน ไม่เป็นไร
ขอให้เธอนั้นหายดี
ได้พบและเจอคนที่ดีกว่านั้น

อยากเป็นคนช่วยแชร์
ความทุกข์ความหมองเศร้า
อยากให้มันบรรเทาจากเธอไปสักที
รอยยิ้มของเธอที่มี
มีค่ากว่าการ ต้องเสียใจ

รอยยิ้มของเธอที่มี
มีค่ากว่าการ ต้องเสียใจ

มีค่ากว่าการ ต้องเสียใจ",lumplearn_wongsakorn
คบซ้อนซ่อนคม,/music/thailyric/22531,"ขอมือคนโสดแน
ขอมือคนแพ้ในคืนนี้
หากว่าเชื่อคำหมู่ตะกี้
เฮาสิบ่ต้องนอนปวดใจ

ขอบคุณหลายๆ เด้อเสี่ยว
ที่พาเฮาเที่ยวกอดคอฮ้องไห้
คืนนี้สิลืมเขาให้ได้
เจ็บบ่พอตายเฮาสิลืมให้ได้เด้อเสี่ยว

ขอบคุณเพื่อนเราที่พาเมาเพื่อลืมเธอ
หยุดพร่ำเพ้อถึงคนที่ไม่จริงใจ
คบซ้อนซ่อนคมสุดท้ายต้องโดนเธอทิ้งไป
หมดโปรหัวใจแล้วไง สุดท้ายช้ำคือเรา

เมาแต่เช้าฮอดค่ำ มันก็ยังลืมเขาบ่ได้
นี่บ่เขาว่าฮักหลาย เจ็บสิตายนำคน
มื้อนี้มั่วหน้าฮ้าน เมาเพื่อลืมเธอจนว่าหลงส่น
ขอมือคนที่โดนทิ้งมา โฮ๊ะ โอ ละ น้อ

ขอมือคนโสดแน ขอมือคนแพ้ในคืนนี้
หากว่าเชื่อคำหมู่ตะกี้ เฮาสิบ่อต้องนอนปวดใจ
ขอบคุณหลายๆ เด้อเสี่ยว ที่พาเฮาเที่ยวกอดคอฮ้องไห้
คืนนี้สิลืมเขาให้ได้ เจ็บบ่พอตาย สิโสดตายเพิ่นว่าคนซา

ถ้ามีคนปวดใจ ก็คงเป็นอ้ายคนนี้
อ้ายมันบ่มีหยังดี ถูกแล้วที่ทิ้งไป
คบซ้อนซ่อนคม จนหลงคารมนางมารร้าย
ดีแล้วที่ยังไม่ตาย เกือบจะไม่มีเงา

เมาแต่เช้าฮอดค่ำ มันก็ยังลืมเขาบ่ได้
นี่บ่เขาว่าฮักหลาย เจ็บสิตายนำคน
มื้อนี้มั่วหน้าฮ้าน เมาเพื่อลืมเธอจนว่าหลงส่น
ขอมือคนที่โดนทิ้งมา โฮ๊ะ โอ ละ น้อ

ขอมือคนโสดแน ขอมือคนแพ้ในคืนนี้
หากว่าเชื่อคำหมู่ตะกี้ เฮาสิบ่ต้องนอนปวดใจ
ขอบคุณหลายๆ เด้อเสี่ยว ที่พาเฮาเที่ยวกอดคอฮ้องไห้
คืนนี้สิลืมเขาให้ได้ เจ็บบ่พอตาย

ขอมือคนโสดแน ขอมือคนแพ้ในคืนนี้
หากว่าเชื่อคำหมู่ตะกี้ เฮาสิบ่อต้องนอนปวดใจ
ขอบคุณหลายๆ เด้อเสี่ยว ที่พาเฮาเที่ยวกอดคอฮ้องไห้
คืนนี้สิลืมเขาให้ได้ เจ็บบ่พอตาย สิโสดตายเพิ่นว่าคนซา

ขอมือคนโสดแน

คนโสด อยู่ไส ขอมือแนเร็ว
คนโสด คนโสด ขอเสียงดังๆ แนเร็ว",lumplearn_wongsakorn
ใครรัก รักใคร,/music/thailyric/22708,"ไผฮักฮักไผ ไผจีบจีบไผ เธอกะซางเว่าไป บ่มีดอก
ไผฮักฮักไผ ไผแอบมีใจ เธอฮู้มาแต่ไส บ่มีดอก

ที่กดหัวใจ ที่กดห่วงใย
บ่ค่อยกดไลค์เหมือนใครเขา แค่บ่อยากคือเขาเท่านั้นเอง
ที่มักโทรหา ที่มักบอกว่า
ฝันดีนะทุกคืนก่อนนอน แค่เห็นเธอยังออนเท่านั้นเอง

หรือว่าเธอ คิดไปไกล กลัวเสียฟอร์มเลยกล่าวหา
ฉันรักเธอแล้วล่ะ โอ้ยฉันเซ็ง

ไผฮักฮักไผ ไผจีบจีบไผ เธอกะซางเว่าไป บ่มีดอก
ไผฮักฮักไผ ไผแอบมีใจ เธอฮู้มาแต่ไส บ่มีดอก

ใครรักรักใคร ใครแอบมีใจ เธอรู้มาจากไหน ไม่มีหรอก (บ่มีดอก
ใครรักรักใคร ใครห่วงหวงใคร เป็นหมอดูหรือไง
ถึงรู้ว่าฉันรักเธอ (ไผบอกว่าฉันฮักเธอ)

ที่เธอถามว่าฉันชอบเธอ เอ๊ะ) หรือเธอนั้นชอบฉันก่อน
บอกว่ารักมาเลย จะไม่เสียความรู้สึกเเน่นอน
ชอบมาเลยก็บอก ไม่ต้องคิดมากหรอก
ถ้าเปนเเฟนกันฉันจะอวดใน Tktok

เธอมองอย่างเนี้ย หรืออยากมีปัญหา
น่ารักอย่างเนี้ยทำอะไรก็ได้หรา
เอาจริงๆ เธอก็เเค่นางฟ้า
ก็เเค่นางฟ้า ก็เเค่นางฟ้า Yeah

หรือว่าเธอ นั้นคิดไปไกล กลัวเสียฟอร์มเลยกล่าวหา
ว่าเฮาฮักเธอแล้วล่ะ โอ๊ยมันเซ็ง

ไผฮักฮักไผ ไผจีบจีบไผ เธอกะซางเว่าไป บ่มีดอก
ไผฮักฮักไผ ไผแอบมีใจ เธอฮู้มาแต่ไส บ่มีดอก

ใครรักรักใคร ใครแอบมีใจ เธอรู้มาจากไหน ไม่มีหรอก
ใครรักรักใคร ใครห่วงหวงใคร เป็นหมอดูหรือไง
ถึงรู้ว่าฉันรักเธอ (ถึงฮู้ว่าฉันฮักเธอ)",lumplearn_wongsakorn
ชุดล้างใจ,/music/thailyric/22068,"ข่อยอยู่ผู้เดียวบ่ได้
หัวใจสิขาดลงปั๊ดๆ
ข่อยถืกผู้สาวเขาอัปเปอร์คัท
ใส่ปลายคางความฮัก

เขาไปออดหลอดฮอดสวรรค์
ถิ่มกันแบบง่ายบักคัก
คั้นใจข่อยมุ่นพอปานส้มผัก
โอ๊ย บ่จักคำสิเว่า

ออกมาคืนนี้มาหาหม่องส้วนหัวใจ
มาหาแนวปัวหัวใจพอให้ลืมผู้สาวเก่า
อ้ายครับ อ้ายครับ ข่อยอยากลืมผู้สาว
ออกจากหัวใจ

ขอชุดล้างใจจะยี่ห้อไหนก็ให้จัดมา
กับแกล้มอะไรก็ให้จัดมา
หากอ้ายคิดว่าพอซ่อยข่อยได้
ขอชุดล้างใจที่จัดไปแล้วลบลืมความช้ำ
ที่จัดไปแล้วลบคนใจดำ
คนที่มาเหยียบมาย่ำหัวใจ

จัดให้ข่อยแน่พอหายใจได้ต่อ
จัดให้ได้บ่อยากเซาน้ำตาไหล
อยากเมี้ยนหัวใจบ่ให้ยังเขา
อีที่มันถิ่มข่อยไป

อันนารีห่างกันสามวันเปลี่ยนผัน
ใจเขากะเป็นอื่น
อันโมรากากีคบไปก็มีแต่ทำให้ขมขื่น
อันวันทองสองใจฮักหลายส่ำใด๋
สุดท้ายกะสะอื้น โอ๊ย

อันนารีห่างกันสามวันเปลี่ยนผัน
ใจเขากะเป็นอื่น
อันโมรากากีคบไปก็มีแต่ทำให้ขมขื่น
อันวันทองสองใจฮักหลายส่ำได๋
สุดท้ายกะสะอื้น
แต่ใจกะยัง เสือกบืนไปฮักเขา

ออกมาคืนนี้มาหาหม่องส้วนหัวใจ
มาหาแนวปัวหัวใจพอให้ลืมผู้สาวเก่า
อ้ายครับ อ้ายครับ ข่อยอยากลืมผู้สาว
ออกจากหัวใจ

ขอชุดล้างใจจะยี่ห้อไหนก็ให้จัดมา
กับแกล้มอะไรก็ให้จัดมา
หากอ้ายคิดว่าพอซอยข่อยได้
ขอชุดล้างใจที่จัดไปแล้วลบลืมความช้ำ
ที่จัดไปแล้วลบคนใจดำ
คนที่มาเหยียบมาย่ำหัวใจ

จัดให้ข่อยแน่พอหายใจได้ต่อ
จัดให้ได้บ่อยากเซาน้ำตาไหล
อยากเมี้ยนหัวใจบ่ให้ยังเขา
อีที่มันถิ่มข่อยไป

อยากกราบหัวใจ บ่ให้ยังเขา
อีที่มันถิ่มข่อยไป",lumplearn_wongsakorn
ตัวจริงข้างใจ,/music/thailyric/14608,"เห็นอยู่เด้อ สายตาของเธอเวลาบังเอิญ.ได้เจอเขา
ในคำเว้าเขาดูเฉยชาแต่ว่าเป็นเธอที่หวั่นไหว
ยังฮำฮอนเขาอยู่ ฮู้และพอเข้าใจ
ว่าย้อนฮักหลายกะเลยเจ็บหลายสิลืมได้คงอีกนาน

พอแต่เฮาคบกัน ที่ต้องการก็คือหัวใจ
ถ่าแต่ว่ามื้อใด๋ เจ้าสิให้ใจกัน

แต่กะบ่ได้ว่า ขั่นว่าใจเจ้า ยังลืมเขาบ่ทันได้
บ่อยากสิบืนและฝืนใจเจ้าหลายให้ต้องมาฮักกัน
แต่สิขอแค่ว่า ให้จำเอาไว้ ว่าข้างใจในทุกวัน
ยังมีฉัน เป็นตัวจริงของเธอ

ฮู้บ่น้อ หัวใจคนรอลางเทือกะท้อ จนอยากถอย
แต่กะคอย ว่าจั้กมื้อหนึ่งเจ้าคงนึกถึง ว่ามีไผ
อยากเป็นฮักดีๆ ปัวใจแป้วให้หาย
แต่ดนแล้วได๋ บ่หลูโตนใจ คนคอยจักหน่อยแนบ้อ

พอแต่เฮาคบกัน ที่ต้องการก็คือหัวใจ
ถ่าแต่ว่ามื้อใด๋ เจ้าสิให้ใจกัน

แต่กะบ่ได้ว่า ขั่นว่าใจเจ้า ยังลืมเขาบ่ทันได้
บ่อยากสิบืนและฝืนใจเจ้าหลาย ให้ต้องมาฮักกัน
แต่สิขอแค่ว่า ให้จำเอาไว้ ว่าข้างใจในทุกวัน
ยังมีฉัน เป็นตัวจริงของเธอ

กะยังหวัง และยังถ่า
ให้เวลาสิซอยรักษาใจเจ้าให้หายดี
แต่คนคอย ใจแฮงน้อย น้อยลงทุกที
สิบ่ฮู้แนบ้อ เจ้าสิบ่ฮู้แนบ้อ

แต่กะบ่ได้ว่า ขั่นว่าใจเจ้า ยังลืมเขาบ่ทันได้
บ่อยากสิบืนและฝืนใจเจ้าหลาย ให้ต้องมาฮักกัน
แต่สิขอแค่ว่า ให้จำเอาไว้ ว่าข้างใจในทุกวัน
ยังมีฉัน เป็นตัวจริงของเธอ

ยังมีฉัน เป็นตัวจริงของเธอ",lumplearn_wongsakorn
นักเลงบ่ย่าน,/music/thailyric/16583,"ณ เวลานี้ที่หน้าฮ้านหมอลำ
สถานการณ์มันเป็นสีดำๆ
วัยรุ่นเจ้าถิ่นเพิ่นนั้นย่างมาตำ
แล้วบอกกับเฮาว่าขิวเฮาคักแน

สิเฮ็ดจั่งได๋ ล่ะเฮากะอยู่ดี๊ดี
เต้นอยู่หม่องนี้ล่ะบ่ได้กวนตรีนไผ
หมอลำพาม่วน เฮากะม่วนกันไป
บ่ได้ผิดไผหม่องได๋เด้อครับ

บ่แม่นเจ้าถิ่น กะให้เช็คอินนำแน
พ้อดีกรีแน กะอย่าสิโพดคักหลาย
หวงอยู่ง่าวๆ เจ้ากะส่างมาเป็นฮ้าย
ปาน สิเต้นผู้เดียวคักแน

นักเลงบ่ย่านเด้อ ข่อยย่านแต่ตรวจเยี่ยว
คันมาคนเดียวมันเสียวสันหลัง
ไปเป็นกลุ่มอบอุ่นใจจัง
ฟังเด้อสูฟังระวังหลังให้แน

นักเลงบ่ย่านเด้อ ข่อยย่านแต่ถืกเป่า
ย่านเพิ่นว่าเมา ย่านว่าบ่เที่ยง
จะเป็นจั่งได๋โลกมันสีเอียงๆ
เป็นซงบ่เที่ยง จักหน่อยเด้อครับ

นักเลงบ่ย่านเด้อ ข่อยย่านแต่หมาหมู่
ซ่อยเบิ่งแนสู กูนี้แฮงเสียว
หมอลำบ้านได๋ เฮากะพากันเที่ยว
ถ้าเผลอแว๊บเดียวได้เป็นผู้กองเอาะเยาะ
อยู่หน้าฮ้านหมอลำ

เห็นผู้สาวจั่งเเม่นห้าวบักคัก
ลูกไผสูละส่างมาโพดคักเเท้
กะเเบ่งกันเเหน่ละพื้นที่หม่องเต้น
สูกะเว้นให้คนผู้อื่นม่วนนำ
คั่นเมาเเล้วกะพากัน ไปเมือนอน
คั่นเเม่นสูอยากถอนกะให้ฟ้าวนั่งลง
บักใด๋นักเลงจับมันเเก้ส้งออก
พากันสับหมากกอก เอาเเมงง๊อดต๊อดมัน

หมอลำมันม่วนกะด้อ หมอลำมันม่วนกะด้อ
อ้ายอยากขอให้น้องคิดใหม่ ไปเอาไก่ละมาตีกันโลด
มาม่วนนำกัน ฟังลำเด้อ.

บ่แม่นเจ้าถิ่น กะให้เช็คอินนำแน
พ้อดีกรีแน กะอย่าสิโพดคักหลาย
หวงอยู่ง่าวๆ เจ้ากะส่างมาเป็นฮ้าย
ปาน สิเต้นผู้เดียวคักแน

นักเลงบ่ย่านเด้อ ข่อยย่านแต่ตรวจเยี่ยว
คันมาคนเดียวมันเสียวสันหลัง
ไปเป็นกลุ่มอบอุ่นใจจัง
ฟังเด้อสูฟังระวังหลังให้แน

นักเลงบ่ย่านเด้อ ข่อยย่านแต่ถืกเป่า
ย่านเพิ่นว่าเมา ย่านว่าบ่เที่ยง
จะเป็นจั่งได๋โลกมันสีเอียงๆ
เป็นซงบ่เที่ยง จักหน่อยเด้อครับ

นักเลงบ่ย่านเด้อ ข่อยย่านแต่หมาหมู่
ซ่อยเบิ่งแนสู กูนี้แฮงเสียว
หมอลำบ้านได๋ เฮากะพากันเที่ยว
ถ้าเผลอแว๊บเดียวได้เป็นผู้กองเอาะเยาะ

นักเลงบ่ย่านเด้อ ข่อยย่านแต่ตรวจเยี่ยว
คันมาคนเดียวมันเสียวสันหลัง
ไปเป็นกลุ่มอบอุ่นใจจัง
ฟังเด้อสูฟังระวังหลังให้แน

นักเลงบ่ย่านเด้อ ข่อยย่านแต่ถืกเป่า
ย่านเพิ่นว่าเมา ย่านว่าบ่เที่ยง
จะเป็นจั่งได๋โลกมันสีเอียงๆ
เป็นซงบ่เที่ยง จักหน่อยเด้อครับ

นักเลงบ่ย่านเด้อ ข่อยย่านแต่หมาหมู่
ซ่อยเบิ่งแนสู กูนี้แฮงเสียว
หมอลำบ้านได๋ เฮากะพากันเที่ยว
ถ้าเผลอแว๊บเดียวได้เป็นผู้กองเอาะเยาะ
อยู่หน้าฮ้านหมอลำ",lumplearn_wongsakorn
