song_name,href,lyric,artist
ขยับเข้ามาใกล้ๆ,/music/thailyric/15355,"ตั้งแต่แรกพบสบตากับเธอ
ทำไมเธอน่ารักจัง
เหมือนเราเคยคบกันมาตั้งนาน
เคยรักกันมาตั้งนาน ฉันรู้สึกอย่างนั้น

เมื่อก่อนฉันไม่มีใคร
ฉันก็ไม่เห็นเป็นอะไร
พอเจอเธอเท่านั้นเอง
หัวใจที่มันเคยนักเลง
ก็อ่อนระทวยทันที

มันเป็นไปได้ไหม
เธอและฉัน ให้เราสองคนได้คุยกัน
เป็นไปได้หรือเปล่า
หากว่าเธอยังไม่มีคนข้างกาย
ได้โปรดขยับเข้ามาใกล้ๆ
ให้หัวใจ ของฉันได้อยู่ใกล้เธอ

ตั้งแต่แรกพบสบตากับเธอ
ใจมันบอกว่าใช่เลย
โอกาสดีๆ แบบนี้
ปล่อยผ่านไปมันคงไม่ดี
ไม่รู้จะเจอกันอีกทีเมื่อไร

มันเป็นไปได้ไหม
เธอและฉัน ให้เราสองคนได้คุยกัน
เป็นไปได้หรือเปล่า
หากว่าเธอยังไม่มีคนข้างกาย
ได้โปรดขยับเข้ามาใกล้ๆ
ให้หัวใจ ของฉันได้อยู่ใกล้เธอ

ให้หัวใจ ของฉันได้อยู่ใกล้เธอ",mahahing
เขาไม่เคยรักเราเลย,/music/thailyric/17798,"วันเวลาจะหมุนฤดูเปลี่ยนแปลงไปสักเท่าไร
แต่ฉัน ยังอยู่ที่เดิม
ก็พอรู้ว่าเขาไม่เคยจะรักเราเลย
โธ่เอ๋ย ใจเจ้ากรรม

เราทำดีแทบตาย
แต่ว่าสุดท้าย เธอไม่เลือกเรา
ไม่มีเลยสักนิด แต่คงคิดไปไกล
มันคงเป็นเพราะเขาไม่เคยจะรักเราเลย
ไม่เคยเลยสักนิด แต่เราคงคิดไปเอง
และยังคิดถึงอยู่ร่ำไป

วันเวลาจะหมุนฤดูเปลี่ยนแปลงไปสักเท่าไร
มีบางคำอยากย้ำกับเธอ
หากว่าฉันยังมีไม่มากพอ
โปรดอย่าท้อขอให้รอหน่อย
สุดท้าย เธอก็หายไป

เราทำดีแทบตาย
แต่ว่าสุดท้าย เธอไม่เลือกเรา
ไม่มีเลยสักนิด แต่เราคงคิดไปไกล
มันคงเป็นเพราะเขาไม่เคยจะรักเราเลย
ไม่เคยเลยสักนิด แต่เราคงคิดไปเอง

เราทำดีแทบตาย
แต่ว่าสุดท้าย เธอไม่เลือกเรา
ไม่มีเลยสักนิด แต่เราคงคิดไปไกล
มันคงเป็นเพราะเขาไม่เคยจะรักเราเลย
ไม่เคยเลยสักนิด แต่เราคงคิดไปเอง
และยังคิดถึงเธอเรื่อยมา",mahahing
นักศึกษา,/music/thailyric/23412,"ต้องรีบตื่นตั้งแต่ตอนเช้า
เพื่อจะไปเข้ามหาลัย
อาบน้ำแต่งตัวแต่งกาย
เสื้อเข้าในตั้งใจเล่าเรียน

ดั่งนกน้อยจากกรงบ้านป่า
เจ้าบินหลงมาสู่เมืองศิวิไลซ์
ไม่ได้มีแผนการอะไร
มีตัวกับใจมุ่งมั่นเกินร้อย

เข้ามาศึกษาเล่าเรียน
อ่านเขียนเรียนรู้มันทุกวิชา
หวังเพียงจะได้ใบปริญญา
ไปทำงานที่ข้านั้นพอใจ

พอค่ำลงมีสี่สิบดีกรี
พร้อมกับเพื่อนดีๆ คืนนี้ต้องยาวไป
เราชน นายชน เรายก นายยก ให้ตามสบาย
เรื่องมหาลัยมีหนักใจอยู่เรื่องเดียว

อาจารย์ครับ ผมนอนไม่หลับ
กระส่ายกระสับ หลับลงไม่ไหว
ตั้งแต่เข้ามาในรั้วมหาลัย
ยังไม่มีหวานใจเลยสักคน

ดั่งนกน้อยจากกรงบ้านป่า
เจ้าบินหลงมาสู่เมืองศิวิไลซ์
ไม่ได้มีแผนการอะไร
มีตัวกับใจมุ่งมั่นเกินร้อย

เข้ามาศึกษาเล่าเรียน
อ่านเขียนเรียนรู้มันทุกวิชา
หวังเพียงจะได้ใบปริญญา
ไปทำงานที่ข้านั้นพอใจ

พอค่ำลงมีสี่สิบดีกรี
พร้อมกับเพื่อนดีๆ คืนนี้ต้องยาวไป
เราชน นายชน เรายก นายยก ให้ตามสบาย
เรื่องมหาลัยมีหนักใจอยู่เรื่องเดียว

อาจารย์ครับ ผมนอนไม่หลับ
กระส่ายกระสับ หลับลงไม่ไหว
ตั้งแต่เข้ามาในรั้วมหาลัย
ยังไม่มีหวานใจเลยสักคน

อาจารย์ครับ ผมนอนไม่หลับ
กระส่ายกระสับ หลับลงไม่ไหว
ตั้งแต่เข้ามาในรั้วมหาลัย
ยังไม่มีหวานใจเลยสักคน",mahahing
บอกว่านอนแล้วออนได้ไง,/music/thailyric/17559,"เธอก็พอจะรู้ว่าฉันรอเธอ แต่เธอไม่เคยสนใจ
เธอก็รู้ว่าฉันทักไป แต่เธอไม่เคยจะตอบ

ก็เธอคือคนที่ฉันเฝ้ามองมาตลอด
ส่ง Message ไปทัก จะบอกว่ารักก็อายเต็มที
ขอเถอะคนดีโปรดอย่าเพิ่งรำคาญ
แค่อยากจะคุยกับเธอนานๆ
แต่เธอก็บอกจะนอนแล้ว

เธอบอกว่า เธอจะนอนเธอจะนอนเธอจะนอน
และเธอน่ะออนได้ยังไง ทำไมทำไมไม่สนใจแชทฉันบ้าง
ปล่อยเอาไว้ข้ามวัน ทำไมเป็นคนแบบนี้

เธอบอกว่า เธอจะนอนเธอจะนอนเธอจะนอน
และเธอน่ะออนได้ยังไง ทำไมทำไมไม่สนใจแชทฉันบ้าง
ปล่อยเอาไว้ข้ามวัน ฉันรอเธอตอบกลับมานะ

เธอบอกฉันว่าจะนอนแต่เธอก็ออน จิให้คิดยังไง
ฉันน่ะอยากคุยกับแก คิดถึงแน่ๆ ที่ฉันส่งแชทไป
แต่ถ้าว่าแกไม่ว่างก็ให้บอกกันบ้างจิไม่ได้หรือไง
อยากบอกว่าฉันเสียใจ ส่งแชททักไป เธอไม่ตอบมา

สมองก็คิดไปไกล รู้ทั้งรู้เป็นไปไม่ได้ แต่ใจก็ยังดื้อดัน

ก็เธอคือคนที่ฉันเฝ้ามองมาตลอด
ส่ง Message ไปทัก จะบอกว่ารักก็อายเต็มที
ขอเถอะคนดีโปรดอย่าเพิ่งรำคาญ
แค่อยากจะคุยกับเธอนานๆ
แต่เธอก็บอกจะนอนแล้ว

เธอบอกว่า เธอจะนอนเธอจะนอนเธอจะนอน
และเธอน่ะออนได้ยังไง ทำไมทำไมไม่สนใจแชทฉันบ้าง
ปล่อยเอาไว้ข้ามวัน ทำไมเป็นคนแบบนี้

เธอบอกว่า เธอจะนอนเธอจะนอนเธอจะนอน
และเธอน่ะออนได้ยังไง ทำไมทำไมไม่สนใจแชทผมบ้าง
ปล่อยเอาไว้ข้ามวัน ฉันรอเธอตอบกลับมานะ",mahahing
ปล่อยผ่าน,/music/thailyric/13510,"เส้นทางเธอนั้นต้องเจอกับปัญหา
เรื่องเลวร้ายเข้ามา ใจมันล้าเหลือเกิน
ยังไม่จบเรื่องนี้ ก็ต้องมาเคลียร์เรื่องนั้น
นี่มันอะไรกันทำไมมันช่างวุ่นวาย
ทั้งเรื่องเรียน เรื่องงาน เรื่องหัวใจ
ไม่มีใครเข้าใจเลยสักคน

ต้องตื่นนอนตอนเช้ารีบทำงาน
ข้าวสักหนึ่งจานก็ยังไม่ได้กิน
และเสียงของผู้คนที่ฉันได้ยิน
ก็มีแต่ติฉินนินทากัน

ก็แค่ปัญหา ที่ผ่านเข้ามา
ใจมันล้าก็แค่เท่านั้น
ฉันยังมีลมหายใจ
และมีพรุ่งนี้ให้เริ่มต้นใหม่
ชีวิตเธอยังไม่ตาย
ปล่อยผ่านมันไปเรื่องที่วุ่นวาย

ชีวิตจะมีพรุ่งนี้ให้เราได้เริ่มต้นใหม่
ความทุกข์ที่มันเข้ามาเดี๋ยวมันก็ผ่านไป
เปิดใจรับมากับทุกปัญหาที่วุ่นวาย
แต่ก็ยังไม่พ้น คำคนนินทา

ก็แค่ปัญหา ที่ผ่านเข้ามา
ใจมันล้าก็แค่เท่านั้น
ฉันยังมีลมหายใจ
และมีพรุ่งนี้ให้เริ่มต้นใหม่
ชีวิตเธอยังไม่ตาย
ปล่อยผ่านมันไปเรื่องที่วุ่นวาย

เธอยังมีลมหายใจ
และมีพรุ่งนี้ให้เริ่มต้นใหม่",mahahing
ปี้ (จน) ป่น,/music/thailyric/15983,"แค่เธอเดินเข้ามา
ก็ทำให้ใจของฉันละลาย
มันละลาย ละลาย
อยากจะกลืนกินเธอทั้งตัว
เธอไม่ได้มากับใครใช่ไหม
หรือว่ายังไงเธอชอบอะไร
บอกฉันและฉันจะหาให้เธอ

ฉันไม่ได้รวยเหมือนใคร
มันไม่ได้มีเหมือนใครหรอก
แค่อยากจะบอกว่า
คนอย่างฉันน่ะมันน่ะมีแต่รักจริง
จะไม่มีวันมาทอดมาทิ้ง
ให้เธอต้องไปนั่งเสียใจ

ถึงหน้าตาไม่ดีแต่ฉันก็มีหัวใจ
หัวใจของฉันให้เธอไปจนหมด
ในชีวิตตอนนี้มีเพียงแค่เธอเท่านั้น
โปรดอย่าทิ้งขว้างกัน ทำให้หัวใจฉันปี้ป่น

ได้มาเจอกับเธอในวันที่ฉันไม่เหลืออะไร
เธอจะรับได้ไหมในวันที่ฉัน ไม่มีไรเหลือ
เศรษฐกิจไม่ดีบ้านพี่นั้นอยู่ลำบาก
ข้าวยากหมากแพง เงินทองไม่พอใช้
เธอมองกันที่ภายนอก หรือมองกันที่ภายใน
โปรดมองกันที่ใจมองให้ถึงข้างใน

ถึงหน้าตาไม่ดีแต่ฉันก็มีหัวใจ
หัวใจของฉันให้เธอไปจนหมด
ในชีวิตตอนนี้มีเพียงแค่เธอเท่านั้น
โปรดอย่าทิ้งขว้างกัน ทำให้หัวใจฉันปี้ป่น

แค่ฉันเดินเข้ามาก็พอจะรู้
ว่าเธอน่ะมองเธอน่ะมอง เธอมอง
มองฉันจ้องฉันตาเป็นมัน
ฉันไม่ได้มากับใครทั้งนั้น
ฉันมาคนเดียวฉันมาเอามัน
แค่อยากจะดื่มให้ลืมคนที่ทิ้งไป

ก็ไม่ได้รวยเหมือนใคร
ก็ไม่ได้มีเหมือนใครหรอก
แต่อยากจะบอกว่าคนอย่างฉันน่ะ
มันก็มีแต่รักจริงและไม่มีวันจะทอดจะทิ้ง
ให้ใครต้องไปนั่งเสียใจ

ถึงหน้าตาไม่ดีแต่ฉันก็มีหัวใจ
หัวใจของฉันให้เธอไปจนหมด
ในชีวิตตอนนี้มีเพียงแค่เธอเท่านั้น
โปรดอย่าทิ้งขว้างกัน ทำให้หัวใจฉันปี้ป่น

ได้มาเจอกับเธอในวันที่ฉันไม่เหลืออะไร
เธอจะรับได้ไหมในวันที่ฉัน ไม่มีไรเหลือ
เศรษฐกิจไม่ดีบ้านพี่นั้นอยู่ลำบาก
ข้าวยากหมากแพง เงินทองไม่พอใช้
เธอมองกันที่ภายนอก หรือมองกันที่ภายใน
โปรดมองกันที่ใจมองให้ถึงข้างใน

ถึงหน้าตาไม่ดีแต่ฉันก็มีหัวใจ
หัวใจของฉันให้เธอไปจนหมด
ในชีวิตตอนนี้มีเพียงแค่เธอเท่านั้น
โปรดอย่าทิ้งขว้างกัน ทำให้หัวใจฉันปี้ป่น

ถึงหน้าตาไม่ดีแต่ฉันก็มีหัวใจ
หัวใจของฉันให้เธอไปจนหมด
ในชีวิตตอนนี้มีเพียงแค่เธอเท่านั้น
โปรดอย่าทิ้งขว้างกัน ทำให้หัวใจฉันปี้ป่น",mahahing
ปึ๋งปั๋ง,/music/thailyric/17921,"เกิดมารุ่นเดียวกันกับแม่เธอ
อายุจะเยอะไปหน่อย
แต่ก็ยังคึกคัก ปึ๋งปั๋ง ไม่ต้องหลับไม่ต้องนอน

ถึงหน้าตาจะมีริ้วรอย รอยร้าว
แต่หัวใจพี่ยังสิบแปดสิบเก้า
ลุกขึ้นมาออกกำลังกายทุกเช้า
ร่างกายแข็งแรงพร้อมดูแลเธอ

ได้มาเจอะคนงามทรามวัย ใจเลย Alert ไปหน่อย
กระชุ่มกระชวยขึ้นมาทันที ที่ได้พบสบตา

ถึงไม่หล่อแต่ประสบการณ์พี่เยอะ
ทุกห้องหัวใจจะยกให้เธอเลยเด้อะ
และจะบอกรักเธอ ทุกคืนก่อนนอน

มาลองคบกันดูไหม มาลองรักกันดูก่อน
เก็บไปพิจารณาหากความรักมันเข้าตา ให้มองมาที่พี่น้า
พี่น่ะรักจริงแน่นอน จะไม่ไปลวง จะไม่ไปหลอกให้เธอเสียใจ
ถ้าหากเธอ ไม่มีใคร เก็บไปพิจารณา

เกิดมารุ่นเดียวกันกับแม่เธอ
อายุจะเยอะไปหน่อย
แต่ก็ยังคึกคัก ปึ๋งปั๋ง ไม่ต้องหลับไม่ต้องนอน

ถึงหน้าตาจะมีริ้วรอย รอยร้าว
แต่หัวใจพี่ยังสิบแปดสิบเก้า
ลุกขึ้นมาออกกำลังกายทุกเช้า
ร่างกายแข็งแรงพร้อมดูแลเธอ

ได้มาเจอะคนงามทรามวัย ใจมัน Alert ไปหน่อย
กระชุ่มกระชวยขึ้นมาทันที ที่ได้พบสบตา

ถึงไม่หล่อแต่ประสบการณ์พี่เยอะ
ทุกห้องหัวใจจะยกให้เธอเลยเด้อะ
และจะบอกรักเธอ ทุกคืนก่อนนอน

มาลองคบกันดูไหม มาลองรักกันดูก่อน
เก็บไปพิจารณาหากความรักมันเข้าตา ให้มองมาที่พี่น้า
พี่น่ะรักจริงแน่นอน จะไม่ไปลวง จะไม่ไปหลอกให้เธอเสียใจ
ถ้าหากเธอ ไม่มีใคร เก็บไปพิจารณา",mahahing
พ่อเป็นชาวนา,/music/thailyric/14077,"ตื่นแต่เช้าล้างหน้าแปรงฟัน
ต้องขยันออกไป ไปเล่าเรียน
ต้องฝึกอ่านฝึกเขียนเรียนรู้โลกให้กว้างไกล

ก็พ่อฉันเป็นชาวนา การศึกษาแกก็ไม่เท่าไร
ฉันเรียนจบมา เผื่อได้งานทำที่โตกว่า
โดดเดี่ยวเดียวดายในเมืองใหญ่
ไขว่คว้าหางานจนวุ่นวาย
สังคมแข่งขันจนฉันแทบบ้าตาย

แต่สุดท้าย ความจริงของชีวิต
ต่อสู้ดิ้นรนกันไป ก็เท่านั้น

พ่อฉันเป็นชาวนา แกทำนาเป็นอาชีพ
แกปลูกข้าวเลี้ยงครอบครัวทำให้ฉันเติบโต
พ่อฉันเป็นชาวนา แกทำนามาหลายปี
ไม่มีหนี้สิน ไม่อดตาย ไม่ต้องอายใคร

อาชีพชาวนา ไม่ใช่อาชีพที่ดีที่สุด
แต่ทุกอาชีพต้องกินข้าวที่ชาวนาปลูก

หนุ่มน้อยบ้านนาในเมืองใหญ่
ไขว่คว้าหางาน จนวุ่นวาย
สังคมแข่งขัน แต่ฉันไม่อยากจะแข่งใคร

ก็สุดท้าย ความจริงของชีวิต
ต่อสู้ดิ้นรนกันไป ก็เท่านั้น

พ่อฉันเป็นชาวนา แกทำนาเป็นอาชีพ
แกปลูกข้าวเลี้ยงครอบครัวทำให้ฉันเติบโต
พ่อฉันเป็นชาวนา แกทำนามาหลายปี
ไม่มีหนี้สิน ไม่อดตาย ไม่ต้องอายใคร

ฉันก็เลยทำนา ถึงการศึกษาจะมีน้อย
แต่น้ำยังมีปลา นายังมีข้าว ใจฉันยังมีเธอ",mahahing
แพ้ความขาว,/music/thailyric/12221,"เนื่้อร้อง/ทำนอง วันสว่าง บาลโพธิ์
เรียบเรียง สุเทพ หะขุนทด

ตั้งแต่เธอได้เดินเข้ามา ทำให้ฉันได้รู้เลยว่า
โลกมันสดใสขึ้นมาทันที ที่ได้เจอเธอคนนี้
หลงรักเธอทันที ที่ได้มองตาเธอ
โนว โว โอ

ผมมันแพ้ความขาว ที่ตัวเธอมี
และผมก็รู้ดี ว่าเธอนะมีเจ้าของ
แต่ว่าผมแพ้ความขาว ต้องมองทันที
บอกแฟนเธอตรงนี้
ขอโทษครับพี่ ผมแพ้ความขาว

ตั้งแต่เธอได้เดินเข้ามา ทำให้ฉันได้รู้เลยว่า
โลกมันสดใสขึ้นมาทันที ที่ได้เจอเธอคนนี้
ฉันหลงรักเธอทันที ที่ได้มองตาเธอ
โนว โว โอ

ผมมันแพ้ความขาว ที่ตัวเธอมี
และผมก็รู้ดี ว่าเธอนะมีเจ้าของ
แต่ว่าผมแพ้ความขาว ต้องมองทันที
บอกแฟนเธอตรงนี้

ผมมันแพ้ความขาว ที่ตัวเธอมี
และผมก็รู้ดี ว่าเธอนะมีเจ้าของ
แต่ว่าผมแพ้ความขาว ต้องมองทันที
บอกแฟนเธอตรงนี้

ขอโทษครับพี่ ผมแพ้ความขาว",mahahing
ภาวนา,/music/thailyric/11678,"ยังค้นหาทุกคำตอบ
มองดูรอบกาย
ยังคงเหลืออยู่อีกไหม
ใครสักคนที่รักจริง

โลกยังคงหมุนเวียนไป
แหละใจฉันยังคงไม่มีใคร
มีความรักดีๆ อยู่ที่ไหน ยังไม่รู้

ยังคงภาวนาให้พบกับความรัก
มันยากนักจะเจอรักแท้จริง
ที่ผ่านมาก็มีแต่โดนทิ้ง
แหละฉันต้องทำยังไง

มันคือเรื่องบังเอิญที่ทุกคนต้องเจอ
หรือไม่มีแล้วเธอคนที่รักฉัน

จะต้องเจ็บปวดกับรักลวงๆ อีกสักเท่าไร
หัวใจจะจดจำ ต้องดีแค่ไหน
เขาถึงเรียกกันว่าดีพอ
แต่ว่าฉันก็ยังรอใครสักคน

โลกยังคงหมุนเวียนไป
ความเลวร้ายยังคงแวะเวียนเข้ามา
หนึ่งชีวิตคนเราต้องเจอปัญหา
มากแค่ไหน

ยังคงภาวนาให้พบกับความรัก
มันยากนักจะเจอรักแท้จริง
ที่ผ่านมาก็มีแต่โดนทิ้ง
แหละฉันต้องทำยังไง

มันคือเรื่องบังเอิญที่ทุกคนต้องเจอ
หรือไม่มีแล้วเธอคนที่รักฉัน

จะต้องเจ็บปวดกับรักลวงๆ อีกสักเท่าไร
หัวใจจะจดจำ ต้องดีแค่ไหน
เขาถึงเรียกกันว่าดีพอ
แต่ว่าฉันก็ยังรอใครสักคน

จะต้องเจ็บปวดกับรักลวงๆ อีกสักเท่าไร
หัวใจจะจดจำ ต้องดีแค่ไหน
เขาถึงเรียกกันว่าดีพอ
แต่ว่าฉันก็ยังรอใครสักคน",mahahing
