song_name,href,lyric,artist
ข่าวลือหรือเรื่องจริง,/music/thailyric/8266,"ฉันได้ยินเรื่องเธอ
คนเขาก็พูดกันไป
แต่บังเอิญไม่เคยสนใจ
เพราะฉันเชื่อในความรักเธอ

วันนี้เริ่มไม่แน่ใจ
และก็เริ่มกระวนกระวาย
อยากรู้ความจริงมันเป็นยังไง
ช่วยบอกทีได้ไหม

ฉันไม่รู้ว่าเธอไปทำอะไรมา
หรือว่า เธอนอกใจ
อย่างที่คนเขาพูดกันมากมาย
ช่วยบอกความจริงได้ไหมเธอ

จะกลัวอะไรถ้ามันไม่ใช่เรื่องจริง
ฉันถามเธอทำไมเงียบไป
บอกมาเลยฉันรอฟังอยู่
ไม่ต้องกลัวว่าฉันจะเสียใจ

ฉันรู้เกินเข้าใจ
ว่าข่าวร้ายคนชอบฟัง
อยากรู้เรื่องราวที่เรารักกัน
ว่ามันจะจบลงตรงไหน

หากรักเราดีไม่พอ
จะทนฝืนกันเพื่ออะไร
บอกตรงๆ อย่ามาเสียดาย
สุดท้ายถ้าเราต้องจบกัน

ฉันไม่รู้ว่าเธอไปทำอะไรมา
หรือว่า เธอนอกใจ
อย่างที่คนเขาพูดกันมากมาย
ช่วยบอกความจริงได้ไหมเธอ

จะกลัวอะไรถ้ามันไม่ใช่เรื่องจริง
ฉันถามเธอทำไมเงียบไป
บอกมาเลยฉันรอฟังอยู่
ไม่ต้องกลัวว่าฉัน

อย่าได้กลัว อย่าได้แคร์
ว่าฉันจะรับไม่ไหว
คนอย่างฉันพร้อมจะเข้าใจ
ถ้าบอกความจริงกับฉัน

เจ็บไม่กลัว และไม่แปลกใจ
ชีวิตมันก็แค่นั้น
ถ้ามันไม่จริง ก็แค่เม้าท์กัน
ฉันขอฟังจากปากเธอ

ก็ฉันไม่รู้ว่าเธอไปทำอะไรมา
หรือว่า เธอนอกใจ
อย่างที่คนเขาพูดกันมากมาย
ช่วยบอกความจริงได้ไหมเธอ

จะกลัวอะไรถ้ามันไม่ใช่เรื่องจริง
ฉันถามเธอทำไมเงียบไป
บอกมาเลยฉันรอฟังอยู่
ไม่ต้องกลัวว่าฉันจะเสียใจ

(ฉันไม่รู้ว่าเธอไปทำอะไรมา
หรือว่า เธอนอกใจ
อย่างที่คนเขาพูดกันมากมาย
ช่วยบอกความจริงได้ไหมเธอ)

จะกลัวอะไรถ้ามันไม่ใช่เรื่องจริง
ฉันถามเธอทำไมเงียบไป
บอกมาเลยฉันรอฟังอยู่
ไม่ต้องกลัวว่าฉันจะเสียใจ",marsha
ฉันเลือกเอง,/music/thailyric/8980,"กับวันมืดหม่น ฉันเลือกที่จะไม่จำ
จะจำแค่เพียง คืนวันสวยงามเอาไว้

สิ่งไหนที่บาดใจ เก็บไว้เพื่ออะไร
อะไรรกใจ จะเก็บไปทิ้ง ทิ้ง ทิ้งให้พ้น

ก็อยากจะขอเลือกเองนะ ใจเลือกเองนะ
เลือกจำวันที่ดี หยิบเอามุมมองที่สดใส
มองแล้วสุขใจ เลือกมองแต่มุมนี้

และจะไม่จำนะวันไหน คนไหน สิ่งใด
ที่จะกวนใจให้เหนื่อยฟรี มันเป็นใจฉันเอง
จะให้ทุกข์หรือสุข ฉันเลือกเอง

ดอกไม้แห้งเหี่ยว ฉันเลือกจะเก็บทิ้งไป
เก็บในหัวใจ แค่ดอกที่ดีเอาไว้

ถ้ารู้ว่าอะไร จะรบกวนจิตใจ
จะโยนทิ้งไป ไม่อยากเก็บไว้
no no no no

ก็อยากจะขอเลือกเองนะ ใจเลือกเองนะ
เลือกจำวันที่ดี หยิบเอามุมมองที่สดใส
มองแล้วสุขใจ เลือกมองแต่มุมนี้

และจะไม่จำนะวันไหน คนไหน สิ่งใด
ที่จะกวนใจให้เหนื่อยฟรี มันเป็นใจฉันเอง
จะให้ทุกข์หรือสุข ฉันเลือกเอง

และจะไม่จำนะวันไหน คนไหน สิ่งใด
ที่จะกวนใจให้เหนื่อยฟรี มันเป็นใจฉันเอง
จะให้ทุกข์หรือสุข ฉันเลือกเอง",marsha
แฉ,/music/thailyric/4716,"เบื้องหลังผู้ชายอย่างเธอ คนที่ใครก็มองว่าดี
แค่ฉันคนเดียวคนนี้ ที่มันรู้ความจริง
ยิ่งคบเธอนานเท่าไร ยิ่งได้รู้ว่าใจของเธอมันไม่จริง
ลวงโลกไปวันๆ

และฉันใช้มันหมดไปแล้ว ความอดทน
ฉันขอไปก่อน ไม่เหลือความเป็นคน
ทนให้เธอทำร้ายมานาน ไม่บอกใครไม่คิดประจาน
แต่วันนี้ มันทนไม่ไหว

ใครอยากได้เขาเอาไปเลย ใจเขาไม่เคยอยู่เฉย
ถ้าเจอใคร ก็พร้อมเขี่ยเราเหมือนกัน
วันแรกที่เขาเข้ามาดี จะแฉให้รู้วันนี้
ว่าเขาเข้ามาหลอกกัน ฉันมันหลงเป็นเหยื่อ
ใครที่ยังไม่เชื่อ ลองเองละกัน

จบแล้วผู้ชายอย่างเธอ เราหมดเวรสิ้นกรรมสักที
เธอสอนให้รู้วันนี้ ว่านรกมีจริง
ไม่รู้ว่านานเท่าไร จะได้เจอสักคนให้ใจได้พักพิง
ที่ไม่เป็นอย่างเธอ

และฉันใช้มันหมดไปแล้ว ความอดทน
และฉันขอไปก่อน ไม่เหลือความเป็นคน
ทนให้เธอทำร้ายมานาน ไม่บอกใครไม่คิดประจาน
แต่วันนี้ มันทนไม่ไหว

ใครอยากได้เขาเอาไปเลย ใจเขาไม่เคยอยู่เฉย
ถ้าเจอใคร ก็พร้อมเขี่ยเราเหมือนกัน
วันแรกที่เขาเข้ามาดี จะแฉให้รู้วันนี้
ก็แค่ไอ้พวกหลอกฟัน ฉันมันหลงเป็นเหยื่อ
ใครที่ยังไม่เชื่อ ลองเองละกัน

เพราะฉันใช้มันหมดไปแล้ว ความอดทน",marsha
แอ๊ป สตอรี (App Story),/music/thailyric/8810,"ทำตัวอ่อนแอทำให้เขาแคร์เราหน่อย
ให้ดูว่าเขาเป็น Gentleman ที่คอยปกป้องนิดนึง
ใครหน้าตาดีผ่านมาก็ทำมองหน่อย
อยากให้แสดงความเป็นเจ้าของ
โอบเอวกันแน่นนิดนึง

ช้าลงหน่อยให้เขาเดินนำเราไป
นิดนึงให้เขาดูมีอะไร
ให้มองว่าเราถ้าไม่มีเขาแย่แน่เลย

ให้เขาปลื้มใจที่เขามาคอยดูแล
ชื่นชมที่เขาเป็นคนมาแคร์
ขี้แยเวลาจะให้เขาปลอบ

เป็นผู้หญิงก็ต้องเป็นผู้นำ
นำเอาแต่เรื่องให้ผู้ชายช่วยทำ
เป็นผู้หญิงก็ต้องเป็นผู้ตาม
ตามแต่ปัญหา ให้ผู้ชายช่วยดูแล

ให้เขาคอยเทคแคร์
อยู่กับเขาต้องทำอ่อนแอ
จะได้มีเรื่องให้เขาไปเล่าให้เพื่อนฟัง

ถ้าเราเก่งไปพวกเขาก็คงไม่ห่วง
คงไม่ใส่ใจคงไม่หวง ถ้าเป็นแบบนี้ไม่เอา
ยอมเป็นคนแพ้เพื่อให้เขาดูแลเรา
ถ้าเป็นแบบนี้ก็คงไม่เหงา ก็คงเจอเขาทุกวัน

ช้าลงหน่อยให้เขาเดินนำเราไป
นิดนึงให้เขาดูมีอะไร
ให้มองว่าเราถ้าไม่มีเขาแย่แน่เลย

ให้เขาปลื้มใจที่เขามาคอยดูแล
ชื่นชมที่เขาเป็นคนมาแคร์
ขี้แยเวลาจะให้เขาปลอบ

เป็นผู้หญิงก็ต้องเป็นผู้นำ
นำเอาแต่เรื่องให้ผู้ชายช่วยทำ
เป็นผู้หญิงก็ต้องเป็นผู้ตาม
ตามแต่ปัญหา ให้ผู้ชายช่วยดูแล

ให้เขาคอยเทคแคร์
อยู่กับเขาต้องทำอ่อนแอ
จะได้มีเรื่องให้เขาไปเล่าให้เพื่อนฟัง

ช้าลงหน่อยให้เขาเดินนำเราไป
นิดนึงให้เขาดูมีอะไร
ให้มองว่าเราถ้าไม่มีเขาแย่แน่เลย

ให้เขาปลื้มใจที่เขามาคอยดูแล
ชื่นชมที่เขาเป็นคนมาแคร์
ขี้แยเวลาจะให้เขาปลอบ

เป็นผู้หญิงก็ต้องเป็นผู้นำ
นำเอาแต่เรื่องให้ผู้ชายช่วยทำ
เป็นผู้หญิงก็ต้องเป็นผู้ตาม
ตามแต่ปัญหา ให้ผู้ชายช่วยดูแล

ให้เขาคอยเทคแคร์
อยู่กับเขาต้องทำอ่อนแอ
จะได้มีเรื่องให้เขาไปเล่าให้เพื่อนฟัง",marsha
จากคนอื่นคนไกล,/music/thailyric/4710,"ความจริงที่เธอต้องฟัง ความจริงที่เธอแกล้งลืมมัน
ถึงฉันยังใจสั่นๆ แต่คงต้องพูดมันไป
เธอมีอีกคนที่ดี เธอมีอีกคนที่จริงจัง
ถึงแม้ไม่อยากรับฟัง จงฟังและควรทำใจ

(ว่า/แต่)ฉันไม่อาจมีใจให้เธอ เป็นแค่คนอื่นคนไกลของเธอ
แค่ผ่านมาเจอ จากนี้เธอควรกลับไป

บอกจริงๆว่าฉันไม่อยากทำตัวไม่ดี และฉันไม่อยากเป็นคนไม่ดี
ทุกอย่างลวงตา อย่าคิดไปเกินกว่านี้ อย่าทำอีกเลย

อารมณ์ที่เราเผลอใจ มันเป็นอะไรแค่ข้ามคืน
ฉันแค่เป็นคนอื่นๆ ที่เธอว่าน่าพอใจ
บางทีถ้าเธอหันไป ทำดีกับเขาให้เพียงพอ
รักแท้ที่เธอเฝ้ารอ มันคงไม่ใช่คนไกล

(ว่า/แต่)ฉันไม่อาจมีใจให้เธอ เป็นแค่คนอื่นคนไกลของเธอ
แค่ผ่านมาเจอ จากนี้เธอควรกลับไป

บอกจริงๆว่าฉันไม่อยากทำตัวไม่ดี และฉันไม่อยากเป็นคนไม่ดี
ทุกอย่างลวงตา อย่าคิดไปเกินกว่านี้ อย่าทำอีกเลย

ชีวิตมันเดินต่อไป เธอรู้ต้องทำเช่นไร
ส่วนฉันก็คงต้องอยู่แบบเดิมอย่างนี้ เข้าใจใช่ไหม

บอกจริงๆว่าฉันไม่อยากทำตัวไม่ดี และฉันไม่อยากเป็นคนไม่ดี
ทุกอย่างลวงตา อย่าคิดไปเกินกว่านี้ อย่าทำอีกเลย",marsha
ฉันไม่รับผิดชอบ,/music/thailyric/4715,"ถามฉันว่าเขาเป็นอะไรเหรอ ก็ถามฉันว่าฉันคิดอะไร
ถามฉันว่าถ้าคบใครสักคน ผู้ชายอย่างคนนี้เป็นยังไงจะดีหรือไม่ดี

คบไว้ฉันก็ว่าดีนะ เป็นคนดีเป็นคนที่เข้าใจ
แต่บางทีบางครั้งเขาก็ทำเหลือเกิน อย่างชนิดที่ตัวฉันแทบทนไม่ไหว

ไม่รู้นะไม่รู้นะ ไม่รับผิดชอบหรอก ไม่รู้นะไม่รู้นะ ก็เสี่ยงเอาแล้วกัน
ฉันไม่รู้นะไม่รู้นะ บางทีก็ไม่เหมือนกัน กับคนที่ฉันเคยได้พบเจอ

ไม่รู้นะไม่รู้นะ ไม่รับผิดชอบหรอก ไม่รู้นะไม่รู้นะ ก็ลองดูแล้วกัน
ก็ไม่รู้นะไม่รู้นะ เพราะฉันมันก็เคยผ่าน เรื่องราวครั้งนานมันก็แสนนานไม่ได้จำ

ครั้งนั้นฉันไม่ได้เดินหนี แต่บางทีรู้ว่าฉันก็ผิดไป
ฟังๆเอาไว้แล้วก็เตรียมหัวใจ เผื่อผิดหวังเผื่อเอาไว้เผื่อมีปัญหา

ไม่รู้นะไม่รู้นะ ไม่รับผิดชอบหรอก ไม่รู้นะไม่รู้นะ ก็เสี่ยงเอาแล้วกัน
ฉันไม่รู้นะไม่รู้นะ บางทีก็ไม่เหมือนกัน กับคนที่ฉันเคยได้พบเจอ

ไม่รู้นะไม่รู้นะ ไม่รับผิดชอบหรอก ไม่รู้นะไม่รู้นะ ก็ลองดูแล้วกัน
ก็ไม่รู้นะไม่รู้นะ เพราะฉันมันก็เคยผ่าน เรื่องราวครั้งนานมันก็แสนนานไม่ได้จำ

ไม่รู้นะไม่รู้นะ ไม่รับผิดชอบหรอก ไม่รู้นะไม่รู้นะ ก็ลองดูแล้วกัน
ก็ไม่รู้นะไม่รู้นะ เพราะฉันมันก็เคยผ่าน เรื่องราวครั้งนานมันก็แสนนานไม่ได้จำ",marsha
มืออาชีพยังยอม,/music/thailyric/4732,"(เพลงประกอบละคร เจ้าสาวมืออาชีพ)

ฉันนั้นเข้าใจอยู่ รู้ๆหมดทุกอย่าง ฉันว่าฉันจัดการได้ทั้งนั้นเชื่อเหอะ
พอวันนึงเมื่อรักมันอยากเจอ ก็เลยว่าจะเจอมันสักหน่อย

ฉันก็ขอว่ารักกัน ขอให้รักเป็นขั้นตอน รักให้แน่ให้นอนก็ไม่เห็นอะไรเสี่ยง
ใครเตือนกันฉันก็จะเถียง ก็มันจะไปยากสักเท่าไหร่

แต่มืออาชีพอย่างฉันมันก็ยังต้องยอม ก็มันช่างวุ่นวายอะไรนักหนา
รักแล้ววกวนก็มีแต่ปัญหา ไม่มีอะไรที่ชัดเจนสักวัน

ให้มืออาชีพคนไหนเจอก็คงต้องยอม ไม่มีในคู่มืออะไรทั้งนั้น
เกิดจะคาดเดาไม่เคยเหมือนฝัน ได้เจออย่างนั้นแล้วฉันกลัวจริงๆ

ขอเอาไว้เลย ขอไม่รักใคร เขานั้นจะดีขนาดไหนก็เอาเหอะ
พอกันทีอย่ามีรักมาให้เจอ ฉันยอมๆๆหมดทุกอย่าง

ขออย่ามาเกี่ยว ขอไม่ไปเสี่ยง ขอไม่เถียงกับใครไม่มีรักให้มันเหนื่อย
ตัวคนเดียวไม่เอารักมาฟุ่มเฟือย ฉันพอๆแค่เนี้ยดีกว่า

แต่มืออาชีพอย่างฉันมันก็ยังต้องยอม ก็มันช่างวุ่นวายอะไรนักหนา
รักแล้ววกวนก็มีแต่ปัญหา ไม่มีอะไรที่ชัดเจนสักวัน

ให้มืออาชีพคนไหนเจอก็คงต้องยอม ไม่มีในคู่มืออะไรทั้งนั้น
เกิดจะคาดเดาไม่เคยเหมือนฝัน ได้เจออย่างนั้นแล้วฉันกลัวจริงๆ

ให้มืออาชีพคนไหนเจอก็คงต้องยอม ไม่มีในคู่มืออะไรทั้งนั้น
เกิดจะคาดเดาไม่เคยเหมือนฝัน ได้เจออย่างนั้นแล้วฉันกลัวจริงๆ

ขอเอาไว้เลย ขอไม่รักใคร เขานั้นจะดีขนาดไหนก็เอาเหอะ
พอกันทีอย่ามีรักมาให้เจอ ฉันยอมๆๆหมดทุกอย่าง",marsha
ไม่อยากนอนคนเดียว,/music/thailyric/4738,"หลับตานอนบนเตียงมีเสียงหัวใจสะท้อน
อยากให้ใครบางคนมานอนใกล้กันเหมือนคืนวันเก่าๆ
เขาคงไม่มาอีกแล้ว

เปิดเพลงคลอให้พอมีเสียงเป็นเพื่อนแก้เหงา
แต่ว่าเสียงกระซิบของเขาและคำทุกคำยังคงวนเวียน
และยังวุ่นวาย รบกวนหัวใจอยู่ทุกนาที

ค่ำคืนนี้ฉันเหงาเหลือเกินแทบทนไม่ไหว
แต่ใครบางคนจะรู้รึเปล่า
ได้ยินเสียงถามของหัวใจเมื่อไรจะเช้า
ไม่อยากจมลงในความเหงาเพียงลำพัง คนเดียว

ผ่านมานานเพียงใดใจฉันก็ยังไม่ชิน
อยากได้ยินเสียงนั้นอีกครั้งเสียงลมหายใจใครบางคน
ที่เคยเข้ามา ซุกตัวในผ้าห่มผืนเดียวกัน

ค่ำคืนนี้ฉันเหงาเหลือเกินแทบทนไม่ไหว
แต่ใครบางคนจะรู้รึเปล่า
ได้ยินเสียงถามของหัวใจเมื่อไรจะเช้า
ไม่อยากจมลงในความเหงาเพียงลำพัง คนเดียว

ค่ำคืนนี้ฉันถามหัวใจเมื่อไรจะเช้า
จะต้องนอนคนเดียวอย่างนี้นานเท่าไร
เกลียดอารมณ์ตัวเองในคืนที่โหดร้าย ทุกคืน",marsha
อีกคนที่รักเธอ,/music/thailyric/4760,"อาจจะมองว่าเพื่อนเธอ
ที่เคยเจอกันทุกวัน
หลังๆ ชอบทำอะไรแปลกไป
อาจมีแววตาไปให้เธอ
ที่อาจจะทำเธอข้องใจ
คล้ายๆ มันมีอะไรอยู่ในนั้น

อย่ากังวลอย่าสนใจ
กับอะไรที่ฉันเป็น
เหลวไหลไปเองที่ใจหวั่นไหว
แต่หากว่าเธอไม่ว่ากัน
ก็อยากให้เธอได้รู้ใจ
ว่าฉันกำลังตกหลุมรักเธอ

ก็มันเป็นอย่างนี้ แล้วให้ทำไง
จะให้กินยาอะไร แก้ไขไม่ได้หรอก
ก็มันรักเข้าแล้ว แล้วให้ทำไง
ก็ปล่อยให้รักต่อไป ตามใจมันแล้วกัน

ส่วนใจเธอจะให้ใคร
อยู่ที่ใครไม่สำคัญ
เรื่องนั้นไม่ทำให้ใจหวั่นไหว
แค่อยากจะนอนคิดถึงเธอ
ไม่อยากจะเป็นเจ้าของใจ
แค่ขอเป็นใครอีกคน ที่รักเธอ

แค่อยากจะนอนคิดถึงเธอ
ไม่อยากจะเป็นเจ้าของใคร
แค่นี้ก็สุขใจเกินพอ",marsha
เจ้าของฉันคือเธอ,/music/thailyric/4711,"สิ่งหนึ่งที่เธอยังคงไม่รู้ เก็บอยู่ในใจคนเดียวไม่กล้าบอกใคร
ไม่มีเหตุผลใดๆ ที่จะฟังดูแล้วดี
เจ็บปวดที่มีบางคนไว้แล้ว แต่กลับมีใจเกินเลยลึกซึ้งกับเธอครั้งนี้
ไม่ได้อยากรักเธอเลย แต่จะทำตัวเช่นไร

ฉันมันไม่ดีใช่ไหม ห้ามใจตัวเองไม่อยู่
ก็มันรู้ทั้งรู้ว่าฉันไม่ควรรักเธอ ไม่ควรฝัน

ฉันมันไม่ดีใช่ไหม ห้ามใจตัวเองไม่ทัน
จะไปพูดกับใครให้รู้ความจริงอย่างไร
วันนี้ทั้งหมดของหัวใจ เจ้าของนั้นคือเธอ

อยากสั่งตัวเองให้มันไม่รัก แต่เจ็บทีไรเธอทำให้ฉันอดใจไม่ไหว
จะให้บอกได้ยังไง ว่าไม่มีใจให้เธอ

ฉันมันไม่ดีใช่ไหม ห้ามใจตัวเองไม่อยู่
ก็มันรู้ทั้งรู้ว่าฉันไม่ควรรักเธอ ไม่ควรฝัน

ฉันมันไม่ดีใช่ไหม ห้ามใจตัวเองไม่ทัน
จะไปพูดกับใครให้รู้ความจริงอย่างไร
วันนี้ทั้งหมดของหัวใจ เจ้าของนั้นคือเธอ

วันนี้ทั้งหมดของหัวใจ เจ้าของนั้นคือเธอ",marsha
