song_name,href,lyric,artist
ใจฉันจะเป็นของเธอ,/music/thailyric/10818,"ที่ทำเมินเฉยไม่ใช่ไม่หวั่นไหว แต่ทั้งหัวใจมันสั่น
ที่ดูว่าเข้มแข็งไม่ใช่ว่าไม่แคร์
แต่เพราะเนื่องจากตัวฉัน แค่อยากมั่นใจ
ว่าเธอนั้นจะเป็นไฟให้แสงสว่าง
ให้หนทางเดินที่มันอ้างว้าง
จะไม่เดียวดายอีกต่อไป

สิ่งที่เป็นฉัน  จะเป็นอย่างนั้น ไม่มีวันเปลี่ยนมันไป
ถ้ารัก มันก็คือรักไม่มีวันเปลี่ยนหัวใจ
หากว่าเธอเป็นเธอคนนั้น โดยที่ไม่จากไปไหน
เมื่อถึงวันนั้นเมื่อไร ใจฉันจะเป็นของเธอ

ให้วันเวลาค่อยๆ พิสูจน์หัวใจ
ได้ไหมถ้าเธอรักกัน
ก็แค่เธอเป็นเธอให้เหมือนเดิมอย่างนั้น
โปรดรู้ไว้เถอะว่าฉัน แค่อยากมั่นใจ
ว่าเธอนั้นจะเป็นไฟให้แสงสว่าง
ให้หนทางเดินที่มันอ้างว้าง
จะไม่เดียวดายอีกต่อไป

สิ่งที่เป็นฉัน จะเป็นอย่างนั้น ไม่มีวันเปลี่ยนมันไป
ถ้ารัก มันก็คือรัก ไม่มีวันเปลี่ยนหัวใจ
หากว่าเธอเป็นเธอคนนั้น โดยที่ไม่จากไปไหน
เมื่อถึงวันนั้นเมื่อไร ใจฉันจะเป็นของเธอ

สิ่งที่เป็นฉัน จะเป็นอย่างนั้น ไม่มีวันเปลี่ยนมันไป
ถ้ารัก มันก็คือรัก ไม่มีวันเปลี่ยนหัวใจ
หากว่าเธอเป็นเธอคนนั้น โดยที่ไม่จากไปไหน
เมื่อถึงวันนั้นเมื่อไร

หากว่าเธอเป็นเธอคนนั้น โดยที่ไม่จากไปไหน
เมื่อถึงวันนั้นเมื่อไร
ฉันจะเป็นของเธอ",matang_radabdaw
ซ้ำเติม,/music/thailyric/14130,"แบกความเจ็บช้ำมา แบกมาตั้งไกล
เผื่อพอจะมีใครพึ่งพา
เกือบลืมความช้ำใจ เมื่อเธอเข้ามา
เข้ามาคอยเยียวยารักษาใจ

และแล้วทุกอย่าง ก็มาแปรผัน
มันเลยต้องเจ็บและช้ำใหม่
เธอทำรอยเก่าที่คนทำทิ้งไว้
ตอกย้ำมันลงไปที่จุดเดิม

ขอบคุณที่ซ้ำเติม จุดเดิมที่เคยเจ็บ
เจ็บแบบเดิมที่เคยเจอมาก่อน
ขอบคุณที่ซ้ำเติม จุดเดิมให้ยิ่งอ่อน
ช่วยบั่นทอนซ้ำลงไปที่เดิม

ไม่เคยจะคิดเลย ไม่เคยระวัง
ก็เลยไปจริงจังเหมือนก่อน
แปลกดีที่เชื่อเธอ ว่าเธอจะแน่นอน
ว่าเธอคงจะจริงไม่เหมือนใคร

และแล้วทุกอย่าง ก็มาแปรผัน
เธอเองไม่ต่างกันเท่าไร
เธอทำรอยเก่าที่คนทำทิ้งไว้
ตอกย้ำมันลงไปที่จุดเดิม

ขอบคุณที่ซ้ำเติม จุดเดิมที่เคยเจ็บ
เจ็บแบบเดิมที่เคยเจอมาก่อน
ขอบคุณที่ซ้ำเติม จุดเดิมให้ยิ่งอ่อน
ช่วยบั่นทอนซ้ำลงไปที่เดิม
จะเติมความหวัง สักครั้งลงที่ใจ
เพื่อให้ใจดีดังเดิม มาเจอความช้ำ
ที่เธอให้มาเพิ่ม เธอกลับเติมความเจ็บใจ

ขอบคุณที่ซ้ำเติม จุดเดิมที่เคยเจ็บ
เจ็บแบบเดิมที่เคยเจอมาก่อน
ขอบคุณที่ซ้ำเติม จุดเดิมให้ยิ่งอ่อน
ช่วยบั่นทอนซ้ำลงไปที่เดิม

ขอบคุณที่ซ้ำเติม

ขอบคุณที่ซ้ำเติม จุดเดิมให้ยิ่งอ่อน
ช่วยบั่นทอนซ้ำลงไปที่เดิม",matang_radabdaw
ดีต่อใจ,/music/thailyric/12336,"ก็ต้องคอยหลบ ตอนที่เธอหันมาสบตา
และต้องคอยหลีก ตอนที่เธอนั้นเดินเข้ามา
มันยังไม่พร้อม ไม่ยอมไม่เผย
กลัวเธอจะรับไม่ทัน

ก็ต้องคอยมอง ตอนที่เธอยิ้มให้กับคนไหน
ก็ต้องคอยฟัง ตอนที่เธอนั้นคุยกับสาวไหน
ก็มีหวงหวงให้รู้ซะมั่ง ใครเป็นของใคร

ก็กะจะตีเนียนเนียน สนิทเนียนเนียน
ซอฟท์ซอฟท์ ค่อยเป็นค่อยไป
กับรักดีดี ถ้าพลาดไปที เสียหาย

กว่าจะหาเธอเจอ กว่าฉันจะเจอ
จากภาพเบลอเบลอ ก็ชัดชัวร์ชัวร์
จากเรื่องมัวมัว จากนี้มันชัวร์ชัดเจน

กว่าจะหาเธอเจอ กว่าจะได้เจอ
ได้รู้ได้ลอง ได้แอบรัก
จะจบยังไง ไม่รู้เหมือนกัน
แค่รู้ว่าฉัน ได้รักรักเธอ ก็พอ

อยากรู้เหมือนกัน เธอไปอยู่ไหนมาตั้งนานนะ
อย่าให้ฉันรอ ให้เหงาฟรีฟรี
ถ้าใจพร้อม จะขอได้เป็นตัวจริงสักที

ก็กะจะตีเนียนเนียน สนิทเนียนเนียน
ซอฟท์ซอฟท์ ค่อยเป็นค่อยไป
กับรักดีดี ถ้าพลาดไปที เสียหาย

กว่าจะหาเธอเจอ กว่าฉันจะเจอ
จากภาพเบลอเบลอ ก็ชัดชัวร์ชัวร์
จากเรื่องมัวมัว จากนี้มันชัวร์ชัดเจน

กว่าจะหาเธอเจอ กว่าจะได้เจอ
ได้รู้ได้ลอง ได้แอบรัก
จะจบยังไง ไม่รู้เหมือนกัน
แค่รู้ว่าฉัน ได้รักรักเธอ ก็พอ

เพราะมันดีต่อใจ มันดีต่อใจทั้งใจ
ได้รักได้ลุ้น มันวุ่นวายพอไหว
กล้ากล้ากลัวกลัว เจอตัวเธอแล้ว
อยากเจอหัวใจ

กว่าจะหาเธอเจอ กว่าฉันจะเจอ
จากภาพเบลอเบลอ ก็ชัดชัวร์ชัวร์
จากเรื่องมัวมัว จากนี้มันชัวร์ชัดเจน

กว่าจะหาเธอเจอ กว่าจะได้เจอ
ได้รู้ได้ลอง ได้แอบรัก
จะจบยังไง ไม่รู้เหมือนกัน
แค่รู้ว่าฉัน ได้รักรักเธอ ก็พอ

เพราะมันดีต่อใจ มันดีต่อใจทั้งใจ
ได้รักได้ลุ้น มันวุ่นวายพอไหว

จะจบยังไง ก็ไม่รู้เหมือนกัน
แค่รู้ว่าฉัน ได้รักรักเธอ ก็พอ",matang_radabdaw
ทนได้ทุกที,/music/thailyric/13518,"เจ็บและช้ำมากี่ครั้ง
พลาดและพลั้งมากี่หน
หากจะเป็นเธออีกสักคน
มันก็คงไม่ต่างกันเท่าไร
หากเธอคิดทำอย่างนั้น
หากจะทิ้งกัน ก็คงตามใจ
เจ็บยังไงคงไม่ตาย
เพราะฉันต้องอยู่อีกนาน

หากจะตายก็ตายไปแล้ว
เจ็บอีกทีจะสักเท่าไร
ใจมันเจ็บมาแล้วกี่ครั้ง
จะช้ำแค่ไหนไม่เห็นมันตายสักที
หนักกว่าเธอก็เจอมาแล้ว
แต่ก็ทนมาได้ทุกที ใจมันแกร่งและพร้อม
จะรับคราวนี้ ฉันคงไม่ตาย

หากเธอคิดทำอย่างนั้น หากจะทิ้งกัน
ก็คงตามใจ เจ็บยังไงคงไม่ตาย
เพราะฉันต้องอยู่อีกนาน

หากจะตายก็ตายไปแล้ว
เจ็บอีกทีจะสักเท่าไร เท่าไร
ใจมันเจ็บมาแล้วกี่ครั้ง
จะช้ำแค่ไหนไม่เห็นมันตายสักที
หนักกว่าเธอก็เจอมาแล้ว
แต่ก็ทนมาได้ทุกที ทุกที
ใจมันแกร่งและพร้อมจะรับ
คราวนี้ ฉันคงไม่ตาย
ใจมันแกร่งและพร้อมจะรับ
คราวนี้ ฉันคงไม่ตาย

ใจมันแกร่งและพร้อมจะรับ
คราวนี้ ฉันคงไม่ตาย",matang_radabdaw
เธอเข้าใจหรือเปล่า,/music/thailyric/16957,"อาจจะเวิ่นเว้อ อาจจะเยอะไป
อะไรที่ได้ทำเมื่อก่อน
โปรดเถอะขอร้อง อย่าไปสนใจ

ที่เคยร่ำร้อง ที่เคยอ้อนวอน
อ่อนแอทำเหมือนมันจะตาย
ฉุดดึงเธอไว้ ด้วยความเสียใจ

เธอเข้าใจหรือเปล่า คนที่ใจสลาย
จะไปคาดหวังอะไร ให้มากมาย

ให้ฉันยินดีที่ถูกเททิ้งไป
จุดนั้นวันนั้นรู้สึกมันยากเกินไป
เกินเรี่ยวแรงกำลัง ปิดบังความปวดร้าวไว้ไม่ไหว
ก็เผลอแสดงอาการโง่ๆ ไป

บอกให้รู้ไว้ บอกให้โล่งใจ
ต่อไปจะไม่มีมาอีก จะมีครั้งนั้น
ที่มันพลาดไปก็มันรู้แล้ว
ว่ามันไม่ตายกับการที่ไม่มีใครๆ
ผ่านมันไปแล้ว จุดที่ยับเยิน

เธอเข้าใจหรือเปล่า คนที่ใจสลาย
จะไปคาดหวังอะไร ให้มากมาย

ให้ฉันยินดีที่ถูกเททิ้งไป
จุดนั้นวันนั้นรู้สึกมันยากเกินไป
เกินเรี่ยวแรงกำลัง ปิดบังความปวดร้าวไว้ไม่ไหว
ก็เผลอแสดงอาการโง่ๆ ไป ก็เท่านั้นเอง

เธอเข้าใจหรือเปล่า คนที่ใจสลาย
จะไปคาดหวังอะไร ให้มากมาย

ให้ฉันยินดีที่ถูกเททิ้งไป
จุดนั้นวันนั้นรู้สึกมันยากเกินไป
เกินเรี่ยวแรงกำลัง ปิดบังความปวดร้าวไว้ไม่ไหว
ก็เผลอแสดงอาการโง่ๆ ไป ก็เท่านั้นเอง

ก็เท่านั้นเอง",matang_radabdaw
ผิดก็จะทำ,/music/thailyric/18662,"รู้ว่าผิดที่รักเธอ
รักเธอจนเกินห้ามใจ
รู้ว่าเธอนั้นรักใคร
และใจไม่มีฉันเลย

แต่ฉันไม่สน และฉันไม่แคร์
เพราะฉันไม่ยอมแพ้ใคร
ฉันต้องได้เธอ
ไม่ว่าต้องทำอย่างไร

เขาและเธอยิ่งรักกัน
ฉันก็จะไปแทรกกลาง
มันต้องมีเล่ห์กลสักอย่าง
ที่ทำให้เธอเลิกกัน

จะว่าฉันร้าย ฉันก็จะร้าย
แล้วเราจะได้เห็นกัน
เลือดเย็นอย่างฉัน
สุดท้ายฉันต้องได้เธอ

จะผิดฉันก็จะทำ
แค่ขอให้เธอเลือกฉัน
ถ้าถูกแล้วต้องจากกัน
ฉันขอทำผิดต่อไป

จะตกนรกก็ยอม
แต่ขอแค่สมหวังสักครั้งได้ไหม
ชีวิตนี้ ฉันไม่ต้องการอะไร
ไปมากกว่าเธอ

เรื่องมันเกิดขึ้นเพราะใคร
คิดดูให้ดีหรือยัง
ไฟรักมันแผดมันเผาใจ
ไม่ใครก็ใครต้องพัง

และฉันก็พร้อม พร้อมแย่งและยื้อ
พร้อมที่จะทำทุกอย่าง
เพื่อให้ฉัน
ได้ชนะใจเธอสักครั้ง

จะผิดฉันก็จะทำ
แค่ขอให้เธอเลือกฉัน
ถ้าถูกแล้วต้องจากกัน
ฉันขอทำผิดต่อไป
จะตกนรกก็ยอม
แต่ขอแค่สมหวังสักครั้งได้ไหม
ชีวิตนี้ ขอรักเธอจนวันตาย

จะผิดฉันก็จะทำ
แค่ขอให้เธอเลือกฉัน
ถ้าถูกแล้วต้องจากกัน
ฉันขอทำผิดต่อไป
จะตกนรกก็ยอม
แต่ขอ แค่สมหวังสักครั้งได้ไหม
ชีวิตนี้ ฉันไม่ต้องการอะไร
ไปมากกว่าเธอ",matang_radabdaw
เพิ่งรู้ตัว,/music/thailyric/15498,"โลกจะแตก
ในวันแรกที่เธอบอกเลิกกันไป
หัวใจมันแหลกลาญ โทษว่าใครต่อใคร
ฉันไม่เคยผิดอะไร

อยู่ตรงนี้ลำพัง
จึงมานั่งทบทวนเรื่องนั้นวนไป
เห็นตัวเองเมื่อวาน ที่มันเอาแต่ใจ
และก็วีนเหวี่ยงประจำ

เวลาที่คบกัน มันคงเลวร้าย

เจ็บปวดที่มันเพิ่งรู้ตัวเอง
มันเพิ่งเห็นว่าเคยงี่เง่ายังไง
ฉันคงทำเธอผิดหวัง รักกันไปต่อไม่ไหว
วันนั้นเธอคงกดดัน
จึงเดินจากฉันไปไกล

ก็เคยคิดตลอด
เราจะรักให้ดีให้เหมือนดังใจ
แล้วที่เป็นอย่างนี้ แล้วที่มันจบไป
มันผิดที่ฉันคนเดียว

เธอทำให้เข้าใจ ต้องทำยังไงหากจะรัก

เจ็บปวดที่มันเพิ่งรู้ตัวเอง
มันเพิ่งเห็นว่าเคยงี่เง่ายังไง
ฉันคงทำเธอผิดหวัง รักกันไปต่อไม่ไหว
วันนั้นเธอคงกดดัน
จึงเดินจากฉันไปไกล

เจ็บปวดที่มันเพิ่งรู้ตัวเอง
มันเพิ่งเห็นว่าเคยงี่เง่ายังไง
ฉันคงทำเธอผิดหวัง รักกันไปต่อไม่ไหว
วันนั้นเธอคงถอดใจ

แต่ก่อนมันไม่รู้จริงๆ มาวันนี้รู้ตัวก็ช้าเกินไป
ฉันไม่มีโอกาส ที่จะมีเธออย่างครั้งนั้น
ยิ่งคิดน้ำตายิ่งไหล ไม่มีไม่เหลือใครเลย

อยากบอกกับเธอ ฉันขอโทษเธอจริงๆ",matang_radabdaw
รักเธอให้น้อยลง,/music/thailyric/13084,"ฉันรู้ดีว่าควรรักเธอให้น้อยลง
เพราะฝืนไปก็คงเสียใจอยู่อย่างนี้
มันผ่านไปแล้ว
ฉันก็ควรลืมทุกอย่าง
อยากจะขอให้มันได้ลบหรือเลือนลาง
จางหายไปยิ่งดี

อยากจะลืม
ลืมว่าใจยังคงคิดถึงเธออยู่เสมอ
ลืมว่าใจยังคงละเมอถึงเธอคนนี้
ลืมทุกอย่างในหัวใจ
ขอเพียงนับจากนี้ไป
อย่าได้พบได้เจอ อย่าได้เพ้อถึงเธอก็พอ

นึกถึงเธอเมื่อไรฉันได้แต่เสียใจ
เห็นเธอดีกับใครหัวใจก็อ่อนล้า
มองผ่านวันนี้ เหมือนจะมีเพียงน้ำตา
เมื่อได้รู้ว่าเธอจะไม่หวนคืนมา
มารักกันเหมือนเดิม

อยากจะลืม
ลืมว่าใจยังคงคิดถึงเธออยู่เสมอ
ลืมว่าใจยังคงละเมอถึงเธอคนนี้
ลืมทุกอย่างในหัวใจ
ขอเพียงนับจากนี้ไป
อย่าได้พบได้เจอ อย่าได้เพ้อถึงเธอก็พอ

ไม่อยากจะทรมาน ไม่อยากรักเธอจนตาย
ไม่อยากเสียเวลา ไม่อยากรักแล้วเสียน้ำตา

อยากจะลืม
ลืมว่าใจยังคงคิดถึงเธออยู่เสมอ
ลืมว่าใจยังคงละเมอถึงเธอคนนี้
ลืมทุกอย่างในหัวใจ
ขอเพียงนับจากนี้ไป
อย่าได้พบได้เจอ อย่าได้เพ้อถึงเธอก็พอ

ลืมว่าใจยังคงคิดถึงเธออยู่เสมอ
ลืมว่าใจยังคงละเมอถึงเธอคนนี้
ลืมทุกอย่างในหัวใจ ขอเพียงนับจากนี้ไป
อย่าได้พบได้เจอ อย่าได้เพ้อถึงเธอก็พอ",matang_radabdaw
ศรีนครินทรวิโรฒ,/music/thailyric/18451,"ศรีนครินทรวิโรฒนี้
นามอุโฆษระบือ
ชื่อเสียงไกล หาใครเปรียบปาน
องค์พระเจ้าอยู่หัว ธ ทรงประทาน
นามนี้มา เป็นมิ่งขวัญให้

พวกเรารักบูชา
เหมือนดังชีวาดวงใจ
จะคุ้มครองปวงภัย
ด้วยใจมั่นคง

ทุกคนเทิดเกียรติวินัย
และศักดิ์ศรีให้ดำรง
แหล่งศึกษายืนยง เจริญสุขสันต์

ศรีนครินทรวิโรฒ
ของเรารุ่งโรจน์ทุกครา
สามัคคี ไมตรีทั่วกัน
ต้นหลิวทิวสน เหมือสัญญาผูกพัน
ให้รักกัน สัมพันธ์สายใจ

ด้วยใจรักผูกพัน เป็นสถาบันเกรียงไกร
ชื่อเสียงงามอำไพ สดใสน่ามอง
รวมกันเราอยู่เป็นศรีนครินทรวิโรฒเรืองรอง
คู่เมืองไทยแดนทองของเราเผ่าไทย

ศรีนครินทรวิโรฒนี้
นามอุโฆษระบือ
ชื่อเสียงไกล หาใครเปรียบปาน
องค์พระเจ้าอยู่หัว ธ ทรงประทาน
นามนี้มา เป็นมิ่งขวัญให้

พวกเรารักบูชา
เหมือนดังชีวาดวงใจ
จะคุ้มครองปวงภัย
ด้วยใจมั่นคง

ทุกคนเทิดเกียรติวินัย
และศักดิ์ศรีให้ดำรง
แหล่งศึกษายืนยง เจริญสุขสันต์

ศรีนครินทรวิโรฒ
ของเรารุ่งโรจน์ทุกครา
สามัคคี ไมตรีทั่วกัน
ต้นหลิวทิวสน เหมือสัญญาผูกพัน
ให้รักกัน สัมพันธ์สายใจ

ด้วยใจรักผูกพัน เป็นสถาบันเกรียงไกร
ชื่อเสียงงามอำไพ สดใสน่ามอง
รวมกันเราอยู่เป็นศรีนครินทรวิโรฒเรืองรอง
คู่เมืองไทยแดนทองของเราเผ่าไทย",matang_radabdaw
สักวันต้องได้ดี,/music/thailyric/10800,"คนบางคนชีวิต ช่างยากช่างเย็นเหลือเกิน
เดินกันไปไม่เคยจะได้ดี
แต่ตัวเราเองยังหวัง ด้วยพลังที่มี
จึงทำความดีไม่เคยจะท้อใจ

อย่างน้อย สิ่งที่เรานั้นทำลงไป
ไม่คิดอะไร ก็แค่ภูมิใจที่เป็นคนดี
อย่างน้อย ก็บอกตัวเองหนทางยังมี
แม้ว่าวันนี้ มันช่างโหดร้าย
ก็ยังคงทำดีไม่เคยหวั่น รู้ว่าสักวันต้องได้ดี

คนบางคนบางครั้ง ต้องทุกข์ต้องทนก็มี
แต่คนดีๆ ไม่มีวันแพ้ภัย
กาลเวลาเท่านั้น ที่ช่วยให้เราเข้าใจ
ลงเอยยังไงก็คงจะรู้เอง

อย่างน้อย สิ่งที่เรานั้นทำลงไป
ไม่คิดอะไร ก็แค่ภูมิใจที่เป็นคนดี
อย่างน้อย ก็บอกตัวเองหนทางยังมี
แม้ว่าวันนี้ มันช่างโหดร้าย
ก็ยังคงทำดี ไม่เคยหวั่น
รู้ว่าสักวัน ต้องได้ดี

อย่างน้อย ก็บอกตัวเองหนทางยังมี
แม้ว่าวันนี้ มันช่างโหดร้าย
ก็ยังคงทำดีไม่เคยหวั่น รู้ว่าสักวันต้องได้ดี",matang_radabdaw
แสงและเงา,/music/thailyric/11682,"มีชีวิตเกิดมาก็เหมือนเงา
ที่เฝ้ารอเพียงแสงที่ขอบฟ้า
จะได้มีตัวตน เมื่อเธอส่องแสงมา
เมื่อขาดเธอ ตัวฉันก็หายไป
รู้ว่าเธอแสนไกล ขอได้เพียงเฝ้ามอง
ชีวิตฉันต้องการเท่านี้

แค่รักเธอยังไม่กล้า แอบรักเธอยังต้องกลัว
ฉันได้แต่เจียมตัว ว่าฉันนั้นเป็นใคร
ก็แค่เงาอันเลือนราง
ได้แสงสว่างจากเธอ เพียงแค่รำไร
เท่านี้ก็สุขใจ เกินพอ

ใช้ชีวิตอย่างเป็นเงาของใคร
จะสู้ทำเท่าไรก็เท่านั้น
ไม่มีทางที่เธอ จะเห็นความสำคัญ
จะมีฉันคนนี้ในสายตา
รู้ว่าเธอแสนไกล ขอได้เพียงเฝ้ามอง
ชีวิตฉันต้องการเท่านี้

แค่รักเธอยังไม่กล้า แอบรักเธอยังต้องกลัว
ฉันได้แต่เจียมตัว ว่าฉันนั้นเป็นใคร
ก็แค่เงาอันเลือนราง
ได้แสงสว่างจากเธอ เพียงแค่รำไร
เท่านี้ก็สุขใจ เกินพอ

แค่รักเธอยังไม่กล้า แอบรักเธอยังต้องกลัว
ฉันได้แต่เจียมตัว ว่าฉันนั้นเป็นใคร
ก็แค่เงาอันเลือนราง
ได้แสงสว่างจากเธอ เพียงแค่รำไร
เท่านี้ก็สุขใจ เกินพอ
เท่านี้ก็สุขใจ เกินพอ",matang_radabdaw
