song_name,href,lyric,artist
ชัดเจน (Chadjen),/music/thailyric/13540,"หากวันหนึ่งเธอตื่นขึ้นมา
ใต้ท้องฟ้าไม่มีใคร ในเช้าที่เหงาจับใจ
รู้ไหม ฉันอยู่ไม่ไกล

ในคืนที่ไร้แสงดาว
จะคอยเกาเพลงให้เธอฟัง
กระซิบรักให้ดังๆ ทุกๆ ครั้งที่เธอปวดใจ

เหนื่อยก็นอน ไม่ต้องรีบร้อน
พรุ่งนี้ยังเป็นของเรา
พักสายตาลงก่อน ทิ้งความเศร้า
ให้ฉันดูแลเธอ ให้ฉันดูแลเธอ

หากวันหนึ่งเธอตื่นขึ้นมา
ในเวลาที่ไม่มีใคร
ในเช้าที่รักจากไป
รู้ไว้ ฉันอยู่ไม่ไกล

เหนื่อยก็นอน ไม่ต้องรีบร้อน
พรุ่งนี้ยังเป็นของเรา
พักสายตาลงก่อน ทิ้งความเศร้า
ให้ฉันดูแลเธอ ให้ฉันดูแลเธอ

แค่ยิ้มแล้วลืมมันไป
พรุ่งนี้ค่อยเริ่มกันใหม่
พรุ่งนี้ค่อยเริ่มกันใหม่

เหนื่อยต้องนอน ไม่ต้องรีบร้อน
พรุ่งนี้ยังเป็นของเรา
พักสายตาลงก่อน ทิ้งความเศร้า
ให้ฉันดูแลเธอ ให้ฉันดูแลเธอ",max_jenmana
ปีศาจ (Demons),/music/thailyric/13531,"คืนนี้ฉันยืน มองตัวเอง
เห็นปีศาจร้าย ในกระจก
เงาสะท้อน ตัวฉันเอง
สิ่งที่ฉัน กลัวที่สุด

คล้ายว่าเข้าใจ
ไม่รู้ทำไมถึงทำไม่ได้
บางอย่างในหัวใจ
คอยย้ำว่าฉันคือปีศาจร้าย

ถ้าหากว่าฉันไม่เปลี่ยน
เธอจะรับที่ฉันเป็นได้หรือเปล่า
ถ้าเธอได้รู้ทุกอย่าง
เรายังเดินข้างกันเหมือนเดิมได้ใช่ไหม
อยู่ตรงนี้ อยู่ด้วยกัน
อยู่กับฉันในคืนที่โลกไม่เข้าใจ
กอดฉัน อย่างเคย
ให้รู้ว่าฉันก็ไม่ได้เลวร้ายเกินไป

ทุกสายตาที่มองมา
ราวเก็บซ่อนไว้ซึ่งความเย็นชา
ย้อนแย้งวกวนไปกับคำคน
จนทนไม่ไหว

คล้ายว่าเข้าใจ
ไม่รู้ทำไมถึงทำไม่ได้
บางอย่างในหัวใจ
คอยย้ำว่าฉันคือปีศาจร้าย

ถ้าหากว่าฉันไม่เปลี่ยน
เธอจะรับที่ฉันเป็นได้หรือเปล่า
ถ้าเธอได้รู้ทุกอย่าง
เรายังเดินข้างกันเหมือนเดิมได้ใช่ไหม
อยู่ตรงนี้ อยู่ด้วยกัน
อยู่กับฉันในคืนที่โลกไม่เข้าใจ
กอดฉัน อย่างเคย
ให้รู้ว่าฉันก็ไม่ได้เลวร้ายเกินไป

ถ้าหากว่าฉันไม่เปลี่ยน
เธอจะรับที่ฉันเป็นได้หรือเปล่า
ถ้าเธอได้รู้ทุกอย่าง
เรายังเดินข้างกันเหมือนเดิมได้ใช่ไหม
อยู่ตรงนี้ อยู่ด้วยกัน
อยู่กับฉันในคืนที่โลกไม่เข้าใจ
กอดฉัน อย่างเคย
ให้รู้ว่าฉันก็ไม่ได้เลวร้ายเกินไป",max_jenmana
วันหนึ่งฉันเดินเข้าป่า (Into the Woods),/music/thailyric/12532,"วันหนึ่งฉันเดินเข้าป่า
ฉันเจอนกตัวหนึ่ง
มันถามฉันว่าจะไปไหน
ฉันจึงตอบ อยากไปให้ไกล
ไกลเกินกว่าที่ฉันเคยไป

ถ้าเราเหนื่อยล้า จงเดินเข้าป่า
อย่างน้อยก็ไม่ต้องพบเจอ
คนใจร้ายอย่างเธอ
คนที่ไม่มีน้ำใจ
ไม่มีเยื่อใยให้คนเคยรักกัน
ใจร้ายอย่างเธอ
ต้องทิ้งให้อยู่คนเดียว
เผื่อเธอเหงาขึ้นมาจะได้กลับมารักกัน

วันหนึ่งฉันเดินเข้าป่า
ฉันเจอเสือตัวใหญ่
มันถามฉันว่ากลัวบ้างไหม
ฉันจึงตอบว่าไม่เท่าไร
ยังดีกว่าคนไร้หัวใจ

เมื่อเราปวดร้าว จงเดินเข้าป่า
อย่างน้อยก็ไม่ต้องพบเจอ
คนใจร้ายอย่างเธอ
คนที่ไม่มีน้ำใจ
ไม่มีเยื่อใยให้คนเคยรักกัน
ใจร้ายอย่างเธอ
ต้องทิ้งให้อยู่คนเดียว
เผื่อเธอเหงาขึ้นมาจะได้กลับมารักกัน

คนใจร้าย คนใจร้าย
ไม่มีเยื่อใยให้คนเคยรักกัน
วันหนึ่งฉันเดินเข้าป่า",max_jenmana
ไวน์ (Wine),/music/thailyric/15229,"ถ้าฉันไม่ลืมเรื่องเรา
แบบนี้แล้วมันจะผิดหรือเปล่า
ดั่งรสที่เคยลิ้มลองและรักตั้งแต่แรกเจอ

รักก็คือรัก จะลบยังไงก็คงไม่จาง
ดั่งเปลี่ยนไวน์ให้เป็นน้ำ
เปลี่ยนฉันให้ไม่รักเธอคงไม่ได้

จากนี้ไป แม้เราไม่ได้อยู่ด้วยกัน
และฝัน อาจต้องล่มสลาย สุดท้ายคงเข้าใจ

และฉันนั้นจะยอม จะยอมให้เธอไป
ยอมมีน้ำตา ยอมเสียใจ
แต่ความรักข้างใน มันคงลบไม่ได้
เคยเป็นแบบไหนก็คงต้องเป็นแบบนั้น

จากนี้ไป แม้เราไม่ได้อยู่ด้วยกัน
และฝัน อาจต้องล่มสลาย สุดท้ายคงเข้าใจ

และฉันนั้นจะยอม จะยอมให้เธอไป
ยอมมีน้ำตา ยอมเสียใจ
แต่ความรักข้างใน มันคงลบไม่ได้
เคยเป็นแบบไหนก็คงต้องเป็นแบบนั้น

เปลี่ยนไวน์ให้เป็นน้ำ
เปลี่ยนฉันให้ไม่รักเธอคงไม่ได้

และฉันนั้นจะยอม จะยอมให้เธอไป
ยอมมีน้ำตา ยอมเสียใจ
แต่ความรักข้างใน มันคงลบไม่ได้
เคยมีเธอไว้ยังไงก็ยังอยู่อย่างนั้น",max_jenmana
Crybaby,/music/thailyric/17092,"ฉันเคยซ่อนความจริงเอาไว้
นานแสนนาน จนไม่รู้
ว่าตัวเองเป็นใคร

แม้ใจฉันจะแทบสลาย
กลับไม่เคย พูดสักคำ
เพื่อจะอธิบาย

ไม่รู้ฝืนไปเพื่ออะไร

อยากจะ ร้อง ร้อง ออกมา
จนกว่าน้ำตาจะหมดไป
จะไม่ ทนเก็บไว้

หากจะ เสีย เสียใจ
ก็ให้ได้รู้กันไป
มันคงจะไม่ถึงตาย
มันไม่ใช่เรื่องน่าอาย
Just cry, baby

หัวใจ ที่เต็มด้วยบาดแผล
แต่ซ่อนมัน ใต้รอยยิ้ม
ที่ดูดีเกินไป

ข้างใน ฉันแทบทนไม่ไหว
ให้น้ำตา เป็นตัวแทน
ทุกคำอธิบาย

มีใครได้ยินบ้างไหม บ้างไหม

อยากจะ ร้อง ร้องออกมา
จนกว่าน้ำตาจะหมดไป
จะไม่ทนเก็บไว้

หากจะ เสีย เสียใจ
ก็ให้ได้รู้กันไป
มันคงจะไม่ถึงตาย
มันไม่ใช่เรื่องน่าอาย
Just cry, baby",max_jenmana
Drunk Texting,/music/thailyric/18051,"I'm not a very smart man at night
Especially when I'm as high as a kind
But if I could ever do something nice
I'd rather make you feel alright

This is not what I normally do
The random victim just happens to be you
So don't expect these words to be true
Unless you feel the same way too

I can't get over you

I'm trying to change your mind
And I know it's kind of a bad decision
Well I'm talking too much
So maybe I'll stop texting you

This is not what I normally do
The random victim just happens to be you
Just don't expect these words to be true
Unless you feel the same way too

I can't get over you

I'm trying to change your mind
And I know it's kind of a bad decision
Well I'm talking too much
So maybe I'll stop texting you

Been chasing you all night
My thought of you keeps me alive
Need to be by your side
Can you feel like I do baby

I'm trying to change your mind
And I know it's kind of a bad decision
Well I'm talking too much
So maybe I'll stop texting you

I'm trying to change your mind
And I know it's kind of a bad decision
Well I'm talking too much
So maybe I'll stop missing you",max_jenmana
Walk The Line,/music/thailyric/18542,"Chasing ghost that left no name
Don't even know who else to blame
Years in the battle still nobody has won
Tears down the face just for no one
Cause where we go there's no return
So take a deep breath and feel the burn

Still we could be kings the foolest of all

Take it once make it twice
Why keep telling myself just one more bite
Roll my life like a dice
Guess this is how we Walk The Line
Walk the line

Always stay out late at night
Driving around town dressed in white
Cause where we go there's no return
So take a deep breath and feel the burn

Then we will be king the foolest of all

Take it once make it twice
Why keep telling myself just one more bite
Roll my life like a dice
Guess this is how we walk the line
Walk the line

Our love leave bad taste in my throat
Yeah I know I know
Our love leave bad taste in my throat
But I'd do it again and again

Our love leave bad taste in my throat
Yeah I know I know
Our love leave bad taste in my throat
But I'd do it again and again
And again again again again and again

Take it once make it twice
Why keep telling myself just one more bite
Roll my life like a dice
Guess this is how we walk the line
Walk the line

Take it once make it twice
Why keep telling myself just one more bite
Roll my life like a dice
Guess this is how we walk the line
Walk the line",max_jenmana
คนพิเศษ,/music/thailyric/17309,"เธอคอยฟังหัวใจของฉันในยามอ่อนแอ
จะเป็นอะไรเธอคอยดูแล ตั้งแต่แรกเจอ
และเธอ มีความรักที่ไม่ซับซ้อนอะไร
ร้อนหนาวหรือไร้เรี่ยวแรงเพียงใด ไม่ทิ้งกัน

คงเป็นความรัก ที่เธอทุ่มเทให้ทั้งหัวใจ
ทำให้เธอดูสวย และไม่เหมือนใคร
คือความงาม ที่ออกมาจากข้างใน
ไม่ต้องเรียกร้อง ไม่มีข้อแม้
ยิ่งมอง ยิ่งเห็นในความพิเศษ

เธอคอยอยู่ข้างกันในวันที่ฉันอ่อนแอ
ไม่ว่ายังไงมีเธอดูแลเสมอมา
แม้ทางไกลแค่ไหนเธอก็จะไป
ล้มลุกหรือไร้เรี่ยวแรงเพียงใด ไม่ทิ้งกัน

คงเป็นความรัก ที่เธอทุ่มเทให้ทั้งหัวใจ
ทำให้เธอดูสวย และไม่เหมือนใคร
คือความงาม ที่ออกมาจาก ข้างใน
ไม่ต้องเรียกร้อง ไม่มีข้อแม้
(รักเราจึงพิเศษกว่าใคร)

ยิ่งมองยิ่งทำให้รู้ ยิ่งดูยิ่งทำให้เข้าใจ
ที่เธอทุ่มเทด้วยใจ

ยิ่งมองยิ่งทำให้รู้ ยิ่งดูยิ่งทำให้เข้าใจ
ความงามมาจากข้างใน",max_jenmana
แค่ได้รัก,/music/thailyric/10648,"ไม่ต้องลำบากใจ อย่าสงสัยฉันเลยในสิ่งที่ฉันทำ
ถึงฉันไม่พูดสักคำ เธอจะรู้บ้างหรือเปล่า ว่าฉันรักเธอสักเท่าไร

เป็นแสงแดดเป็นสายลม ที่เหมือนเธอจะมองข้ามไป
เป็นคนที่นานเท่าไร ก็ไม่คิดจะไปจากเธอ

ไม่ต้องรักฉันสักนิด ไม่ต้องมาคิดถึงกัน
ปล่อยให้ฉันรักของฉัน แค่เท่านั้นก็พอ
มันเป็นเรื่องของหัวใจ และฉันจะไม่ร้องขอ
เธอไม่จำเป็นจะต้องรักฉัน แค่ขอฉันได้รักเธอ

ไม่ต้องการสิ่งใด ไม่คาดหวังว่าต้องเป็นใครที่สำคัญ
ทุกครั้งที่ได้พบกัน เธอจะรู้บ้างหรือเปล่า ว่าฉันดีใจสักเท่าไร

เป็นแสงแดดเป็นสายลม ที่เหมือนเธอจะมองข้ามไป
เป็นคนที่นานเท่าไร ก็ไม่คิดจะไปจากเธอ

ไม่ต้องรักฉันสักนิด ไม่ต้องมาคิดถึงกัน
ปล่อยให้ฉันรักของฉัน แค่เท่านั้นก็พอ
มันเป็นเรื่องของหัวใจ และฉันจะไม่ร้องขอ
เธอไม่จำเป็นจะต้องรักฉัน แค่ขอฉันได้รักเธอ

ไม่ต้องรักฉันสักนิด ไม่ต้องมาคิดถึงกัน
ปล่อยให้ฉันรักของฉัน แค่เท่านั้นก็พอ
มันเป็นเรื่องของหัวใจ และฉันจะไม่ร้องขอ
เธอไม่จำเป็นจะต้องรักฉัน แค่ขอฉันได้รักเธอ",max_jenmana
แค่เธอเป็นเธอ (Don't Try Too Hard),/music/thailyric/14692,"Sup girl ยินดีที่ได้รู้จักกันนะ
ตัวจริงใช่ไหมไม่หลอกกันนะ
Na na na na na

เสียงเตือน
คอยย้ำว่าเธอยอมเปลี่ยนเพื่อเขา
เพื่อแลกกับหัวใจ
จุมพิตอิเล็กทรอนิกส์จากเขา
เธอรู้ได้ไงว่ามันจริง
รู้ได้ไงว่ามันจริงแท้

Don't try too hard
You just gotta be yourself
เวลามันมีน้อย
ลองหยุดพยายามหักห้ามใจ
ลองอยู่ด้วยกัน
เป็นตัวเองให้โลกได้รู้
อย่ามัวแต่ดูด้อมๆ มองๆ ให้วุ่นวาย
สบายกว่าไหม

No we won't judge you
แค่ไม่อยากให้เธอต้องฝืนตัวเอง
Oh ให้ฉันเข้าไป
อยากรู้มันดีแค่ไหน
เมื่อเธอเป็นเธอ

แค่เธอเป็นเธอ

Don't try too hard
You just gotta be yourself
เวลามันมีน้อย
ลองหยุดพยายามหักห้ามใจ
ลองอยู่ด้วยกัน
เป็นตัวเองให้โลกได้รู้
อย่ามัวแต่ดู
ด้อมๆ มองๆ ให้วุ่นวาย
ไม่ลองดูคงไม่รู้ว่าดีไหม

We won't judge you
Don't waste your time
We won't judge you
Don't waste your time
Don't waste your time",max_jenmana
