song_name,href,lyric,artist
คำว่าฮักกัน มันเหี่ยถิ่มไส,/music/thailyric/11852,"อ้ายบ่อยากเชื่อสายตา
ว่าภาพตรงหน้าสิเป็นความจริง
ก็คนที่เคยสัญญา
คนบอกกันว่าบ่ตายสิบ่ทอดทิ้ง
กำลังกอดกันอิ้งติ้ง
กอดอิ้งติ้งอยู่กับผู้อื่น

กะยกให้เพิ่นเบิดใจ
เมื่อคราวเคียงใกล้ร่วมใช้วันคืน
สิหยุดที่กันและกัน
หนักร่วมฝ่าฟันยากสิส่อยกันบืน
จังใด๋มากลายเป็นอื่น
มาเฮ็ดกันได้แท้น้อใจคน

แล้วคำว่าฮักกัน
มื้อนั่นมันเหี่ยถิ่มไส
แล้วคนที่ว่าฮักหลาย
มื้อนี่หัวใจเอาไผมาปน
แทบบ่มีแฮงหายใจ
ล้าหล่อยไปทั้งตัวตน
กลั้นใจฟังเหตุผล
ของคนที่เซาฮักกัน

อ้ายเคยโทษเขาเบิดแฮง
ว่าเขามาแย่ง ว่าเขาเป็นมาร
แต่เมื่อได้เห็นตำตา
จังได้ฮู้ว่า อ้ายโง่มาตั้งนาน
ที่แท้กะเป็นนำกัน
ถิ่มกันง่ายแท้หนอใจคน

แล้วคำที่ว่าฮักกัน
มื้อนั่นมันเหี่ยถิ่มไส
แล้วคนที่ว่าฮักหลาย
มื้อนี่หัวใจเอาไผมาปน
แทบบ่มีแฮงหายใจ
ล้าหล่อยไปทั้งตัวตน
กลั้นใจฟังเหตุผล
ของคนที่เซาฮักกัน

อ้ายบ่อยากฟังเหตุผล
ของคนที่เซาฮักกัน",monkan_kankoon
กรณิการ์,/music/thailyric/14023,"อยู่กับความเหงา เหมือนคนที่เมาน้ำตา
ผู้หญิงชื่อกรณิการ์ ปาดน้ำตามาราดดวงใจ
มาอยู่มาพัก ทำให้รักมาก แล้วก็จากไป
เกิดมาไม่เคยโดนใคร ทำใจพี่เจ็บอย่างนี้

รักกันนานปี ไม่มีความหมายหรือไร
ผู้ชายที่มีแต่ให้ ผิดเรื่องใดจึงไม่ปราณี
เขาดีแค่ไหน จึงกล้านอกใจผู้ชายคนนี้
แอบคบ แอบทำย่ำยี หนีตามเขาไปไม่ลา

กรณิการ์อยู่ไหน หัวใจพี่คร่ำครวญหา
ทุกๆ ที ที่เราเคยใกล้ชิด
มองนิดๆ ยังสะกิดน้ำตา
เจ้าหลงผิดไป หรือตั้งใจหนีหน้า
ช่วยกลับมา เล่าให้ฟังได้ไหม

ถูกรอยความหลัง สั่งคำกับใจทุกวัน
ให้ตามเจ้าคืนรักกัน ปลูกต้นฝันแทนต้นทำใจ
อกพี่ที่ช้ำ แต่ยังท่องจำคำว่าอภัย
อยากกอดรับเจ้าคืนใจ
ได้ยินไหมน้องกรณิการ์

กรณิการ์อยู่ไหน หัวใจพี่คร่ำครวญหา
ทุกๆ ที ที่เราเคยใกล้ชิด
มองนิดๆ ยังสะกิดน้ำตา
เจ้าหลงผิดไป หรือตั้งใจหนีหน้า
ช่วยกลับมา เล่าให้ฟังได้ไหม

ถูกรอยความหลัง สั่งคำกับใจทุกวัน
ให้ตามเจ้าคืนรักกัน ปลูกต้นฝันแทนต้นทำใจ
อกพี่ที่ช้ำ แต่ยังท่องจำคำว่าอภัย
อยากกอดรับเจ้าคืนใจ
ได้ยินไหมน้องกรณิการ์

อยากกอดรับเจ้าคืนใจ
กลับมาได้ไหมน้องกรณิการ์",monkan_kankoon
กอดคนนอกใจ,/music/thailyric/19100,"บ่ได้โดนหลอกแต่ถูกนอกใจ
ถึงจับบ่ได้แต่ใจมันรู้
ไปแอบมีใครเป็นกิ๊กเป็นชู้
ที่นอกประตู หัวใจฮักเฮา

ซุกซ่อนความเศร้าข่มใจหนาวเหน็บ
กลืนก้อนความเจ็บเก็บความปวดร้าว
ต้องฝึกใจเย็น ต้องเป็นแสงดาว
อาบใจแฟนเรายามที่เขามองดู

ทั้งที่รู้สึกได้ตลอด
ว่านอนกอดคนที่นอกใจ
ถึงจะช้ำแทบเป็นแทบตาย
ยังอยากให้รักยังอยู่
โกหกใจตน โอโฮะโอย หลอกคนที่รู้
ว่าชีวิตคู่ สองเรายังสุขล้น

คนนี้ไงเล่าที่เราเลือกเอง
ทั้งดีทั้งเก่งโหวตให้ท่วมท้น
มันเจ็บเหลือเกินยับเยินเหลือทน
ต้องนอนกอดคน ที่นอกใจเราทุกคืน

ทั้งที่รู้สึกได้ตลอด
ว่านอนกอดคนที่นอกใจ
ถึงจะช้ำแทบเป็นแทบตาย
ยังอยากให้รักยังอยู่
โกหกใจตน โอโฮะโอย หลอกคนที่รู้
ว่าชีวิตคู่ สองเรายังสุขล้น

คนนี้ไงเล่าที่เราเลือกเอง
ทั้งดีทั้งเก่งโหวตให้ท่วมท้น
มันเจ็บเหลือเกินยับเยินเหลือทน
ต้องนอนกอดคน ที่นอกใจเราทุกคืน

โกหกใจตน โอโฮะโอย หลอกคนที่รู้
ว่าชีวิตคู่ สองเรายังสุขล้น",monkan_kankoon
กอดทิพย์,/music/thailyric/22466,"เบิ่งแต่รูปผู้สาวอ้ายผ่านจอมือถือ
นับวันนับมื้อนับจนนิ้วสิกิ่วแล้วหนา
สถานการณ์ยังกีดยังกั้นเลื่อนวันสัญญา
พอแฮงแล้วละเด้น้องหล่า
ใจคนถ่ามันจ่อยมันผอม

ซอมแต่แก้มแนมแต่หน้าเป็นตาฮักหลาย
อาบน้ำแล้วใหม่ใหม่
กรุ่นผมเรือนกายเจ้าคงสิหอม
เบิ่งวีดิโอคอลได้เห็นได้ยิน
แต่ไร้กลิ่นดมดอม
จูบจอมือถือมอมๆ
รอถ่ามื้อพร้อมจั่กสิแม่นมื้อใด๋

ได้แต่กอดทิพย์
ได้แต่กอดทิพย์
ได้แต่กอดทิพย์
เขี่ยเบิ่งรูปสมัยแรกจีบ
ก็สมมติเอาว่ากอดแบบใด๋

ในโลกความจริงยังกอดหนี้สิน
กอดความเดียวดาย
ถูกขังในกลางเมืองใหญ่
ยังเมือบ่ได้เจ้านายเพิ่นว่า

ใจคึดฮอดบืนให้รอดไปฮอดวันนั้น
อยากเมือเอารางวัล
มื้อเฮาพบกันจ่งไว้ให้แนนะ
ย่านคนหลอยยามไซ
ย่านแท้เด๋ยามอยู่ห่างตา
กอดทิพย์ไปก่อนเด้อหล้า
แล้วอ้ายสิมากอดนางจริงๆ

ได้แต่กอดทิพย์
ได้แต่กอดทิพย์
ได้แต่กอดทิพย์
เขี่ยเบิ่งรูปสมัยแรกจีบ
ก็สมมติเอาว่ากอดแบบใด๋

ในโลกความจริงยังกอดหนี้สิน
กอดความเดียวดาย
ถูกขังในกลางเมืองใหญ่
ยังเมือบ่ได้เจ้านายเพิ่นว่า

บอกใจคึดฮอดบืนให้รอดไปฮอดวันนั้น
อยากเมือเอารางวัล
มื้อเฮาพบกันจ่งไว้ให้แนนะ
ย่านคนหลอยยามไซ
ย่านแท้เด๋ยามอยู่ห่างตา
กอดทิพย์ไปก่อนเด้อหล้า

แล้วอ้ายสิพาความคึดฮอดมากอดคักคัก",monkan_kankoon
เขาขอไลน์ อ้ายขอลา,/music/thailyric/11305,"เฝ้าส่งไลน์พ่ายรัก ฝากให้เธอ
กดจากเบอร์เหงาเหงา ผู้สาวบ่อ่าน
พิมพ์ข้อความบอกเหตุผลบนทางผ่าน
กับเหตุการณ์สะดุดช้ำคำว่าเรา

เริ่มจากเขาผู้นั้นผ่านเข้ามา
อ่านแววตาหวานหวาน เหมือนมนต์เป่า
ลุ้นให้เธอบ่เล่นด้วยก็ซวยคือเก่า
เธอให้เขาเพิ่มเป็นเพื่อนเหมือนเป็นใจ

เขาขอไลน์อ้ายก็เลยขอลา
รู้ดีว่าวันหน้าต้องเจออะไร
อ้ายกับเขาเทียบฟอร์มบ่ยอมก็พ่าย
มวยแพ้ทางห่างชั้นสู้กันบ่ได้
ถามเธอเลือกใครก็ออกอาการ ลังเล

บ่อยากโอเคเคียดเด้แต่ทำไง
กดส่งไลน์ซ้ำซ้ำ ส่งฮักพังเพ
ขอแค่เลิกใจ เลิกคบ แบบจบเท่เท่
ใจดำแท้เด้ ไลน์ไปเก้อเพราะเธอ...บ่อ่าน

เขาขอไลน์อ้ายก็เลยขอลา
รู้ดีว่าวันหน้าต้องเจออะไร
อ้ายกับเขาเทียบฟอร์มบ่ยอมก็พ่าย
มวยแพ้ทางห่างชั้นสู้กันบ่ได้
ถามเธอเลือกใครก็ออกอาการลังเล

บ่อยากโอเคเคียดเด้แต่ทำไง
กดส่งไลน์ซ้ำซ้ำ ส่งฮักพังเพ
ขอแค่เลิกใจ เลิกคบ แบบจบเท่เท่
ใจดำแท้เด้ ไลน์ไปเก้อเพราะเธอ...บ่อ่าน",monkan_kankoon
คบกันดีจั๊กทรู (คบกันดูจั๊กที),/music/thailyric/22942,"มันคงบ่ง่ายดอก ที่ไผจั๊กคนนั้น
สิได้มาพ้อกัน และคุ้นเคย อ้ายเข้าใจได้ดี
คือจังที่อ้ายได้พ้อเจ้าคนนี้

ล่ะเจ้าสิฮู้บ่ ในใจอ้ายคนนี้
มันคอยคิดฮอดเจ้า ทุกๆ วัน
ก็ตั้งแต่แรกเจอ
แค่เจ้ายิ้มให้อ้ายกะฮู้สึกดี

เก็บอาการของอ้ายเอาไว้อยู่เรื่อยมา แม้หัวใจ

อยากให้คบ คบกันเบิ่งจั๊กทีได้บ่
แค่เพียงเจ้าส่อยเปิดใจลองดู
สิได้ฮู้ว่าอ้ายฮักเจ้าส่ำใด๋

อยากให้คบ คบกันเบิ่งจั๊กทีได้บ่
อ้ายสิเฮ็ดให้เจ้าได้เข้าใจ
ถ้าอยากฮู้ฮักแท้นั่นเป็นจั่งใด๋
ลองคบกันดูจั๊กที

สิเฮ็ดทุกๆ อย่าง ให้เจ้ามีฮอยยิ้ม
ทุ่มเทให้ทุกสิ่ง ขอเพียงเจ้าพ้อแต่ความสุขใจ
กะส่ำนี่ล่ะ ที่อ้ายต้องการ

เก็บความฮัก ที่มีให้เจ้าอยู่เรื่อยมา ทั้งหัวใจ

อยากให้คบ คบกันเบิ่งจั๊กทีได้บ่
แค่เพียงเจ้าส่อยเปิดใจลองดู
สิได้ฮู้ว่าอ้ายฮักเจ้าส่ำใด๋

อยากให้คบ คบกันเบิ่งจั๊กทีได้บ่
อ้ายสิเฮ็ดให้เจ้าได้เข้าใจ
ถ้าอยากฮู้ฮักแท้นั่นเป็นจั่งใด๋
ลองคบกันดูจั๊กที

เบิ่งตาอ้ายถ้าเจ้าอยากฮู้
ว่าอ้ายนั้นคิดกับเจ้าจั่งใด๋
จับมืออ้ายถ้าเจ้ากะฮู้
ว่าเฮานั้นคิดคือกัน

อยากให้คบ คบกันเบิ่งจั๊กทีได้บ่
แค่เพียงเจ้าส่อยเปิดใจลองดู
สิได้ฮู้ว่าอ้ายฮักเจ้าส่ำใด๋

อยากให้คบ คบกันเบิ่งจั๊กทีได้บ่
อ้ายสิเฮ็ดให้เจ้าได้เข้าใจ
ถ้าอยากฮู้ฮักแท้นั่นเป็นจั่งใด๋
ลองคบกันดูจั๊กที

ลองคบกันดูจั๊กที",monkan_kankoon
คิดฮอดทุกคน,/music/thailyric/13094,"น้องนิดอุดรน้องพรขอนแก่น
อุบลน้องแนนสาวแอนคนกาฬสินธุ์
เมืองเลยน้องเอิร์น อำนาจเจริญน้องพิน
ร้อยเอ็ดคนชื่อกระถินน้องนรินทร์อยู่มุกดาหาร

สาวน้ำสกลฯ สาวมลหนองคาย
สารคามน้องอายสาววิไลเป็นคนบึงกาฬ
โคราชน้องสมนครพนมน้องตาล
ชัยภูมิน้องแอร์คนนั้น
สาว อัน อัน หนองบัวลำภู

คิดฮอดทุกคนถึงดนแล้วบ่พ้อหน้า
เบอร์ที่ให้มา ยังเมมติดมือถืออยู่
บ่ได้โทรหาบ่ได้แปลว่าลืมโปรดรู้
คนที่เคยไปมาหาสู่ ยังอยู่ในใจเสมอ

สุรินทร์น้องอร ยโสธรน้องอ่ำ
สาวบุรีรัมย์คนนางรองชื่อจอมเคยเจอ
ศรีสะเกษน้องงามทุกนามจำได้เสมอ
ถึงงานพรากใจอดเจอ
แต่ฮู้แนเด้อคิดฮอดทุกคน

คิดฮอดทุกคนถึงดนแล้วบ่พ้อหน้า
เบอร์ที่ให้มา ยังเมมติดมือถืออยู่
บ่ได้โทรหาบ่ได้แปลว่าลืมโปรดรู้
คนที่เคยไปมาหาสู่ ยังอยู่ในใจเสมอ

สุรินทร์น้องอร ยโสธรน้องอ่ำ
สาวบุรีรัมย์คนนางรองชื่อจอมเคยเจอ
ศรีสะเกษน้องงามทุกนามจำได้เสมอ
ถึงงานพรากใจอดเจอ
แต่ฮู้แนเด้อคิดฮอดทุกคน
ถึงงานพรากใจอดเจอ
แต่ฮู้แนเด้อคิดฮอดทุกคน",monkan_kankoon
เจ้าตั๋วว่าฮักอ้าย,/music/thailyric/14371,"บ่ต้องเว้าดอกหล่า
ประหยัดไว้สาคำอธิบาย
บ่ต้องบอกเหตุผลให้มากมาย
ถ้าจุดหมายเจ้าคือจบเท่านั้น
กะบ่แม่นฮักดอกติ๊ กับหลายปีที่เฮามีหยังกัน
เมื่อบ่มีเยื่อใยต่อความฝัน ก็ถึงวันอ้ายต้องอกหัก

คงเบิ่ดคักเบิ่ดแนแล้วเนาะ
บ่มีทางไปต่อแล้วน้อฮัก
เป็นย้อนหยังอ้ายบ่อยากฮู้จัก
แต่เสียใจคัก เมื่อคิดฮอดวันที่ผ่านมา

เจ้าตั๋วว่าฮักอ้าย
เจ้าทำท่าฮักหลายจนอ้ายเชื่อ
สู้เพื่อฮักบ่เคยเหนื่อยบ่เคยเบื่อ
ก็เพื่อความฝัน เพื่อคำสัญญา
นี่บ้อคนว่าฮักอ้าย บัดสิไปเว้าง่ายๆ ว่าจบหนา
ความผูกพันเนิ่นนานที่ผ่านมา
บ่มีค่า บ่มีแฮง สิเหนี่ยวรั้ง

บ่ต้องเว้าดอกหล่า เอาเก็บไว้สาคำว่าห่วงหลาย
ปล่อยให้คนถืกตั๋วคืออ้าย ได้สาใจกับฮักที่พ่ายพัง
เวลาดีดีของชีวิต ที่อ้ายอุทิศเพื่อเฮาทุกอย่าง
ระเบิดเวลาเจ้าฝังไว้ที่ปลายทาง คือฮักฮ้างฮ้าง
โอ๊ย มันเจ็บคัก

คงเบิ่ดคักเบิ่ดแนแล้วเนาะ
บ่มีทางไปต่อแล้วน้อฮัก
เป็นย้อนหยังอ้ายบ่อยากฮู้จัก
แต่เสียใจคัก เมื่อคิดฮอดวันที่ผ่านมา

เจ้าตั๋วว่าฮักอ้าย
เจ้าทำท่าฮักหลายจนอ้ายเชื่อ
สู้เพื่อฮักบ่เคยเหนื่อยบ่เคยเบื่อ
ก็เพื่อความฝัน เพื่อคำสัญญา
นี่บ้อคนว่าฮักอ้าย บัดสิไปเว้าง่ายๆ ว่าจบหนา
ความผูกพันเนิ่นนานที่ผ่านมา
บ่มีค่า บ่มีแฮง สิเหนี่ยวรั้ง

อ้ายเพิ่งรู้ว่าวันที่ผ่านมา
เจ้าบ่เคย เจ้าบ่เคย บ่เคยฮักอ้ายเลย",monkan_kankoon
ใจเติมเต็ม,/music/thailyric/22224,"บอกเลยยังไหว เพราะกำลังใจจากเจ้า
แม้ทางทอดยาว แต่เฮามีฮักเติมใจ
เติมแรงเต็มที่ อ้ายพร้อมทุ่มเทเพื่อฝันที่ใฝ่
บ่มีหวั่นไหว ตอนนี้หัวใจเติมเต็ม
เต็ม เต็ม เต็ม เต็ม

มีอุปสรรคกำแพง
ก็พร้อมจะลุยให้เห็นดำแดง
ไม่หวั่นงานหนัก งานเหนื่อย งานแรง
แค่เห็นยิ้มเธอ แม่นางฟ้าจำแลง

เจ้าคำแพง กำลังใจกองใหญ่
ถึงแม้ล้มก็อยากจะลุกลองใหม่
ใจห่อเหี่ยวเจ้าก็เติมพองใหญ่
จะมีบ้าน มีรถ ให้เจ้ามีทองใส่

ริ้นตอมไต่พี่จะไม่ให้ตอม
หนักแค่ไหนใจสั่งไม่ให้ยอม
ได้ค่าแรงส่งไปให้เจ้าออม
เก็บไว้สร้างเรือนหอแล้วส่งเจ้าเข้านอน

ยังมีเเรง ยังมีหวัง ทุกหยาดเหงื่อสู้ตามความฝัน
บ่มีถอย ฮักเเพงกันเด้ออ้าย

บอกเลยยังไหว เพราะกำลังใจจากเจ้า
แม้ทางทอดยาว แต่เฮามีฮักเติมใจ
เติมแรงเต็มที่ อ้ายพร้อมทุ่มเทเพื่อฝันที่ใฝ่
บ่มีหวั่นไหว ตอนนี้หัวใจเติมเต็ม

เติม เติม เติม เติม เติม เติม เติม
เติม เติม เติม เติม ตะ ดา เดิม
ตะดาเดิม  ตะดาเดิม  ตะดาเดิม เติมเติม

อ้ายพร้อมจะลุยงานหนัก
งานเจาะ งานเจียร งานตกแต่ง งานตัด
สู้อดทน ฝ่าฟันกำหมัด
เพราะมีเจ้าเติมแรงให้ไม่มีจำกัด

มีอุปสรรคอ้ายบ่เคยยั่น
ต่อให้อะไรมากีดเกยกั้น
ปั๊มลมหายใจให้ฮึดมาเลยนั่น
จะได้มีสินสอดไปขอทรามเชยหมั้น

มิอาจปั้นวิมานฉิมพลีข้างตัว
สองมือจะสร้างเนื้อสร้างตัว
พายุแรงก็ดูไม่น่ากลัว
เพราะมีเจ้าเติมใจในวันที่พร่ามัว

ยังมีเเรง ยังมีหวัง ทุกหยาดเหงื่อสู้ตามความฝัน
บ่มีถอย ฮักเเพงกันเด้ออ้าย

บอกเลยยังไหว เพราะกำลังใจจากเจ้า
แม้ทางทอดยาว แต่เฮามีฮักเติมใจ
เติมแรงเต็มที่ อ้ายพร้อมทุ่มเทเพื่อฝันที่ใฝ่
บ่มีหวั่นไหว ตอนนี้หัวใจเติมเต็ม
เต็ม เต็ม เต็ม เต็ม

อาจมีบางมื่อ ต้องผ่อพายุอื้ออึง
ถึงคราวล้มตึง เจ้าก็ดึงอ้ายลุกขึ้นใหม่
เพื่ออนาคต เฮาสิอดทนนำกันไป
สิบ่ท้อถอย พร้อมทุ่มซุแฮงรวดเร็วฉับไว
บ่มีถอดใจ ตอนนี้หัวใจเติมเต็ม

เติมใจ เติมใจให้แหน่ เด้อ
มาเติมใจ เติมใจให้อ้าย
อย่าช้าคักหลาย เอ้าเติม เติม เติม เติม

บอกเลยยังไหว เพราะกำลังใจจากเจ้า
แม้ทางทอดยาว แต่เฮามีฮักเติมใจ
เติมแรงเต็มที่ อ้ายพร้อมทุ่มเทเพื่อฝันที่ใฝ่
บ่มีหวั่นไหว ตอนนี้หัวใจเติมเต็ม

เติม เติม เติม เติม เติม เติม เติม
เติม เติม เติม เติม ตะ ดา เดิม
ตะดาเดิม  ตะดาเดิม  ตะดาเดิม เติมเติม

ตอนนี้หัวใจเติมเต็ม
เติม เติม เติม เติม เติม เติม เติม
เติม เติม เติม เติม ตะ ดา เดิม
ตะดาเดิม  ตะดาเดิม  ตะดาเดิม เติมเติม

ตอนนี้หัวใจเติมเต็ม
เต็ม เต็ม เต็ม เต็ม",monkan_kankoon
ชาติหน้าฮักอ้ายเด้อ,/music/thailyric/18580,"ดึกดื่นเดือนบ่แจ้ง บ่มีแสงที่สว่าง มืดคือทางฮักอ้าย ในใจน้องส่องบ่มี
ล่ะจังแม่นในชาตินี้ อ้ายนั่นฮักแต่เธอหลาย
สาธุเด้อ ชาติสิมาให้มีใจ ฮักพี่ชายแนเด้อน้อง

ใจเราเอ๋ย เขาไม่เคยใยดี ชาติหน้ามี ขอให้อ้ายสมหวัง
หญิงคนนั้น ที่คิดถึงเขาจัง ในความหวัง ความคิดถึงคือเธอ
ชาตินี้เจ้าบ่ฮักอ้ายเลย ไม่เคยแม้แต่ในความเผลอ
สายตาอ้ายบ่เคยหาเจอ รู้ตัวเสมอ รักเธอรักเขาข้างเดียว

เหลียวหาช่อง แม่นมองมุมใด๋ เป็นไปบ่ได้จั๊กอย่าง
เธอบ่ฮักอ้าย เลยได้แค่ฝัน
แต่กี้นั้นคิดว่าเพราะมีเขา คอยเป็นเงาอยู่บังใจไว้
แท้บัดใด๋แม่นบ่มีเขานั้น บ่ปันใจให้พี่
ความจริงเรื่องนี้กะคือเจ้าบ่ฮักเลย

ไม่เคยอยู่ในทางสายตา นานมาเจ็บอิหลีคืออ้าย
จักเด้จั๊กสิเฮ็ดจังใด๋ จนถึงวันตาย ยืนยันคำนั้นรักเธอ
เจ้าว่าขอ ให้อ้ายตัดใจ หาใหม่ฮักคนอื่นแนเด้อ
ไม่เลยอ้ายบ่เคยลืมเธอ มั่นคงเสมอ รักเธอไม่เคยเปลี่ยนใจ

ขอเก็บไว้ที่สุดในใจเก็บไว้เป็นหนึ่ง ถึงในชาตินี้บ่มีได้แน่นอน
สาธุถ่อนชาติใหม่มีจริง วิงวอนนบสิ่งศักดิ์สิทธิ์ช่วย
มีใจด้วยตรงกันกับพี่ อย่าเจ็บจังซี้ ความช้ำอย่าหน่ำมา

ชาติหน้าเจ้าฮักอ้ายได้บ่ ขอให้อ้ายได้เป็นคู่ครอง
สายตาเธอให้หันมามอง ฮักอ้ายหมายปอง เป็นคู่ครองของเธอ
กราบวิงวอนเทพไท้เทวา ภาวนาขอให้เราได้เจอ
สายแนนขอให้อ้ายและเธอ ฮักกันแนเด้อฮักกันชั่วฟ้ามลาย

คืนวันใจมันคร่ำครวญ มากมายยิ่งนัก
ฮักอ้ายฮักแต่เจ้าหลายๆ บ่ลืมได้เลย

ใจเอ๋ยจนถึงวันนั้น ยืนยันฮักเจ้าบ่หน่าย
ชาตินี้เป็นไปบ่ได้ หาหม่องป่องบ่มี หัวใจพี่ยังหวังชาติใหม่
ขอให้ฮักสมหวังชาติใหม่ คือสุดหัวใจบ่มายม้าง",monkan_kankoon
