song_name,href,lyric,artist
ฉันจะทำยังไงดี,/music/thailyric/2374,"แย่จังเลย ไม่รู้เป็นไง
แต่ว่าเหมือนอากาศมันถูกแย่งหมดเลย
หายใจเร็ว และขาสั่นๆ
อยากจะเรียกรถพยาบาล มาเร็วๆ เดี๋ยวขาดใจ

ใกล้ทีไรยังงี้ทุกที ก็ต้องหน้าแดงๆ
สุกก่ำแทบระเบิดเลย ไม่เอานะ
อย่าเพิ่งมองมา จะให้รู้
ว่ามีอะไรๆ ในใจได้ไงหล่ะ

โอ๊ย ทำไงจะให้ฉันทำไง
ให้รับความจริง ไม่เอาไม่มีทาง
รักเธอจริง อายจะพูดมันจัง
เก็บไว้ในใจ มันก็คงจะแตกตาย

บางเวลาก็หวานดี บางนาทีก็เปรี้ยวใจ
แล้วอยู่ๆ ก็เหงาโดดเดี่ยวซะงั้น
มันทำไมจะต้องเธอ เธอทำไมต้องแกล้งกัน
ความรู้สึกของฉันควบคุมไม่ได้เลย

ใกล้เข้ามา อย่าใกล้กันเลย
แบบว่า เอ๊ะ กังวลรู้สึกไม่ปลอดภัย
ก็มันกลัว ถ้าใกล้เกินไป
ก็ระงับอะไรในใจไม่อยู่จะหลุดเดี๋ยวหมดกัน
แล้วที่จริงต้องใกล้เท่าไหร่กะระยะยังไง
เท่าไหร่ถึงจะดี แย่จังเลยสับสนวุ่นวาย
ตัวฉันมันเป็นอะไรไม่เป็นตัวเองได้อย่างงี้

โอ๊ย ทำไงจะให้ฉันทำไง
ให้พูดความจริง ที่จริงก็หน้าบาง
โอ๊ยเอาไง อายจะพูดมันจัง
ให้ฉันทำไง ใครก็ได้ช่วยบอกที

บางเวลาก็หวานดี บางนาทีก็เปรี้ยวใจ
แล้วอยู่ๆ ก็เหงาโดดเดี่ยวซะงั้น
มันทำไมจะต้องเธอ เธอทำไมต้องแกล้งกัน
ความรู้สึกของฉันควบคุมไม่ได้เลย

โอ๊ย ทำไงจะให้ฉันทำไง
ให้รับความจริง ไม่เอาไม่มีทาง
รักเธอจริง อายจะพูดมันจัง
เก็บไว้ในใจ มันก็คงจะแตกตาย

โอ๊ย ทำไงจะให้ฉันทำไง
ให้พูดความจริง ที่จริงก็หน้าบาง
โอ๊ย เอาไง อายจะพูดมันจัง
ให้ฉันทำไง ใครก็ได้ช่วยบอกที

บางเวลาก็หวานดี บางนาทีก็เปรี้ยวใจ
นี่มันเกิดอะไรกับใจของฉัน
มันทำไมจะต้องเธอ เธอทำไมต้องแกล้งกัน
ความรู้สึกของฉันควบคุมไม่ได้เลย

โอ๊ย ทำไงจะให้ฉันทำไง
ให้รับความจริง ไม่เอาไม่มีทาง
รักเธอจริง อายจะพูดมันจัง
เก็บไว้ในใจ มันก็คงจะแตกตาย

โอ๊ย ทำไงจะให้ฉันทำไง
ให้พูดความจริง ที่จริงก็หน้าบาง
โอ๊ย เอาไง อายจะพูดมันจัง
ให้ฉันทำไง ใครก็ได้ช่วยบอกที

โอ๊ย ทำไงจะให้ฉันทำไง
ให้รับความจริง ไม่เอาไม่มีทาง
รักเธอจริง อายจะพูดมันจัง
เก็บไว้ในใจ มันก็คงจะแตกตาย",namcha_sheranut
ยังไม่พร้อมฟัง,/music/thailyric/2377,"ความจริงก็รู้มาแล้วช่วงหนึ่ง
เมื่อวันที่หวานที่ซึ้งเริ่มแห้งไป
ฉันรู้สึกว่าเธอ ค่อยค่อยทำตัวเหินห่าง
สบตาไม่เห็นแม้สักอย่าง ที่แปลว่าเหลือเยื่อใย

ยังไงวันนั้นมันคงต้องมา ในอีกไม่ช้าเธอคงพูดว่าไป
ฉันระแวงทุกที หวั่นไหวทั้งทั้งที่รู้ตัว
เธอโทรมาหาก็กลัว ตัดใจไม่รับไม่สนใจ

ยังไม่พร้อมที่จะฟัง ไม่รับสายไม่อยากฟัง
วันนี้ฉันยัง เข้มแข็งไม่พอได้ยินเธอลา
เบอร์เธอที่โชว์อยู่ นั่งดูด้วยน้ำตา
รับรู้ว่าใกล้แล้วสินะ จะไม่มีเธอ

แค่อยากจะยื้อให้นานเท่านาน
เผื่ออาจมีวันที่เธอนั้นคิดใหม่
หรือว่าให้ถึงวัน ที่ใจของฉันพร้อมจะทน
อยู่โดยไม่มีแล้วคน หนึ่งคนที่รักเขาล้นใจ

ยังไม่พร้อมที่จะฟัง ไม่รับสายไม่อยากฟัง
วันนี้ฉันยัง เข้มแข็งไม่พอได้ยินเธอลา
เบอร์เธอที่โชว์อยู่ นั่งดูด้วยน้ำตา
รับรู้ว่าใกล้แล้วสินะ จะไม่มีเธอ

ยังไม่พร้อมที่จะฟัง ไม่รับสายไม่อยากฟัง
วันนี้ฉันยัง เข้มแข็งไม่พอได้ยินเธอลา
เบอร์เธอที่โชว์อยู่ นั่งดูด้วยน้ำตา
รับรู้ว่าใกล้แล้วสินะ จะไม่มีเธอ

ไม่เชื่อต้องเชื่อแล้วสินะ ว่าจบจริงจริง",namcha_sheranut
คือเธอ,/music/thailyric/2372,"กว่าจะเจอรักแท้ที่ต้องการ
วันเวลายาวนานคือการพิสูจน์
ว่าใคร ที่จะมีรักจริงสักที

มันไม่ใช่เรื่องง่ายที่จะเจอ
คนดีดีสักคนจะเดินเข้ามา ในหัวใจ
ให้ชีวิตสมบูรณ์อย่างนี้

เธอคนเดียวที่ฉันภูมิใจ
เธอคนเดียวที่ฉันซึ้งใจ
รู้ไหมว่าการกระทำของเธอ
มันซื้อหัวใจฉันไป หมดแล้ว

ที่นอกหน้าต่าง เกิดเรื่องร้ายร้าย
จะถูกใครใคร ทำร้ายฉันไม่หวาดกลัว
เธออยู่ข้างฉันเสมอ
เมื่อไรที่เจ็บจนเสียน้ำตา แค่มองหันมาจะเจอ
คนเดียวที่คอยจะเช็ดน้ำตาให้ฉัน

เมื่อมีพายุฝนกระหน่ำ คนคนเดียวที่พร้อมเดินตาม
เปียกปอนไปพร้อมพร้อมกัน คือเธอ

ฉันก็รู้ว่าฉันนั้นโชคดี ที่บังเอิญมาเจอคนที่รู้ใจ
เข้าใจ ไม่ว่าฉันจะเป็นอย่างไร
มันไม่ใช่ง่ายง่ายที่จะเจอ
มีคนเป็นล้านคนที่เดินเข้ามา
โชคดี ที่ได้พบได้เจอกับเธอ

เธอคนเดียวที่ฉันภูมิใจ
เธอคนเดียวที่ฉันซึ้งใจ
รู้ไหมว่าการกระทำของเธอ
มันซื้อหัวใจฉันไป หมดแล้ว

ที่นอกหน้าต่าง เกิดเรื่องร้ายร้าย
จะถูกใครใคร ทำร้ายฉันไม่หวาดกลัว
เธออยู่ข้างฉันเสมอ
เมื่อไรที่เจ็บจนเสียน้ำตา แค่มองหันมาจะเจอ
คนเดียวที่คอยจะเช็ดน้ำตาให้ฉัน

เมื่อมีพายุฝนกระหน่ำ คนคนเดียวที่พร้อมเดินตาม
เปียกปอนไปพร้อมพร้อมกัน คือเธอ

คนเดียวที่รักฉันจริง คือเธอ",namcha_sheranut
ฉันรู้,/music/thailyric/8257,"ฉันรู้และเข้าใจได้ดี
เธอนั้นมีเจ้าของคนใหม่แล้ว
ฉันรู้ว่าอาจทำให้เธอเดือดร้อนใจ

ฉันขอแค่เพียงอีกไม่นาน
จะเร่งทำตามที่เธอต้องการ
รอเพียงให้ความทรมานมันน้อยลง

ถ้าหากมองฟ้า ไม่เสียน้ำตาวันไหน
ค่ำลงเมื่อไหร่หน้าเธอไม่ลอยเข้ามา
ถ้าหากฟังเพลงเศร้าๆแล้วฉันไม่มีน้ำตา
ฉันก็จะขอสัญญา ฉันจะไป

ฉันรู้ว่าอยากให้ฉันไป
ไม่ต้องอยู่ใกล้ๆเธออย่างนี้
ฉันรู้ว่าอยากให้เรื่องเราจบซะที

ถ้าหากมองฟ้า ไม่เสียน้ำตาวันไหน
ค่ำลงเมื่อไหร่หน้าเธอไม่ลอยเข้ามา
ถ้าหากฟังเพลงเศร้าๆแล้วฉันไม่มีน้ำตา
ฉันก็จะขอสัญญา ฉันจะไป

คนเคยรักกันหมดใจ อยู่ๆจะให้ไกลกัน
อยู่ๆหมดความสำคัญ
จะให้ทำใจได้อย่างไร

ถ้าหากมองฟ้า ไม่เสียน้ำตาวันไหน
ค่ำลงเมื่อไหร่หน้าเธอไม่ลอยเข้ามา
ถ้าหากฟังเพลงเศร้าๆแล้วฉันไม่มีน้ำตา
ฉันก็จะขอสัญญา ฉันจะไป",namcha_sheranut
ไม่เคยแพ้ใครแต่ไม่ชนะใจเธอ,/music/thailyric/8258,"ตัดใจไม่ลง ตัดใจไม่เคยขาด
ภาพของเธอก็ยังเข้ามากวนใจ
บาดตาบาดใจทุกครั้ง
ทั้งๆที่เธอ ไม่รักไม่สนใจ
แต่ทำไมข้างใน ใจฉันยังหวั่นยังไหว
พร้อมทั้งคำถามคาใจ
ว่าทำไมเธอจึงไม่รักกัน

ฉันเป็นคนที่ไม่เคยแพ้ ไม่ว่าใคร
แพ้ไม่เป็นไม่ว่ายากเย็นสักเท่าไหร่
แต่การจะทำให้เธอ นั้นเห็นใจ
ไม่รู้ทำไมยากเย็นเหลือเกิน
แต่ที่รู้ ฉันยังไม่เคยชนะใจเธอ
ลองทำทุกทาง ทำดีทุกๆ อย่าง
ทุ่มเทไปเท่าไรก็ดูเลือนลาง
ไม่มีประโยชน์สักครั้ง

เธอยังเหมือนเดิม ไม่รักไม่สนใจ
ก็ไม่รู้ว่าฉันต้องเสียน้ำตาแค่ไหน
หรือเป็นความภาคภูมิใจ
ที่ทำลายใจฉันไม่เหลือเลย

ฉันเป็นคนที่ไม่เคยแพ้ ไม่ว่าใคร
แพ้ไม่เป็นไม่ว่ายากเย็นสักเท่าไหร่
แต่การจะทำให้เธอ นั้นเห็นใจ
ไม่รู้ทำไมยากเย็นเหลือเกิน
แต่ที่รู้ ฉันยังไม่เคยชนะใจเธอ

ความพยายามของฉันมันคงไม่มีความหมาย
จะทำยังไง เธอก็ไม่รัก

ฉันเป็นคนที่ไม่เคยแพ้ ไม่ว่าใคร
แพ้ไม่เป็นไม่ว่ายากเย็นยากสักเท่าไหร่
แต่การจะทำให้เธอนั้นเห็นใจ
ไม่รู้ทำไมยากเย็นเหลือเกิน
แต่ที่รู้ฉันยังไม่เคยชนะใจเธอ
เธอคนเดียวที่ยื่นคำว่าพ่ายแพ้ให้ฉัน",namcha_sheranut
รักทุกฤดู,/music/thailyric/2378,"นับแต่วันที่เจอเธอแล้ว
ฉันได้เจอกับความเปลี่ยนแปลงมากมายเหลือเกิน
เหมือนฤดูที่ต่าง ฉันได้เจอกับฤดูร้อน
แสงตะวันส่องใจที่เคยหม่นหมองให้ละลาย

อยู่ๆ ก็มีลมฝนที่ตกหล่นมาเป็นสาย
เป็นฤดูที่เหงาใจ เหน็บหนาวหัวใจมากๆ เลย
ติดอยู่ในฤดูรัก ไม่อาจตัดใจออกไปไกลเธอสักครั้ง

ยังไงก็รักเธอคนเดียว คนเดียวที่รักทั้งหัวใจ
วันเวลาผ่านไป ฤดูเปลี่ยน
ฉันไม่เปลี่ยน รักเธออยู่อย่างนั้น
เธอคือความรักทุกฤดู คือฤดูรักที่ยาวนาน
เธอคือความผูกพันที่คอยผูกใจฉันอยู่
รักเธออยู่เหมือนเดิม

แม้ว่าวันต่อไปจากนี้
แม้จะมีอะไรเปลี่ยนไปมากมายก็ตาม
มันไม่ใช่เรื่องใหญ่ แม้ว่ามันจะมีวันนั้น
ฉันกับเธออาจเจอกับความขัดแย้งไม่เข้าใจ

สิ่งหนึ่งที่ใจมันรู้ อยากบอกให้เธอได้รู้
ความรักมันไม่หายไป ยังหมุนรอบเธอทุกๆ วัน
จะผ่านไปฤดูไหน ไม่อาจเปลี่ยนใจจากเธอไปเลยสักครั้ง

ยังไงก็รักเธอคนเดียว คนเดียวที่รักทั้งหัวใจ
วันเวลาผ่านไป ฤดูเปลี่ยน
ฉันไม่เปลี่ยน รักเธออยู่อย่างนั้น
เธอคือความรักทุกฤดู คือฤดูรักที่ยาวนาน
เธอคือความผูกพันที่คอยผูกใจฉันอยู่
รักเธออยู่เหมือนเดิม

วันนี้ วันไหน ให้รู้ไว้อย่างฉันจะยังรักเธอ

ยังไงก็รักเธอคนเดียว คนเดียวที่รักทั้งหัวใจ
วันเวลาผ่านไป ฤดูเปลี่ยน
ฉันไม่เปลี่ยน รักเธออยู่อย่างนั้น
เธอคือความรักทุกฤดู คือฤดูรักที่ยาวนาน
เธอคือความผูกพันที่คอยผูกใจฉันอยู่
รักเธออยู่เหมือนเดิม",namcha_sheranut
รักน่าดู,/music/thailyric/2380,"รักน่าดู ดูหน้าฉันดู
ดูเหมือนคนที่โกหกเธออยู่หรือไง
รักน่าดู ให้ไปบอกใครคนไหน
ก็ไม่ซึ้ง เมื่อใจฉันอยู่ที่เธอ

อิ เซซัง ดัน ฮานา ปุน อิน
คึเด เอเก แน มาอึมมึล ปาชินึน โนแล
โอจิก นอ ฮานามันนึล วอนแฮ
คึเดมันนึล เฮียงฮัน ซาลังเอ โคแบ็ก

จุโก โต จุโก แน จอนบุลึล จุโก ชิพพอ 
ออนเจดึน เนเก คีแด นอมันเอ ซิมทอ
บัดนึน กอทโบดา จุนึน กอชี
ทอ อาลึมดาวุน กอท It's the love

นะนะช่วยอยู่ข้างกันเสมอไป
นัน นอมันนึล วีฮัน อิลอิลคู 
อีชิบซา ชีกัน ออนเจนา แดกีจุง
นะนะพูดหน่อยนะ I love you
นอล วีฮัน special เพลโซลี 
เซซัง คาจัง คาซึม ตวีนึน melody

เธอเดินเข้ามาจองทั้งสี่ห้องหัวใจ
เราอยู่ใกล้กันจนชักหน้าตาคล้ายคล้าย
ท้องฟ้า หลังคาตึก ดูดีซะทุกอย่าง
เปล่าเวอร์นะ เหมือนเดินบนทาง
ที่มันโปรยไปด้วยดอกไม้

รักน่าดู ดูหน้าฉันดู
ดูเหมือนคนที่โกหกเธออยู่หรือไง
รักน่าดู ให้ไปบอกใครคนไหน
ก็ไม่ซึ้ง เมื่อใจฉันอยู่ที่เธอ

ซนกาลักกี อะพึโดลก
นอวา จุโกบัดนึน มุนจา
ชอนฮวากีกา ตึก็อบโดลก
ชากี จอนเอ บัมแซ ทงฮวา

จอมจอม จุลอคานึน ชินกุวาเอ ยักซก
กัมจัก ซอนมุลโล นุนมุลเล คัมดง
ทาลึน ยอจา ยอนลักช่อ โมดู จีวอ 
คึเดเอเก จอมซู ตากี
วีฮัน โอบอ แอ็กช่อน

(My love) baby come to me
(I want you) you my destiny
อูลี ซาจินนือโล โดแบ็กเดวน มินิโฮมพึ
อูลี ดุลมัน เชมีอิซนึน ยูชีฮัน นลลี

Hey love you U A-Yo นึกิล ซู อิซนี?
ชวีมี มัลทุ มีโซ โมดูกา 
จอมจอม ดัลมาคานึน นอวา นา

เธอเดินเข้ามาจองทั้งสี่ห้องหัวใจ
เราอยู่ใกล้กันจนชักหน้าตาคล้ายคล้าย
ท้องฟ้า หลังคาตึก ดูดีซะทุกอย่าง
เปล่าเวอร์นะ เหมือนเดินบนทาง
ที่มันโปรยไปด้วยดอกไม้

รักน่าดู ดูหน้าฉันดู
ดูเหมือนคนที่โกหกเธออยู่หรือไง
รักน่าดู ให้ไปบอกใครคนไหน
ก็ไม่ซึ้ง เมื่อใจฉันอยู่ที่เธอ

อูลี วังบยอกฮัน ดูเอ็ท ชอบุนนี ฮานา ดุล เซ็ท
ซอโลเอ มาอึมมึล แชวอกา
โซจุงฮัน ซาลังอึล แพวอกา 
อี เซซัง นอวา นา you and me

ออนเจนา แน กยอทเท มอ มุลลอ จุเก็ทนี
ยองวอนฮี ฮังซัง บยอนฮัมออบนึน นอมันเอ พันจก
แซกี ซนกาลักกึล กอลโก จา ยักซก

คึแล แนกา นอเอ จาลังซึลอน นัมจาชินกู
นอน ซาลังซึลอน แน ยอจาชินกู
คุงจากี ตัก มัจนึน จักกุง
นุกา บวาโด ทึลลิม ออบนึน เชวโกเอ จักพุม

Internet ซก ฮวาเลียวฮัน คอพพึล
ชอนยอ อัน บุลอวอ คอกจองฮาจี มา บาลัม
ตาอุน นัมพยอน
You feel me I wanna be your นัมพยอน

เธอเดินเข้ามาจองทั้งสี่ห้องหัวใจ
เราอยู่ใกล้กันจนชักหน้าตาคล้ายคล้าย
ท้องฟ้า หลังคาตึก ดูดีซะทุกอย่าง
เปล่าเวอร์นะ เหมือนเดินบนทาง
ที่มันโปรยไปด้วยดอกไม้

เธอเดินเข้ามาจองทั้งสี่ห้องหัวใจ
เราอยู่ใกล้กันจนชักหน้าตาคล้ายคล้าย
ท้องฟ้า หลังคาตึก ดูดีซะทุกอย่าง
เปล่าเวอร์นะ เหมือนเดินบนทาง
ที่มันโปรยไปด้วยดอกไม้

รักน่าดู ดูหน้าฉันดู
ดูเหมือนคนที่โกหกเธออยู่หรือไง
รักน่าดู ให้ไปบอกใครคนไหน
ก็ไม่ซึ้ง เมื่อใจฉันอยู่ที่เธอ

รักน่าดู 1 and 2 and 3 and 4
อีเจ แน ซนนึล จับโก (let's go)
รักน่าดู I ma stick with you
นอ ฮานามันนึล วอนแฮ นอล วีฮัน โนแร
Feel this song

รักน่าดู 1 and 2 and 3 and 4
นอน นามันเอ บันจก (Say ho)
ยองวอนฮี ฮัมเก ฮัล นอวา นา ทา กัทชี เวช่อ
อยากให้รู้ว่าใจฉันอยู่ที่เธอ It's the love",namcha_sheranut
ลมเพ ลมพัด,/music/thailyric/2381,"ลมเพลมพัด เดี๋ยวก็มา
เดี๋ยวก็ไป เดี๋ยวก็มาหายตัว
เดี๋ยวก็รัก เดี๋ยวไม่รัก ยังไม่ค่อยชัวร์
เธอเอายังไง จะยังไงชักจะปวดหัว
ไม่ลงตัว ดูไปยังไงก็คงไม่เกิด

ลมเพลมพัด เดี๋ยวก็พัด
เดี๋ยวก็เพ เดี๋ยวก็หักเหไป
เดี๋ยวก็รุก เดี๋ยวก็รับ เดี๋ยวก็รุ่นใหญ่
เธอคงไม่รู้มั้งว่ารักมันไม่มีไซส์
วุ่นวายใจ ดูไปยังไงก็คงไม่เกิด

รักถ้าเป็นภาระ
สงสัยเราคงต้องมานั่งคุยกันหน่อย
รักถ้าเป็นปัญหา
ปล่อยไว้ค้างๆ คาๆ ก็คงต้องถอย

ลมเพลมพัด ให้มันชี้
ให้มันชัด ไม่ต้องมายืดยาว
เธอจะยื้อ เธอจะย้าย เธอก็เลือกเอา
ฉันไม่บังคับ เธอไม่รับ ฉันไม่รบเร้า
เรื่องของเรา ดูไปยังไงก็คงไม่เกิด

ลมเพลมพัด ให้มันชี้
ให้มันชัด ไม่ต้องมายืดยาว
เธอจะยื้อ เธอจะย้าย เธอก็เลือกเอา
ฉันไม่บังคับ เธอไม่รับ ฉันไม่รบเร้า
เรื่องของเรา ดูไปยังไงก็คงไม่เกิด

รักถ้าเป็นภาระ
สงสัยเราคงต้องมานั่งคุยกันหน่อย
รักถ้าเป็นปัญหา
ปล่อยไว้ค้างๆ คาๆ ก็คงต้องถอย

ลมเพลมพัด ให้มันชี้
ให้มันชัด ไม่ต้องมายืดยาว
เธอจะยื้อ เธอจะย้าย เธอก็เลือกเอา
ฉันไม่บังคับ เธอไม่รับ ฉันไม่รบเร้า
เรื่องของเรา ดูไปยังไงก็คงไม่เกิด",namcha_sheranut
สองใจรวมกัน,/music/thailyric/8253,"ใจเธออยู่ข้างซ้ายของเธอ
ใจของฉันก็อยู่ข้างซ้ายเหมือนกัน
แต่เมื่อฉันยืนใกล้เธอ
กลับมีหัวใจเธออยู่ข้างขวา

ใจเราจะตรงกันเมื่อไหร่
จะมีทางที่จะเป็นไปได้หรือเปล่า
เป็นไปได้ถ้ามีเธอ
อยู่ข้างหลังหันไปทางเดียวกัน

เมื่อความรักนี้เกิดปะทุขึ้นในใจเราพร้อมๆ กัน
เมื่อใกล้ชิดเมื่อมีความคิดที่ตรงกัน
เมื่อความรักนั้นหลอมรวมจิตใจ

เธออยู่ตรงข้ามฉัน
และมีฉันอยู่ตรงกันข้ามเมื่อใด
ปล่อยให้ใจข้างขวาข้างซ้ายรวมกัน
เมื่อเรานั้นได้สวมกอดได้สมใจ

ใจเธออยู่ข้างขวาของฉัน
ใจของฉันก็อยู่ข้างขวาของเธอ
ความรักนี้ช่างยิ่งใหญ่
เมื่อมีสองใจมาอยู่รวมกัน

เมื่อความรักนี้เกิดปะทุขึ้นในใจเราพร้อมๆ กัน
เมื่อใกล้ชิดเมื่อมีความคิดที่ตรงกัน
เมื่อความรักนั้นหลอมรวมจิตใจ

เธออยู่ตรงข้ามฉัน
และมีฉันอยู่ตรงกันข้ามเมื่อใด
ปล่อยให้ใจข้างขวาข้างซ้ายรวมกัน
เมื่อเรานั้นได้สวมกอดได้สมใจ

เธออยู่ตรงข้ามฉัน
และมีฉันอยู่ตรงกันข้ามเมื่อใด
ปล่อยให้ใจข้างขวาข้างซ้ายรวมกัน
เมื่อเรานั้นได้สวมกอดได้สมใจ
กอดให้สมใจ ได้แนบชิดกัน
โอบกอดเธอให้นาน",namcha_sheranut
อย่างน้อยก็เพื่อน,/music/thailyric/8256,"แค่อยากจะโทรหา เมื่อรู้ว่าเธอทุกข์ใจ
ในวันที่เลวร้าย ไม่มีใครเข้าใจเธอ
อยากบอกว่าคนนี้
ก็พร้อมจะรับฟังอยู่เสมอ

บังเอิญได้ยินว่าเธอ
ไม่กินไม่นอนเพราะว่าผิดหวัง
ฉันจะทำไม่แคร์ก็ทำไม่ได้

อย่างน้อยก็เพื่อนคนหนึ่งที่เคยรัก
เมื่อรู้ว่าเพื่อนกำลังเดือดร้อนใจ
อดคิดไม่ได้ไม่ใช่อะไร
เพราะยังคงห่วงใยนะ
ไม่ใช่คิดจะมาแทนใคร

ถ้าเผื่อว่าวันไหนชีวิตเธอสบายดี
อยากบอกว่าคนนี้ไม่โทรมารบกวนใจ
ได้โปรดเข้าใจฉันก็เราเป็นเพื่อนกันอยู่ใช่ไหม

บังเอิญได้ยินว่าเธอ
ไม่กินไม่นอนเพราะว่าผิดหวัง
ฉันจะทำไม่แคร์ก็ทำไม่ได้

อย่างน้อยก็เพื่อนคนหนึ่งที่เคยรัก
เมื่อรู้ว่าเพื่อนกำลังเดือดร้อนใจ
อดคิดไม่ได้ไม่ใช่อะไร
เพราะยังคงห่วงใยนะ
ไม่ใช่คิดจะมาแทนใคร

อย่างน้อยก็เพื่อนคนหนึ่งที่เคยรัก
เมื่อรู้ว่าเพื่อนกำลังเดือดร้อนใจ
อดคิดไม่ได้ไม่ใช่อะไร
เพราะยังคงห่วงใยนะ

อยากให้เธอรู้นะว่าไม่ได้เดียวดาย
ฉันยินดีแบ่งปันไว้ แบ่งทุกข์ในใจเธอ
อยากพูดคุยให้เธอ สบายใจ",namcha_sheranut
