song_name,href,lyric,artist
ได้ยินข่าว,/music/thailyric/8651,"ได้ยินข่าว บอกเรื่องราวของเธอในวันก่อน
เรื่องเก่าๆ ทำให้เราสองคนต้องไหวอ่อน

ฉันยืนอยู่ เคียงข้างเธอเมื่อวันเวลาผ่านไป
แล้วเธอหยุด เพียงเพื่อรอให้ใครสักคนกลับมา

อดทนเพื่อรอเวลา รอเพียงวันที่เธอเปิดใจ
ให้การเวลาได้เลยผ่าน
ไปสู่ความทรงจำดีๆ ที่มีแค่เรา เท่านั้น
แต่เธอไม่ยอมเปิด และยอมรับในฉันสักวัน

ฉันคนใหม่ ยังต้องทนต้องฟังเรื่องราวเก่า
เรื่องเก่าๆ ของเธอ มันทำฉันร้อนใจตลอดมา

ฉันยืนอยู่ เคียงข้างเธอเมื่อวันเวลาผ่านไป
แล้วเธอหยุด เพียงเพื่อรอให้ใครสักคนกลับมา

อดทนเพื่อรอเวลา รอเพียงวันที่เธอเปิดใจ
ให้การเวลาได้เลยผ่าน
ไปสู่ความทรงจำดีๆ ที่มีแค่เรา เท่านั้น
แต่เธอไม่ยอมเปิด และยอมรับในฉันสักวัน

เพียงเธอลองมองลองดูข้างกายตลอดเวลา
เป็นเขาที่ยืนข้างเธอตลอดมา ไม่ใช่ฉัน

อดทนเพื่อรอเวลา รอเพียงวันที่เธอเปิดใจ
ให้การเวลาได้เลยผ่าน
ไปสู่ความทรงจำดีๆ ที่มีแค่เรา เท่านั้น
แต่เธอไม่ยอมเปิด และยอมรับในฉันสักวัน

เมื่อเธอไม่ยอมเปิด และยอมรับในฉันสักวัน",nap_a_lean
ไม่เป็นไรหรอก,/music/thailyric/9987,"ไม่เป็นไรหรอก ถ้าฉันไม่ได้บอกกับเธอไป
เก็บไว้ข้างในใจ ยังดีกว่าฉันได้พูดไปแล้วทำให้เธอเดือดร้อน
ก็เพราะเวลานำพาเรามาให้ฉันและเธอได้พบเจอกันในวันที่ช้า
แต่ฉันยินดีจะยอมเฝ้ารอ ไม่ขอให้เธอต้องหันหรือมองกลับมา

หยุดตัวเองเอาไว้ ห้ามใจ อย่าหวั่นไหวให้เธอรู้ตัว
บอกเธอไปตอนนี้ฉันกลัว เพราะเธอเองก็ยังไม่พร้อม

ไม่เป็นไร ไม่เป็นไร อยู่อย่างนี้ ก็สบาย
พอแล้วเธอไม่ต้องรู้หรอก ฉันยังไงก็ไม่บอก
ชอบจะยืนตรงนี้ใกล้ๆ เธอ

ให้เธอรัก รักเขาไป แต่วันไหน ถ้าเสียใจ
ยังพร้อมจะเคียงข้างเธออยู่ แม้ว่าเธอไม่เคยจะรู้

ขอแค่เธอบอก วันไหนที่เธอต้องการใครสักคน
ปวดร้าวหรือทุกข์ทน  มีความสับสนสักเท่าไร ฉันจะรีบไปหา

หยุดตัวเองเอาไว้ ห้ามใจ อย่าหวั่นไหวให้เธอรู้ตัว
บอกเธอไปตอนนี้ฉันกลัว เพราะเธอเองก็ยังไม่พร้อม

ไม่เป็นไร ไม่เป็นไร อยู่อย่างนี้ ก็สบาย
พอแล้วเธอไม่ต้องรู้หรอก ฉันยังไงก็ไม่บอก
ชอบจะยืนตรงนี้ใกล้ๆ เธอ

ให้เธอรัก รักเขาไป แต่วันไหน ถ้าเสียใจ
ยังพร้อมจะเคียงข้างเธออยู่ แม้ว่าเธอไม่เคยจะรู้

สนใจฉันหน่อย แค่คนเฝ้าคอย

ไม่เป็นไร ไม่เป็นไร อยู่อย่างนี้ ก็สบาย
พอแล้วเธอไม่ต้องรู้หรอก ฉันยังไงก็ไม่บอก
ชอบจะยืนตรงนี้ใกล้ๆ เธอ

ให้เธอรัก รักเขาไป แต่วันไหน ถ้าเสียใจ
ยังพร้อมจะเคียงข้างเธออยู่ แม้ว่าเธอไม่เคยจะรู้

ไม่เป็นไร ไม่เป็นไร ไม่เป็นไรหรอก
ไม่เป็นไร ไม่เป็นไร ไม่เป็นไรหรอก
ไม่เป็นไร ไม่เป็นไร ไม่เป็นไรหรอก
ไม่เป็นไร ไม่เป็นไร ไม่เป็นไรหรอก",nap_a_lean
วันที่เรา,/music/thailyric/9550,"ในวันที่เราต้องร่ำลา ที่ผ่านมาเหลือแค่ฉัน
ไม่มีอีกแล้ว ช่วงที่ดีในชีวิต
ไม่อาจลืมเลยซักนิด
รักยังอยู่ ไม่เคยเปลี่ยน

หวังลึกๆว่าเธอจะเปลี่ยนใจ
หวังลึกๆว่าฉันจะใช้น้ำตารั้งเธอให้ได้
แต่มันก็เท่านั้น

รักมันจบลงไปแล้ว ไม่มีอีกแล้ว
ทุกๆอย่างเป็นเพียงฝัน เหลือเพียงเท่านั้น
ยังพยายามทุกวัน ข่มใจของฉันให้ลืม

เพราะเราไม่เคยจะเข้าใจ นานเท่าไรที่รักนี้
ไร้คำตอบ ไร้ทางออก

หวังลึกๆว่าเธอจะเปลี่ยนใจ
หวังลึกๆว่าฉันจะใช้น้ำตารั้งเธอให้ได้
แต่มันก็เท่านั้น

รักมันจบลงไปแล้ว ไม่มีอีกแล้ว
ทุกๆอย่างเป็นเพียงฝัน เหลือเพียงเท่านั้น
ยังพยายามทุกวัน ข่มใจของฉัน แม้ว่ามัน

จะผ่านวันล่วงเลย เวลาจะแก้ไข
เกิดเป็นเรื่องราวโรยรา
ความรัก สองเราต้องเข้าใจ
จะยอมรับและมอง เธอเดินผ่านความทรงจำสุดท้าย
ไม่ย้อนคืนมา

รักมันจบลงไปแล้ว ไม่มีอีกแล้ว
ทุกๆอย่างเป็นเพียงฝัน เหลือเพียงเท่านั้น
ยังพยายามทุกวัน ข่มใจของฉัน แม้ว่ามัน

จะจบลงไปแล้ว ไม่มีอีกแล้ว
ทุกๆอย่างเป็นเพียงฝัน เหลือเพียงเท่านั้น
ยังพยายามทุกวัน ข่มใจของฉันให้ลืม",nap_a_lean
Iloveyou,/music/thailyric/23337,"ด้วยความรัก ฉันรักทุกวินาทีที่อยู่ตรงนี้
เมื่อฉันได้มีเธอข้างกาย
ดั่งความฝัน จะรักและดูแลเธอจนวันสุดท้าย
เพราะเธอนั้นคือลมหายใจของฉัน

เหมือนหัวใจฉันลอยไปสุดฟ้า
แค่เพียงได้มองรอยยิ้มที่เธอส่งมา
เหมือนเวลาทั้งโลกหยุดเคลื่อนไหว
แค่เพียงได้ยินเธอร้องเพลง

เธอคือความสุขของฉัน ที่ทำให้โลกสดใส
ให้ฉันอบอุ่นหัวใจ Oh baby you're my sunshine
และทุกๆ วันจากนี้ไม่ว่าจะเจอเรื่องใด
เราจะจับมือกันไว้และผ่านพ้นไปพร้อมกัน

ด้วยความรัก ฉันรักทุกวินาทีที่อยู่ตรงนี้
เมื่อฉันได้มีเธอข้างกาย
ดั่งความฝัน จะรักและดูแลเธอจนวันสุดท้าย
เพราะเธอนั้นคือลมหายใจของฉัน

I love you I love you I love you
I love you I love you I love you

ถ้าฉันไม่เจอเธอก็คงยังไม่รู้
ว่าสิ่งสำคัญของฉันคือสิ่งใด
อยากใช้เวลาอยู่อย่างนี้ตลอดไป
ให้เราสองคนคู่เคียงกัน

เธอคือความสุขของฉัน ที่ทำให้โลกสดใส
ให้ฉันอบอุ่นหัวใจ Oh baby you're my sunshine
และทุกๆ วันจากนี้ไม่ว่าจะเจอเรื่องใด
เราจะจับมือกันไว้และผ่านพ้นไปพร้อมกัน

ด้วยความรัก ฉันรักทุกวินาทีที่อยู่ตรงนี้
เมื่อฉันได้มีเธอข้างกาย
ดั่งความฝัน จะรักและดูแลเธอจนวันสุดท้าย
เพราะเธอนั้นคือลมหายใจของฉัน

ด้วยความรัก ฉันรักทุกวินาทีที่อยู่ตรงนี้
เมื่อฉันได้มีเธอข้างกาย
ดั่งความฝัน จะรักและดูแลเธอจนวันสุดท้าย
เพราะเธอนั้นคือลมหายใจของฉัน

เธอคือความสุขของฉัน ที่ทำให้โลกสดใส
ให้ฉันอบอุ่นหัวใจ Oh baby you're my sunshine
และทุกๆ วันจากนี้ไม่ว่าจะเจอเรื่องใด
เราจะจับมือกันไว้และผ่านพ้นไปพร้อมกันด้วยความรัก

I love you I love you I love you
I love you I love you I love you",nap_a_lean
School Of รัก,/music/thailyric/16247,"ในเวลาที่ฉันคิดถึงเธอ ฉันหัวใจวุ่นวาย
เป็นอารมณ์ที่ควบคุมไม่ได้ ฉันต้องหาทางออก
พอจะนอนมันก็นอนไม่หลับ หัวใจกระสับกระส่าย
พอจะกินมันก็กินไม่ได้ แล้วจะทำยังไง

ก็มัน Miss you baby
I miss you baby
I miss like a crazy
ตั้งแต่วันได้เจอกัน
ก็มัน Miss you baby
I miss you baby
I miss like a crazy
ตั้งแต่เธอยิ้มให้ฉัน

เหมือนอารมณ์อ่อนไหวไม่สบาย
ถ้าเจอเธอคงหาย

แล้วพรุ่งนี้จะได้เจอไหม
แล้วพรุ่งนี้จะได้คุยกับเธอหรือเปล่า
ฉันนั้นแทบจะรอไม่ไหว
อยากจะพบเธอที่สุด
แต่พรุ่งนี้โรงเรียนหยุด ก็คงไม่ได้เจอ

กิจกรรมฉันก็ทำทุกอย่าง เล่นดนตรีกีฬา
เรียนก็ไม่เคยได้เกินที่ 5 แต่คิดถึงเธอที่ 1

ก็มัน Miss you baby
I miss you baby
I miss like a crazy
ตั้งแต่วันได้เจอกัน
ก็มัน Miss you baby
I miss you baby
I miss like a crazy
ตั้งแต่เธอยิ้มให้ฉัน

เหมือนอารมณ์อ่อนไหวไม่สบาย
ถ้าเจอเธอคงหาย

แล้วพรุ่งนี้จะได้เจอไหม
แล้วพรุ่งนี้จะได้คุยกับเธอหรือเปล่า
ฉันนั้นแทบจะรอไม่ไหว
อยากจะพบเธอที่สุด
แต่พรุ่งนี้โรงเรียนหยุด ก็คงไม่ได้เจอ

เหมือนอารมณ์อ่อนไหวไม่สบาย
ถ้าเจอเธอคงหาย
เหมือนอารมณ์อ่อนไหวใกล้จะตาย
ถ้าเจอเธอคงหาย

แล้วพรุ่งนี้จะได้เจอไหม
แล้วพรุ่งนี้จะได้คุยกับเธอหรือเปล่า
ฉันนั้นแทบจะรอไม่ไหว
อยากจะพบเธอที่สุด
แต่พรุ่งนี้โรงเรียนหยุด ก็คงไม่ได้เจอ

ก็คงไม่ได้เจอ",nap_a_lean
ใจดื้อ,/music/thailyric/19082,"ดึงใจออกมาแล้ว
แต่มันยังคงไม่แคล้ว
คิดถึงเธอทุกครั้งที่นอนหลับตา
ในทุกๆ คืนที่ฝนโปรยลงจากบนฟ้า

บอกตัวเองให้หยุดพัก
แต่ใจมันไม่หยุดรัก
ชอบคิดเอาเองว่าเรายังมีความหวัง
แอบเผลอไปมองหน้าเธอเวลาเจอทุกครั้ง

ก็เลยแอบปล่อยใจกลับไปรักเธอซ้ำๆ
(ปล่อยใจกลับไปรักเธอซ้ำๆ)
เจ็บก็เจ็บแบบนั้นแต่ไม่จำ

ใจนะใจ ยิ่งห้ามยิ่งรั้น
ใจดื้อดึงไม่ยอมเชื่อฟัง
ยิ่งฉันฝืน ก็ยิ่งขัดขืน กลับไปคิดถึงเธอทุกที
ใจนะใจ ยิ่งห้ามยิ่งรั้น
พยายามจะลืม แต่ใจมันลืมไม่ได้
ทั้งๆ ที่รู้วันนี้เราควรจะพอ

คนหนึ่งไม่เคยรัก อีกคนไม่เคยยอมรับ
ฝันลมๆ ว่าคงจะมีสักวัน
ที่ฉันจะได้ยืนในใจเธอดวงนั้น

ก็เลยแอบปล่อยใจกลับไปรักเธอซ้ำๆ
(ปล่อยใจกลับไปรักเธอซ้ำๆ)
เจ็บก็เจ็บแบบนั้นแต่ไม่จำ

ใจนะใจ ยิ่งห้ามยิ่งรั้น
ใจดื้อดึงไม่ยอมเชื่อฟัง
ยิ่งฉันฝืน ก็ยิ่งขัดขืน กลับไปคิดถึงเธอทุกที
ใจนะใจ ยิ่งห้ามยิ่งรั้น
พยายามจะลืม แต่ใจมันลืมไม่ได้
ทั้งๆ ที่รู้วันนี้เราควรจะพอ

จะไม่โทษใคร (จะไม่โทษใคร)
เธอไม่ได้ใจร้าย
แต่เป็นฉันใจง่ายอย่างนี้

ใจนะใจ ยิ่งห้ามยิ่งรั้น
ใจดื้อดึงไม่ยอมเชื่อฟัง
ยิ่งฉันฝืน ก็ยิ่งขัดขืน กลับไปคิดถึงเธอทุกที
ใจนะใจ ยิ่งห้ามยิ่งรั้น
พยายามจะลืม แต่ใจมันลืมไม่ได้
ทั้งๆ ที่รู้วันนี้เราควรจะพอ

Please don't leave me down here over and over and again
ฉันคิดถึงเธอทุกที (ฉันคิดถึงเธอทุกที)

Please don't leave me down here over and over and again
ทั้งๆ ที่รู้วันนี้เราควรจะพอ",nap_a_lean
ช้าไป,/music/thailyric/16248,"คิดว่าจะใช้เวลาให้นานกว่านี้สักหน่อย
เพราะฉันมองเธอก็บ่อยดูเธอยังไม่มีใคร
เร่งไปจะอันตรายช้าลงคงไม่เป็นไร
เพราะยังไงตอนสุดท้ายฉันก็คงได้พูดไป

จนเริ่มจะมีความมั่นใจ
อะไรที่เธอชอบฉันจดจำได้ขึ้นใจ
แต่ตอนสุดท้ายต้องหงายไป
เธอมีเขาดีอยู่แล้ว ผิดที่ฉันนั้นเพิ่งรู้

โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
เหมือนเธอทำฉันอกหัก แม้เรายังไม่รู้จักกัน
โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
หัวใจมีแผลถลอก รักเธอแต่ไม่ยอมบอก
เราช้าไป

ฉันมองเธอมาตั้งนาน
สายตาเธอยังมองผ่าน
เพราะกลัวเธอจะรำคาญ
สุดท้ายก็เลยไม่พูดไป

จนเริ่มจะมีความมั่นใจ
อะไรที่เธอชอบฉันจดจำได้ขึ้นใจ
แต่ตอนสุดท้ายต้องหงายไป
เธอมีเขาดีอยู่แล้ว ผิดที่ฉันนั้นเพิ่งรู้

โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
เหมือนเธอทำฉันอกหัก แม้เรายังไม่รู้จักกัน
โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
หัวใจมีแผลถลอก รักเธอแต่ไม่ยอมบอก
เราช้าไป

เธอชอบท่องเที่ยวและอัพรูปลงเฟส
อีกไม่กี่อาทิตย์จะบินไป Budapest
น้ำหนัก 51 สูง 162 เซนติเมตร
ดื่มกาแฟหวานน้อยและชอบสั่งเอสเปรสโซ่
ปากนิดจมูกหน่อย ตาเธอโตๆ
ควงไปที่ไหนใครก็ร้องโอ้โห
อย่าช้าได้ไหมเดี๋ยวสำเภาไม่ได้โล้
รีบไปลุยเลย Let's go go go

โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
เหมือนเธอทำฉันอกหัก แม้เรายังไม่รู้จักกัน
โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
หัวใจมีแผลถลอก รักเธอแต่ไม่ยอมบอก

โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
เหมือนเธอทำฉันอกหัก แม้เรายังไม่รู้จักกัน
โว้ โอ้ โว้ โอ้ โอ โว โว้ โอ้ โอ
หัวใจมีแผลถลอก รักเธอแต่ไม่ยอมบอก
เราช้าไป  (ฉันช้าไป)

เราช้าไป  (ฉันช้าไป)
(ฉันช้าไป) เราช้าไป",nap_a_lean
เพลงที่ฟังด้วยกันบนรถ,/music/thailyric/17409,"เหมือนได้เดินย้อนเวลา กลับไปในวันนั้น
อาจเพราะว่าเพลงที่ได้ฟัง
มีความหมาย มากมาย
เพลงที่ทำให้รู้สึก
เพลงที่ทำให้นึกภาพเธอได้อีกครั้ง
เพลงที่ทำให้ฉันเศร้า
คือเพลงที่ทำให้เรา ยิ้มไปด้วยกัน

ภาพเธอก็ยังคงอยู่ตรงที่เดิม
ไม่ยอมให้ใครได้เข้ามาเพิ่มเติม
ที่ว่างข้างๆ ฉัน เว้นให้เธอเท่านั้น

บนถนนที่ยังอีกไกล
อยากมีเธออีกครั้งได้ไหม
ทางที่ดูแสนไกล
คงมีความหมายถ้าเธออยู่กับฉัน
อยากมองเธอเมื่อยามหลับใหล
ปล่อยให้ฉันเป็นคนขับไป
เพลงเดิมที่คุ้นเคยในหัวใจ
เธอยังคงร้องมันอยู่บ้างไหม ในตอนนี้

ฉันยังคงหาคำตอบ ว่าสิ่งที่ทำหาย
จะย้อนคืนมาได้หรือไม่
อยากกลับไป เหมือนเดิมอีกครา

ภาพเธอก็ยังคงอยู่ตรงที่เดิม
ไม่ยอมให้ใครได้เข้ามาเพิ่มเติม
ที่ว่างข้างๆ ฉัน เว้นให้เธอเท่านั้น

บนถนนที่ยังอีกไกล
อยากมีเธออีกครั้งได้ไหม
ทางที่ดูแสนไกล
คงมีความหมายถ้าเธออยู่กับฉัน
อยากมองเธอเมื่อยามหลับใหล
ปล่อยให้ฉันเป็นคนขับไป
เพลงเดิมที่คุ้นเคยในหัวใจ
เธอยังคงร้องมันอยู่บ้างไหม ในตอนนี้

ที่ว่างข้างๆ ฉัน เว้นให้เธอเท่านั้น
บนถนนที่ยังอีกไกล
อยากมีเธออีกครั้งได้ไหม
ทางที่ดูแสนไกล
คงมีความหมายถ้าเธออยู่กับฉัน
อยากมองเธอเมื่อยามหลับใหล
ปล่อยให้ฉันเป็นคนขับไป
เพลงเดิมที่คุ้นเคยในหัวใจ
เธอยังคงร้องมันอยู่บ้างไหม ในตอนนี้",nap_a_lean
เพลงรักเพลงแรก,/music/thailyric/21610,"ด้วยเหตุผลที่ฉันไม่เคยเจอใคร
มอบความรักให้หัวใจที่ว่างเปล่า
ทำให้ฉันไม่เคยซึ้งในความหมาย
จากเพลงรักที่ฉันเคยได้ฟัง
และเมื่อฉันได้พบเธอคราวนี้
ความเงียบเหงาที่หัวใจว่างเปล่า
ถูกเธอเติมด้วยเรื่องราวของความหวาน
จากความรักของเธอ

เพราะเธอ ทำให้ฉันพบ
ท่วงทำนองเพลงที่ฉันเองไม่เคยเจอ
บทเพลงรัก เพลงแรกจากเธอ
ที่เป็นคนบรรเลงให้ชีวิตฉันสดใส
เพราะเธอทำให้ชีวิต
ที่เคยเดียวดายเลือนหายไปเมื่อมีเธอ
อยากขอบคุณ เพลงรักจากเธอ
เธอเปลี่ยนคืนและวันให้ชีวิตฉันไพเราะเหมือนกับเสียงเพลง

และเพลงรักที่ได้ฟัง ตอนนี้
คงไม่เพราะถ้าฉันยังไม่ได้พบเธอ
อยากจะมอบบทเพลงนี้ให้กับเธอ
ด้วยความรักที่ฉันมี

เพราะเธอทำให้ฉันพบ
ท่วงทำนองเพลงที่ฉันเองไม่เคยเจอ
บทเพลงรัก เพลงแรกจากเธอ
ที่เป็นคนบรรเลงให้ชีวิตฉันสดใส

เพราะเธอ ทำให้ชีวิต
ที่เคยเดียวดายเลือนหายไปเมื่อมีเธอ
อยากขอบคุณ เพลงรักจากเธอ
ที่เปลี่ยนคืนและวันให้ชีวิตฉันไพเราะเหมือนกับเสียงเพลง

ที่เราบรรเลงอยู่ในหัวใจ
อยากจะร้องเพลงๆนี้ไปด้วยกันไม่ว่านานเเค่ไหน

เพราะเธอทำให้ฉันพบ
ท่วงทำนองเพลงที่ฉันเองไม่เคยเจอ
บทเพลงรัก เพลงแรกจากเธอ
ที่เป็นคนบรรเลงให้ชีวิตฉันสดใส
เพราะเธอ ทำให้ชีวิต
ที่เคยเดียวดายเลือนหายไปเมื่อมีเธอ
อยากขอบคุณ เพลงรักจากเธอ
ที่เปลี่ยนคืนและวันให้ชีวิตฉันไพเราะเหมือนกับเสียงเพลง

บทเพลงรัก เพลงแรกจากเธอ
ที่เป็นคนบรรเลงให้ชีวิตฉันสดใส
เพราะเธอ
อยากขอบคุณ  เพลงรักจากเธอ
ที่เปลี่ยนคืนและวันให้ชีวิตฉันไพเราะ
เหมือนกับเสียงเพลง",nap_a_lean
เพื่ออะไร,/music/thailyric/21115,"ต้องทำอย่างนี้ เลยใช่ไหม
แกล้งทำเหมือนว่าเธอ ก็มีใจ
สนุกมากเลยหรือ แค่สะใจ
หลอกคนอย่างฉันแล้วเธอได้ อะไร

เหมือนภาพลวงตา ที่หลอกหลอนฉันเรื่อยมา
เหมือนว่าฉันยืน บนโลกที่สดใส
เหมือนได้ความรัก จากคนที่ฝันไว้
และฝันนั้นก็คล้ายจะเป็นจริง

แต่พอฉันรัก เธอก็ไม่รัก
ปล่อยฉันให้ต้องเสียใจอยู่อย่างนั้น
ทำเพื่ออะไร ทำไมใจร้ายจัง
มาให้ความหวังแล้วทิ้งฉันเอาไว้ เพื่ออะไร

เธอไม่เคยรู้ เลยสักนิด
ว่าเธอทำให้ฉันคิดไปไกล
อย่าทำอย่างนี้ กับใคร
อย่าให้ความหวังแล้วก็ทิ้งเขาไป

เหมือนภาพลวงตา ที่หลอกหลอนฉันเรื่อยมา
เหมือนว่าฉันยืน บนโลกที่สดใส
เหมือนได้ความรัก จากคนที่ฝันไว้
และฝันนั้นก็คล้ายจะเป็นจริง

แต่พอฉันรัก เธอก็ไม่รัก
ปล่อยฉันให้ต้องเสียใจอยู่อย่างนั้น
ทำเพื่ออะไร ทำไมใจร้ายจัง
มาให้ความหวังแล้วทิ้งฉันเอาไว้ เพื่ออะไร

ในวันนี้ฉันคงต้องพักก่อน
ขอบคุณที่สอนให้ฉันได้เข้าใจ
เป็นบทเรียนว่าถ้าฉันจะรักใครใหม่
อย่าคิดไปไกลอย่างนี้

แต่พอฉันรัก เธอก็ไม่รัก
ปล่อยฉันให้ต้องเสียใจอยู่อย่างนั้น
ทำเพื่ออะไร ทำไมใจร้ายจัง
มาให้ความหวังแล้วทิ้งฉันเอาไว้ เพื่ออะไร",nap_a_lean
