song_name,href,lyric,artist
ไม่ถอดใจ (Girls On Top),/music/thailyric/8735,"ฉันยิ้มให้อย่าสนใจ ฉันน่ะไม่ได้ตั้งใจ
เธอก็แค่น่ารักไป Sorry Sorry
ฉันก็แค่ประทับใจ ไม่ได้แกล้งประชดใคร
คนข้างๆ เธอคิดไง Baby Baby

เธอกลัวจะมีปัญหากับเค้าอันนี้ก็เข้าใจ
คงจะไม่ไปแสดงให้ใครระแวงและหวั่นไหว
ฉันก็ไม่รู้นะเธอจะคบเขานานได้เท่าไหร่
เลิกกันเมื่อไรโทรมา OK มะ

ฉันไม่ถอดน่ะ ฉันไม่ถอดน่ะ ฉันไม่ถอดหรอก Oh!
ฉันไม่ถอดใจแค่เธอรักใคร You know? You're my boy
ให้ฉันถอด ฉันก็ไม่ถอดน่ะ ฉันไม่ถอดหรอก Oh!
ฉันไม่ถอดใจเธอจะว่าไง You know? You're my boy

You know? You're my boy
You know? You're my boy

บอกเค้าให้เชื่อหน่อย ว่าฉันไม่ได้อ่อย
แค่เผลอไปนิดหน่อย สองหน่อย ไม่บ่อย
เธอรักเขาก็ดีกันไป เขารักเธอก็ไม่เป็นไร
ฉันชอบเธอได้โปรดเข้าใจ Don't Stop my mind

เธอกลัวจะมีปัญหากับเค้าอันนี้ก็เข้าใจ
คงจะไม่ไปแสดงให้ใครระแวงและหวั่นไหว
ฉันก็ไม่รู้นะเธอจะคบเขานานได้เท่าไหร่
เลิกกันเมื่อไรโทรมา OK มะ

ฉันไม่ถอดน่ะ ฉันไม่ถอดน่ะ ฉันไม่ถอดหรอก Oh!
ฉันไม่ถอดใจแค่เธอรักใคร You know? You're my boy
ให้ฉันถอด ฉันก็ไม่ถอดน่ะ ฉันไม่ถอดหรอก Oh!
ฉันไม่ถอดใจเธอจะว่าไง You know? You're my boy

You know? You're my boy
You know? You're my boy

ฉันไม่ถอดน่ะ ฉันไม่ถอดน่ะ ฉันไม่ถอดหรอก Oh!
ฉันไม่ถอดใจแค่เธอรักใคร You know? You're my boy
ให้ฉันถอด ฉันก็ไม่ถอดน่ะ ฉันไม่ถอดหรอก Oh!
ฉันไม่ถอดใจเธอจะว่าไง You know? You're my boy

You know? You're my boy
You know? You're my boy",neko_jump
ไม่รัก จำได้,/music/thailyric/8880,"เลิกกันแล้วไม่จำเป็นต้องพูดหรอก
เธอไม่ต้องบอกว่าแคร์เขาเท่าไร
ไม่ควรโทรก็พอรู้และเข้าใจ
แต่จะทำไงก็มันคิดถึงเธอเหลือเกิน

ไม่ตั้งใจรบกวน ไม่ตั้งใจวุ่นวาย
ไม่ได้ลืมหรอกคำที่เธอบอก
แต่มันเหงาทนไม่ไหว

ไม่รักจำได้แต่ให้ลืมเธอฉันทำไม่ไหว
ยังคงคิดถึงทุกลมหายใจ
อย่าเพิ่งรำคาญอย่ามองว่าฉันดูไม่ดี

ไม่รักจำได้เธอไม่จำเป็นต้องย้ำอีกที
อย่าให้ฉันดูไร้ค่ากว่านี้
ฉันรู้ดีเธอไม่รักกัน

ฉันก็รู้ว่าเธอคงต้องลำบาก
เธอคงไม่อยากให้เขาคิดมากไป
จะกวนเธอแค่อีกคำที่ค้างใจ
ก่อนจะวางไปอยากจะบอกรักเธอเหลือเกิน

ไม่ตั้งใจรบกวน ไม่ตั้งใจวุ่นวาย
ไม่ได้ลืมหรอกคำที่เธอบอก
แต่มันเหงาทนไม่ไหว

ไม่รักจำได้แต่ให้ลืมเธอฉันทำไม่ไหว
ยังคงคิดถึงทุกลมหายใจ
อย่าเพิ่งรำคาญอย่ามองว่าฉันดูไม่ดี

ไม่รักจำได้เธอไม่จำเป็นต้องย้ำอีกที
อย่าให้ฉันดูไร้ค่ากว่านี้
ฉันรู้ดีเธอไม่รักกัน

ไม่รักจำได้แต่ให้ลืมเธอฉันทำไม่ไหว
ยังคงคิดถึงทุกลมหายใจ
อย่าเพิ่งรำคาญอย่ามองว่าฉันดูไม่ดี

ไม่รักจำได้เธอไม่จำเป็นต้องย้ำอีกที
อย่าให้ฉันดูไร้ค่ากว่านี้
ฉันรู้ดีเธอไม่รักกัน",neko_jump
นัยตัวร้ายกะยัยใจน้อย,/music/thailyric/2494,"ก็ฉันเป็นคนช่างคิด ส่วนเธอเป็นคนช่างคัด
พูดกันก็ไม่เคยหวาน เถียงกันซะเรื่อยไป
ก็เธออ่ะนายตัวร้าย ว่าฉันเป็นยัยใจน้อย
ก็มีเหตุผลเป็นร้อยให้ฉันต้องน้อยใจ

ไม่รู้อะไรพาเรามาพบกัน
แค่รู้ว่าใจมันเริ่มติด แกะไม่ไหว
ก็อาจจะดูว่าเราไม่ซึ้งเหมือนใครๆ
แต่มันเริ่มจะรักๆ

ไม่รักเธอ จะให้รักใคร แกะหัวใจก็ยังเป็นเธอ
ตอบให้ตรง ส่งไปถึงเธอ ไม่ได้เผลอเนี่ยรักจริงๆ
ไม่ตลก ตกลงกับหัวใจแล้ว
เสียสละ อ่ะยอมเป็นพวกเธอแล้ว นายตัวร้าย

ว่าฉันชอบชวนทะเลาะ ก็เธอชอบชวนทะเล้น
ยังคอยแกล้งกันไม่เว้น ให้ฉันต้องวุ่นวาย
ฉันเลยต้องทำปากแข็ง ความจริงน่ะมันอ่อนไหว
ก็ไม่เคยมีวันไหนที่ฉันไม่รักเธอ

ไม่รู้อะไรพาเรามาพบกัน
แค่รู้ว่าใจมันเริ่มติด แกะไม่ไหว
ก็อาจจะดูว่าเราไม่ซึ้งเหมือนใครๆ
แต่มันเริ่มจะรักๆ

ไม่รักเธอ จะให้รักใคร แกะหัวใจก็ยังเป็นเธอ
ตอบให้ตรง ส่งไปถึงเธอ ไม่ได้เผลอเนี่ยรักจริงๆ
ไม่ตลก ตกลงกับหัวใจแล้ว
เสียสละ อ่ะยอมเป็นพวกเธอแล้ว

ไม่รักเธอ จะให้รักใคร แกะหัวใจก็ยังเป็นเธอ
ตอบให้ตรง ส่งไปถึงเธอ ไม่ได้เผลอเนี่ยรักจริงๆ
ไม่ตลก ตกลงกับหัวใจแล้ว
เสียสละ อ่ะยอมเป็นพวกเธอแล้ว นายตัวร้าย",neko_jump
อกหักค่าาา,/music/thailyric/2502,"โอยตรงนี้ๆ มันเจ็บตรงนี้อ่ะดูหน่อยม่ะ
เงี้ยะไม่ไหวๆ ชอบถูกใครๆ เขามารังแก
โอยตรงนี้ๆ ต้องการคนเหลียวแล
เป็นแผลที่ตรงหัวใจ

ก็เพราะใครๆ ก็ไม่รักเลย
ทำให้เป็นไข้เวียนหัวตัวสั่นเหมือนเคย
ก็เจ็บอ่ะนะ จะมีใครม่ะมาทำให้หายเลย

อกหักค่า อกหักค่า อ่ะนะนะ
แค่อยากจะหาคนมาช่วยฉันที
วันนี้ชักจะเซ็ง ช่วยตัวเองไม่ไหว

อกหักค่า อกหักค่า อ่ะนะนะ
เป็นเธอได้ม่ะแทคแคร์ที่หัวใจ
ได้ไหมนะคนดี อยากชวนเธอคนนี้มารักกัน

นะสักนิดๆ มันเจ็บมันจี้ดอ่ะที่ตรงนั้น
โอยที่ตรงใจฉัน ต้องการให้เธอเข้ามาดูแล
นะสักนิดๆ จะได้ไม่งอแง มาแคร์ฉันทีเป็นไง

ก็เพราะใครๆ ก็ไม่รักเลย
ทำให้เป็นไข้เวียนหัวตัวสั่นเหมือนเคย
ก็เจ็บอ่ะนะ จะมีใครม่ะมาทำให้หายเลย

อกหักค่า อกหักค่า อ่ะนะนะ
แค่อยากจะหาคนมาช่วยฉันที
วันนี้ชักจะเซ็ง ช่วยตัวเองไม่ไหว

อกหักค่า อกหักค่า อ่ะนะนะ
เป็นเธอได้ม่ะแทคแคร์ที่หัวใจ
ได้ไหมนะคนดี อยากชวนเธอคนนี้มารักกัน

อกหักค่า อกหักค่า อ่ะนะนะ
แค่อยากจะหาคนมาช่วยฉันที
วันนี้ชักจะเซ็ง ช่วยตัวเองไม่ไหว

อกหักค่า อกหักค่า อ่ะนะนะ
เป็นเธอได้ม่ะแทคแคร์ที่หัวใจ
ได้ไหมนะคนดี อยากชวนเธอคนนี้มารักกัน",neko_jump
อยากถูกเธอคิดถึง,/music/thailyric/2503,"หนึ่งเสียงจากคนเหงาๆ
คงไม่ถึงปลายทาง
ก็ได้แต่หวังว่าเธอจะหันมามอง

แต่ฉันก็เพียงเท่านี้ คนที่ไม่สำคัญ
แค่เพียงใบไม้ที่ปลิวริมข้างทาง
เธอจะเมินหนีก็เข้าใจนะ
ฉันก็แค่คนที่ถูกลืม

อยากถูกเธอคิดถึง ในใจเธอสักครั้ง
แม้เพียงสักนาทีก็พอ
อยากถูกเธอคิดถึง สิ่งหนึ่งที่อยากขอ
แค่ได้ฝันว่ามีวันนั้นก็สุขใจ

อยากพูดอยากคุยเท่านั้นจะไม่ขอมากมาย
ความสุขของฉันคือการได้เห็นหน้าเธอ

แต่ฉันก็เพียงเท่านี้ คนที่ไม่สำคัญ
แค่เพียงใบไม้ที่ปลิวริมข้างทาง
เธอจะเมินหนีก็เข้าใจนะ
ฉันก็แค่คนที่ถูกลืม

อยากถูกเธอคิดถึง ในใจเธอสักครั้ง
แม้เพียงสักนาทีก็พอ
อยากถูกเธอคิดถึง สิ่งหนึ่งที่อยากขอ
แค่ได้ฝันว่ามีวันนั้นก็สุขใจ

อยากถูกเธอคิดถึง ในใจเธอสักครั้ง
แม้เพียงสักนาทีก็พอ
อยากถูกเธอคิดถึง สิ่งหนึ่งที่อยากขอ
แค่ได้ฝันว่ามีวันนั้นก็สุขใจ
ก็สุขใจ",neko_jump
แค่เธอบังคับ,/music/thailyric/2491,"เพราะฉันไม่ชอบให้มาเซ้า เพราะฉันไม่ชอบให้มาซี้
ไม่รู้ไม่ชี้ ไม่รู้ไม่ชี้ อารมณ์ไม่ดีเหมือนหน้าตา
เพราะฉันไม่ชอบให้โทรหา เพราะฉันไม่ใช่ที่ปรึกษา
คิดจะรักกัน คิดจะรักกันก็รอแล้วมันได้อะไร

ที่ฉันไม่ยอม ที่ฉันไม่ยอม ที่จริงฉันกลัวใจอ่อน
หัวใจฉันมัน เต้นรัวก็มันไม่เคยจะได้พักผ่อน
ถ้าเธอมั่นใจ ถ้าเธอมั่นใจ
แค่เธอกล้าๆ ซะก่อน ที่จริงนะรักเธอ

แค่เธอบังคับ มาบังคับ มาบังคับ
มาบังคับให้ฉันนั้นรักสิเธอ
แค่เธอมาตื้อ เธอมาตื้อ เธอมาตื้อ
เธอมาตื้อฉันจะไม่ดื้อหรอกเธอ
จะแกล้งยอมๆ สักวัน

ถ้าเธอจะมาแค่เล่นหู ถ้าเธอจะมาแค่เล่นตา
ก็ไม่ต้องมา ก็ไม่ต้องมา ฉันมันไม่ใช่เพื่อนเล่นเธอ
ไม่ได้ตั้งใจจะมาร้าย ถ้าเธอตั้งใจจะมารัก
ก็ไม่ยากเลย ก็ไม่ยากเลย อ่ะฟังเดี๋ยวฉันจะบอก

ที่ฉันไม่ยอม ที่ฉันไม่ยอม ที่จริงฉันกลัวใจอ่อน
หัวใจฉันมัน เต้นรัวก็มันไม่เคยจะได้พักผ่อน
ถ้าเธอมั่นใจ ถ้าเธอมั่นใจ
แค่เธอกล้าๆ ซะก่อน ที่จริงนะรักเธอ

แค่เธอบังคับ มาบังคับ มาบังคับ
มาบังคับให้ฉันนั้นรักสิเธอ
แค่เธอมาตื้อ เธอมาตื้อ เธอมาตื้อ
เธอมาตื้อฉันจะไม่ดื้อหรอกเธอ
จะแกล้งยอมๆ สักวัน

ก็ฉันมันเป็นอะไรที่ชอบเอาแต่ใจ
แต่ใจของฉันทำไมก็ชอบมีแต่เธอ
ปล่อยไปไม่นานยังไงก็รู้คงต้องเผลอ
รักเธอเข้าสักวัน

เพียงแค่เธอบังคับ แค่เธอบังคับ แค่เธอบังคับฉัน
แค่เธอมาตื้อ แค่เธอมาตื้อ แค่เธอมาตื้อฉัน
เพียงแค่เธอบังคับ แค่เธอบังคับ แค่เธอบังคับฉัน
แค่เธอมาตื้อ แค่เธอมาตื้อ แค่เธอมาตื้อฉัน

แค่เธอบังคับ มาบังคับ มาบังคับ
มาบังคับให้ฉันนั้นรักสิเธอ
แค่เธอมาตื้อ เธอมาตื้อ เธอมาตื้อ
เธอมาตื้อฉันจะไม่ดื้อหรอกเธอ

แค่เธอบังคับ มาบังคับ มาบังคับ
มาบังคับให้ฉันนั้นรักสิเธอ
แค่เธอมาตื้อ เธอมาตื้อ เธอมาตื้อ
เธอมาตื้อฉันจะไม่ดื้อหรอกเธอ
จะแกล้งยอมๆ สักวัน
จะแกล้งยอมๆ สักวัน",neko_jump
เมสเสจ (Message),/music/thailyric/2498,"เธอทำเหมือนว่า มันไม่มีความสำคัญ
แค่คำสั้นๆ หรือเธอไม่มีเวลา
ถ้าคิดจะเลิก ทำไมไม่มาพูดจา
ข้อความบ้าๆ ส่งมาบอกกันทำไม

ตอนจะรัก จับมือฉัน
มองตากัน แล้วนี่ยังไง
จะไม่รัก ยังใจร้าย
ฉากสุดท้าย คิดได้ยังไง

หรือนี่คือวิธีผู้ชาย ที่เขาชอบทำกัน
เธอไม่อายตัวเองหรือไง หรือกล้าได้แค่นั้น

เธอจะลา ก็เดินกลับมาพูดเอง
คนขอลา ทำไมไม่มาขอเอง
ตอนรักกัน เคยพูดออกมายังไง
ตอนจะไป ก็พูดอะไรตรงข้ามก็พอ

ไม่ต้องกลัว ว่าคำจะแรงเพียงใด
ทรมานยังไง ก็อยากรับฟัง
ไม่มีใจ ก็มาบอกกันดีๆ
คนเสียใจคนหนึ่ง ยังรอฟังทุกนาที

ดูไม่น่าใช่ ว่าเธอเป็นคนขี้กลัว
ดูไม่น่าเชื่อ ว่าเธอที่ฉันให้ใจ
ข้อความสั้นๆ โอเคว่ามันเข้าใจ
แต่เธอทำให้ เหมือนฉันไม่มีตัวตน

หรือนี่คือวิธีผู้ชาย ที่เขาชอบทำกัน
เธอไม่อายตัวเองหรือไง หรือกล้าได้แค่นั้น

เธอจะลา ก็เดินกลับมาพูดเอง
คนขอลา ทำไมไม่มาขอเอง
ตอนรักกัน เคยพูดออกมายังไง
ตอนจะไป ก็พูดอะไรตรงข้ามก็พอ

ไม่ต้องกลัว ว่าคำจะแรงเพียงใด
ทรมานยังไง ก็อยากรับฟัง
ไม่มีใจ ก็มาบอกกันดีๆ
คนเสียใจคนหนึ่ง ยังรอฟังทุกนาที

ตอนจะรัก จับมือฉัน
มองตากัน แล้วนี่ยังไง
จะไม่รัก ยังใจร้าย 
ฉากสุดท้าย คิดได้ยังไง

เธอจะลา ก็เดินกลับมาพูดเอง
คนขอลา ทำไมไม่มาขอเอง
ตอนรักกัน เคยพูดออกมายังไง
ตอนจะไป ก็พูดอะไรตรงข้ามก็พอ

ไม่ต้องกลัว ว่าคำจะแรงเพียงใด
ทรมานยังไง ก็อยากรับฟัง
ไม่มีใจ ก็มาบอกกันดีๆ
คนเสียใจคนหนึ่ง ยังรอฟังทุกนาที",neko_jump
ไม่เคยถูกรักเลย,/music/thailyric/2499,"ทำตัวดีกว่าเขา แต่มันยังดีแต่เหงา
ไม่มีใครต้องการเรา เป็นอย่างเขาต้องทำไง
ใจมันเหนื่อยแล้วนะ ก็เจือจางลงช้าๆ
มีแต่เพียงแค่น้ำตา เป็นสิ่งเดียวที่เข้าใจ

ทุ่มเท ทำอะไรก็ยอมทุกอย่าง
แอบหวัง จนนาทีสุดท้าย

แต่ไม่เคยถูกรักเลย ไม่เคยถูกเลือกเลย
เจ็บจริงๆ ใจเอ๋ย ที่ยังไม่เคยเป็นคนที่เข้าตา
เฝ้าแต่รอใครสักคน แต่ต้องทนต้องทน
ความเหงาซะจนอ่อนล้า
กว่าที่ใจจะมีที่พัก กว่าจะมีสักคนให้รัก
ฉันคงไม่หายใจ

เธอมาให้ความหวัง กลับกลายเป็นแค่ความหลัง
เป็นแค่คนที่หลงทาง เป็นอีกคนที่ทิ้งกัน

ทุ่มเท ทำอะไรก็ยอมทุกอย่าง
แอบหวัง จนนาทีสุดท้าย

แต่ไม่เคยถูกรักเลย ไม่เคยถูกเลือกเลย
เจ็บจริงๆ ใจเอ๋ย ที่ยังไม่เคยเป็นคนที่เข้าตา
เฝ้าแต่รอใครสักคน แต่ต้องทนต้องทน
ความเหงาซะจนอ่อนล้า
กว่าที่ใจจะมีที่พัก กว่าจะมีสักคนให้รัก
ฉันคงไม่หายใจ

แต่ไม่เคยถูกรักเลย ไม่เคยถูกเลือกเลย
เจ็บจริงๆ ใจเอ๋ย ที่ไม่เคยเป็นคนที่เข้าตา
เฝ้าแต่รอใครสักคน แต่ต้องทนต้องทน
ความเหงาซะจนอ่อนล้า
เฝ้าแต่รอแต่รอต่อไป ต่อให้รอจนใจสลาย
ก็คงได้แค่รอ",neko_jump
รักไม่มีเจ้าของ,/music/thailyric/2500,"ยิ่งเจอ ยิ่งใจสั่นไหว
ส่งยิ้มโดยไม่ตั้งใจ
เห็นต้องมอง แต่รู้ว่าเธอมีคนจอง

ก็เธอน่ารัก ไม่ใช่น้อย
ขอโทษ ถ้าใครต้องนอยด์
Hey c'mon ถ้าชอบไม่ต้องซ่อน

That' s alright อย่างเงี๊ยะเรียกว่าใช่
Hey baby, Don't be surprise
รู้ว่ายาก ก็เขารักเธอมาก
แต่ยิ่งเข้ามาใกล้ เธอทำให้ใจฟุ้งซ่าน

เธออยู่ตรงนั้น ฉันอยู่ตรงนี้
ปลื้มค่ะปลื้ม ก็ You're so lovely
ฉันก็เป็นของฉัน เขาก็เป็นของเธอ
แค่ Every night ที่แอบฝันละเมอ

รู้ รู้ ว่าเธอมีเจ้าของหัวใจ
แต่ฉันรักเธอ ก็เรื่องของใจฉันไง
รัก รัก มันไม่มีเจ้าของใช่ไหม
ห้ามกันไม่ได้

ก็มันเป็นเรื่องของความคิด
แอบรักคงจะไม่ผิด
ขออภัย ก็รักเธอไปแล้วทำไง

ไม่ต้องมาแคร์มาใส่ใจ ก็รู้ว่าไม่มีสิทธิ์
ตามสบาย ไม่ love ฉันไม่ mind

That' s alright อย่างเงี๊ยะเรียกว่าใช่
Hey baby, Don't be surprise
รู้ว่ายาก ก็เขารักเธอมาก
แต่ยิ่งเข้ามาใกล้ เธอทำให้ใจฟุ้งซ่าน

เธออยู่ตรงนั้น ฉันอยู่ตรงนี้
ปลื้มค่ะปลื้ม ก็ You're so lovely
ฉันก็เป็นของฉัน เขาก็เป็นของเธอ
แค่ Every night ที่แอบฝันละเมอ

แค่แอบมีเธอ ด้วยสายตา
แค่อยากตะโกนบอกฟ้า รักเธอเท่าไร
ก็เธอทำใจฉันหวั่นไหว
อยากกอดเธอไว้ในฝัน อยู่ทุกคืน

รู้ รู้ ว่าเธอมีเจ้าของหัวใจ
แต่ฉันรักเธอ ก็เรื่องของใจฉันไง
รัก รัก มันไม่มีเจ้าของใช่ไหม
ห้ามกันไม่ได้

รู้ รู้ ว่าเธอมีเจ้าของหัวใจ
แต่ฉันรักเธอ ก็เรื่องของใจฉันไง
รัก รัก มันไม่มีเจ้าของใช่ไหม
ห้ามกันไม่ได้

แค่แอบมีเธอ ด้วยสายตา
แค่อยากตะโกนบอกฟ้า รักเธอเท่าไร
ก็เธอทำใจฉันหวั่นไหว
อยากกอดเธอไว้ในฝัน อยู่ทุกคืน

รู้ รู้ ว่าเธอมีเจ้าของหัวใจ
แต่ฉันรักเธอ ก็เรื่องของใจฉันไง
รัก รัก มันไม่มีเจ้าของใช่ไหม
ห้ามกันไม่ได้ ห้ามกันไม่ได้ ห้ามกันไม่ได้",neko_jump
ห้ามนอนคนเดียว,/music/thailyric/2501,"เขาไม่รักใช่ไหม ก็เสียใจดิ
รักแต่เขาอย่างนี้ ก็เสียฟอร์มหมด
อาการอย่างนี้น่าเป็นห่วง
อาการอย่างนี้น่าเป็นห่วง

ข้อที่หนึ่งนะข้อที่หนึ่ง ห้ามคิดถึงเขาอีกนะ
ข้อที่สองนะข้อที่สอง ข้อนี้ไม่มีอ่ะนะ
แต่อย่าลืม ข้อสุดท้ายต้องระวัง

ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
เธอเพิ่งโดนทิ้ง กลัวว่าเธอจะฟุ้งซ่าน
ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
ใครจะคอยห้าม ตอนที่เธอคิดสั้น

ฉันเคยรักเธอนะ ก็เหมือนกันแหละ
แหมก็ทิ้งกันซะ ให้น้ำตาหก
ก็เคยมาแล้วเลยเป็นห่วง
ก็เคยมาแล้วเลยเป็นห่วง

ข้อที่หนึ่งนะข้อที่หนึ่ง ห้ามคิดถึงเขาอีกนะ
ข้อที่สองนะข้อที่สอง ข้อนี้ไม่มีอ่ะนะ
แต่อย่าลืม ข้อสุดท้ายต้องระวัง

ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
เธอเพิ่งโดนทิ้ง กลัวว่าเธอจะฟุ้งซ่าน
ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
ใครจะคอยห้าม ตอนที่เธอคิดสั้น

ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
เธอเพิ่งโดนทิ้ง กลัวว่าเธอจะฟุ้งซ่าน
ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
ใครจะคอยห้าม ตอนที่เธอคิดสั้น

ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
เธอเพิ่งโดนทิ้ง กลัวว่าเธอจะฟุ้งซ่าน
ห้ามนอนคนเดียว เดี๋ยวมีอารมณ์
ใครจะคอยห้าม ตอนที่เธอคิดสั้น",neko_jump
