song_name,href,lyric,artist
คนที่ยังไม่รู้ว่าใคร,/music/thailyric/10059,"ใครไม่รู้ได้เคยบอกไว้ ว่าในโลกนี้จะมีหัวใจ
อีกใจซ่อนไว้ ให้เราพบอยู่
แต่ทำไมฉันไม่เจอสักที หรือคนอย่างฉันไม่มีเนื้อคู่
แค่อยากจะรู้ว่าใครที่คู่กันกับฉัน

อยากมีเธอ คนที่อยู่ในความฝัน
ได้มีเธอ คนที่อยู่เคียงข้างฉัน
จับมือนอนคุยทั้งค่ำคืน บอกรักเบาๆ เมื่อยามตื่น
ไม่รู้ว่าจะได้มีสักคนไหม

ใครคือคนนั้น (That someone)
คนที่ยังไม่เจอสักที (Just give me someone)
ที่ฉันจะให้คำว่ารักทั้งหมด จากใจที่ฉันมี
แค่ยังไม่เจอว่าเธอนั้นคือใคร
หากเธอคนนั้น (That someone)
ยังมีอยู่จริงเธออยู่ที่ไหน (Just give me someone)
แค่เพียงฉันได้มีใครคนหนึ่งคนที่ใช่ อีกนานเท่าไร 
จะเจอคนที่ยังไม่รู้ว่าใคร

คนที่สร้างมาเป็นคู่กัน เขาคนนั้นต้องเป็นเช่นไร
สบตาหวั่นไหว เมื่อแรกเจอรึเปล่า
หรือต้องเริ่มต้นกันไม่ดี เหมือนในพล๊อตละครหลังข่าว
ต้องทนอีกกี่หนาว ถึงจะได้เจอกับคนนั้น

อยากมีเธอ คนที่อยู่ในความฝัน
ได้มีเธอคนที่อยู่เคียงข้างฉัน
จับมือนอนคุยทั้งค่ำคืน บอกรักเบาๆ เมื่อยามตื่น
ไม่รู้ว่าจะได้มีสักคนไหม

ใครคือคนนั้น (That someone)
คนที่ยังไม่เจอสักที (Just give me someone)
ที่ฉันจะให้คำว่ารักทั้งหมด จากใจที่ฉันมี
แค่ยังไม่เจอว่าเธอนั้นคือใคร
หากเธอคนนั้น (That someone)
ยังมีอยู่จริงเธออยู่ที่ไหน (Just give me someone)
แค่เพียงฉันได้มีใครคนหนึ่งคนที่ใช่ อีกนานเท่าไร 
จะเจอคนที่ยังไม่รู้ว่า

ใครคือคนหนึ่งคนๆ นั้น
ใครจะมีจิตใจที่ตรงกับฉัน บอกที
เธอคือใครที่เป็นคนนั้น
เธอไปอยู่ที่ไหนอย่ามัวแต่อยู่ในฝัน
ไม่รู้ว่าจะได้เจอกัน หรือว่าเธอนั้นมีอยู่จริงไหม

ใครคือคนนั้น (That someone)
คนที่ยังไม่เจอสักที (Just give me someone)
ที่ฉันจะให้คำว่ารักทั้งหมด จากใจที่ฉันมี
แค่ยังไม่เจอว่าเธอนั้นคือใคร
หากเธอคนนั้น (That someone)
ยังมีอยู่จริงเธออยู่ที่ไหน (Just give me someone)
แค่เพียงฉันได้มีใครคนหนึ่งคนที่ใช่ อีกนานเท่าไร 
จะเจอคนที่ยังไม่รู้ว่าใคร

สักวันเราคงได้พบกัน คนที่ยังไม่รู้ว่าใคร",no_one_elses
คำตอบของทุกอย่าง,/music/thailyric/9717,"เคยมีคำถาม เกิดขึ้นในใจ ว่าชีวิตจะมีใครสักคนไหม
หากได้พบเจอ ไม่แน่ใจใครคนนั้น จะรักกัน ได้นานสักแค่ไหน
จนเมื่อได้พบกับเธอ ที่เข้ามาเปลี่ยนแปลงทั้งหัวใจ
เปลี่ยนความคิดที่คิดกลัว ให้หาย และหมดไป

เพราะรักของเธอ ทำให้ฉันมั่นใจ
ทำให้เชื่อในความรักที่ค้นหามานาน
แค่ฉันมีเธอ ชีวิตจากนี้ก็ไม่ต้องการสิ่งใด
เพราะเธอคือคำตอบของทุกอย่าง

มีความผิดหวังมากมายเกิดขึ้นซ้ำๆ
ตอกย้ำว่าชีวิตฉันคงต้องเดียวดาย
จนวันที่เธอเดินเข้ามา
ช่วยเติมให้ชีวิตฉันมีความหมาย
ความเจ็บช้ำที่แล้วมาก็หาย
หาย และหมดไป

เพราะรักของเธอ ทำให้ฉันมั่นใจ
ทำให้เชื่อในความรักที่ค้นหามานาน
แค่ฉันมีเธอ ชีวิตจากนี้ก็ไม่ต้องการสิ่งใด
เพราะเธอคือคำตอบของทุกอย่าง

เพราะรักของเธอ ทำให้ฉันมั่นใจ
ทำให้เชื่อในความรักที่ค้นหามานาน
แค่ฉันมีเธอ ชีวิตจากนี้ก็ไม่ต้องการสิ่งใด
เพราะเธอ เพราะเธอ เพราะ

เพราะรักของเธอ ทำให้ฉันมั่นใจ
ทำให้เชื่อในความรักที่ค้นหามานาน
แค่ฉันมีเธอ ชีวิตจากนี้ก็ไม่ต้องการสิ่งใด
เพราะเธอคือคำตอบของทุกอย่าง

เพราะเธอ เพราะเธอ",no_one_elses
เคยคิดถึงฉันไหมในตอนที่,/music/thailyric/23112,"นั่งมองดาวคนเดียวลำพังเปล่าเปลี่ยว
เเล้วก็ยังไม่มีใครที่จะมาแทนที่เธอได้เลย
เพราะฉันยังคิดถึงเธอคนเดียวที่ดาดฟ้า

เพราะฉันยังคิดถึงเรื่องราวตรงที่ระเบียง
และเสียงหัวเราะที่เธอชอบทำ
ที่ฉันบอกว่าไม่เหมือนใครๆ ตอนนี้อยู่ไหนเฝ้าตามหา

เธอเคยคิดถึงฉันไหม ในตอนที่เธอเหงา
อย่างน้อยตอนที่เธอเมา แค่นั้นก็ยังดี
เคยคิดถึงฉันไหม ในตอนที่เธอเหงา
เคยคิดถึงตอนมีเรา บ้างไหม

เธอเป็นยังไง อยากจะรู้

ฉันยังไปที่เดิมวันนั้นยังเจอเพื่อนเธอ
เลยนั่งคุยกันและถามว่าเธอเป็นไง
สบายดีไหมเธอคุยกับใครอยู่ไหมอยากโทรหา

อยากรู้ทุกวัน เป็นไปได้ไหมถ้าเธอคิดเหมือนกัน
แค่เพียงบอกมา จะสุดขอบฟ้าก็จะไปหา

เธอเคยคิดถึงฉันไหม ในตอนที่เธอเหงา
อย่างน้อยตอนที่เธอเมา แค่นั้นก็ยังดี
เคยคิดถึงฉันไหม ในตอนที่เธอเหงา
เคยคิดถึงตอนมีเรา บ้างไหม

อยากจะเจอเธออีกทีจะได้ไหม
เพราะว่าฉันในตอนนี้อยู่ไม่ไหว
มันโคตรคิดถึงเลยเธอ
อยู่ตรงนี้ที่เคยเจอ
แต่ตอนนี้ไม่มีเธอเคียงข้างกัน

เธอเคยคิดถึงฉันไหม ในตอนที่เธอเหงา
อย่างน้อยตอนที่เธอเมา แค่นั้นก็ยังดี
เคยคิดถึงฉันบ้างไหม ในตอนที่เธอเหงา
เคยคิดถึงตอนมีเรา บ้างไหม

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่า คุยกับฉันได้หรือเปล่า

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่า คุยกับฉันได้หรือเปล่า

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่า คุยกับฉันได้หรือเปล่า

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่า คุยกับฉันได้หรือเปล่า",no_one_elses
ต่อจากนี้เพลงรักทุกเพลงจะเป็นของเธอเท่านั้น,/music/thailyric/22269,"ตั้งแต่วันที่ได้พบเธอ  ก็ไม่มีดอกไม้ใดที่เจอ
ที่จะสวยงาม ที่จะงดงาม เท่ารอยยิ้มของเธอ
ตั้งแต่วันที่ได้พบเธอ ก็ไม่เคยมีคืนไหนที่ฉันจะแหงนมองดาวบนฟ้า
เพราะดวงตาของเธอนั้นสวยกว่า

ยังจำได้ดีวันแรกที่เราได้เจอกัน
เธอใส่ชุดขาวรีบเดินมาเพราะกลัวไม่ทัน
และก็ไม่รู้ตอนไหนหรือเกิดขึ้นเมื่อไร
รู้ตัวอีกทีก็ตอนที่รักทั้งหมดใจ

ตั้งแต่วันที่ได้พบเธอก็ไม่มีดอกไม้ใดที่เจอ
ที่จะสวยงาม ที่จะงดงาม เท่ารอยยิ้มของเธอ
ตั้งแต่วันที่ได้พบเธอก็ไม่เคยมีคืนไหนที่ฉันจะแหงนมองดาวบนฟ้า
เพราะดวงตาของเธอนั้นสวยกว่า

ไม่เคยจะคิดว่ามันจะเกิดขึ้นกับฉัน
อยากขอบคุณเรื่องดีและร้ายที่ทำให้เราได้พบกัน
ต่อจากนี้เพลงรักทุกเพลงมันจะเป็นของเธอเท่านั้น
เธอเท่านั้น เธอเท่านั้น เธอเท่านั้น

ไม่เคยจะคิดว่ามันจะเกิดขึ้นกับฉัน
อยากขอบคุณเรื่องดีและร้ายที่ทำให้เราได้พบกัน
และต่อจากนี้เพลงรักทุกเพลงมันจะเป็นของเธอเท่านั้น
เธอเท่านั้น เธอเท่านั้น เธอเท่านั้น

ตั้งแต่วันที่ได้พบเธอก็ไม่มีดอกไม้ใดที่เจอ
ที่จะสวยงาม ที่จะงดงาม เท่ารอยยิ้มของเธอ
ตั้งแต่วันที่ได้พบเธอก็ไม่เคยมีคืนไหนที่ฉันจะแหงนมองดาวบนฟ้า
เพราะดวงตาของเธอนั้นสวยกว่า

ตั้งแต่วันที่ได้พบเธอก็ไม่มีดอกไม้ใดที่เจอ
ที่จะสวยงาม ที่จะงดงาม เท่ารอยยิ้มของเธอ
ตั้งแต่วันที่ได้พบเธอก็ไม่เคยมีคืนไหนที่ฉันจะแหงนมองดาวบนฟ้า
เพราะดวงตาของเธอนั้นสวยกว่า

ตั้งแต่วันที่ได้พบเธอก็ไม่มีดอกไม้ใดที่เจอ
ที่จะสวยงาม ที่จะงดงาม เท่ารอยยิ้มของเธอ
ตั้งแต่วันที่ได้พบเธอก็ไม่เคยมีคืนไหนที่ฉันจะแหงนมองดาวบนฟ้า
เพราะดวงตาของเธอนั้นสวยกว่า

ยังจำได้ดีวันแรกที่เราได้เจอกัน",no_one_elses
ติด (เธอ) รึยัง?,/music/thailyric/18085,"ทุกวันตื่นตอนเช้าต้องเข้าไปดูเรื่องราวเธอ
แม้เราไม่ได้เจอ ก็คิดถึงเธอทั้งวัน
ทำใจไม่ให้คิด ว่าฉันมันติดเธอเข้าแล้ว
ก็ภาวนาให้ฉันไม่ติด ไม่คิดกับเธอข้างเดียว

อีกนานไหม จะได้พบได้เจอหน้าเธอ
ไม่เจอะกัน ฉันหัวใจสั่นๆ เหมือนฉันไม่มีภูมิคุ้มกัน
ช่วยบอกฉันให้รู้สักที อาการแบบนี้มันคืออะไร

ติดแล้ว หรือยัง
ที่ฉันคิดถึงเธอทุกที
ไม่ว่าตอนนี้หรือว่าในฝัน
ติดแล้ว ใช่ไหม
อยากจะรู้ใครช่วยบอกที
ที่เป็นแบบนี้คือฉันติดเธอหรือยัง

พยายามส่งไลน์หา ทุกครั้งที่เราอยู่ห่างไกล
พอมาเจอเธอทีไร ก็พูดอะไรไม่เป็น
อุณภูมิก็ไม่สูง ยกเว้นเวลาที่คิดถึง
แค่ฉันหายใจไม่ค่อยสะดวก
เมื่อเห็นรูปเธอข้างใคร

อีกนานไหม จะได้พบได้เจอหน้าเธอ
ไม่เจอะกัน ฉันหัวใจสั่นๆ เหมือนฉันไม่มีภูมิคุ้มกัน
ช่วยบอกฉันให้รู้สักที อาการแบบนี้มันคืออะไร

ติดแล้ว หรือยัง
ที่ฉันคิดถึงเธอทุกที
ไม่ว่าตอนนี้หรือว่าในฝัน
ติดแล้ว ใช่ไหม
อยากจะรู้ใครช่วยบอกที
ที่เป็นแบบนี้คือฉันติดเธอหรือยัง

อีกนานไหม จะได้พบได้เจอหน้าเธอ
ไม่เจอะกัน ฉันหัวใจสั่นๆ เหมือนฉันไม่มีภูมิคุ้มกัน
ช่วยบอกฉันให้รู้สักที อาการแบบนี้มันคืออะไร

ติดแล้ว หรือยัง
ที่ฉันคิดถึงเธอทุกที
ไม่ว่าตอนนี้หรือว่าในฝัน
ติดแล้ว ใช่ไหม
อยากจะรู้ใครช่วยบอกที
ที่เป็นแบบนี้มันแปลว่าฉัน

ติดแล้ว หรือยัง
ที่ฉันคิดถึงเธอทุกที
ไม่ว่าตอนนี้หรือว่าในฝัน
ติดแล้ว ใช่ไหม
ถ้าได้พบหน้าเธออีกที
แล้วไม่พบอาหารเหล่านี้
ก็แปลว่าชีวิตฉันคงต้องมี
เธออยู่ด้วยกัน ทุกวัน",no_one_elses
โนบิตะ,/music/thailyric/12383,"ฉันโชคดีแค่ไหนที่ได้รู้จักเธอ
ในค่ำคืนอันอบอุ่นที่ฉันไม่เคยได้พบเจอ
ภายใต้ดวงดาวที่สวยงามราวกับความฝัน
เธอเอนกายมาคล้องแขนไว้ข้างกายฉัน
ราวกับมันเป็นเรื่องที่เขียนไว้ในนิยาย

แต่ในใจลึกๆ ฉันรู้ฉันเองไม่ได้ดีเท่าไหร่
ไม่ได้เป็นคนที่ควรได้รับ
ความรักมากมายจากเธอ
แตกต่างกับเธอดั่งฝืนดินกับสวรรค์
จะคู่ควรกับเธอไหมกังวลอยู่เหมือนกัน
แต่เธอไม่คิดแบบนั้นเพราะเธอรักฉันที่หัวใจ

จะตอบแทนรักเธออย่างไร
แล้วฉันต้องรักเธอมากมายแค่ไหน
ถึงจะเพียงพอ
เพื่อตอบแทนรักเธอได้ไหม
ไม่มีอะไรอีกแล้วที่อยากจะขอ
นอกจากขอให้เธอมั่นใจในฉันจากนี้ไป
ฉันสัญญาจะดูแลจนวันท้าย
สุดหัวใจ ฉันรักเธอ

ไม่รู้ทั้งหัวใจ ที่มีจะพอไหม
เพราะฉันรู้ว่ายังไง รักของเธอก็มากกว่า
หากให้ฉันทดแทนทุกความรู้สึก
ที่เธอได้ให้มา ฉันก็ไม่รู้ว่า
ทั้งหมดชีวิตจะพอไหม

จะตอบแทนรักเธออย่างไร
แล้วฉันต้องรักเธอมากมายแค่ไหน
ถึงจะเพียงพอ
เพื่อตอบแทนรักเธอได้ไหม
ไม่มีอะไรอีกแล้วที่อยากจะขอ
นอกจากขอให้เธอมั่นใจในฉันจากนี้ไป
ฉันสัญญาจะดูแลจนวันท้าย

จะตอบแทนรักเธออย่างไร
แล้วฉันต้องรักเธอมากมาย
แค่ไหนถึงจะเพียงพอ
เพื่อตอบแทนรักเธอได้ไหม
ไม่มีอะไรอีกแล้วที่อยากจะขอ
นอกจากขอให้เธอมั่นใจในฉันจากนี้ไป
ฉันสัญญาจะดูแลจนวันท้าย
สุดหัวใจ ฉันรักเธอ",no_one_elses
ยังไม่ลืม,/music/thailyric/9718,"ก็รู้ว่าเราจบความสัมพันธ์ และฉันควรลืมทุกอย่าง
และรู้ว่าคงไม่มีหนทาง ที่รักจะเหมือนวันก่อน
แต่ทุกๆคืนไม่รู้ทำไม หลับตาก่อนจะเข้านอน
ยังเห็นยังจำเรื่องราวบางตอน จากรักที่พ้นเลยไป

ภาพวันเหล่านั้น ฉันรู้ต้องลืมเพื่อเริ่มใหม่
แต่ฉันไม่รู้ต้องทำยังไง ให้ใจมันลืมภาพเธอ

ยังคิดถึงเรื่อยมา ยังไม่ลืมลบช่วงเวลา
คืนที่สุขและวันที่เสียน้ำตา ไม่เคยจะจางจากหัวใจ
รอเพียงแค่ซักวัน ที่ใจฉันจะทนได้ไหว
ไม่รู้ว่าจากนี้ต้องทน ต้องเจ็บแค่ไหน
หัวใจจะชินกับการที่ต้องไม่มีเธอ

รูปฉันและเธอเมื่อครั้งวันวาน ยังวางอยู่ตรงที่เก่า
เก็บทุกข้อความที่เป็นของเรา และยิ้มทุกครั้งที่อ่าน
ภาพความทรงจำ สุขทุกข์ที่มี เรื่องราวที่เราก้าวผ่าน
อยากให้มันเลือน เหมือนรูปวันวาน ที่มันเริ่มจางหายไป

ภาพวันเหล่านั้น ฉันรู้ต้องลืมเพื่อเริ่มใหม่
แต่ฉันไม่รู้ต้องทำยังไง ให้ใจมันลืมภาพเธอ

ยังคิดถึงเรื่อยมา ยังไม่ลืมลบช่วงเวลา
คืนที่สุขและวันที่เสียน้ำตา ไม่เคยจะจางจากหัวใจ
รอเพียงแค่ซักวัน ที่ใจฉันจะทนได้ไหว
ไม่รู้ว่าจากนี้ต้องทน ต้องเจ็บแค่ไหน
หัวใจจะชินกับการที่ต้องไม่มีเธอ

ยังคิดถึงเรื่อยมา ยังไม่ลืมลบช่วงเวลา
คืนที่สุขและวันที่เสียน้ำตา ไม่เคยจะจางจากหัวใจ
รอเพียงแค่ซักวัน ที่ใจฉันจะทนได้ไหว
ไม่รู้ว่าจากนี้ต้องทน ต้องเจ็บแค่ไหน
หัวใจจะชินกับการที่ต้องไม่มี มีเธอ",no_one_elses
รักที่ไม่เห็นทาง,/music/thailyric/10681,"วันที่เธอเข้ามาก็เหมือนโลกกลายเป็นใบใหม่
วันที่เธอได้ทำให้ใจฉันสั่น
เป็นวันเดียวกับวันที่ใจได้รู้และเริ่มหวั่น
กลัวในความสัมพันธ์ที่ไม่เห็นทาง

แค่เรื่องราวในความฝัน
เรื่องเธอกับฉัน มันไม่เป็นเรื่องจริง
ควรจบลงที่ตรงนั้น ลืมทุกสิ่ง
กลับสู่ความจริง และคอยเฝ้าบอกหัวใจ

ต้องเก็บคำว่ารักในใจแค่นี้
ต้องเก็บใจที่มี ต้องซ่อนเอาไว้
ต้องอดทนต้องฝืน ทุกอย่างพูดไป ไม่เคยจะตรงกับใจ
ทั้งที่รู้ว่าฉันต้องรักในใจแค่นี้
แต่ใกล้กันทุกที ใจยังเผลอยังคิดไกล
ต้องห้ามใจตัวเอง เก็บความรักไว้ในใจ
ไม่อาจบอกเธอให้รู้ความจริง

พยายามปิดใจไม่ยอมให้รักเข้ามาใกล้
พยายามหยุดใจไม่ให้ไหวหวั่น
พยายามไม่ทำให้เธอได้รู้ว่าใจสั่น
ตอนที่เราพบกัน ที่เราทักทาย

แค่เรื่องราวในความฝัน
เรื่องเธอกับฉันมันไม่เป็นเรื่องจริง
ควรจบลงที่ตรงนั้น ลืมทุกสิ่ง
กลับสู่ความจริง และคอยเฝ้าบอกหัวใจ

ต้องเก็บคำว่ารักในใจแค่นี้
ต้องเก็บใจที่มี ต้องซ่อนเอาไว้
ต้องอดทนต้องฝืน ทุกอย่างพูดไป ไม่เคยจะตรงกับใจ
ทั้งที่รู้ว่าฉันต้องรักในใจแค่นี้
แต่ใกล้กันทุกที ใจยังเผลอยังคิดไกล
ต้องห้ามใจตัวเอง เก็บความรักไว้ในใจ
ไม่อาจบอกเธอให้รู้ความจริง

ต้องเก็บคำว่ารักในใจแค่นี้
ต้องเก็บใจที่มี ต้องซ่อนเอาไว้
ต้องอดทนต้องฝืน ทุกอย่างพูดไป ไม่เคยจะตรงกับใจ
ทั้งที่รู้ว่าฉันต้องรักในใจแค่นี้
แต่ใกล้กันทุกที ใจยังเผลอยังคิดไกล
ต้องห้ามใจตัวเอง เก็บความรักไว้ในใจ
ไม่อาจบอกเธอให้รู้ความจริง

ต้องห้ามใจตัวเอง เก็บความรักไว้ในใจ
ไม่อาจบอกไปว่าฉัน รักเธอ",no_one_elses
รู้มั้ย?,/music/thailyric/15374,"รู้ไหมฉันคิดถึงเพียงแต่เธอ
เฝ้าแต่รอวันจะได้พบจะได้เจอ
ไม่รู้ว่าเมื่อไร จะได้พบกันใหม่
แค่รู้ว่าหัวใจหยุดคิดถึงเธอไม่ไหว
อยากจะได้ไปพบเธอ

รู้ไหมฉันคิดถึงมากเท่าไร
ดูรูปเธอมันคิดถึงแทบขาดใจ
กว่าเข็มวินาที จะหมุนครบนาที
ก็เหมือนนานเป็นปีกว่าจะพ้นผ่านคืนนี้
ช่วยบอกทีทำยังไง

หยุดความคิดถึงทำอย่างไร
ต้องทนคิดถึงนานสักแค่ไหน
เธอเท่านั้นที่จะทำให้ความคิดถึงในใจ
มันจางหายไปสักที

หากเธอคิดถึงเหมือนกับฉัน
อย่าปล่อยให้ฉันเพ้อไปคนเดียวแบบนี้
แค่เพียงเอ่ยคำบางคำ
แค่ข้อความที่สั้นๆ ให้ได้รู้

ไหมฉันคิดถึงเพียงแต่เธอ
เฝ้าแต่รอวันจะได้พบจะได้เจอ
จะห้ามใจเท่าไหร่ ก็ห้ามมันไม่ได้
ไม่รู้ทำเช่นไรหยุดคิดถึงเธอไม่ไหว
อยากจะได้เจอกับเธอ

หยุดความคิดถึงทำอย่างไร
ต้องทนคิดถึงนานสักแค่ไหน
เธอเท่านั้นที่จะทำให้ความคิดถึงในใจ
มันจางหายไปสักที

หากเธอคิดถึงเหมือนกับฉัน
อย่าปล่อยให้ฉันเพ้อไปคนเดียวแบบนี้
แค่เพียงเอ่ยคำบางคำ
แค่ข้อความที่สั้นๆ ให้ได้รู้

รู้ไหมฉันคิดถึงเพียงแต่เธอ
ตั้งแต่เจอกันฉันก็รักเธอเสมอ
อยากรู้ว่าหัวใจเธอนั้นเป็นเช่นไร
ส่วนลึกลงข้างในเธอเคยรักกันบ้างไหม
เหมือนฉันในตอนนี้

อยากรู้ว่าหัวใจของเธอรักใคร
ส่วนลึกลงข้างในเธอจะรักฉันได้ไหม
เหมือนฉันรักเธอตอนนี้

รู้ไหมฉันคิดถึง",no_one_elses
อาจจะเรียกว่ารัก,/music/thailyric/11278,"ทำนอง จิตติพล ถาวรกิจ
เรียบเรียง โน วัน เอลส์

อาจจะเคยเจอคนตั้งมากมาย
แต่ไม่มีใครเหมือนเธอ
จะกี่คนที่ดีที่ได้เจอ
แต่กับเธอไม่เหมือนกัน

เธอคือคนๆ เดียวที่เข้ามา
แต่งเติมให้ความฝัน
ที่ในครั้งนึงมันช่างว่างเปล่า
กลับมีเรื่องสุขใจ

ก็ไม่รู้ ว่าฉันคิดถึงเธอได้ไง
ที่หวั่นไหว
ทุกๆ ครั้งที่ได้เจอ
ก็ไม่รู้ ไม่รู้ว่าจะหยุดอย่างไร
ก็ไม่รู้จริงๆ
ว่าทำไมหัวใจฉันมีแต่แค่เธอ

อาจจะเรียกว่ารัก
อาจจะเรียกว่าเพ้อ
สิ่งที่ทำให้ฉันคิดถึงแค่เพียงเธอ
จนหมดหัวใจ
จะอะไรไม่รู้
แค่รู้ว่ายิ่งเวลาผ่านไปเท่าไหร่
สิ่งเหล่านั้นยิ่งทำให้มั่นใจ
ว่าเธอคือคนเดียวที่ใจฉันตามหา

เธอทำให้การรอคอยนั้นง่ายดาย
ถ้าคนที่รอนั้นคือเธอ
ไม่มีทางใดไกลเกินที่ต้องเจอ
ถ้ามีเธอที่ปลายทาง
เธอทำให้เพลงที่เคยแค่ฟังผ่าน
มีความหมายอีกครั้ง
และรอยยิ้มของเธอนั้นไม่อาจ
จะหาได้จากใคร

ก็ไม่รู้ ว่าฉันคิดถึงเธอได้ไง
ที่หวั่นไหว
ทุกๆ ครั้งที่ได้เจอ
ก็ไม่รู้ ไม่รู้ว่าจะหยุดอย่างไร
ก็ไม่รู้จริงๆ
ว่าทำไมหัวใจฉันมีแต่แค่เธอ

อาจจะเรียกว่ารัก
อาจจะเรียกว่าเพ้อ
สิ่งที่ทำให้ฉันคิดถึงแค่เพียงเธอ
จนหมดหัวใจ
จะอะไรไม่รู้
แค่รู้ว่ายิ่งเวลาผ่านไปเท่าไหร่
สิ่งเหล่านั้นยิ่งทำให้มั่นใจ
ว่าเธอคือคนเดียวที่ใจฉันตามหา

ก็ไม่รู้ ว่าฉันคิดถึงเธอได้ไง
ที่หวั่นไหว
ทุกๆ ครั้งที่ได้เจอ
ก็ไม่รู้ ไม่รู้ว่าจะหยุดอย่างไร
ก็ไม่รู้จริงๆ
ว่าทำไมหัวใจฉันมีแต่แค่เธอ

อาจจะเรียกว่ารัก
อาจจะเรียกว่าเพ้อ
สิ่งที่ทำให้ฉันคิดถึงแค่เพียงเธอ
จนหมดหัวใจ
จะอะไรไม่รู้
แค่รู้ว่ายิ่งเวลาผ่านไปเท่าไหร่
สิ่งเหล่านั้นยิ่งทำให้มั่นใจ
ว่าเธอคือคนเดียวที่ใจ

อาจจะเรียกว่ารัก
อาจจะเรียกว่าเพ้อ
สิ่งที่ทำให้ฉันคิดถึงแค่เพียงเธอ
จนหมดหัวใจ
จะอะไรไม่รู้
แค่รู้ว่ายิ่งเวลาผ่านไปเท่าไหร่
สิ่งเหล่านั้นยิ่งทำให้มั่นใจ
ว่าเธอคือคนเดียวที่ใจฉันตามหา

อาจจะเรียกว่ารัก
อาจจะเรียกว่าเพ้อ
สิ่งที่ทำให้ฉันคิดถึงแค่เพียงเธอ
จนหมดหัวใจ
จะอะไรไม่รู้
แค่รู้ว่ายิ่งเวลาผ่านไปเท่าไหร่
สิ่งเหล่านั้นยิ่งทำให้มั่นใจ
ว่าเธอคือคนเดียวที่ใจฉันตามหา",no_one_elses
