song_name,href,lyric,artist
กอดน้องแน่นๆ,/music/thailyric/23063,"กอดน้อง กอดน้องให้แน่นๆ
อ้อมแขนของอ้ายมันมีไออุ่น
ยามหนาวใจ รู้ไหมฉันต้องการคุณ
ช่วยการุณ เป็นผ้าห่มบังลมให้ที

อ้ายเอ๋ย ยามน้องเหงาน้องเศร้า
อยากฟัง คำเว่าหวานๆ จากพี่
เอาแก้มซบอก ยิ้มให้กันด้วยไมตรี
รับปากหน่อยสิ ว่าสิบ่ถิ่มน้องไป

กอดน้องแน่นๆ สองแขนอ้ายอย่าวาง
ขออยู่ข้างๆ เพื่อสร้างความมั่นใจ
ยิ่งใกล้ชิดกัน นับวันก็ยิ่งสดใส
เส้นทางรักยังยาวไกล สายใยให้เราผูกพัน

กอดน้อง กอดน้องให้แน่นๆ
อ้อมแขน สัญญาว่าบ่จากกัน
รักจะมีสุข อยู่ที่เราสองคนเท่านั้น
อยากให้อ้ายกอดทุกวัน
เพื่อยืนยันรักจริงจากใจ

กอดน้องแน่นๆ สองแขนอ้ายอย่าวาง
ขออยู่ข้างๆ เพื่อสร้างความมั่นใจ
ยิ่งใกล้ชิดกัน นับวันก็ยิ่งสดใส
เส้นทางรักยังยาวไกล สายใยให้เราผูกพัน

กอดน้อง กอดน้องให้แน่นๆ
อ้อมแขนสัญญาว่าบ่จากกัน
รักจะมีสุข อยู่ที่เราสองคนเท่านั้น
อยากให้อ้ายกอดทุกวัน
เพื่อยืนยันรักจริง จากใจ",nuch_wilawan_rsiam
กะได้,/music/thailyric/14967,"เจ็บบ่ล่ะหัวใจ กะเกือบตายถ้าอ้ายสิหนี
ถิ่มเศษฮักไว้นี้แล้วเปิดหนีไปนำเขา
อย่าให้อธิบาย อย่าให้บรรยายอย่าให้น้องเว้า
หัวใจปานก้อนขี้เถ้า อ้ายเอาเหยียบลงขี้ตม

เคยฮักอ้ายเบิดหัวใจ สุดท้ายอ้ายถีบหัวถิ่ม
กะแม่นแล้วแนวกินจนอิ่ม แล้วกะถิ่มจากไป

เฮ็ดกันได้แบบนี้ แม่นมีอยู่บ่หัวใจ
คั่นบ่คิดว่าอายหมากะไป ถิ่มมันไว้โลดตรงนี้

กะได้คั่นอ้ายสิไปกะสิบ่ขวางทางอ้ายอิหยัง
ถึงว่าสิเจ็บจนน้ำตาพัง กะสินั่งเช็ดเอาตรงนี้
เบิดฮักแล้วกะจากไป เบิดใจกะให้ฟ้าวหนี
ฮู้โตดี ว่ามื้อนี้ คงต้องปวดใจ

กะได้คั่นอ้ายสิไปกะสิบ่ขวางทางอ้ายอิหยัง
ถึงว่าสิเจ็บจนน้ำตาพัง กะสินั่งเช็ดเอาตรงนี้
เบิดฮักแล้วกะจากไป เบิดใจกะให้ฟ้าวหนี
ฮู้โตดี ว่ามื้อนี้ คงต้องปวดใจ

กะได้คั่นอ้ายสิไปกะสิบ่ขวางทางอ้ายอิหยัง
ถึงว่าสิเจ็บจนน้ำตาพัง กะสินั่งเช็ดเอาตรงนี้
เบิดฮักแล้วกะจากไป เบิดใจกะให้ฟ้าวหนี
ฮู้โตดี ว่ามื้อนี้ คงต้องปวดใจ

ฮู้โตดี ว่ามื้อนี้ คงต้องปวดใจ",nuch_wilawan_rsiam
โควิดเซาเจ้าแต่งงาน,/music/thailyric/18042,"สามเดือนล่ะเด้ ที่เฮาบ่ได้พ้อหน้า
ย้อนโควิดพรากเราไกลตา
ตั้งแต่กุมภาจนเมษายน
จากสิบสี่วันมาเป็นสามเดือนที่ต้องอดทน
สู้กับโรคก็ยังพอทน สู้คิดฮอดคนมันทนบ่ไหว

โรคร้ายผ่านไป เมื่อเดือนล่ะได๋สิได้พ้อหน้า
ตั้งใจไปกอดให้สมรอท่า แต่ต้องหน้าล้าเพราะฮู้ข่าวเธอ
สิแต่งงานแล้ว คนส่าเว่าแซวไปหลายอำเภอ
เจ้าโพสต์ภูมิใจสามเดือนละเด้อ
ที่ฉันมีเธออยู่เคียงข้างกัน

โควิดพรากเขาให้เจ้ากับเขาแต่งงาน
เวลาสั้นๆ ที่ต้องไกลกันคือลืมง่ายแท้
บัดคนทางนี้เบิ่งข่าวทีวี ส่งเจลเทคแคร์
คิดฮอดแป๋ตาย แต่ก็ทำได้แค่แชทดูแล
ย่านคนไกลป่วยไข้นะแหม เจ้าซ่างบ่แคร์แอบมีผู้อื่น

มื้อโควิดซาเป็นมื้อเจ้ากับเขาแต่งหมั้น
ฟ้าหลังฝนคือเป็นจั่งซั่น จั่งแม่นสวรรค์สร้างบ่หลูโตน
โรคร้ายกะเสี่ยง แถมคนข้างเคียงเปลี่ยนใจเปลี่ยนคน
ตบตีโศก มาโศกเหลือล้นเสียคนทั้งคน ย้อนโรคโควิด

โควิดพรากเขาให้เจ้ากับเขาแต่งงาน
เวลาสั้นๆ ที่ต้องไกลกันคือลืมง่ายแท้
บัดคนทางนี้เบิ่งข่าวทีวี ส่งเจลเทคแคร์
คิดฮอดแป๋ตาย แต่ก็ทำได้แค่แชทดูแล
ย่านคนไกลป่วยไข้นะแหม เจ้าซ่างบ่แคร์แอบมีผู้อื่น

มื้อโควิดซาเป็นมื้อเจ้ากับเขาแต่งหมั้น
ฟ้าหลังฝนคือเป็นจั่งซั่น จั่งแม่นสวรรค์สร้างบ่หลูโตน
โรคร้ายกะเสี่ยง แถมคนข้างเคียงเปลี่ยนใจเปลี่ยนคน
ตบตีโศก มาโศกเหลือล้นเสียคนทั้งคน ย้อนโรคโควิด

โควิดพรากเขาให้เจ้ากับเขาแต่งงาน
เวลาสั้นๆ ที่ต้องไกลกันคือลืมง่ายแท้
บัดคนทางนี้เบิ่งข่าวทีวี ส่งเจลเทคแคร์
คิดฮอดแป๋ตาย แต่ก็ทำได้แค่แชทดูแล
ย่านคนไกลป่วยไข้นะแหม เจ้าซ่างบ่แคร์แอบมีผู้อื่น

มื้อโควิดซาเป็นมื้อเจ้ากับเขาแต่งหมั้น
ฟ้าหลังฝนคือเป็นจั่งซั่น จั่งแม่นสวรรค์สร้างบ่หลูโตน
โรคร้ายกะเสี่ยง แถมคนข้างเคียงเปลี่ยนใจเปลี่ยนคน
ตบตีโศก มาโศกเหลือล้นเสียคนทั้งคน ย้อนโรคโควิด

เงินห้าพันก็บ่ได้ ผู้บ่าวก็มาหรอยแต่งงานใหม่อีกอยู่
โอ๊ย บักโควิด",nuch_wilawan_rsiam
เบิดโจกโหลกฟ้า,/music/thailyric/22676,"ที่อ้ายเป็นอยู่บ่ฮู้ด้วยเหตุผลใด๋
ที่อ้ายเปลี่ยนไปขอถามหัวใจแหน่เถาะ
ทุกแลงทุกเซ้าเทียวโทรหาส่งเข้านอน
บ่คือแต่ก่อน แต่ก่อนซั่นเด้มวนนั่น

จากมือเคยจับ มอไซเคยซ้อน กะบ่สะออนมาเฮ็ดคือเก่า
อยากสิไปเบิ่งหนังกินข้าวอ้ายบ่หัวซา
แต่กี้เคยให้ดอกไม้ ให้ดู๋หลายปานซองผ้าป่า
มื้อนี่เป็นหยังล่ะว้า เว่ามาล่ะเสียใจ

คบกันมานานเกินไปหรือมีคนใหม่จั่งบ่คือเก่า
ความสวยลดหน่อย หรือหลอยมีเขา
บ่บอกบ่กล่าวให้แจ้งแหน่บ้อ หือ

เบิดโจกโหลกฟ้า กะอ้ายนี่ล่ะน้องฮักเบิดใจ
บ่อยากมีไผ มาเริ่มต้นใหม่กับใจดวงเก่า
คืนมาสาอ้าย คืนมา มาเป็นคนเก่า
บ่อยากหนีไปสุดส่าว อยากฮักคือเก่า บ่อยากเปลี่ยนใจ

คบกันมานานเกินไปหรือมีคนใหม่จั่งบ่คือเก่า
ความสวยลดหน่อย หรือหลอยมีเขา
บ่บอกบ่กล่าวให้แจ้งแหน่บ้อ หือ

เบิดโจกโหลกฟ้า กะอ้ายนี่ล่ะน้องฮักเบิดใจ
บ่อยากมีไผ มาเริ่มต้นใหม่กับใจดวงเก่า
คืนมาสาอ้าย คืนมา มาเป็นคนเก่า
บ่อยากหนีไปสุดส่าว อยากฮักคือเก่า บ่อยากเปลี่ยนใจ

เบิดโจกโหลกฟ้า กะอ้ายนี่ล่ะน้องฮักเบิดใจ
บ่อยากมีไผ มาเริ่มต้นใหม่กับใจดวงเก่า
คืนมาสาอ้าย คืนมา มาเป็นคนเก่า
บ่อยากหนีไปสุดส่าว อยากฮักคือเก่า บ่อยากเปลี่ยนใจ

บ่อยากหนีไปสุดส่าว อยากฮักคือเก่า บ่อยากเปลี่ยนใจ",nuch_wilawan_rsiam
ผิดบ่?,/music/thailyric/17888,"หมู่มาเว้าสู่ฟัง อ้ายถืกหักหลังจากสาวคนใหม่
คนที่อ้ายยอมถิ่มน้องไปสานต่อหัวใจกับเขา
ซงฮักกันแฮง คือแพงเขาหลาย น้องใจสลายเบิดคำสิเว้า
จนบ่คิดว่าอ้ายกับเขาสิเป็นลายต่าง

มื้อนี้เป็นวันของเฮา
ย้อนอ้ายกับเขาเริ่มมีปัญหา
จากเคยทุกข์ใจกะยิ้มได้ละล่ะ
ขอเวลาให้น้องถามแหน่

สิผิดบ่ ถ้าน้องบอกว่าดีใจ
ที่เห็นอ้ายกับเขาคนนั้นเคียดกัน
สิผิดบ่ ที่ลุ้นให้เจ้าทั้งสองเลิกกัน
อยากให้อ้ายนั้นเสียใจคือน้องผ่านมา

เคยเป็นคนดีอ้ายยังหนีจากไป
เฮ็ดให้เจ็บใจซังหลายพอเว้ามา
น้องสะใจ ถืกใจ มันผิดบ่ล่ะ
แค่อยากให้อ้ายฮู้สึกแหน่ว่า
มื้ออ้ายถิ่มมา น้องเจ็บส่ำได๋

หมู่มาเว้าสู่ฟัง อ้ายถืกหักหลังจากสาวคนใหม่
คนที่อ้ายยอมถิ่มน้องไปสานต่อหัวใจกับเขา
ซงฮักกันแฮง คือแพงเขาหลาย น้องใจสลายเบิดคำสิเว้า
จนบ่คิดว่าอ้ายกับเขาสิเป็นลายต่าง

มื้อนี้เป็นวันของเฮา
ย้อนอ้ายกับเขาเริ่มมีปัญหา
จากเคยทุกข์ใจกะยิ้มได้ละล่ะ
ขอเวลาให้น้องถามแหน่

สิผิดบ่ ถ้าน้องบอกว่าดีใจ
ที่เห็นอ้ายกับเขาคนนั้นเคียดกัน
สิผิดบ่ ที่ลุ้นให้เจ้าทั้งสองเลิกกัน
อยากให้อ้ายนั้นเสียใจคือน้องผ่านมา

เคยเป็นคนดีอ้ายยังหนีจากไป
เฮ็ดให้เจ็บใจซังหลายพอเว้ามา
น้องสะใจ ถืกใจ มันผิดบ่ล่ะ
แค่อยากให้อ้ายฮู้สึกแหน่ว่า

สิผิดบ่ ถ้าน้องบอกว่าดีใจ
ที่เห็นอ้ายกับเขาคนนั้นเคียดกัน
สิผิดบ่ ที่ลุ้นให้เจ้าทั้งสองเลิกกัน
อยากให้อ้ายนั้นเสียใจคือน้องผ่านมา

เคยเป็นคนดีอ้ายยังหนีจากไป
เฮ็ดให้เจ็บใจซังหลายพอเว้ามา
น้องสะใจ ถืกใจ มันผิดบ่ล่ะ
แค่อยากให้อ้ายฮู้สึกแหน่ว่า
มื้ออ้ายถิ่มมา น้องเจ็บส่ำได๋

น้องสะใจ ถืกใจ มันผิดบ่ล่ะ
แค่อยากให้อ้ายฮู้สึกแหน่ว่า
มื้ออ้ายถิ่มมา น้องเจ็บส่ำได๋",nuch_wilawan_rsiam
ผู้สาวมักม่วน,/music/thailyric/13219,"ผู้สาวมักม่วน
หมู่ซวนไปไสกะไป
หมอลำบ้านได๋
จนสอดแจ้งจางปาง
พวกเฮาสายซิ่ง
ผู้บ่าวแนมจนตาค้าง
กางเกงขาดเข่าใส่เสื้อรัดเอวบางๆ
กะสวยกะเริศซะอย่าง
บ่ออนซอนกะเซิน

มีบุญมีงานทุกบ้าน
ต้องมีหมอลำ
บ้านใดบ่จ้าง
กะโพสต์เฟซว่าเพิ่น
เจ้าภาพขี้ถี่ ใจบ่ใหญ่บ่เกิน
เจ้าภาพขี้ถี่ใจใหญ่พอกะเทิน
แพงไว้เฮ็ดหยังน้อเงิน
สิไซ้เหมิดอยู่บ้อจ้า

งานบุญบ้านเฮา
มันจะต้องยิ่งใหญ่
งานบุญบ้านเฮา
ต้องหมอลำวงใหญ่
ประถมระเบียบศิลปินภูไท
คำผุน สาวน้อย บอยศิริชัย
เสียงอีสานรัตนศิลป์เต้ยถืกใจ
ถืกใจ ถืกใจ ถืกใจ
ถืกใจ ถืกใจ ถืกใจ
อย่าลืมเด้อพ่อผู้ใหญ่
นุช วิลาวัลย์นำเด้อจ้า

แม่น้อย เดือนเพ็ญ
กะเริ่ดนะคะ

ผู้สาวมักม่วน
หมู่ซวนไปไสกะไป
แต่เรื่องหัวใจ
บ่ทันมีไผเคียงคู่
ยังโสดโสดโสด
ยังซิงซิงซิง
ยังโสดโสดโสด
ยังซิงซิงซิง
บ่ทันมีไผมาดู
นาท่งน้อยๆ
น้ำท่วมบ่ทันเป่งอยู่
บักหอยหนองน้อย
บ่ทันมีไผจูบอยู่
ถ้าอยากเคียงคู่
จกกะปูเก่งบ่จ้า
อ่ะจกจกจก
อ่ะจกจกจก
อ่ะจกจกจก
อ่ะจกจกจก
ฮู้กะปูเก่งบ่จ้า

งานบุญบ้านเฮา
มันจะต้องยิ่งใหญ่
งานบุญบ้านเฮา
ต้องหมอลำวงใหญ่
ประถมระเบียบศิลปินภูไท
คำผุน สาวน้อย บอยศิริชัย
เสียงอีสานรัตนศิลป์เต้ยถืกใจ
ถืกใจ ถืกใจ ถืกใจ
ถืกใจ ถืกใจ ถืกใจ
อย่าลืมเด้อพ่อผู้ใหญ่
นุช วิลาวัลย์นำเด้อจ้า
หนึ่ง รุ่งทิวา
กะเริ่ดนะคะ

ผู้สาวมักม่วน
หมู่ซวนไปไสกะไป
แต่เรื่องหัวใจ
บ่ทันมีไผเคียงคู่
ยังโสดโสดโสด
ยังซิงซิงซิง
ยังโสดโสดโสด
ยังซิงซิงซิง
บ่ทันมีไผมาดู
นาท่งน้อยๆ
น้ำท่วมบ่ทันเป่งอยู่
บักหอยหนองน้อย
บ่ทันมีไผจูบอยู่
ถ้าอยากเคียงคู่
จกกะปูเก่งบ่จ้า
อ่ะจกจกจก
อ่ะจกจกจก
อ่ะจกจกจก
อ่ะจกจกจก
ฮู้กะปูเก่งบ่จ้า

อ่ะจกจกจก
อ่ะจกจกจก
อ่ะจกจกจก
อ่ะจกจกจก
ฮู้กะปูเก่งบ่จ้า",nuch_wilawan_rsiam
รูปพ่อเปลี่ยนสี,/music/thailyric/13353,"เริ่มจำความได้
ไปไหนมาไหนก็มีรูปพ่อ
โรงเรียน โรงงาน โรงหมอ
ยังมีรูปพ่อกราบไหว้บูชา
พระเจ้าแผ่นดินที่คนทั่วถิ่น
สรรเสริญศรัทธา
อย่างเดียวในผืนโลกา
พระราชาของเราชาวไทย

เหมือนฟ้าผ่าใจสวรรค์
ใจร้ายหรือใครกำหนด
ศูนย์รวมใจคนไทยทั้งหมด
พ่อหลวงของปวงประชา
ท่านจากไปแล้ว
ดวงแก้วพ่อของลูกจ๋า
แม้นเตรียมใจเอาไว้ล่วงหน้า
แต่วันนี้มามันรับบ่ได้

ใจสลายมลายสิ้น
พ่อจากดินกลับสวรรค์
ปฏิทินงามข้างฝาบ้าน
บ่มีพ่อแล้วต่อไป
บ่อยากออกไปไส
รับบ่ได้ความขมขื่น
เหลียวทางได๋ไห้สะอื้น
เห็นรูปพ่อบ่มีสี

เคยสีสดใสที่เรากราบไหว้
รูปพ่อวันก่อน
วันนี้สิ้นเรี่ยวแรงอ่อน
สุดจะถอนกับความเศร้าได้
เบิ่งสองข้างทางบนป้ายต่างๆ
ลูกน้ำตาไหล บ่ใช่ความฝันใช่ไหม
รูปเคยสดใสกลายเป็นขาวดำ

สัญญาด้วยใจ
จะนานแค่ไหนไม่ลืมคำพ่อ
รักกันผูกพันเพียงพอ
ที่พ่อก่อลูกขอสืบไป
ลูกอีสานคนนี้
จะเป็นคนดีให้พ่อภูมิใจ
หากแม้นว่าขอพรได้
อยากร้องอวยชัย
ทรงพระเจริญ

ไม่ส่งเสด็จได้ไหม
อยากร้องอวยชัย
ทรงพระเจริญ",nuch_wilawan_rsiam
สัญญารักหนองหาร,/music/thailyric/21219,"หอบความคิดฮอดมาจอดอยู่ที่หนองหาร
ปีกลายสัญญาสาบานที่ริมหนองหารสกลนคร
แห่ปราสาทผึ้งสบตาซึ้งในขบวนฟ้อน
ก่อนกลับยังกราบขอพรพระธาตุเชิงชุมอิ่มฮักอิ่มใจ

ยังจำมันได้พาอ้ายไปเลาะดอนสวรรค์
ดินแดนไอ่คำตำนานเรื่องเลาโบราณฮักฮ้างเมืองฮั่ว
ตะเว็นคล้อยบ่ายเบิ่งงามหลายสะพานบึงบัว
ขอไลน์อ้อนหยอดคำมั่นชัวร์ อีกปีกั่วๆ สิฟ้าวมาขอ

โอเด โอ๊ โอ๊ โอ้ โอ โอ้ โอ โอ้ โอ
โอเด้ อ้ายบ่าวพี่ชายเอ้ย
น้องนี่เหลว น้องนี่มาคอยอ้ายคือนางไอ่คอยผาแดง
น้องมาแยงทางอ้ายปานพังคีจอบแนมซู้
โอเด้ จนตะเว็นค่ำคล้อยคองถ่าอ้ายกะมิเห็น
เย็นทางเมอ

รออ้ายจนท้อนัดให้มารอที่งานแห่ดาว
ล่องแพท่าวัดสุดเหงา มิเห็น มิมา มิมี มิเจ๋อ
หลอกให้คิดฮอด กะบ่เห็นซอด ถ่างานแต่งเก้อ
มาซ่างใจเค็มคือเกลอ ไปเฮ็ดผะเลอ อยู่สิเลอน้ออ้าย

เสียแฮงคิดฮอดฮักจอดอยู่ที่หนองหาร
หรือเป็นเหมือนดั่งตำนานพังคีบันดาลให้ฮักนางหล่ม
สาปสาวหนองหารให้ใจพิการฮักบ่อุ้มสม
ให้นางเจ็บช้ำตรอมตรมปานถืกศรคมคือจั่งพังคี

รออ้ายจนท้อนัดให้มารอที่งานแห่ดาว
ล่องแพท่าวัดสุดเหงา มิเห็น มิมา มิมี มิเจ๋อ
หลอกให้คิดฮอด กะบ่เห็นซอด ถ่างานแต่งเก้อ
มาซ่างใจเค็มคือเกลอ ไปเฮ็ดผะเลอ อยู่สิเลอน้ออ้าย

เสียแฮงคิดฮอดฮักจอดอยู่ที่หนองหาร
หรือเป็นเหมือนดั่งตำนานพังคีบันดาลให้ฮักนางหล่ม
สาปสาวหนองหารให้ใจพิการฮักบ่อุ้มสม
ให้นางเจ็บช้ำตรอมตรมปานถืกศรคมคือจั่งพังคี

วอนปู่นาคหนองหารฤทธี
ล้างมนต์พังคี ให้ลูกสมหวัง",nuch_wilawan_rsiam
สาวดำรำพัน 2022,/music/thailyric/22779,"สาว คนดำ คือน้อง ไผ เดน้อ
ซิจอง ไปซ้อน ปอน
ชาย ผู้ฟังลำเพลิน
โปรด สงสาร อีน้อง
ลำร้อง แม่นส่งมา

โอ้ใจ ของชาย นั้นไม่แน่
ชอบผันแปร รักไม่แน่ เปลี่ยนแปรผัน
ก่อนเคยรัก ถนอม ดั่งดวงจันทร์
ส่วนพี่นั้น เป็นหยัง ลืมลงคอ

พอ พระทัย แล้ว
พระทัยแล้ว
แนวสาวนา บ่มีค่า
วาสนา จั่งน้อง จั่งน้อง
พี่มองข้าม ว่าดำ
ใจน้องช้ำ มีตั้งแต่รำพัน
วาสนาสาวดำ พี่ช่างทำ
เออเอย หนอลง ได้

น้อยใจ ตัวเองเหลืออนาถ
ตกเป็นทาส
ความรักมันหนักสมอง
ตกหลุมรัก พ่อคุณน้ำตานอง
สุดเศร้าหมอง
นองน้ำตาเหมือนกาดำ

ดำหรือแหล่ หรือแหล่
ขอให้แล แนเด้อพี่
ใจบ่ดำดอกพี่
ดอกพี่ อย่าติน้องพี่เอ้ย
พี่อย่าเย้ย อย่าเย้ย
ว่าตั้งแต่นางดำ
คั่นได้หม่ำจั๊กคำ
ย่านแต่นำ สิตามบ่เมื่อ บ้าน

น้อยใจ ตัวเองเหลืออนาถ
ตกเป็นทาส
ความรักมันหนักสมอง
ตกหลุมรัก พ่อคุณน้ำตานอง
สุดเศร้าหมอง
นองน้ำตาเหมือนกาดำ

ดำหรือแหล่ หรือแหล่
ขอให้แล แนเด้อพี่
ใจบ่ดำดอกพี่
ดอกพี่ อย่าติน้องพี่เอ้ย
พี่อย่าเย้ย อย่าเย้ย
ว่าตั้งแต่นางดำ
คั่นได้หม่ำจั๊กคำ
ย่านแต่นำ สิตามบ่เมื่อ บ้าน",nuch_wilawan_rsiam
สิเอาให้ได้,/music/thailyric/16295,"อยากได้ผัว อยากได้ผัว อยากได้ผัว
สิเอาให้ได้ผู้ชายคนนี้

ปิดใจโดนย้อนถืกคนมาตั๋วใจ
บ่มีไผถืกใจมาหลายปี
เทิงย่านเจ็บย่านเหงา
ย่านว่าเขามาหลอกกินฟรี
ย่านเจ็บที่ เจ็บที่ตรงหัวใจ

บัด พ้อ อ้าย ผู้สายตาซอนแลน
อยากได้มาเป็นแฟนล่ะเด้หัวใจ
ของขาดมานานรู้สึกอยากได้แนวหล่องหัวใจ
มีเมียรึบ่มีจั่งได๋น้องกะอยากได้
สิเอาให้ได้เด้อคนๆ นี้

ล็อคคอตีหัวล่ะเอาผัวเข้าบ้าน
น้องบ่ได้ย่านคนมองบ่ดี
เกิดมาซาดเดียวให้ได้อ้ายผู้นี้
น้องกะมีแฮงแล้ว

ล็อคคอตีเข่าล่ะเอาอ้ายเป็นผัว
น้องพร้อมเสียตัวมื้อเอาบุญแอว
อ้ายอยากได้หยังสิเฮ็ด สิหา สิให้ซุแนว
สิอด สิทน สิยอมซุอย่าง
สิเอาให้ได้ผู้ชายคนนี้

จ่มมนต์ล่ะเป่ามนต์สาบ้อ เป่ามนต์ล่ะใส่อ้ายสาน้อ
คาถาแม่หมอสั่งสะกดใจพี่ ให้ติดใจแต่โตน้องผู้นี้
ติดใจโอ๊ยติดนั่นติดนี่ ติดหนี้น้องซะน้อ
ให้หลงแต่น้องผู้เดียว ให้มีแต่น้องผู้เดียว
ให้ฮักแต่น้องผู้เดียว ฮักน้องผู้เดียวสาเด้ออ้าย

ปิดใจโดนย้อนถืกคนมาตั๋วใจ
บ่มีไผถืกใจมาหลายปี
เทิงย่านเจ็บย่านเหงา
ย่านว่าเขามาหลอกกินฟรี
ย่านเจ็บ เจ็บที่ตรงหัวใจ

บัด พ้อ อ้าย ผู้สายตาซอนแลน
อยากได้มาเป็นแฟนล่ะเด้หัวใจ
ของขาดมานานรู้สึกอยากได้แนวหล่องหัวใจ
มีเมียรึบ่มีจั่งได๋น้องกะอยากได้
สิเอาให้ได้เด้อคนๆ นี้

ล็อคคอตีหัวล่ะเอาผัวเข้าบ้าน
น้องบ่ได้ย่านคนมองบ่ดี
เกิดมาซาดเดียวให้ได้อ้ายผู้นี้
น้องกะมีแฮงแล้ว

ล็อคคอตีเข่าล่ะเอาอ้ายเป็นผัว
น้องพร้อมเสียตัวมื้อเอาบุญแอว
อ้ายอยากได้หยังสิเฮ็ด สิหา สิให้ซุแนว
สิอด สิทน สิยอมซุอย่าง

ล็อคคอตีหัวล่ะเอาผัวเข้าบ้าน
น้องบ่ได้ย่านคนมองบ่ดี
เกิดมาซาดเดียวให้ได้อ้ายผู้นี้
น้องกะมีแฮงแล้ว

ล็อคคอตีเข่าล่ะเอาอ้ายเป็นผัว
น้องพร้อมเสียตัวมื้อเอาบุญแอว
อ้ายอยากได้หยังสิเฮ็ด สิหา สิให้ซุแนว
สิอด สิทน สิยอมซุอย่าง
สิเอาให้ได้ผู้ชายคนนี้

จ่มมนต์ล่ะเป่ามนต์สาบ้อ เป่ามนต์ล่ะใส่อ้ายสาน้อ
คาถาแม่หมอสั่งสะกดใจพี่ ให้ติดใจแต่โตน้องผู้นี้
ติดใจโอ๊ยติดนั่นติดนี่ ติด น้องซะน้อ
ให้หลงแต่น้องผู้เดียว ให้มีแต่น้องผู้เดียว
ให้ฮักแต่น้องผู้เดียว ฮักน้องผู้เดียวสาเด้ออ้าย
สาธุ",nuch_wilawan_rsiam
