song_name,href,lyric,artist
โปรดหลอกฉัน,/music/thailyric/5801,"ไม่รู้...ฉันเองก็คงไม่เจ็บ
ไม่รู้...ฉันเองก็คงไม่ช้ำ
ไม่รัก ก็ไม่ต้องพูดเลยสักคำ 
อยากฟังแต่คำว่ารักของเธอ
ก็รู้ สายตาที่มองนั้นเปลี่ยน
ก็รู้ หัวใจไม่มีให้ฉัน
เหตุผลของเธอไม่คิดที่จะฟัง 
ไม่ต้องบอกฉัน ว่ารักนั้นมันเหนื่อย
โปรดหลอกฉัน ช่วยหลอกฉัน
ว่าเธอนั้น ยังรักกัน คงไม่ยากเกินไป
อย่าบอกฉัน ว่าเธอรักใคร เธอมีใคร ที่เธอนั้นต้องไป
หมดใจไม่รักกัน...
แค่นั้น ฉันคงจะลืมได้ง่าย
แค่นั้น ช่วยโกหกกันได้ไหม
และน้อยก็มีเหตุผลให้ทำใจ แค่ไม่ใจร้าย ฉันขอเธอเพียงแค่นี้
โปรดหลอกฉัน ช่วยหลอกฉัน
ว่าเธอนั้น ยังรักกัน คงไม่ยากเกินไป
อย่าบอกฉัน ว่าเธอรักใคร เธอมีใคร ที่เธอนั้นต้องไป
หมดใจไม่รักกัน...

โปรดหลอกฉัน ช่วยหลอกฉัน
ว่าเธอนั้น ยังรักกัน คงไม่ยากเกินไป
อย่าบอกฉัน ว่าเธอรักใคร เธอมีใคร ที่เธอนั้นต้องไป
หมดใจไม่รักกัน...

ช่วยหลอกฉันที",nui_nantakan
กู๊ดบาย เพื่อน,/music/thailyric/5796,"ถึงวันที่พวกเรานั้น ต้องจากกันไปเพราะเวลา
ถึงคราวที่พวกเรานะ ก็ต่างจำเป็นต้องไป
ถึงแม้เราจะไปไหน จะจากกันนานสักเพียงใด
ทุกครั้งให้จดจำไว้ ว่าเราไม่เคยทิ้งกัน

Good-bye เพื่อนรักเอย Oh, I don't wanna say good bye
Good-bye ขอลาก่อน
Good-bye เพื่อนรักเอย Oh, I don't wanna say good bye
Good-bye ขอลาก่อน

แม้วันที่พวกเรานั้น ก็ต่างต้องเดินไปตามทาง
แล้ววันที่พวกเรานะ ต้องเจอะต้องเจอเรื่องราวร้อนใจ
ถึงแม้เราจะอยู่ไหน พวกเราจะเป็นกำลังใจ
ทุกครั้งให้จดจำไว้ ว่าเรามันเป็นเพื่อนกัน

Good-bye เพื่อนรักเอย Oh, I don't wanna say good bye
Good-bye ขอลาก่อน
Good-bye เพื่อนรักเอย Oh, I don't wanna say good bye
Good-bye ขอลาก่อน

แม้วันที่พวกเรานั้น ก็ต่างต้องเดินไปตามทาง
แล้ววันที่พวกเรานะ ต้องเจอะต้องเจอเรื่องราวร้อนใจ
ถึงแม้เราจะอยู่ไหน พวกเราจะเป็นกำลังใจ
ทุกครั้งให้จดจำไว้ ว่าเรามันเป็นเพื่อนกัน

Good-bye เพื่อนเอย Oh, I don't wanna say good bye
Good-bye เพื่อนเอย Wanna see you again
Good-bye เพื่อนเอย Oh, I don't wanna say good bye
Good-bye เพื่อนเอย When I'll see you again
Good-bye เพื่อนเอย นา นา นา นา นา นา (x3)
Good-bye เพื่อนเอย
Don't wanna say good bye",nui_nantakan
เธอหมดใจ,/music/thailyric/5799,"หลายครั้งที่มองหน้าเธอ มันทำให้ฉันรู้เสมอว่าเธอเปลี่ยนไป
รักเราดูห่างห่างไกล และไม่รู้จะทำอย่างไรให้มันเหมือนเดิม
เพราะเธอคงเบื่อ เบื่อฉัน แม้ทำทุกอย่าง แต่ที่เธอต้องการมันมากกว่านั้น

การกระทำของเธอ บอกว่าเธอนั้นหมดใจ จากกันไปเพราะเธอเห็นใจคนอื่น

ฉันรู้และพอเข้าใจ คืนวันผ่านไปรักก็คล้ายจะดูจืดจาง
รักเราคงจบหมดทาง ที่จะรั้งดึงเธออีกครั้งให้มาเหมือนเดิม
เพราะเธอใจอ่อน อ่อนไหว พบใครคนใหม่ ก็จะปันหัวใจให้ใครคนนั้น

การกระทำของเธอ บอกว่าเธอนั้นหมดใจ จากกันไปเพราะเธอเห็นใจคนอื่น

ฉันคิดทำความเข้าใจ เหตุการณ์ผ่านไปเตือนให้ฉันทบทวนเรื่องราว
ฉันเองก็เจ็บปวดร้าว แต่ว่าฉันจะลืมเรื่องราวที่เศร้าเพราะเธอ
เพราะฉันก็เหนื่อย อ่อนล้า รักเธอมากกว่า แต่ว่าเธอไม่เคยเห็นค่าของฉัน

การกระทำของเธอ บอกว่าเธอนั้นหมดใจ จากกันไปเพราะเธอเห็นใจคนอื่น

คงจะมีซักวัน วันที่ฉันนั้นทำใจได้ จะเป็นวันสุดท้ายที่ฉันรักเธอ",nui_nantakan
เธออยู่ไหน,/music/thailyric/5800,"มันทุกข์ใจ มันทรมาน มันลนลาน แค่เพียงฉันไม่เห็นเธอ
คิดถึงเธอ เสมอใจ แต่ทำไม เธอไม่แคร์
หรือเธอ ไม่สนใจ เธอมีใคร บอกฉันได้ไหมเธอ

เธออยู่ไหน อยู่กับใคร รู้บ้างไหม ฉันรักเธอ
ฉันสุดเหงา ฉันอ้างว้าง ฉันเคว้งคว้าง เมื่อขาดเธอ

เคยพบเจอ กันทุกวัน เคยมีกัน เธอกับฉันนั้นเข้าใจ
เธอสัญญา ไม่ร้างไกล เลยฝากใจ ไว้กับเธอ
แล้วเธอ ทำร้ายกัน ไปจากฉัน อย่างนั้นทำได้ไง

เธออยู่ไหน อยู่กับใคร รู้บ้างไหม ฉันรักเธอ
ฉันสุดเหงา ฉันอ้างว้าง ฉันเคว้งคว้าง เมื่อขาดเธอ

ทุกสิ่งที่เธอต้องการ ฉันจะให้เธอได้เจอ
ทุกอย่างจะทำให้เธอ ขอร้องแค่เธอกลับมา

เธออยู่ไหน อยู่กับใคร รู้บ้างไหม ฉันรักเธอ
ฉันสุดเหงา ฉันอ้างว้าง ฉันเคว้งคว้าง เมื่อขาดเธอ

เธออยู่ไหน
รักเธอ สุดเหงา
เหงาแทบขาดใจเมื่อขาดเธอ
เธออยู่ไหน",nui_nantakan
เสียดาย,/music/thailyric/5804,"วันคืนที่สวยงาม แห่งความสัมพันธ์
คือวันที่รักกัน ที่ฉันให้หมดใจ
ประหลาดเหลือเกิน รักเพลินเพลินและดูคล้าย
รักนั้นมันช่างง่ายดาย ไม่ทำร้ายใครได้เลย

วันคืนเริ่มคืบไป จิตใจก็รวน
ใจคอเริ่มคร่ำครวญ เมื่อรู้เธอจะไป
เจ็บปวดเหลือดี เผลอไปทีใจก็หาย
ฉันต้องมานั่นเสียใจ เมื่อเธอไปไม่ร่ำรา

ก็มันเสียดาย อยากจะยื้อกันไป ยังไม่ยอมตัดใจทั้งนั้น
ก็มันเสียดาย และยังรับไม่ทัน ขอเวลาให้วันนี้เลื่อนไป

มีเธออยู่ทุกวัน ผูกพันทุกตอน
บางวันก็เง้างอน กว่ารักจะสุขงอม
อยู่ๆหลายปี รักดีๆและดูพร้อม
ถึงเวลาก็ต้องยอม ให้เธอไปได้อย่างไร

ก็มันเสียดาย อยากจะยื้อกันไป ยังไม่ยอมตัดใจทั้งนั้น
ก็มันเสียดาย และยังรับไม่ทัน ขอเวลาให้วันนี้เลื่อนไป

ก็มันเสียดาย อยากจะยื้อกันไป ยังไม่ยอมตัดใจทั้งนั้น
ก็มันเสียดาย และยังรับไม่ทัน ขอเวลาให้วันนี้เลื่อนไป

ก็มันเสียดาย อยากจะยื้อกันไป ยังไม่ยอมตัดใจทั้งนั้น
ก็มันเสียดาย และยังรับไม่ทัน ขอเวลาให้วันนี้เลื่อนไป",nui_nantakan
ฉันทำเพื่อเธอ,/music/thailyric/5797,"เคยเจ็บกับความรักมามาก หัวใจมันโดนทำร้าย
ปวดร้าวเมื่อถูกเขาแย่งรักไป กล้ำกลืนเก็บไว้คนเดียว

ไม่เคยคิดจะอยากแย่งชิงกับใคร แต่เพื่อเธอยังไงก็ต้องทำ

ไม่อยากทำร้ายใครก่อน หากเขาไม่มาเกี่ยว
ไม่มาใกล้เธอ เธอที่ควรเป็นของฉัน
จะเลวจะร้ายเท่าไหร่ เพื่อเธอฉันยอมทำได้
ดิ้นรนให้ได้เธอมา จะทุ่มเทหมดชีวิตเพื่อเธอ

เพียงแค่อยากมีรักที่ดี ขอเพียงมีเธออยู่กับฉัน
ไม่ขอเจ็บปวดเหมือนครั้งที่ผ่าน ฉันกลัวไม่อยากจะเสียใจ

ไม่เคยคิดจะอยากแย่งชิงกับใคร แต่เพื่อเธอยังไงก็ต้องทำ

ไม่อยากทำร้ายใครก่อน หากเขาไม่มาเกี่ยว
ไม่มาใกล้เธอ เธอที่ควรเป็นของฉัน
จะเลวจะร้ายเท่าไหร่ เพื่อเธอฉันยอมทำได้
ดิ้นรนให้ได้เธอมา จะทุ่มเทหมดชีวิตเพื่อเธอ

ไม่อยากทำร้ายใครก่อน หากเขาไม่มาเกี่ยว
ไม่มาใกล้เธอ เธอที่ควรเป็นของฉัน
จะเลวจะร้ายเท่าไหร่ เพื่อเธอฉันยอมทำได้
ดิ้นรนให้ได้เธอมา จะทุ่มเทหมดชีวิตเพื่อเธอ",nui_nantakan
แข็งใจไว้อีกหน่อย,/music/thailyric/9956,"รู้ว่าเจ็บ รู้ว่าปวด เมื่อบางคนบอกลาและทิ้งเธอไป
ใจเธอโดนเขาทำ บอบช้ำรุนแรงเท่าไร
ไม่อาจเขียนหรือพูดบรรยาย ทำให้เธอบรรเทา
แม้จะเหนื่อย แม้จะหนัก ฉันเข้าใจที่เธอเผชิญอยู่นี้
จะมีความจริงเรื่องนึง อยากขอเธอฟังให้ดี
เจ็บและช้ำที่ทิ่มแทงใจอยู่ตอนนี้
มาแล้วมันต้องไป

พายุนั้นรอวันสลาย แผลในใจต้องหาย
ฟ้าที่หม่นมืดดำก็จะคลี่คลายและจางจากไป
ขอเธอทนเจ็บไว้ แล้วเวลาจะช่วยเยียวยาในใจ
อีกแค่เพียงไม่นาน เจ็บแค่ไหนต้องหมดไปต้องพ้นไป
แข็งใจไว้อีกหน่อย

พ้นและผ่าน ได้เมื่อไร แล้วหัวใจเธอเองจะได้เรียนได้รู้
ในความทรมาน ความเหงาที่เธอเจออยู่
มันจะสอนให้หัวใจเธอได้เข้มแข็ง
รอแค่เพียงไม่นาน﻿

พายุนั้นรอวันสลาย แผลในใจต้องหาย
ฟ้าที่หม่นมืดดำก็จะคลี่คลายและจางจากไป
ขอเธอทนเจ็บไว้ แล้วเวลาจะช่วยเยียวยาในใจ
อีกแค่เพียงไม่นาน เจ็บแค่ไหนต้องหมดไปต้องพ้นไป
แข็งใจไว้อีกหน่อย

รอแค่เพียงไม่นาน﻿

พายุนั้นรอวันสลาย แผลในใจต้องหาย
ฟ้าที่หม่นมืดดำก็จะคลี่คลายและจางจากไป
ขอเธอทนเจ็บไว้ แล้วเวลาจะช่วยเยียวยาในใจ
อีกแค่เพียงไม่นาน เจ็บแค่ไหนต้องหมดไปต้องพ้นไป
แข็งใจไว้อีกหน่อย

อีกแค่เพียงไม่นาน ที่พายุจะหมดไปพร้อมน้ำตา
แข็งใจไว้อีกหน่อย",nui_nantakan
ตอบได้ไหม,/music/thailyric/5798,"เธอบอกไม่ได้ตั้งใจ กับการกระทำของเธอ เป็นแค่ความพลั้งเผลอของเธอกับเขา
ไม่ได้คิดจะรักเขาเลย แต่มันพลั้งไปเพราะความเหงา อยากให้ฉันยกโทษและพร้อมเข้าใจ

ถ้าอย่างนั้น ฉันก็อยากถามเธอ ถ้าฉันจะเผลอ เหมือนกับเธอได้ไหม
หากจะมีสักวัน ที่ฉันปันใจให้ใคร อยากจะรู้ เธอจะคิดยังไงกับฉัน

แค่นี้เธอตอบได้ไหม แค่นี้ไม่ยากใช่ไหม เงียบทำไม ไม่เห็นจะต้องคิดหนัก
เธอคิดในใจอย่างไร ในใจฉันก็คงเหมือนกัน นั่นแหละคือสิ่งที่ฉันจะบอกเธอ

แค่พูดว่าเธอเสียใจแล้วได้อะไรขึ้นมา ใครเจ็บกว่าก็รู้ก็พอเข้าใจ
อยากให้ฉันกลับไปเหมือนเดิม แบบว่าเหมือนไม่มีอะไร พูดอย่างนี้มันง่ายเกินไปรึเปล่า

ถ้าอย่างนั้น ฉันก็อยากถามเธอ ถ้าฉันจะเผลอ เหมือนกับเธอได้ไหม
หากจะมีสักวัน ที่ฉันปันใจให้ใคร อยากจะรู้ เธอจะคิดยังไงกับฉัน

แค่นี้เธอตอบได้ไหม แค่นี้ไม่ยากใช่ไหม เงียบทำไม ไม่เห็นจะต้องคิดหนัก
เธอคิดในใจอย่างไร ในใจฉันก็คงเหมือนกัน นั่นแหละคือสิ่งที่ฉันจะบอกเธอ

แค่นี้เธอตอบได้ไหม แค่นี้ไม่ยากใช่ไหม เงียบทำไม ไม่เห็นจะต้องคิดหนัก
เธอคิดในใจอย่างไร ในใจฉันก็คงเหมือนกัน นั่นแหละคือสิ่งที่ฉันจะบอกเธอ

แค่นี้เธอตอบได้ไหม แค่นี้ไม่ยากใช่ไหม เงียบทำไม ไม่เห็นจะต้องคิดหนัก
เธอคิดในใจอย่างไร ในใจฉันก็คงเหมือนกัน นั่นแหละคือสิ่งที่ฉันจะบอกเธอ

คำตอบมันคืออะไร เธอรู้ดี",nui_nantakan
เพิ่งรู้ว่ารัก,/music/thailyric/5802,"จากกันไปไกล ได้แต่คิดถึง ยิ่งคิดยิ่งทำให้ซึ้งถึงคำว่าเหงา
อยากเจอจังเลย อยากบอกเบาๆ ว่ายังมีคำว่าเราจนวันสุดท้าย

แม้ว่าทุกๆอย่างดูเนิ่นนาน ห่างหาย ไม่ว่านานเท่าไรยังคอยแต่ห่วงหา

เพิ่งรู้ว่ารักเธอที่สุด เพิ่งรู้ซึ้งในหัวใจ รักเธอยิ่งกว่าเคยรักใคร
เพิ่งรู้ว่ารักเธอที่สุด ยิ่งรู้ซึ้งยิ่งเสียใจ รักจนไม่อาจจะรักใครได้อีกเลย

สิ่งเดียวจริงๆ ติดอยู่ในใจ สิ่งเดียวที่ยังเสียใจที่เราโกรธกัน
เก็บความในใจ กลบเกลื่อนมานาน ก็คงจะมีสักวันที่ควรบอกเธอ

แม้ว่าทุกๆอย่างดูเนิ่นนาน ห่างหาย ไม่ว่านานเท่าไรยังคอยแต่ห่วงหา

เพิ่งรู้ว่ารักเธอที่สุด เพิ่งรู้ซึ้งในหัวใจ รักเธอยิ่งกว่าเคยรักใคร
เพิ่งรู้ว่ารักเธอที่สุด ยิ่งรู้ซึ้งยิ่งเสียใจ รักจนไม่อาจจะรักใครได้อีกเลย

เพิ่งรู้ว่ารักเธอที่สุด เพิ่งรู้ซึ้งในหัวใจ รักเธอยิ่งกว่าเคยรักใคร
เพิ่งรู้ว่ารักเธอที่สุด ยิ่งรู้ซึ้งยิ่งเสียใจ รักจนไม่อาจจะรักใครได้อีกเลย",nui_nantakan
เหนื่อยพอหรือยัง,/music/thailyric/5805,"เราต่างคนก็รู้ ต่างคนก็รัก แต่หมดหนทาง ที่จะเข้าใจ
เราต่างก็รู้ซึ้ง ส่งที่เป็นไป เพียงแค่ไม่ยอม บอกกัน

เราอยู่กันเพราะรัก แต่ว่าฉันรู้ ถ้าอยู่อย่างนี้ไป ยิ่งทรมาน
เธอเปลี่ยนตัวเธอเอง อดทนเพื่อฉัน เหมือนที่ฉันเปลี่ยน ที่ฝืนทำเพื่อเธอ

เหนื่อยกันมาพอหรือยัง เหนื่อยที่ต้องฝืน ต้องทนบ้างไหม
จะอยู่กันไปเพื่อใคร อย่าได้ทำร้ายใจกันอีกเลย (อย่าเลย)

เราต่างคนก็รู้ แต่ทำไม่รู้ เราต่างก็เสียดาย ที่จะเสียไป
ยอมเจ็บก็เพราะรัก แต่เธอรู้ไหม ที่ทุ่มเทไป ยิ่งซ้ำให้ปวดร้าว

เหนื่อยกันมาพอหรือยัง เหนื่อยที่ต้องฝืน ต้องทนบ้างไหม
จะอยู่กันไปเพื่อใคร อย่าได้ทำร้ายใจกันอีกเลย (อย่าเลย)

เหนื่อยกันมาพอหรือยัง เหนื่อยที่ต้องฝืน ต้องทนบ้างไหม
จะอยู่กันไปเพื่อใคร อย่าได้ทำร้ายใจกันอีกเลย (อย่าเลย)

เหนื่อยกันมาพอหรือยัง เหนื่อยที่ต้องฝืน ต้องทนบ้างไหม
จะอยู่กันไปเพื่อใคร อย่าได้ทำร้ายใจกันอีกเลย (อย่าเลย)",nui_nantakan
