song_name,href,lyric,artist
สัมพันธ์,/music/thailyric/16075,"จะเอายังไงอะ ให้เธอเชื่อใจว่าฉันนั้นรักเธอ
ทุกครั้งที่เจอ
อยากควง ให้เธอเปิดใจมารักกัน

เมื่อคืนก็ฝันอะ
ฝันว่าแดนซ์บนฟลอร์อยู่กับเธอทั้งคืน
ตอนนี้ก็ฝืน(อยู่เนี่ย)
ไม่ให้ใจข้างในละเมอเฝ้าแต่คิดถึงเธอ
ก็ได้แต่เพ้อก็เวิ่นก็เว้อมันเรื่อยไป
ว่าเราสองคนเมื่อไรได้สัมพันธ์

หรือเธอจะกลัวว่าฉันใหญ่ไป (เรื่องใจอะ)
บอกเลยว่าไม่มีคำว่ามากเกิน
หรือว่าเธอเขิน
ที่จะควงกับเจนเทิลแมนแอนด์เซ็กซี่คูล
ไม่ต้องกังวลหรอก
ฉันจะทำให้เธอโดดเด่นบนแดนซ์ฟลอร์
แล้วฉันจะขอนะ ขอให้รู้ว่าฟ้าสร้างเรามาคู่กัน

เธอและฉัน โอ้ะ โอ้ะ โอ๊ย ฉันและเธอ
ถ้าได้เจอเมื่อไรยังไงต้องสัมพันธ์

อะคนดีดี นี่อะมีให้ดูอะ
อะคนมันคูล จะดูยังไงก็ดีอะ
ก็โสดจริง I'm Single I'm free
I'll be your boyfriend I wanna be
แค่อยากให้เธอได้ลองรักสักที
จะคิดอะไรมากมาย Oh baby
Baby baby baby baby

L LLLLL Love you
I need I need I need I need you
I want I want I wanna kissing you (Baby)
I need I need I need to hug you

ไม่ต้องกังวลหรอก
ฉันจะทำให้เธอโดดเด่นบนแดนซ์ฟลอร์
คืนนี้ฉันขอ ขอให้เราร่วมเตียงได้เคียงได้คู่กัน

เธอและฉัน โอ้ะ โอ้ะ โอ๊ย ฉันและเธอ
ถ้าได้เจอเมื่อไรยังไงต้องสัมพันธ์

อะคนดีดี นี่อะมีให้ดูอะ
อะคนมันคูล จะดูยังไงก็ดีอะ
ก็โสดจริง I'm Single I'm free
I'll be your boyfriend I wanna be
แค่อยากให้เธอได้ลองรักสักที
จะคิดอะไรมากมาย Oh baby
Baby baby baby baby

L LLLLL Love you
I need I need I need I need you
I want I want I wanna kissing you (Baby)
I need I need I need to hug you",oat_pramote
คำสาป,/music/thailyric/3383,"เคยเป็นอย่างคนที่ไม่เคยแคร์อะไรเท่าไร
ใครคนไหนเข้ามาก็ไม่คิดให้จัย ยังไม่เคยคิดผูกพัน
จนมาเจอะเธอ ตั้งแต่เราเข้ามาใกล้กัน
หมดใจฉันทั้งใจก็ไม่เหมือนเมื่อวาน
มีแต่เธอคนเดียว

แต่ความสุขเรา ไม่ยืนไม่ยาวเท่าไร
คนบนฟ้าเค้าไม่เป็นใจ ให้มาเจอแล้วให้ต้องลา

นี่มันคงเป็นคำสาปฟ้าใช่ไหม
เจอคนที่ดีเมื่อไร ต้องเอา เอาไปจากฉัน
ให้เวลาไม่นานเท่าไร ที่ได้รักแค่สายลมผ่าน
และที่แสนนาน คือความช้ำที่ไม่อาจจะลืม

มันคงจะดี ถ้าหากเราไม่เคยพบเจอ
ต่างไม่รู้ว่าใคร ไม่มีฉันและเธอ
คงไม่เจอเรื่องปวด ...ใจ

แต่คนบนฟ้า ก็มาทำให้เจ็บหัวใจ
จะให้รักทันที กับต้องมีเสียใจ
ทำไมช่างทำกัน

แต่ความสุขเรา ไม่ยืนไม่ยาวเท่าไร
คนบนฟ้าเค้าไม่เป็นใจ ให้มาเจอแล้วให้ต้องลา

นี่มันคงเป็นคำสาปฟ้าใช่ไหม
เจอคนที่ดีเมื่อไร ต้องเอา เอาไปจากฉัน
ให้เวลาไม่นานเท่าไร ที่ได้รักแค่สายลมผ่าน
และที่แสนนาน คือความช้ำที่ไม่อาจจะลืม

นี่มันคงเป็นคำสาปฟ้าใช่ไหม
เจอคนที่ดีเมื่อไร ต้องเอา เอาไปจากฉัน
ให้เวลาไม่นานเท่าไร ที่ได้รักแค่สายลมผ่าน
และที่แสนนาน คือความช้ำที่ไม่อาจจะลืม",oat_pramote
... (กริบ),/music/thailyric/21021,"ตั้งนานไม่ได้คุย
ตั้งนานไม่ได้เจอ
ก็ไม่รู้ทำไมเธอหายไป

ข้อความที่ฉันไลน์
ส่งไปเธอไม่แคร์
ก็ไม่รู้เธอทำอะไร

ในใจมันหวั่นไหว
ช่วยตอบกลับมาได้ไหม

ใครเตือนก็ไม่ฟัง
ก็ยังไม่สนใจ
ก็เป็นเพราะใจยังรอ

ตอบไลน์ได้ไหมเธอ
อยากเจอเธอเหลือเกิน
แต่ไม่รู้จะทำอย่างไร

ในใจมันหวั่นไหว
ช่วยตอบกลับมาได้ไหม

เธอรู้ไหมฉันคิดถึง
เธอรู้ไหมฉันห่วงใย
(ช่วยโทรกลับมาได้ไหม)

หากว่าฉันยังมีความหมาย
หากเธอไม่ได้ใจร้าย
(อ่านแล้วตอบไลน์ได้ไหม)

เท่านี้ที่อยากจะขอ
แค่นี้ก็พอกับฉัน

ก็ในใจมันหวั่นไหว
ช่วยตอบกลับมาได้ไหม

เธอรู้ไหมฉันคิดถึง
เธอรู้ไหมฉันห่วงใย
(ช่วยโทรกลับมาได้ไหม)

หากว่าฉันยังมีความหมาย
หากเธอไม่ได้ใจร้าย
(อ่านแล้วตอบไลน์ได้ไหม)

เธอรู้ไหมฉันคิดถึง
เธอรู้ไหมฉันห่วงใย
(ช่วยโทรกลับมาได้ไหม)

หากว่าฉันยังมีความหมาย
หากเธอไม่ได้ใจร้าย
(อ่านแล้วตอบไลน์ได้ไหม)

เท่านี้ที่อยากจะขอ
แค่นี้ก็พอกับฉัน
ให้รู้ว่ายังคิดถึง",oat_pramote
FWB,/music/thailyric/23148,"ให้ได้มากกว่าแฟน
แต่ฉันขอเป็นแค่ Friend
อาจดูสนิทเกินไป สถานะไม่ชัดเจน
ไปรับไปส่ง OK ถ้าเธอต้องการ

ไม่ได้ ไม่ได้เป็นแฟน
แค่จะทำให้แทน จะทำให้แทน
แค่เพื่อน จะเอาอะไร
ก็ไม่เคยขัดใจ  เพื่อนกันมันก็ดี

ให้ใจพาเราไป ให้ถึงที่เราต้องการ
ที่เกินเลยปล่อยมันไป
ให้ฝืนคงไม่ได้นาน
ถ้าเหงาก็บอก คืนนี้ฉัน Standby

ไม่ได้ ไม่ได้เป็นแฟน
แค่จะทำให้แทน จะทำให้แทน
แค่เพื่อน จะเอาอะไร
ก็ไม่เคยขัดใจ  เพื่อนกันมันก็ดี

มันอยากจะควักหัวใจ
ไปใส่ให้เธอทุกวัน
ให้จบกันที่เธอกับฉัน
ว่างเมื่อไหร่ ถ้าต้องการ เรารู้กัน

ไม่ได้ ไม่ได้เป็นแฟน
แค่จะทำให้แทน จะทำให้แทน
แค่เพื่อน จะเอาอะไร
ก็ไม่เคยขัดใจ  เพื่อนกันก็มันดี",oat_pramote
Power You Up,/music/thailyric/20251,"ใจมันเต้นแรง
แบบที่ไม่เคยมาก่อน
ได้เจอกับเธอที่ไม่เหมือนใคร
ใจมันเต้นแรง
ฉันขอไม่มองใครๆ
ขอพุ่งตรงไปที่เธอเท่านั้น

เธอคือคนนั้นที่ฉันตามหา
เหมือนฝันทั้งที่ลืมตา
แค่มีเธอฉันก็ไม่กลัว
ต่อให้จุดหมายมันจะอีกไกล
ฉันก็พร้อมจะเร่งไป
ขอ แค่มีเธอข้างๆ

อยู่กับเธอแล้วเหมือนมี Power
ยากแค่ไหนก็ตาม ฉันพร้อมถ้ามีเธอข้างๆ
อยู่กับเธอแล้วยิ่ง Up power
พร้อมจะออกเดินทาง ทางไหนก็ตามที่ใจต้องการ

Power You Up
Power you up
Power you up

Speed ของหัวใจ ของฉันเพิ่มขึ้นตลอด
ไม่มีที่สิ้นสุดเลย Baby

เธอคือคนนั้นที่ฉันตามหา
เหมือนฝันทั้งที่ลืมตา
แค่มีเธอฉันก็ไม่กลัว
ต่อให้จุดหมายมันจะอีกไกล
ฉันก็พร้อมจะเร่งไป
ขอ แค่มีเธอข้างๆ

อยู่กับเธอแล้วเหมือนมี Power
ยากแค่ไหนก็ตาม ฉันพร้อมถ้ามีเธอข้างๆ
อยู่กับเธอแล้วยิ่ง Up power
พร้อมจะออกเดินทาง ทางไหนก็ตามที่ใจต้องการ

อยู่กับเธอแล้วเหมือนมี Power
ยากแค่ไหนก็ตาม ฉันพร้อมถ้ามีเธอข้างๆ
อยู่กับเธอแล้วยิ่ง Up power
พร้อมจะออกเดินทาง ทางไหนก็ตามที่ใจต้องการ

อยู่กับเธอแล้วเหมือนมี Power
ยากแค่ไหนก็ตาม ฉันพร้อมถ้ามีเธอข้างๆ
อยู่กับเธอแล้วยิ่ง Up power
พร้อมจะออกเดินทาง ทางไหนก็ตามที่ใจต้องการ

Power you up
Power you up
Power you up

Power you up
Power you up
Power you up",oat_pramote
กลุ่มเสี่ยง,/music/thailyric/23144,"เธอเองใช่ไหม ที่ชอบดูหนังและแอบร้องไห้คนเดียว
ไม่มี คนมาคอยซับน้ำตา เย้
เวลาจะนอน ได้แค่กอดหมอน
เพราะไม่มีใครบอกฝันดี ต้องเป็นอย่างนี้ทุกคืน

แน่เลย อาการเป็นอย่างเนี้ยดูท่าทางไม่ดี
มันมีทฤษฎี เคยกล่าวไว้
ถ้าเธอเป็นอย่างเนี้ย ฉันอยากให้เธอเข้าใจ

เพราะว่าเธอน่ะเสี่ยงเสี่ยงเสี่ยง ไม่มีคนควงแขน
และเธอเสี่ยงเสี่ยงเสี่ยง จะเป็นคนไม่มีแฟน
ถ้าเธอไม่อยากเสี่ยง ก็ให้เธอมองมา
มองมาที่ฉันเอง เป็นฉันคนนี้เอง
จะคอยช่วยดูแลเธอเอง

จะขึ้นเขาหรือไปทะเลก็ไปคนเดียวทุกวัน
จะจิบกาแฟหรือสั่งอาหารก็กินคนเดียวเหมือนกัน
คนอื่นเขาคงมีคนคุยโทรมาหาทั้งวัน
แต่ฉัน Have no one

แน่เลย อาการเป็นอย่างเนี้ยดูท่าทางไม่ดี
มันมีทฤษฎี เคยกล่าวไว้
ถ้าเธอเป็นอย่างเนี้ย ฉันอยากให้เธอเข้าใจ

เพราะว่าเธอน่ะเสี่ยงเสี่ยงเสี่ยง ไม่มีคนควงแขน
และเธอเสี่ยงเสี่ยงเสี่ยง จะเป็นคนไม่มีแฟน
ถ้าเธอไม่อยากเสี่ยง ก็ให้เธอมองมา
มองมาที่ฉันเอง เป็นฉันคนนี้เอง
จะคอยช่วยดูแลเธอเอง

เพราะว่าเธอน่ะเสี่ยงเสี่ยงเสี่ยง ไม่มีคนควงแขน
และเธอเสี่ยงเสี่ยงเสี่ยง จะเป็นคนไม่มีแฟน
ถ้าเธอไม่อยากเสี่ยง ก็ให้เธอมองมา
มองมาที่ฉันเอง เป็นฉันคนนี้เอง
จะคอยช่วยดูแลเธอเอง

เพราะว่าเธอน่ะเสี่ยงเสี่ยงเสี่ยง ไม่มีคนควงแขน
และเธอเสี่ยงเสี่ยงเสี่ยง จะเป็นคนไม่มีแฟน
ถ้าเธอไม่อยากเสี่ยง ก็ให้เธอมองมา
มองมาที่ฉันเอง เป็นฉันคนนี้เอง
จะคอยช่วยดูแลเธอเอง

จะขึ้นเขาหรือไปทะเลก็ไปคนเดียวทุกวัน
จะจิบกาแฟหรือสั่งอาหารก็กินคนเดียวเหมือนกัน
คนอื่นเขาคงมีคนคุยโทรมาหาทั้งวัน
แต่ฉัน Have no one",oat_pramote
การเดินทางของหัวใจ,/music/thailyric/8519,"การเดินทางเพื่อเจอใครสักคน
ที่เป็นตัวจริงของใจ
รู้หรือเปล่าว่านานเท่าไร
ต้องเสียน้ำตามากมาย
เพื่อได้เจอใครสักคน

คำว่ารักไม่เคยจะให้ใคร
เก็บมันมานานแสนนาน
จนวันหนึ่งได้มาพบเธอ
เพียงครั้งเดียวที่ได้เจอ
ก็เกิดหวั่นไหวมากมาย

คือเธอใช่ไหม ที่รอคอยมาแสนนาน
คือเธอใช่ไหม ที่จะเติมเต็มหัวใจ
เหมือนเราเคยเจอกันเมื่อชาติก่อน เธอมีอะไรที่คุ้นใจ
ใช่ไหมใช่เธอหรือเปล่า ที่เกิดมาเป็นคู่กัน

เธอรู้ไหม ตั้งแต่เราได้พบกัน ฀ไม่มีวันใดเหงาใจ
เพราะมีเธอให้คิดถึงกัน ถึงแม้เราเพิ่งเจอกัน
แต่กลับเข้ากันได้ดี

คือเธอใช่ไหม ที่รอคอยมาแสนนาน
คือเธอใช่ไหม ที่จะเติมเต็มหัวใจ
เหมือนเราเคยเจอกันเมื่อชาติก่อน เธอมีอะไรที่คุ้นใจ
ใช่ไหมใช่เธอหรือเปล่า ที่เกิดมาเป็นคู่กัน

คือเธอใช่ไหม ที่รอคอยมาแสนนาน
คือเธอใช่ไหม ที่จะเติมเต็มหัวใจ
เหมือนเราเคยเจอกันเมื่อชาติก่อน เธอมีอะไรที่คุ้นใจ
ใช่ไหมใช่เธอหรือเปล่า ที่เกิดมาเป็นคู่กัน",oat_pramote
ความรักไม่เคยมีอยู่จริง,/music/thailyric/23150,"เราเคยจับมือด้วยกันใช่ไหม
เราเคยจูบกันและกันใช่ไหม
จากวันที่เธอทิ้งไป สับสนข้างในหัวใจ

เรื่องระหว่างเรากลายเป็นหมอกควัน
เหมือนฉันลืมตาตื่นมาจากฝัน
ความรักไม่เคยมีอยู่จริง

ทุ่มเทลงไปไม่คิดจะเผื่อใจ
หายใจจะเป็นจะตายกับความรัก
สุดท้ายได้มาแค่เพียงความว่างเปล่า

จบสิ้นแล้ว ฉันไม่เหลือความจริงใดใกกับเธออีก
คนที่กอดกับฉัน ความอบอุ่นวันนั้น
เหมือนไม่เคยเกิดขึ้นมา
รักของฉันและเธอเป็นเหมือนภาพลวงตา
ทุกสิ่งที่เคยฝัน ไม่มีวันจะฟื้น
เพราะทุกอย่างของสองเราตายไปแล้ว

เมื่อไม่มีเธออยู่ในชีวิต
ฉันก็หมดแรงจะมีชีวิต
ไม่รู้ไม่รับความจริง
อยากหนีไปไกลแสนไกล

เรื่องระหว่างเราก็แค่หมอกควัน
เหมือนฉันลืมตาตื่นมาจากฝัน
ความรักไม่เคยมีอยู่จริง

ทุ่มเทลงไปไม่คิดจะเผื่อใจ
หายใจจะเป็นจะตายกับความรัก
สุดท้ายได้มาแค่เพียงความว่างเปล่า

จบสิ้นแล้ว ฉันไม่เหลือความจริงใดใดกับเธออีก
คนที่กอดกับฉัน ความอบอุ่นวันนั้น
เหมือนไม่เคยเกิดขึ้นมา
รักของฉันและเธอเป็นเหมือนภาพลวงตา
ทุกสิ่งที่เคยฝัน ไม่มีวันจะฟื้น
เพราะทุกอย่างของสองเราตายไปแล้ว

Hey ไม่มีวันที่มันจะคืนกลับมา
เหมือนเดิมอีกต่อไป
ต่อให้เสียใจ เสียใจ แล้วยังไง
เอาแต่คิดถึงเธอขนาดนอนฝันยังเจอหน้าเธอ
Woh oh woh oh woh oh what the

จมทั้งน้ำตา จนใจมันอ่อนล้า
มีชีวิตเหมือนตาย
ฉันไม่เข้าใจ (ฉันไม่เข้าใจ)
ฉันไม่เข้าใจ ทำไมต้องจากกันไป

จบสิ้นแล้ว ฉันไม่เหลือความจริงใดใ กับเธออีก
คนที่กอดกับฉัน ความอบอุ่นวันนั้น
เหมือนไม่เคยเกิดขึ้นมา
รักของฉันและเธอเป็นเหมือนภาพลวงตา
ทุกสิ่งที่เคยฝัน ไม่มีวันจะฟื้น
เพราะทุกอย่างของสองเรา ตายไปแล้ว",oat_pramote
คำว่ารักที่เบาเกิน,/music/thailyric/3382,"ไม่เคยคิดไม่เคยจะแคร์
ไม่แยแสที่ใครพูดกันตั้งมากมาย
ว่าสุดท้ายจะเป็นอย่างไร
ถ้าหากคิดจะทำอะไรเมื่อสายเกิน

สิ่งที่ควรต้องทำ ก็ไม่ทำ
จะกลับลำขึ้นมาก็ช้าเกิน
จึงเจ็บช้ำหัวใจ ช่างโหดร้ายเหลือเกิน
ก็ฟังแค่เพลินๆไม่สนใจ

แต่วันนี้เมื่อเจอกับตัว
จากที่ไม่เคยจะกลัวก็ซึ้งเลย
ผิดที่ฉันเองที่ไม่เคย
ไม่เคยคิดจะแคร์กับคำว่าสายไป

สิ่งที่ควรพูดจาไม่พูดจา
ปล่อยให้เธอค้างคาในหัวใจ
กว่าจะเผยขึ้นมา มันก็ช้ามากไป
ก็เรากำลังไปคนละทาง

เมื่อตอนใกล้กันฟังเสียงแผ่วๆ
กระซิบเบาๆ รักเธอแค่ไหน
ก็ดังถึงหัวใจ.. แต่ก็ดันไม่พูดให้ฟัง
เมื่อพอที่ตอนเธอนั้นมาห่าง
กลับคิดตะโกนจะบอกสักครั้ง
อยากบอกดังๆ แต่สุดเสียงที่ให้ฟัง
คำว่ารักยังเบาเกินได้ยิน

หากแม้ว่าเป็นได้จริง
สิ่งที่ขอก็คือให้เธอนั้นย้อนมา
คำที่ฉันไม่พูดไม่จา
ต่อจากนี้จะพูดออกมาไม่ช้าเกิน

สิ่งที่ควรต้องทำ ฉันจะทำ
จะขอย้ำให้ฟังว่ารักเธอ
จะไม่เหมือนที่เป็น ไม่ให้เห็นให้เจอ
ที่เคยทำให้เธอลาไกล

เมื่อตอนใกล้กันฟังเสียงแผ่วๆ
กระซิบเบาๆ รักเธอแค่ไหน
ก็ดังถึงหัวใจ.. แต่ก็ดันไม่พูดให้ฟัง
เมื่อพอที่ตอนเธอนั้นมาห่าง
กลับคิดตะโกนจะบอกสักครั้ง
อยากบอกดังๆ แต่สุดเสียงที่ให้ฟัง
คำว่ารักยังเบาเกินได้ยิน

เมื่อตอนใกล้กันฟังเสียงแผ่วๆ
กระซิบเบาๆ รักเธอแค่ไหน
ก็ดังถึงหัวใจ.. แต่ก็ดันไม่พูดให้ฟัง
เมื่อพอที่ตอนเธอนั้นมาห่าง
กลับคิดตะโกนจะบอกสักครั้ง
อยากบอกดังๆ แต่สุดเสียงที่ให้ฟัง
คำว่ารักยังเบาเกินได้ยิน

อยากบอกดังๆ แต่สุดเสียงที่ให้ฟัง
คำว่ารักยังเบาเกิน.....ได้ยิน",oat_pramote
คิดถึงจัง (มาหาหน่อย),/music/thailyric/13967,"Hello ตอนนี้ทำอะไรอยู่
อยู่กับใคร ที่ไหน คุยได้เปล่า
ไม่ได้เจอกันนาน เเค่อยากทักทาย ได้ยินเสียงเธอก็เท่านั้น

Hello คืนนี้เธอว่างเปล่า
เพื่อนเธอได้ชวนไปไหนเปล่า
ก็เราไม่ได้เจอกันตั้งนาน นัดเจอกันหน่อยไหม

เอาจริงๆ ไม่อ้อมค้อมอะไร
ทนไม่ไหว สุดท้ายต้องบอกเธอ

ก็คนมันคิดถึง อยากให้เธอมาหา
อยากจะมีเวลา เจอเธอลำพังเหมือนที่เคยๆ
แค่กอดกันเท่านั้น ไม่ได้คิดจะทำอะไรอะไรที่มันเกินเลย
ก็มันคิดถึงเธอจัง มาหาหน่อย

คืนนี้ถ้าเธอไม่ชอบเสียงดัง
เปลี่ยนเป็นดู Netflix ห้องฉันเปล่า
Chill Chill จิบไวน์กันยาวๆ
ฉันเตรียมให้เธอไว้หมดเเล้ว

นานเเล้วเธอไม่มาพบกัน
ห้องฉันอยู่ไหนจำได้เปล่า
ที่เดิมที่เต็มไปด้วยเรื่องราว
ของเราในวันนั้น

เอาจริงๆ ไม่อ้อมค้อมอะไร
ทนไม่ไหว สุดท้ายต้องบอกเธอ

ก็คนมันคิดถึง อยากให้เธอมาหา
อยากจะมีเวลา เจอเธอลำพังเหมือนที่เคยๆ
แค่กอดกันเท่านั้น ไม่ได้คิดจะทำอะไรอะไรที่มันเกินเลย
ก็มันคิดถึงเธอจัง มาหาหน่อย

ก็คนมันคิดถึง อยากให้เธอมาหา
อยากจะมีเวลา เจอเธอลำพังเหมือนที่เคยๆ
แค่กอดกันเท่านั้น ไม่ได้คิดจะทำอะไรอะไรที่มันเกินเลย
ก็มันคิดถึงเธอจัง มาหาหน่อย",oat_pramote
