song_name,href,lyric,artist
ขอไปให้ถึงดาว,/music/thailyric/3483,"เพราะฝันของฉันคือวันยิ่งใหญ่
มีจุดมุ่งหมายคือการเป็นดาว
เหน็ดเหนื่อยแรมรอน เร่าร้อนหรือเหน็บหนาว
ใจสั่งให้เท้ายังก้าวเดินไป

ทั้งล้มและลุกต้องทนทุกอย่าง
โดดเดี่ยวอ้างว้างบนทางยาวไกล
บนเปลือกที่สวย ต้องแลกด้วยสิ่งใด
ลำบากเท่าไรจะไขว่คว้ามา

เกลียด ต้องทำ บาดแผลเรื่องธรรมดา
ตามหา ความฝัน

ฉันมีเพียงแค่วันที่หวัง ไม่มีทางให้กลับหลังหัน
จ่ายความเป็นคน เพื่อแลกรางวัลให้ใจ
ฉันมีเพียงแค่วันพรุ่งนี้ ฉันไม่มีเมื่อวานให้ใคร
จะเป็นจะตาย ขอไปให้ถึงดาว

เพราะฝันของฉันคือวันยิ่งใหญ่
ไม่มีสิ่งไหนได้มาเปล่าเปล่า
มุมหนึ่งแห่งแสง ที่แฝงความปวดร้าว
ยังส่องสกาวเมื่อมองด้วยตา

เจ็บ แต่ทำ บอบช้ำเรื่องธรรมดา
เพื่อดาว ดวงนั้น

ฉันมีเพียงแค่วันที่หวัง ไม่มีทางให้กลับหลังหัน
จ่ายความเป็นคน เพื่อแลกรางวัลให้ใจ
ฉันมีเพียงแค่วันพรุ่งนี้ ฉันไม่มีเมื่อวานให้ใคร
จะเป็นจะตาย

ฉันจะไปสู่วันที่หวัง ไม่มีทางให้กลับหลังหัน
จ่ายความเป็นคน เพื่อแลกรางวัลให้ใจ
ฉันมีเพียงแค่วันพรุ่งนี้ ฉันไม่มีเมื่อวานให้ใคร
จะเป็นจะตาย ขอไปให้ถึงดาว",parn_thanaporn
ชีวิตคู่,/music/thailyric/8275,"เศษผมบนที่นอน
ปลอกหมอนที่ชายหลุดลุ่ยมา
และคราบน้ำตาบนเสื้อ
ที่เหมือนเพิ่งแห้งไป

ทุกร่องรอย คือความผูกพันอันมากมาย
ที่สองใจ เดินทางร่วมกันมา
กี่คำทำร้ายกัน อีกกี่อาการทำร้ายใจ
หักลบเท่าไร ยังเหลือความรักในสายตา

ภาพดีดีที่มีต่อกันมันมากกว่า
รู้แล้วว่า ทำไมถึงทนได้

ไม่ว่าเป็นคืนอ่อนหวาน
หรือเป็นวันอ่อนล้า
ไม่ว่า มันจะดี จะเลวร้าย

สิ่งเหล่านั้น ฉันรักมันทุกวินาที
แม้วันนี้ เหมือนเธอจะเผลอลืมไป
เพื่อคนรัก ต้องอดทน
เหตุผลมันยิ่งใหญ่ และใจ ฉันเลือกแล้ว

เคยเดินข้างข้างกัน เคยจับมือกันนั่งร้องไห้
ผ่านช่วงเวลา ที่มีความหมายมาด้วยกัน
ช่วงที่ดีที่สุด อาจเลยไปแสนนาน
ขอแค่มัน หล่อเลี้ยงหัวใจได้

ไม่ว่าเป็นคืนอ่อนหวาน
หรือเป็นวันอ่อนล้า
ไม่ว่า มันจะดี จะเลวร้าย

สิ่งเหล่านั้น ฉันรักมันทุกวินาที
แม้วันนี้ เหมือนเธอจะเผลอลืมไป
เพื่อคนรัก ต้องอดทน
เหตุผลมันยิ่งใหญ่ และใจ ฉันเลือกแล้ว

สิ่งเหล่านั้น ฉันรักมันทุกวินาที
แม้วันนี้ เส้นทางไม่สวยดังใจ
เมื่อชีวิตที่ผ่านมา เลือกแล้วว่ารักใคร
อย่างไร ก็จะรัก",parn_thanaporn
เพลงของเธอ,/music/thailyric/3508,"กว่าจะนึกขึ้นได้ว่านาน ที่เรานั้นได้พบได้เจอ
เพิ่งจะรู้ว่าฉันมีเธอมานานขนาดนี้
แต่เมื่อลองมานึกย้อนไป วันที่ร้ายหรือวันที่ดี
ก็หันไปเจอเธออยู่ข้างข้างเรื่อยมา

ก็แค่คนพื้นพื้นคนหนึ่ง ที่ไม่ซึ้งไม่เห็นสำคัญ
ไม่เคยนึกวันนี้จะมีรางวัลจากฟากฟ้า
อยากจะมีคำพูดดีดี ที่จะใช้พูดแทนสายตา
ว่ารักยิ่งกว่า มันมากยิ่งกว่ามากมาย

เพราะมีเธอ ชีวิตนี้จึงเดินมาไกลยิ่งกว่าความฝัน
เพราะมีเธอ ชีวิตฉันจึงเจอเส้นทางที่มีแสงไฟ
เป็นของขวัญที่สวยที่สุด
และมีค่าที่สุดสำหรับหนึ่งลมหายใจ
สัญญาว่าจะไม่ทิ้งไป สัญญาจะวางหัวใจบนมือของเธอ

สิ่งที่มองไม่เห็นด้วยตา แต่ว่ารับรู้ได้ด้วยใจ
คอยกระซิบว่าฉันยังคงมีใครอยู่เสมอ
ในชีวิตมีหลายเรื่องราว แต่ว่าทุกเรื่องราวของเธอ
อยู่ลึกยิ่งกว่า มันชัดยิ่งกว่ามากมาย

เพราะมีเธอ ชีวิตนี้จึงเดินมาไกลยิ่งกว่าความฝัน
เพราะมีเธอ ชีวิตฉันจึงเจอเส้นทางที่มีแสงไฟ
เป็นของขวัญที่สวยที่สุด
และมีค่าที่สุดสำหรับหนึ่งลมหายใจ
สัญญาว่าจะไม่ทิ้งไป สัญญาจะวางหัวใจบนมือของเธอ

ความทรงจำยังคงงดงามแม้เนิ่นนาน
และไม่มีวันจากเราไปไหน

เพราะมีเธอ ชีวิตนี้จึงเดินมาไกลยิ่งกว่าความฝัน
เพราะมีเธอ ชีวิตฉันจึงเจอเส้นทางที่มีแสงไฟ
เป็นของขวัญที่สวยที่สุด
และมีค่าที่สุดสำหรับหนึ่งลมหายใจ
สัญญาว่าจะไม่ทิ้งไป สัญญาจะวางหัวใจบนมือของเธอ

ทุกวันที่ผ่านพ้นไป
ทุกเพลงข้างในหัวใจ เป็นเพลงของเธอ",parn_thanaporn
เหมือนตาย...ทั้งที่ใกล้กัน,/music/thailyric/3534,"ความรักอยู่ไหน เห็นบ้างไหมคืนวันเก่าเก่า
ยังเหลือหรือเปล่า เธอยังมีให้ฉันอยู่ไหม
เป็นแค่คนอยู่ด้วยกัน แค่วันวันตั้งแต่เมื่อไร
ให้ความเหงา รุมทำร้ายฉันจมน้ำตา

ห่างเหินแค่ไหน รู้บ้างไหมยิ่งนานยิ่งห่าง
ในห้องไม่กว้าง แต่เธอไกลไปจนสุดฟ้า
ความอดทน มีไม่พอรับมือต่ออาการเฉยชา
กลายเป็นเพียง คนแปลกหน้าที่จับมือกัน

แม้ว่าเธอยังไม่ได้ทิ้ง แต่ความจริงคล้ายอย่างนั้น
ต่างกัน แค่ตัวเธอยังไม่ไป

เจ็บตรงนี้ที่หัวใจ ใกล้จะขาดแล้วเธอ
หาไม่เจอ คนรักคนเดิมอยู่ไหน
เจ็บตรงนี้ที่สายตา เห็นว่าอยู่ไม่ไกล
โลกกลับมืดมน เหมือนมีใครคนหนึ่งตายทั้งที่ใกล้กัน

ห่างเหินแค่ไหน รู้บ้างไหมยิ่งนานยิ่งห่าง
ในห้องไม่กว้าง แต่เธอไกลไปจนสุดฟ้า
ความอดทน มีไม่พอรับมือต่ออาการเฉยชา
กลายเป็นเพียง คนแปลกหน้าที่จับมือกัน

แม้ว่าเธอยังไม่ได้ทิ้ง แต่ความจริงยิ่งกว่านั้น
กดดัน ว่ามันจะจบเมื่อไร

เจ็บตรงนี้ที่หัวใจ ใกล้จะขาดแล้วเธอ
หาไม่เจอ คนรักคนเดิมอยู่ไหน
เจ็บตรงนี้ที่สายตา เห็นว่าอยู่ไม่ไกล
โลกกลับมืดมน เหมือนมีใครคนหนึ่งตายทั้งที่ใกล้กัน

เจ็บตรงนี้ที่หัวใจ ใกล้จะขาดแล้วเธอ
หาไม่เจอ คนรักคนเดิมอยู่ไหน
เจ็บตรงนี้ที่สายตา เห็นว่าอยู่ไม่ไกล
รักกลับว่างเปล่า เหมือนเราได้ตายจากไปทั้งที่ใกล้กัน

รู้บ้างหรือเปล่า รักเรากำลังจะตายทั้งที่ใกล้กัน",parn_thanaporn
ให้เลวกว่านี้,/music/thailyric/8254,"ผิดก็ทำ ต่ำก็รู้ อยากไปสู่วันที่ดี
ให้ชีวิตนี้หลุดพ้นไปจากพื้นดิน
ขวากหนามมากน้อยคอยกัน
แต่ฝันของฉันคือบิน อยู่บนท้องฟ้าสักวัน

จะไม่ยอม จะไม่แพ้ จะไม่แคร์ ใครก็ตาม
ใครจะเหยียดหยาม จะยิ้มและยอมรับมัน
ไม่รู้ว่าน้ำหรือไฟ แต่รู้ว่าไม่เคยหวั่น
ถ้ามันจำเป็นก็ร้าย

ให้เลวกว่านี้ ฉันก็ยังยินดีจะทำทุกอย่าง
ชีวิตขอเลือกเส้นทางเส้นเดียวที่นำไปสู่จุดหมาย

ถ้าเลวแล้วได้ครอบครอง ฉันยอมให้มองว่าร้าย
ต้องเปลืองตัวและหัวใจ ต้องแย่งชิงใคร ฉันจะทำ

จะไม่ยอม จะไม่แพ้ จะไม่แคร์ ใครก็ตาม
ใครจะเหยียดหยาม จะยิ้มและยอมรับมัน
ไม่รู้ว่าน้ำหรือไฟ แต่รู้ว่าไม่เคยหวั่น
ถ้ามันจำเป็นก็ร้าย

ให้เลวกว่านี้ ฉันก็ยังยินดีจะทำทุกอย่าง
ชีวิตขอเลือกเส้นทางเส้นเดียวที่นำไปสู่จุดหมาย

ถ้าเลวแล้วได้ครอบครอง ฉันยอมให้มองว่าร้าย
ต้องเปลืองตัวและหัวใจ ต้องแย่งชิงใคร ฉันจะทำ

ในความเลวที่ใครเห็น มีความจำเป็นที่คนชอบมองผ่านๆ
จบด้วยการโยนข้อหาว่าเลวร้าย

ให้เลวกว่านี้ ฉันก็ยังยินดีจะทำทุกอย่าง
ชีวิตขอเลือกเส้นทางเส้นเดียวที่นำไปสู่จุดหมาย

เพื่อคำว่าไม่เป็นรอง ฉันคงต้องเลวต้องร้าย
ต้องเปลืองตัวและหัวใจ ต้องแย่งชิงใคร ฉันจะทำ",parn_thanaporn
คำขอร้องของก้อนหิน,/music/thailyric/3488,"ก้อนหินสักก้อนหนึ่งซึ่งไม่มีคุณค่าใด
ย่อมไม่อยากฝันไกลว่าใครจะเหลียวมองมัน
วันนี้เมื่อชะตา  ดลให้เธอมาพบกัน
ท่ามกลางความตื้นตันมันแอบมีความสงสัย

จะทนฉันรึเปล่า  จะดูแลฉันหรือเปล่า
ในวันที่เจอเรื่องราวจะปล่อยมือฉันไหม
หากวันนึงเผลอเรอ  ทำให้เธอต้องเสียใจ
ให้โอกาสใช่ไหมให้อภัยสิ่งเหล่านั้น
จะทนฉันรึเปล่า  จะดูแลฉันหรือเปล่า
บนทางที่มันทอดยาว  เธอจะเดินข้างฉัน
ก้อนหินในมือของเธอ ขอเธอเพียงเท่านั้น
จะเต็มใจทำให้กันรึเปล่า (จะตอบแทนเธอด้วยการรักเธอ)

ผู้หญิงสักคนหนึ่งซึ่งไม่เคยจะหวังไป
ว่าจะเจอะผู้ชายสักคนมาสนใจกัน
เมื่อเธอก้าวเข้ามาบอกว่าเป็นคนสำคัญ
ท่ามกลางความตื้นตันมันแอบมีความสงสัย

จะทนฉันรึเปล่า  จะดูแลฉันหรือเปล่า
ในวันที่เจอเรื่องราวจะปล่อยมือฉันไหม
หากวันนึงเผลอเรอ  ทำให้เธอต้องเสียใจ
ให้โอกาสใช่ไหมให้อภัยสิ่งเหล่านั้น
จะทนฉันรึเปล่า  จะดูแลฉันหรือเปล่า
บนทางที่มันทอดยาว  เธอจะเดินข้างฉัน
ก้อนหินในมือของเธอ ขอเธอเพียงเท่านั้น
จะเต็มใจทำให้กันรึเปล่า (จะตอบแทนเธอด้วยการรักเธอ)

จะเอาลมหายใจตอบแทนทุกอย่าง
ชีวิตจะวางให้เธอเก็บเอาไว้
แค่ขอคำยืนยันว่าฉันจะมีเธอตลอดไป

จะทนฉันรึเปล่า  จะดูแลฉันหรือเปล่า
ในวันที่เจอเรื่องราวจะปล่อยมือฉันไหม
หากวันนึงเผลอเรอ  ทำให้เธอต้องเสียใจ
ให้โอกาสใช่ไหมให้อภัยสิ่งเหล่านั้น
จะทนฉันรึเปล่า  จะดูแลฉันหรือเปล่า
บนทางที่มันทอดยาว  เธอจะเดินข้างฉัน
ก้อนหินในมือของเธอ ขอเธอเพียงเท่านั้น
จะเต็มใจทำให้กันรึเปล่า (จะตอบแทนเธอด้วยการรักเธอ)",parn_thanaporn
ทนไหว แต่ไม่ทน,/music/thailyric/3497,"กี่ผิดที่เธอกระทำ คำตอบคือการอภัย
จะหนักจะเบาเท่าไหน ก็ยกให้เรื่อยมา
กับสิ่งที่ทำทั้งหลาย วันหนึ่งคงในไม่ช้า
จะช่วยทำเธอสำนึกความดี

เจ็บปวดจนเอือมระอา เธอกลับไม่เคยละอาย
ไม่หยุดทำตัวร้ายๆ แต่มากขึ้นทุกที
มองไปไกลๆแล้วท้อ เมื่อเธอก็ยังเป็นอย่างนี้
ถึงวันที่ตัดสินใจ

อยากบอกว่าฉันน่ะทนไหว แต่คงจะไม่ทน
คนใจร้ายหนึ่งคนยิ่งทนยิ่งได้ใจ
เมื่อก่อนฉันเห็นแก่ใจเธอ เธอล่ะเคยมองไหม
หากวันนี้ต้องเห็นแก่ตัวเพื่อหัวใจ ไม่ผิดใช่ไหมที่ไม่ทน

เจ็บปวดจนเอือมระอา เธอกลับไม่เคยละอาย
ไม่หยุดทำตัวร้ายๆ แต่มากขึ้นทุกที
มองไปไกลๆแล้วท้อ เมื่อเธอก็ยังเป็นอย่างนี้
ถึงวันที่ตัดสินใจ

อยากบอกว่าฉันน่ะทนไหว แต่คงจะไม่ทน
คนใจร้ายหนึ่งคนยิ่งทนยิ่งได้ใจ
เมื่อก่อนฉันเห็นแก่ใจเธอ เธอล่ะเคยมองไหม
หากวันนี้ต้องเห็นแก่ตัวเพื่อหัวใจ ไม่ผิดใช่ไหมที่ไม่ทน

อยู่ตรงนี้ฉันก็ไม่มีค่า
ยอมรับดีกว่าว่าเปลี่ยนเธอไม่ได้

อยากบอกว่าฉันน่ะทนไหว แต่คงจะไม่ทน
คนใจร้ายหนึ่งคนยิ่งทนยิ่งได้ใจ
เมื่อก่อนฉันเห็นแก่ใจเธอ เธอล่ะเคยมองไหม
หากวันนี้ต้องเห็นแก่ตัวเพื่อหัวใจ ไม่ผิดใช่ไหมที่ไม่ทน

อยากบอกว่าฉันน่ะทนไหว แต่คงจะไม่ทน
คนใจร้ายหนึ่งคนยิ่งทนยิ่งได้ใจ
เมื่อก่อนฉันเห็นแก่ใจเธอ เธอล่ะเคยมองไหม
หากวันนี้ต้องเห็นแก่ตัวเพื่อหัวใจ ไม่ผิดใช่ไหมที่ไม่ทน",parn_thanaporn
นรกในใจ,/music/thailyric/3498,"ฉันรู้ว่าเธอมีคนของเธออยู่
เธอรู้ว่าฉันเป็นคนของใคร
แต่ว่าเราก็มารักกันเรามันน่าไม่อาย
ยิ่งคิดยิ่งเหมือนผู้ร้ายต้องหลบต้องซ่อนทำ

ความหวานที่มันขโมยของเขามา
ไม่ช้าต้องถึงเวลาใช้กรรม
ต่อให้เรารักกันเท่าไร มันก็ไม่ชอบธรรม
เรียกร้องอะไรสักครั้งไม่ได้จริงไหม

สมควรหยุดตรงนี้ให้พอกันทีนะ
เรื่องร้ายที่ทำกันมาให้ถือว่าเวรดลใจ
ช่วยกันดับไฟเผาที่ลามใจเรา
ให้ปวดร้าวทุรนทุราย
กรรมที่ทำความเลวลงไป
(คนที่ทำความเลวลงไป)
ชดใช้ด้วยการตรอมใจก็สมควร

กอดเธอหลายทีที่ใจฉันไหวหวั่น
กอดฉันลึกๆ เธอคงละอาย
อยู่กันไปไม่ตายก็ตก ลงนรกในใจ
ทีมีเพียงไฟกับไฟในอกเท่านั้น

สมควรหยุดตรงนี้ให้พอกันทีนะ
เรื่องร้ายที่ทำกันมาให้ถือว่าเวรดลใจ
ช่วยกันดับไฟเผาที่ลามใจเรา
ให้ปวดร้าวทุรนทุราย
กรรมที่ทำความเลวลงไป
(คนที่ทำความเลวลงไป)
ชดใช้ด้วยการตรอมใจก็สมควร

สมควรหยุดตรงนี้ให้พอกันทีนะ
เรื่องร้ายที่ทำกันมาให้ถือว่าเวรดลใจ
ช่วยกันดับไฟเผาที่ลามใจเรา
ให้ปวดร้าวทุรนทุราย
กรรมที่ทำความเลวลงไป
(คนที่ทำความเลวลงไป)
ชดใช้ด้วยการตรอมใจก็สมควร

คนที่ทำความเลวลงไป
ชดใช้ด้วยการตรอมใจก็สมควร",parn_thanaporn
ไม่รู้จักคำว่าพอ,/music/thailyric/3513,"เหตุผล ข้อใหญ่คือหัวใจ เธอถ่อย
คนเดียว รักเดียว รู้สึกว่าน้อย เกินไป
ทุ่มเท ไปสิ ยังคิดมี คนใหม่
ทำดี ไม่ได้อะไรขึ้นมา
อย่าอ้าง คนอื่น ฟังไม่ขึ้น สักคำ
ความจริง เรื่องจริง มันตอกและย้ำ ตำตา
รักมาก เท่าไหร่ ยิ่งแค้นใจ มากกว่า
ยังถูก ตบหน้า โดยคนที่เรา ไว้ใจ

สะกดคำว่าพอ ให้ฉันฟังหน่อยสิ
อยากฟัง คำนี้ที่เธอคงลืมมันไป
หากเอา มีดกรีดจากหนังไปกลางหัวใจ
คงเจอแต่ความไม่รักดี

มันจ้องจะเอา เธออย่าโทษเค้า อย่าโทษใคร
ก็แค่แปลกใจ ทำไมถึง เป็นคนแบบนี้
สำนึกในหัวใจ คงไม่รู้เลยอะไรชั่วดี
คิดเป็นเท่านี้ คิดแค่นอกใจ

อย่าพูด ดีกว่า ว่าเค้าเริ่ม ทุกอย่าง
คนเรา ถ้าลอง มันไม่ยับยั้ง ชั่งใจ
รู้ดี ว่าต่ำ แต่ก็ทำ ลงไป
ไม่ใช่ นิสัย เค้าเรียกว่าเป็น สันดาน

สะกดคำว่าพอ ให้ฉันฟังหน่อยสิ
อยากฟัง คำนี้ที่เธอคงลืมมันไป
หากเอา มีดกรีดจากหนังไปกลางหัวใจ
คงเจอแต่ความไม่รักดี

มันจ้องจะเอา เธออย่าโทษเค้า อย่าโทษใคร
ก็แค่แปลกใจ ทำไมถึง เป็นคนแบบนี้
สำนึกในหัวใจ คงไม่รู้เลยอะไรชั่วดี
คิดเป็นเท่านี้ คิดแค่นอกใจ

มันจ้องจะเอา เธออย่าโทษเค้า อย่าโทษใคร
ก็แค่แปลกใจ ทำไมถึง เป็นคนแบบนี้
สำนึกในหัวใจ คงไม่รู้เลยอะไรชั่วดี
คิดเป็นเท่านี้ คิดแค่นอกใจ

ฉันดีให้ตายพรุ่งนี้เธอก็นอกใจ",parn_thanaporn
หญิงร้าย ชายเลว,/music/thailyric/3527,"สุดท้ายเมื่อความแตก ถึงเวลาแยกทาง
เพื่อนกับแฟนเขาแทงข้างหลัง
มันผิดหวังไม่มีชิ้นดี
เคย...สงสัย เพิ่งกระจ่างแก่ใจวันนี้
เปิดตัวกันอย่างดี โดนเหยียบใจกันต่อตา
ถูกพิษของงูเห่า แล่นเข้าไปที่ใจ
คนเคยรัก เค้ารุมทำร้าย มันอับอายซะจนหน้าชา
เธอไม่นึก ไม่รู้สึกอะไรสินะ
จับมือกันเข้ามา บอกว่าเธอไม่ตั้งใจ

อยากได้ใช่มั๊ย ได้เลย ถ้าคนคุ้นเคยต้องการ
เมื่อกล้าตลบหลังกัน จะกลัวฉันแค้นทำไม
ถึงมันเจ็บกว่าโดนเชือดคอ แต่กล้าขอก็กล้าให้ไป
รู้หน้าไม่รู้ใจ เมื่อที่แท้ ผู้หญิงก็ร้ายผู้ชายก็เลว
( ขนาดคนที่เป็นเพื่อนตาย อีกหนึ่งคือคนซึ้งใจ ยังเลว...)

คูณสองของความเจ็บล้นมาเป็นน้ำตา
ความผูกพันที่เคยผ่านมา ไม่มีค่าให้ใครห้ามใจ
คน...คนนี้ต้องยินดีกับเธอด้วยมั๊ย
ให้คนที่โหดร้ายกับอีกคนที่แย่งแฟน

อยากได้ใช่มั๊ย ได้เลย ถ้าคนคุ้นเคยต้องการ
เมื่อกล้าตลบหลังกัน จะกลัวฉันแค้นทำไม
ถึงมันเจ็บกว่าโดนเชือดคอ แต่กล้าขอก็กล้าให้ไป
รู้หน้าไม่รู้ใจ เมื่อที่แท้ ผู้หญิงก็ร้ายผู้ชายก็เลว
( ขนาดคนที่เป็นเพื่อนตาย อีกหนึ่งคือคนซึ้งใจ ยังเลว...)

อุ่นใจไม่นึกกลัว ใกล้ตัวทั้งนั้น
ยิ่งรู้ว่ามันยิ่งอันตราย

อยากได้ใช่มั๊ย ได้เลย ถ้าคนคุ้นเคยต้องการ
เมื่อกล้าตลบหลังกัน จะกลัวฉันแค้นทำไม
ถึงมันเจ็บกว่าโดนเชือดคอ แต่กล้าขอก็กล้าให้ไป
รู้หน้าไม่รู้ใจ เมื่อที่แท้ ผู้หญิงก็ร้ายผู้ชายก็เลว
( ขนาดคนที่เป็นเพื่อนตาย อีกหนึ่งคือคนซึ้งใจ ยังเลว...)",parn_thanaporn
