song_name,href,lyric,artist
คนข้างหลัง,/music/thailyric/4229,"ข้างหลังเธอยังมีฉัน อยู่กับเธอเสมอ
ข้างหลังเธอยังมีฉัน อยู่กับเธอทุกเวลา
ข้างหลังเธอยังมีฉัน อยากให้เธอรู้ว่า
เมื่อเธออ่อนล้า เธอยังมีฉันดูแล

แม้ว่าเธอจะมีใคร ที่อยู่ตรงหน้าเธอ
แค่อยากให้เธอได้รู้เสมอเวลาที่เธอไม่มีใคร

เผื่อเวลาที่เธอเดียวดายต้องทนทุกข์เหงา...ใจ
เผื่อวันใดที่ใครคนนึงเขาลืมว่ารัก...เธอ
เผื่อเวลาเพียงเสี้ยวนาทีไม่มีใครคิดถึงเธอ
ก็ยังมีฉัน เพียงแค่เธอ...หันมอง

แม้ว่าเธอจะมีใคร ที่อยู่ตรงหน้าเธอ
แค่อยากให้เธอได้รู้เสมอเวลาที่เธอไม่มีใคร

เผื่อเวลาที่เธอเดียวดายต้องทนทุกข์เหงา...ใจ
เผื่อวันใดที่ใครคนนึงเขาลืมว่ารัก...เธอ
เผื่อเวลาเพียงเสี้ยวนาทีไม่มีใครคิดถึงเธอ
ก็ยังมีฉัน เพียงแค่เธอ...หันมอง

แม้ว่าเธอจะมีใคร ที่อยู่ตรงหน้าเธอ
แค่อยากให้เธอได้รู้เสมอเวลาที่เธอไม่มีใคร

เผื่อเวลาที่เธอเดียวดายต้องทนทุกข์เหงา...ใจ
เผื่อวันใดที่ใครคนนึงเขาลืมว่ารัก...เธอ
เผื่อเวลาเพียงเสี้ยวนาทีไม่มีใครคิดถึงเธอ
ก็ยังมีฉัน เพียงแค่เธอ...หันมอง

เผื่อเวลาที่เธอเดียวดายต้องทนทุกข์เหงา...ใจ
เผื่อวันใดที่ใครคนนึงเขาลืมว่ารัก...เธอ
เผื่อเวลาเพียงเสี้ยวนาทีไม่มีใครคิดถึงเธอ
ก็ยังมีฉัน เพียงแค่เธอ...หันมอง",peet_peera
เพราะใจมันแคบ,/music/thailyric/4231,"นับครั้งไม่ได้ใช่ไหม นับครั้งที่พูดที่ไล่ที่ให้ไป
ที่บอกว่าให้ฉัน...ลองรักใคร
นับนิ้วเธอดูเถิดนะ ว่านิ้วของเธอจะเพิ่มอีกได้มั้ย
มันก็คล้ายๆ หัวใจฉันอยู่

ลองทำใจให้กว้างกี่ครั้งรับใครๆที่ไม่ใช่เธอ
แต่เป็นอะไรที่ยากเสมอ ให้ฉันทำอย่างเธอ...
ก็ใจของฉันมันเท่านี้เอง
บอกเลยใจฉันแคบ ไม่มีที่เหลือเผื่อใคร...
เก็บกักใครไม่ไหวหัวใจมันกว้างแค่เธออยู่ได้คนเดียว
ให้แค่เธอจริงๆใจดวงนี้ ไม่ได้เปิดให้มีคนอื่นเข้าไป
หรือว่าเธออยากออก... เพราะคงแคบเกินไป ก็เข้าใจ

เพราะฉันใจกว้างไม่ไหว แค่ฉันมีภาพที่เธอจับมือเขา
อย่างกับมันเผาใจฉันเลย
ทิ้งฉันไปเลยเถิดนะ  ไม่ต้องเอาใครมาคอยอยู่กับฉัน
อย่าเอาใครๆมาแทน มาเปลี่ยน

ลองทำใจให้กว้างกี่ครั้งรับใครๆที่ไม่ใช่เธอ
แต่เป็นอะไรที่ยากเสมอ ให้ฉันทำอย่างเธอ...
ก็ใจของฉันมันเท่านี้เอง
บอกเลยใจฉันแคบ ไม่มีที่เหลือเผื่อใคร...
เก็บกักใครไม่ไหวหัวใจมันกว้างแค่เธออยู่ได้คนเดียว
ให้แค่เธอจริงๆใจดวงนี้ ไม่ได้เปิดให้มีคนอื่นเข้าไป
หรือว่าเธออยากออก... เพราะคงแคบเกินไป ก็เข้าใจ

ลองทำใจให้กว้างกี่ครั้งรับใครๆที่ไม่ใช่เธอ
แต่เป็นอะไรที่ยากเสมอ ให้ฉันทำอย่างเธอ...
ก็ใจของฉันมันเท่านี้เอง
บอกเลยใจฉันแคบ ไม่มีที่เหลือเผื่อใคร...
เก็บกักใครไม่ไหวหัวใจมันกว้างแค่เธออยู่ได้คนเดียว
ให้แค่เธอจริงๆใจดวงนี้ ไม่ได้เปิดให้มีคนอื่นเข้าไป
หรือว่าเธออยากออก... เพราะคงแคบเกินไป ก็เข้าใจ",peet_peera
ไม่อยากมีแล้วหัวใจ,/music/thailyric/4232,"หลับไม่ลงข่มไม่นอนเอาแต่ย้อนนึกภาพเดิม
ความเจ็บช้ำยิ่งมาเติมให้คิดถึงเธอ
เป็นกังวนอยู่ในใจทำอะไรไม่ได้เลย
เธอไม่เคยลบหายไปเลยไม่เคยจางไป

ปวดร้าวทุก ๆ วันกับคำถามที่เธอเอ่ย
เลิกกันแล้วจบกันแล้วยังถามว่าเป็นไง

เจ็บจนอยู่เฉย ๆ ไปสักพักไม่ต้องการใคร
ไม่ต้องมีอะไร ตัวเปล่า ๆ ไม่เอาเรื่องใด
แค่อยากลืมไปเลยเหมือนไม่อยาก..ไม่ต้องการมีหัวใจ
เลือกได้ไหมไม่มีจิตใจไว้รักใครจะได้ไม่ต้องเจ็บช้ำ

สูดอากาศผ่านมันไปเจ็บที่ใจทุก ๆ ที
ความผิดเก่าที่เพราะยังมีหัวใจดวงเดิม
อยากจะลืมจบมันไปทำให้ใจลบภาพเธอ
ไม่อยากเจ็บซ้ำ ๆ ที่เจอว่าเธอยังอยู่

ปวดร้าวทุก ๆ วันกับคำถามที่เธอเอ่ย
เลิกกันแล้วจบกันแล้วยังถามว่าเป็นไง

เจ็บจนอยู่เฉย ๆ ไปสักพักไม่ต้องการใคร
ไม่ต้องมีอะไร ตัวเปล่า ๆ ไม่เอาเรื่องใด
แค่อยากลืมไปเลยเหมือนไม่อยาก..ไม่ต้องการมีหัวใจ
เลือกได้ไหมไม่มีจิตใจไว้รักใครจะได้ไม่ต้องเจ็บช้ำ

เจ็บจนอยู่เฉย ๆ ไปสักพักไม่ต้องการใคร
ไม่ต้องมีอะไร ตัวเปล่า ๆ ไม่เอาเรื่องใด
แค่อยากลืมไปเลยเหมือนไม่อยาก..ไม่ต้องการมีหัวใจ
เลือกได้ไหมไม่มีจิตใจไว้รักใครจะได้ไม่ต้องเจ็บช้ำ",peet_peera
คนรักคนที่สอง,/music/thailyric/4230,"ไม่รู้จริงๆ ที่ทำลงไป ไม่รู้จริงๆ ทำเธอเสียใจ
อาจเพราะฉันคิดผิดไป ปล่อยตามอารมณ์ไปทุกอย่าง
ผิดไหมที่ทำตามใจตัวเอง ที่ขอให้เธอเป็นคนสำคัญ
ผิดไหมที่คิดผูกพันกับเธอที่เดินมาทีหลัง

แต่ความจริงที่เราเผชิญ รักนั้นมีได้เพียงแค่สองคน
แต่เธอก็ยอม และฉันยังมีอีกคนในใจ
กับสิ่งหนึ่งที่ฉันเพิ่งรู้ รักของเธอต้องอยู่ไปช้ำไป
อดทนมานานใช่ไหมที่รักกันมา

หากวันนี้ถ้าเลือกจากไป
อยากให้รู้ว่าฉันขอโทษจากใจ
ที่ปล่อยตัวไปตามหัวใจ
จนลืมคิดไปว่าฉันมีใครอีกคน
ให้โอกาสตัวฉันซักครั้งก่อนไป
อยากเก็บความทรงจำดีๆ
เพื่อฉันจะจำเพียงเธอเรื่อยไป
ไม่ลืมว่าใครทำให้ฉันมีความสุขเหลือเกิน

อาจคิดไปเองว่าไม่ใช่รัก อาจคิดว่าฉันคงเพียงแค่เหงา
เธอคิดว่าฉันต้องการแค่ใครสักคนคั่นเวลา
ต่างรู้ว่าควรวางตัวยังไง แต่รักที่ได้ทำเราพลาดไป
กลับเผลอให้รักหมดใจ ไม่ควรเกินเลยต่างก็รู้

แต่ความจริงที่เราเผชิญ รักนั้นมีได้เพียงแค่สองคน
แต่เธอก็ยอม และฉันยังมีอีกคนในใจ
กับสิ่งหนึ่งที่ฉันเพิ่งรู้ รักของเธอต้องอยู่ไปช้ำไป
อดทนมานานใช่ไหมที่รักกันมา

หากวันนี้ถ้าเลือกจากไป
อยากให้รู้ว่าฉันขอโทษจากใจ
ที่ปล่อยตัวไปตามหัวใจ
จนลืมคิดไปว่าฉันมีใครอีกคน
ให้โอกาสตัวฉันซักครั้งก่อนไป
อยากเก็บความทรงจำดีๆ
เพื่อฉันจะจำเพียงเธอเรื่อยไป
ไม่ลืมว่าใครทำให้ฉันมีความสุขเหลือเกิน

(หากวันนี้ถ้าเลือกจากไป
อยากให้รู้ว่าฉันขอโทษจากใจ
ที่ปล่อยตัวไปตามหัวใจ
จนลืมคิดไปว่าฉันมีใครอีกคน)

ให้โอกาสตัวฉันซักครั้งก่อนไป
อยากเก็บความทรงจำดีๆ
เพื่อฉันจะจำเพียงเธอเรื่อยไป
ไม่ลืมว่าใครทำให้ฉันมีความสุขเหลือเกิน",peet_peera
ความรักดีๆ อยู่ที่ไหน,/music/thailyric/8839,"มองดูคนรอบๆ กาย มองใครๆ เขารักกัน
มองมันอยู่อย่างนั้นแม้ว่ามันจะทำให้น้อยใจ
คนมันเคยมีคู่กายคนมันเคยมีคู่ใจ
มันเลยทนไม่ไหวต้องทำอะไรสักที

ความรักอยู่แห่งหนใดใครเก็บเอาไว้
หลบอยู่ไหนเหตุใดไม่ปรากฏตัว

หรือความรักแท้จริงไม่มีอยู่เลย
รักใครก็ต้องลงเอยช้ำเจ็บร้าวปวดทุกที
หาความรักเท่าไรไม่เจอสักทีหัวใจโทรมๆ ที่มี
ใครสักคนช่วยทีความรักดีๆ อยู่ที่ไหน

วันเวลาที่แสนดีวันที่มีเธอข้างกาย
เธอมาเติมความหมายให้ใจที่เฉยและชา
แต่วันนึงเธอมาทิ้งไปทำให้ใจทรมาน
จมอยู่กับความหวังแม้ว่าเธอทำใจฉันหายไป

ความรักอยู่แห่งหนใดใครเก็บเอาไว้
หลบอยู่ไหนเหตุใดไม่ปรากฏตัว

หรือความรักแท้จริงไม่มีอยู่เลย
รักใครก็ต้องลงเอยช้ำเจ็บร้าวปวดทุกที
หาความรักเท่าไรไม่เจอสักทีหัวใจโทรมๆ ที่มี
ใครสักคนช่วยทีความรักดีๆ อยู่ที่ไหน

ความรักอยู่แห่งหนใดใครเก็บเอาไว้
หลบอยู่ไหนเหตุใดไม่ปรากฏตัว

หรือความรักแท้จริงไม่มีอยู่เลย
รักใครก็ต้องลงเอยช้ำเจ็บร้าวปวดอยู่อย่างนี้
และรักเท่าไรไม่เจอสักทีหัวใจโทรมๆ ที่มี
ใครสักคนช่วยทีความรักดีๆ อยู่ที่ไหน

ช่วยทำให้ฉันเจอสักที
รักแท้ดีๆ อยู่กับใคร",peet_peera
คุ้มค่าการรอคอย,/music/thailyric/9489,"คนไม่เคยหวาน นั้นมันก็มีมุมที่นุ่มนวล
ฟ้าที่ดำล้วน ก็รอให้เราได้มองเห็นดาว
วันที่นอนเช้า ถึงทำให้เบลอภาพไม่ชัดเจน
แต่อย่างน้อย มันทำให้พบเธอ

โลกทั้งหมด กำลังเปลี่ยนไปให้สวยงาม
แล้วเธอรู้สึกเป็นเหมือนกันไหม
ได้โปรดอย่าเก็บไว้ในใจหรือสายตา

บอกได้เพียงว่าการรอคอยมันคุ้มเมื่อได้มาพบเธอ
ใจมันบอกกับฉันอย่าปล่อยคนที่ดีๆ ที่พบให้ต้องจากไป
เกิดมาคนละครั้งเท่านั้นขอพูดหมดใจ
ไม่รู้ว่าจะเจอกันอีกวันไหน รู้แค่ฉันรักเธอ

เพียงแค่รอยยิ้ม ที่เธอไม่ตั้งใจส่งให้กัน
แต่อย่างน้อยมันทำให้รักเธอ

โลกทั้งหมด กำลังเปลี่ยนไปให้สวยงาม
แล้วเธอรู้สึก เป็นเหมือนกันไหม
ได้โปรดอย่า เก็บไว้ในใจหรือสายตา

บอกได้เพียงว่าการรอคอยมันคุ้ม เมื่อได้มาพบเธอ
ใจมันบอกกับฉันอย่าปล่อยคนที่ดีๆ ที่พบให้ต้องจากไป
เกิดมาคนละครั้งเท่านั้นขอพูดหมดใจ
ไม่รู้ว่าจะเจอกันอีกวันไหน รู้แค่ฉันรักเธอ

บอกได้เพียงว่าการรอคอยมันคุ้ม เมื่อได้มาพบเธอ
ใจมันบอกกับฉันอย่าปล่อยคนที่ดีๆ จากไป
เกิดมาคนละครั้งเท่านั้นขอพูดหมดใจ
ไม่รู้ว่าคิดต่างกันไหม รู้แค่ฉันรักเธอ

เพียงแค่รอยยิ้ม ที่เธอไม่ตั้งใจส่งให้กัน
แต่อย่างน้อยมันทำให้รักเธอ",peet_peera
เจ็บกว่าจาก,/music/thailyric/8732,"ฉันนั้นไร้ความหวัง ฉันนั้นไร้จุดหมาย วันที่เธอไปจากฉัน
ฉันเหมือนไร้ชีวิต กัดฟันก้าวข้ามผ่าน พ้นจากวันนั้นมา
เหมือนฉันนั้นหายดีแล้ว แต่ยิ่งเดินไกลเท่าไหร่
สุดท้ายฉันก็ยิ่งได้รู้

เจ็บกว่าการไม่มีความหวัง ก็คือการไม่ลืมความหลัง
เท้าก้าวเดินไป แต่หัวใจหยุดตรงนั้น
เธอรู้ไหมการคิดถึง คนที่ไม่มีทางพบกัน
นั้นปวดร้าวและทรมานเหลือเกิน

ทุกคืนที่หลับตา ทุกวันที่ตื่นมา ยังไม่เคยลืมได้สักครั้ง
ทั้งๆ ที่ก็รู้ ต้องเจ็บและต้องร้าวราน ฉันก็ยังคิดถึงเธอ
พรุ่งนี้ที่ไร้จุดหมาย อาจเขียนขึ้นมาได้ใหม่
แต่จะลบวนวานอย่างไร

เจ็บกว่าการไม่มีความหวัง ก็คือการไม่ลืมความหลัง
เท้าก้าวเดินไป แต่หัวใจหยุดตรงนั้น
เธอรู้ไหมการคิดถึง คนที่ไม่มีทางพบกัน
นั้นปวดร้าวและทรมานเหลือเกิน

เจ็บกว่าการไม่มีความหวัง ก็คือการไม่ลืมความหลัง
เท้าก้าวเดินไป แต่หัวใจหยุดตรงนั้น
เธอรู้ไหมการคิดถึง คนที่ไม่มีทางพบกัน
นั้นปวดร้าวและทรมานเหลือเกิน

เจ็บกว่าการไม่มีความหวัง ก็คือการไม่ลืมความหลัง
เท้าก้าวเดินไป แต่หัวใจหยุดตรงนั้น
เธอรู้ไหมการคิดถึง คนที่ไม่มีทางพบกัน
นั้นปวดร้าวและทรมานเหลือเกิน",peet_peera
ผ่านมาให้แค่จำ,/music/thailyric/9066,"ไม่สำคัญว่าฉันจะรักสักเท่าไหร่
บอกตัวเองว่าต้องข่มใจ
ไม่อ่อนไหวเหมือนเคย
เมื่อวันนี้ก็รู้ว่าไม่มีเส้นทางต่อไป
สุดทางแค่นี้ความรัก
ไม่ว่าฉันคิดไกลสักแค่ไหน

คนบางคนผ่านมาให้รัก
ไม่ได้เกิดมาเพื่อคู่กัน
ทำได้แค่นี้เรื่องเธอกับฉันท่องไว้
คนบางคนผ่านมา
แค่เขียนภาพเพื่อให้จดจำเอาไว้
แค่นี้ก็ดีมากแล้ว ได้มีความทรงจำ
ที่แม้จะเจ็บก็สวยงาม

ขอบคุณนะที่ได้ผ่านมาในชีวิตครั้งหนึ่ง
ไม่มีวันจะไม่คิดถึงว่าเคยได้ยืนใกล้
ท่วงทำนองความรักแม้ไม่เคยได้เป็นอย่างใจ
ปล่อยให้มันบรรเลงอย่างนั้น
แม้สุดท้ายน้ำตายังต้องไหล

คนบางคนผ่านมาให้รัก
ไม่ได้เกิดมาเพื่อคู่กัน
ทำได้แค่นี้เรื่องเธอกับฉันท่องไว้
คนบางคนผ่านมา
แค่เขียนภาพเพื่อให้จดจำเอาไว้
แค่นี้ก็ดีมากแล้ว ได้มีความทรงจำ
ที่แม้จะเจ็บก็สวยงาม

คนบางคนผ่านมาให้รัก
ไม่ได้เกิดมาเพื่อคู่กัน
ทำได้แค่นี้เรื่องเธอกับฉันท่องไว้
คนบางคนผ่านมา
แค่เขียนภาพเพื่อให้จดจำเอาไว้
แค่นี้ก็ดีมากแล้ว ได้มีความทรงจำ
ที่แม้จะเจ็บก็สวยงาม

ได้มีความทรงจำถึงแม้จะเจ็บก็สวยงาม",peet_peera
รักเขาไปก่อนดีไหม,/music/thailyric/9490,"ควรปล่อยมือ แล้วก็พอก่อนไหม
อย่าให้เจ็บและเสียเวลาไปวันต่อวัน
เธอกับฉัน รักกันในความลับ
คงต้องกลับมาถามตัวเองกันดูสักครั้ง

รักนี้เพื่ออะไร สุดท้ายก็คงเสียใจอยู่ดี
เพราะว่าเธอจริงๆ ก็มีเขา ฉันว่าเราควรคิดดีๆ

ถ้าหากว่าแค่เหงา รักเขาไปก่อนดีไหม
เรื่องฉันเธอควรหยุดไว้
อย่าให้เรานั้นต้องไปหักหลังใคร
หากว่าเธอเหงา ให้เขาได้กอดแทนฉัน
รักเราควรเป็นอย่างนั้น
หยุดปล่อยใจย้อนคิดอีกทีแล้วกัน
ฉันก็มีแต่เสีย หมดทุกทาง
คนรักของเธอกับฉัน ถ้าเขารู้เข้าคงจะเสียใจ

จริงอย่างนั้น เหมือนทีใครบอกไว้
คนบางคนมีไว้ให้เราแค่รักเท่านั้น
เจอกันช้า รักกันเพียงชั่วคราว
มันไม่มีทางไหนให้เราก้าวไกลกว่านี้

รักนี้เพื่ออะไร สุดท้ายก็คงเสียใจอยู่ดี
เพราะว่าเธอจริงๆ ก็มีเขา ฉันว่าเราควรคิดดีๆ

ถ้าหากว่าแค่เหงา รักเขาไปก่อนดีไหม
เรื่องฉันเธอควรหยุดไว้
อย่าให้เรานั้นต้องไปหักหลังใคร
หากว่าเธอเหงา ให้เขาได้กอดแทนฉัน
รักเราควรเป็นอย่างนั้น
หยุดปล่อยใจย้อนคิดอีกทีแล้วกัน
ฉันก็มีแต่เสีย หมดทุกทาง
คนรักของเธอกับฉัน ถ้าเขารู้เข้าคงจะเสียใจ

ถ้าหากว่าแค่เหงา รักเขาไปก่อนดีไหม
เรื่องฉันเธอควรหยุดไว้
อย่าให้เรานั้นต้องไปหักหลังใคร
หากว่าเธอเหงา ให้เขาได้กอดแทนฉัน
รักเราควรเป็นอย่างนั้น
หยุดปล่อยใจย้อนคิดอีกทีแล้วกัน
ฉันก็มีแต่เสีย หมดทุกทาง
คนรักของเธอกับฉัน ถ้าเขารู้เข้าคงจะเสียใจ",peet_peera
หากว่าย้อนเวลากลับไปได้,/music/thailyric/9740,"ตั้งแต่ที่พบกันครั้งเดียว หลับก็คิดถึงอยู่
แยกความฝัน กับเรื่องจริงที่เจอ ไม่ออก
ก็แบบที่เหมือนเรารู้ใจ ผูกและพันแอบหวัง ทั้งที่สายไป
เพราะเธอก็มีคน ที่รู้ใจ เราก็คงจะเปลี่ยนอะไรไม่ไหว

น่าจะรู้ว่าเธอไปอยู่ที่ไหน ตอนที่เธอยังไม่มีใคร
ทำไมไม่เป็นฉัน ที่เจอเธอ ใครช่วยย้อนกลับไป
อยากเป็นคนดูแลเธอก่อนที่สาย
พูดว่ารักเธอก่อนที่ใครคนใดจะเอ่ยคำนี้
หากว่าย้อนเวลากลับไปได้ เธอจะรักฉันไหม

เมื่อวันพรุ่งนี้นาฬิกา คงไม่หมุนย้อนกลับ
แปลว่าฉัน อาจคิดเองได้เพียง ในใจ
ไม่ว่าจะรักเธอเท่าไร คงไม่ใช่วันนี้ ที่ได้คู่กัน
เพราะเธอก็เลือกเขา ที่เข้ากัน ฉันก็คงจะเปลี่ยนอะไรไม่ไหว

น่าจะรู้ว่าเธอไปอยู่ที่ไหน ตอนที่เธอยังไม่มีใคร
ทำไมไม่เป็นฉัน ที่เจอเธอ ใครช่วยย้อนกลับไป
อยากเป็นคนดูแลเธอก่อนที่สาย
พูดว่ารักเธอก่อนที่ใครคนใดจะเอ่ยคำนี้
หากว่าย้อนเวลากลับไปได้ เธอจะรักฉันไหม

น่าจะรู้ว่าเธอไปอยู่ที่ไหน ตอนที่เธอยังไม่มีใคร
ทำไมไม่เป็นฉัน ที่เจอเธอ ใครช่วยย้อนกลับไป
อยากเป็นคนดูแลเธอก่อนที่สาย
พูดว่ารักเธอก่อนที่ใครคนใดจะเอ่ยคำนี้
หากว่าย้อนเวลากลับไปได้ เธอจะรักฉันไหม

แต่คงย้อนเวลากลับไม่ได้ ทำได้เพียงรักเธอ",peet_peera
