song_name,href,lyric,artist
ต้องลืมให้ได้ ผู้ชายคนนี้,/music/thailyric/3832,"อยากขอบคุณทุกคนที่ห่วงใย
ยามยามที่ฉันเศร้าใจ
คอยอยู่เป็นเพื่อนกัน
ปลอบและโยนเมื่อฉันต้องเจ็บ เมื่อเขาไม่แคร์

ดื่มดื่มทั้งน้ำตาเพื่อให้ลืม
คืนคืนนี้ฉันเลี้ยงเอง
แด่เพื่อนที่แสนดี แด่ผู้ชายที่ฉันต้องปล่อย
ต้องปล่อยเขาไป

หัวใจสลายเมื่อไปรักคนที่เขาไม่รัก
นะเพื่อนฉันขอซบลงที่ไหล่
กอดคอและร้องไห้ไปด้วยกัน ทั้งคืนทั้งคืนนี้

รักเขาฉันรักรักจนหมดใจ ให้เป็นผู้ชายคนเดียว
แต่ดูสิเขาไม่เคยจะแลเหลียว
ชีวิตของฉันถ้าไม่มีเขาก็คงไม่ตาย
ต้องลืมให้ได้ผู้ชายคนนี้

หัวใจสลายเมื่อไปรักคนที่เขาไม่รัก
นะเพื่อนฉันขอซบลงที่ไหล่
กอดคอและร้องไห้ไปด้วยกัน ทั้งคืนทั้งคืนนี้

รักเขาฉันรักรักจนหมดใจ ให้เป็นผู้ชายคนเดียว
แต่ดูสิเขาไม่เคยจะแลเหลียว
ชีวิตของฉันถ้าไม่มีเขาก็คงไม่ตาย
ต้องลืมให้ได้ผู้ชายคนนี้

แต่ดูสิเขาไม่เคยจะแลเหลียว
ชีวิตของฉันถ้าไม่มีเขาก็คงไม่ตาย
ดื่มแก้วสุดท้ายผู้ชายคนนี้",prik_thai
รักสามเศร้า,/music/thailyric/3840,"นับจากวันนั้น วันที่เธอทิ้ง
ฉันต้องยอมรับความจริง
แม้ว่ามันไม่ง่ายเลย

นับจากวันนั้น ฉันก็เจอเขา
เขาที่คอยเช็ดน้ำตา คอยดูแลไม่ห่าง
อย่าร้อง เขาบอกกับฉันว่าอย่าร้อง
มีเขาทั้งคนจะคอยอยู่ข้างฉัน

และแล้วและเราทั้งสองก็ได้คบ
และไปด้วยดี ทำไมเธอกลับมาเอาตอนนี้

คนหนึ่งเขาช่างดีกับฉัน จะทิ้งเขาลงยังไง
คนหนึ่งเคยทิ้งไป แต่รักไม่เคยจางหาย
ฉันไม่ใช่เจ้าหญิงจากไหน
ก็คงต้องเลือกสักทาง ทางที่รักสามเศร้าต้องจบ

นับจากวันนี้ ฉันต้องเข้มแข็ง
ระหว่างคนที่รักเรา หรือว่ารักครั้งก่อน
อย่าร้อง เขาบอกกับฉันว่าอย่าร้อง
มีเขาทั้งคนจะคอยอยู่ข้างฉัน

และแล้วและเราทั้งสองก็ได้คบ
และไปด้วยดี ทำไมเธอกลับมาเอาตอนนี้

คนหนึ่งเขาช่างดีกับฉัน จะทิ้งเขาลงยังไง
คนหนึ่งเคยทิ้งไป แต่รักไม่เคยจางหาย
ฉันไม่ใช่เจ้าหญิงจากไหน
ก็คงต้องเลือกสักทาง ทางที่รักสามเศร้าต้องจบ

คนหนึ่งเขาช่างดีกับฉัน จะทิ้งเขาลงยังไง
คนหนึ่งเคยทิ้งไป แต่รักไม่เคยจางหาย
ฉันไม่ใช่เจ้าหญิงจากไหน
ก็คงต้องเลือกสักทาง ทางที่รักสามเศร้าต้องจบ

คนหนึ่งเขาช่างดีกับฉัน จะทิ้งเขาลงยังไง
คนหนึ่งเคยทิ้งไป แต่รักไม่เคยจางหาย
ฉันไม่ใช่เจ้าหญิงจากไหน
ก็คงต้องเลือกสักทาง ทางที่รักสามเศร้าต้องจบ",prik_thai
หนี,/music/thailyric/3842,"อยากหนีไปให้ไกลจากวันนี้
ไปในที่ที่มีแต่สองเรา
ชีวิตฉันที่เหลือคงไม่เหงา

มีแค่ฉันและเธอ
อยู่ด้วยกันได้ไหม
จะไม่ขออะไรแค่เราได้รักกัน

อยากจะหนี หนี หนีตามเธอไป
หากแม้จะต้องลำบาก
แค่เราอยู่ด้วยกันก็ไหว
รับฉันไว้สักคน จะรับและทนทุกอย่าง
แค่นี้ที่ฉันต้องการ ให้เราอยู่ด้วยกันได้ไหม

มีแค่หมอนใบเดียวก็พอแล้ว
มีแค่ข้าวให้กินไม่วุ่นวาย
มีแสงไฟแค่เทียนก็พอใช้

มีแค่ฉันและเธอ
อยู่ด้วยกันได้ไหม
จะไม่ขออะไรแค่เราได้รักกัน

อยากจะหนี หนี หนีตามเธอไป
หากแม้จะต้องลำบาก
แค่เราอยู่ด้วยกันก็ไหว
รับฉันไว้สักคน จะรับและทนทุกอย่าง
แค่นี้ที่ฉันต้องการ ให้เราอยู่กันได้ไหม

อยากจะหนี หนี หนีตามเธอไป
หากแม้จะต้องลำบาก
แค่เราอยู่ด้วยกันก็ไหว
รับฉันไว้สักคน จะรับและทนทุกอย่าง
แค่นี้ที่ฉันต้องการ ให้เราอยู่ด้วยกันได้ไหม",prik_thai
ใช่สิ,/music/thailyric/3830,"บางเวลาที่ฉันนั้นเศร้า
บางเวลาที่อ้างว้าง
คนๆเดียวที่ฉันต้องการก็คือเธอ
ขอแค่ให้มาหาฉันหน่อย
เธอก็ปล่อยให้นอนเพ้อ
แค่ให้ฉันได้เจอนั้นมันลำบากมากหรือไง

ใช่สิ ฉันไม่มีความหมาย
ทำอะไรก็ผิดไม่ดีสักอย่าง
คอยแต่ทำให้วุ่นวาย โฮ้
ใช่สิ ฉันมันตัวปัญหา
ฉันไม่เคยมีความสำคัญ
ใช่สิแค่ของตายสำหรับเธอ

ไม่เป็นไรถ้าเธอรำคาญ
ไม่เป็นไรถ้าเบื่อฉัน
อยากจะทำอะไรก็เชิญ
ก็ตามใจแล้วกัน

ใช่สิ ฉันไม่มีความหมาย
ทำอะไรก็ผิดไม่ดีสักอย่าง
คอยแต่ทำให้วุ่นวาย โฮ้
ใช่สิ ฉันมันตัวปัญหา
ฉันไม่เคยมีความสำคัญ
ใช่สิแค่ของตายสำหรับเธอ

ใช่สิทำอะไรก็ผิดไม่ดีสักอย่าง
คอยแต่ทำให้วุ่นวาย
ใช่สิ ฉันมันตัวปัญหา
ฉันไม่เคยมีความสำคัญ ก็ฉันมันเก่า
ใช่สิแค่ของตายสำหรับเธอ",prik_thai
อย่าโทรมาหา,/music/thailyric/3845,"อย่าเลยไม่มีอารมณ์จะฟัง
ไม่อยากได้ยินพอแล้ว  พอแค่นี้จริงจริง
เมื่อเธอพูดมาน้ำตาจะไหล
ไม่อยากร้องไห้อีกแล้ว  ฉันแค่ขอเธอ

อย่าโทรมาหา  อย่าลำบากเลย
ให้เราห่างกัน ทบทวนเรื่องระหว่างเราสักคืน
อย่าโทรมาหา  อย่าโทรมานะคนดี
ยังไม่พร้อมจะรับฟัง  ใจฉันมันยังอ่อนแอ
อยากอยู่คนเดียว  ให้ฉันได้เศร้าสักพักคืนเดียวก็หาย
จะโทรไป  เมื่อฉันทำใจได้ลง

อยากอยู่เงียบเงียบคนเดียวได้ไหม
นั่งมองแสงดาวบนฟ้า  ไม่ต้องพบใครใคร
ถ้าเธอไม่มีอะไรกับฉัน
ถ้าเธอไม่มีธุระที่มันสำคัญ

อย่าโทรมาหา  อย่าลำบากเลย
ให้เราห่างกัน ทบทวนเรื่องระหว่างเราสักคืน
อย่าโทรมาหา  อย่าโทรมานะคนดี
ยังไม่พร้อมจะรับฟัง  ใจฉันมันยังอ่อนแอ
อยากอยู่คนเดียว  ให้ฉันได้เศร้าสักพักคืนเดียวก็หาย
จะโทรไป  เมื่อฉันทำใจได้ลง

อย่าโทรมาหา... อยากอยู่คนเดียว
ให้ฉันได้เศร้าสักพักคืนเดียวก็หาย
จะโทรไป  เมื่อฉันทำใจได้ลง",prik_thai
ที่รัก,/music/thailyric/3834,"ที่รักฉันเรียกได้แล้วใช่ไหม
เมื่อในวันนี้ที่เราได้คบกัน มีแฟนกับเขาซะที
ที่รักเรียกเธออย่างงี้ได้แล้วใช่ไหม
และฉันจะเรียกแค่เธอไม่เรียกใคร

จะมีที่รักคนเดียวทั้งตัว หัวใจไม่แบ่งให้ใคร
รอคอยวันนี้มานานรู้ไหม

จะเรียกที่รัก ที่รัก ที่รักเรียกทั้งวัน
ที่รัก ที่รัก ที่รัก ที่รักของฉันคือคนนี้
จะเรียกที่รัก ที่รัก ที่รักแค่คนเดียว
เธอคือที่รัก ที่รัก ที่รักนะคนดี

อีกนิด ช่วยใกล้เข้ามาอีกนิด
จับมือฉันไว้ฉันจะไม่ยอมปล่อย
ให้ใครมาแย่งเธอไป

ทั้งตัว หัวใจไม่แบ่งให้ใคร
รอคอยวันนี้มานานรู้ไหม

จะเรียกที่รัก ที่รัก ที่รักเรียกทั้งวัน
ที่รัก ที่รัก ที่รัก ที่รักของฉันคือคนนี้
จะเรียกที่รัก ที่รัก ที่รักแค่คนเดียว
เธอคือที่รัก ที่รัก ที่รักนะคนดี

จะเรียกที่รัก ที่รัก ที่รักเรียกทั้งวัน
ที่รัก ที่รัก ที่รัก ที่รักของฉันคือคนนี้
จะเรียกที่รัก ที่รัก ที่รักแค่คนเดียว
เธอคือที่รัก ที่รัก ที่รักนะคนดี

จะเรียกที่รัก ที่รัก ที่รักเรียกทั้งวัน
ที่รัก ที่รัก ที่รัก ที่รักของฉันคือคนนี้
จะเรียกที่รัก ที่รัก ที่รักแค่คนเดียว
เธอคือที่รัก ที่รัก ที่รักนะคนดี",prik_thai
ยิ่งรัก,/music/thailyric/3839,"เราคบกันมานานซักเท่าไหร่
จะปีได้แล้วนะจำได้ไหม
รักๆ เลิกๆ มาตลอด
ไม่พอใจอะไรก็ไม่มีใครบอก
หรือเป็นเพราะเราสนิทเกินไป

เราคบกันมานานซักเท่าไหร่
บางครั้งก็เผลอใจบ้างใช่ไหม
หลายครั้งที่ฉันนั้นคิดจะมีใหม่
หลายคราวที่ฉันนั้นคิดว่าเธอแอบมีใคร
สุดท้ายแล้วก็ทำให้เรา ได้รู้ว่าเราน่ะมีกันอยู่แค่นี้

จะกี่ปีที่เรานั้นต้องทะเลาะกัน
จะกี่ปียังผูกพันก็ยังรักเธอ
ขอโทษทุกๆ สิ่ง ทุกๆ อย่าง
จะกี่ปีเราก็มีกันแค่สองคน
เล็กๆ น้อยๆ ต้องทนไหว
ก็เรารักกัน จำได้ไหม

เราคบกันมานานซักเท่าไหร่
บางครั้งก็เผลอใจบ้างใช่ไหม
หลายครั้งที่ฉันนั้นคิดจะมีใหม่
หลายคราวที่ฉันนั้นคิดว่าเธอแอบมีใคร
สุดท้ายแล้วก็ทำให้เรา ได้รู้ว่าเราน่ะมีกันอยู่แค่นี้

จะกี่ปีที่เรานั้นต้องทะเลาะกัน
จะกี่ปียังผูกพันก็ยังรักเธอ
ขอโทษทุกๆ สิ่ง ทุกๆ อย่าง
จะกี่ปีเราก็มีกันแค่สองคน
เล็กๆ น้อยๆ ต้องทนไหว
ก็เรารักกัน จำได้ไหม

จะกี่ปีจะกี่วัน ขอโทษทุกๆ สิ่ง ทุกๆ อย่าง
จะกี่ปีเราก็มีกันแค่สองคน
เล็กๆ น้อยๆ ต้องทนไหว
ก็เรารักกัน จำได้ไหม

ขอโทษทุกๆ สิ่ง ทุกๆ อย่าง
จะกี่ปีเราก็มีกันแค่สองคน
เล็กๆ น้อยๆ ต้องทนไหว
ก็เรารักกัน จำได้ไหม

เราคบกันมานานซักเท่าไหร่
จะปีได้แล้วนะ จำได้ไหม",prik_thai
ใหม่ๆ ก็รัก,/music/thailyric/3844,"ใหม่ใหม่ก็รัก ใหม่ใหม่ก็ดี
เธออยู่ทุกที เมื่อฉันต้องการไม่เคยห่าง
ทั้งหวงและห่วง ทั้งทุกข์และสุข
ทุกครั้งจะอยู่ดูแล ไม่เคยจะมีข้อแม้
สำคัญกว่าใคร

แปลกแปลกเดี๋ยวนี้ ไม่ดีเหมือนเคย
เป็นฉันที่คอยรองรับอารมณ์ของเธอทุกที
หรือฉันมันเก่า แค่รักเก่าเก่า
แล้วฉันทำผิดตรงไหน

ใช่สิเธอได้หมดแล้ว
ทั้งตัวและใจ ถึงเป็นอย่างนี้

ใหม่ใหม่เธอรักฉันแค่ไหน ฉันจำได้หมดทุกอย่าง
แรกแรกอะไรก็หวาน สัญญาเป็นอย่างดี
ไม่เคยจะคิดเลยสักนิดว่าเธอจะเป็นอย่างนี้
หรือมีใครกันนะมาทำให้เธอเปลี่ยน

เธอเบื่อใช่ไหม ทำไมไม่มา
ทำไมไม่มา ไม่คิดถึงกันบ้างหรือไง
ถ้าฝนมันตก แล้วไฟมันดับ
แล้วฉันจะอยู่ยังไง

ใช่สิเธอได้หมดแล้ว
ทั้งตัวและใจ ถึงเป็นอย่างนี้

ใหม่ใหม่เธอรักฉันแค่ไหน ฉันจำได้หมดทุกอย่าง
แรกแรกอะไรก็หวาน สัญญาเป็นอย่างดี
ไม่เคยจะคิดเลยสักนิดว่าเธอจะเป็นอย่างนี้
หรือมีใครกันนะมาทำให้เธอเปลี่ยน

ใหม่ใหม่เธอรักฉันแค่ไหน ฉันจำได้หมดทุกอย่าง
แรกแรกอะไรก็หวาน สัญญาเป็นอย่างดี
ไม่เคยจะคิดเลยสักนิดว่าเธอจะเป็นอย่างนี้
หรือมีใครกันนะ

ใหม่ใหม่เธอรักฉันแค่ไหน ฉันจำได้หมดทุกอย่าง
เสียแรงที่ปล่อยที่เผลอใจไปขนาดนี้
ไม่เคยจะคิดเลยสักนิดว่าเธอจะเป็นอย่างนี้
หรือมีใครกันนะมาทำให้เธอเปลี่ยน",prik_thai
แฟนหาย,/music/thailyric/3837,"อยู่คนเดียว ทำอะไรไม่ถูก
ยามที่เธอไม่อยู่ ฉันแค่อยากจะรู้ว่าเธออยู่ไหน
คนที่รัก คนที่เขารักเรา
ฉันกลับไม่เอา ทิ้งให้เธอสับสนจนเขาเข้ามา

รู้สึกเมื่อสาย เมื่อเธอนั้นหายไป
มันผิดที่ฉันไม่เคยใส่ใจ

เห็นแฟนของฉันบ้างไหม
หายไปฉันหาไม่เจอ หัวใจยังรอเสมอ
ฉันเองที่เผลอและพลาดไป
ปล่อยให้เธอต้องเหงาจนมีเขาเข้ามาแทนที่กัน
ฉันขอโทษฉันขอโทษจริงๆ ที่แล้วมา

ถ้าฉันหิวเธอจะทำทุกทาง หาให้ฉันทุกอย่าง
กินด้วยกันข้างๆ เหมือนเคยได้ไหม
เจ็บตรงไหน เธอจะเจ็บมากกว่า
เธอจะมีน้ำตา เป็นดั่งยารักษาเหมือนเดิมได้ไหม

รู้สึกเมื่อสาย เมื่อเธอนั้นหายไป
มันผิดที่ฉันไม่เคยใส่ใจ

เห็นแฟนของฉันบ้างไหม
หายไปฉันหาไม่เจอ หัวใจยังรอเสมอ
ฉันเองที่เผลอและพลาดไป
ปล่อยให้เธอต้องเหงาจนมีเขาเข้ามาแทนที่กัน
ฉันขอโทษฉันขอโทษจริงๆ ที่แล้วมา

เห็นแฟนของฉันบ้างไหม
หายไปฉันหาไม่เจอ หัวใจยังรอเสมอ
ฉันเองที่เผลอและพลาดไป
ปล่อยให้เธอต้องเหงาจนมีเขาเข้ามาแทนที่กัน
ฉันขอโทษฉันขอโทษจริงๆ ที่แล้วมา

ฉันเองที่เผลอและพลาดไป
ปล่อยให้เธอต้องเหงาจนมีเขาเข้ามาแทนที่กัน
ฉันขอโทษฉันขอโทษจริงๆ ที่แล้วมา",prik_thai
ซึ้งจริงๆ (ขอบคุณ),/music/thailyric/3831,"รู้สึกไม่ดีที่ทำกับเธอไว้มากมาย
ไม่ว่าอะไรที่ทำลงไปฉันขอโทษ

ฉันรู้ว่าเธอเหนื่อย ฉันรู้ว่าเธอเบื่อ ที่ฉันนั้นเอาแต่ใจ
แต่เธอก็ยังอยู่ ยังไงก็ยังอยู่กับฉัน ไม่เคยจะทิ้งกันไป

รู้ไหมว่าฉันนั้นซึ้งจริงๆที่ผ่านมา
รู้ไหมว่าฉันซึ้งเวลาที่มีเธอ
อยากขอบคุณในทุกๆสิ่งที่ฉันเจอ
เธอได้ยินบ้างไหม (ว่ารักเธอ/ได้ยินบ้างไหม)

ฉันรู้ว่าเธอเหนื่อย ฉันรู้ว่าเธอเบื่อ ที่ฉันนั้นเอาแต่ใจ
แต่เธอก็ยังอยู่ ยังไงก็ยังอยู่กับฉัน ไม่เคยจะทิ้งกันไป

รู้ไหมว่าฉันนั้นซึ้งจริงๆที่ผ่านมา
รู้ไหมว่าฉันซึ้งเวลาที่มีเธอ
อยากขอบคุณในทุกๆสิ่งที่ฉันเจอ
เธอได้ยินบ้างไหม (ว่ารักเธอ/ได้ยินบ้างไหม)

รู้ไหมว่าฉันนั้นซึ้งจริงๆที่ผ่านมา
รู้ไหมว่าฉันซึ้งเวลาที่มีเธอ
อยากขอบคุณในทุกๆสิ่งที่ฉันเจอ
เธอได้ยินบ้างไหม (ว่ารักเธอ/ได้ยินบ้างไหม)",prik_thai
