song_name,href,lyric,artist
ธีซ ลิตเติ้ล ธิงส์ (These Little Things),/music/thailyric/3854,"Give me one kiss
May be one smile
Only one touch
And that's enough

I see the sunrise
It shines from your eyes
That's where thr truth lies
This must be love

So hold me tight
What are these little thing I feel tonight?
Tell me now
I close my eyes
And I can see the love you keep inside
These little things you bring to me it's love

Take me someplace
Where the blue sky
keeps yoe moonlight
To shine for us

I am now yours
'Cos you'er in my soul
I know that it's sure
For I'm in love

So hold me tight
What are these little thing I feel tonight?
Tell me now
I close my eyes
And I can see the love you keep inside
These little things you bring to me it's love

These little things you bring to me it's love
Hoooh... It's love
It's love
Hoooh... It's love
It's love
Hoooh... these little things you bring to me it's love",pru
ได้โปรด,/music/thailyric/3852,"ได้โปรด ได้โปรดๆ
ได้โปรด ได้โปรดๆ

ผมคิดว่าผมพอใจทุกอย่าง  ชีวิตที่พร้อมเพรียงไปทุกด้าน
ได้คุยได้คว้าอะไร ไม่ต้องการใครได้ฝันไปไกล
จนเมื่อได้เห็นเธออยู่ข้างหน้า เธอจูงมือเขาผ่านมา
แต่เธอกลับยิ้มและส่งสายตาให้ผม

ได้โปรดๆ อย่ายิ้มให้ผมไหวหวั่น ได้โปรดๆ
ก็ความงดงามขนาดนั้น ขอได้โปรด ช่วยหัน
หันไปจากใจผม

ไม่อยากจะคิดว่าเธอยิ้มให้
ไม่อยากจะให้ใจผมสั่นไหวแหละเพ้อไปมอบหัวใจให้เธอ

ได้โปรดๆ อย่ายิ้มให้ผมไหวหวั่น ได้โปรดๆ
ก็ความงดงามขนาดนั้น ขอได้โปรด ช่วยหัน
หันไปจากใจผม

ได้โปรดๆ อย่ายิ้มให้คนคิดมาก ได้โปรดๆ
เพราะว่าใจผมนั่น ลำบากที่จะห้ามไม่ให้รักเธอ

จนเมื่อได้เห็นเธออยู่ข้างหน้าเธอจูงมือเขาผ่านมา
แต่เธอกลับยิ้มและส่งสายตาให้ผม

ได้โปรดๆ อย่ายิ้มให้ผมไหวหวั่น ได้โปรดๆ
ก็ความงดงามขนาดนั้น ขอได้โปรด ช่วยหัน
หันไปจากใจผม

ได้โปรดๆ อย่ายิ้มให้คนคิดมาก ได้โปรดๆ
เพราะว่าใจผมนั่น ลำบากที่จะห้ามไม่ให้รักเธอ",pru
แค่,/music/thailyric/3851,"สับสน อ่อนล้า อ่อนแรง อ่อนไหว
ผิดหวัง อ่อนแอ พ่ายแพ้ เสียใจ

ก็เหมือนเดิมทุกที ไม่ว่าฉันจะทุ่มเทเท่าไร
ไม่เห็น จะเป็น เหมือนใจ

ตอกย้ำ กดดัน บีบคั้น หวั่นไหว
ก็อยากจะทำอะไรให้ดี ไม่เหมือนที่เธอหวั่นไหว

ก็เหมือนเดิมทุกที ไม่ว่าฉันจะทุ่มเทเท่าไร
ไม่เห็น จะเป็น เหมือนใจ

ไม่ว่าจะเป็นอย่างไร ฉันนั้นจะทำต่อไป
ขอแค่เธอยังเชื่อมั่นไม่หวั่นไหว ฉันนั้นจะทำต่อไป
ไม่ว่าพรุ่งนี้มันจะเป็นเช่นไร ขอแค่เธอยังอยู่ไม่ไปไหน ฉันนั้นจะทำต่อไป

รอยยิ้ม ปลอบโยน จับมือ กอดฉัน
เหล่านี้คือกำลังใจ ที่ให้กันไม่หวั่นไม่ไหว

ก็เหมือนเดิมทุกที ไม่ว่าฉันจะทุ่มเทเท่าไร
ไม่เห็น จะเป็น เหมือนใจ

ไม่ว่าจะเป็นอย่างไร ฉันนั้นจะทำต่อไป
ขอแค่เธอยังเชื่อมั่นไม่หวั่นไหว ฉันนั้นจะทำต่อไป
ไม่ว่าพรุ่งนี้มันจะเป็นเช่นไร ขอแค่เธอยังอยู่ไม่ไปไหน ฉันนั้นจะทำต่อไป

เพียงแค่เธอเข้าใจ เพียงแค่เธอมั่นใจฉัน

ไม่ว่าจะเป็นอย่างไร ฉันนั้นจะทำต่อไป
ขอแค่เธอยังเชื่อมั่นไม่หวั่นไหว ฉันนั้นจะทำต่อไป
ไม่ว่าพรุ่งนี้มันจะเป็นเช่นไร ขอแค่เธอยังอยู่ไม่ไปไหน ฉันนั้นจะทำต่อไป

ไม่ว่าจะเป็นอย่างไร ฉันนั้นจะทำต่อไป
ขอแค่เธอยังเชื่อมั่นไม่หวั่นไหว ฉันนั้นจะทำต่อไป
ไม่ว่าพรุ่งนี้มันจะเป็นเช่นไร ขอแค่เธอยังอยู่ไม่ไปไหน ฉันนั้นจะทำต่อไป",pru
ทุกสิ่ง,/music/thailyric/3853,"ทุกสิ่งที่ใจฉันเคยใฝ่หา กับวันเวลาที่ผ่านพ้นมา เธอทำให้ฉันได้มีเวลาที่ดี

ยิ่งอยากให้รู้ในใจฉันมี มีเธอเอาไว้อยู่ตลอดทุกที่
(ในตอน/เวลา)ที่ฉันไม่เหลือใคร ก็ยังมีเธอปลอบโยนหัวใจ

(ก็เพราะ)ทุกอย่างที่เธอเคยได้ทำ นั้นเปลี่ยนใจที่เคยบอบช้ำ
ความอ่อนโยนทุกๆถ้อยคำ คอยเติมและทำให้ความหวังของฉัน(กลับมา)

ฉันอยากให้เธอได้รู้สักครั้ง ให้ใจของเธอได้ฟัง เธอทำให้ฉันได้มีเวลาแสนดี

ยิ่งอยากให้รู้ในใจฉันมี มีเธอเอาไว้อยู่ตลอดทุกที่
(ในตอน/เวลา)ที่ฉันไม่เหลือใคร ก็ยังมีเธอปลอบโยนหัวใจ

(ก็เพราะ)ทุกอย่างที่เธอเคยได้ทำ นั้นเปลี่ยนใจที่เคยบอบช้ำ
ความอ่อนโยนทุกๆถ้อยคำ คอยเติมและทำให้ความหวังของฉัน(กลับมา)

แม้โลกจะเปลี่ยนไปสักเท่าไหร่ แม้ว่าความสดใสจะจางหาย
ถึงฉันจะต้องเจอแม้ความตาย และจากนี้ต่อจากนี้จากวันนี้

(ก็เพราะ)ทุกอย่างที่เธอเคยได้ทำ นั้นเปลี่ยนใจที่เคยบอบช้ำ
ความอ่อนโยนทุกๆถ้อยคำ คอยเติมและทำให้ความหวังของฉัน(กลับมา)

(ก็เพราะ)ทุกอย่างที่เธอเคยได้ทำ นั้นเปลี่ยนใจที่เคยบอบช้ำ
ความอ่อนโยนทุกๆถ้อยคำ คอยเติมและทำให้ความหวังของฉัน(กลับมา)

(ก็เพราะ)ทุกอย่างที่เธอเคยได้ทำ นั้นเปลี่ยนใจที่เคยบอบช้ำ
ความอ่อนโยนทุกๆถ้อยคำ คอยเติมและทำให้ความหวังของฉัน(กลับมา)

(ก็เพราะ)ทุกอย่างที่เธอเคยได้ทำ นั้นเปลี่ยนใจที่เคยบอบช้ำ
ความอ่อนโยนทุกๆถ้อยคำ คอยเติมและทำให้ความหวังของฉัน(กลับมา)",pru
เพลงสัญญา,/music/thailyric/3857,"กี่ครั้งที่เคยเศร้า กี่คราวที่ทุกข์ใจ ที่เคยคิดว่าไม่ไหว สุดท้ายก็ผ่านพ้นไป
กี่วันที่เคยสุข กี่คืนที่ท้อใจ จะกี่ครั้ง ความสุขนั้นก็ผ่านพ้นไป

หากวันนี้เราจะต้องห่าง ระยะทางจะเท่าไหร่ จะแค่ไหน จะแสนไกลก็เหมือนมันใกล้
แม้โลกจะหมุน หมุนไป แต่เราไม่เปลี่ยนไป ขอเพียง เพียงเข้าใจ (ยังเข้าใจ)

อีกนานสักเท่าไหร่ ไม่มีใครรู้ได้ สิ่งนี้ที่ให้ไว้ คือหัวใจจะไม่แปรเปลี่ยน
เพลงนี้ฉันให้เธอ หากเราไม่ได้เจอ ให้เพลงนี้แทนตัวฉัน แทนสัญญญาว่าไม่ลืม

หากวันนี้เราจะต้องห่าง ระยะทางจะเท่าไหร่ จะแค่ไหน จะแสนไกลก็เหมือนมันใกล้
แม้โลกจะหมุน หมุนไป แต่เราไม่เปลี่ยนไป ขอเพียง เพียงเข้าใจ (ยังเข้าใจ)

อีกนานสักเท่าไหร่ ไม่มีใครรู้ได้ สิ่งนี้ที่ให้ไว้ คือหัวใจจะไม่แปรเปลี่ยน
เพลงนี้ฉันให้เธอ หากเราไม่ได้เจอ ให้เพลงนี้แทนตัวฉัน แทนสัญญญาว่าไม่ลืม

สัญญาที่ให้กัน สองเราจะรักกันจนตาย",pru
ยังรอคอยเธอเสมอ,/music/thailyric/3859,"นั่งมองภาพเธอทุกวัน และทุกๆครั้งฉันก็สุขใจ
เรื่องราวนั้นผ่านไปนานเท่าไหร่ ที่สองเราเคยใกล้กัน
ภาพถ่ายยังคงงดงาม รูปที่เธอยืนเคียงคู่ฉัน
วันนั้นเป็นวัน ที่ฉันช่างมีความสุข

นั่งอ่านลายมือของเธอ จากจดหมายสุดท้ายฉบับนั้น
อ่านวนไปมาทุกๆวัน แต่ฉันกลับไม่เศร้าใจ
กระดาษเริ่มเก่าและบาง ตัวหนังสือเลือนลางแค่ไหน
อย่างน้อยก็ทำ ให้ฉันพบเธอในใจ

ยังรอคอยเธอเสมอ ไม่ว่าเธออยู่ที่ใด
ยังรอรอยยิ้ม ที่แสนอบอุ่นมาจากหัวใจ
แม้จะไม่มีหนทาง และจะนานๆแสนนานเท่าไหร่
แต่ใจของฉัน จะมั่นคงอยู่ไม่ขอเปลี่ยนไป

กี่ปีที่เราไม่พบกัน แต่ฉันก็ยังสุขใจ
เรื่องราวนั้นผ่านไปนานเท่าไหร่ ที่เราสองคนเคยใกล้กัน
ภาพเก่าก็ยังสวยงาม และจดหมายในซองเหล่านั้น
ยังช่วยคอยทำ ให้ฉันมีเธอในใจ

ยังรอคอยเธอเสมอ ไม่ว่าเธออยู่ที่ใด
ยังรอรอยยิ้ม ที่แสนอบอุ่นมาจากหัวใจ
แม้จะไม่มีหนทาง และจะนานๆแสนนานเท่าไหร่
แต่ใจของฉัน จะมั่นคงอยู่ไม่ขอเปลี่ยนไป

เพราะเธอยังอยู่ เธออยู่ในหัวใจ
เธอคือพลังให้ฉัน ได้เจอวันดีๆเรื่อยไป
ในวันที่ตัวฉันแพ้ ในใจท้อแท้แม้ซักเท่าไหร่
ก็ยังมีเธอ คิดถึงอยู่ฉันก็อุ่นใจ

ยังรอคอยเธอเสมอ ไม่ว่าเธออยู่ที่ใด
ยังรอรอยยิ้ม ที่แสนอบอุ่นมาจากหัวใจ
แม้จะไม่มีหนทาง และจะนานๆแสนนานเท่าไหร่
แต่ใจของฉัน จะมั่นคงอยู่ไม่ขอเปลี่ยนไป

และใจของฉันจะมั่นคงอยู่ ไม่ขอเปลี่ยนไป",pru
ขอสักวัน,/music/thailyric/3850,"อยากจะปล่อยใจไปบนท้องฟ้า
อยากให้หลับตาแล้วใจของฉัน
ก็ลืมทุกๆ สิ่ง และลืมทุกๆ อย่าง
ให้ใจล่องลอยสักวัน

ในเวลานี้จะห่วงแค่เพียงตัวเองเท่านั้น
จะไม่ไปสนใจ และจะไม่รักใคร
วันนี้เป็นวันที่ฉัน...

ขอรักตัวเองสักวันได้ไหม
พักใจที่มันเหนื่อยมาแสนนาน
ปล่อยมันให้พักผ่อน อะไรเอาไว้ก่อน
ทำอย่างที่ใจต้องการ...สักวัน

ก่อนจะกลับไปในวันพรุ่งนี้
ก่อนจะไม่มีเวลาให้ฝัน

จะลืมทุกๆ สิ่ง และลืมทุกๆ อย่าง
ให้ใจล่องลอยอีกสักวัน ฮา....

ในเวลานี้จะห่วงแค่เพียงตัวเองเท่านั้น
จะไม่ไปสนใจ จะไม่ไปรักใคร
วันนี้เป็นวันที่ฉัน....

ขอรักตัวเองแค่ในวันนี้
เรื่องราวที่มีจากวันเมื่อวาน
พรุ่งนี้คอยเริ่มใหม่ พรุ่งนี้ค่อยเข้าใจ
ปล่อยให้มันพ้นผ่าน ... สักวัน",pru
นางฟ้า,/music/thailyric/3855,"เขาว่าเธอนั้นเศร้า โลกของเธอสีเทา เขาว่าเธองี่เง่า แต่ฉันไม่เคยสน
เขาว่าเธอนั้นน่าเบื่อ พูดอะไรก็เหลือเชื่อ ไม่มีดีเลยสักเรื่อง แต่ว่าฉันไม่สน

เพราะฉันรู้ว่าเธอนั้นมีค่า ที่ไม่อาจจะมองด้วยตา

นางฟ้า โปรดยืนขึ้นมา นางฟ้า เธอมีค่า อย่างน้อยก็สำหรับฉัน

เขาว่าเธอนั้นแปลก และเธอเคยเหลวแหลก แม้ว่าเธอนั้นแสบ แต่ฉันไม่เคยสน
เธอจะมาจากไหน และจะเป็นอย่างไร จะดีเลวแค่ไหน สำหรับฉัน

นางฟ้า โปรดยืนขึ้นมา นางฟ้า เธอมีค่า อย่างน้อยก็สำหรับฉัน

นางฟ้า อย่าหลบสายตา นางฟ้า เธอมีค่า อย่างน้อยก็สำหรับฉัน

เพราะฉันรู้ว่าเธอนั้นมีค่า ที่ไม่อาจจะมองด้วยตา

ยิ่งได้พบก็ยิ่งได้รู้ว่า เธอคือนางฟ้า เธอคือนางฟ้า

นางฟ้า โปรดยืนขึ้นมา นางฟ้า เธอมีค่า อย่างน้อยก็สำหรับฉัน

นางฟ้า อย่าหลบสายตา นางฟ้า เธอมีค่า อย่างน้อยก็สำหรับฉัน

เธอนั้นคือนางฟ้า และยังคงเป็นนางฟ้า เธอคือนางฟ้า
นางฟ้า",pru
โรมิโอ แอนด์ จูเลียต,/music/thailyric/3861,"ฉันและเธอที่จริงเรารักกัน แม้ว่าใจเราเองต่างรู้ดี
ว่าความจริงนั้น มันไม่ได้เป็นอย่างฝัน

ความเป็นจริงที่ใจเราต้องการ คือความจริงที่ใครไม่ต้องการ
เขาไม่ยอมรับ และไม่อยากรู้

มันช่างทรมานเหลือเกิน กับรักที่ต้องปิดบัง
ซ่อนความจริง ซ่อนใจ ซ่อนทุกอย่าง อย่างไม่มีจุดหมาย

อยากจะหนีไปให้ไกล ที่ไหนก็ได้ให้ไกลแสนไกล
ไม่ต้องกังวล ไม่ต้องระวัง ไม่ต้องกลัวใครจะสนใจ

นาทีที่ฉันและเธอ จะหลอมดวงใจร่วมรักกันไป
ที่ๆเวลา ทุกๆนาที นั้นจะมีแต่เราคู่กันไม่ห่าง

วันเวลาที่เรานั้นคบกัน มันไม่ทำให้ใครยอมรับไว้
ต้องเป็นอย่างนี้ ต้องทนเท่านั้น รู้ไหมว่า

มันช่างทรมานเหลือเกิน กับรักที่ต้องปิดบัง
ซ่อนความจริง ซ่อนใจ ซ่อนทุกอย่าง อย่างไม่มีจุดหมาย

อยากจะหนีไปให้ไกล ที่ไหนก็ได้ให้ไกลแสนไกล
ไม่ต้องกังวล ไม่ต้องระวัง ไม่ต้องกลัวใครจะสนใจ

นาทีที่ฉันและเธอ จะหลอมดวงใจร่วมรักกันไป
ที่ๆเวลา ทุกๆนาที นั้นจะมีแต่เราคู่กันไม่ห่าง

(ซ้ำ ** , *** , **)
อยากจะหนีไปให้ไกล ที่ไหนก็ได้ให้ไกลแสนไกล
ไม่ต้องกังวล ไม่ต้องระวัง ไม่ต้องกลัวใครจะสนใจ

นาทีที่ฉันและเธอ จะหลอมดวงใจร่วมรักกันไป
ที่ๆเวลา ทุกๆนาที นั้นจะมีแต่เราคู่กันไม่ห่าง

อยากจะหนีไปให้ไกล ที่ไหนก็ได้ให้ไกลแสนไกล
ไม่ต้องกังวล ไม่ต้องระวัง ไม่ต้องกลัวใครจะสนใจ

นาทีที่ฉันและเธอ จะหลอมดวงใจร่วมรักกันไป
ที่ที่เวลา ทุกทุกนาที จะมีแต่เราคู่กันตลอดไป
ตลอดไป",pru
โปรด,/music/thailyric/3856,"มือที่เริ่มสั่นไหว ร่ายกายที่เหนื่อยจนล้า
วันและคืนที่ผ่านมา นานแค่ไหน
ฉันยังคงหวังจะได้พบ แม้จะนานเท่าไร

โปรดจำว่าฉันรัก จำความคิดถึง
จดจำความซึ้ง ของเราเมื่อก่อน
เป็นเหมือนกำลังใจ ไม่ให้สั่นคลอน
แต่อยากจะขอ ถ้าความคิดถึง ทำให้เธอร้องไห้
ได้หรือไม่ โปรดลืมฉันไปก่อน

ค่ำคืนที่แสนเหน็บหนาว (ลุกขึ้นยืนสู้ได้ไหม)
เพื่อนเก่าเข้ามารุมล้อม (ไม่ต้องแคร์คำพูด ของใคร)
ต้องทนฝึนยิ้มอย่างปลอมๆ ปิดบังไว้
(ขอให้รู้ไว้สักอย่าง ให้เธอได้ภูมิใจบ้าง
ว่าอย่างน้อยเธออยู่ในใจฉัน ตลอดไป)

และสักวันเธอก็จะเดินต่อ สักวันเธอจะต้องเจอทางใหม่
แม้วันเวลาจะนานสักเท่าไร ขอเพียงเรา จดจำไว้",pru
