song_name,href,lyric,artist
เพี้ยง!,/music/thailyric/8229,"ฮัลโหล โหล โหล ฮัลโหล โหล โหล
สายนั้นสายนี้ ก็ไม่ใช่เธอ
Oh! no no no. Oh! no no no
คิดถึงมากไป จนใจชักเบลอ

เมื่อวานนั้น ได้แลกเบอร์กันกับเธอ
แต่ดูซิ ดันทำมันหายไป
มาวันนี้ รุมเร้าแทบทนไม่ไหว
ตั้งตาคอย เมื่อไรจะใช่เธอ

เพี้ยง! เพี้ยง! เพี้ยง!
เธอโทรมาทีเถอะน่า
เพี้ยง! เพี้ยง!เพี้ยง! เพี้ยง!
รอแต่เธอแต่เธอน่ะ
เฝ้ามองหน้าจอพอมือถือดัง ใจก็ร้อง
เพี้ยง!เพี้ยง! เพี้ยง! อยากให้เป็นเธอ

เดี๋ยวเขาชอบ เขาก็โทรมาเองน่า
ใจเย็นเย็นน่า ยิ้มกว้างกว้างน่า
ถ้าเขาแค่เฉยเฉย จะได้รู้ไปเลยไง
โอ๊ย ไม่น่าพลาดเลย

ฮัลโหล โหล โหล ฮัลโหล โหล โหล
ไม่ใช่เสียงเธอ มันก็เศร้าใจ
อ่ะ โถ โถ โถ อ่ะ โถ โถ โถ
ถ้าเธอไม่โทรมา จะโทษใคร

เมื่อวานนั้น ได้แลกเบอร์กันกับเธอ
แต่ดูซิ ดันทำมันหายไป
โอ๊ย ซุมซ่ามอีกแล้วเนี่ย
มาวันนี้ รุมเร้าแทบทนไม่ไหว
ตั้งตาคอย เมื่อไรจะใช่เธอ

เพี้ยง! เพี้ยง! เพี้ยง!
เธอโทรมาทีเถอะน่า
เพี้ยง! เพี้ยง!เพี้ยง! เพี้ยง!
รอแต่เธอแต่เธอน่ะ
เฝ้ามองหน้าจอพอมือถือดัง ใจก็ร้อง
เพี้ยง!เพี้ยง! เพี้ยง! อยากให้เป็นเธอ

เดี๋ยวเขาชอบ เขาก็โทรมาเองน่า
ใจเย็นเย็นน่า ยิ้มกว้างกว้างน่า

เพี้ยง! เพี้ยง! เพี้ยง!
เธอโทรมาทีเถอะน่า
เพี้ยง! เพี้ยง!เพี้ยง! เพี้ยง!
รอแต่เธอแต่เธอน่ะ
เฝ้ามองหน้าจอพอมือถือดัง ใจก็ร้อง
เพี้ยง!เพี้ยง! เพี้ยง! เพี้ยง!

เพี้ยง! เพี้ยง! เพี้ยง!
เธอโทรมาทีเถอะน่า
เพี้ยง! เพี้ยง!เพี้ยง! เพี้ยง!
รอแต่เธอแต่เธอน่ะ
เฝ้ามองหน้าจอพอมือถือดัง ใจก็ร้อง
เพี้ยง!เพี้ยง! เพี้ยง! อยากให้เป็นเธอ เพี้ยง!",rit_rueangrit
ฮาว ทู (How to),/music/thailyric/4998,"ให้ดอกไม้ หาเรื่องไปเจอไม่เคยเว้นวัน
คำพูดทุกคำ เลือกสรรให้เธอรู้สึกดี
โทรถามว่าเหนื่อยไหม เธอชอบอะไรหามาให้ทันที
ทำเรื่องที่เขา ว่าผู้หญิงจะมีใจ

หนังสือทุกเล่มที่ดู อ่านแล้วทำตามมันไป
ก็ยังอย่างเก่า ปรึกษาคนที่ว่ารู้
กี่คนก็ดูไม่มีความหมาย
ไม่เคยได้ใจของเธอ

จะต้องทำยังไงให้เธอมารัก
ถามเธอจริงๆ ช่วยตอบได้ไหม
ยิ้มให้เธอไป จนเหนื่อยใจแล้ว
ก็ยังโดนเมินอย่างนี้

หาทางออกไม่เจอ เห็นใจเถอะนะ
รบกวนเธอมา แนะนำวิธี
จะยากเท่าไร ฉันยินดีทำให้เธอ

Message ไปว่าคิดถึงเธอไม่รู้เท่าไร
ถ้าใจไม่แคร์ จะมากยังไงก็อย่างเคย
นี่ฉันพลาดตรงไหน
ทำไมที่ทำไม่ช่วยอะไรเลย
หรือฉันมีค่าไม่มากพอ ให้ซึ้งใจ

หนังสือทุกเล่มที่ดู อ่านแล้วทำตามมันไป
ก็ยังอย่างเก่า ปรึกษาคนที่ว่ารู้
กี่คนก็ดูไม่มีความหมาย
ได้แต่คาใจเหมือนเคย

จะต้องทำยังไงให้เธอมารัก ถามเธอจริงๆ
ช่วยตอบได้ไหม ยิ้มให้เธอไป
จนเหนื่อยใจแล้ว ก็ยังโดนเมินอย่างนี้

หาทางออกไม่เจอเห็นใจเถอะนะ
รบกวนเธอมาแนะนำวิธี
จะยากเท่าไรฉันยินดีทำให้เธอ

จะต้องทำยังไงให้เธอมารัก ถามเธอจริงๆ
ช่วยตอบได้ไหม ยิ้มให้เธอไป
จนเหนื่อยใจแล้ว ก็ยังโดนเมินอย่างนี้

หาทางออกไม่เจอเห็นใจเถอะนะ
รบกวนเธอมาแนะนำวิธี
จะยากเท่าไรฉันยินดีทำให้เธอ

ให้ยากเท่าไร ก็เต็มใจทำเพื่อเธอ",rit_rueangrit
คิดถึง ซึ้งป่ะ,/music/thailyric/9321,"คลื่นความรักมันรบกวน ก็เลยต้องมาหาด่วน
ขาดเธอมันก็เหมือน ขาดจะอ่ะอะอะไอ
ไม่ได้ไปทำลั้นลา มาให้ใจเธอละลาย
มีแต่เธอไม่คิดเจ้าชู้

โอ้เธอ ช่วยหันมองหน่อย
เลิกงอน เลิกนอยน้อยจะอ่ะไอได้มั๊ย
อย่างเธอไม่รักได้งาย
ไม่รู้อะไรซะแล้วนะเธอ

สุดที่รัก รักเธอคนเดียวอ่ะจัดไป
ตะโกนดังๆ ว่ายังคิดถึง
ฟังนะฟังให้ซึ้ง มองตาฉันดีๆ

บอกเลยสุดที่รัก
พูดความในใจที่เธอยังมี
ตะโกนดังๆ ว่าเธอคิดถึง ให้ฉันฟังจนซึ้ง
และอยากจะขอสามคำฝากไว้ I miss you

ไม่ได้กง ไม่ได้เกรียน
ไม่ได้เนียน ไม่ได้ชิล
แต่ว่าใจมันบิ๊ว ว่าอยากเจอ
ตอบกลับมาสักนิดนึง ว่าคิดถึงฉันเหมือนกัน
ไม่ใช่มีแต่ฉันที่เพ้อ

โอ้เธอ ช่วยหันมองหน่อย
เลิกงอน เลิกนอยน้อยจะอ่ะไอได้มั๊ย
อย่างเธอไม่รักได้งาย
ไม่รู้อะไรซะแล้วนะเธอ

สุดที่รัก รักเธอคนเดียวอ่ะจัดไป
ตะโกนดังๆ ว่ายังคิดถึง
ฟังนะฟังให้ซึ้ง มองตาฉันดีๆ

บอกเลยสุดที่รัก
พูดความในใจที่เธอยังมี
ตะโกนดังๆ ว่าเธอคิดถึง ให้ฉันฟังจนซึ้ง
และอยากจะขอสามคำฝากไว้ I miss you

โอ้เธอ ช่วยหันมองหน่อย
เลิกงอน เลิกนอยน้อยจะอ่ะไอได้มั๊ย
เพียงแค่อยากให้จำ ฉันขอสามคำฟังไว้นะเธอ

สุดที่รัก รักเธอคนเดียวไม่เปลี่ยนไป
ตะโกนดังๆ ว่ายังคิดถึง
ฟังนะฟังให้ซึ้ง มองตาฉันดีๆ

บอกเลยสุดที่รัก พูดความในใจที่เธอยังมี
ตะโกนดังๆ ว่าเธอคิดถึง ให้ฉันฟังจนซึ้ง
และอยากจะขอสามคำฝากไว้ I miss you",rit_rueangrit
ชอบก็จีบ,/music/thailyric/4996,"มองเธอได้แต่มอง ไม่รู้จ้องทำไม
มันไม่เข้าใจเลยสักที
หลายครั้งที่นัยน์ตา ไปกระทบคนดี
ผู้ชายขี้อายเฝ้าสงสัย

อยากรู้ใจจริงเออ ว่าเธอคิดยังไง
หากรัก ทักทายก่อนได้ไหม
อย่าทำฉันเขินแบบนี้

ชอบก็จีบเลย ชอบก็จีบเลยซิ ชูวับๆ
ยอมให้จีบเลย ยอมให้จีบเลยนะ ยอมๆๆ
เข้ามาจีบเลย เข้ามาจีบเลยซิ ชูวับๆ
ฉันไม่เก่งเรื่องนี้ไม่เก่งเรื่องนี้ วอนเธอทำก่อน

ถ้าฉันกล้ากว่านี้ ฉันจะเข้าไปเอง
ไม่มัวแต่เกร็งแต่รั้งรอ ช่วยเริ่มก่อนได้ไหม
ถ้าเธอมั่นใจพอ ว่าอยากจะมอบใจให้ฉัน

อยากรู้ใจจริงเออ ว่าเธอคิดยังไง
หากรัก ทักทายก่อนได้ไหม
อย่าทำฉันเขินแบบนี้

ชอบก็จีบเลย ชอบก็จีบเลยซิ ชูวับๆ
ยอมให้จีบเลย ยอมให้จีบเลยนะ ยอมๆๆ
เข้ามาจีบเลย เข้ามาจีบเลยซิ ชูวับๆ
ฉันไม่เก่งเรื่องนี้ไม่เก่งเรื่องนี้ วอนเธอทำก่อน

อยากรู้ใจจริงเออ ว่าเธอคิดยังไง
หากรัก ทักทายก่อนได้ไหม
อย่าทำฉันเขินแบบนี้

ชอบก็จีบเลย ชอบก็จีบเลยซิ ชูวับๆ
ยอมให้จีบเลย ยอมให้จีบเลยนะ ยอมๆๆ
เข้ามาจีบเลย เข้ามาจีบเลยซิ ชูวับๆ
ฉันไม่เก่งเรื่องนี้ไม่เก่งเรื่องนี้ วอนเธอทำก่อน

ชอบก็จีบเลย ชอบก็จีบเลยซิ ชูวับๆ
ยอมให้จีบเลย ยอมให้จีบเลยนะ ยอมๆๆ
เข้ามาจีบเลย เข้ามาจีบเลยซิ ชูวับๆ
ฉันไม่เก่งเรื่องนี้ไม่เก่งเรื่องนี้ วอนเธอทำก่อน

นะช่วยหน่อยเถอะนะ ช่วยหน่อยเถอะนะ
ขอใจเธอก่อน",rit_rueangrit
ใช่สิ,/music/thailyric/4997,"ฉันเฝ้ามองเธอ เธอไม่เห็นสบตา
แต่เขาเพิ่งยิ้มให้เธอนี่นา เธอยิ้มตอบเขาได้ไง
ดอกไม้เหมือนกัน ไม่รู้เพราะอะไร
เธอรับของเขา ด้วยความเต็มใจ
ทิ้งของฉันอย่างเฉยเมย

แอบอิจฉาเงียบๆ ในใจ พูดอะไรไม่ได้อย่างเคย
เธอทำกับเขาดีจัง แต่กับฉันเย็นชามากเลย

ก็ใช่สิ ฉันมันไม่ดีเท่าเขา
ไม่ค่อยน่าแคร์เท่าไร ได้แต่น้อยใจเบาๆ อย่างนี้
ก็ใช่สิ ต้องโทษตัวเองใช่ไหม ข่มความเจ็บไว้
ใช่สิ ใช่สิ ฉันมันไม่มีค่าพอ

ก็ถามตัวเอง จะต้องทำอย่างไร
ให้เธอนั้นซึ้ง สักครึ่งของใคร
แต่ดูความหวังไม่มี
ไม่ถามเธอไป ก็รู้คำตอบดี
นัยน์ตาเธอฟ้อง ว่าใจเต้นถี่
เพียงแค่เขาเดินเข้ามา

แอบอิจฉาเงียบๆ ในใจ พูดอะไรไม่ได้อย่างเคย
เธอทำกับเขาดีจัง แต่กับฉันเย็นชามากเลย

ก็ใช่สิ ฉันมันไม่ดีเท่าเขา
ไม่ค่อยน่าแคร์เท่าไร ได้แต่น้อยใจเบาๆ อย่างนี้
ก็ใช่สิ ต้องโทษตัวเองใช่ไหม ข่มความเจ็บไว้
ใช่สิ ใช่สิ ฉันมันไม่มีค่าพอ

ก็ใช่สิ ฉันมันไม่ดีเท่าเขา
ไม่ค่อยน่าแคร์เท่าไร ได้แต่น้อยใจเบาๆ อย่างนี้
ก็ใช่สิ ต้องโทษตัวเองใช่ไหม ข่มความเจ็บไว้
ใช่สิ ใช่สิ ฉันมันไม่มีค่าพอ",rit_rueangrit
ปาฏิหาริย์ที่มีหัวใจ,/music/thailyric/19842,"เรื่องแบบนี้มันเกิดกับผมได้ไง
เรื่องความรักมันห่างจากผมตั้งไกล
ไม่เคยคิดว่ามันจะมีจริงไหม
ไม่เชื่อเรื่องราวนี้เลย

จนวันนั้นวันที่ได้มาพบคุณ
เกิด Spark และเกิดอาการไม่เคย
แค่คุณยิ้มแค่ยืนสบตาเฉยๆ
โอ๊ยเขินหัวใจอ่อนแอ

แล้วผมก็เสร็จคุณทั้งใจ
เหมือนผมได้อยู่ท่ามกลางแสงไฟ
กลัวยังกลัวๆ กลัวว่าคุณไม่สนใจ
คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย

แล้วผมต้องบอกคุณว่าไง
สมมติว่าเกิดคุณรักใคร
กลัวยังกลัวๆ กลัวว่าคุณไม่สนใจ
คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย
(คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย)
(คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย)

ก็ดันไปรักคุณเข้าแล้ว
โทษทีครับไม่ตั้งใจ
ก็ดูสิครับหลงอีกแล้ว
หยุดมองคุณได้ที่ไหน

คุณทำให้โลกเปลี่ยน
ปาฏิหาริย์ที่มีหัวใจ
ก็เป็นคุณใช่หรือเปล่า
เสกความเหงาที่มีให้หายไป

เพิ่งจะรู้ว่าโลกไม่ใช่สีเทา
เพิ่งจะพบว่าโลกใบนี้แสนเบา
เมื่อความรักที่เกิดกับคุณตั้งเค้า
เรื่องเล่าก็เริ่มเฉลย

จนวันนั้นวันที่ได้มาพบคุณ
เกิด Spark และเกิดอาการไม่เคย
แค่คุณยิ้มแค่ยืนสบตาเฉยๆ
โอ๊ยเขินหัวใจอ่อนแอ

แล้วผมก็เสร็จคุณทั้งใจ
เหมือนผมได้อยู่ท่ามกลางแสงไฟ
กลัวยังกลัวๆ กลัวว่าคุณไม่สนใจ
คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย

แล้วผมต้องบอกคุณว่าไง
สมมติว่าเกิดคุณรักใคร
กลัวยังกลัวๆ กลัวว่าคุณไม่สนใจ
คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย
(คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย)
(คิดก็ไม่ถึงได้แค่หึงจนวุ่นวาย)

ก็ดันไปรักคุณเข้าแล้ว
โทษทีครับไม่ตั้งใจ
ก็ดูสิครับหลงอีกแล้ว
หยุดมองคุณได้ที่ไหน

คุณทำให้โลกเปลี่ยน
ปาฏิหาริย์ที่มีหัวใจ
ก็เป็นคุณใช่หรือเปล่า
เสกความเหงาที่มีให้หายไป

ก็ดันไปรักคุณเข้าแล้ว
โทษทีครับไม่ตั้งใจ
ก็ดูสิครับหลงอีกแล้ว
หยุดมองคุณได้ที่ไหน

คุณทำให้โลกเปลี่ยน
ปาฏิหาริย์ที่มีหัวใจ
ก็เป็นคุณใช่หรือเปล่า
เสกความเหงาที่มีให้หายไป",rit_rueangrit
พร้อมอยู่แล้ว (Are You Ready?),/music/thailyric/17329,"ก็ไม่รู้ว่าเพราะอะไร
เกิดคำถามข้างในหัวใจ
คำว่ารักมันคืออะไร
ทำไมใครๆ ถึงได้มีกัน

ยังไม่เคยเข้าใจความรัก
ได้ดีนักสักครั้งสักหน
ยังไม่เคยได้มีตัวตน
กับใครสักคนไม่เคยไม่มี

ไม่รู้เมื่อไหร่ ที่หัวใจ
จะได้ใช้รักใครซักที
แต่ว่าฉันคนนี้ จะเฝ้ารอต่อไป
ไม่ว่ายังไง

เพราะเชื่อว่าความรักที่ฉันตามหา
จะเร็วจะช้าจะมายากเย็นเท่าไร
ฉันก็พร้อมยอมเจ็บช้ำ
จะทำให้มีความหมาย

เพราะเชื่อว่าตอนนี้ในโลกใบนี้
ต้องมีสักคนที่เข้ามาเติมเต็มหัวใจ
แม้จากนี้ในสุดท้าย
จะพังทลายก็ยอม
ฉันพร้อมอยู่แล้ว

...ดนตรี...

เพราะเชื่อว่าความรักที่ฉันตามหา
จะเร็วจะช้าจะมายากเย็นเท่าไร
ฉันก็พร้อมยอมเจ็บช้ำ
จะทำให้มีความหมาย

เพราะเชื่อว่าตอนนี้ในโลกใบนี้
ต้องมีสักคนที่เข้ามาเติมเต็มหัวใจ
แม้จากนี้ในสุดท้าย
จะพังทลายก็ยอม

เพราะเชื่อว่าความรักที่ฉันตามหา
จะเร็วจะช้าจะมายากเย็นเท่าไร
ฉันก็พร้อมยอมเจ็บช้ำ
จะทำให้มีความหมาย

เพราะเชื่อว่าตอนนี้ในโลกใบนี้
ต้องมีสักคนที่เข้ามาเติมเต็มหัวใจ
แม้จากนี้ในสุดท้าย
จะพังทลายก็ยอม
ฉันพร้อมอยู่แล้ว",rit_rueangrit
มากกว่าคำสัญญา (คือคำว่ารัก),/music/thailyric/12790,"ไม่รู้ว่านานเท่าไร
ที่เราไม่ได้เจอกัน
ฉันเฝ้ารอคอยนับคืนและวัน
คิดถึงก็ยังน้อยไป
และฉันนั้นยังไม่ลืม
สัญญาที่บอกเธอไว้
ไม่ว่ายากเย็นนักหนายังไง
ฉันก็จะกลับมา

แต่หมื่นคำสัญญา ก็คงไม่สำคัญ
ถ้าหากเธอนั้นรู้ความในใจที่ฉันมี

มากกว่าคำสัญญา
คือคำว่าฉันรักเธอ
สิ่งนี้ยังเก็บ เอาไว้ในใจเสมอ
ไม่ว่าจะนานเท่าไร
ยิ่งกว่าคำสัญญา
ยิ่งกว่าคิดถึงทุกลม หายใจ
ฉันรักเธอ ยังรักเธอ
กลับมาเพื่อพูดคำนี้กับเธอ ตลอดไป

แต่หมื่นคำสัญญา ก็คงไม่สำคัญ
ถ้าหากเธอนั้นรู้ความในใจที่ฉันมี

มากกว่าคำสัญญา
คือคำว่าฉันรักเธอ
สิ่งนี้ยังเก็บ เอาไว้ในใจเสมอ
ไม่ว่าจะนานเท่าไร
ยิ่งกว่าคำสัญญา
ยิ่งกว่าคิดถึงทุกลม หายใจ
ฉันรักเธอ ยังรักเธอ
กลับมาเพื่อพูดคำนี้กับเธอ

มากกว่าคำสัญญา
คือคำว่าฉันรักเธอ
สิ่งนี้ยังเก็บ เอาไว้ในใจเสมอ
ไม่ว่าจะนานเท่าไร
ยิ่งกว่าคำสัญญา
ยิ่งกว่าคิดถึงทุกลม หายใจ
ฉันรักเธอ ยังรักเธอ
กลับมาเพื่อพูดคำนี้กับเธอ ตลอดไป",rit_rueangrit
รักหนึ่งคำ จดจำตลอดไป,/music/thailyric/8737,"นาทีสุดท้ายของการพบกันใกล้เข้ามา
ไม่ช้าเราคงต้องแยกกันไกล
เหลือช่วงดีๆ ให้ซึมซับอีกไม่เท่าไร
ความสุขผ่านไปรวดเร็วเหลือเกิน

เพิ่งบอกรักกันวันนั้นจากกันแล้วหรือวันนี้
อยากยืดเวลาออกไปแต่ก็คงไม่มีทาง
ก่อนจะไม่ได้พูดแล้วแลกคำนี้กันอีกครั้ง
โบกมือลาแล้วกระซิบคำว่ารักกันค่อยๆ

เก็บรอยยิ้มฉันไว้ในใจของเธอ โอบกอดทุกนาทีของเรา
ปล่อยให้รักทำงานเบาๆ ในใจฉันและเธอ
ร่ำลาด้วยยิ้มนี้ที่มี เพื่อเริ่มคิดถึงกันเสมอ
เพื่อรอกลับมาพบเจอ พิสูจน์ว่ารักหนึ่งคำ
พอให้จดจำตลอดไป

ใครว่าห่างไกลนั้นเลวร้าย
มันแค่ท้าทายว่าเรามั่นคงแค่ไหนเมื่อห่าง
ถ้าฉันไม่แพ้และเธอไม่หวั่นระยะทาง
ระหว่างเราคงไม่ชืดจางไป

เพิ่งบอกรักกันวันนั้นจากกันแล้วหรือวันนี้
อยากยืดเวลาออกไปแต่ก็คงไม่มีทาง
ก่อนจะไม่ได้พูดแล้วแลกคำนี้กันอีกครั้ง
โบกมือลาแล้วกระซิบ คำว่ารักกันค่อยๆ

เก็บรอยยิ้มฉันไว้ในใจของเธอ โอบกอดทุกนาทีของเรา
ปล่อยให้รักทำงานเบาๆ ในใจฉันและเธอ
ร่ำลาด้วยยิ้มนี้ที่มี เพื่อเริ่มคิดถึงกันเสมอ
เพื่อรอกลับมาพบเจอ พิสูจน์ว่ารักหนึ่งคำ
พอให้จดจำตลอดไป
ฉันจะขอรักเธอแม้นานเท่าไหร่
เพราะว่ารักที่เคยให้ไปหนึ่งคำนี้ช่างมีความหมาย
จดจำไว้ข้างในใจ ตลอดไป

เก็บรอยยิ้มฉันไว้ในใจของเธอ โอบกอดทุกนาทีของเรา
ปล่อยให้รักทำงานเบาๆ ในใจฉันและเธอ
ร่ำลาด้วยยิ้มนี้ที่มี เพื่อเริ่มคิดถึงกันเสมอ
เพื่อรอกลับมาพบเจอ พิสูจน์ว่ารักหนึ่งคำ
พอให้จดจำตลอดไป",rit_rueangrit
ฮักกั๋น,/music/thailyric/16720,"น้องจ้างงามแต๊ๆ ขอดูแลน้องได้หรือเปล่า
เอาใจปี้ไปเลย เก็บไว้เลย (เก็บไว้เลย)
น้องจะไปตี้ใด๋ ขอปี้ไปโตยได้หรือเปล่า
มีปี้แล้วไม่เหงา เอาไปเลย (เอาไปเลย)

สุมาเต๊อะ คนดี ก็ปี้คนนี้ ปี้คนนี้
น่ะฮักแต่น้อง ใจมันร่ำ มันเรียก มันร้อง ฮู้หรือยัง
สุมาเต๊อะ คนดี ก็ปี้คนนี้ ปี้คนนี้
ฮักแต่น้อง ฮักแต่น้อง ฮู้หรือเปล่า ฮู้หรือยัง

ต่อฮื่อแก่นเต้าใด๋ปี้ก็บ่สน (ยะจะใด๋ๆ)
จะผ่อสักกี่หนก็ยังสดใส (ปะล้ำปะเหลือๆ)
ปี้คนนี้บ่ได้จุ๊นะ ปี้คนนี้บ่ได้จุ๊นะ
อยากจะอั้นจะอี้กั๊บปี้บ้างไหม (จ๊าด นัก นัก นัก)

น้องจ้างงามแต๊ๆ ขอดูแลน้องได้หรือเปล่า
เอาใจปี้ไปเลย เก็บไว้เลย (เก็บไว้เลย)
น้องจะไปตี้ใด๋ ขอปี้ไปโตยได้หรือเปล่า
มีปี้แล้วไม่เหงา เอาไปเลย (เอาไปเลย)

อันโน้นอันนี้ ช่วยเป็นสักขี ชักกะดุ๊ก ชักกะดิ๊ก
บ่ได้อยากผิดผี ให้ไวพจน์ เพชรตะพึด มาช่วยเป็นพยาน
เจ้าป่าเจ้าเขา ช่วยเป็นสักขี ปี้จะฮักแต่น้องคนนี้
คนเดียว จนกว่าปี้จะสิ้นลมปราณ

ต่อฮื่อแก่นเต้าใด๋ปี้ก็บ่สน (ยะจะใด๋ๆ)
จะผ่อสักกี่หนก็ยังสดใส (ปะล้ำปะเหลือๆ)
ปี้คนนี้บ่ได้จุ๊นะ ปี้คนนี้บ่ได้จุ๊นะ
อยากจะอั้นจะอี้กั๊บปี้บ้างไหม (จ๊าด นัก นัก นัก)

น้องจ้างงามแต๊ๆ ขอดูแลน้องได้หรือเปล่า
เอาใจปี้ไปเลย เก็บไว้เลย (เก็บไว้เลย)
น้องจะไปตี้ใด๋ ขอปี้ไปโตยได้หรือเปล่า
มีปี้แล้วไม่เหงา เอาไปเลย (เอาไปเลย)

ฮักกัน ฮักกัน ฮักกัน ฮักกันดีไหม (ขี้จุ๊หรือเปล่า)
ฮักกัน ฮักกัน ฮักกัน ฮักกันได้ไหม (ขี้จุ๊หรือเปล่า)
ฮักกัน ฮักกัน ฮักกัน ฮักกันดีไหม (ฮักแต๊ๆ ก้า)
ปี้ฮักน้องแต๊ๆ บ่ได้จุ๊ จ๊ะไปกึ๊ดนัก จะใด๋

น้องจ้างงามแต๊ๆ ขอดูแลน้องได้หรือเปล่า
เอาใจปี้ไปเลย เก็บไว้เลย (เก็บไว้เลย)
น้องจะไปตี้ใด๋ ขอปี้ไปโตยได้หรือเปล่า
มีปี้แล้วไม่เหงา เอาไปเลย (เอาไปเลย)

ฮักกัน ฮักกัน ฮักกัน ฮักกันดีไหม (ขี้จุ๊หรือเปล่า)
ฮักกัน ฮักกัน ฮักกัน ฮักกันได้ไหม (ขี้จุ๊หรือเปล่า)
ฮักกัน ฮักกัน ฮักกัน ฮักกันดีไหม (ฮักแต๊ๆ ก้า)
ปี้ฮักน้องแต๊ๆ บ่ได้จุ๊ จ๊ะไปกึ๊ดนัก จะใด๋",rit_rueangrit
