song_name,href,lyric,artist
กลัวเธอเหงา,/music/thailyric/18727,"เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่ยังคุยกันได้ใช่ไหม
เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่มันยังเลิกห่วงเธอไม่ได้เลย

พยายามเข้าใจว่าเราไม่เหมือนเดิมต่อไป
พยายามทำใจตั้งแต่วันนั้น
พยายามเท่าไรในใจก็ยังมีแต่ภาพเธอ
ยังคิดถึงเธอ ยังห่วงเธอเหมือนเดิม

แต่ในตอนนี้ฉันไม่แน่ใจ
ฉันยังมีสิทธิ์ไหม ที่จะคิดถึงเธอ

เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่ยังคุยกันได้ใช่ไหม
เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่มันยังเลิกห่วงเธอไม่ได้เลย

ในตอนนี้เธอเป็นไง อยากรู้ความเป็นไป
อยากจะถามเรื่องเธอถ้าหากว่าเธอเต็มใจ
นี่ฉันเองไง ไม่ต้องเกรงใจ
อยู่ที่ไหนถ้าเธอต้องการฉันก็พร้อมจะไป
คิดถึงตอนมีเรา
อยากจะชวนเธอคุยเรื่องวันเก่าเก่า
แต่เธอถ้าเธอไม่เหงา
ถ้าเธอมีเขา อยู่กันจนเช้า ก็ไม่เป็นไร

ตอนนี้ฉันไม่แน่ใจ
ฉันยังมีสิทธิ์ไหม ที่จะคิดถึงเธอ

เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่ยังคุยกันได้ใช่ไหม
เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่มันยังเลิกห่วงเธอไม่ได้เลย

เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม รู้เปล่า
เลิกกันไปแต่ยังคุยกันได้ใช่ไหม
เพราะฉันนั้นกลัวเธอเหงา รู้เปล่า
เป็นห่วงเหมือนเดิม (รู้เปล่า)
เลิกกันไปแต่มันยังเลิกห่วงเธอไม่ได้เลย",rooftop
คนเราจะแอบรักใครสักคนได้นานแค่ไหน,/music/thailyric/17664,"มีใครกำลังเป็นแบบเดียวกับฉันไหม
มีใครในใจที่แอบรักจนวันนี้
มีเพียงคนเดียวและเป็นเขาอยู่ทุกที
แต่ก็ยังไม่เคยจะกล้าพูดออกไป

ก็ไม่รู้ทำไมฉันถึงต้องเป็นแบบนี้
เพิ่งได้รู้ความอดทนฉันมีมากมายแบบนี้
แต่ดันใช้มันไปให้ใครที่ไม่เคยมองมา

จะเจอกับใครต่อใครแต่ว่าในใจทำไม
มันถึงยังคงเป็นเธอเท่านั้น
อยากรู้ทำไมเป็นอย่างนี้

คนเราจะแอบรักใครสักคนได้นานแค่ไหน
คนเราจะแอบรักใครสักคนได้จนถึงเมื่อไร
คนเราจะแอบรักใครสักคนได้อีกนานแค่ไหน
แล้วฉันต้องรักเธออย่างนี้ถึงเมื่อไร

ความคิดถึงเธอว่ามันแปลกมะ ฉันว่ามันแปลกนะ
เพราะความคิดถึงมันไม่รูปแบบชัดขนาดนั้น
ก็เลยไม่รู้ว่าเมื่อไรจะได้พ้นจากสถานะแอบรัก

อยากจะเลิกแอบรักไม่รู้ว่าเมื่อไร
เบื่อตัวเองชะมัดชอบทำให้เรื่องใหญ่
ได้แต่แอบ Kiss เธอก็แค่ในฝันไม่รู้ว่าเพื่ออะไร
ที่ไม่กล้าเสี่ยงเพราะอยากเป็นแฟนไม่ใช่เพื่อนใหม่

ทำได้ก็แค่แอบคิดอยู่แบบนี้
แปลกดีแบบที่ไม่เคยคิดแคร์ใคร
ขนาดที่พิศแล้วใจยังไปยันดวงอาทิตย์จนลิบตา
แอบรักเธอทุกวินาที คิดถึงไม่รู้ทิศทาง
ได้แต่ kiss เธออยู่ในนิทรา

อยากจะคุยกับเธอว่าเธอสบายดีไหม
หรืออยากให้รู้ตอนนี้ว่าฉันน่ะไม่มีใคร
มีคำพูดนับร้อยในใจที่ต้องการจะบอก
แต่พอได้เจอกับเธอ ก็เป็นแบบเดิมเสมอ
ไม่รู้ฉันต้องทำตัวแบบไหน
อยากรู้ทำไมเป็นอย่างนี้

คนเราจะแอบรักใครสักคนได้นานแค่ไหน
คนเราจะแอบรักใครสักคนได้จนถึงเมื่อไร
คนเราจะแอบรักใครสักคนได้อีกนานแค่ไหน
แล้วฉันต้องรักเธออย่างนี้ถึงเมื่อไร

คนเราจะแอบรักใครสักคนได้นานแค่ไหน
คนเราจะแอบรักใครสักคนได้ถึงเมื่อไร
แอบรักใครสักคนได้อีกนานแค่ไหน
แล้วฉันต้องรักเธออย่างนี้ถึงเมื่อไร

คนเราจะต้องนั่งรอใครสักคนไปอีกนานแค่ไหน
แล้วฉันต้องรักเธอข้างเดียวถึงเมื่อไร",rooftop
เคยคิดถึงฉันไหมในตอนที่,/music/thailyric/19479,"นั่งมองดาวคนเดียวลำพังเปล่าเปลี่ยว
และก็ยังไม่มีใครที่จะมาแทนที่เธอได้เลย
เพราะฉันยังคิดถึงเธอคนเดียวที่ดาดฟ้า

เพราะฉันยังคิดถึงเรื่องราวตรงที่ระเบียง
และเสียงหัวเราะที่เธอชอบทำ ที่ฉันบอกว่าไม่เหมือนใครๆ
ตอนนี้อยู่ไหน เฝ้าตามหา

เธอเคยคิดถึงฉันไหม ในตอนที่เธอเหงา
อย่างน้อยตอนที่เธอเมา แค่นั้นก็ยังดี
เคยคิดถึงฉันไหม ในตอนที่เธอเหงา
เคยคิดถึงตอนมีเราบ้างไหม

ฉันยังไปที่เดิมวันนั้นยังเจอเพื่อนเธอ
เลยนั่งคุยกันและถามว่าเธอเป็นไง
สบายดีไหม เธอคุยกับใครอยู่ไหม อยากโทรหา

อยากรู้ทุกวัน
เป็นไปได้ไหมเธอจะคิดเหมือนกัน
แค่เพียงบอกมา จะสุดขอบฟ้าก็จะไปหา

เธอเคยคิดถึงฉันไหม ในตอนที่เธอเหงา
อย่างน้อยตอนที่เธอเมา แค่นั้นก็ยังดี
เคยคิดถึงฉันไหม ในตอนที่เธอเหงา
เคยคิดถึงตอนมีเราบ้างไหม

อยากจะเจอเธออีกทีจะได้ไหม
เพราะว่าฉันในตอนนี้อยู่ไม่ไหว
มันโคตรคิดถึงเลยเธอ
อยู่ตรงนี้ที่เคยเจอ
แต่ตอนนี้ไม่มีเธอเคียงข้างกัน

เธอเคยคิดถึงฉันไหม ในตอนที่เธอเหงา
อย่างน้อยตอนที่เธอเมา แค่นั้นก็ยังดี
เคยคิดถึงฉันไหม ในตอนที่เธอเหงา
เคยคิดถึงตอนมีเรา บ้างไหม

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่าคุยกับฉันได้หรือเปล่า

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่าคุยกับฉันได้หรือเปล่า

ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม
เธอจะคิดถึงฉันเปล่าคุยกับฉันได้หรือเปล่า

(ตอนนี้เธออยู่ที่ไหนลองโทรดูดีไหม)
(เธอจะคิดถึงฉันเปล่าคุยกับฉันได้หรือเปล่า)",rooftop
เครื่องช่วยหายใจ,/music/thailyric/12806,"ไม่ใช่คนช่างจดช่างจำ
ไม่ใช่คนย้ำคิดย้ำทำ
ไม่ใช่ชอบที่เจ็บซ้ำๆ
อย่างนี้ สักเท่าไร
ไม่ใช่คนจมกับปัญหา
ฉันรู้ดีว่าเสียเวลา
ไม่ใช่ฉันไม่รู้ว่า ควรทำเช่นไร

ไม่ใช่ฉันลืมเธอไม่ลง
แต่มันคงลืมเธอไม่ได้
อยากเก็บเธอไว้
แม้แค่เพียงในใจก็พอ

เมื่อใจความเป็นจริง ไม่มีเธออยู่
ก็ไม่รู้ว่าฉันจะหายใจอย่างไร
เมื่อเธอคือครึ่งหนึ่ง มากกว่า
เกินที่จะหาใครแทนได้
ขาดเธอไปคงต้องตาย
เพราะเธอเป็นเครื่องช่วยหายใจ

มีแค่เธอคนเดียวเท่านั้น
ทำให้ฉันยังคงหายใจ
มันก็คงไม่แปลกอะไร เหตุใดฉันจำ
จำว่าเธอจะกลับมาหา
จำว่าเราไม่ได้ร้างลา
จำทุกชั่วขณะเวลา ติดตามฝังใจ

ไม่ใช่ฉันลืมเธอไม่ลง
แต่มันคงลืมเธอไม่ได้
อยากเก็บเธอไว้
แม้แค่เพียงในใจก็พอ

เมื่อใจความเป็นจริง ไม่มีเธออยู่
ก็ไม่รู้ว่าฉันจะหายใจอย่างไร
เมื่อเธอคือครึ่งหนึ่ง มากกว่า
เกินที่จะหาใครแทนได้
ขาดเธอไปคงต้องตาย
เพราะเธอเป็นเครื่องช่วยหายใจ

และสุดท้าย ฉันรู้มันเป็นเพียงแค่ฝัน
แต่ฉันเหลือแค่สิ่งเดียวเท่านั้น
ที่ยังทำ ให้ฉันนั้นหายใจ

เมื่อใจความเป็นจริง ไม่มีเธออยู่
ก็ไม่รู้ว่าฉันจะหายใจอย่างไร
เมื่อเธอคือครึ่งหนึ่ง มากกว่า
เกินที่จะหาใครแทนได้
ขาดเธอไปคงต้องตาย
เพราะเธอเป็นเครื่องช่วยหายใจ

ที่ยังจดจำเธอฝังใจ
เพราะฉันอยากมีเธอไว้ นานๆ
อยากมีเธอไว้นานๆ
อยากมีเธอไว้นานๆ
ให้นานๆ อยากมีเธอไว้นานๆ",rooftop
แค่เพียงบอก,/music/thailyric/15837,"ในคืนนี้ที่ดูเหมือนมีแค่ฉันและเธอเท่านั้น
หัวใจก็เลยไหวหวั่น ใช่ไหม
และทำไมเหมือนบรรยากาศยิ่งทำให้คิดไปไกล
เหมือนเธอนั้นก็มีใจ ให้ฉัน

มีคำถาม นับร้อยในใจที่อยู่ตรงนี้
ว่าฉันนั้นควรต้องห้ามหัวใจตัวเอง สักที
หรือเธอคิดเช่นไร วู้ว ฮู้ว

บอกกับฉันได้ไหมว่าเธอต้องการอะไร
ใจจริงๆ ต้องการความรักหรือว่าสิ่งไหน
บอกกับฉันว่ารักของเราจะไปทางไหน
ได้ไหม ขอเธอแค่เพียงบอก
ถ้าหากพรุ่งนี้ทั้งฉันและเธอจะต้องจากกัน
ไม่อยากให้รักของเราคืนนี้เป็นเพียงความฝัน
ไม่อยากเก็บไว้ไปคิดเอาเองคนเดียวอีกแล้ว
ได้ไหม ขอเธอแค่เพียงบอก

อยากจะรู้ว่าที่เธอมองฉันด้วยสายตาแบบนั้น
ท่าทีและรอยยิ้มนั่น คืออะไร
ก็ไม่รู้ว่าเธอกำลังคิดเหมือนกับฉันหรือไม่
หรือฉันแค่คิดมากไป บอกที

มีคำถาม นับร้อยในใจที่อยู่ตรงนี้
ว่าฉันนั้นควรต้องห้ามหัวใจตัวเอง สักที
หรือเธอคิดเช่นไร วู้ว ฮู้ว

บอกกับฉันได้ไหมว่าเธอต้องการอะไร
ใจจริงๆ ต้องการความรักหรือว่าสิ่งไหน
บอกกับฉันว่ารักของเราจะไปทางไหน
ได้ไหม ขอเธอแค่เพียงบอก
ถ้าหากพรุ่งนี้ทั้งฉันและเธอจะต้องจากกัน
ไม่อยากให้รักของเราคืนนี้เป็นเพียงความฝัน
ไม่อยากเก็บไว้ไปคิดเอาเองคนเดียวอีกแล้ว
ได้ไหม ขอเธอแค่เพียงบอก

(บอกฉันได้ไหม บอกกับฉัน)
(บอกฉันได้ไหม บอกกับฉัน)

บอกกับฉันได้ไหมว่าเธอต้องการอะไร
ใจจริงๆ ต้องการความรักหรือว่าสิ่งไหน
บอกกับฉันว่ารักของเราจะไปทางไหน
ได้ไหม ขอเธอแค่เพียงบอก
ถ้าหากพรุ่งนี้ทั้งฉันและเธอจะต้องจากกัน
ไม่อยากให้รักของเราคืนนี้เป็นเพียงความฝัน
ไม่อยากเก็บไว้ไปคิดเอาเองคนเดียวอีกแล้ว
ได้ไหม ขอเธอแค่เพียงบอก",rooftop
ตลอดไปไม่มีจริง (Forever),/music/thailyric/22434,"คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้ที่เธอนั้นพร้อมจะกอดใคร อยู่ดีดีจะไปก็ทิ้งฉันเลย
คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้เธอทำให้ฉันได้เข้าใจ ตลอดไปไม่มีอยู่จริง

ไหน ไหน ที่เธอบอกจะไม่หายไป
ไหน ไหน ที่เธอบอก I'm the one for you right
แต่กลับมานอนบนเตียงฉัน Tonight ก็ไม่มีเธอแล้ว

ยังจำตอนวันเกิดเธอได้ไหม
ที่เธอไม่ขออะไร แค่เรารักกันตลอดไป
เธอเป็นคนพูดมันเอง แต่ว่าเธอหายไปไหน อยากรู้

คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้ที่เธอนั้นพร้อมจะกอดใคร อยู่ดีดีจะไปก็ทิ้งฉันเลย
คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้เธอทำให้ฉันได้เข้าใจ ตลอดไปไม่มีอยู่จริง

อยู่ดีดีก็หาย ใจไม่ออกเลย
I can't breathe หายใจไม่ออก
เมื่อเธอมาบอกว่า Baby please
ให้ปล่อยเธอไป ไปกับเขา That's all you need
เธออยากไป ไปกับคนธรรมดา
เปรียบเขาเป็นช้างดาว ฉันเป็น Balenciaga

ตลอดไปไม่มีจริงไม่ว่ากับเรื่องใด
ความรู้สึกที่เปลี่ยนผันเหมือนกับลมที่พัดไป
ผ่านไปวัน เดือน ปี ฉันก็คงต้องพักใจ
ที่ต้องทนทรมานเพราะไอ้คำว่า
รัก รัก รัก ตลอดไปนั้นมีกี่วัน
ตลอดไปในความทรงจำก็แค่นั้น

สัญญาที่เธอให้มาไม่มีคุณค่า ไม่มีราคา
ไอ้เราแค่สักวาก็คงไม่หวานเหมือนดอกจำปา
ตลอดไปทิพย์ แค่ตากะพริบ ก็เลือนไปไม่มีจริง

คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้ที่เธอนั้นพร้อมจะกอดใคร อยู่ดีดีจะไปก็ทิ้งฉันเลย
คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้เธอทำให้ฉันได้เข้าใจ ตลอดไปไม่มีอยู่จริง

คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้ที่เธอนั้นพร้อมจะกอดใคร อยู่ดีดีจะไปก็ทิ้งฉันเลย
คำว่ารักที่เธอให้ตลอดมา ไม่มีค่าถ้าเธอไม่ให้ตลอดไป
ในวันนี้เธอทำให้ฉันได้เข้าใจ ตลอดไปไม่มีอยู่จริง",rooftop
ถ้าฉันเป็นเธอ,/music/thailyric/19936,"ทำก็ทำอยู่ ทำสิ่งดีให้เธอทุก ๆ อย่าง
พยายามอยู่ พยายามทำตัวเป็นตัวอย่าง
คนที่อุทิศชีวิตเพื่อเธอ

ดูก็ดูอยู่ ดูแลเธอปรนเปรอไม่เคยขาด
รอก็รออยู่ รอให้เธอเปิดใจ ให้โอกาส
แต่เธอก็เหมือนจะยังไม่มอง

สิ่งที่ฉันทำทุกอย่าง
ไม่มีทางที่เธอจะพบจากใคร

ถ้าฉันเป็นเธอ ฉันก็จะรักฉัน
ถ้าฉันเป็นเธอ ฉันจะบอกรักฉันทุกวัน
ถ้าฉันเป็นเธอ ฉันจะคิดถึงฉันทุกวัน
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ ฉันจะควงแต่ฉัน
ถ้าฉันเป็นเธอ ฉันจะนั่งมองฉันทั้งวัน
ถ้าฉันเป็นเธอ ฉันจะฝันว่าเรารักกัน
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ เป็นเธอ

ถ้าฉันเป็นเธอ ฉันคงเพ้อละเมอ
นอนกดเบอร์ อยากเจอ เพียงแต่ตัวฉัน
คงจะคิดถึงกัน ทำอย่างนั้น อยู่ทั้งวัน
อยากบอกให้เธอรู้ว่า If I Were You
ฉันจะไม่เจ้าชู้ และจะรักเพียงแต่ฉัน

มันอยากบอกตลอดเลย
เจอเธอแล้วจอดเลย
มันพูดไม่ออกเลย
อยากดึงมากอดเลย
อยากให้เธอรู้ฉันรักเธอแต่แรกเจอ
ก็เธอน่ารักเกินจนอยากเดินไปแลกเบอร์

จำฉันจำเสมอ เจอเธอที่สยาม
งามเหมือนนางสนม ผมเธอยาวสลวย
สวยดังปีกสยาย คล้ายอยู่บนสวรรค์
ทุกสิ่งที่ทำ ทุกๆ คำ อยากให้จำ ฉันทำเพื่อเธอ

สิ่งที่ฉันทำทุกอย่าง
ไม่มีทางที่เธอจะพบจากใคร

ถ้าฉันเป็นเธอ ฉันก็จะรักฉัน
ถ้าฉันเป็นเธอ ฉันจะบอกรักฉันทุกวัน
ถ้าฉันเป็นเธอ ฉันจะคิดถึงฉันทุกวัน
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ ฉันจะควงแต่ฉัน
ถ้าฉันเป็นเธอ ฉันจะนั่งมองฉันทั้งวัน
ถ้าฉันเป็นเธอ ฉันจะฝันว่าเรารักกัน
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ เป็นเธอ

ถ้าฉันเป็นเธอนะ ถ้าฉันเป็นเธอได้
ฉันจะไม่เสียเวลา ฉันจะรีบตัดสินใจ
ฉันจะจับมือฉัน ฉันจะบอกรักฉัน
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ เป็นเธอ

ถ้าฉันเป็นเธอนะ ถ้าฉันเป็นเธอได้
ฉันจะบอกรักฉัน
ถ้าฉันเป็นเธอ เป็นเธอ
ถ้าฉันเป็นเธอ เป็นเธอ",rooftop
ไทม์ แมชชีน,/music/thailyric/9189,"บอกฉันหน่อยคนดี ว่าเธอจะไม่หนี
ไม่ว่าพรุ่งนี้จะมีอะไรยังไงก็ตาม
ทนนั่งอยู่ทำไม ในมุมที่สลัว
หรือกลัวเห็นเงาของเธอวันที่ไฟส่องแสง

เหมือนมีความลับแล้วเธอซ่อนอยู่ ในหัวใจ
เหมือนเป็นฝันร้ายที่เธอไม่อาจ ลบไปจากหัวใจ

แต่ใครจะย้อนเวลากลับไปหาเมื่อวาน
ถ้าฉันมี Time Machine ฉันจะชวนเธอบิน
สิ่งหนึ่งที่เธอมี คือทุกวินาที ต่อจากนี้
ต่อจากนี้ ก็เอาให้ดี

บอกฉันหน่อยคนดี หรือเธอยังจะหนี
ไปไกลกว่านี้และที่ตรงนั้นไม่มีตะวัน
สิ่งที่อยู่ในใจ ที่ทำเธอปวดร้าว
ถึงคราวหรือยังที่เธอต้องทำใจยอมรับ

เหมือนมีความลับแล้วเธอซ่อนอยู่ ในหัวใจ
เหมือนเป็นฝันร้ายที่เธอไม่อาจ ลบไปจากหัวใจ

แต่ใครจะย้อนเวลากลับไปหาเมื่อวาน
ถ้าฉันมี Time Machine ฉันจะชวนเธอบิน
สิ่งหนึ่งที่เธอมี คือทุกวินาที ต่อจากนี้
ต่อจากนี้ ก็เอาให้ดี

เหมือนมีความลับแล้วเธอซ่อนอยู่ ในหัวใจ
เหมือนเป็นฝันร้ายที่เธอไม่อาจ

แต่ใครจะย้อนเวลากลับไปหาเมื่อวาน
ถ้าฉันมี Time Machine ฉันจะชวนเธอบิน
สิ่งหนึ่งที่เธอมี คือทุกวินาที ต่อจากนี้
ต่อจากนี้ ก็เอาให้ดี ทำให้ดี ก็เอาให้ดี ก็ทำให้ดี",rooftop
แวะ (Yes?),/music/thailyric/16696,"ฉันก็ไม่รู้เหมือนกัน มันเกิดอะไรกับฉัน
เรามาถึงจุดนี้ได้อย่างไรนะ
จะคบกันก็ยังไม่เชิง จะเลิกก็ยังไม่ใช่
นี่เธอกับฉันเป็นอะไร

พอเธออยากมาเธอก็มา
เจอกันไม่นานเธอก็ลา
แล้วมันก็เป็นอย่างนี้ทุกเวลา
พอเธออยากไปเธอก็ไป
จะทำอะไรทักไปก็ไม่เคยสน

ไอ้เราก็ได้แต่นั่งรอ
ครั้งนี้มันนานจนเริ่มท้อ ต้องทำไงนะ
ต้องรออย่างนี้ถึงเมื่อไร

อยากให้เธอรู้ว่าฉันรอเธออยู่ทุกวัน
แต่เธอจะ คิดถึงกัน บ้างไหม
อย่าเพียงแค่แกล้งให้ความหวังให้ฉันคิดไปไกล
ไม่อยากจะต้องทนรอ อย่างนี้

พอเธออยากมาเธอก็มา
เจอกันไม่นานเธอก็ลา
แล้วมันก็เป็นอย่างนี้ทุกเวลา
พอเธออยากไปเธอก็ไป
จะทำอะไรทักไปก็ไม่เคยสน

ไอ้เราก็ได้แต่นั่งรอ
ครั้งนี้มันนานจนเริ่มท้อ ต้องทำไงนะ
ต้องรออย่างนี้ถึงเมื่อไร

อยากให้เธอรู้ว่าฉันรอเธออยู่ทุกวัน
แต่เธอจะ คิดถึงกัน บ้างไหม
อย่าเพียงแค่แกล้งให้ความหวังให้ฉันคิดไปไกล
ไม่อยากจะต้องทนรอ อย่างนี้

อยากให้เธอรู้ว่าฉันนั้นรอเธออยู่ทุกวัน
แต่เธอจะ คิดถึงกัน บ้างไหม
อย่าเพียงแค่แกล้งให้ความหวังให้ฉันคิดไปไกล
ไม่อยากจะต้องทนรอ อย่างนี้

อย่าเพียงแค่แวะมาหาแต่ สุดท้ายเธอก็ไป
ไม่อยากจะต้องทนรออย่างนี้",rooftop
เอาให้คุ้ม,/music/thailyric/23386,"ฉันขอให้เธอมีความสุขกับเขา
ให้เท่าที่ฉันต้องเสียใจในวันนี้
ถ้าฉันต้องเสียใจทั้งที
อย่างน้อยช่วยเอาให้คุ้มที่ต้องเสียน้ำตา

บอกกับฉันให้รู้หน่อย ย้ำให้รู้หน่อย ยิ้มให้ดูหน่อย
แค่เพียงอย่างน้อย เธอมีความสุขกับเขา
อยากอวยพรให้โชคดี เขาก็โคตรดี
ฉันขอโทษที ที่ฉันคนนี้ คงดีไม่ได้เท่าเขา

เมื่อฉันขอ เธอคืนกลับมาไม่ได้
สุดท้ายฉันคงจะทำได้เท่านี้

ฉันขอให้เธอมีความสุขกับเขา
ให้เท่าที่ฉันต้องเสียใจในวันนี้
ถ้าฉันต้องเสียใจทั้งที
อย่างน้อยช่วยเอาให้คุ้มที่ต้องเสียน้ำตา

ฉันขอให้เธอมีความสุขกับเขา
ให้เท่าที่ฉันต้องเสียใจในวันนี้
ถ้าฉันต้องเสียใจทั้งที
อย่างน้อยช่วยเอาให้คุ้มที่ต้องเสียน้ำตา

ถึงฉันต้องกัดฟันก็จะให้คำยินดี
ที่เธอไปกับมันได้อยู่ดีกินดี
เธออยากมีแฟนเป็นกัปตัน เพราะเธอจะได้บินฟรี
แต่สำหรับฉันมันกลับกัน ฉันพังไม่มีชิ้นดี

แค่บอกจะไป จะหลอกทำไม
ดูออกยังไง เธอก็จะไป มันท้อในใจ
แต่ ถ้าเธอจะไปก็ต้องไป
งั้นขอให้โชคดีไม่มีอะไรให้ข้องใจ

เมื่อฉันขอเธอคืนกลับมาไม่ได้
สุดท้ายฉันคงจะทำได้เท่านี้

ฉันขอให้เธอมีความสุขกับเขา
ให้เท่าที่ฉันต้องเสียใจในวันนี้
ถ้าฉันต้องเสียใจทั้งที
อย่างน้อยช่วยเอาให้คุ้มที่ต้องเสียน้ำตา

ฉันขอให้เธอมีความสุขกับเขา
ให้เท่าที่ฉันต้องเสียใจในวันนี้
ถ้าฉันต้องเสียใจทั้งที
อย่างน้อยช่วยเอาให้คุ้มที่ต้องเสียน้ำตา

ฉันขอให้เธอมีความสุขกับเขา
ให้เท่าที่ฉันต้องเสียใจในวันนี้
ถ้าฉันต้องเสียใจทั้งที
อย่างน้อยช่วยเอาให้คุ้มที่ต้องเสียน้ำตา",rooftop
