song_name,href,lyric,artist
เวน แอม ฟิลลิ่ง บลู (When I'm Feeling Blue),/music/thailyric/5066,"คืนที่มันเหงาใจ ฉันยัง ต้องการ อ้อมกอดนั้น
มือที่เคยสัมผัส สายตา ของเธอที่มองฉัน จดจำขึ้นใจ
กี่ความเจ็บช้ำ กี่คำเพรียกหา กี่หยดน้ำตา ก็คือเธอ
แต่คนอย่างฉัน ไม่มีค่าพอ ไม่มีแล้ว
เราจบกันทุกอย่าง พอเข้าใจทุกอย่าง

เพียงแต่ยังรู้สึก รักเธอ รักเธอ เกินกว่ารับไหว
ยังอ่อนแอเหมือนเก่า ทุกวัน ทุกคืน คิดถึงเธออยู่ มากมาย
ไม่เคยลบเลือน so many words so many tears
so many prays ฉันทำเพื่อเธอ

กี่หมื่นความคิด กี่หมื่นความฝัน มีแด่เธอเท่านั้น
มันจะนานเท่าไหร่ ใจก็ยังรักอยู่

วันที่ยังเหลืออยู่ ขอเพียง ครั้งนึง ฉันขอโอกาสซักครั้ง
เพียงได้เจอหน้าเธอ ได้ไหม ซักครั้งขอเธอโอบกอดฉันไว้
ขอเพียงแค่รู้สึก ไออุ่นกายของเธอ When I'm Feeling Blue",rose_sirinthip
อย่าเพิ่งคุยกันตอนนี้,/music/thailyric/9208,"ถ้าแค่โทรมาทักทาย
ขอร้องเถอะอย่าเพิ่งเลย
ไม่เคยทำใจได้เลย เราจบกันแล้วก็รู้
กลัวเผลอจะเรียกกันว่าเรา
กลัวแสดงว่าในใจฉันยังเหมือนเก่า
ให้ฉันทำใจอีกนิดนึง

อย่าเพิ่งคุยกันเลยตอนนี้
ยังรับความจริงไม่ไหว
พยายามแล้วก็ทำไม่ได้ซักที
เรารักกันมานานข้ามปี
จะให้ลืมแค่ข้ามวัน
ถ้าคิดเป็นห่วงกัน
เชื่อฉันเธอวางสายไปดีกว่า

ฉันไม่ใช่คนแข็งแรง
ฉันแกล้งทำไม่ค่อยเก่ง
หรือคงผิดที่ฉันเอง ที่ไม่ได้เก่งอย่างเธอ
ให้ยิ้มกลบเกลื่อนได้เนียนเหมือนเธอ
ให้คุยกันเหมือนตอนที่เราพึ่งแรกเจอ
ไม่ไหวจริงๆ เธอขอร้อง

อย่าเพิ่งคุยกันเลยตอนนี้
ยังรับความจริงไม่ไหว
พยายามแล้วก็ทำไม่ได้ซักที
เรารักกันมานานข้ามปี
จะให้ลืมแค่ข้ามวัน
ถ้าคิดเป็นห่วงกัน
เชื่อฉันเธอวางสายไปดีกว่า

อย่าเพิ่งคุยกันเลยตอนนี้
ยังรับความจริงไม่ไหว
ยังฝันถึงเรื่องของเราอยู่ทุกๆ วัน
มันเห็นภาพตอนเรารักกัน
เจอเธอกอดฉันทุกคืน
ให้ฝืนลืมเท่าไร
แต่หัวใจของฉันมันก็เลือกจำ

ขอบคุณที่ยังโทรหา
แต่อย่าคุยกันดีกว่า",rose_sirinthip
เกิดมาแค่รักกัน,/music/thailyric/5041,"และแล้วก็ถึงเวลา
และแล้วเธอก็ต้องไป
ฉันก็เข้าใจที่เธอเลือกเดิน
ฝืนยิ้มด้วยความยินดี
ทั้งที่เจ็บปวดเหลือเกิน
ได้แต่ยืนมองเธอเดินไปกับเขา

รัก แม้รักยังไงก็รัก ได้เพียงหัวใจ
สุดท้ายต้องยอมปล่อยเธอไปกับเขา
(สุดท้ายต้องยอมเป็นคนที่ปวดร้าว)

จากนี้ เธอก็คงไปดี
ก็ขอให้เธอจงสุขสบาย
เธอจงเดินไปตามความฝันของเธอ ที่เธอตั้งใจ
แม้ฉันต้องเสียใจ
แต่ฉันจะรับไว้เอง
อย่างน้อย เธอก็ทำให้ฉันรู้ว่าเคยมีความสุขเพียงใด
ได้เป็นคนที่เธอเคยรัก
ก็ดีแค่ไหน ฉันต้องยอมเข้าใจ
เกิดมาแค่เพียงได้รักกัน
สุดท้ายไม่เป็นอย่างฝันฉันยอมทำใจ

ชีวิตที่เราเคยมี แขวนไว้บนด้ายบางๆ
ไม่รู้ว่ามันจะขาดเมื่อไหร่
เมื่อเธอเจอทางที่ดี เธออยากมีชีวิตใหม่
ไม่ผิดอะไรเมื่อเธอต้องเลือกเขา

รัก แม้รักยังไงก็รัก ได้เพียงหัวใจ
สุดท้ายต้องยอมปล่อยเธอไปกับเขา
(สุดท้ายต้องยอมเป็นคนที่ปวดร้าว)

จากนี้ เธอก็คงไปดี
ก็ขอให้เธอจงสุขสบาย
เธอจงเดินไปตามความฝันของเธอ ที่เธอตั้งใจ
แม้ฉันต้องเสียใจ
แต่ฉันจะรับไว้เอง
อย่างน้อย เธอก็ทำให้ฉันรู้ว่าเคยมีความสุขเพียงใด
ได้เป็นคนที่เธอเคยรัก
ก็ดีแค่ไหน ฉันต้องยอมเข้าใจ
เกิดมาแค่เพียงได้รักกัน
สุดท้ายไม่เป็นอย่างฝันฉันยอมทำใจ

เกิดมาแค่เพียงได้รักกัน
สุดท้ายชีวิตของฉันก็ไม่มีใคร",rose_sirinthip
ความรักทำให้คนตาบอด,/music/thailyric/5043,"รู้...ว่ามันไม่สมควร
ที่ยังกวนหัวใจเธอ ฉันขอโทษที
รักและยังคอยหวังดี ทั้งที่ไม่มีสิทธิ์
เพราะความจริงเธอก็มีเขา
คนนั้น เป็นคนที่สำคัญกว่า

มันอาจจะผิดที่เป็นอย่างนี้
ที่มันยังรักเธอจนสุดหัวใจ
เมื่อรู้ว่าไม่มีทาง แต่ฉันก็ไม่ตัดใจ
เหมือนคนไม่รู้ตัว

มันอาจจะถูกที่ใครบอกไว้
ความรักมันทำให้ตาบอด
จนมองไม่เห็นความจริง ว่าฉันเป็นใคร
ทำให้ไม่เข้าใจ ทำไมยังรักแต่เธอ

รู้ ควรจะหักห้ามใจ
หากทำได้ง่ายดาย
ฉันก็คงไม่ต้องสับสน
อย่างนี้ จบ ๆ ไปเสียดีกว่า

มันอาจจะผิดที่เป็นอย่างนี้
ที่มันยังรักเธอจนสุดหัวใจ
เมื่อรู้ว่าไม่มีทาง แต่ฉันก็ไม่ตัดใจ
เหมือนคนไม่รู้ตัว

มันอาจจะถูกที่ใครบอกไว้
ความรักมันทำให้ตาบอด
จนมองไม่เห็นความจริง
ว่าฉันเป็นใคร ทำให้ไม่เข้าใจ
ทำไมหมดทั้งหัวใจ
มันยังคงรักแต่เธอ แต่เธอ",rose_sirinthip
สู่กลางใจเธอ,/music/thailyric/9921,"ถึงแม้ว่ามันจะไกลสุดไกลแสนไกล
และฉันก็คงจะไปได้เพียงแค่ครึ่งทาง
ในวันที่ฉันได้จับมือของเธอคราวนั้น
ฉันเหมือนได้เห็นทางเดินสู่หัวใจ

แต่จากตรงนี้ จะอีกไกลไหม
จากมือเธอนั้นไปสู่ใจ

ฉันไม่รู้ว่ามันจะนานเท่าไร
เพราะมันดูแสนจะยาวไกล
ไกลสักเพียงไหน
ฉันไม่รู้ว่ามันจะนานเท่าไร
ฉันเองก็พร้อมจะก้าวไป
จะไปสู่กลางใจเธอ

No Me Importa Si Todos Te Miran
No Me Importa Lo Que Digan De Ti
No Me Importa Como Pasa El Tiempo
Sabiendo Yo Que Tu Me Quieres

แต่จากตรงนี้ อีกไกลไหม
จากมือเธอนั้น ไปสู่ใจ

ฉันไม่รู้ว่ามันจะนานเท่าไร
เพราะมันดูแสนจะยาวไกล No Lo Se
ฉันไม่รู้ว่ามันจะนานเท่าไร
ฉันเองก็พร้อมจะก้าวไป A Tu Corazon

แต่จากตรงนี้ จะอีกไกลไหม
จากมือเธอนั้น ไปสู่ใจ

ฉันไม่รู้ว่ามันจะนานเท่าไร
เพราะมันดูแสนจะยาวไกล
ไกลสักเพียงไหน
ฉันไม่รู้ว่ามันจะนานเท่าไร
ฉันเองก็พร้อมจะก้าวไป
จะไปสู่กลางใจของเธอ A Tu Corazon",rose_sirinthip
กังหันลม,/music/thailyric/8628,"ถ้าใจใครเป็นกังหันลม
ที่มีอารมย์คอยโบกพัด
คงมีชีวิตที่อึดอัด
ที่ต้องคอยหมุนและอ่อนไหว

เมื่อตอนที่รักใครสักคน
ไม่อยากจะทนเพียงเฝ้ามอง
จิตใจมันเหมือนยังลอยล่อง
และก็ไม่รู้ต้องทำอย่างไร

เกิดลมร้อนๆ ที่พัดหัวใจ
ให้รักจนใจจะขาด
กังหันหัวใจไม่อาจต้านแรงลมไว้
จิตใจรุ่มร้อน คิดถึงทุกวัน ก็เพราะรักมากเกินไป
ยิ่งทุกข์เมื่อยิ่งไม่ได้อยู่ใกล้กัน

ถ้าใจใครเป็นกังหันลม
ที่มีอารมย์คอยโบกพัด
คงมีชีวิตที่อึดอัด
ที่ต้องคอยหมุนและอ่อนไหว

เมื่อไหร่จริงจังใครสักคน
ยิ่งเป็นศัตรูยิ่งสำคัญ
จิตใจมันพร้อม คอยห่ำหัน
แต่ก็ไม่รู้ต้องทำอย่างไร

เกิดลมร้อนๆ ที่พัดหัวใจให้นึกชิงชังตลอด
กังหันหมุนวนด้วยความเกลียดชังนักหนา
จิตใจรุ่มร้อนนึกถึงทุกวันก็เพราะแสนชังน้ำหน้า
ยิ่งทุกเวลาที่มาอยู่ใกล้กัน

ไม่อยากจะเป็นกังหันที่มีอารมณ์คอยโบกพัด
ช่างเป็นชีวิตที่อึดอัด
ที่ต้องคอยหมุนและอ่อนไหว

ไม่อยากต้องรับรู้ต้องเกลียด
ต้องแบกอารมณ์เท่าๆ กัน
จะบวกจะลบก็สำคัญ จะเกลียดจะรักไปเพื่ออะไร

ก็แค่เธอขอมีรักให้มั่น และไม่เกลียดใคร",rose_sirinthip
ฉันขอเป็นกระดาษ,/music/thailyric/8482,"มีความในใจ จะเก็บเอาไว้เอาไว้
บางครั้งเธอบอกใครไม่ได้ เก็บในใจ
ไปนานนาน ก็คงไม่ไหว

มีเรื่องดีดี เธอน่าจะมีคนมายินดี
แต่ก็ไม่เห็นใคร เธออยากยิ้ม
แล้วไม่รู้ ยิ้มให้ใคร

แค่หันมามองทางนี้ คงเห็นนะ
ฉันอยู่ไม่ไกล แค่เธอหันมา
เธอได้ยินฉันไหม

ฉันขอเป็นกระดาษ ให้เธอได้ระบาย
เธออารมณ์อะไรให้นึกถึงกัน
ฉันขอเป็นกระดาษ
ให้เธอเขียนได้ตามต้องการ

ฉันขอเป็นกระดาษ ให้เธอวาดลงไป
วาดทะเล ดอกไม้ วาดใจ วาดฝัน
ฉันขอเป็นกระดาษ จะฉีกทิ้งยังไม่ว่ากัน

ใจ เข้าใจดี มีเรื่องมากมายบนโลกใบนี้
ที่ไม่เป็นเหมือนใจ และไม่รู้
จะต้องเจอ อะไรต่อไป

เราก็คงเหมือนกัน
ก็คงต้องการให้ใครสักคน
อยู่เคียงข้างกาย ไว้เติม
ความพอดี ให้หัวใจ

แค่หันมามองทางนี้ คงเห็นนะ
ฉันอยู่ไม่ไกล แค่เธอหันมา
เธอได้ยินฉันไหม

ฉันขอเป็นกระดาษ ให้เธอได้ระบาย
เธออารมณ์อะไรให้นึกถึงกัน
ฉันขอเป็นกระดาษ
ให้เธอเขียนได้ตามต้องการ

ฉันขอเป็นกระดาษ ให้เธอวาดลงไป
วาดทะเล ดอกไม้ วาดใจ วาดฝัน
ฉันขอเป็นกระดาษ จะฉีกทิ้งยังไม่ว่ากัน

ฉันขอเป็นกระดาษ ให้เธอได้ระบาย
เธออารมณ์อะไรให้นึกถึงกัน
ฉันขอเป็นกระดาษ
ให้เธอเขียนได้ตามต้องการ

ฉันขอเป็นกระดาษ ให้เธอวาดลงไป
วาดทะเล ดอกไม้ วาดใจ วาดฝัน
ฉันขอเป็นกระดาษ จะฉีกทิ้งยังไม่ว่ากัน

ฉันขอเป็นกระดาษ จะฉีกทิ้งยังไม่ว่ากัน",rose_sirinthip
ให้เวลากับน้ำตาแค่วันเดียว,/music/thailyric/8208,"เสียใจ เกิดมาคนทุกคนต้องมีเรื่องเสียใจ
ต้องเจอมาสักครั้ง
น้ำตา กับความเสียใจมันเป็นของคู่กันมา
รู้ว่าเธอนั้นเสียใจ

แต่จะมัวนั่งลงจมกองน้ำตาเพื่อใคร
มองไปที่นอกหน้าต่าง
คนที่เคยผิดหวัง แต่ชีวิตเขายังเดินไป

เงยขึ้นฟ้า อย่าก้มหน้าลงพื้นดิน
อย่าให้น้ำตาไหลริน ท่องเอาไว้ต้องทำให้ได้
แม้จะเจ็บเจียนตายแค่ไหน อย่าเสียเวลาฟูมฟาย
ให้เวลา กับน้ำตาเพียงแค่วันเดียว

น้ำตา ปล่อยมันไหลให้คนไม่มีค่าทำไม
เขาก็คงไม่เห็น
เสียใจ คร่ำครวญจนจะตาย
เลือดตาแทบกระเด็น เขาก็คงไม่สนใจ

แต่จะมัวนั่งลงจมกองน้ำตาเพื่อใคร
มองไปที่นอกหน้าต่าง
คนที่เคยผิดหวัง แต่ชีวิตเขายังเดินไป

เงยขึ้นฟ้า อย่าก้มหน้าลงพื้นดิน
อย่าให้น้ำตาไหลริน ท่องเอาไว้ต้องทำให้ได้
แม้จะเจ็บเจียนตายแค่ไหน อย่าเสียเวลาฟูมฟาย
ให้เวลา กับน้ำตาเพียงแค่วันเดียว

แม้จะเจ็บเจียนตายแค่ไหน อย่าเสียเวลาฟูมฟาย
ให้เวลา กับน้ำตาเพียงแค่วันเดียว
ให้เวลา กับน้ำตาเพียงแค่วันเดียว",rose_sirinthip
คนดื้อรั้น,/music/thailyric/8779,"เป็นอะไรมากไหม ทำไมชอบไปถามไถ่
ห่วงใยเขาแล้วได้อะไร
คนที่น่าสงสารควรเป็นฉันเองใช่ไหม
ไม่เคยเข้าใจ ไม่เคยเปลี่ยน

ทักทายไปอีกแล้ว อย่าทำให้เขาลำบากใจซ้ำๆ
ควรฉันควรจะลืม เจ็บแค่ไหนไม่เคยจะจำ
กลับทำเหมือนเรามีกันและกันดังเดิม

ทำไม ทำไมต้องฝืนไปเจอหน้าเขา
รู้ก็รู้ว่าเสียเวลาเปล่า เขาไม่แคร์ไม่รักกัน
ทำไมนิสัยไม่ดีเป็นคนดื้อรั้น
แค่กลั้นน้ำตายังไม่ไหว พบเขาก็มีแต่ปวดใจ
ลืมไปรึไงเขาไม่ใช่ของเรา

ทักทายไปอีกแล้ว อย่าทำให้เขาลำบากใจซ้ำๆ
ควรฉันควรจะลืม เจ็บแค่ไหนไม่เคยจะจำ
กลับทำเหมือนเรามีกันและกันดังเดิม

ทำไม ทำไมต้องฝืนไปเจอหน้าเขา
รู้ก็รู้ว่าเสียเวลาเปล่า เขาไม่แคร์ไม่รักกัน
ทำไมนิสัยไม่ดี เป็นคนดื้อรั้น
แค่กลั้นน้ำตายังไม่ไหว พบเขาก็มีแต่ปวดใจ
ลืมไปรึไง เขาไม่ใช่ของเรา

ให้ความต้องการของหัวใจอย่างเดิมเสมอ

ทำไม ทำไมต้องฝืนไปเจอหน้าเขา
รู้ก็รู้ว่าเสียเวลาเปล่า เขาไม่แคร์ไม่รักกัน
ทำไมนิสัยไม่ดี เป็นคนดื้อรั้น
แค่กลั้นน้ำตายังไม่ไหว ยิ่งพบยิ่งมีแต่ปวดใจ

ควรจำเอาไว้ว่าความรักเราจบแล้ว
อย่าไปพบเจอให้ใจต้องช้ำเลย",rose_sirinthip
ถามมาได้ไง,/music/thailyric/8941,"เธอ ไม่จำเป็นต้องเอ่ย
หากเธอจะไป ก็ไปเงียบๆ ก็พอ
แค่อยากจะขอให้เธอ ไม่ต้องพูดคำไหนต่อ
เพราะไม่ทำให้ดีขึ้นเลย

เธอ ไม่จำเป็นต้องห่วง
ไม่ต้องมาถาม ถ้าไปฉันจะเจ็บไหม
ไม่ต้องมาย้ำซ้ำเติมว่าฉันอยู่ได้หรือไม่
คิดแล้วเหรอที่เธอพูดมา

เจ็บไหม ถามมา ได้ไง
เธอว่ามันเจ็บไหม ที่ทิ้งกันไปไม่ใยดี
เจ็บไหม ก็ลอง ลองเป็นคนถูกทิ้งกันดูสักที
เธอจะเข้าใจ และไม่ถามให้ปวดใจ อย่างที่เป็น

เธอ พูดแค่ไปก็จบ
อยากฟังเท่านี้ ไม่ต้องยืดยาวอะไร
ยิ่งพูดยิ่งช้ำ ยิ่งทำให้คนอย่างฉันแทบตาย
ไม่จำเป็นต้องมาถามเลย

เจ็บไหม ถามมา ได้ไง
เธอว่ามันเจ็บไหม ที่ทิ้งกันไปไม่ใยดี
เจ็บไหม ก็ลอง ลองเป็นคนถูกทิ้งกันดูสักที
เธอจะเข้าใจ และไม่ถามให้ปวดใจ อย่างที่เป็น

เจ็บไหม ถามมา ได้ไง
เธอว่ามันเจ็บไหม ที่ทิ้งกันไปไม่ใยดี
เจ็บไหม ก็ลอง ลองเป็นคนถูกทิ้งกันดูสักที
เธอจะเข้าใจ และไม่ถามให้ปวดใจ อย่างที่เป็น

เธอจะเข้าใจ และไม่ถามให้ปวดใจ อย่างนี้เลย",rose_sirinthip
