song_name,href,lyric,artist
3495,/music/thailyric/19728,"ขอบคุณคำแรงๆ ที่ใช้ดูถูกกัน
มันช่วยผลักฉันก้าวต่อ
ขอบคุณใจที่ทนในวันที่เจ็บจนท้อ
แต่เพราะกายยังมีแรงฝัน

สองขายังอยากไป
ให้ไกลกว่าใครที่คิดจะกีดกัน
ก็อาจจะล้มพลาดพลั้งอีกกี่ครั้ง
ไม่อาจหยุดยั้งถ้าฉันจะยืน แล้ววิ่งต่อ

ทางไกลมันวัดคน คำคนมันวัดใจ
ล้มเองก็ลุกเอง ชีวิตเรากำหนดเอง
ยังมีลมหายใจ ยังไงต้องวัดกัน
มันไม่มีความฝันใด ที่ง่ายดาย

เดินมาไกลเกินกว่าที่ฉันจะยอมแพ้
และแม้มันจะแสนยากเย็น
แล้ววันนึงจนวันที่ทำให้เธอได้เห็น
สิ่งที่ฉันทุ่มลงไป

เพื่อฝัน ที่ฉันยังอยากไป
ให้ไกลกว่าใครที่คิดจะกีดกัน
ก็อาจล้มพลาดพลั้งอีกกี่ครั้ง
ไม่อาจหยุดยั้งถ้าฉันจะยืน แล้ววิ่งต่อ

ทางไกลมันวัดคน คำคนมันวัดใจ
ล้มเองก็ลุกเอง ชีวิตเรากำหนดเอง
ยังมีลมหายใจ ยังไงต้องวัดกัน
มันไม่มีความฝันใด ที่ง่ายดาย

ทางไกลมันวัดคน คำคนมันวัดใจ
ล้มเองก็ลุกเอง ชีวิตเรากำหนดเอง
ยังมีลมหายใจ ยังไงต้องวัดกัน
มันไม่มีความฝันใด ที่ง่ายดาย",sdf
กลับไปไม่เหมือนเดิม,/music/thailyric/21682,"เธออาจจะลืม แต่ฉันจำได้เสมอ
ในวันที่เธอมาทิ้งกันง่ายๆ
เจ็บจนเจียนตาย
ร่ำร้องจนใจสลายให้ตายก็ลืมไม่ลง

ขอบคุณที่เธอกลับมา
และคิดถึงกันในวันที่เขามาทิ้งเธอไป
แต่ที่เธอขอให้เรารักกันเหมือนเดิม
คงทำให้เธอไม่ไหว
.
ต่อให้รักเธออยู่มากสักแค่ไหน
ฉันคงไม่อาจเอาหัวใจกลับไปรักเธอได้อีก
มันเจ็บเกินไปกับแผลที่ฝากไว้
มันเจ็บจนมันระแวงไม่เหลือแล้วความไว้ใจ
กลับไปก็ไม่เหมือนเดิม

ยังไม่เคยลืม ว่ารักเธอมากแค่ไหน
แต่กลับยิ่งจำว่าเคยเสียใจเท่าไร

ขอบคุณที่เธอกลับมา
และคิดถึงกันในวันที่เขามาทิ้งเธอไป
แต่ที่เธอขอให้เรารักกันเหมือนเดิม
คงทำให้เธอไม่ไหว
.
ต่อให้รักเธออยู่มากสักแค่ไหน
ฉันคงไม่อาจเอาหัวใจกลับไปรักเธอได้อีก
มันเจ็บเกินไปกับแผลที่ฝากไว้
มันเจ็บจนมันระแวงไม่เหลือแล้วความไว้ใจ
กลับไปก็ไม่เหมือนเดิม

แต่ที่เธอขอให้เรารักกันเหมือนเดิม
คงทำให้เธอไม่ไหว
.
ต่อให้รักเธออยู่มากสักแค่ไหน
ฉันคงไม่อาจเอาหัวใจกลับไปรักเธอได้อีก
มันเจ็บเกินไปกับแผลที่ฝากไว้
มันเจ็บจนมันระแวงไม่เหลือแล้วความไว้ใจ
กลับไปก็ไม่เหมือนเดิม",sdf
กลับมาได้ไหม,/music/thailyric/14331,"คำว่ารักที่เคยได้ยิน จากนี้ไม่มีอีกแล้ว
อยากกอดเธอไว้เท่าไร
ฉันก็ทำได้เพียง มองเธอเดินลับไป
ทำให้เธอเจ็บมากี่ครั้ง
ผิดหวังเพราะฉันแค่ไหน
คิดได้เมื่อสายเกินไป และไม่รู้ทำยังไง

เมื่อชีวิตไม่มีเธอแล้ว มันเหมือนคนหลงทาง
ไม่มีเรี่ยวแรงหายใจ จากวันนั้นยังเสียใจ
และอยากจะขอร้องเธอสักครั้ง

โปรดกลับมาได้ไหม ฉันยังรอ
จะขอทำทุกอย่าง เพื่อให้กลับมารักกัน
โอกาสแค่เพียงครั้งเดียวจะได้ไหม
ยังรักได้แค่เธอ ที่แล้วมาขอให้เริ่มใหม่
หากเธอพอยังเหลือใจ โปรดเถอะกลับมาได้ไหม
กลับมารักกับฉันดังเดิม

ก่อนเคยรักกันมากแค่ไหน
ภาพนั้นยังจำเก็บไว้
แต่กลับมาเสียเธอไป และไม่รู้ทำยังไง

เมื่อชีวิตไม่มีเธอแล้ว มันเหมือนคนหลงทาง
ไม่มีเรี่ยวแรงหายใจ จากวันนั้นยังเสียใจ
และอยากจะขอร้องเธอสักครั้ง

โปรดกลับมาได้ไหม ฉันยังรอ
จะขอทำทุกอย่าง เพื่อให้กลับมารักกัน
โอกาสแค่เพียงครั้งเดียวจะได้ไหม
ยังรักได้แค่เธอ ที่แล้วมาขอให้เริ่มใหม่
หากเธอพอยังเหลือใจ โปรดเถอะกลับมาได้ไหม
กลับมารักกับฉันดังเดิม

โปรดกลับมาได้ไหม ฉันยังรอ
จะขอทำทุกอย่าง เพื่อให้กลับมารักกัน
โอกาสแค่เพียงครั้งเดียวจะได้ไหม

ยังรักได้แค่เธอ ที่แล้วมาขอให้เริ่มใหม่
หากจะพอยังเหลือใจ
โปรดเถอะกลับมาได้ไหม

โปรดกลับมาได้ไหม ฉันยังรอ
จะขอทำทุกอย่าง เพื่อให้กลับมารักกัน
โอกาสแค่เพียงครั้งเดียวจะได้ไหม
ยังรักได้แค่เธอ ที่แล้วมาขอให้เริ่มใหม่
หากเธอพอยังเหลือใจ โปรดเถอะกลับมาได้ไหม
กลับมารักกับฉันดังเดิม

โปรดกลับมาได้ไหม
กลับมารักกับฉันดังเดิม

ขอโทษจากหัวใจ
กลับมารักกับฉันดังเดิม",sdf
ก่อน..พรุ่งนี้จะมาไม่ถึง,/music/thailyric/13287,"บางสิ่งก็อยู่ในใจลึกๆ
บางอย่างมันตรึกตรองนานเกินไป
ไม่รู้เธอเคยเข้าใจหรือเปล่า
ก็เพราะมันยังไม่ชัดเจน
เบื้องลึกในใจของสองเรา
ไม่กล้าจะเดาทั้งทั้งที่เรานั้นใกล้กัน

ปล่อยวันและคืนนั้นพ้นผ่าน
ปล่อยเอาไว้นานๆ
บางครั้งในใจนึกกลัว

ก่อนวันนี้จะสายไม่เหลือเวลา
ก่อนจะตื่นขึ้นมาไม่เจอพรุ่งนี้อีกเลย
ให้ฉันพูดมันสักครั้ง
หากว่าวันพรุ่งนี้นั้นสายเกินไป
ก็อยากจะบอกรักเธอ เธอคือที่สุดในใจ
วันนี้ขอพูดออกไปฉันกลัวไม่ทัน

ใจหนึ่งเคยอยากจะบอกหลายครั้ง
ใจหนึ่งก็ยังกล้าๆ กลัวๆ
ก็เพราะว่ามัวอ่านใจของเธออยู่
ไม่รู้ว่าเธอคิดเช่นไร
กับสิ่งที่ฉันนั้นคิดอยู่
ต้องพูดให้รู้ถึงแม้อาจต้องเสียใจ

ปล่อยวันและคืนนั้นพ้นผ่าน
ปล่อยเอาไว้นานๆ
บางครั้งในใจนึกกลัว

ก่อนวันนี้จะสายไม่เหลือเวลา
ก่อนจะตื่นขึ้นมาไม่เจอพรุ่งนี้อีกเลย
ให้ฉันพูดมันสักครั้ง
หากว่าวันพรุ่งนี้นั้นสายเกินไป
ก็อยากจะบอกรักเธอ เธอคือที่สุดในใจ
วันนี้ขอพูดออกไปฉันกลัวไม่ทัน

ก่อนวันนี้จะสายไม่เหลือเวลา
ก่อนจะตื่นขึ้นมาไม่เจอพรุ่งนี้อีกเลย
ให้ฉันพูดมันสักครั้ง
หากว่าวันพรุ่งนี้นั้นสายเกินไป
ก็อยากจะบอกรักเธอ เธอคือที่สุดในใจ
วันนี้ขอพูดออกไป

ก่อนวันนี้จะสายไม่เหลือเวลา
ก่อนจะตื่นขึ้นมาไม่เจอพรุ่งนี้อีกเลย
ให้ฉันพูดมันสักครั้ง
หากว่าวันพรุ่งนี้นั้นสายเกินไป
ก็อยากจะบอกรักเธอเธอคือที่สุดในใจ
วันนี้ขอพูดออกไปฉันกลัวไม่ทัน",sdf
เกิดมาเพื่อรักเธอ,/music/thailyric/9814,"ความรักที่ฉันให้เธอ จะวันไหนก็มีแค่เธอ
และเป็นรักจากใจเสมอ ไม่ว่าคนไหนจะพูดยังไง
แต่ฉันก็จะมั่นคง และซื่อตรงกับเธอเรื่อยไป
ไม่ว่าพรุ่งนี้หรือว่าเมื่อไหร่ ก็จะรักแต่เธอเท่านั้น

สิ่งใดผันและหมุนวนเปลี่ยนไป แต่ขอให้เธอได้เข้าใจ
จิตใจฉันไม่คิดจะเปลี่ยนไป ขอให้มั่นใจ

คนๆ นี้เกิดมาเพื่อจะรักเธอ
เกิดมาเพื่อเป็นของเธอ
นั้นคือสิ่งที่ฟ้านั้นตั้งใจ
คนๆ นี้ไม่ว่าอีกนานเท่าไหร่
จะมีแต่เธอเรื่อยไป
ตราบวันนี้จนถึงวันสุดท้าย ฉันสัญญา

ความรักของเราสองคน ก็เป็นเรื่องของเราสองคน
อย่าไปสนไปฟังเหตุผล ไม่ว่าคนไหนจะพูดยังไง
แค่ขอให้เรารักกัน เธอมีฉันอยู่กันเรื่อยไป
ไม่ว่าพรุ่งนี้จะเป็นอย่างไร ก็จะรักแต่เธอเท่านั้น

สิ่งใดผันและหมุนวนเปลี่ยนไป แต่ขอให้เธอได้เข้าใจ
จิตใจฉันไม่คิดจะเปลี่ยนไป ขอให้มั่นใจ

คนๆ นี้เกิดมาเพื่อจะรักเธอ
เกิดมาเพื่อเป็นของเธอ
นั้นคือสิ่งที่ฟ้านั้นตั้งใจ
คนๆ นี้ไม่ว่าอีกนานเท่าไหร่
จะมีแต่เธอเรื่อยไป
ตราบวันนี้จนถึงวันสุดท้าย ฉันสัญญา

คนๆ นี้เกิดมาเพื่อจะรักเธอ
เกิดมาเพื่อเป็นของเธอ
นั้นคือสิ่งที่ฟ้านั้นตั้งใจ
คนๆ นี้ไม่ว่าอีกนานเท่าไหร่
จะมีแต่เธอเรื่อยไป
ตราบวันนี้จนถึงวันสุดท้าย ฉันสัญญา

คนๆ นี้เกิดมาเพื่อจะรักเธอ
เกิดมาเพื่อเป็นของเธอ
นั้นคือสิ่งที่ฟ้านั้นตั้งใจ
คนๆ นี้ไม่ว่าอีกนานเท่าไหร่
จะมีแต่เธอเรื่อยไป
ตราบวันนี้จนถึงวันสุดท้าย
ฉันสัญญา
ฉันสัญญา",sdf
เจ็บแต่เก็บอาการ,/music/thailyric/20350,"เกือบหลุดปากพูดไป เมื่อมีใครถาม
ว่ารู้สึกเช่นไร ว่าฉันยังไหวอยู่หรือเปล่า
กับการที่เธอทิ้งไป ฉันไม่ใส่ใจอะไรทั้งนั้น
มันไม่มีความสำคัญ คำพูดเหล่านั้นฉันแกล้งตอบ

เธอเลือกทางเดินไม่ผิด
เธอนั้นมีสิทธิ์ฉันเข้าใจ
เคารพการตัดสินใจจากเธอ
และมันเป็นความจริงที่เจ็บช้ำ

อาจดูเหมือนว่าฉันไม่เป็นไร
อาจจะเหมือนว่าฉันนั้นทำใจได้แล้ว
เมื่อไม่มีเธอแล้วก็อยู่ไหว
น้ำตาที่เลือนหายของฉัน ซึ่งไม่มีใครได้เห็น
กี่หยดหยาดให้มันไหลกระเซ็น อยู่แค่ภายในหัวใจ

ก่อนเคยรักมากเท่าไร ในวันนี้ก็ยังรักหมดใจ
ยังเจ็บเหมือนเป็นแผลใหม่
แต่ต้องเก็บอาการเอาไว้ ปล่อยให้เธอได้ไปดี

ร่องรอยความเสียใจ ฉันไม่ให้ใครรู้
ผ่านไปนานเท่าไร ความหวั่นไหวยังคงอยู่
หลับก็ยังเสียใจ ยังคงฝันร้าย
ตื่นขึ้นมาเมื่อไร ภาพติดตายังคงอยู่

เธอเลือกทางเดินไม่ผิด
เธอนั้นมีสิทธิ์ฉันเข้าใจ
เคารพการตัดสินใจจากเธอ
และมันเป็นความจริงที่เจ็บช้ำ

อาจดูเหมือนว่าฉันไม่เป็นไร
อาจจะเหมือนว่าฉันนั้นทำใจได้แล้ว
เมื่อไม่มีเธอแล้วก็อยู่ไหว
น้ำตาที่เลือนหายของฉัน ซึ่งไม่มีใครได้เห็น
กี่หยดหยาดให้มันไหลกระเซ็น อยู่แค่ภายในหัวใจ

ก่อนเคยรักมากเท่าไร ในวันนี้ก็ยังรักหมดใจ
ยังเจ็บเหมือนเป็นแผลใหม่
แต่ต้องเก็บอาการเอาไว้ ปล่อยให้เธอได้ไปดี

อาจดูเหมือนว่าฉันไม่เป็นไร
อาจจะเหมือนว่าฉันนั้นทำใจได้แล้ว
เมื่อไม่มีเธอแล้วก็อยู่ไหว
น้ำตาที่เลือนหายของฉัน ซึ่งไม่มีใครได้เห็น
กี่หยดหยาดให้มันไหลกระเซ็น อยู่แค่ภายในหัวใจ

ก่อนเคยรักมากเท่าไร ในวันนี้ก็ยังรักหมดใจ
ยังเจ็บเหมือนเป็นแผลใหม่
แต่ต้องเก็บอาการเอาไว้ ปล่อยให้เธอได้ไปดี",sdf
เจ็บให้สุดหยุดได้เอง,/music/thailyric/21268,"เธอบอกกับฉัน ว่าเธอรักฉันจริง
และจะไม่ทำให้ฉันต้องเสียใจ
ฉันก็ยังหวังว่าเธอจะไม่เป็นเหมือนใคร
ที่เข้ามาทำให้ฉันต้อง

ทุกข์ทรมาน
ต้องเจอกับความปวดร้าวเหมือนคนที่ผ่านมา
แต่เธอก็ไม่ต่าง

เจ็บให้จนสุดแล้วมันก็คงหยุดได้เอง
ให้เธอทำร้ายจนไม่ให้เหลือเยื่อใยต่อกัน
ให้ไหลจนหมดไม่ให้มันเหลือสักหยดน้ำตา
มันเกินพอแล้วกับคำว่ารักปลอมๆ ของเธอ

ยิ่งเจอยิ่งช้ำ ยิ่งช้ำก็ยิ่งชิน
ต่อจากวันนี้ไม่มี คำว่าเสียใจ
ฉันก็เคยหวัง ว่าเธอนั้นจะเปลี่ยนได้ใหม่
แต่ก็เธอทำให้ฉันต้อง

ทุกข์ทรมาน
ต้องเจอกับความปวดร้าวเหมือนคนที่ผ่านมา
แต่เธอก็ไม่ต่าง

เจ็บให้จนสุดแล้วมันก็คงหยุดได้เอง
ให้เธอทำร้ายจนไม่ให้เหลือเยื่อใยต่อกัน
ให้ไหลจนหมดไม่ให้มันเหลือสักหยดน้ำตา
มันเกินพอแล้วกับคำว่ารักปลอมๆ ของเธอ

ทุกข์ทรมาน
ต้องเจอกับความปวดร้าวเหมือนคนที่ผ่านมา
แต่เธอก็ไม่ต่าง

เจ็บให้จนสุดแล้วมันก็คงหยุดได้เอง
ให้เธอทำร้ายจนไม่ให้เหลือเยื่อใยต่อกัน
ให้ไหลจนหมดไม่ให้มันเหลือสักหยดน้ำตา
มันเกินพอแล้วกับคำว่ารักปลอมๆ ของเธอ

เจ็บให้จนสุดแล้วมันก็คงหยุดได้เอง
ให้เธอทำร้ายจนไม่ให้เหลือเยื่อใยต่อกัน
ให้ไหลจนหมดไม่ให้มันเหลือสักหยดน้ำตา
มันเกินพอแล้วกับคำว่ารักปลอมๆ ของเธอ",sdf
ทำไมไม่คิดดีดี,/music/thailyric/10181,"ขอบคุณที่เธอกลับมา
แต่เหมือนทุกอย่างจะช้าเกินไปในวันนี้
แม้ความรักเรายังอยู่ และความสัมพันธ์ยังอยู่
แต่ฉันก็มีเขาอยู่ข้างกายทั้งคน

ขอบคุณที่เธอไม่เปลี่ยน
แต่เมื่อทุกอย่าง มันหมุนวนเวียนและแปรผัน
เธอทิ้งฉันเองไปก่อน ไม่ฟังแม้คำอ้อนวอน
วันนั้นยังสั่งยังสอนให้ฉันนั้นลืมเธอจากใจ

ไม่อยากจะรู้เหตุผลที่เธอกลับมา
เพราะต่อให้รู้ฉันเองก็คงจะไม่กล้า
ที่จะหักหลังเขาคนใหม่ คนที่ไม่เคย ทำฉันเสียใจ
คงรับน้ำใจเธอไม่ได้

ไม่ใช่ไม่รัก แต่อยากบอกว่าเธอช้าไป
ก็ในวันนี้ ฉันเองฝากวางหัวใจ
ให้ใครคนหนึ่งที่เขามองเห็น
ว่าใจฉันมีความหมาย
ในวันที่เธอทิ้งขว้างฉันไป
ทำไมไม่คิดดีๆ

จากวันที่เธอบอกลา
ก็เหมือนคำสั่งบนฟ้าลงมาให้หมดหวัง
แต่ลมหายใจยังอยู่ ชีวิตฉันมันยังอยู่
ก็รักใครโดยไม่รู้ว่าเธอจะหวนมาอีกครา

ไม่อยากจะรู้เหตุผลที่เธอกลับมา
เพราะต่อให้รู้ฉันเองก็คงจะไม่กล้า
ที่จะหักหลังเขาคนใหม่
คนที่ไม่เคย ทำฉันเสียใจ
คงรับน้ำใจเธอไม่ได้

ไม่ใช่ไม่รัก แต่อยากบอกว่าเธอช้าไป
ก็ในวันนี้ฉันเองฝากวางหัวใจ
ให้ใครคนหนึ่งที่เขามองเห็น
ว่าใจฉันมีความหมาย
ในวันที่เธอทิ้งขว้างฉัน
ทำไมไม่คิดดีๆ

ไม่ใช่ไม่รัก แต่อยากบอกว่าเธอช้าไป
ก็ในวันนี้ฉันเองฝากวางหัวใจ
ให้ใครคนหนึ่งที่เขามองเห็น
ว่าใจฉันมีความหมาย
ในวันที่เธอทิ้งขว้างฉันไป
ทำไมไม่คิดดีๆ",sdf
ยังฝืน,/music/thailyric/22118,"ฝืนยิ้มให้ไปแม้แทบขาดใจ
ต้องฝืนทำเป็นไม่รู้อะไร ก็รู้ทั้งรู้ว่าเธอมีใคร

รักคำตอบเดียวที่ต้องยอมให้เธอทำร้าย
แทบตายต่อให้ใครจะมองว่าโง่งม
ถ้าไม่เจอกับตัวก็คงไม่รู้
เจ็บปวดแค่ไหนก็ลองคิดดู

ก็ไม่มีใครชอบหรอกที่ต้องโดนหักหลัง
ปล่อยให้แผลมันลามเรื้อรังจนอ่อนล้าลงทุกที
ก็ไม่มีใครชอบหรอก ที่ต้องทำร้ายตัวเองอย่างนี้
ก็เพราะรักคำเดียวที่ฉันมี ทำให้กลายเป็นคนโง่

รักที่ให้ไปทุ่มทั้งจิตใจ ความรักที่มันช่างเสียเวลา
สุดท้ายต้องแลกมาด้วยน้ำตา

รักคำตอบเดียวที่ต้องยอมให้เธอทำร้าย
แทบตายต่อให้ใครจะมองว่าโง่งม
ถ้าไม่เจอกับตัวก็คงไม่รู้
เจ็บปวดแค่ไหนก็ลองคิดดู

ก็ไม่มีใครชอบหรอกที่ต้องโดนหักหลัง
ปล่อยให้แผลมันลามเรื้อรังจนอ่อนล้าลงทุกที
ก็ไม่มีใครชอบหรอก ที่ต้องทำร้ายตัวเองอย่างนี้
ก็เพราะรักคำเดียวที่ฉันมี ทำให้กลายเป็นคนโง่

ก็ไม่มีใครชอบหรอกที่ต้องโดนหักหลัง
ปล่อยให้แผลมันลามเรื้อรังจนอ่อนล้าลงทุกที
ก็ไม่มีใครชอบหรอก ที่ต้องทำร้ายตัวเองอย่างนี้
ก็เพราะรักคำเดียวที่ฉันมี ทำให้กลายเป็นคนโง่",sdf
ยินดีที่ได้รัก,/music/thailyric/12738,"เมื่อไม่เหลือใจ
ถูกแล้วที่เธอเลือกเดินไปจากกัน
และโยนความรักของฉันทิ้งไป

บนทางแสนไกล
หากเขาคือคนที่
ทำให้เธอสุขใจมากกว่า
เป็นธรรมดา ที่ฉันต้องไป

ไม่ต้องกังวลอะไรมากมาย
เรื่องราวเหล่านั้น เรื่องเธอกับฉัน
มันยังคงสวยงาม
และมีความหมายกับคนคนนี้

ยินดีที่ได้รัก ได้หวังดี
ได้ใช้ชีวิตร่วมกัน
ได้เคยเป็นคนที่เธอฝัน
แค่นั้นก็ดีเท่าไร
จากกันในวันนี้แม้เสียใจ
แต่รักคือการให้ไป
ต้องเจ็บยังไงจะทนไหว
ปล่อยเธอไปตามหัวใจ
ด้วยความยินดี

ไม่ต้องร่ำลา ความรักของฉัน
จะอยู่กับเธออย่างที่ผ่านมา
ไม่ว่าเวลาผ่านไปเท่าไร
หากเธอเสียใจ จากเขาหรือใคร
ที่ทำให้เธอต้องมีน้ำตา
เธอยังมีฉันคนนี้ทั้งคน

ไม่ต้องกังวลอะไรมากมาย
เรื่องราวเหล่านั้น เรื่องเธอกับฉัน
มันยังคงสวยงาม
และมีความหมายกับคนคนนี้

ยินดีที่ได้รัก ได้หวังดี
ได้ใช้ชีวิตร่วมกัน
ได้เคยเป็นคนที่เธอฝัน
แค่นั้นก็ดีเท่าไร
จากกันในวันนี้แม้เสียใจ
แต่รักคือการให้ไป
ต้องเจ็บยังไงจะทนไหว
ปล่อยเธอไปตามหัวใจ
ด้วยความยินดี

ยินดีที่ได้รัก ได้หวังดี
ได้ใช้ชีวิตร่วมกัน
ได้เคยเป็นคนที่เธอฝัน
แค่นั้นก็ดีเท่าไร
จากกันในวันนี้แม้เสียใจ
แต่รักคือการให้ไป
ต้องเจ็บยังไงจะทนไหว
ปล่อยเธอไปตามหัวใจ
ด้วยความยินดี

ยินดีที่ได้รัก",sdf
