song_name,href,lyric,artist
ใกล้ตัว (Behalf),/music/thailyric/11509,"แน่นอนว่าใจฉันปวดร้าว
ต้องการใครสักคนในตอนนี้
ความจริงที่ฉันเจอเกินจะรับไหว
มองไปทางใดมองไปก็ไม่มีใครเหลือ

สักคนที่เข้ามาคอยเข้าใจ
คนตั้งมากมายแต่ทำไมโดดเดี่ยวขนาดนี้
ไขว่คว้าใครสักคน
ทั้งที่มีคนคนนึง อยู่ข้างกาย

เขายังรออยู่
แม้ว่าเคยผิดพลั้งแค่ไหน
ก็ยังจะพร้อมอภัย
พร้อมเข้ามากอดในวันที่เสียใจ
เขายังคงอยู่
พร้อมจะเดินกับฉันตอนนี้
ยิ่งไปกว่านั้น
คือยังมีกันและกันเหมือนเดิม

จากที่ฉันเคยมองว่าคนใกล้
ตัวหายไป ทำให้ฉันเข้าใจในตอนนี้
ว่าฉันคิดไปเองที่มองว่าไม่มีใครเหลือ
สักคนที่เข้ามาคอยเข้าใจ
คนตั้งมากมาย
และยังโหยหาใครสักคน

เขายังรออยู่
แม้ว่าเคยผิดพลั้งแค่ไหน
ก็ยังจะพร้อมอภัย
พร้อมเข้ามากอดในวันที่เสียใจ
เขายังคงอยู่
พร้อมจะเดินกับฉันตอนนี้
ยิ่งไปกว่านั้น
คือยังมีกันและกันเหมือนเดิม

เขายังรออยู่
แม้ว่าเคยผิดพลั้งแค่ไหน
ก็ยังจะพร้อมอภัย
พร้อมเข้ามากอดในวันที่เสียใจ
เขายังคงอยู่
พร้อมจะเดินกับฉันตอนนี้
ยิ่งไปกว่านั้น
คือยังมีกันและกันเหมือนเดิม",somkiat
ขอวอน 1 (Together I),/music/thailyric/11611,"ขอใครสักคนให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ
ขอวอนแค่ใครให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ
ให้ฉันรักให้ฉันหลงให้ฉันได้เจอ

ขอวอนดาวที่คอยส่อง
ลมที่พัดโชยมาพาให้ฉันได้ยิน
ว่าเสียงเพลงที่หมู่นกได้กล่อมเกลา
คืนที่ช่างพร่างพราว
อย่าจากไปโดยพลัน

อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน
ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้
ได้ร่วมสุขสักที สักครั้งหนึ่ง

ขอใครสักคนให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ
ขอวอนแค่ใครให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ

ผืนทรายยามนภาส่อง
หยาดละอองพริ้งเพรามันช่างน่าเอ็นดู
หากแสงดาวสกาวเช่นดังดอกไม้
เธอที่ช่างพร่างพราวอย่าจากไปโดยพลัน

อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน
ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้
ได้ร่วมสุขสักที สักครั้งหนึ่ง

ขอใครสักคนให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ
ขอวอนแค่ใครให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ

ขอใครสักคนให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ
ขอวอนแค่ใครให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ

ขอใครสักคนให้คิดถึง
ให้ฉันรักให้ฉันหลงให้ฉันพบเจอ
ขอวอนแค่ใครให้คิดถึง
ให้ฉันได้รัก ให้ฉันได้หลง
ให้ฉันได้พบเจอ

ให้ฉันได้รัก ให้ฉันได้หลง
ให้ฉันได้เจอ",somkiat
ขอวอน 2 (Together II),/music/thailyric/11330,"ขอวอนดาวที่คอยส่อง
ลมที่พัดโชยมาพาให้ฉันได้ยิน
ว่าเสียงเพลงที่หมู่นกได้กล่อมเกลา
คืนที่ช่างพร่างพราวอย่าจากไปโดยพลัน

อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน
ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้ ได้ร่วมสุขซักที

ขอบคุณโลกนี้ ที่ส่งคนในฝันให้กับฉัน
ขอบคุณอีกครั้ง ที่ทำให้พบรักที่ยิ่งใหญ่
ฉันไม่เคยพบเจอใคร ที่เข้ามาทั้งหัวใจ
เธอคือคนคนนั้น ที่อยู่คู่เคียงข้างกัน
แค่มีเธอที่เข้าใจ ฉันไม่เคยต้องการใคร
แค่เธอเท่านั้น

ผืนทรายยามนภาส่อง
หยาดละอองพริ้งเพรามันช่างน่าเอ็นดู
หากแสงดาวสกาวเหมือนดังดอกไม้
เธอที่ช่างพร่างพราวอย่าจากไปโดยพลัน

อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน
ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้ ได้ร่วมสุขซักที

ขอบคุณโลกนี้ ที่ส่งคนในฝันให้กับฉัน
ขอบคุณอีกครั้ง ที่ทำให้พบรักที่ยิ่งใหญ่
ฉันไม่เคยพบเจอใคร ที่เข้ามาทั้งหัวใจ
เธอคือคนคนนั้น ที่อยู่คู่เคียงข้างกัน
แค่มีเธอที่เข้าใจ ฉันไม่เคยต้องการใคร
แค่เธอเท่านั้น

ขอบคุณโลกนี้ ที่ส่งคนในฝันให้กับฉัน
ขอบคุณอีกครั้ง ที่ทำให้พบรักที่ยิ่งใหญ่
ฉันไม่เคยพบเจอใคร ที่เข้ามาทั้งหัวใจ
เธอคือคนคนนั้น ที่อยู่คู่เคียงข้างกัน
แค่มีเธอที่เข้าใจ ฉันไม่เคยต้องการใคร
แค่เธอเท่านั้น",somkiat
คิดถึง (Regards),/music/thailyric/11451,"ภายในใจ
แม้อยากจะบอกว่ารักเพียงใด
เธอคงไม่รู้
และฉันไม่อาจจะกอดเธอไว้
ให้เธอรู้สึก

ความจริงที่เรานั้นผ่านมามากมาย
ทำให้ฉันคิดถึงทุกวันที่อยู่กันด้วย
รัก หากจะขอเพียงช่วงหนึ่ง
กลับไปเหมือนเดิมทุกอย่าง

โปรดตื่นมาแล้วยิ้มอีกครั้ง
อยากจะรั้งให้เธออยู่
แต่ก็รู้ว่าเธอต้องจาก

แค่ทนไม่ไหว
ถ้าหากว่าคนที่รักหายไป
เพราะฉันไม่รู้
ว่าวันพรุ่งนี้จะเป็นยังไง
เมื่อเธอไม่อยู่

ความจริงที่เรานั้นผ่านมามากมาย
ทำให้ฉันคิดถึงทุกวันที่อยู่กันด้วย
รัก หากจะขอเพียงช่วงหนึ่ง
กลับไปเหมือนเดิมทุกอย่าง

โปรดตื่นมาแล้วยิ้มอีกครั้ง
อยากจะรั้งให้เธออยู่
แต่ก็รู้ว่าเธอต้องจาก

หากจะขอเพียงช่วงหนึ่ง
กลับไปเหมือนเดิมทุกอย่าง

โปรดตื่นมาแล้วยิ้มอีกครั้ง
อยากจะรั้งให้เธออยู่
แต่ก็รู้ว่าเธอต้องจาก",somkiat
โคตรดี (BFF),/music/thailyric/11086,"แล้วใครจะเข้าใจได้เท่าฉันของเธอ
เพราะเราเป็นเพื่อนกันมานานแล้วเธอ ฮู วู เพื่อน
เพื่อนมีให้ระบายอย่าเก็บมันไว้เลย
ช่างมันไปเที่ยวกันปลดปล่อยมันบ้างเธอ
ฮู วู เพื่อน ฮู วู เพื่อน

มีแต่เรา มีแต่เรา มีแค่เรา โคตรจะดี
เพียงแค่เธอ มากับฉัน ไปด้วยกัน โคตรจะดี

แค่มีกันข้างกายอะไรก็ไม่กลัว
เชื่อใจไม่ทิ้งกันกอดคอกันก้าวไป
ฮู วู เพื่อน ฮู วู เพื่อน

มีแต่เรา มีแต่เรา มีแค่เรา โคตรจะดี
เพียงแค่เธอ มากับฉัน ไปด้วยกัน โคตรจะดี

มีแต่เรา มีแต่เรา มีแค่เรา โคตรจะดี
เป็นด้วยกัน ตายด้วยกัน นี่แหละมันโคตรจะดี",somkiat
เจอกัน,/music/thailyric/11423,"ที่เป็นอยู่พอจะรู้ถึงความรู้สึก
ที่กลัวอยู่ว่าใครเขาจะมองยังไง
สิ่งที่ทำอยู่ ทำด้วยรักด้วยความตั้งใจ
ฉันก็เป็นอยู่ ฉันก็กลัวอยู่ ได้แต่ทำต่อไปแค่นั้น

ข้ามผ่านอะไรที่คอยกัดกลืน
ทุกอย่างพวกเรานั้นเองที่รู้
เพราะสุดท้ายใครจะสน ว่าวันที่ดีของคน
ต้องล้มและยืนกี่ครั้ง

อาจจะเนิ่นนานจะไกลเท่าไร
ไม่มีใครรู้ ไม่มีใครรู้
อาจไม่ง่ายดายในวันอย่างนั้น
ต่อให้มีใครที่แดกดันและคอยฉุดไว้
ที่แดกดันและคอยฉุดไว้
ที่แดกดันและคอยฉุดไว้

ข้ามผ่านอะไรที่คอยกัดกลืน
ทุกอย่างพวกเรานั้นเองที่รู้
เพราะสุดท้ายใครจะสน ว่าวันที่ดีของคน
ต้องล้มและยืนกี่ครั้ง

โว๊ะ โอะ โอะ โอะ โอ่ว
ข่มใจหัวเราะมัน

โว๊ะ โอะ โอะ โอะ โอ่ว
ข่มใจหัวเราะมัน

โว๊ะ โอะ โอะ โอะ โอ่ว
โว๊ะ โอะ โอะ โอะ โอ่ว

โว๊ะ โอะ โอะ โอะ โอ่ว
ข่มใจหัวเราะมัน",somkiat
ช่างมัน (Whatever),/music/thailyric/10027,"ทั้งๆ ที่เรา อ่อนแอเสียจนว่างเปล่า
ทั้งๆ ที่เรา อ่อนแอเสียจนหยัดยืนแทบไม่ไหว

ถึงโกรธที่เป็นอย่างนี้อยู่ได้ กี่ครั้งกับเรื่องบ้าๆ อย่างเดิม
อีกกี่ครั้งที่เจอกับคนที่เบลอ
ถึงเกลียดแต่เราก็ยังต้องเจอ และจะเป็นเช่นนี้เสมอ

ถ้าหากว่ามากไป ให้ทิ้งไป
อย่าไปสนถ้อยคำของคนที่ทำให้เรานั้นต้องมา­เจ็บ
แล้วไง ไม่สนใจ อย่าไปเสียเวลาไม่ต้องมาทน
เพราะเราไม่ควรจะแบกรับไว้ ช่างใคร

ทั้งๆ ที่เรา ไม่เคยคิดร้ายใครก่อน
ถึงแม้อย่างนั้น ก็โดนเสียจนเกือบยืนแทบไม่­ไหว

ถึงโกรธที่เป็นอย่างนี้อยู่ได้ กี่ครั้งกับเรื่องบ้าๆ อย่างเดิม
อีกกี่ครั้งที่เจอกับคนที่เบลอ
ถึงเกลียดแต่เราก็ยังต้องเจอ และจะเป็นเช่นนี้เสมอ

ถ้าหากว่ามากไป ให้ทิ้งไป
อย่าไปสนถ้อยคำของคนที่ทำให้เรานั้นต้องมา­เจ็บ
แล้วไง ไม่สนใจ อย่าไปเสียเวลาไม่ต้องมาทน
เพราะเราไม่ควรจะแบกรับไว้ ช่างใคร

ถ้าหากว่ามากไป ให้ทิ้งไป
อย่าไปสนถ้อยคำของคนที่ทำให้เรานั้นต้องมา­เจ็บ
แล้วไง ไม่สนใจ อย่าไปเสียเวลาไม่ต้องมาทน
เพราะเราไม่ควรจะแบกรับไว้ ช่างใคร",somkiat
ทนไว้ (Sweetless),/music/thailyric/10468,"ถึงร่างกายดูแข็งแรง แต่ความเป็นจริงใครรู้ฉันทนไม่ไหว
ฝืนแสดงว่าทนไหว แต่ภายในใจเจ็บลึกเกินใครจะรู้สึก

โวะ โอ โอ โอ โอ ข่มใจหัวเราะมา
โวะ โอ โอ โอ โอ อดทนกลั้นน้ำตา ไม่ไหว

เจ็บที่สุดแต่ฉันคงต้องทนไว้ก่อน
มันเป็นความสุขของเธอ ฉันก็พร้อมจะเข้าใจ
เจ็บที่สุดแต่ฉันคงต้องทนให้ไหว
โบกมือลาส่งยิ้มให้ สุขกับความอ้างว้างต่อไป

ภาพทรงจำที่มีร่วมกัน ยังคงเป็นเงาสะท้อนกันตลอดไป
อยากจะบอกให้รู้ว่าทนไม่ไหว ต้องข่มให้ลึกลงไปไม่ให้ใครรู้

โวะ โอ โอ โอ โอ ข่มใจหัวเราะมา
โวะ โอ โอ โอ โอ อดทนกลั้นน้ำตา ไม่ไหว

เจ็บที่สุดแต่ฉันคงต้องทนไว้ก่อน
มันเป็นความสุขของเธอ ฉันก็พร้อมจะเข้าใจ
เจ็บที่สุดแต่ฉันคงต้องทนให้ไหว
โบกมือลาส่งยิ้มให้ สุขกับความอ้างว้างต่อไป

เจ็บที่สุดแต่ฉันคงต้องทนไว้ก่อน
มันเป็นความสุขของเธอ ฉันก็พร้อมจะเข้าใจ
เจ็บที่สุดแต่ฉันคงต้องทนให้ไหว
โบกมือลาส่งยิ้มให้ สุขกับความอ้างว้างต่อไป",somkiat
นิสัย (Self),/music/thailyric/10597,"เกิดมาได้เจอเพื่อนบ้านติดกัน
เมื่อก่อนนั้นก็ยังอยู่ดีด้วยกัน
ก็ไม่เห็นจะมีอะไรผิดใจไม่มองหน้ากัน

พอถึงเวลาเปลี่ยนคนเปลี่ยนเริ่มจะร้ายใส่
ทำอะไรรบกวนไม่สนใจ
คงต้องทนกับมันกี่ปี อย่างนี้คงไม่ไหว

ไม่ใช่แค่เสียง กลิ่นอ่ะ ดมเข้าไป
เคยเข้าไปขอดีๆ อ่ะ ฟังบ้างไหม
ก็แล้วไงอ่ะ แล้วไงอ่ะ อยากจะลองโดนเองบ้างไหม

อะไรที่ดี ที่คนต้องมี ช่วยทำแค่นี้จะได้ไหม
ให้บอกบ่อยๆ ก็ไม่ไหว

กลับกัน ถ้าฉันทำทั้งหมดอย่างเธอ
ก็เห็นๆ กันว่าเธอจะร้อง และโวย และวาย จะเป็นจะตาย
ซึ้งไหมถ้าต้องโดนอย่างฉัน ซึ้งไหมถ้าต้องเจอะอย่างนั้น
ก็รู้ๆ ดีกันอยู่ว่าความเกรงใจที่เธอนั้นไม่เคยมี
ลองโดนดูสักทีเธอจะไม่ไหว

อะไรที่ดี ที่คนต้องมี ช่วยทำสักทีแค่นี้จะได้ไหม
ให้บอกบ่อยๆ ก็ไม่ไหว

จะโกรธกัน เกลียดกัน กัดกันก็เท่านั้น
ถ้าต่างคนต่างไปก็พอไหว
และสุดท้ายวันนั้นเธอคงไม่เหลือใคร

อะไรที่ดี ที่คนต้องมี ช่วยทำแค่นี้จะได้ไหม
ให้บอกบ่อยๆ ก็ไม่ไหว

กลับกัน ถ้าฉันทำทั้งหมดอย่างเธอ
ก็เห็นๆ กันว่าเธอจะร้อง และโวย และวาย จะเป็นจะตาย
ซึ้งไหมถ้าต้องโดนอย่างฉัน ซึ้งไหมถ้าต้องเจอะอย่างนั้น
ก็รู้ๆ ดีกันอยู่ว่าความเกรงใจที่เธอนั้นไม่เคยมี
ลองโดนดูสักทีเธอจะไม่ไหว

กลับกัน ถ้าฉันทำทั้งหมดอย่างเธอ
ก็เห็นๆ กันว่าเธอจะร้อง และโวย และวาย จะเป็นจะตาย
ซึ้งไหมถ้าต้องโดนอย่างฉัน ซึ้งไหมถ้าต้องเจอะอย่างนั้น
ก็รู้ๆ ดีกันอยู่ว่าความเกรงใจที่เธอนั้นไม่เคยมี
ลองโดนดูสักทีเธอจะไม่ไหว

กลับกัน ถ้าฉันทำทั้งหมดอย่างเธอ
ก็เห็นๆ กันว่าเธอจะร้อง และโวย และวาย จะเป็นจะตาย
ซึ้งไหมถ้าต้องโดนอย่างฉัน ซึ้งไหมถ้าต้องเจอะอย่างนั้น
ก็รู้ๆ ดีกันอยู่ว่าความเกรงใจที่เธอนั้นไม่เคยมี
ลองโดนดูสักทีเธอจะไม่ไหว",somkiat
ใจบงการ,/music/thailyric/15068,"ตื่นแต่เช้าทุกวัน
ที่ๆ เดิมประจำ
ที่เติมความใฝ่ฝัน
ดังว่ามีเธออยู่ข้างกาย
ถึงบางวันจะยากบ้าง
ฝนจะตกหรือร้อนปานใด
ฉันก็เพียรตะกายไป
ก่อนเธอเดินหายไป

ในผู้คนมากมายที่มีเธอข้างใน
เธอยังเปล่งประกายแสง
แรงเสียดเบียดใจฉันผวา

มืดหน้าท่าจะเป็นลม
หัวใจหล่นหายบนทางเท้า
ร้าวข้างในเพราะใครคนหนึ่ง
ซึ่งยึดครองห้องใจของเธอ

รู้ดีว่าเมื่อเธอมองตากัน
ความรักเธอนั้นช่างยิ่งใหญ่เหลือเกิน
แต่รักไม่รู้ข้างในใจมันบงการ
ให้คอยติดตามเฝ้ามองเธอ

ดักรอเธอตั้งนาน
ข่าวลอยมาตามทาง
ว่าเธอเข้าแต่งงาน
ที่บ้านกลางซอย

ถึงทำใจได้ยากบ้าง
ฉันซมซานเข้าบ้านคลานเอา
เขลาเกินกว่าจะไปยินดี
อยากบอกชายคนนี้
แอบรักเธอมาแสนนาน

รู้ดีว่าเมื่อเธอมองตากัน
ความรักเธอนั้นช่างยิ่งใหญ่เหลือเกิน
แต่รักไม่รู้ข้างในใจมันบงการ
ให้คอยติดตามเฝ้ามองเธอ",somkiat
