song_name,href,lyric,artist
ไกลสุดไกล,/music/thailyric/5635,"ไกลสุดไกล คืนที่ฟ้ามีเพียงดวงดาวพร่างพราย
ที่ไกลสุดไกล มีเพียงฉันและเธอเราเคียงข้างกาย
ราวกับฟ้าเป็นใจ ให้เราได้รักกัน

ก็มีแต่เราเพียงเท่านี้ที่ใจเราคงต้องลา
จะมีแต่เราในคืนนี้ที่มันกำลังข้ามผ่าน
อยากให้ทุกนาที หยุดอยู่นานแสนนาน

แล้วฉันเพิ่งตื่นขึ้นมา ได้พบความจริงที่เจอ
ความจริงที่โหดร้ายเกินจะทน
ว่าฉันมีเธอแค่เพียงความฝัน

ยังคงคิดถึงวันที่มีเธออยู่ 
ยังจำได้ชัดถึงความรู้สึก
วันที่มีแค่น้ำตา มันยังเอ่อ
ยังคิดถึงวันนั้น วันที่มีเธอกับฉัน

ทุกครั้งที่ตื่นขึ้นมารู้ไหมมันทรมาน
ความจริงที่โหดร้ายเกินจะทน
เหมือนไม่เคยมีเธออยู่ตรงนี้

ยังคงคิดถึงวันที่มีเธออยู่
ยังจำได้ชัดถึงความรู้สึก
วันที่มีแค่น้ำตา มันยังเอ่อ
ยังคิดถึงวันนั้น

ไม่มีแล้วคืนวันที่มีเธออยู่
เวลาที่เหลือคือความว่างเปล่า
ใจรู้ไหมว่าหัวใจ
มันต้องเจ็บ ถึงจนวันไหน

ฉันรู้ว่าไม่มีวัน
รักเราจะเป็นเหมือนเดิม
ทุกค่ำคืนมันยังคงไม่หาย

ยังคงคิดถึงวันที่มีเธออยู่
ยังจำได้ชัดถึงความรู้สึก
วันที่มีแค่น้ำตา มันยังเอ่อ
ยังคิดถึงวันนั้น

ไม่มีแล้วคืนวันที่มีเธออยู่
เวลาที่เหลือคือความว่างเปล่า
มันช่างไร้ค่า สองเราคงต้องจบ
ไม่มีวันกลับมา

เหลือเพียงความเจ็บปวดทุกครั้งที่ลืมตา",sweet_mullet
ตอบ,/music/thailyric/5637,"หากว่าเธอกำลังมองฉันอยู่ แต่เธอยังไม่แน่ใจ 
สิ่งที่เธอได้เห็นอาจทำให้เธอไม่มั่นใจ
หากว่าเธอต้องการใครซักคน ที่ดูแลคอยห่วงใย 
ความสงสัยที่มีให้เก็บไว้ ลองถามฉันด้วยใจของเธอ

ฉันจะตอบทุกคำถาม ฉันจะมอบแต่คำหวาน 
หากเธอต้องการความรักที่ดีคนนี้นั้นมีให้เธอ
ฉันจะตอบด้วยใจฉัน ตอบว่าเธอช่างสำคัญ 
ฉันขอมอบหัวใจฉัน ไว้ที่เธอตลอดไป

หากสิ่งไหนที่เธอไม่เข้าใจ ขอให้ฉันได้อธิบาย 
หวังว่ามันคงยังไม่สายที่จะบอกเธอ
อยากให้เธอเปิดใจมองฉันหน่อย อาจจะพบสิ่งที่เฝ้าคอย 
คนๆนี้จะทำให้เธอเห็น สิ่งที่ฉันเป็นคือรักเธอ

ฉันจะตอบทุกคำถาม ฉันจะมอบแต่คำหวาน 
หากเธอต้องการความรักที่ดีคนนี้นั้นมีให้เธอ
ฉันจะตอบด้วยใจฉัน ตอบว่าเธอช่างสำคัญ 
ฉันขอมอบหัวใจฉัน ไว้ที่เธอตลอดไป

ฉันจะตอบทุกคำถาม ฉันจะมอบแต่คำหวาน 
หากเธอต้องการความรักที่ดีคนนี้นั้นมีให้เธอ
ฉันจะตอบด้วยใจฉัน ตอบว่าเธอช่างสำคัญ 
ฉันขอมอบหัวใจฉัน ไว้ที่เธอตลอดไป

ฉันจะตอบทุกคำถาม ฉันจะมอบแต่คำหวาน 
หากเธอต้องการความรักที่ดีคนนี้นั้นมีให้เธอ
ฉันจะตอบด้วยใจฉัน ตอบว่าเธอช่างสำคัญ 
ฉันขอมอบหัวใจฉัน ไว้ที่เธอตลอดไป",sweet_mullet
เพลงของคนโง่,/music/thailyric/5639,"อยู่ในห้องที่ว่างเปล่า ในใจของฉันยังไม่ลืม
ยังคงนึกถึงวันคืนที่เธอนั้นเดินจากไป
เปิดเพลงนี้ที่เมื่อก่อน ตอนที่สองเรายังห่วงใย
จนความใว้ใจฉันเปลี่ยนไม่เหมือนอย่างเคย

คืนนี้คงมีแต่เสียงเพลงดังอยู่ในใจ
คืนไหนก็มีแต่ภาพเธอวนเวียนไม่ห่าง

เปิดเพลงรักในวันเก่า ให้มันเศร้าให้มันเจ็บ
ตอกและย้ำฟังอีกซ้ำๆให้เจ็บกว่านี้
ฟังให้ทิ่มแทงเรื่องเก่า ให้ตัวฉันรู้สึกเสียที
(คนโง่ที่ทอดทิ้งเธอ)

ได้แต่ขำทั้งน้ำตา เจ็บปวดจนล้าไปทั้งหัวใจ
ยิ่งฟังเพลงเท่าไหร่ ห้ามให้คิดถึงเธอไม่ไหว
ก็เป็นเพราะฉันนั้นทำผิด และเมื่อรู้เมื่อตอนที่สายไป
ว่าได้ทำร้ายใคร คนหนึ่งงที่รักแต่ฉัน

คืนนี้คงมีแต่เสียงเพลงดังอยู่ในใจ
คืนไหนก็มีแต่ภาพเธอวนเวียนไม่ห่าง

เปิดเพลงรักในวันเก่า ให้มันเศร้าให้มันเจ็บ
ตอกและย้ำฟังอีกซ้ำๆให้เจ็บกว่านี้
ฟังให้ทิ่มแทงเรื่องเก่า ให้ตัวฉันรู้สึกเสียที
(คนโง่ที่ทอดทิ้งเธอ)

ทรมาน เมื่อเธอได้ร้างรา
โปรดกลับมาซะทีเถอะ มารักกันอย่างเก่า

มันจะตาย เมื่อฟังเพลงของเรา
อีกครั้ง เสียงเพลงช่างปวดร้าว

เปิดเพลงรักในวันเก่า ให้มันเศร้าให้มันเจ็บ
ตอกและย้ำฟังอีกซ้ำๆให้เจ็บกว่านี้
ฟังให้ทิ่มแทงเรื่องเก่า ให้ตัวฉันรู้สึกเสียที
(คนโง่ที่ทอดทิ้งเธอ)",sweet_mullet
เพื่อไม่ให้เป็นการเสียเวลา,/music/thailyric/5640,"เหลือบดูเข็มนาที ที่ผ่านไปทุกนาที
ที่อยู่ตรงนี้ ก็มีแค่สองเราเท่านั้น
เหลือบมองสายตาเธอ
เธอคอยหลบสายตากัน

เนิ่นนานแค่ไหนที่เธอไม่คิดพูดจา
เวลาที่เธอลังเลในใจ
ยิ่งนานยิ่งทำให้ใจอึดอัด
จะเงียบนานๆทำไมไม่ว่ามา
ท่าทีที่เธอไม่เป็นคนเดิม
ที่จริงก็คอยเตรียมใจมานาน
คำตอบมันฟ้องในสายตา

เกรงใจอะไรนัก ถ้าเธอไม่เคยรัก
ยืดเยื้อชักช้าทำไมกันเธอเหนื่อยแทน
แค่บอกว่าไม่รัก แค่คำว่าไม่รัก
พูดนิดเดียวก็จบ แค่นั้นฉันเข้าใจ

อย่ามาเสียเวลา นานไปกับฉันคนเก่า
อย่ามาถนอมน้ำใจเยิ่นเย้อกันวันนี้
อย่าให้เสียเวลา เริ่มต้นชีวิตวันใหม่
ถ้าหากเธอพบสักคนที่คิดว่าดี

เวลาที่เธอลังเลในใจ
ยิ่งนานยิ่งทำให้ใจอึดอัด
จะเงียบนานๆ ทำไมไม่ว่ามา
ท่าทีที่เธอไม่เป็นคนเดิม
ที่จริงก็คอยเตรียมใจมานาน
คำตอบมันฟ้องในสายตา

เกรงใจอะไรนัก ถ้าเธอไม่เคยรัก
ยืดเยื้อชักช้าทำไมกันเธอ เหนื่อยแทน
แค่บอกว่าไม่รัก แค่คำว่าไม่รัก
พูดนิดเดียวก็จบ แค่นั้น

เกรงใจอะไรนัก ถ้าเธอไม่เคยรัก
ยืดเยื้อชักช้าทำไมกันเธอ เหนื่อยแทน
แค่บอกว่าไม่รัก แค่คำว่าไม่รัก
พูดนิดเดียวก็จบ แค่นั้น

เกรงใจอะไรนัก ถ้าเธอไม่เคยรัก
ยืดเยื้อชักช้าทำไมกันเธอ เหนื่อยแทน
แค่บอกว่าไม่รัก แค่คำว่าไม่รัก
พูดนิดเดียวก็จบ แค่นั้น ฉันเข้าใจ",sweet_mullet
หลับข้ามวัน,/music/thailyric/5642,"ดีวันนี้มันเป็นวันเกิดเธอ
ก็ได้แต่นึกภาพเธอที่อยู่กับเขา
แล้วฉันก็ปวดใจเขาเคียงข้างเธอ
ไม่ใช่ที่จะอยู่ตรงนั้นเหมือนก่อน

อยากหนีความจริงที่มีเธออยู่
จะทิ้งตัวเองหลบอยู่ในฝัน
ให้เขาและเธอได้รักกัน
ฉันรับไม่ไหว
ในฝันที่มันไม่มีเธออยู่
อย่างน้อยมันก็ทำให้ฉันสดใส
เมื่อเรื่องจริงฉันไม่เหลือใคร
อยากหลับข้ามพ้นวันใหม่

ไม่ลืมตา แล้วก็ไม่อยากตื่นเจอใคร
อยากจะซุกหัวใจไว้ให้มันอยู่อย่างนั้น
ขอลืมสักวัน เพราะมันดีกว่า
ต้องเจอหน้าอยู่กับสิ่งที่ทำร้ายใจ

อยากหนีความจริงที่มีเธออยู่
จะทิ้งตัวเองหลบอยู่ในฝัน
ให้เขาและเธอได้รักกัน
ฉันรับไม่ไหว
ในฝันที่มันไม่มีเธออยู่
อย่างน้อยมันก็ทำให้ฉันสดใส
เมื่อเรื่องจริงฉันไม่เหลือใคร
อยากหลับข้ามพ้นวันใหม่

เพราะเรื่องจริงมันเจ็บเกินทน
อยากหลับไปนานนาน

อยากหนีความจริงที่มีเธออยู่
จะทิ้งตัวเองหลบอยู่ในฝัน
ให้เขาและเธอได้รักกัน
ฉันรับไม่ไหว
ในฝันที่มันไม่มีเธออยู่
อย่างน้อยมันก็ทำให้ฉันสดใส
เมื่อเรื่องจริงฉันไม่เหลือใคร
อยากหลับข้ามพ้นวันใหม่

อยากหนีความจริงที่มีเธออยู่
จะทิ้งตัวเองหลบอยู่ในฝัน
ให้เขาและเธอได้รักกัน
ฉันรับไม่ไหว
ในฝันที่มันไม่มีเธออยู่
อย่างน้อยมันก็สดใส
เมื่อเรื่องจริงฉันไม่เหลือใคร
อยากหลับข้ามพ้นวันใหม่",sweet_mullet
คืนนี้อยากได้กี่ครั้ง,/music/thailyric/15283,"ไม่ต้องคิดอะไรทั้งนั้น
เธอต้องรู้อะไรที่สำคัญกว่า
เมื่อเพลงสุดท้ายดังขึ้นมาแล้ว
ฉันไม่รู้ว่าวันพรุ่งนี้
เธอต้องพบกับใครที่เขารอเธอ
แต่ตอนนี้ฉันคงไม่รอแล้ว

เพราะเธอ เธอคือสิ่งที่สวยงาม
ที่พรุ่งนี้ฉันอาจ จะไม่มีวันได้เจอแล้ว
ฝันอยู่ หรือฉันอาจจะฝันอยู่
ก็ยังไม่รู้ แต่จะถามเธอ


บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม

ไม่เรียกร้องอะไรทั้งนั้น
ฉันแค่ขอให้เธอเป็นเพื่อนคุยก่อน
Just wanna be with you all night
ถึงไม่ได้มีคืนที่สอง ฉันก็พร้อมจะทำคืนนี้ของเรา
ให้มันสำคัญ ที่สุดเลย

เพราะเธอ เธอคือสิ่งที่สวยงาม
ที่พรุ่งนี้ฉันอาจ จะไม่มีวันได้เจอแล้ว
ฝันอยู่ หรือฉันอาจจะฝันอยู่
ก็ยังไม่รู้ แต่จะถามเธอ

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม

บอกมาคืนนี้ อยากได้กี่ครั้ง
ถ้าฉันบอกรักเธอ อยากฟังกี่ครั้ง
ก่อนหมดคืนนี้ อยากได้กี่ครั้ง
ฉันจะบอกรักเธอ ต่อให้เป็นร้อยล้านครั้งก็ยอม",sweet_mullet
คมมีด,/music/thailyric/5636,"พอแล้วเจ็บกี่ครั้งเธอกลับมา
เมื่อเธอมีปัญหากับเขาอีกใช่ไหม
ทั้งที่เธอก็รู้ว่าฉันนั้นคนมีใจ
แต่ที่ทำเหมือนเห็นฉันเป็นของตาย

ก่อนเคยกระหน่ำแทงกลางหัวใจ
มันยังเป็นบาดแผลไม่หายจนวันนี้
แล้วอะไรที่ทำให้เธอต้องมาคืนดี
ไม่เข้าใจอะไรที่เธอต้องการ

รอยยิ้มเธอ ที่ซ่อนอะไรไว้อยู่ข้างหลัง
(มีดคอยทิ่มแทง)
รอยยิ้มเธอ ที่ทำให้ใครต้องปวดร้าว

มีดของเธอนั้นหักคาหัวใจฉัน
มันยังบาดลึกลงไปอยู่ทุกวัน
มันช่างทรมาน หากว่าเธอต้องการ
จะทิ่มแทงให้นานแค่ไหน

เลือดที่บาดแผลห้ามไปยังรินไหล
เธอเข้ามาซ้ำให้เจ็บแทบขาดใจ
จะต้องทำยังไง จะต้องควักหัวใจ
หรือให้ฉันตายอยู่ตรงนี้

คนล้มกลับเหยียบซ้ำย่ำเอาไว้
ไม่ให้ใครได้ฟื้นยืนลุกขึ้นอีกครั้ง
ฉันก็ยอมให้เธอทำร้ายหัวใจจนพัง
แต่ตอนนี้พอทีอย่าเริ่มได้ไหม

รอยยิ้มเธอ ที่ซ่อนอะไรไว้อยู่ข้างหลัง
(มีดคอยทิ่มแทง)
รอยยิ้มเธอ ที่ทำให้ใครต้องปวดร้าว

มีดของเธอนั้นหักคาหัวใจฉัน
มันยังบาดลึกลงไปอยู่ทุกวัน
มันช่างทรมาน หากว่าเธอต้องการ
จะทิ่มแทงให้นานแค่ไหน

เลือดที่บาดแผลห้ามไปยังรินไหล
เธอเข้ามาซ้ำให้เจ็บแทบขาดใจ
จะต้องทำยังไง จะต้องควักหัวใจ
หรือให้ฉันตายอยู่ตรงนี้",sweet_mullet
พลังแสงอาทิตย์,/music/thailyric/5638,"เห็นเธอมีน้ำตาด้วยความเจ็บช้ำ
เจ็บกับสิ่งที่เธอถูกเขาทำร้าย
เธอยังคงนั่งร้องไห้
จะปิดตัวเองอยู่ในความมืดมน

ฉันคงจะไม่ทนเห็นเธออย่างนี้
อยากจะดึงให้พ้นจากความมืดมิด
ออกไปดูดวงอาทิตย์
ให้รู้ว่าชีวิตยังต้องก้าวไป

ลองให้ดวงอาทิตย์สาดแสงส่อง
อยากให้เธอได้เห็นแดดร้อนแรง
ไออุ่นทำให้เธอตาสว่าง

มีแดดในยามเช้าให้สัมผัส
เราจะพากันวิ่งผ่านด้วยกัน
จับมือฉันโอบกอดไว้ให้นาน นานเท่านาน

ตื่นขึ้นมาแล้วเธอยังมีพรุ่งนี้
ยังมีวันดีๆ รออยู่ตรงนั้น
จ้องมองไปที่แสงตะวัน
จะเห็นประกายที่สวยงาม

อย่าคิดว่าเธอเดินอยู่ลำพัง
อยากให้เธอรู้ว่ายังมีฉัน
อย่าเพิ่งยอมแพ้
อย่าเพิ่งท้อแท้ อย่าเพิ่งร้องไห้

ลองให้ดวงอาทิตย์สาดแสงส่อง
อยากให้เธอได้เห็นแดดร้อนแรง
ไออุ่นทำให้เธอตาสว่าง

มีแดดในยามเช้าให้สัมผัส
เราจะพากันวิ่งผ่านด้วยกัน
จับมือฉันโอบกอดไว้ให้นาน
ลุกขึ้นมาและเช็ดน้ำตา
ทิ้งวันคืนจงตื่นจากฝันร้าย
ขอแค่เพียงอย่าไปเสียใจ
ให้เธอได้เริ่มวันใหม่

ลองให้ดวงอาทิตย์สาดแสงส่อง
อยากให้เธอได้เห็นแดดร้อนแรง
ไออุ่นทำให้เธอตาสว่าง

มีแดดในยามเช้าให้สัมผัส
เราจะพากันวิ่งผ่านด้วยกัน
จับมือฉันโอบกอดไว้ให้นาน

ลองให้ดวงอาทิตย์สาดแสงส่อง
อยากให้เธอได้เห็นแดดร้อนแรง
ไออุ่นทำให้เธอตาสว่าง

มีแดดในยามเช้าให้สัมผัส
เราจะพากันวิ่งผ่านด้วยกัน
จับมือฉันโอบกอดไว้ให้นาน นานเท่านาน",sweet_mullet
สภาวะหัวใจล้มเหลวเฉียบพลัน,/music/thailyric/5641,"ก็เคยเห็นคนบางคนมีน้ำตาคุกเข่า
เมื่อความรักที่จริงใจพังทลาย
เขาดูอ่อนแอและช่างน่าอาย จะร้องไปเพื่ออะไร

ก็เคยนึกว่าเราเองอยู่เหนือใครคนอื่น
ก็เคยคิดว่าใจเราจะทนไหว
จนวันที่เธอได้พบใครใหม่ วันที่เธอจะทิ้งกัน
เพียงแค่สายตาของเธอจ้องมองฉันก็ช้ำใจ

อย่าได้ไหมโปรดจงหันไปจากฉัน
ก่อนที่น้ำตาจะไหล ก่อนที่ฉันยืนไม่ไหว
ก่อนที่ฉันจะหมดลมหายใจ หมดแรงจะก้าวไป
ทำอย่างไรเมื่อไร้เธออย่างนี้ เมื่อเธอจะจากฉันไป

อาจจะรู้เมื่อสายไป ว่ารักเธอเท่าไหร่
เมื่อเจ็บช้ำจนน้ำตารินออกมา
ไม่อยากอ่อนแอแต่ว่าตามใจ
มันเหมือนใครมาทิ่มแทง

ยิ่งมีสายตาของเธอจ้องมองฉันยิ่งช้ำใจ
อย่าได้ไหมโปรดจงหันไปจากฉัน ในตอนนี้
ก่อนที่น้ำตาจะไหล ก่อนที่ฉันยืนไม่ไหว
ก่อนที่ฉันจะหมดลมหายใจ หมดแรงจะก้าวไป
ทำอย่างไรเมื่อไร้เธออย่างนี้

อยากจะขอเธอสักครั้ง อย่ามองฉันในตอนนี้
ภาพที่เห็นมันอาจดูไม่ดี คนอ่อนแอที่ตรงนี้
ยังคงร้องไห้ไม่หยุดสักที เมื่อเธอมาจากฉันไป

ก่อนที่น้ำตาจะไหล ก่อนที่ฉันยืนไม่ไหว
ก่อนที่ฉันจะหมดลมหายใจ หมดแรงจะก้าวไป
ทำอย่างไรเมื่อไร้เธออย่างนี้

อยากจะขอเธอสักครั้ง อย่ามองฉันในตอนนี้
ภาพที่เห็นมันอาจดูไม่ดี คนอ่อนแอที่ตรงนี้
ยังคงร้องไห้ไม่หยุดสักที เมื่อเธอมาจากฉันไป

ก่อนที่น้ำตาจะไหล ก่อนที่ฉันยืนไม่ไหว
ก่อนที่ฉันจะหมดลมหายใจ ขอเธออย่าจากฉันไป",sweet_mullet
เหตุผลที่ยังหายใจ,/music/thailyric/5643,"ทั้งที่รู้ว่าหัวใจเธอเปลี่ยนไป ไม่ค่อยเหมือนเดิม
ไม่มีฉันยืนอยู่ในสายตา และก็รู้ว่าทุกวัน
ฉันดูเหมือนแค่คนไร้ค่า แค่เศษของเธอ

ทั้งที่รู้ว่าหัวใจที่เธอมีนั้นไม่เคยพอ
ปล่อยคนมากมายให้เดินเข้ามา
และไม่รู้นานเท่าไร ที่ต้องทนยิ้มกับน้ำตา
อยู่ไปก็เหมือนคนที่โง่งมงาย

แม้ความจริงจะทำร้ายกันมากมายเท่าไร
เพียงศรัทธากับคำๆ นั้นไม่เปลี่ยนแปรไป

เพราะว่ารักเพียงหนึ่งคำ ค้ำให้ฉันยืนต่อไป
ขอแค่ฉันมีเธอ เหตุผลที่ยังหายใจ
เพราะชีวิตที่ขาดเธอ ฉันก็เหมือนคนขาดใจ
แม้ต้องทรมาน จะยังคงรักเธอต่อไป

ขอแค่เธอเดินกลับมา ขอแค่เธอไม่บอกลา
แม้ต้องเสียน้ำตา และแม้เธอเป็นของใคร
เพราะว่ารักไม่เปลี่ยนแปลง รักจนวันที่ไม่หายใจ
ชีวิตนี้ฉันมีแต่เธอ ความรักยังอยู่เสมอ
ถึงแม้ต้องเจ็บแค่ไหน

แม้ความจริงจะทำร้ายกันมากมายเท่าไร
เพียงศรัทธากับคำๆ นั้นไม่เปลี่ยนแปรไป

เพราะว่ารักเพียงหนึ่งคำ ค้ำให้ฉันยืนต่อไป
ขอแค่ฉันมีเธอ เหตุผลที่ยังหายใจ
เพราะชีวิตที่ขาดเธอ ฉันก็เหมือนคนขาดใจ
แม้ต้องทรมาน จะยังคงรักเธอต่อไป

ขอแค่เธอเดินกลับมา ขอแค่เธอไม่บอกลา
แม้ต้องเสียน้ำตา และแม้เธอเป็นของใคร
เพราะว่ารักไม่เปลี่ยนแปลง รักจนวันที่ไม่หายใจ
ชีวิตนี้ฉันมีแต่เธอ",sweet_mullet
