song_name,href,lyric,artist
กลัว,/music/thailyric/2176,"และในตอนนี้ ก็ยังไม่เข้าใจ
เพื่อนฉันคนนี้ ว่าเธอคิดยังไง
ถ้าฉันรัก จะผิดไหม
ถ้าบอกรัก กลัวเธอจะเปลี่ยนไป
ฉันต้องทำไง คงต้องทำใจ เก็บมันไว้...

กลัวเธอหลบสายตา กลัวเธอหลบหน้ากัน
กลัวเธอจะโกรธฉัน กลัวเธอไม่สนใจ
กลัวเธอไม่พูดจา กลัวเธอจะหนีไป
กลัวเธอจะใจร้าย กลัวเธอจะอายใครใคร
ที่ฉัน...ไปรักเธอ

ถ้าเธอเกิด...รู้ ว่าฉันนั้นมีใจ
ก็แอบมี...หวัง ถ้าเธอไม่มีใคร
แต่จะรัก จะผิดไหม
ถ้าบอกรัก กลัวเธอจะเปลี่ยนไป
ฉันต้องทำไง คงต้องทำใจ เก็บมันไว้...

กลัวเธอหลบสายตา กลัวเธอหลบหน้ากัน
กลัวเธอจะโกรธฉัน กลัวเธอไม่สนใจ
กลัวเธอไม่พูดจา กลัวเธอจะหนีไป
กลัวเธอจะใจร้าย กลัวเธอจะอายใครใคร
ที่ฉัน...ไปรักเธอ

ไม่รู้ว่าเมื่อไหร่ ไม่รู้ว่าหัวใจ
แอบไปคิดถึงเธอเมื่อตอนไหน รักเธอเมื่อไหร่
แต่กลัวว่าต้องเสียใจ หากเธอยังไม่เข้าใจ
ต้องเก็บไว้ อย่าให้ใครได้รู้...

กลัวเธอหลบสายตา กลัวเธอหลบหน้ากัน
(กลัวถ้าเธอคิดเป็นอย่างไร)
กลัวเธอจะโกรธฉัน กลัวเธอไม่สนใจ
(คนที่แอบรักอยู่ในใจ)
กลัวเธอไม่พูดจา กลัวเธอจะหนีไป
(คนที่ตัวเขานั้นหวั่นไหว)
กลัวเธอจะใจร้าย กลัวเธอจะอายใครใคร ที่ฉัน...ไปรักเธอ...
(ต่อคนคนนี้...ที่รักเธอ...ที่จะไปรัก...)",tattoo_colour
เกาะร้าง ห่างรัก,/music/thailyric/2177,"อยู่กลางทะเล  มีน้ำกับทราย
มองไปทางใด  ไม่เคยเห็นใครมา
ติดเกาะอย่างนี้มานาน
บางวันลงน้ำหาปลา
จุดไฟต้องหาไม้มาขูดกัน

ตกตอนกลางคืน  ยิงหนาวจับใจ
อยู่ริมกองไฟ  ข่มใจให้พักผ่อน
บางวันฉันเหงาฉันเพลีย
อยากจะจิบเบบียร์ก่อนนอน
บางวันฉันร้อน  วิ่ง ลงหาดทราย

เกาะร้างเกาะนี้ฉันอยู่ลำพังมานานเกินใจทนไหว
รอเรือสักลำมาพาฉัน แล่นออกไป

แต่จะมีใครหรือเปล่า ที่เห็นว่ายังมีเงาน่าสงสัย
เกาะร้างยังมีคนอยู่ ยังหายใจ
และยังมีฉันอยู่ตรงนี้
บนเกาะที่น่าเบื่อ  ก็หวังว่าจะมี เรือสักลำไหม
ที่รู้และพาฉันออกไปให้ได้
ก็อยากจะเฝ้ารอต่อไป

เกาะร้างเกาะนี้ฉันอยู่ลำพังมานานเกินใจทนไหว
รอเรือสักลำมาพาฉัน แล่นออกไป

แต่จะมีใครหรือเปล่า ที่เห็นว่ายังมีเงาน่าสงสัย
เกาะร้างยังมีคนอยู่ ยังหายใจ
และยังมีฉันอยู่ตรงนี้
บนเกาะที่น่าเบื่อ  ก็หวังว่าจะมี เรือสักลำไหม
ที่รู้และพาฉันออกไปให้ได้
ก็อยากจะเฝ้ารอต่อไป

บนเกาะที่น่าเบื่อ ไม่เห็นสักลำเลยเรืออยู่ที่ไหน
ชีวิตฉันคงจะออก ไปไม่ได้
ต้องอยู่อย่างนี้ตลอดไป
ต้องอยู่อย่างนี้ตลอดไป
ต้องอยู่ อย่างนี้อีกนานไหม  โวว...",tattoo_colour
โบนัส แทร็ก (Bonus Track),/music/thailyric/2188,"รักรึเปล่า เธอต้องการอยากจะได้ยินทุกวัน
คอยคำตอบอยากให้เรารักกัน แค่นั้นเธอ
อยากจะรู้และเข้าใจ ฉันเคยตอบ ความรู้สึก
เกิดขึ้นในหัวใจ คำว่ารักไม่อาจมอบให้ใคร
มีไว้ให้เธอเท่านั้นฉันเองก็บอกไปแล้วไง 
แต่ทุกทีเธออยากได้ยินซ้ำๆ
เธออยากได้ยินแค่นั้น อาจจะมากไป

ไม่ใช่ไม่กล้าจะบอก แค่พูดแค่ตอบว่ารัก
ทุกครั้งได้ยินใช่มั๊ย คำว่ารักรักเธอ
พูดได้จากใจ ที่ฉันมี ไม่ใช่ไม่กล้าจะบอก 
แค่กลัวเธอเบื่อเท่านั้น ได้ยินทุกวัน
แบบนี้คำว่ารักที่ฟังแล้วฟังแล้วซึ้งทุกทีเดียว
กลายเป็นคำทั่วไปกลัววันไหนที่ฉันบอกรัก 
อีกทีแล้วเธอจะไม่สนใจ....",tattoo_colour
ฝากที,/music/thailyric/2190,"เห็นเธอมากับเขาพอดี ในคืนนี้อยู่ไม่ไกล
ยิ้มให้เธอ แค่ทักแค่ทาย นิดหน่อย คนเคยรู้ใจ
นั่งฟังเพลง ที่ร้องบรรเลง เกี่ยวกับรักที่เสียใจ
นั่งเพลิน ๆ แล้วเธอเดินมาพูดคุย สบายหรือไร

ขอบคุณที่เข้ามาทัก ฉันเห็นเขาอยู่ตรงนั้น
สายตาที่มองอย่างนั้นเหมือนไม่พอใจ
ที่เห็นเธออยู่กับฉัน ที่นั่งกันอยู่ตรงนี้
ฉันว่าบางที เขาอาจจะคิดไปไกล

ฝากไปบอกเขาที ว่าไม่มีเราต่อไป
รู้ตัวดีและเข้าใจ ฉันมันเป็นอะไรไม่ใช่ใครที่เธอรักอยู่
ฉันก็รู้ต้องเดินคนเดียวจากนี้ไป
ฝากไปบอกเขาเลย ว่าไม่เคยมีติดใจ
รู้ว่ารักกันเท่าไหร่ ฉันต้องทำยังไง เย็นไว้ ฉันรู้ดี
ถ้าเธอเลือกที่จะไป จะวันไหนยังไง เราจบกันแล้ว

รักกันดี เห็นซึ้งกันดี คนคนนี้คงมั่นใจ
อย่าพูดกันนาน กลัวว่าเขารำคาญ ไม่อยากให้ใครเสียใจ

ขอบคุณที่เข้ามาทัก ฉันเห็นเขาอยู่ตรงนั้น
สายตาที่มองอย่างนั้นเหมือนไม่พอใจ
ที่เห็นเธออยู่กับฉัน ที่นั่งกันอยู่ตรงนี้
ฉันว่าบางที เขาอาจจะคิดไปไกล

ฝากไปบอกเขาที ว่าไม่มีเราต่อไป
รู้ตัวดีและเข้าใจ ฉันมันเป็นอะไรไม่ใช่ใครที่เธอรักอยู่
ฉันก็รู้ต้องเดินคนเดียวจากนี้ไป
ฝากไปบอกเขาเลย ว่าไม่เคยมีติดใจ
รู้ว่ารักกันเท่าไหร่ ฉันต้องทำยังไง เย็นไว้ ฉันรู้ดี
ถ้าเธอเลือกที่จะไป จะวันไหนยังไง เราจบกันแล้ว

ฝากไปบอกเขาที ว่าไม่มีเราต่อไป
รู้ตัวดีและเข้าใจ ฉันมันเป็นอะไรไม่ใช่ใครที่เธอรักอยู่
ฉันก็รู้ต้องเดินคนเดียวจากนี้ไป
ฝากไปบอกเขาเลย ว่าไม่เคยมีติดใจ
รู้ว่ารักกันเท่าไหร่ ฉันต้องทำยังไง เย็นไว้ ฉันรู้ดี
ถ้าเธอเลือกที่จะไป จะวันไหนยังไง เราจบกันแล้ว

วันเวลาที่ผ่านไปช้า ๆ ช่วยทำให้ลืมเรื่องที่แล้วมา
ลืมความรัก เจ็บช้ำครั้งก่อน สุดท้ายคงต้องยอม
และชั้นพร้อมจะเดินคนเดียวจากนี้ไป
ฝากไปบอกเขาที
วันเวลาที่ผ่านไปครั้งนั้น ก็คงต้องเก็บเป็นแค่ฝันไป
ในวันนี้เธอพบคนใหม่ ฉันต้องยอมเข้าใจ
เมื่อเธอเลือกที่จะไป จะวันไหนยังไง เราจบกันแล้ว",tattoo_colour
ฟ้า,/music/thailyric/2194,"คิดอยู่ ว่าต้องทนไว้
จะทุกข์จะทนเท่าไร ความรักจะพาหัวใจไป
คิดเอง ว่าต้องทนไว้
แต่ยิ่งทุกข์ยิ่งทนเท่าไร ความรักที่มียิ่งหายไป

จะโทษดิน จะโทษน้ำ จะโทษเดือนและดาว
กับเรื่องราว ที่ปวดร้าว ที่เธอมาทำแล้วหนีไป
ฟ้า ถ้าไม่ส่งมาให้เธอมีใจ
บอกกันซักคำเป็นไร
ว่าเหตุใด ต้องมาทำร้ายกัน
จากนี้เรื่องราวที่มี ก็ให้ลืมมันไป

อย่าจำว่าเคยเป็นใคร ว่ามีใครที่เคยทำร้ายคนอย่างฉัน
ทุกวัน จวบจนวันนี้
ชีวิตที่เราต้องมี จากนี้ต้องทำตัวเช่นไร
น้ำตา ที่ยังรินไหล จากความรักที่มีทั้งใจ
สุดท้ายเค้านั้นหายไป

จะโทษดิน จะโทษน้ำ จะโทษเดือนและดาว
กับเรื่องราว ที่ปวดร้าว ที่เธอมาทำแล้วหนีไป
ฟ้า ถ้าไม่ส่งมา ให้เธอมีใจ
บอกกันซักคำเป็นไร
ว่าเหตุใด ต้องมาทำร้ายกัน
จากนี้เรื่องราวที่มี ก็ให้ลืมมันไป

อย่าจำว่าเคยเป็นใคร ว่ามีใครที่เคยทำร้าย
(โนววว) จบกันซักที จบกันแค่นี้
ไม่มีใคร มีแต่ฟ้า ที่มองมา เห็นน้ำตา
จากนี้ไป โปรดเถิดฟ้า
ถ้าไม่ส่งมาให้เธอมีใจ ก็บอกกันได้ไหม
เหตุใดต้องมาทำร้ายกัน
จากนี้เรื่องราวที่มี ก็ให้ลืมมันไป

อย่าจำได้ไหม ว่ามีใครที่เคยทำร้าย
ว่ามีใครที่มาทำร้าย คนอย่างฉัน",tattoo_colour
รู้มั๊ยจ๊ะ,/music/thailyric/2195,"ขอบคุณกับทุกสิ่ง 
ขอบคุณกับทุกอย่างที่ให้ฉัน
ไม่ว่าจะสัญญา ไม่ว่าจะหัวใจที่ให้ฉัน

ก็ไม่เคยคิดว่าเกิดมาฉันจะเจอรักที่จริงใจ
ไม่เคยมองเห็นว่ามีแม้ใครที่เคยให้กัน 
ก็เกินจะคิดว่าในชีวิตจะมีจริงอย่างในฝัน 
และคนคนนั้นคือเธอ

รู้มั๊ยจ๊ะว่ารักเหมือนฝันที่เธอให้มา 
รักซึ้งๆ ที่เห็นภาพเธอปรากฏในตา
รักที่เธอให้มาจะคอยรักษาดูแลด้วยใจ
และในคำคำนี้ที่ฉันควรพูดออกไป
และจะไม่มีวันเสียใจที่พูดออกมา
รู้เพียงว่าชั้นนั้นรักเธอทุกสิ่งที่สวยงาม
ที่อยู่ในสายตาของเธอนั้น ทุกอย่างที่สัมผัส
ที่เราได้รักกันจนวันนี้

ก็ไม่เคยคิดว่าเกิดมาฉันจะเจอรักที่จริงใจ
ไม่เคยมองเห็นว่ามีแม้ใครที่เคยให้กัน 
ก็เกินจะคิดว่าในชีวิตจะมีจริงอย่างในฝัน
 และคนคนนั้นคือเธอ

รู้มั๊ยจ๊ะว่ารักเหมือนฝันที่เธอให้มา 
รักซึ้งๆ ที่เห็นภาพเธอปรากฏในตา
รักที่เธอให้มาจะคอยรักษาดูแลด้วยใจ
และในคำคำนี้ที่ฉันควรพูดออกไป
และจะไม่มีวันเสียใจที่พูดออกมารู้เพียงว่า
ฉันนั้นรักเธอ ทุกสิ่งที่สวยงามที่อยู่ในสายตา
ของเธอนั้น ทุกอย่างที่สัมผัสที่เราได้รักกันจนวันนี้

ก็ไม่เคยคิดว่าเกิดมาฉันจะเจอรักที่จริงใจ
ไม่เคยมองเห็นว่ามีแม้ใครที่เคยให้กัน ก็เกิน
จะคิดว่าในชีวิตจะมีจริงอย่างในฝัน และคน
คนนั้นคือเธอ

รู้มั๊ยจ๊ะว่ารักเหมือนฝันที่เธอให้มา รักซึ้งๆ 
ที่เห็นภาพเธอปรากฏในตารักที่เธอให้มา
จะคอยรักษาดูแลด้วยใจและในคำคำนี้ที่
ฉันควรพูดออกไปและจะไม่มีวันเสียใจ
ที่พูดออกมารู้เพียงว่าชั้นนั้นรักเธอ
ทุกสิ่งที่สวยงามที่อยู่ในสายตาของเธอนั้น 
ทุกอย่างที่สัมผัสที่เราได้รักกันจนวันนี้",tattoo_colour
ไลค์ (Like),/music/thailyric/2198,"จากวันนั้นที่เราพบกัน แม้ว่ามันจะดูไม่นาน
แต่ตัวฉันในทุกๆวันมันยิ่งร้อนใจ
เก็บไปเพ้อให้ใครเค้าฟัง คิดแต่เรื่องเดิมๆทั้งวัน
อยู่อย่างนี้จนใจฉันเก็บมันไม่ไหว

มีคำคำนึงเกิดขึ้นแล้วข้างในใจ ฟังเพียงเธอ
ฟังแค่เท่านั้นก็พอใจ

ถ้าฉันชอบเธอให้ฉันบอกเธอดีไหม
ว่าฉันชอบเธอให้ฉันบอกเธอวันนี้
จากนี้ที่เธอฟังจะคิดเป็นเช่นไร ก็คงไม่สนใจ
แค่เพียงได้บอกฉันพอใจต่อจากนี้ที่เธอได้ฟัง 
จะเป็นยังไงไม่รู้เหมือนกันแต่ตัวฉันจะยอมรับ
มันและจะเข้าใจ เพราะว่าฉันไม่เคยพบใคร
ที่ทำให้ฉันนั้นประทับใจ เท่าเธอแล้วให้ฉันนั้น
บอกก่อนจะสาย

มีคำคำนึงเกิดขึ้นแล้วข้างในใจ ฟังเพียงเธอ
ฟังแค่เท่านั้นก็พอใจ

ถ้าฉันชอบเธอให้ฉันบอกเธอดีไหม
ว่าฉันชอบเธอให้ฉันบอกเธอวันนี้
จากนี้ที่เธอฟังจะคิดเป็นเช่นไร ก็คงไม่สนใจ
แค่เพียงได้บอกฉันพอใจต่อจากนี้ที่เธอได้ฟัง
จะเป็นยังไงไม่รู้เหมือนกันแต่ตัวฉันจะยอมรับมัน
และจะเข้าใจ เพราะว่าฉันไม่เคยพบใครที่ทำให้ฉัน
นั้นประทับใจ เท่าเธอแล้วให้ฉันนั้นบอกก่อนจะสาย


ถ้าฉันชอบเธอให้ฉันบอกเธอดีไหม
ว่าฉันชอบเธอให้ฉันบอกเธอวันนี้
จบแล้วเมื่อเธอฟังจะคิดเป็นเช่นไร ก็คงไม่สนใจ
แค่เพียงได้บอกฉันพอใจ แค่เท่านี้เป็นไร ฉันพอใจ",tattoo_colour
วัน ไนต์ สแตนด์ (One Night Stand),/music/thailyric/2199,"เพียงคืนเดียวบอกกันตรงๆ เธอคงไม่คิดอะไร
เธอกับฉันเหมือนกันแค่ในคืน นี้
บอกกันดีๆ คงเข้าใจ
เพียงคำเดียวบอกมาเบาๆ เธอเหงาหรือคิดอย่างไร
แต่ที่เห็นแววตาทุกอย่างมันฟ้อง
เธอกลับมาบอก...ให้ฉันนั้นเดินเข้าไป

อย่าปล่อยใจในคืนที่สับสน
กับใครสักครที่ไม่รู้เป็นใคร

ค่ำคืนนี้ยังผ่านพ้นไป  เธอกับฉันไม่มีผู้ใด
เมื่ออารมณ์บังคับจิต ใจ  และเธอกับฉันก็พลันหวั่นไหว
แต่ความจริงที่เรารู้ดี  จบคืนนี้ คงต้องไป
พรุ่งนี้จะเป้นอย่างไร  ที่พบกันในตอนเช้าแล้วเดินผ่านไป

คนๆ นึงผ่านมาคืนนึง  มีความลึกซึ้งอะไร
จบอย่างนั้นทุกวันไม่เคยจะ คิด  ชีวิตเธอมีไว้เพื่อใคร
มองตัวเองตื่นมาลืมตา  เฝ้าหาสักคน ห่วงใย
คำว่ารักไม่เคยสัมผัสไม่เห็น  สิ่งที่มันเป็นตอนนี้มีใครเข้า ใจ

อย่าปล่อยใจในคืนที่สับสน
กับใครสักครที่ไม่รู้เป็นใคร

ค่ำคืนนี้ยังผ่านพ้นไป  เธอกับฉันไม่มีผู้ใด
เมื่ออารมณ์บังคับจิต ใจ  และเธอกับฉันก็พลันหวั่นไหว
แต่ความจริงที่เรารู้ดี  จบคืนนี้ คงต้องไป
สุดท้ายเมื่อเธอจากไป  ที่เหลือคือความอ้างว้างเมื่อไม่มี ใคร

อย่าปล่อยใจในคืนที่สับสน
กับใครสักครที่ไม่รู้เป็นใคร

ค่ำคืนนี้ยังผ่านพ้นไป  เธอกับฉันไม่มีผู้ใด
เมื่ออารมณ์บังคับจิต ใจ  และเธอกับฉันก็พลันหวั่นไหว
แต่ความจริงที่เรารู้ดี  จบคืนนี้ คงต้องไป
พรุ่งนี้จะเป้นอย่างไร  ที่พบกันในตอนเช้า

ค่ำคืนนี้ยังผ่านพ้นไป  เธอกับฉันไม่มีผู้ใด
เมื่ออารมณ์บังคับจิต ใจ  และเธอกับฉันก็พลันหวั่นไหว
แต่ความจริงที่เรารู้ดี  จบคืนนี้ คงต้องไป
สุดท้ายเมื่อเธอจากไป  ที่เหลือคือความอ้างว้างเมื่อไม่มี ใคร",tattoo_colour
สิ่งที่แสนดี,/music/thailyric/2200,"สิ่งที่แสนดี  ที่ฉันทำก็เพราะมีเธออยู่ในใจ
หากมองหาใคร  ที่ ร่วมทางไปด้วยกันไม่ว่าวันไหน
จับมือฉัน...ชาดี้ ดี้ ชัดชา
บนเส้นทางจะ ไกลก็ไม่หวั่น
ให้ฉันได้เคียงข้างเธอ
อยากให้รู้...ชาดี้ ดี้ ชัดชา
สิ่งดีๆ ในใจฉันมีอยู่  ขอดูแลให้เธออุ่นใจ

ไม่ว่าจะนานเท่าไร  (ห่างไกลสักเพียงไหน)
ฉันพร้อมจะเคียงข้าง เธอ  (หากเธอไม่เหลือใคร)
เพราะทุกเวลาที่มี  แค่นี้ฉันเป็นสุข ใจ
เมื่อเดินก้าวไปพร้อมเธอ

ไม่ได้มากมาย  ที่ฉันทำด้วยหัวใจให้เธอคนนี้
ทางจะร้ายดี  ฮุวว ฮุ้
ที๋ฉันทำก็เพราะมีเธออยู่ในใจ

จับมือฉัน...ชาดี้ ดี้ ชัดชา
บนเส้นทางจะไกลก็ไม่หวั่น  ให้ฉันได้ เคียงข้างเธอ
อยากให้รู้...ชาดี้ ดี้ ชัดชา
สิ่งดีๆ ในใจฉันมีอยู่  ขอดูแลให้เธออุ่นใจ

ไม่ว่าจะนานเท่าไร  (ห่างไกลสักเพียงไหน)
ฉันพร้อมจะเคียงข้าง เธอ  (หากเธอไม่เหลือใคร)
เพราะทุกเวลาที่มี  แค่นี้ฉันเป็นสุข ใจ
เมื่อเดินก้าวไปพร้อมเธอ

I have a good chance

แค่อยากมีเธอใกล้
และอยากใเธอมั่นใจ
ลนเส้นทางความฝัน
มีเพียง เธอกับฉัน
ในวันที่สดใส

ไม่ว่าจะนานเท่าไร  (ห่างไกลสักเพียงไหน)
ฉันพร้อมจะเคียงข้าง เธอ  (หากเธอไม่เหลือใคร)
เพราะทุกเวลาที่มี  แค่นี้ฉันเป็นสุข ใจ
เมื่อเดินก้าวไปพร้อมเธอ  (ห่างไกลสักเพียงไหน)
จะห่างกันสัก เพียงไหน
ใกล้ไกลสักเท่าไหร่  (หากเธอไม่เหลือใคร)

อยากให้เธอรู้ฉันอยู่ข้างกาย
ขอเพียงเท่านี้  ฉันก็สุขใจ
เมื่อ เดินก้าวไปพร้อมเธอ

เพราะทุกเวลาที่มี  แค่นี้ฉันเป็นสุขใจ
เมื่อเดินก้าวไปกับเธอ",tattoo_colour
อากาศร้อนๆ,/music/thailyric/2202,"แดดร้อนๆ ในอากาศ มันทำให้ร้อนหัวใจ
จะทำยังไงก็ในตอนนี้มันเกินจะทนรับไหว
อยากจะบอกกับเธอว่ามันยังช้ำหัวใจ
ตั้งแต่วันนั้นที่เธอมาทิ้งๆ กันไป

ก็ข่มใจไม่อยากคิด ก็บอกตัวเองว่าอย่าคิด
อดีตที่มีเธอสักนิด ก็อยากจะลบมันไป
แต่หลับตาเพียงเท่านั้น ในใจก็มีเธอกับฉัน
และสิ่งต่างๆ ในวันนั้น ทุกอย่างก็ฝันไปไกล

ยิ่งแดดร้อนๆ เรื่องราวเก่าๆ ยังร้อนไม่จางหายไป
แต่ไม่มี ไม่มีเธอ

อากาศร้อนๆ ตอนบ่ายๆ กับวันสุดท้ายที่เธอลาไป
ภาพเธอเก่าๆ ยังหลอน ยิ่งทำให้ร้อนข้างในหัวใจ
ทำไมมันร้อนห้ามไม่อยู่ก็ยังไม่รู้ว่าเพราะอะไร
ได้แต่ห้ามใจ และไม่รู้ทำไมมันยิ่งร้อน
ยิ่งคิดยิ่งร้อน (ข้างในหัวใจ)

ใจร้อนๆ ในตอนบ่ายยิ่งคิดยิ่งร้อนหัวใจ
กับเธอคนนั้นในวันดีๆ ที่เราได้เคยชิดใกล้
แต่วันนี้มันกลับกัน ไม่มีวันย้อนมาได้
ทำไมเธอลืม ทำไมเธอทิ้งกันง่ายดาย
เธอคงไม่เคยที่จะรัก เธอเลยไม่รู้ว่าเจ็บนัก
เวลาเจอคนที่เรารัก อยู่ๆ ก็เลิกกันไป
ฉันคงไม่เคยมีความหมาย ถ้าจึงบอกลาแล้วก็หาย
ทุกอย่างที่ทำหมดความหมาย ทิ้งฉันให้ร้อนเป็นไฟ

ยิ่งแดดร้อนๆ เรื่องราวเก่าๆ ยังร้อนไม่จางหายไป
แต่ไม่มี ไม่มีเธอ

อากาศร้อนๆ ตอนบ่ายๆ กับวันสุดท้ายที่เธอลาไป
ภาพเธอเก่าๆ ยังหลอน ยิ่งทำให้ร้อนข้างในหัวใจ
ทำไมมันร้อนห้ามไม่อยู่ก็ยังไม่รู้ว่าเพราะอะไร
ได้แต่ห้ามใจ และไม่รู้ทำไมมันยิ่งร้อน
ยิ่งคิดยิ่งร้อน (ข้างในหัวใจ)

อากาศร้อนๆ ตอนบ่ายๆ กับวันสุดท้ายที่เธอลาไป
ภาพเธอเก่าๆ ยังหลอน ยิ่งทำให้ร้อนข้างในหัวใจ
ทำไมมันร้อนห้ามไม่อยู่ก็ยังไม่รู้ว่าเพราะอะไร
ได้แต่ห้ามใจ และไม่รู้ทำไมมันยิ่งร้อน
ยิ่งคิดยิ่งร้อน (ข้างในหัวใจ)

อากาศร้อนๆ ตอนบ่ายๆ กับวันสุดท้ายที่เธอลาไป
ภาพเธอเก่าๆ ยังหลอน ยิ่งทำให้ร้อนข้างในหัวใจ
ทำไมมันร้อนห้ามไม่อยู่ก็ยังไม่รู้ว่าเพราะอะไร
ได้แต่ห้ามใจ และไม่รู้ทำไมมันยิ่งร้อน
ยิ่งคิดยิ่งร้อน (ข้างในหัวใจ)",tattoo_colour
