song_name,href,lyric,artist
O-O (Ooh),/music/thailyric/15427,"ทำไมเธอไม่ฟังฉันบอก
ทั้งที่ก็รู้ว่าเขานั้นหลอก
เธอยังคงเฝ้ารอแม้รู้ว่าไม่มีหวัง
เธอพูดว่าเธอลบเขาไม่ออก
ฉันเลยต้องกลายเป็น คนที่ปลอบ
ต้องคอยเช็ดน้ำตาตอนเธอปวดใจ Ooh

แต่เธอยังเชื่อว่าเขานั้นจะกลับมา Ooh
เป็นเหมือนคืนวันดีๆ ที่เธอยังเก็บมันเอาไว้ Ooh
เธอจำแววตาของเขาตอนจะเดินจากเธอไป
ได้ไหมในตอนนั้น เธอก็รู้ว่ามันไม่มีเธอ

ลืมเขาซะ ทิ้งเขาไป
ลืมเขาซะ อย่าต้องมีน้ำตาให้เลย

ฉันเชื่อว่าเธอนั้น จะทำใจได้เอง
ให้เวลาผ่านไป แค่หยุดพัก
แค่ลองเปิดเพลงนี้ แล้วก็นึกถึงฉัน
คนที่ยังห่วงใย ไม่แปรพักตร์

แต่เธอยังเชื่อว่าเขานั้นจะกลับมา Ooh
เป็นเหมือนคืนวันดีๆ ที่เธอยังเก็บมันเอาไว้ Ooh
เธอจำแววตาของเขาตอนจะเดินจากเธอไป
ได้ไหมในตอนนั้น เธอก็รู้ว่ามันไม่มีเธอ

ลืมเขาซะ ทิ้งเขาไป
ลืมเขาซะ อย่าต้องมีน้ำตาให้เลย
ลืมเขาซะ ทิ้งเขาไป
ลืมเขาซะ อย่าต้องเปลืองน้ำตาให้เลย

แต่เธอยังเชื่อว่าเขานั้นจะกลับมา
เป็นเหมือนคืนวันดีๆ ที่เธอยังเก็บมันเอาไว้
เธอจำแววตาของเขาตอนจะเดินจากเธอไป
ได้ไหมในตอนนั้น เธอก็รู้ว่ามันไม่มีเธอ

ลืมเขาซะ ทิ้งเขาไป
ลืมเขาซะ อย่าต้องมีน้ำตาให้เลย
ลืมเขาซะ ทิ้งเขาไป
ลืมเขาซะ อย่าต้องเปลืองน้ำตาให้เลย",telex_telex
ซ่อน (B2B),/music/thailyric/14444,"ฉันรู้เธอมีใครแล้ว
ฉันรู้ว่าเธอไม่สนใจ ฉันเลย
แค่เพื่อนกันก็เท่านั้น ที่เธอบอกกับฉัน
แค่นั้นก็ดี เท่าไร

อย่าต้องให้เธอลำบากใจ
เวลาเธออยู่กับเขา เธอกลัว
ว่ามันจะมีปัญหา
ถ้าอยากจะโทรไป
ต้องเป็นเวลาที่เขาไม่อยู่
แล้วถึงค่อยได้คุยกัน

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
ต้องคอยหลบตัวจริง ของใจ
ที่เธอก็ซ่อนเอาไว้ เหมือนกัน

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
เพราะแม้จะรักเธอเท่าไร
ฉันพูดได้แค่ในนี้

เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสำคัญ)
เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสัมพันธ์)

ไม่อยากให้เธอลำบากใจ
เวลาเธออยู่กับเขา เธอกลัว
ว่ามันจะมีปัญหา
ถ้าอยากจะโทรไป
ต้องเป็นเวลาที่เขาไม่อยู่
แล้วถึงค่อยได้คุยกัน

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
ต้องคอยหลบตัวจริง ของใจ
ที่เธอก็ซ่อนเอาไว้ เหมือนกัน

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
เพราะแม้จะรักเธอเท่าไร
ฉันพูดได้แค่ในนี้

เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสำคัญ)
เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสัมพันธ์)

เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสำคัญ)
เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสัมพันธ์)

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
ต้องคอยหลบตัวจริง ของใจ
ที่เธอก็ซ่อนเอาไว้ เหมือนกัน

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
เพราะแม้จะรักเธอเท่าไร
ฉันพูดได้แค่ในนี้

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
ต้องคอยหลบตัวจริง ของใจ
ที่เธอก็ซ่อนเอาไว้ เหมือนกัน

มันจึงเป็นรักที่ถูกซ่อนไว้
และมันก็ห้ามมีการเคลื่อนไหว
เพราะแม้จะรักเธอเท่าไร
ฉันพูดได้แค่ในนี้

เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสำคัญ)
เป็นรักที่ซ่อนไว้ อย่าปล่อยให้ใครรู้
(มีเพียงแค่เราเท่านั้น ที่รู้ในความสัมพันธ์)",telex_telex
ดีออก (Dok),/music/thailyric/15273,"พอ หยุดเลย
ถ้าเธอยังคงคิดว่าคนของฉัน
จะเล่น ตามเกม
ที่เธอเป็นคนเริ่มก่อน
อย่าเอา ความคิด
ที่เธอให้กับผู้คน มากมาย
เป็นเครื่องมือตัดสิน

เพราะมันไม่ใช่ครั้งแรกที่ฉันรู้
มีผู้คนมากมายต้องการแย่งเขาไป
แต่เพราะมันไม่ง่ายเหมือนแบบที่เธอคิด
เพราะว่าเขาต้องการแค่รักจากฉันไง

เก็บเอาคำว่ารัก ที่เธอใช้เพื่อหลอกใคร
เพราะไม่ใช่กับคนนี้หรอก
บอกกับเธอให้รู้ ถ้าเธอไม่ยอมหลีกไป
ให้ระวังตัวเธอไว้หน่อย
เดี๋ยวรู้เลย

เพราะมันไม่ใช่ครั้งแรกที่ฉันรู้
มีผู้คนมากมายต้องการแย่งเขาไป
แต่เพราะมันไม่ง่ายเหมือนแบบที่เธอคิด
เพราะว่าเขาต้องการแค่รักจากฉันไง

เก็บเอาคำว่ารัก ที่เธอใช้เพื่อหลอกใคร
เพราะไม่ใช่กับคนนี้หรอก
บอกกับเธอให้รู้ ถ้าเธอไม่ยอมหลีกไป
ให้ระวังตัวเธอไว้หน่อย
เดี๋ยวรู้เลย

เก็บเอาคำว่ารัก ที่เธอใช้เพื่อหลอกใคร
เพราะไม่ใช่กับคนนี้หรอก
บอกกับเธอให้รู้ ถ้าเธอไม่ยอมหลีกไป
ให้ระวังตัวเธอไว้หน่อย

เก็บเอาคำว่ารัก ที่เธอใช้เพื่อหลอกใคร
เพราะไม่ใช่กับคนนี้หรอก
บอกกับเธอให้รู้ ถ้าเธอไม่ยอมหลีกไป
ให้ระวังตัวเธอไว้หน่อย
เดี๋ยวรู้เลย",telex_telex
เพื่อนชื่อความเหงา (01.23 AM.),/music/thailyric/14518,"ก็แค่ความรักมันพัง
ไม่ทำให้ฉันเดินเซ
แค่คนที่โลเล ได้ทิ้งฉันไปก็เท่านั้น

ฉันอยู่บนรถ พร้อมออกเดินทาง
ถึงไม่มีเธอ ก็ไม่เห็นว่าจะเป็นอะไร

เปิดเพลงที่ไม่เคยฟัง
อยู่บนถนนไฮเวย์
จุดหมายฉันคือทะเล
ไม่ต้องสนว่าเธอเป็นอย่างไร

เพราะว่าฉันไม่ทนแล้ว
อย่ามายื้อให้เสียเวลา
คืนที่ไร้ดาว มีแค่ฉัน
และ เพื่อนชื่อความเหงา

ก็ไม่ต้องการคนใส่ใจ
คอยห่วงใย ฉันขอพักก่อน
แค่คนห่วยๆ ที่ทิ้งไป
และในวันนี้ฉันยังไหว ไม่เป็นไร
แม้น้ำตาออก โอ่เธออย่าคิดว่าฉันนั้น
จะฟูมฟายให้เธอ

เพราะว่าฉันไม่ทนแล้ว
อย่ามายื้อให้เสียเวลา
คืนที่ไร้ดาว มีแค่ฉัน
และ เพื่อนชื่อความเหงา

ก็ไม่ต้องการคนใส่ใจ
คอยห่วงใย ฉันขอพักก่อน
แค่คนห่วยๆ ที่ทิ้งไป
และในวันนี้ฉันยังไหว ไม่เป็นไร
แม้น้ำตาออก โอ่เธออย่าคิดว่าฉันนั้น
จะฟูมฟาย

ก็ไม่ต้องการคนใส่ใจ
คอยห่วงใย ฉันขอพักก่อน
แค่คนห่วยๆ ที่ทิ้งไป
และในวันนี้ฉันยังไหว ไม่เป็นไร
แม้น้ำตาออก โอ่เธออย่าคิดว่าฉันนั้น
จะฟูมฟายให้เธอ

ก็แค่ความรักมันพัง
ไม่ทำให้ฉันเดินเซ
แค่คนที่โลเล ทิ้งฉันไป

ก็แค่ความรักมันพัง
ไม่ทำให้ฉันเดินเซ
แค่คนที่โลเล ทิ้งฉันไป

ก็แค่ความรักมันพัง",telex_telex
ยอม,/music/thailyric/15680,"ยอมจะเป็นคน ถูกเธอทำร้าย
เจ็บมาแค่ไหน ก็ต้องซ่อนมัน
ยิ้มให้กับรัก ที่อาจเสียใจ
ต้องแอบเอาไว้ ก็เพราะรักเธอ

นี่ฉันพยายามมากไปใช่ไหม
หรือฉันดีไม่พอจะรักกับเธอ
เพราะว่าเธอยังคงไม่ลืมเขาใช่ไหม
แล้วที่เธอต้องการมันคืออะไร

อยากให้เธอลองทบทวนดูอีกทีดีไหม
ว่าคนที่อยู่ตรงนี้นั้นดีกับเธอมากแค่ไหน
ไม่เคยจะทำให้เธอเสียใจแม้แต่หนึ่งครั้ง
แต่แล้วทำไมเธอถึงได้ใจร้าย กับฉันขนาดนี้

นี่ฉันพยายามมากไปใช่ไหม
หรือฉันดีไม่พอจะรักกับเธอ
เพราะว่าเธอยังคงไม่ลืมเขาใช่ไหม
แล้วที่เธอต้องการมันคืออะไร

อยากให้เธอลองทบทวนดูอีกทีดีไหม
ว่าคนที่อยู่ตรงนี้นั้นดีกับเธอมากแค่ไหน
ไม่เคยจะทำให้เธอเสียใจแม้แต่หนึ่งครั้ง
แต่แล้วทำไมเธอถึงได้ใจร้าย

อยากให้เธอได้ลองทบทวนดูอีกทีดีไหม
ว่าคนที่อยู่ตรงนี้นั้นดีกับเธอมากแค่ไหน
ไม่เคยจะทำให้เธอเสียใจแม้แต่หนึ่งครั้ง
แต่แล้วทำไมเธอถึงได้ใจร้าย กับฉันขนาดนี้

ทบทวนดู
ทบทวน
ทบทวนดูอีกทีดีไหม
ทบกวนดูอีกทีดีไหม

ลองทบทวน ดูอีกทีดีไหม
ทบทวน ดูอีกทีดีไหม
ลองทบทวน ดูอีกทีดีไหม
ทบทวน ดูอีกทีดีไหม",telex_telex
สุขสันต์วันเหงา (Merry Lonely Christmas),/music/thailyric/13724,"ยังมีของขวัญ
ที่ฉันยังคงเฝ้าคอยอยู่
จากคนในฝัน
อยากให้มีจริงเหมือนที่ใครบอก
โอ้วเธอคนนั้น
ช่วยนำเอาความรัก
เป็นของขวัญให้ที

ฉันเดินเดียวดาย
ท่ามกลางผู้คนนับร้อยพัน
แม้จะกี่ปีกี่วันฉันก็ยังเฝ้าคอย
ให้ใครสักคนที่รักฉันจริง
มายืนอยู่ตรงนี้ และกอดฉันไว้

ฉันขอแค่เพียงหนึ่งคน
เข้ามาเปลี่ยนแปลงความเหงาในใจ
จะมีบ้างไหม

รักจริงที่ฉันนั้นรออยู่
ขอพรให้เธอเป็น คนมอบให้ฉัน
หวังเพียงเมื่อฉันนั้นตื่นตอนเช้า
จะพบเธอเป็นของขวัญ

ใครคนนั้น ถ้ามีจริง
ช่วยตามหา ฉันทีได้ไหม
ใครคนนั้น ถ้ามีจริง
ออกตามหา และรับหัวใจฉันไปสักที

ฉันขอแค่เพียงหนึ่งคน
เข้ามาเปลี่ยนแปลงความเหงาในใจ
ฉันขอแค่ใครสักคน
ที่ทำให้ใจฉันไม่ต้องเหงา
ฉันขอแค่เพียงหนึ่งคน
เข้ามาเปลี่ยนแปลงความเหงาในใจ
จะมีบ้างไหม

รักจริงที่ฉันนั้นรออยู่
ขอพรให้เธอเป็นคนมอบให้ฉัน
หวังเพียงเมื่อฉันนั้นตื่นตอนเช้า
จะพบเธอเป็นของขวัญ
รักจริงที่ฉันนั้นรออยู่
ขอพรให้เธอเป็นคนมอบให้ฉัน
หวังเพียงเมื่อฉันนั้นตื่นตอนเช้า
จะพบเธอ ที่เฝ้ารอ",telex_telex
หยุดตรวจ (Love Chaser),/music/thailyric/13552,"โปรดหยุดให้ฉันค้น ดูเธอหน่อยได้ไหม
ก่อนที่เธอจะผ่านฉันไป เพราะฉันก็ไม่รู้
ว่าเธอมีใครไหม ที่ซ่อนไว้ภายในใจของเธอ

ก็เธอนั้นมาแรงเกินกว่าใครเขา
กลัวเธอเอาหัวใจ ฉันไปกับคืนนี้
จึงต้องระวังตัวให้ดี ก่อนจะเสียที
กลัวเธอชนแล้วหนี เพราะคืนนี้
มีเพียงสองเราเท่านั้น

ถ้าคิดจะรักกันหยุดที่ฉันคนเดียวได้ไหม
ก็เธอนั้นเร็วไป กลัวรั้งใจเอาไว้ไม่ทัน
หากเธอนั้นคิดแซง ไล่ตามไปก็คงจะไม่ไหว
ไม่เห็นเหรอหัวใจ ฉันกำลังหยุดรอเธออยู่

อย่าต่อรองหัวใจ กับฉันเลยคนดี
ถ้าเธอคิดหนี คงต้องมีน้ำตา
ไม่อยากจะต้องกลาย เป็นเหยื่อคนไม่รักดี

ในคืนนี้ ก็เธอนั้นมาแรงเกินกว่าใครเขา
กลัวเธอเอาหัวใจ ฉันไปกับคืนนี้
จึงต้องระวังตัวให้ดี ก่อนจะเสียที
กลัวเธอชนแล้วหนี เพราะคืนนี้
มีเพียงสองเราเท่านั้น

ถ้าคิดจะรักกันหยุดที่ฉันคนเดียวได้ไหม
ก็เธอนั้นเร็วไป กลัวรั้งใจเอาไว้ไม่ทัน
หากเธอนั้นคิดแซง ไล่ตามไปก็คงจะไม่ไหว
ไม่เห็นเหรอหัวใจ ฉันกำลังหยุดรอเธออยู่

ถ้าคิดจะรักกันหยุดที่ฉันคนเดียวได้ไหม
ก็เธอนั้นเร็วไป กลัวรั้งใจเอาไว้ไม่ทัน
หากเธอนั้นคิดแซง ไล่ตามไปก็คงจะไม่ไหว
ไม่เห็นเหรอหัวใจ ฉันกำลังหยุดรอเธออยู่

ถ้าคิดจะรักกันหยุดที่ฉันคนเดียวได้ไหม
ก็เธอนั้นเร็วไป กลัวรั้งใจเอาไว้ไม่ทัน
หากเธอนั้นคิดแซง ไล่ตามไปก็คงจะไม่ไหว
ไม่เห็นเหรอหัวใจ ฉันกำลังหยุดรอเธออยู่",telex_telex
เอายังไง?,/music/thailyric/14477,"เธอก็ยังคงเหมือนเดิม
เริ่มกลับไปคิดถึงเขา คนที่เธอเคยรัก
ใจฉันมันถูกซ้ำเติม
เกินที่จะทนไหวแล้ว
ต้องขอพูดกับเธอให้เข้าใจ

ก็ฉันบังเอิญไปเจอ
ข้อความที่เธอกำลังเพ้อคิดถึงเรื่องในวันนั้น
ที่มีแค่เธอและเขา
ที่เขานั้นเป็นคนเดียวที่ทำให้เธอนั้นมีความสุข
มากกว่าฉัน
และเธอจะรั้งฉันไว้ทำไม

ช่วยบอกให้ฉันรู้ที ว่าเธอจะเอายังไง
จะเอายังไง ถ้าเธอยังรักเขาอยู่มากกว่าฉัน
ช่วยบอกให้ฉันรู้เลย ว่าฉันต้องทำยังไง
ทำยังไง เพื่อที่จะเป็นคนเดียวที่เธอรัก

เธอไม่ต้องบอกเสียใจ
ฉันแค่อยากจะรู้ ว่าควรต้องทำตัวแบบไหน
อยากให้เธอลองคิดดู
ถ้าหากเธอเป็นฉัน เธอนั้นจะรู้สึกเจ็บไหม

ก็ฉันบังเอิญไปเจอ
ข้อความที่เธอกำลังเพ้อคิดถึงเรื่องในวันนั้น
ที่มีแค่เธอและเขา
ที่เขานั้นเป็นคนเดียวที่ทำให้เธอนั้นมีความสุข
มากกว่าฉัน
และเธอจะยื้อฉันไว้ทำไม

ช่วยบอกให้ฉันรู้ที ว่าเธอจะเอายังไง
จะเอายังไง ถ้าเธอยังรักเขาอยู่มากกว่าฉัน
ช่วยบอกให้ฉันรู้เลย ว่าฉันต้องทำยังไง
ทำยังไง ช่วยบอกให้รู้ที ว่าฉันต้องทำยังไง

ช่วยบอกให้ฉันรู้ที ว่าเธอจะเอายังไง จะเอายังไง
ช่วยบอกให้ฉันรู้เลย ว่าฉันต้องทำยังไง ทำยังไง
ช่วยบอกให้ฉันรู้ที ว่าเธอจะเอายังไง จะเอายังไง
ช่วยบอกให้ฉันรู้เลย ว่าฉันต้องทำยังไง ทำยังไง",telex_telex
Labelle,/music/thailyric/14721,"บอกกับเธอไว้ก่อน
ว่าฉันไม่เป็นอย่างใคร
แค่เป็นที่ระบาย
แค่เพื่อนชวนคุยเวลาเหงา
ปล่อยออกมาให้หมด
กับเรื่องที่เธอนั้นทุกข์ใจ
มีเวลาไม่นาน
มาเริ่มคุยกันเลยดีไหม

ทำยังไงเธอก็คงไม่รัก
เป็นเพียงคนที่เธอใช้เพื่อแก้เหงา
ยอม ยอม เธอ ยอมให้เธอทำร้าย
และฉันรู้ดีว่าสุดท้ายเธอต้องไป

ไม่เห็นเป็นอะไร
อย่าเอามาใส่ใจ
แค่เธอใช้เพื่อแก้เหงา

ไม่เห็นเป็นอะไร
เอาเลยที่ถูกใจ
แค่เธอใช้เพื่อแก้เหงา

ก็เวลาที่ผ่าน
ชีวิตไม่เป็นอย่างใคร
เจอแต่ความเสียใจ
ไม่เหลือแล้วใครเข้าใจฉัน

ทำยังไงเธอก็คงไม่รัก
เป็นเพียงคนที่เธอใช้เพื่อแก้เหงา
ยอม ยอม เธอ ยอมให้เธอทำร้าย
และฉันรู้ดีว่าสุดท้ายเธอต้องไป

ไม่เห็นเป็นอะไร
อย่าเอามาใส่ใจ
แค่เธอใช้เพื่อแก้เหงา

ไม่เห็นเป็นอะไร
เอาเลยที่ถูกใจ
แค่เธอใช้เพื่อแก้เหงา

ทำยังไงเธอก็คงไม่รัก
เป็นเพียงคนที่เธอใช้เพื่อแก้เหงา
ยอม ยอม เธอ ยอมให้เธอทำร้าย
และฉันรู้ดีว่าสุดท้ายเธอต้องไป

ไม่เห็นเป็นอะไร
อย่าเอามาใส่ใจ
แค่เธอใช้เพื่อแก้เหงา

ไม่เห็นเป็นอะไร
เอาเลยที่ถูกใจ
แค่เธอใช้เพื่อแก้เหงา

ไม่เห็นเป็นอะไร
อย่าเอามาใส่ใจ
แค่เธอใช้เพื่อแก้เหงา

ไม่เห็นเป็นอะไร
เอาเลยที่ถูกใจ
แค่เธอใช้เพื่อแก้เหงา",telex_telex
ชิบูย่า (Shibuya),/music/thailyric/12201,"คืนนี้ช่างเดียวดาย ยังไม่ชินกับความเหงา
(ตั้งแต่วันนั้น ในวันที่ฉัน ได้บอกลาเธอไป)
แสงของไฟนีออน ทำให้เกิดเงาสะท้อน
(ที่คอยตอกย้ำ ว่าตัวของฉัน ยังคงไม่มีใคร)

บทเพลงที่เราชอบฟังถูกเปิดขึ้นอีกครั้ง
ดึงดูดให้ตัวฉัน ไปยังฟลอร์เต้นรำ
ด้วยฤทธิ์ของแอลกอฮอล์
ผสมกับความทรงจำ และความบังเอิญ
ก็พาให้ฉันพบเธอ

จากตรงนี้เธอดูมีความสุขดีนะ
ต่างจากวันที่เจอกันครั้งสุดท้าย
เธอร้องไห้บอกไม่มีฉันไม่ได้

จากตอนนั้นมันก็ยังไม่นานนะ
ก่อนจากกันเธอทิ้งประโยคสุดท้าย
เธอพูดว่าไม่มีใครแทนฉันได้
และคนที่อยู่ข้างเธอล่ะเป็นใคร

ดูเธอเริ่มร้อนใจเมื่อได้เจอกับตัวฉัน
(ไม่ต้องกังวล เมื่อในตอนนี้ เราไม่ได้รักกัน)
ยิ้มทักทายให้คนที่มากับเธอในคืนนี้
(ยินดีด้วยนะ กับคนๆ นี้ คนที่แทนฉันได้)

บทเพลงที่เราชอบฟังถูกเปิดขึ้นอีกครั้ง
ดึงดูดให้ตัวฉัน ไปยังฟลอร์เต้นรำ
ด้วยฤทธิ์ของแอลกอฮอล์
ผสมกับความทรงจำและความบังเอิญ
ก็พาให้ฉันพบเธอ

จากตรงนี้เธอดูมีความสุขดีนะ
ต่างจากวันที่เจอกันครั้งสุดท้าย
เธอร้องไห้บอกไม่มีฉันไม่ได้

จากตอนนั้นมันก็ยังไม่นานนะ
ก่อนจากกันเธอทิ้งประโยคสุดท้าย
เธอพูดว่าไม่มีใครแทนฉันได้
และคนที่อยู่ข้างเธอล่ะเป็นใคร

ได้เห็นสายตาที่เธอจ้องมองดูที่เขา
ทำให้ฉันนั้นคิดถึงวันคืนเก่าๆ
ที่เธอเคยมีร่วมกับฉัน
แต่ตอนนี้มันไม่มีอีกแล้ว
(ความบังเอิญก็พาให้ฉันพบเธอ)

จากตรงนี้เธอดูมีความสุขดีนะ
ต่างจากวันที่เจอกันครั้งสุดท้าย
เธอร้องไห้บอกไม่มีฉันไม่ได้

จากตอนนั้นมันก็ยังไม่นานนะ
ก่อนจากกันเธอทิ้งประโยคสุดท้าย
เธอพูดว่าไม่มีใครแทนฉันได้
และคนที่อยู่ข้างเธอล่ะเป็นใคร",telex_telex
