song_name,href,lyric,artist
อย่าเหงาเรื่อยเปื่อย,/music/thailyric/1933,"รู้ไหมฉันกลัว ในความปลื้มใจ
ต้องบอกเธอไว้ว่าฉันกลัว
เธอทำร้ายกันโดยที่เธอนั้นไม่รู้ตัว
ทำร้ายทุกครั้งที่โทรเข้ามา

เหงาซะมากมาย
โทรมาแล้วเธอก็บ่นว่าเหงาซะมากมาย
ยังดีที่มีฉันอยู่ตรงนี้ให้ระบาย
เป็นเพื่อนที่ไว้ใจตลอดมา

ถามว่าอยาก อยากคุยไหมฉันก็อยาก
แต่ถ้าไม่ลำบากก็อยากจะขอเธอ
อย่าโทรมาพูดคำว่าเหงาเรื่อยเปื่อย
เหนื่อยจะพูดเรื่องความเหงา
ที่ความจริงเธอไม่เคยเข้าใจ

คนที่ฟังเธอพูดว่าเหงาเท่าไร
คือคนที่รักรักเธอมากมายไม่อาจพูดไป
เธอว่าคนไหนที่เหงากว่า

เธอก็แค่วาง คุยกันแล้วเธอแค่ขอบใจฉันแล้วก็วาง
เธอลืมว่ามีคนหนึ่งคนนี้ที่อ้างว้าง
ความจริงก็เหงาไม่น้อยกว่าเธอ

ถามว่าอยาก อยากคุยไหมฉันก็อยาก
แต่ถ้าไม่ลำบากก็อยากจะขอเธอ
อย่าโทรมาพูดคำว่าเหงาเรื่อยเปื่อย
เหนื่อยจะพูดเรื่องความเหงา
ที่ความจริงเธอไม่เคยเข้าใจ

คนที่ฟังเธอพูดว่าเหงาเท่าไร
คือคนที่รักรักเธอมากมายไม่อาจพูดไป
เธอคงไม่รู้ว่ามัน เจ็บปวดที่ทำได้เพียงแค่รับฟัง
คนคนนี้ไม่มีหวัง ก็ไม่รู้อีกกี่ครั้งจะทนไม่ไหว

อย่าโทรมาพูดคำว่าเหงาเรื่อยเปื่อย
เหนื่อยจะพูดเรื่องความเหงา
ที่ความจริงเธอไม่เคยเข้าใจ

เธอมีฉันให้โทรเมื่อไม่มีใคร
แต่วันที่คิดถึงถึงเธอมากมายให้ฉันโทรหาใคร
เธอว่าคนไหนที่เหงากว่า",ten_nararak
อย่าปล่อยให้คนคนนึงคิดถึงเธอ,/music/thailyric/1932,"รู้ว่าขอบ่อย บ่อยจนเกินเข้าใจ
อยู่นานนานได้ไหม มาหากันบ้างสิ
ทั้งที่รู้อยู่ว่ามันดูไม่ดี แต่ความเหงาชนะทุกที
อยากให้เธอเข้าใจ

กลัวทุกอย่าง หวาดระแวงมันไปทุกอย่าง
เธอยิ่งห่าง ยิ่งโหดร้าย

อย่าปล่อยให้คนคนนึงคิดถึงเธอ
รอคอยจนเพ้อจนเหนื่อยจะขาดใจ
อยู่กับคำว่าเหงา ฉันกลัวเงาแห่งความหวั่นไหว
ได้ยินแต่เสียงหัวใจ
มันตะโกนใส่ร้ายว่าเธอไม่รักกัน

รู้ว่าเธอเหนื่อย เหนื่อยกับฉันทุกวัน
เหนื่อยกับความรำคาญ ผู้หญิงขี้เหงาไป
คิดถึงเธอบ่อย บ่อยเท่าลมหายใจ
อยู่คนเดียวก็ฟุ้งซ่านไป มันหลับตาไม่ลง

กลัวทุกอย่าง หวาดระแวงมันไปทุกอย่าง
เธอยิ่งห่าง ยิ่งโหดร้าย

อย่าปล่อยให้คนคนนึงคิดถึงเธอ
รอคอยจนเพ้อจนเหนื่อยจะขาดใจ
อยู่กับคำว่าเหงา ฉันกลัวเงาแห่งความหวั่นไหว
ได้ยินแต่เสียงหัวใจ
มันตะโกนใส่ร้ายว่าเธอ ไปอยู่กับใครไปทำอะไร

ทิ้งให้คนอ่อนไหว กอดความคิดถึง
จนนอนหลับไปกับใจปวดร้าว

อย่าปล่อยให้คนคนนึงคิดถึงเธอ
รอคอยจนเพ้อจนเหนื่อยจะขาดใจ
อยู่กับคำว่าเหงา ฉันกลัวเงาแห่งความหวั่นไหว
ได้ยินแต่เสียงหัวใจ
มันตะโกนใส่ร้ายว่าเธอไม่รักกัน

ได้ยินแต่เสียงหัวใจ
ถามว่าเธออยู่ไหน ทำไมถึงไม่มา",ten_nararak
ของหายอยากได้คืน,/music/thailyric/8436,"ทำไมไม่ยอมจบ ให้เธอได้คบใคร
เลิกตอแยได้ไหม เธอขอให้ฉันช่วยหยุดเสียที
ยิ่งฟังยิ่งสั่น มันเหมือนฉันแย่สิ้นดี
บอกเลิกแล้ว แต่วันนี้กลับทำเหมือนเสียดาย

อยากจะขอโทษจริงๆ ก็ไม่รู้อะไรมาสิงในใจ
ยิ่งดูเหมือนเขาและเธอคงรักกันจริง ยิ่งลุกเป็นไฟ
เกิดอยากได้เธอคืนมา หวงวันเวลาของเราทันที
กล้าทำทุกอย่าง ทุกทางที่มันไม่ดี ไม่คิดว่าผิดยังไง

อยากให้เข้าใจอาการผู้หญิงคนหนึ่งที่ตามรังควานให้วุ่นวาย
อยากได้ของที่เคยทิ้งไป อยากมีสิ่งนั้นในวันที่สาย
แต่ไม่มีวันจะได้คืน

โทรไปหาเธอบ่อย จงใจให้เขาฟัง
ได้เจอเขาบางครั้ง ก็พูดให้เขามองเธอไม่ดี
ไม่ว่าทางใด ก็ใช้ทุกๆ วิธี
สุดท้ายแล้วก็ได้รู้ ยิ่งทำก็ยิ่งอาย

อยากจะขอโทษจริงๆ ก็ไม่รู้อะไรมาสิงในใจ
ยิ่งดูเหมือนเขาและเธอคงรักกันจริง ยิ่งลุกเป็นไฟ
เกิดอยากได้เธอคืนมา หวงวันเวลาของเราทันที
กล้าทำทุกอย่าง ทุกทางที่มันไม่ดี ไม่คิดว่าผิดยังไง

อยากให้เข้าใจอาการผู้หญิงคนหนึ่งที่ตามรังควานให้วุ่นวาย
อยากได้ของที่เคยทิ้งไป อยากมีสิ่งนั้นในวันที่สาย

คนที่เคยอยู่ข้างกัน วันที่รู้ว่าสำคัญกว่าใคร
ก็นาทีที่เรียกยังไง ไขว้คว้าเท่าไหร่ก็ไม่ได้กอดอีกแล้ว

เกิดอยากได้เธอคืนมา หวงวันเวลาของเราทันที
กล้าทำทุกอย่าง ทุกทางที่มันไม่ดี ไม่แคร์ว่าของใคร
อยากให้เข้าใจอาการผู้หญิงคนหนึ่งที่ตามรังควานให้วุ่นวาย
อยากกอดคนที่โยนทิ้งไป อยากทำวันนี้ ให้ดีเท่าไหร่
ก็ไม่มีทางได้ทำ",ten_nararak
ถามเอาอะไร,/music/thailyric/1930,"เกลียดคำถามเธอ เมื่อยามที่พบเจอ
ว่าวันนี้ฉันไม่เป็นไรใช่ไหม
ถ้อยคำเหมือนหวังดี ที่เธอแค่พูดไป
อย่างไม่รู้จะพูดอะไรเท่านั้น

คนคนนึงที่โดนทิ้ง คงจะอยู่อย่างสุขสันต์
คำผ่านผ่านประเภทนั้น ถามเอาอะไร

วันที่เธอมีเขาข้างกัน
ข้างกายของฉันว่างเปล่า มันเหงาจะขาดใจ
แต่ละคืนยาวนานและแสนยากเย็น
ไม่รู้ต้องทำเช่นไร ให้ผ่านคืนโหดร้ายไปอีกคืน

หากต้องกลั้นใจ ไถ่ถามเพื่อทักทาย
ก็ช่วยถามบางคำที่ดีกว่านี้
อย่าทำเหมือนเห็นใจ อย่าทำเหมือนแสนดี
เมื่อเธอเองที่เป็นตัวการทุกอย่าง

คนคนนึงที่เธอทิ้ง คงไม่เจ็บเท่าไหร่มั้ง
คงไม่ปวดหรอกความหลัง จะถามเอาอะไร

วันที่เธอมีเขาข้างกัน
ข้างกายของฉันว่างเปล่า มันเหงาจะขาดใจ
แต่ละคืนยาวนานและแสนยากเย็น
ไม่รู้ต้องทำเช่นไร ให้ผ่านคืนโหดร้ายไปอีกคืน

วันที่เธอมีเขาข้างกัน
ข้างกายของฉันว่างเปล่า มันเหงาจะขาดใจ
แต่ละคืนยาวนานและแสนยากเย็น
ไม่รู้ต้องทำเช่นไร ให้ผ่านคืนโหดร้าย

วันที่เธอมีเขาข้างกัน
ข้างกายของฉันว่างเปล่า มันเหงาจะขาดใจ
หมดเวลาไปกับการร้องไห้จนหมดแรง
ให้มันง่วงไป เพื่อผ่านคืนโหดร้ายไปอีกคืน",ten_nararak
นอนไม่หลับ,/music/thailyric/1931,"แววตาที่เธอมองฉันวันนี้
กับท่าทีที่ดูว่าฉันไร้ความหมาย
เกินใจจะทนและรับเก็บไว้ข้างใน
เจ็บที่คำสุดท้ายเธอพูดว่าลาก่อน

หัวใจมันแตกสลาย น้ำตามันค่อยๆ ไหล
เมื่อเธอเดินจากฉันไป เธอคงไม่รู้

ฉันนอนไม่หลับทั้งคืน จะฝืนตัวเองเท่าไร
ก็นอนไม่หลับทั้งคืน จะเป็นอีกนานแค่ไหน
อยู่กับชีวิตช้ำๆ อย่างนี้ ฉันเคยมีมีเธอกอดไว้
มันยังไม่ชิน ที่ฉันต้องอยู่คนเดียว

เธอเป็นอะไรตัวฉันไม่รู้
แต่ก็ดูเธอเหมือนว่ารักแค่เพียงฉัน
ใจเลยไม่เคยเตรียมรับสถานการณ์
ที่ต้องโดนเธอพูดให้เลิกรากันไป

หัวใจมันแตกสลาย น้ำตามันค่อยๆ ไหล
เมื่อเธอเดินจากฉันไป เธอคงไม่รู้

ฉันนอนไม่หลับทั้งคืน จะฝืนตัวเองเท่าไร
ก็นอนไม่หลับทั้งคืน จะเป็นอีกนานแค่ไหน
อยู่กับชีวิตช้ำๆ อย่างนี้ ฉันเคยมีมีเธอกอดไว้
มันยังไม่ชิน ที่ฉันต้องอยู่คนเดียว

เธอเป็นสิ่งเดียวที่ฉันมี
เธอเป็นทุกอย่างของฉัน
ถ้าฉันกำลังจะตาย
ไม่รู้ว่าเธอจะมองกลับมาไหม อยากรู้

อยากให้เธอรู้

ฉันนอนไม่หลับทั้งคืน จะฝืนตัวเองเท่าไร
ก็นอนไม่หลับทั้งคืน จะเป็นอีกนานแค่ไหน
อยู่กับชีวิตช้ำๆ อย่างนี้ ฉันเคยมีมีเธอกอดไว้
มันยังไม่ชิน ที่ฉันต้องอยู่คนเดียว

เหมือนฉันกำลังจะตาย
แต่ฉันยังอยู่วันนี้ เพราะฉันจะอยู่รอเธอ",ten_nararak
ด้านได้อายอด,/music/thailyric/12259,"ถึงมาก่อนฉัน หรือมาทีหลัง
ไม่ใช่ข้ออ้างอะไร ถ้ารักจริง
เขามากับฉัน ไม่เคยไปแย่งชิง
ก็ช่วยไม่ได้จริงจริง ไม่ได้บังคับใจ

อะไรอะไร ออกจะชัดเจน
มันไม่จำเป็น ที่ฉันต้องคืนเขาให้ใคร

ถ้าหากว่าด้าน แล้วมันได้
ถ้าหากว่าอาย แล้วมันอด
อย่างงั้นก็ขอโทษ ที่จะไม่เกรงใจ
ถ้าอยากจะรัก ก็ต้องรัก
ถ้าหากหน้าบาง ก็ต้องถอยไป
ไม่เห็นใครจะดี ไปกว่าใคร
แล้วทำไมฉันต้องยอม

ถึงเป็นที่สอง หรือมือที่สาม
ได้น้ำใต้ศอก ก็ยังจะต้องกิน
พูดมาอย่างไร ก็ทำไม่ได้ยิน
ทุกวันมันเริ่มชาชิน ไม่แคร์ไม่สนใจ

อะไรอะไร ออกจะชัดเจน
มันไม่จำเป็น ที่ฉันต้องคืนเขาให้ใคร

ถ้าหากว่าด้าน แล้วมันได้
ถ้าหากว่าอาย แล้วมันอด
อย่างงั้นก็ขอโทษ ที่จะไม่เกรงใจ
ถ้าอยากจะรัก ก็ต้องรัก
ถ้าหากหน้าบาง ก็ต้องถอยไป
ไม่เห็นใครจะดี ไปกว่าใคร
แล้วทำไมฉันต้องยอม

ถ้าหากว่าด้าน แล้วมันได้
ถ้าหากว่าอาย แล้วมันอด
อย่างงั้นก็ขอโทษ ที่จะไม่เกรงใจ
ถ้าอยากจะรัก ก็ต้องรัก
ถ้าหากหน้าบาง ก็ต้องถอยไป
ไม่เห็นใครจะดี ไปกว่าใคร
แล้วทำไมฉันต้องยอม

ถ้าหากว่าด้าน แล้วมันได้
ถ้าหากว่าอาย แล้วมันอด
อย่างงั้นก็ขอโทษ ที่จะไม่เกรงใจ
ถ้าอยากจะรัก ก็ต้องรัก
ถ้าหากหน้าบาง ก็ต้องถอยไป
ไม่เห็นใครจะดี ไปกว่าใคร
แล้วทำไมฉันต้องยอม",ten_nararak
เสื่อม,/music/thailyric/12430,"คนอย่างเธอไม่เคยจะหาเอง
ไม่คิดอายสักนิดบ้างหรือไง
คอยจ้องมองจะเอาแต่ของใคร
ถ้าเผลอเธอก็คว้าไปทุกที

ทำตัวเป็นขโมย นิสัยเธอไม่ดี
เธอทำไมทำตัวได้น่ารังเกียจอย่างนี้
มันแก้ไม่หาย

เสียดายความสวย ก็ไม่ช่วยอะไร
มีดหมอดีแค่ไหน ก็ทำได้เพียงแต่หน้าตา
เสียดายอย่างเดียว ที่มันยากเกินเยียวยา
เขาคงไม่รักษา ถ้านิสัยเธอมันเสื่อม

คนอย่างเธอสมองไม่ใช้งาน
แยกแยะมันไม่เป็นบ้างหรือไง
ดึงจิตใจต่ำลงอยู่เรื่อยไป
ไม่คิดไม่ห้ามใจเลยสักที

ทำตัวเป็นขโมย นิสัยเธอไม่ดี
เธอทำไมทำตัวได้น่ารังเกียจอย่างนี้
มันแก้ไม่หาย

เสียดายความสวย ก็ไม่ช่วยอะไร
มีดหมอดีแค่ไหน ก็ทำได้เพียงแต่หน้าตา
เสียดายอย่างเดียว ที่มันยากเกินเยียวยา
เขาคงไม่รักษา ถ้านิสัยเธอมันเสื่อม

เสียดายความสวย ก็ไม่ช่วยอะไร
มีดหมอดีแค่ไหน ก็ทำได้เพียงแต่หน้าตา
เสียดายอย่างเดียว ที่มันยากเกินเยียวยา
เขาคงไม่รักษา ถ้านิสัยเธอมันเสื่อม

เขาคงไม่รักษา ถ้านิสัยเธอมันเสื่อม",ten_nararak
ความเฉยชาคือการบอกลาโดยไม่ต้องออกเสียง,/music/thailyric/8526,"ฉันไม่ได้ยินอะไร เธอไม่เคยจะพูดอะไร
ได้ยินเพียงแค่ใจของคนกำลังหมดรักกัน
ถึงเธอไม่บอกอะไร ก็คงมีค่าเท่าๆ กัน
เมื่อเธอเขียนคำๆ นั้นในแววตา

ก็ไม่ได้รู้ซึ้งแค่รู้สึก ใจเธอไม่เหลืออยู่
เธอคงไม่รู้การไม่ได้รัก ต้องบอกวิธีใด
ให้ฉันบอกให้ไหมฉันรู้ดี

ความเฉยชา คือการบอกลาโดยไม่ต้องออกเสียงใด
สิ่งที่เธอทำลงไป มันช่างเลือดเย็น
เธอไม่ต้องเอ่ยคำใด เพราะหัวใจพูดแทนอย่างชัดเจน
ไปจากฉัน ทนอยู่ไปเพื่ออะไร ถึงฉันจะเป็นจะตาย
ก็ไม่อยากเป็นคนถูกทิ้ง ด้วยสายตา

ทิ้งฉันให้อยู่ลำพัง อยู่กับความอ้างว้างเดียวดาย
ในบางครั้งก็ยังสงสัยเธอมีใครซ่อนอยู่
ทิ้งฉันเธอก็ไม่ทิ้ง จะดูแลฉันก็ไม่ดู
เธออย่าคิดว่าไม่รู้คนด้วยกัน

ก็ไม่ได้รู้ซึ้งแค่รู้สึก ใจเธอไม่เหลืออยู่
เธอคงไม่รู้การไม่ได้รัก ต้องบอกวิธีใด
ให้ฉันบอกให้ไหมฉันรู้ดี

ความเฉยชา คือการบอกลาโดยไม่ต้องออกเสียงใด
สิ่งที่เธอทำลงไป มันช่างเลือดเย็น
เธอไม่ต้องเอ่ยคำใด เพราะหัวใจพูดแทนอย่างชัดเจน
ไปจากฉัน ทนอยู่ไปเพื่ออะไร ถึงฉันจะเป็นจะตาย
ก็ไม่อยากเป็นคนถูกทิ้ง ด้วยสายตา

ความเฉยชา คือการบอกลาโดยไม่ต้องออกเสียงใด
สิ่งที่เธอทำลงไป ทำไมช่างดูเลือดเย็น
เธอไม่ต้องเอ่ยคำใด เพราะหัวใจพูดแทนอย่างชัดเจน
ไปจากฉัน ทนอยู่ไปเพื่ออะไร ถึงฉันจะเป็นหรือตาย
ก็ไม่อยากเป็นคนถูกทิ้งด้วยสายตา

ได้ยินกันบ้างไหม เสียงใจที่ฉันมี
หัวใจฉันตอนนี้กำลังร้องไห้",ten_nararak
จะจับมือกันได้นานเท่าไร,/music/thailyric/9330,"ฉันคนนึงที่ขอยอมเจ็บแค่เพียงผู้เดียว
และไม่ขอข้องเกี่ยวในชีวิตเธอ
ฉันบังเอิญแค่ผ่านมาเจอ ตอนที่เธอแค่เหงาใจ
รักฉันไป ก็แค่เท่านั้น

อยากถามเราจะจับมือกันได้นานเท่าไร
ใจที่ซ่อนเร้น ได้โปรดเถอะเห็นใจกัน
ความรักของฉันมันเกิดจากความอ่อนไหวแค่เพียงเท่านั้น
ถ้าสงสารกัน ปล่อยมือแล้วเดินจากไป

ฉันก็คนและเขาก็คนเหมือนๆ กัน
และที่มีเหมือนสิ่งหนึ่งก็คือหัวใจ
คนที่ควรจะจากเธอไป ไม่ใช่ใครก็ฉันเอง
ฉันไม่เก่ง ที่จะทำร้าย

อยากรู้เราจะจับมือกันได้นานเท่าไร
ใจที่ซ่อนเร้น ได้โปรดเถอะเห็นใจกัน
ความรักของฉันมันเกิดจากความอ่อนไหวแค่เพียงเท่านั้น
ถ้าสงสารกัน ปล่อยมือฉันแล้วเดินจากไป

ไม่ต้องมาใกล้ฉันพอเถอะได้ไหม ไม่อยากใกล้กันกว่านี้
ไม่ต้องมามองตาและเลิกค้นหา อะไรข้างในฉันเสียที
พอทีได้ไหมเพราะไม่ต้องการทำผิด ผิดไปกว่านี้

เราจะจับมือกันได้นานเท่าไร
ใจที่ซ่อนเร้น ได้โปรดเถอะเห็นใจกัน
ความรักของฉันมันเกิดจากความอ่อนไหวแค่เพียงเท่านั้น
ถ้าสงสารกัน ช่วยปล่อยฉันไว้อย่างเดิม
อย่ามารักฉันเลย ถ้าทำให้ใครต้องปวดใจ",ten_nararak
เสี่ยงเหลือเกิน,/music/thailyric/8808,"ฉันเหมือนคนที่มีเสื้อใส่
แต่ยังไม่พอใจกับที่ฉันมี
เพราะแค่เพียงได้เจอเสื้อใหม่
อย่างที่ฉันพอใจอยากจะรีบคว้า

ใครก็เตือนว่าไม่คุ้มกับสิ่งที่ฉันทิ้งไป
เพื่อสิ่งที่ฉันยังไม่ได้มา
ใครก็เตือนอย่ารีบร้อนจะเสี่ยงทำไมนะ
แต่มันก็ยังถลำไปหมดทั้งใจ

ฉันอุตส่าห์ไม่รักเขาเพื่อที่จะรักเธอ
ยอมทุ่มเทหมดแล้วให้เธอ แล้วเธอก็ทิ้งไป
เสียเค้าแล้วยังต้องเสียใจเธอสอนฉันให้เข้าใจ
การลงทุนเสี่ยงเหลือเกิน

ฉันทิ้งเขาที่ดีทุกอย่างทำเพื่อฉันทุกอย่าง
คนที่รักฉันกว่าใครฉันไม่รู้ต้องเสี่ยงแค่ไหน
แต่ยอมเดิมพันด้วยหัวใจเสี่ยงลงทุนมารักเธอ

ใครก็เตือนว่าไม่คุ้มกับสิ่งที่ฉันทิ้งไป
เพื่อสิ่งที่ฉันยังไม่ได้มา
ใครก็เตือนอย่ารีบร้อนจะเสี่ยงทำไมนะ
แต่มันก็ยังถลำไปหมดทั้งใจ

ฉันอุตส่าห์ไม่รักเขาเพื่อที่จะรักเธอ
ยอมทุ่มเทหมดแล้วให้เธอ แล้วเธอก็ทิ้งไป
เสียเขาแล้วยังต้องเสียใจเธอสอนฉันให้เข้าใจ
การลงทุนเสี่ยงเหลือเกิน

ฉันอุตส่าห์ไม่รักเขาเพื่อที่จะรักเธอ
ยอมทุ่มเทหมดแล้วให้เธอ แล้วเธอก็ทิ้งไป
เสียเขาแล้วยังต้องเสียใจเธอทำให้เข้าใจ
การลงทุนเสี่ยง ไม่รักเขาเพื่อที่จะรักเธอ
ทุ่มหมดแล้วให้เธอ

เธอทำให้เข้าใจ
เธอทำให้เข้าใจ
การลงทุนเสี่ยงเหลือเกิน",ten_nararak
