song_name,href,lyric,artist
กองไว้,/music/thailyric/14468,"ที่แล้วมา เธอไม่เคยดูแลหัวใจ
ที่แล้วมา เธอไม่มองว่าใครทุกข์ใจ

แต่ก่อนนั้น เธอเองที่ทิ้งฉันไปหาใหม่
ในวันนี้ กลับจะมาเสียใจ

เก็บเอาคำว่าเสียใจกองไว้ตรงนั้น
เพราะมันไม่มีค่าอันใด
ไปอยู่ที่ไหนมา เมื่อฉันไม่มีใคร
เธอไปไหน ไปไหน ที่ผ่านมา ที่เธอมองผ่าน
ที่ผ่านมาไม่เคยต้องการ
และมันก็นาน นานจนสายเกินไป

ต่อนี้ไป ความเข้าใจมันคงไม่มี
ต่อไปนี้ ตัวฉันคงทำใจได้ดี

จะบาปไหม หากฉันจะขอไปเสียที
ในวันนี้ อยากจะลืมหน้าเธอ

เก็บเอาคำว่าเสียใจกองไว้ตรงนั้น
เพราะมันไม่มีค่าอันใด
ไปอยู่ที่ไหนมา เมื่อฉันไม่มีใคร
สายไป ก็คงต้องให้เธอ

เก็บเอาคำว่าเสียใจกองไว้ตรงนั้น
เพราะมันไม่มีค่าอันใด
ไปอยู่ที่ไหนมา เมื่อฉันไม่มีใคร
เธอไปไหน ไปไหน ที่ผ่านมา ที่เธอมองผ่าน
ที่ผ่านมาไม่เคยต้องการ
และมันก็นาน นานจนสายเกินไป",the_mousses
ความจริง,/music/thailyric/10102,"ฉันตกหลุมรักเธอ หมดทั้งหัวใจ
แต่เหมือนว่าเธอนั้นมีใคร
อยู่ในหัวใจของเธอเรื่อยมา

ตัดใจจะลืม มันก็ยังยากเกินทำใจ
อยากเดินออกไป เดินออกไปให้ไกลๆ จากเธอ
แต่ใจไม่ยอม มันยังคงเรียกหาเพียงเธอ
ยังละเมอ เพียงแต่เธอเท่านั้น

ฝันแค่ในนั้นที่เธอเป็นของฉัน
เพียงในนั้นที่เราจะคู่กัน
มีเพียงเธอและฉันตลอดไป
แต่พอถึงเวลาที่ต้องลืมตา

ก็รู้ว่าสุดท้ายเป็นได้แค่เท่านั้น
ไม่มีวันที่เราจะคู่กัน
ไม่มีเธอและฉัน อย่างในฝัน
คงต้องรับความจริงว่าฉันคงไม่มีใคร

ตัดใจจะลืม มันก็ยังยากเกินทำใจ
อยากเดินออกไป เดินออกไปให้ไกลๆ จากเธอ
แต่ใจไม่ยอม มันยังคงเรียกหาเพียงเธอ
ยังละเมอ เพียงแต่เธอเท่านั้น

ฝันแค่ในนั้นที่เธอเป็นของฉัน
เพียงในนั้นที่เราจะคู่กัน
มีเพียงเธอและฉันตลอดไป
แต่พอถึงเวลาที่ต้องลืมตา

ก็รู้ว่าสุดท้ายเป็นได้แค่เท่านั้น
ไม่มีวันที่เราจะคู่กัน
ไม่มีเธอและฉัน อย่างในฝัน
คงต้องรับความจริงว่าฉันคงได้แค่

ฝันแค่ในนั้นที่เธอเป็นของฉัน
เพียงในนั้นที่เราจะคู่กัน
มีเพียงเธอและฉันตลอดไป
แต่พอถึงเวลาที่ต้องลืมตา

ก็รู้ว่าสุดท้ายเป็นได้แค่เท่านั้น
ไม่มีวันที่เราจะคู่กัน
ไม่มีเธอและฉัน อย่างในฝัน
คงต้องรับความจริงว่าฉันคงไม่มีใคร",the_mousses
เจ็บที่ต้องรู้,/music/thailyric/10563,"เหมือนว่ามีบางอย่างที่ขาดหาย
เหมือนว่ามีบางสิ่งที่ฉันยังไม่เข้าใจ
เหมือนว่าเธอกำลังจะเปลี่ยนไป
เหมือนว่าฉันกำลังต้องเสียเธอไป

ลำพังตัวฉันคงทำไม่ได้
จะฉุดรั้งหัวใจเธอเอาไว้
ให้ไปแค่ไหนคงไม่มีความหมาย
หากหัวใจเธอเปลี่ยนไป

แต่เจ็บที่ต้องรู้ ว่าเธอนั้นต้องไป
เจ็บที่ต้องยอมรับคำว่าเสียใจ
เจ็บที่่ต้องรู้ ว่าเขาคือคนใหม่
เจ็บที่วันนี้ เธอรักเขาหมดหัวใจ

เพราะว่ารักเธอเกินกว่าสิ่งไหน
เพราะหัวใจของฉันมีไว้ให้เธอคนเดียว
แม้หัวใจเธอเองไม่แลเหลียว
วันนี้ฉันเป็นเพียง ส่วนเกินที่เธอไม่ต้องการ

ลำพังตัวฉันคงทำไม่ได้
จะฉุดรั้งหัวใจเธอเอาไว้
ให้ไปแค่ไหนคงไม่มีความหมาย
หากหัวใจเธอเปลี่ยนไป

แต่เจ็บที่ต้องรู้ ว่าเธอนั้นต้องไป
เจ็บที่ต้องยอมรับคำว่าเสียใจ
เจ็บที่่ต้องรู้ ว่าเขาคือคนใหม่
เจ็บที่วันนี้ เธอรักเขาหมดหัวใจ

แม้วันเวลาจะพาสองเราให้มาเจอกัน
แต่เวลาก็พาเธอไปจากฉัน
เวลาทำร้ายทุกสิ่ง ทำร้ายทุกอย่าง

แต่เจ็บที่ต้องรู้ ว่าเธอนั้นต้องไป
เจ็บที่ต้องยอมรับคำว่าเสียใจ
เจ็บที่่ต้องรู้ ว่าเขาคือคนใหม่
เจ็บที่วันนี้ เธอรักเขา

แต่เจ็บที่ต้องรู้ ว่าเธอนั้นต้องไป
เจ็บที่ต้องยอมรับคำว่าเสียใจ
เจ็บที่่ต้องรู้ ว่าเขาคือคนใหม่
เจ็บที่วันนี้ เธอรักเขาหมดหัวใจ",the_mousses
ฉันไม่ดีหรือเธอ...,/music/thailyric/15545,"ที่ผ่านมาไม่เคยให้เธอเหนื่อย
ที่ผ่านมาไม่เคยทำให้เธอต้องเสียใจ
ทั้งหมดที่ให้เธอฉันให้หมดใจ
แต่สิ่งที่ฉันเจอคือเธอเลือกไป

สุดท้ายมันก็เท่านั้น
สุดท้ายเธอจะจากฉันไป

เฮ้ย รักไม่พอหรือไง
ที่เป็นคนดีให้เธอคนเดียวขนาดนี้
จะต้องให้ดีให้เธอพอใจขนาดไหน
ทำไมเธอไม่เคย ไม่เคย ไม่เคยรักกัน
อย่างที่ฉันรักเธอ

ไม่บอกก็รู้ดีว่าเธอเบื่อ
ไม่บอกก็รู้ดี เธออยากจากฉันไป
สรุปว่าแท้จริงนั้นเพราะอะไร
เพราะฉันมันไม่ดีหรือเธอไม่พอ

สุดท้ายมันก็เท่านั้น
สุดท้ายเธอจะจากฉันไป

เฮ้ย รักไม่พอหรือไง
ที่เป็นคนดีให้เธอคนเดียวขนาดนี้
จะต้องให้ดีให้เธอพอใจขนาดไหน
ทำไมเธอไม่เคย ไม่เคย ไม่เคยรักกัน
อย่างที่ฉันรักเธอ

เคยคิดว่าหัวใจ เป็นสิ่งที่สำคัญ
อยากได้รักจากใครให้ใช้ใจแลกมา
เธอทำให้ฉันนั้นตาสว่างด้วยคำลาในวันนี้

เฮ้ย รักไม่พอหรือไง
ที่เป็นคนดีให้เธอคนเดียวขนาดนี้
จะต้องให้ดีให้เธอพอใจขนาดไหน
ทำไมเธอไม่เคย ไม่เคย ไม่เคยรักกัน
อย่างที่ฉัน

เฮ้ย รักไม่พอหรือไง
ที่เป็นคนดีให้เธอคนเดียวขนาดนี้
จะต้องให้ดีให้เธอพอใจขนาดไหน
หากฉันยังดีไม่พอ หากฉันมันยังไม่ใช่
วันนี้ฉันจะไป ไปจากเธอ
ไปจากเธอ",the_mousses
เท (Tay),/music/thailyric/13863,"เหนื่อย มันเหนื่อยที่จะรักใคร
เหนื่อย ที่ต้องใช้หัวใจ
แล้วสุดท้ายก็ไม่เหลือใคร อยู่อย่างนี้
ไม่เคยจะได้เจอเลยสักที
คนที่เขารักเรา คงไม่มีมันคงไม่มีจริง

กี่คนที่เข้ามา ที่ทำเหมือนจะดี
พูดคำหวานหลอกให้เรา นั้นเทใจ
เบื่อก็ทิ้งกันอย่างเดิม ก็เทกันอย่างเดิม
ไม่อยากเสียใจ ไม่เอาแล้ว

พอแล้ว กับความรักลวงหลอก
จากนี้ไป ความรักที่ไม่จริงฉันขอพอ
เหนื่อยแล้ว ไม่อยากเสียน้ำตา
ไม่อยากเสียเวลา ไม่ขอรักใครแล้ว

เบื่อ เบื่อที่ต้องเสียใจ
เบื่อที่ต้องร้องไห้จนแทบ ไม่มีแม้น้ำตาให้ไหล
ถ้าใจฉันไม่มีใครต้องการ
งั้นฉันขอใช้มัน รักฉันเองก็แล้วกัน

กี่คนที่เข้ามา ที่ทำเหมือนจะดี
พูดคำหวานหลอกให้เรา นั้นเทใจ
เบื่อก็ทิ้งกันอย่างเดิม ก็เทกันอย่างเดิม
ไม่อยากเสียใจ ไม่เอาแล้ว

พอแล้ว กับความรักลวงหลอก
จากนี้ไป ความรักที่ไม่จริงฉันขอพอ
เหนื่อยแล้ว ไม่อยากเสียน้ำตา
ไม่อยากเสียเวลา ไม่ขอรักใครแล้ว

พอแล้ว กับความรักลวงหลอก
จากนี้ไป ความรักที่ไม่จริงฉันขอพอ
เหนื่อยแล้ว ไม่อยากเสียน้ำตา
ไม่อยากเสียเวลา ไม่ขอรักใครแล้ว

จะไม่ขอรักใคร อีกเลย",the_mousses
น้ำตาที่หาย,/music/thailyric/10863,"ทุกสิ่งจบแล้ว เธอบอกกับฉันในวันที่เธอจะจากไป
ไม่มีทางที่เราสองคนจะเริ่มใหม่ เธอจากไป
รักกันเท่าไร เมื่อหมดเวลาหนึ่งใจของคนก็หมดลง
และเป็นฉันที่ต้องเจ็บช้ำและต้องทุกข์ทน
อยู่อย่างนี้รู้ไหมแทบขาดใจ

เจ็บปวดรู้ไหมที่เธอโลเลหัวใจ
และมาวันนี้เธอเองที่ขอเริ่มใหม่
ให้เจ็บซ้ำๆ ก็คงจะไม่ไหว
เก็บใจของเธอเก็บมันไป ได้ไหม

เพราะน้ำตาที่หายๆ หายไป
วันนี้ฉันเองที่ต้องเจ็บที่สุดตอนนี้
โอ้ ฉันขอได้ไหม ได้ไหม ได้ไหมเธอ
วันนี้ฉันพอแล้วทุกอย่าง ให้มันจบไป
ปล่อยฉันได้เปลี่ยนไปรักใครใหม่

รักเธอเท่าไร ทุกสิ่งที่ทำให้เธอฉันทำมันจากใจ
แต่สุดท้ายที่ได้กลับมาคือความเสียใจ
พอได้ไหม ขอร้องแค่ปล่อยฉันไป

เจ็บปวดรู้ไหมที่เธอโลเลหัวใจ
และมาวันนี้เธอเองที่ขอเริ่มใหม่
ให้เจ็บซ้ำๆ ก็คงจะไม่ไหว
เก็บใจของเธอเก็บมันไป ได้ไหม

เพราะน้ำตาที่หายๆ หายไป
วันนี้ฉันเองที่ต้องเจ็บที่สุดตอนนี้
โอ้ ฉันขอได้ไหม ได้ไหม ได้ไหมเธอ
วันนี้ฉันพอแล้วทุกอย่าง ให้มันจบไป
ปล่อยฉันได้เปลี่ยนไปรักใครใหม่

เพราะน้ำตาที่หายๆ หายไป
วันนี้ฉันเองที่ต้องเจ็บที่สุดตอนนี้
โอ้ ฉันขอได้ไหม ได้ไหม ได้ไหมเธอ
วันนี้ฉันพอแล้วทุกอย่าง
ให้มันจบไป ปล่อยฉันได้เปลี่ยนไปรักใครใหม่

เพราะน้ำตาที่หายๆ หายไป
วันนี้ฉันเองที่ต้องเจ็บที่สุดตอนนี้
โอ้ ฉันขอได้ไหม ได้ไหม ได้ไหมเธอ
วันนี้ฉันพอแล้วทุกอย่าง ให้มันจบไป
ปล่อยฉันได้เปลี่ยนไปรักใครใหม่

รักเธอเท่าไร ทุกสิ่งที่ทำให้เธอฉันทำมันจากใจ
แต่สุดท้ายที่ได้กลับมาคือความเสียใจ
พอได้ไหม",the_mousses
ไม่เป็นไร,/music/thailyric/11429,"Baby.. I'll love you forever...
ไม่เป็นไร รู้ว่าเธอต้องไป
เข้าใจแล้วว่ารักของเรา มันเก่าเกินไป เก่าเกินไป
เมื่อเธอรักเขา วันนี้เธอรักเขาหมดหัวใจ
ก็ดีแล้ว ไม่ต้องอธิบายอะไรมากมาย ฉันไม่อยากฟัง

เมื่อสิ่งที่ฉันทำให้เธอทั้งหมด
แต่เธอกลับมองไม่เห็น
ไม่มี ไม่มี ฉันอยู่ในหัวใจ

ต่อจากนี้จะไปให้ไกล
ไปให้พ้นให้ไกลจากใจของเธอ
เธอรักเขาสักเท่าไร
หรือเขาสำคัญแค่ไหน
ก็ปล่อยให้รักของเราเป็นอดีตไป

ไม่เป็นไร ไม่รักกันก็โยนทิ้งไป
ไม่ต้องสนเพราะคนที่ต้องทนกับความเสียใจ
มันไม่ใช่เธอ

เมื่อสิ่งที่ฉันทำให้เธอทั้งหมด
แต่เธอกลับมองไม่เห็น
ไม่มี ไม่มี ฉันอยู่ในหัวใจ

ต่อจากนี้จะไปให้ไกล
ไปให้พ้นให้ไกลจากใจของเธอ
เธอรักเขาสักเท่าไร
หรือเขาสำคัญแค่ไหน
ฉันไม่อยากรับรู้

หนึ่งชีวิตที่เคยมีเธอ
แต่จากนี้ฉันคงต้องเจอแต่ความเสียใจ
วันนี้ฉันใจสลาย เพราะฉันไม่มีความหมาย
ก็ปล่อยให้รักของเราเป็นอดีตไป

ดนตรี

ต่อจากนี้จะไปให้ไกล
ไปให้พ้นให้ไกลจากใจของเธอ
เธอรักเขาสักเท่าไร
หรือเขาสำคัญแค่ไหน
ฉันไม่อยากรับรู้

หนึ่งชีวิตที่เคยมีเธอ
แต่จากนี้ฉันคงต้องเจอแต่ความเสียใจ
วันนี้ฉันใจสลาย เพราะฉันไม่มีความหมาย
ก็ปล่อยให้รักของเราเป็นอดีตไป

วันนี้ฉันใจสลาย เพราะฉันไม่มีความหมาย
ก็ปล่อยให้รักของเรา เป็นอดีตไป
ไม่เป็นไร..",the_mousses
หลอกให้รัก,/music/thailyric/12177,"ใช่ไหม นี่เธอไม่รักกันเลย ใช่ไหม
ที่ผ่านมานั้นมันคืออะไร
คนที่เคยรักกัน อยู่อยู่ก็หายไป

รู้ หรือว่าฉันไม่เคยเป็นคนนั้น
ที่เธอจะหันมองกันอย่างเขา
คนที่เธอยอม และวันนี้เธอพร้อมที่จะจากฉันไป

เธอมาหลอกให้รัก แล้วเธอก็ไป
คำที่บอกว่าเธอจะมีแค่ฉันพูดทำไม
วันนี้เธอกลับทำ
เหมือนกับฉันไม่มีความหมาย
ทิ้งฉันให้ตาย
แค่สุดท้ายเพราะเธอหมดใจ

ปวดใจ ที่ต้องมารู้ว่าฉันไม่เหลือใคร
ที่ต้องมาเห็นว่าเธอเป็นของใคร
มันเจ็บอย่างนี้เมื่อต้องรู้
ต่อให้รักเท่าไรเธอก็ไป

เธอมาหลอกให้รัก แล้วเธอก็ไป
คำที่บอกว่าเธอจะมีแค่ฉันพูดทำไม
วันนี้เธอกลับทำ
เหมือนกับฉันไม่มีความหมาย
ทิ้งฉันให้ตาย แค่สุดท้ายเพราะเธอหมดใจ

คนที่จะไปไม่ต้องทน ไม่ต้องเจ็บ
ไม่ต้องมาปวดร้าว เหมือนอย่างฉัน
ที่เธอไม่รักกัน และในวันนี้ เธอก็มาทิ้งกันไป

เธอมาหลอกให้รัก แล้วเธอก็ไป
คำที่บอกว่าเธอจะมีแค่ฉันพูดทำไม
วันนี้เธอกลับทำ
เหมือนกับฉันไม่มีความหมาย
ทิ้งฉันให้ตาย

เธอมาหลอกให้รัก แล้วเธอก็ไป
คำที่บอกว่าเธอจะมีแค่ฉันพูดทำไม
วันนี้เธอกลับทำ
เหมือนกับฉันไม่มีความหมาย
ทิ้งฉันให้ตาย แค่สุดท้ายเพราะเธอหมดใจ",the_mousses
อย่าเพิ่งใจร้าย,/music/thailyric/12719,"รักคือความเข้าใจ 
ที่ควรจะมีให้กัน
ในวันที่พลาดพลั้ง
รักต้องมีอภัย แต่เธอ 
เจ็บเพราะฉันทำซ้ำเกินทนไหว
ก็รู้ทำเธอปวดใจ ช้ำมาเท่าไร
วันนี้เพิ่งได้เข้าใจ ขอเธออย่าไป
และฉันขอเธอได้ไหม

จะได้ไหมถ้าขอสักครั้ง
อย่าเพิ่งเดินจากฉันไป
ลองทบทวนมันดูอีกที 
เธออย่าเพิ่งใจร้าย
ก็เราเคยรักกันแค่ไหน 
เธอคนดี จำได้ไหม
กับสิ่งที่ฉันนั้น
ทำพลาดไปและเธอต้องเสียใจ
ต่อจากนี้มันจะไม่มี 
เธอต้องไม่เจอความช้ำอย่างเคย
ขอได้ไหม ยกโทษให้ฉันเถอะ

รักที่เธอเข้าใจ 
ที่เธออภัยให้ฉัน 
ในวันเหล่านั้น
แต่ฉันไม่เคยสนใจ 
สุดท้าย ทำเธอเสียใจ
ซ้ำมันอย่างนั้น 
ก็รู้ทำเธอปวดใจ 
ช้ำมาเท่าไร
วันนี้เพิ่งได้เข้าใจ 
ขอเธออย่าไป
และฉันขอเธอได้ไหม

จะได้ไหมถ้าขอสักครั้ง
อย่าเพิ่งเดินจากฉันไป
ลองทบทวนมันดูอีกที 
เธออย่าเพิ่งใจร้าย
ก็เราเคยรักกันแค่ไหน 
เธอคนดี จำได้ไหม
กับสิ่งที่ฉันนั้น
ทำพลาดไปและเธอต้องเสียใจ
ต่อจากนี้มันจะไม่มี 
เธอต้องไม่เจอความช้ำอย่างเคย
ขอได้ไหม ยกโทษให้ฉันเถอะ

อย่าเพิ่งบอกว่าเธอไม่รัก 
แค่อยากให้เข้ามาทักสักนิดนึง
ครั้งหนึ่ง I kiss you and miss you
ยังจำกลิ่นของเธอได้เสมอ
ถ้าเราได้เจอกันอีกครั้ง 
แค่อยากจะเรียกเธอว่า baby boo
ไม่มี number two 
มีแต่ you คนเดียว just only u
ถึงผมมันจะเป็นแค่วายร้าย 
แต่ขอร้องเธออย่าเพิ่งใจร้าย
เลยจะได้ไหม 
Baby baby come back to me
คำขอร้องสุดท้าย 
can you please see me
ให้ผมทำอะไรก็ยอม 
ขอแค่มี you and me
Even if I have to 
swim across the sea
Cuz u and me,
we were meant to be
We were living life like,
just destiny
แต่วันนี่มันไม่มี 
ผมควรต้องทำยังไงดี
Can you please help me 
ช่วยมาบอกวิธี

จะได้ไหมถ้าขอสักครั้ง
อย่าเพิ่งเดินจากฉันไป
ลองทบทวนมันดูอีกที 
เธออย่าเพิ่งใจร้าย
ก็เราเคยรักกันแค่ไหน 
เธอคนดี จำได้ไหม
กับสิ่งที่ฉันนั้น
ทำพลาดไปและเธอต้องเสียใจ
ต่อจากนี้มันจะไม่มี 
เธอต้องไม่เจอความช้ำอย่างเคย
ขอได้ไหม ยกโทษให้ฉันเถอะ

ขอได้ไหม ยกโทษให้ฉันเถอะ",the_mousses
...บ้างไหม,/music/thailyric/8226,"ไกล ไกลสุดสายตา ขอบฟ้ายังกั้นเราไว้
เนิ่นนานแค่ไหน ที่ฉันไม่เคยได้เจอ
กับเธอคนดี คนนี้ที่รักที่สุด

รอ ฉันยังรอเพียงเธอ
ยังเหมือนเดิมเสมอ ตั้งแต่วันนั้น
กลิ่นรักของฉัน ยังหอมเหมือมเดิมรึเปล่า
อยากให้รู้ว่าเหงา เมื่อสองเราห่างกัน

เธอจะคิดถึงฉันไหม อยากกลับมาบ้างไหม
อยากจะกอดฉันไหม
อยากนอนร้องเพลงด้วยกันเหมือนเคย

แล้วเธอจะเหงาบ้างไหม เมื่อไม่มีใครตรงนั้น
ก็รีบกลับมาหาฉัน กลับมาที่เดิมที่เดิมของเรา

คิด คิดถึงแต่เพียงเธอ อยู่ใกล้กันเสมอ
สองเราต่างเคยหยอกเย้า
เธอเมื่อยตรงนั้น ตรงนี้เหมือนเดิมรึเปล่า
จูบกันทุกเช้า เธอนอนอยู่บนตัวฉัน

เธอจะคิดถึงฉันไหม อยากกลับมาบ้างไหม
อยากจะกอดฉันไหม
อยากนอนร้องเพลงด้วยกันเหมือนเคย

แล้วเธอจะเหงาบ้างไหม เมื่อไม่มีใครตรงนั้น
ก็รีบกลับมาหาฉัน เพราะฉันนั้นรักเพียงเธอ
เพียงเธอ เพียงเธอ รักเธอผู้เดียว
เธอคนเดียวเท่านั้น ที่ฉันต้องการ

ก็มันคิดถึงแต่เธอจนสุดหัวใจ
จูบผม ดม แล้วซบไหล่
เธอเมื่อยฉันจะนวดให้
จะนวดเธอ ให้หายคิดถึง คิดถึงอีกครั้ง

เธอจะคิดถึงฉันไหม อยากกลับมาบ้างไหม
อยากจะกอดฉันไหม
อยากนอนร้องเพลงด้วยกันเหมือนเคย

แล้วเธอจะเหงาบ้างไหม เมื่อไม่มีใครตรงนั้น
ก็รีบกลับมาหาฉัน เพราะฉันนั้นรักเพียงเธอ
เพียงเธอ เพียงเธอ รักเธอผู้เดียว
เธอคนเดียวเท่านั้น ที่ฉันต้องการ",the_mousses
