song_name,href,lyric,artist
เหมือนหลับตา,/music/thailyric/12200,"เช้ายังลืมตาขึ้นมองหา
เหมือนว่าเธอยังไม่ไปไหน

ในวันที่เมฆขาว เริ่มจางลงไป
แต่ทำไมหัวใจ
ฉันยังติดอยู่กับเรื่องของเธอ

ยังจำได้ทุกอย่าง จำได้แม้ว่าวันเวลา
จะผ่านหมุนไป เนิ่นนานเท่าไร
แต่หัวใจยังคง เก็บทุกเรื่องราว
แม้ว่าวันเวลาจะผ่านไปเนิ่นนาน
เหมือนหลับตา แล้วตื่นมายังคงเห็นเธอ
อยู่ตรงนี้

ทุกครั้งยังเดินผ่านตรงนี้
กลับไม่มีเธอยืนอยู่กับฉัน

ในวันที่เมฆขาว เริ่มจางลงไป
แต่ทำไมหัวใจ
ฉันยังติดอยู่กับเรื่องของเธอ

ยังจำได้ทุกอย่าง จำได้แม้ว่าวันเวลา
จะผ่านหมุนไป เนิ่นนานเท่าไร
แต่หัวใจยังคง เก็บทุกเรื่องราว
แม้ว่าวันเวลาจะผ่านไปเนิ่นนาน
เหมือนหลับตา แล้วตื่นมายังคงเห็นเธอ
อยู่ตรงนี้
อยู่ตรงนี้

ยังจำได้ทุกอย่าง จำได้แม้ว่าวันเวลา
จะผ่านหมุนไป เนิ่นนานเท่าไร
แต่หัวใจยังคง เก็บทุกเรื่องราว
แม้ว่าวันเวลาจะผ่านไปเนิ่นนาน
เหมือนหลับตา แล้วตื่นมายังคงเห็นเธอ
อยู่ตรงนี้",the_toys
ขอโทษที่เป็นแบบนี้,/music/thailyric/13508,"เป็นแค่คนๆ หนึ่ง ที่แสนธรรมดา
ไม่เห็นเป็นอย่างใครเขาที่มีทุกอย่างพร้อม

มีไหมดาวสักดวง หากฉันอยากขอพร
ช่วยฉันทีเถอะทำให้ฉันได้แสนวิเศษกับเขา

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้
ขอโทษที่ไม่พิเศษ เป็นแค่คนๆ เดียวที่ รักเธอ
ผิดที่ฉันนั้นดูแลเธอไม่ได้

บางเวลาที่เธอ ไม่ต้องการจะเจอ
ฉันเข้าใจว่าบางทีฉันก็น่ารำคาญ baby

มีไหมดาวสักดวง หากฉันอยากขอพร
ช่วยฉันทีเถอะทำให้ฉันได้แสนวิเศษกับเขา

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้
ขอโทษที่ไม่พิเศษ เป็นแค่คนๆ เดียวที่ รักเธอ
ผิดที่ฉันนั้นดูแลเธอไม่ได้

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้
ขอโทษที่ไม่พิเศษ เป็นแค่คนๆ เดียวที่ รักเธอ
และไม่ว่าจะถึงเมื่อไร รักเธอ",the_toys
จดหมาย,/music/thailyric/12083,"You just made my day and everything turns right
I'm not movin on. Just wanna sit and lookin' your brown eyes
And babe it's you, You tell me bout' that situation I should really turn back
And it's fine to know that you think we just friend, girl.

เพียงแต่ว่าไอฉันนั้นมัน ดันคิดไปไกล
เพียงแต่ว่าไอฉันนั้นเอง ที่อาจเผลอไป
เพียงแต่เขาคนนั้น ของเธอก็ดีเกินไป
ผิดเองแหละที่ฉันเองแหละ ที่คิดมากไป

หยิบปากกาอันหนึ่งขึ้นมา เขียนจดหมายไปหา
แต่ว่าใจมันก็ยังไม่กล้า กลัวว่าเธอไม่ให้อภัย
(ถ้าฉัน) คิดถึงเธอ (ถ้าฉัน) บอกรักเธอ
และเธอมาเห็นมัน คงโกรธกันมากมาย

เก็บปากกาอันนั้นไว้เลย ใส่กระเป๋าเอาไว้
อย่าให้ใครมาได้ยิน เสียงคำในหัวใจ
แค่ฉัน ได้รักเธอแค่นั้นก็พอ หนึ่งชีวิตก็ดีเท่าไร

หยิบปากกาอันหนึ่งขึ้นมา เขียนจดหมายไปหา
แต่ว่าใจมันก็ยังไม่กล้า กลัวว่าเธอไม่ให้อภัย
(ถ้าฉัน) คิดถึงเธอ (ถ้าฉัน) บอกรักเธอ
และเธอมาเห็นมัน คงโกรธกันมากมาย

เก็บปากกาอันนั้นไว้เลย ใส่กระเป๋าเอาไว้
อย่าให้ใครมาได้ยิน เสียงคำในหัวใจ
แค่ฉัน ได้รักเธอแค่นั้นก็พอ หนึ่งชีวิตก็ดีเท่าไร",the_toys
04:00,/music/thailyric/13850,"ตื่นขึ้นมาจากฝันดีๆ ในตอนตีสี่
ทั้งที่ไม่ได้คิดเรื่องอะไร บอกกับตัวเอง
เวลานี้ พยายามจะหลับตา
แต่ก็ทำไม่ได้สักทีไม่รู้ทำไม
ยังทำได้เพียงแค่สงสัยเป็นอะไร
ที่ฉันเองพยายามนอนหลับตา

ฝันฉันฝันถึงเธอ หลับตาลงทุกทียังเจอ
เธอในนี้ไม่ว่าคราใด อยากจะนอนหลับตาอย่างนี้เรื่อยไป
ยังฝันฉันฝันถึงเธอ หลับตาลงทุกทียังเจอ
เธอในนี้ไม่ว่าคราใด อยากจะนอนหลับตาอย่างนี้เรื่อยไป

ค่ำคืนที่แสนเหน็บหนาวที่เธอกอดเขาไว้
เป็นราตรีเดียวกับฉันที่ยังฝันว่าเธอ
กอดฉันทุกคืน ตรงนี้
แค่ได้เห็นเธอกับเขามันก็เจ็บแค่ไหน
ยังต้องทนทรมาน ยังต้องฝันถึงเธอ
ที่เธอยังกอดฉันในตรงนี้

นอนหลับตา ฝันฉันฝันถึงเธอ หลับตาลงทุกทียังเจอ
เธอในนี้ไม่ว่าคราใด อยากจะนอนหลับตาอย่างนี้เรื่อยไป
ยังฝันฉันฝันถึงเธอ หลับตาลงทุกทียังเจอ
เธอในนี้ไม่ว่าคราใด อยากจะนอนหลับตาอย่างนี้เรื่อยไป

ฝันฉันฝันถึงเธอ หลับตาลงทุกทียังเจอ
เธอในนี้ไม่ว่าคราใด อยากจะนอนหลับตาอย่างนี้เรื่อยไป
ยังฝันฉันฝันถึงเธอ หลับตาลงทุกทียังเจอ
เธอในนี้ไม่ว่าคราใด อยากจะนอนหลับตาอย่างนี้เรื่อยไป

ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ
ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ
ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ
ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ
ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ
ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ
ฝันฉันฝันถึงเธอ กอดเธอฉันนอนละเมอ",the_toys
Stars,/music/thailyric/14481,"คืนที่ดาวอยู่เต็มฟ้า
โปรดเถอะจันทรา
อย่าเพิ่งส่องมาได้ไหม
เพราะในตอนนี้ยังมีคนที่
เขาทนทรมานคือฉันเอง
คิดถึงเธอ

คืนที่ดาวอยู่เต็มฟ้า
โปรดเถอะจันทรา
อย่าเพิ่งส่องมาได้ไหม
เพราะในตอนนี้ยังมีคนที่
เขาทนทรมานคือฉันเอง
คิดถึงเธอ

ดังในราตรีท้องนภาเปิด
ดวงดาราพยายามทอแสงลงมา
ก่อนร่ำลาสนธยา
เสียงดาราสมฤดี
ร้องครวญคร่ำช้ำฤทัย
So trippin like we do with sixty nine
ไม่ต้องมองขึ้นไป

คืนที่ดาวอยู่เต็มฟ้า
โปรดเถอะจันทรา
อย่าเพิ่งส่องมาได้ไหม
เพราะในตอนนี้ยังมีคนที่
เขาทนทรมานคือฉันเอง
คิดถึงเธอ

คืนที่ดาวอยู่เต็มฟ้า
โปรดเถอะจันทรา
อย่าเพิ่งส่องมาได้ไหม
เพราะในตอนนี้ยังมีคนที่
เขาทนทรมานคือฉันเอง
คิดถึงเธอ",the_toys
Toy,/music/thailyric/13849,"ทำได้แค่เพียงมองดูเธอ
ค่อยๆ เดินจากไปอย่างช้าๆ
ก็ไม่ได้คิดว่าเธอทำผิด
ก็เรื่องแบบนี้ธรรมดา
เธอไม่ต้องที่จะอธิบาย
ถึงฉันรู้เธอก็ต้องไป
เป็นได้แค่นี้จริงๆ
แค่คนๆ เดียวที่รักเธอที่สุด

กระจกใบนี้มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง กระจกใบนี้

มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง กระจกใบนี้

กระจกใบนี้มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง กระจกใบนี้

มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง กระจกใบนี้

มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง กระจกใบนี้

มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง กระจกใบนี้",the_toys
ก่อนฤดูฝน,/music/thailyric/12607,"เพียงแค่ฝนตกลง
ที่หน้าต่างในบางครา
เพียงแค่ฝนตกลง
ในวันหยุดในตอนเช้า

มันก็อาจจะมีนิดเดียว
ที่คิดถึงเธอ
มันก็อาจจะเป็นครั้งเดียว
ที่บอกรักเธอ
เพียงแค่ฉันเองก็ไม่รู้ว่าในทุกๆ
วันที่มีแต่เธอ
ยังคงละเมอและเพ้อ
ทุกครั้งที่มองขึ้นไป

บนท้องฟ้าหยดน้ำค้าง
ตกกระทบในตาฉัน
แล้วในวันนี้พรุ่งนี้จะ
เป็นยังไงจะเดินจะกิน
จะนอนจนวันหนึ่งให้
วันเวลาเดินไปเท่าไร
แต่สุดท้ายแดดยามเช้าก็ไม่สดใส

เพียงแค่ฝนตกลง
ที่หน้าต่างในบางครา
เพียงแค่ฝนตกลง
ในวันหยุดในตอนเช้า
มันก็อาจจะมีนิดเดียว
ที่คิดถึงเธอ
มันก็อาจจะเป็นครั้งเดียว
ที่บอกรักเธอ

แต่สุดท้ายกาลเวลาก็บอกฉัน
ว่าเธอนั้นไม่ใช่ทุกอย่าง
และฉันก็ไม่ต้องการ
เธอในตอนนี้ ก็มีแค่เพียงฝน
มาอยู่กับฉันมาแทนที่เธอ
ในวันที่ฉันต้องการแค่

เพียงแค่ฝนตกลง
ที่หน้าต่างในบางครา
เพียงแค่ฝนตกลง
ในวันหยุดในตอนเช้า
มันก็อาจจะมีนิดเดียว
ที่คิดถึงเธอ
มันก็อาจจะเป็นครั้งเดียว
ที่บอกรักเธอ

เพียงแค่ฝนตกลง
ที่หน้าต่างในบางครา
เพียงแค่ฝนตกลง
ในวันหยุดในตอนเช้า
มันก็อาจจะมีนิดเดียว
ที่คิดถึงเธอ
มันก็อาจจะเป็นครั้งเดียว
ที่บอกรักเธอ",the_toys
พูดไม่ออก,/music/thailyric/15323,"ฉันคงจะตกหลุมรัก เธออีก
I just wonder บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออก
แต่รู้ว่าไม่ค่อยดีหรอก

ตกหลุมรัก เธออีก
I just wonder บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออก
แต่รู้ว่าไม่ค่อยดีหรอก

ฉันไม่คิดในชีวิตจะมาหลงรัก
ไม่มีสิทธิ์คิดอะไรแบบนั้นหรอก
รู้ฉันรู้มันยากจะบอก
เธอฉันไม่ควรเอาแต่ใจ
ถ้าเธอคิดจะไป

แค่เธอยิ้ม มองลงมา
ฉันก็เพ้อไปทุกทีทุกเวลา
เธอไม่เหมือนใคร
แต่ฉันคนธรรมดา
แต่ถ้าจะเก็บเธอไว้
ใครก็คงจะเวทนา

ฉันคงจะตกหลุมรัก เธออีก
I just wonder บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออก
แต่รู้ว่าไม่ค่อยดีหรอก

ตกหลุมรัก เธออีก
I just wonder บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออก
แต่รู้ว่าไม่ค่อยดีหรอก

แอบดูตอนที่เขา
ส่งข้อความ มาบอกเธอ
อย่าทำอย่างนี้ ทำอย่างนั้น
ฉันก็ได้แต่ แอบดูตอนที่เขา
ส่งข้อความ มาบอกเธอ
อย่าทำอย่างนี้ ทำอย่างนั้น
ฉันก็ได้แต่มอง

ฉันคงจะตกหลุมรัก เธออีก
I just wonder บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออก
แต่รู้ว่าไม่ค่อยดีหรอก

ตกหลุมรัก เธออีก
I just wonder บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออก
แต่รู้ว่าไม่ค่อยดีหรอก",the_toys
ลาลาลอย (100%),/music/thailyric/15244,"ฉันจะพาเธอลอย ล่องไปในอวกาศ
ที่มีแต่เธอ มีแต่เธอ เธอไม่ต้องกลัว
ฉันจะพาเธอลอย ล่องไปในอันตราย
จะมีแต่เธอ มีแต่เธอแต่ไม่ต้องกลัว

คิดถึงฉันวันละนิด คิดตอนเธอยังมีสิทธิ์
ชิดวันละนิดก็พอ
I said shit 100% rich ไม่ต้องคิดชีวิต
Lit เธอไม่ต้องนั่งรอ
I said ต้องพยายามทักไลน์
พรรณนามากมาย But you said bye bye
I said don't be a little kid
Just do it like a quiz
I'm gonna let u fly

ความรักจะไม่ตกหลุม
ความรักทำให้หลงรัก
เหนื่อยไหมอยากให้เธอพัก
ก่อนที่ฉันจะพาเธอลอย

ความรักจะไม่ตกหลุม
ความรักทำให้หลงรัก
เหนื่อยไหมอยากให้เธอพัก
ก่อนที่ฉันจะพาเธอลอย

ฉันจะพาเธอลอยล่องไปในอวกาศ
ที่มีแต่เธอมีแต่เธอ เธอไม่ต้องกลัว
ฉันจะพาเธอลอย ล่องไปในอันตราย
จะมีแต่เธอมีแต่เธอ แต่ไม่ต้องกลัว

ตอนจบก็ไม่มีใครเขาบอกเธอ
แค่ในละครยังหลอกเลย
แค่ไม่ได้คิดว่าก่อนเคยเป็นมายังไง
และพระเอกก็ไม่ได้พิเศษเสมอไป
หรือแสนดีเลิศเลออย่างเข้าใจ
แบบที่คิดไว้ใดๆ
I don't wanna take your time
สะดุดอีกแล้วหลงรักเธอจนละลาย
Oh baby girl I just wanna get you fly

ฉันจะพาเธอลอย ล่องไปในอวกาศ
ที่มีแต่เธอมีแต่เธอ เธอไม่ต้องกลัว
ฉันจะพาเธอลอย ล่องไปในอันตราย
จะมีแต่เธอมีแต่เธอ แต่ไม่ต้องกลัว",the_toys
เวลาขับรถ,/music/thailyric/15328,"รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

ฉันแอบมองเธอกำลังนอนหลับตา
แสงแดดยามเช้ากำลังส่องมาช้าๆ
ไม่มีเมฆฝน ไม่มีคนผ่านมา
แค่ในเวลา ที่ฉันจะอยู่

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

ในตอนที่ฝนตก
ยังสดใสเหมือนเดิมไม่เปลี่ยน
ในคืนเหน็บหนาว
เธอยังกอดฉันเหมือนเคยดั่งเมื่อวาน
ดั่งเมื่อวาน

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน

ดั่งเมื่อวาน

รถหนึ่งคัน ฉันกับเธอ
วิ่งละเมอ วิ่งหลงทาง นอกหน้าต่าง
ฉันและเธอ ดีเหลือเกิน ดีเหลือเกิน",the_toys
