song_name,href,lyric,artist
แค่เธอเข้ามา (Worth The Wait),/music/thailyric/19124,"ความรักในอดีต
อาจทำให้เธอไม่คิดเปิดใจ
ตัวฉันก็ไม่ต่าง
เลยรู้ว่าเธอเคยเจออะไร

คงไม่มีวันเจอคนที่จะไม่ทิ้งเราไป และ
คงไม่มีวันเจอคนที่ไม่ทำให้เสียใจ และ
คงไม่มีวันเจอคนที่คิดเหมือนกัน
ที่จริงจัง ไม่ทิ้งกัน
ได้แต่หวังให้เจอสักครั้ง

แค่เธอเข้ามา
วันเวลาที่เคยรอใครก็เลือนหาย
ทำให้ทุกการรอคอยมีความหมาย
ไม่รู้ว่าเป็นเพราะอะไร
เธอได้ทำให้ทุกๆ วันของฉันดีกว่า
วันที่ฉันไม่มีใคร

กี่ครั้งที่เจอ
กี่คนก็ลงเอยเหมือนทุกครา
แต่ฉันและเธอ
เรื่องของสองเราจะไม่เหมือนที่ผ่านมา

จะทำให้ความทรงจำของเราสองคนมีความหมาย
และพยายามให้ทุกๆ วันของเราเหมือนกับมันเป็นวันสุดท้าย

แค่เธอเข้ามา
วันเวลาที่เคยรอใครก็เลือนหาย
ทำให้ทุกการรอคอยมีความหมาย
ไม่รู้ว่าเป็นเพราะอะไร
เธอได้ทำให้ทุกๆ วันของฉันดีกว่า
วันที่ฉันไม่มีใคร

คงมีแค่เธอเพียงผู้เดียวที่ฉันยอมมอบหัวใจ
ขอเพียงแค่เธอมอบหัวใจไว้ให้ฉันเพียงผู้เดียว

คงมีแค่เธอเพียงผู้เดียวที่ฉันยอมมอบหัวใจ
ขอเพียงแค่เธอมอบหัวใจไว้ให้ฉันเพียงผู้เดียว

แค่เธอเข้ามา
วันเวลาที่เคยรอใครก็เลือนหาย
ทำให้ทุกการรอคอยมันมีความหมาย
อยากขอแค่เธอไม่ไปไหน
แค่อยากจะทำให้ทุกๆ วันของเธอดีกว่า
วันที่เธอไม่มีใคร",tilly_birds
ปลายนิ้ว (My Black Mirror),/music/thailyric/19103,"ไม่อยากคิดถึงเธอเพราะรู้ดี
คงไม่มีทางที่เราจะเป็นดังฝัน
เบื่อหน่ายจะพร่ำเพ้อสักที
คงไม่มีทางให้เราได้อยู่ด้วยกัน

แต่ดันไปเจอภาพเธอในกระจกสีดำ
ทำให้ฉันต้องพ่ายแพ้และยอมให้เธอทุกครั้ง
ยิ่งทนยิ่งฝืนเท่าไรให้ลืมเธอได้สักวัน
ภาพเธอปรากฏอีกครั้ง ส่องสว่างขึ้นมา

ใบหน้าเธอ
นั้นใกล้เพียงปลายนิ้วมือ
นี่คือทางเดียวที่จะได้เจอ
ยังแอบเผลอคิดไปว่าเราได้อยู่ใกล้กัน
เมื่อปลายนิ้วฉันได้อยู่ใกล้เธอ

ทำได้เพียงแค่เท่านี้ ใกล้เพียงปลายนิ้วมือ
ทำได้เพียงแค่เท่านี้ ไม่มีวันที่เธอ เป็นของฉัน

แต่เมื่อไปเจอภาพเธอในกระจกสีดำ
ทุกความทรงจำของเราก็หวนกลับคืนทุกครั้ง
ยิ่งทนยิ่งฝืนเท่าไรให้ลืมเธอได้สักวัน
ภาพเธอปรากฏอีกครั้งบนหน้าจอของฉัน

ใบหน้าเธอ
นั้นใกล้เพียงปลายนิ้วมือ
นี่คือทางเดียวที่จะได้เจอ
ยังแอบเผลอคิดไป ว่าเราได้อยู่ใกล้กัน
เมื่อปลายนิ้วฉันได้อยู่ใกล้เธอ

ทำได้เพียงแค่เท่านี้ ใกล้เพียงปลายนิ้วมือ
ทำได้เพียงแค่เท่านี้ ไม่มีวันที่เธอ เป็นของฉัน

มีแค่เพียงข้อความนี้
เขียนโดยปลายนิ้วมือ
หวังแค่เพียงข้อความนี้จะเข้าถึงใจของเธอ
เพียงสักครั้ง",tilly_birds
ผู้เดียว Part 2 (What's Left...),/music/thailyric/19101,"ไม่รู้ว่าเหลืออะไรให้ต้องคิดถึงอยู่ไหม
ถ้าหนึ่งชีวิตต้องหายไป ใครจะรู้สึกอย่างไร

เคยสุขใจมากแค่ไหนแต่สุดท้ายทุกคนต้องจาก
เจ็บพอแล้ว น้ำตาหมดแล้ว ใครจะเข้าใจข้างในนี้

เหนื่อยบ้างไหมกับคำถามตัวเอง
อีกนานไหมที่ต้องหาความหมาย
หนึ่งชีวิตจะอยู่เพื่ออะไร
หนึ่งความหมาย หากไม่ตายคงเจอ ในสักวัน

พรุ่งนี้ถึงหายใจ มันก็ไม่มีความหมาย
ไม่ต้องอธิบาย แค่ฟังฉันจะได้ไหม

แต่เกิดมามีแค่เรา วันสุดท้ายก็มีแค่เรา
จากไปแล้ว ไม่มีใครแล้ว คงไม่ต้องทุกข์ใจอย่างนี้

เหนื่อยบ้างไหมกับคำถามตัวเอง
อีกนานไหมที่ต้องหาความหมายอย่างนั้น
หนึ่งชีวิตจะอยู่เพื่ออะไร
หนึ่งความหมาย หากไม่ตายคงเจอ ในสักวัน

ไม่มีแม้ทางออก บอกฉันทีได้ไหม
จะกลับไปหาตัวฉันคนเดิม
มีทางบ้างไหม

ใครที่ยังรอ ให้ฉันนั้นกลับไป
ส่งเสียงออกมาให้ดังพอ
พอที่ฉันจะได้ยินจากตรงนี้
ที่มืดมิดจนไม่เห็นใคร

(เธอมีเพียงผู้เดียว)
(เธอมีเพียงผู้เดียว)
(มันคอยสอนว่า)
(คงมีสักวัน)

เหนื่อยบ้างไหมกับคำถามตัวเอง (เธอมีเพียงผู้เดียว)
อีกนานไหมที่ต้องหาความหมาย (เธอมีเพียงผู้เดียว)
หนึ่งชีวิตจะอยู่เพื่ออะไร (มันคอยสอนว่า)
หนึ่งความหมาย หากไม่ตายคงเจอ ในสักวัน (คงมีสักวัน)",tilly_birds
ไม่รู้สึก (Unspoken),/music/thailyric/19102,"เธอห้ามดวงอาทิตย์
ไม่ให้ส่องแสงไม่ได้
เธอห้ามฝนบนฟ้า
ไม่ให้โปรยลงมาไม่ได้

ก็เหมือนความรู้สึกฉัน ที่เธอพยายาม
ที่เธอพยายาม จะห้ามมัน
เธอจะบังคับ ให้ฉันฝืนไปทำไม
ฝืนได้ยังไง ก็เพราะมัน

มันเป็นไปไม่ได้ ที่จะไม่รู้สึก
ไม่รู้สึก คิดถึงเธอ
เธอทำไม่ได้ มาห้ามหัวใจ
ฝืนหัวใจ ฉันไม่ยอม
เป็นไปไม่ได้

เธอห้ามท้องฟ้า เธอห้ามนิทรา
เธอห้ามดวงดาว เธอทำไม่ได้
เธอห้ามน้ำตา ไม่ให้ไหลลงมา
จากตาฉัน เธอทำไม่ได้

มันเป็นไปไม่ได้ ที่จะไม่รู้สึก
ไม่รู้สึก คิดถึงเธอ
เธอทำไม่ได้ มาห้ามหัวใจ
ฝืนหัวใจ ฉันไม่ยอม

มันเป็นไปไม่ได้ ที่จะไม่รู้สึก
ไม่รู้สึก คิดถึงเธอ
เธอทำไม่ได้ มาห้ามหัวใจ
ฝืนหัวใจ ฉันไม่ยอม
เป็นไปไม่ได้",tilly_birds
เลิก! (Cut To The Chase!),/music/thailyric/19125,"ฉันเองก็รู้สึก เธอเองก็รู้สึก
ว่าลึกๆ ข้างใน ทั้งเธอและฉันก็หวั่นไหว
(และเราต้องการกันแค่ไหน)

ก็ดูเธอสนใจ เหมือนเธอจะคิดอะไร
เมื่อไรที่เธอมอง สายตาคู่นั้นมันก็ฟ้อง
(เธอซ่อนมันเอาไว้ เธอซ่อนฉันเอาไว้)
แต่ดันบอกฉันว่าไม่พร้อม
จะเอายังไงกับฉัน

ถ้าเธอไม่มีคำตอบ ก็ไม่ต้องมาบอก
เอาให้ชัดหน่อยได้ไหมว่ารู้สึกอย่างไร
ไม่อยากเสียเวลาต่อแต่ต้องมารอเธอ
อยากเลิก เลิกรอเธอสักที

ทุกสัมผัสของเธอ เมื่อเจอกันเมื่อไร
ทำให้ฉันไหวหวั่นแต่เธอก็หยุดอยู่แค่นั้น
(หากไม่ต้องการฉัน ไม่ต้องให้ความหวัง)
จะเอายังไงกับฉัน

ถ้าเธอไม่มีคำตอบ ก็ไม่ต้องมาบอก
เอาให้ชัดหน่อยได้ไหมว่ารู้สึกอย่างไร
ไม่อยากเสียเวลาต่อแต่ต้องมารอเธอ
อยากเลิก เลิกรอเธอสักที

เธอขอให้เธอได้ใช้เวลาคิด
เธอขอทบทวนความรู้สึกสักนิด
แต่เธอขอให้ฉันอย่าเพิ่งไปมีใคร
อย่างนี้เรียกเห็นแก่ตัว รู้ไหม

เข้าใจว่าสับสน ไม่รู้ต้องทำไง
แต่ทำไมเธอให้ความหวังและขังใจฉันไว้
แล้วมันใช่เรื่องของฉันไหม
ที่ต้องมารอเธอคิด
ไม่รู้สึกก็พูดมา
ฉันจะไม่ว่าอะไรเลย

ถ้าเธอไม่มีคำตอบ ก็ไม่ต้องมาบอก
เอาให้ชัดหน่อยได้ไหมว่ารู้สึกอย่างไร
ไม่อยากเสียเวลาต่อแต่ต้องมารอเธอ
อยากเลิก เลิกรอเธอสักที

ถ้าเธอไม่มีคำตอบ
ก็ไม่ต้องบอก
เลิกรอเธอสักที
ไม่อยากเสียเวลาต่อ
แต่ต้องมารอเธอ
เลิกรอเธอสักที",tilly_birds
ให้กอดของฉันบอกทุกอย่าง (Just So You Know),/music/thailyric/19104,"ถ้าเผื่อเธออยากจะรู้
ว่าฉันดีใจขนาดไหน
ที่เราบังเอิญ มาพบกันได้ไง

ให้เธอมอง
ว่าในดวงตาฉันมีความสุขเพียงใด
ตั้งแต่วันที่เธอไป
ฉันเองก็ไม่เคย ไม่คิดถึงเธอเลย

อย่าเพิ่งไปไหน จับมือฉันไว้
และ

ให้กอดของฉันบอกทุกอย่าง
ความคิดถึงที่ฉันเก็บไว้มานาน
ทุกความรู้สึกที่อยู่ภายในจิตใจ
ตั้งแต่วันที่เธอไปอยู่ในนี้
ในอ้อมกอดนี้ อย่าเพิ่งรีบไป

เราไม่ได้เจอกันนานเท่าไร
เธอจำได้ไหม
เราไม่ได้คุยกันนานเท่าไร
ตั้งแต่ตอนไหน
ในความฝันของฉัน
ยังเป็นภาพเธออย่างนั้น
ความคิดถึงของฉันไม่เคยไปถึงเธอสักครั้ง

เราไม่ได้เจอกันนานเท่าไร
เธอจำได้ไหม
เราไม่ได้คุยกันนานเท่าไร
ตั้งแต่ตอนไหน
ในความฝันของฉัน
ยังเป็นภาพเธออย่างนั้น
ความคิดถึงของฉันไม่เคยไปถึงเธอสักครั้ง

อย่าเพิ่งไปไหน จับมือฉันไว้
และ

ให้กอดของฉันบอกทุกอย่าง
ความคิดถึงที่ฉันเก็บไว้มานาน
ทุกรอยยิ้มเธอ ยังคงจำในจิตใจ
ในทุกครั้งที่หลับตา
แม้เราเลิกราแต่ภาพเธอยังตราตรึง
ยังคงฝังในส่วนลึก
ทุกความรู้สึกที่อยู่ภายในจิตใจ
ตั้งแต่วันที่เธอไปอยู่ในนี้
ในอ้อมกอดนี้ อย่าเพิ่งรีบไป

อย่าเพิ่งรีบไป",tilly_birds
ขอให้เธอโชคดี (Send You Off),/music/thailyric/22565,"คำร้อง อนุโรจน์ เกตุเลขา, Chamil Arin และ BABEPOOM
ทำนอง ธุวานนท์ ตันติวัฒนวรกุล, อนุโรจน์ เกตุเลขา
เรียบเรียง ธุวานนท์ ตันติวัฒนวรกุล
สังกัด Gene Lab

เหมือนว่าใจเธอดูเปลี่ยนไป
เธอมองฉันเหมือนคนห่างไกล
ฉันมองภาพเราในวันนั้น
มันไม่เหมือนที่เราเป็นอยู่

คำถามที่เธอได้ฝากไว้
เราลองห่างกันดีกว่าไหม
ลองทบทวนกันดูอีกครั้ง
เธอเหนื่อยแล้ว ที่เป็นอยู่

ถ้ามันต้องจบแล้ว ฉันก็เข้าใจ
ในใจฉันก็รู้ว่าเธออยากไป
อาจเป็นเพราะว่าฉันมันยังไม่ใช่
ก็ไม่เป็นไร เพราะถึงยังไง ฉันก็อยาก

ขอ ให้เธอโชคดี
ได้มีชีวิตที่เธอต้องการ
ได้เจอคนที่ใช่กว่าฉัน
ได้เจอคนที่เธอใฝ่ฝัน

ฉัน แค่โชคไม่ดี
ไม่ใช่คนนั้นที่เธอต้องการ
คงมีสักคนที่ต้องการฉัน
คงมีสักวันที่ได้เจอกัน

ภาวนาไม่ให้เธอไป
ก็ต้องเข้าใจว่าเธอนั้น
ไม่ได้รู้สึกเหมือนที่ฉันรู้สึก
ก็ไม่อยากฝืนให้เธอต้องทนอีกแล้ว

สิ่งเดียวที่อยากเห็นคือเธอสุขใจ
ถึงแม้ความสุขนั้นคือเธออยากไป
อาจเป็นเพราะว่าฉันมันยังไม่ใช่
ก็ไม่เป็นไร เพราะถึงยังไง ฉันก็อยาก

ขอ ให้เธอโชคดี
ได้มีชีวิตที่เธอต้องการ
ได้เจอคนที่ใช่กว่าฉัน
ได้เจอคนที่เธอใฝ่ฝัน

ฉัน แค่โชคไม่ดี
ไม่ใช่คนนั้นที่เธอต้องการ
คงมีสักคนที่ต้องการฉัน
คงมีสักวันที่ได้เจอกัน

ถึงเธอไม่ได้อยู่กับฉัน
ถึงแม้ฉันนั้นอาจผิดหวัง
ถึงเราไม่ได้เป็นดั่งฝัน
ก็ขอให้เธอโชคดี ขอให้เธอโชคดี

ขอ ให้เธอโชคดี
ได้มีชีวิตที่เธอต้องการ
ได้เจอคนที่ใช่กว่าฉัน
ได้เจอคนที่เธอใฝ่ฝัน

ฉัน แค่โชคไม่ดี
ไม่ใช่คนนั้นที่เธอต้องการ
คงมีสักคนที่ต้องการฉัน
คงมีสักวันที่ได้เจอกัน

ถึงเธอไม่ได้อยู่กับฉัน
ถึงแม้ฉันนั้นอาจผิดหวัง
ถึงเราไม่ได้เป็นดั่งฝัน
ก็ขอให้เธอโชคดี ขอให้เธอโชคดี

ถึงเธอไม่ได้อยู่กับฉัน
ถึงแม้ฉันนั้นอาจผิดหวัง
ถึง เราไม่ได้เป็นดั่งฝัน
ก็ขอให้เธอโชคดี ขอให้เธอโชคดี",tilly_birds
คิด (แต่ไม่) ถึง (Same Page?),/music/thailyric/17506,"คิดอยู่ทุกวัน คิดอยู่ทุกคืน
คิดว่าสักวัน ตัวฉันคงถูกลืม

น้อยลงทุกวัน ที่เราคุยกัน
เพราะว่าอะไร เธอถึงได้เปลี่ยนไป

คิด (แต่ไม่) ถึง
คิด คิด (แต่ไม่) ถึงเธอ
คิด (แต่ไม่) ถึง
คิด คิด (แต่ไม่) ถึงเธอ

เธอรู้บ้างไหม
ว่ามีใครทนทุกข์ทรมาน
อยากรู้เพียง

ว่าความคิดถึงของเธอกับฉัน
มันเท่ากันหรือเปล่า
ถามจริงๆ ว่าใจเธอเปลี่ยนไปหรือเปล่า
ฉันไม่คิดไปเองใช่ไหม
ความคิดถึงที่ฉันได้เคยส่งไป
ส่งไปไม่เคยถึงเธอเลย

ยังนึกถึงวันนั้น วันที่เราหัวเราะกัน
ไม่เคยลืมรอยยิ้มเธอสักครั้ง

จำได้ไหม วันที่เราทะเลาะกัน
เธอยังอภัยให้ฉันอยู่ทุกครั้ง
ทุกความทรงจำยังทำให้ฉัน

คิด (แต่ไม่) ถึง
คิด คิด (แต่ไม่) ถึงเธอ
คิด (แต่ไม่) ถึง
คิด คิด (แต่ไม่) ถึงเธอ

เธอรู้บ้างไหม
ว่ามีใครทนทุกข์ทรมาน
อยากรู้เพียง

ว่าความคิดถึงของเธอกับฉัน
มันเท่ากันหรือเปล่า
ถามจริงๆ ว่าใจเธอเปลี่ยนไป หรือเปล่า
ฉันไม่คิดไปเองใช่ไหม
ความคิดถึงที่ฉันได้เคยส่งไป

ส่งไปได้เพียงในความทรงจำ
ที่มีเราเรื่อยมา
แค่นึกภาพตอนนั้น ฉันก็มีน้ำตา
รู้บ้างไหมว่าเจ็บแค่ไหน
ความคิดถึงที่ฉันได้เคยส่งไป
ส่งไปไม่เคยถึงเธอเลย

(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)

ว่าความคิดถึงของเธอกับฉัน
มันเท่ากันหรือเปล่า
ถามจริงๆ ว่าใจเธอเปลี่ยนไป หรือเปล่า
ฉันไม่คิดไปเองใช่ไหม
ความคิดถึงที่ฉันได้เคยส่งไป

ส่งไปได้เพียงในความทรงจำ
ที่มีเราเรื่อยมา
แค่นึกภาพตอนนั้น ฉันก็มีน้ำตา
รู้บ้างไหมว่าเจ็บแค่ไหน
ความคิดถึงที่ฉันได้เคยส่งไป
ส่งไปไม่เคยถึงเธอเลย

(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)

ส่งไปไม่เคยถึงเธอเลย
ถ้าเธอนั้นจะไม่กลับมา
อยากให้รู้ว่าทุกๆ ช่วงเวลา
ไม่เคยไม่คิดถึงเธอเลย",tilly_birds
แค่พี่น้อง (Status),/music/thailyric/16273,"ในตอนนี้ สถานะของฉันคืออะไร
ในตอนนี้ ฉันยังสำคัญใช่ไหม
แต่พอใครถาม ไม่เหมือนที่คุยกันไว้
เธอตอบเขา ฉันเป็นแค่พี่น้องกัน

คนที่ทำให้เธอยิ้ม
คนที่ทำให้สุขสันต์
คนที่ทำให้เธอผูกพัน
คนที่ทำให้ประทับใจอยู่ทุกครั้ง (ทุกครั้ง)
คนที่ทำให้เธอหลง
และเป็นคนคอยไปรับไปส่งอยู่ทุกวัน
อยากจะให้โอกาสเธอ บอกกับเขาอีกสักครั้ง

(เนี่ยอ่อพี่น้องกัน)

แค่พี่น้อง พูดมาได้ไงคำนี้
โอ้คนดี รู้ไหมมันไม่น่ารัก
แค่พี่น้อง ที่ไหนเขาทำอย่างนี้
อยากจะถามให้ชัดๆ
ว่าพี่น้องประสา อะไร

เธอรู้ดีว่าเธอกับฉันนั้นเป็นอะไร
และเธอก็รู้ดี มันมีความหมายแค่ไหน
ถ้าไม่ใช่ความรัก เธอจะเรียกมันว่าอะไร
เธอบอกเขา ว่าเป็นแค่พี่น้องกัน

คนที่ทำให้เธอยิ้ม
คนที่ทำให้สุขสันต์
คนที่ทำให้เธอผูกพัน
คนที่ทำให้ประทับใจอยู่ทุกครั้ง (ทุกครั้ง)
คนที่ทำให้เธอหลง
และเป็นคนคอยไปรับไปส่งอยู่ทุกวัน
อยากจะให้โอกาสเธอ บอกกับเขาอีกสักครั้ง

(เนี่ยอ่อพี่น้องกัน)

แค่พี่น้อง พูดมาได้ไงคำนี้
โอ้คนดี รู้ไหมมันไม่น่ารัก
แค่พี่น้อง ที่ไหนเขาทำอย่างนี้
อยากจะถามให้ชัดๆ
ว่าพี่น้องประสา อะไร

แค่พี่น้อง พูดมาได้ไงคำนี้
โอ้คนดี รู้ไหมมันไม่น่ารัก
แค่พี่น้อง ที่ไหนเขาทำอย่างนี้
อยากจะถามให้ชัดๆ
ว่าพี่น้องประสา อะไร

แค่พี่น้อง พูดมาได้ไงคำนี้
แต่เราสอง รู้ดีเราเป็นอะไร
แค่พี่น้อง ที่ไหนเขาทำอย่างนี้
อยากจะถามให้ชัดๆ
ว่าพี่น้องประสาอะไร",tilly_birds
ใครพี่น้องเธอ,/music/thailyric/16415,"ในตอนนี้ สถานะของฉันคืออะไร
ในตอนนี้ ฉันยังสำคัญ ใช่ไหม
ใครนะที่ชอบเผลอมาเดินจูงมือกับฉัน
ทุกคืนต้องส่งข้อความมาละ
Good night

ใครอะ ที่เธอโทรหาตลอด (ใคร)
ใครอะ ที่อยู่กับเธอทุกวัน ว่าไง
ใครนะ ที่เธอชอบหวงเวลาไปคุยกับใคร
Oh baby hmmm ไหนใคร
เธอตอบเขา ฉันเป็นแค่เพื่อนของเธอ

Ooh ดูไงก็เห็นว่าเราน่ะ เป็นอะไร
Ooh ใครๆ ก็รู้ ดูไงก็ใช่
บอกเขาว่าไม่ใช่แฟน
บอกเขาว่า I'm your friend
เพิ่งรู้ว่าเราแค่เพื่อนเท่านั้น
ตอบอย่างกับเซเลบซะงั้น

Who's your friend huh
Who's your friend huh
ใครเพื่อนเธอ ไหน พูดอีกที (นานานานานา)
Who's your friend huh
Who's your friend huh
เพื่อนที่ไหน เขาทำอย่างนี้ (นานานานานา)
พูดไม่คิด ว่าเธอไม่คิด แค่เพื่อนสนิท Ah ah
อยากจะถามให้ชัดๆ ว่าพี่น้องประสาอะไร

Ask real
นี่เธอพูดจริงว่าเป็นพี่น้องกันใช่ป่ะ
นี่เธอเดินจูงมือกับน้องเธอทุกคนป่ะ Huh
เธอ Say good night ก่อนนอน Every night
มันใช่อะไรที่ทำกับพี่น้องเธอใช่รึเปล่า
มันมีความหมายแค่ไหน
ถ้าไม่ใช่ความรัก เธอจะเรียกมันว่าอะไร
กลัวเรตติ้งจะตกป่ะ เลยต้องทำเป็นโสดอะ
อยากเป็นพี่ฉันใช่ไหม Huh

คนที่ทำให้เธอยิ้ม
คนที่ทำให้สุขสันต์ คนที่ทำให้เธอผูกพัน
คนที่ทำให้ประทับใจอยู่ทุกครั้ง
คนที่ทำให้เธอหลงและเป็นคนคอย
ไปรับไปส่งอยู่ทุกวัน
อยากจะให้โอกาสเธอบอกกับเขาอีกสักครั้ง
(เนี่ยอ่อพี่น้องกัน)

แค่พี่น้อง พูดมาได้ไง คำนี้ (นานานานานา)
โอ้คนดี รู้ไหม มันไม่น่ารัก (นานานานานา)
แค่พี่น้อง ที่ไหน เขาทำอย่างนี้
บอกเลยนะ ใครเชื่อเธอก็บ้า ถามจริง

เนี่ยอ่อพี่น้องกัน
เนี่ยอ่อพี่น้องกัน
เนี่ยอ่อพี่น้อง

เพิ่งรู้ว่าเราเป็นแค่พี่น้อง ตอบอย่างกับเซเลบซะงั้น

Who's your sister
Who's your sister พูดมาได้ไงคำนี้
Who's your sister
Who's your sister รู้ไหม มันไม่น่ารัก
พูดไม่คิด ว่าเธอไม่คิด
เป็นแค่พี่น้อง พูดมาได้ไง
บอกเลยนะ ใครเชื่อเธอก็บ้า

Who's your friend huh
Who's your friend พูดมาได้ไงคำนี้
Who's your friend huh
Who's your friend รู้ไหมมันไม่น่ารัก
พูดไม่คิด ว่าเธอไม่คิด
แค่เพื่อนสนิท Ah ah ah ah
อยากจะถามให้ชัดๆ ว่าเพื่อน ประสา อะไร",tilly_birds
