song_name,href,lyric,artist
เสียใจแต่เธอไม่รู้,/music/thailyric/1909,"ฉันไม่รู้ต้องทำตัวอย่างไร
เมื่อเธอบอกลาในวันนั้น แน่ใจที่เลิกจะกัน
อยากจะห้าม อยากห้ามเธอ
ไม่ให้ไปจากกันได้ไหม
ก็ไม่รู้ว่าฉันจะพูดว่าอย่างไร

(จะบอกเธอยังไง) ติดที่ใจมันยังรับไม่ไหว
(จะบอกเธอยังไง) คำพูดมากมายถูกกดดันเอาไว้
(จะบอกเธอยังไง) แต่วันนี้ (ในวันนี้) อยากให้เธอได้รู้
มันอยากจะพูดให้เธอได้เข้าใจ (อยากให้เธอรู้)

เสียใจแต่เธอไม่รู้ เฝ้าดูเธอนั้นเดินจากไป
เสียใจเท่าไรรู้ไหม ที่ฉันทำผิดคิดไม่ค่อยทัน
คนมันปากแข็ง ก็ไม่ได้จะขอโทษเธอสักคำ
เรื่องทุกๆ อย่าง ที่ฉันได้ทำไป
ฉันแค่อยากให้เธอ ยังให้โอกาสแก้ตัว

ฉันก็รู้เรามีเรื่องผิดใจ เข้าใจผิดกันในวันนั้น
รู้ดีฉันมันแย่เอง อยากจะพูด
อยากอ้อนวอนให้เธอกลับมาแค่ไหน
ก็ไม่รู้ทำไมมันยากที่จะขอ

(จะบอกเธอยังไง) ติดที่ใจมันยังรับไม่ไหว
(จะบอกเธอยังไง) คำพูดมากมายถูกกดดันเอาไว้
(จะบอกเธอยังไง) แต่วันนี้ (ในวันนี้) อยากให้เธอได้รู้
มันอยากจะพูดให้เธอได้เข้าใจ (อยากให้เธอรู้)

เสียใจแต่เธอไม่รู้ เฝ้าดูเธอนั้นเดินจากไป
เสียใจเท่าไรรู้ไหม ที่ฉันทำผิดคิดไม่ค่อยทัน
คนมันปากแข็ง ก็ไม่ได้จะขอโทษเธอสักคำ
เรื่องทุกๆ อย่าง ที่ฉันได้ทำไป
ฉันแค่อยากให้เธอ ยังให้โอกาสแก้ตัว

เสียใจแต่เธอไม่รู้ เฝ้าดูเธอนั้นเดินจากไป
เสียใจเท่าไรรู้ไหม ที่ฉันทำผิดคิดไม่ค่อยทัน

เสียใจแต่เธอไม่รู้ เฝ้าดูเธอนั้นเดินจากไป
เสียใจเท่าไรรู้ไหม ที่ฉันทำผิดคิดไม่ค่อยทัน
คนมันปากแข็ง ก็ไม่ได้จะขอโทษเธอสักคำ
เรื่องทุกๆ อย่าง ที่ฉันได้ทำไป
อยากจะขอเธอช่วย ยังให้โอกาสแก้ตัว",two_popetorn
แค่เป็นเธอ (Something Special),/music/thailyric/10112,"love อยากให้เธอมองเห็นตัวเธอเองผ่านสายตาฉัน
เพราะว่ามัน ยากเกินจะอธิบายด้วยถ้อยคำ
ให้เธอฟัง ให้เธอเข้าใจ
ว่าที่เธอคิดที่เธอกังวลอยู่ทุกวัน
ต่างกับภาพที่ฉันมองเห็นอยู่ เธอจะรู้บ้างไหม

ว่าเธอทั้งสวยและทั้งดูดี
โดยไม่ต้องเสริมอะไรก็เซ็กซี่
แค่เธอเป็นตัวเองเท่านั้น แค่เป็นเธอคนนี้ มันดีแล้ว
เธอไม่ต้องลดต้องเพิ่มอะไร อยากขอให้มั่นใจ
You're the only girl in my eyes
อยากให้รู้ไว้คนดี

เธอ ไม่มั่นใจกับภาพในกระจกที่เธอเห็น
สิ่งที่เธอนั้นเป็น กับสิ่งที่ใครๆ เขามองว่าดี
วัดอย่างไร ไม่เคยเขัาใจ
ว่าที่เธอคิดที่เธอกังวลอยู่ทุกวัน
ต่างกับภาพที่ฉันมองเห็นอยู่ เธอจะรู้บ้างไหม

ว่าเธอทั้งสวยและทั้งดูดี
โดยไม่ต้องเสริมอะไรก็เซ็กซี่
แค่เธอเป็นตัวเองเท่านั้น แค่เป็นเธอคนนี้ มันดีแล้ว
เธอไม่ต้องลดต้องเพิ่มอะไร อยากขอให้มั่นใจ
You're the only girl in my eyes
อยากให้รู้และเข้าใจ

And it's like, I found my diamond in the biggest crowd
Want you to know so I sing it loud
เธอจะไปมองใครๆ เพื่อเปรียบเทียบทำไม
You're the only girl I know that can make me smile
That's why you always got me coming back
ใคร จะเป็นอย่างเธอ Who can replace that
A beauty head to toe
Beautiful soul
It's unbelievable
You're something special

ว่าเธอทั้งสวยและทั้งดูดี
โดยไม่ต้องเสริมอะไรก็เซ็กซี่
แค่เธอเป็นตัวเองเท่านั้น แค่เป็นเธอคนนี้ มันดีแล้ว
เธอไม่ต้องลดต้องเพิ่มอะไร อยากขอให้มั่นใจ
You're the only girl

ว่าเธอทั้งสวยและทั้งดูดี
โดยไม่ต้องเสริมอะไรก็เซ็กซี่
แค่เธอเป็นตัวเองเท่านั้น แค่เป็นเธอคนนี้ มันดีแล้ว
เธอไม่ต้องลดต้องเพิ่มอะไร อยากขอให้มั่นใจ
You're the only girl in my eyes
อยากให้รู้ ไว้คนดี",two_popetorn
ถ้าเธอไป,/music/thailyric/9461,"ถ้าเธอจากฉันไปฉันก็คงต้องตาย
เธอคือหัวใจหนึ่งเดียวที่ฉันนั้นมี
ไม่มีเธอฉันจะทำแต่งานเพื่อใคร
หากเธอทิ้งไปฉันคงไม่เหลือความดี

ขาดเธอตัวฉันจะทนอยู่ไปเพื่อใคร
เธอคือหัวใจหนึ่งเดียวที่ฉันนั้นมี
ไม่มีเธอฉันคงจะหมดแรงหายใจ
อย่าเดินหนีไป หันมาได้ไหมคนดี

โปรดเปิดใจให้กันอีกสักครั้ง
อย่าทำกับฉันเหมือนคนห่างไกลอย่างนี้
โปรดอย่าทิ้งฉันเพียงลำพัง
(โอ้ว เบบี้) กลับมารักกัน กลับมารักกัน
กลับมารักฉัน เหมือนเดิมได้ไหมคนดี

ขาดเธอชีวิตฉันคงหมดความหมายใด
เธอคือหัวใจหนึ่งเดียวที่ฉันนั้นมี
คงทนไม่ไหวถ้าเธอจะไปคบใคร
คงบดหัวใจฉันจนไม่เหลือชิ้นดี

โปรดเปิดใจให้กันอีกสักครั้ง
อย่าทำกับฉันเหมือนคนห่างไกลได้ไหม
โปรดอย่าทิ้งฉันเพียงลำพัง
(โอ้ว เบบี้) กลับมารักกัน กลับมารักกัน
กลับมารักฉัน

ถ้าไม่ได้รักเธอ ฉันจะไม่รักใคร
เธอคือหัวใจหนึ่งเดียวที่ฉันนั้นมี
(โปรดจำเอาไว้) หากมีวันไหนที่เธอเปลี่ยนแปลงหัวใจ
จะมีฉันรอคอยเธออยู่ทุกนาที

จะนานแค่ไหนฉันก็จะไม่รักใคร
กลับมารักกันเหมือนเดิมได้ไหมคนดี",two_popetorn
ทุกเมื่อเพื่อเธอ,/music/thailyric/8961,"ขณะที่เธอกำลังนั่งฟังเพลงนี้
ขณะที่เธอกำลังร้องไห้
ขณะที่เธอกำลังผิดหวังในขีวิต
ขณะที่เธอกำลังถอดใจ

ขณะที่ทางข้างหน้ายังดูมืดมิด
ไม่เห็นแม้ทางใกล้ไกลแค่ไหน
ขณะที่เธอเจ็บช้ำซ้ำแล้วซ้ำอีก
แต่เรื่องราวก็ไม่ยอมจางหายไป

ขอให้เพลงจากใจนี้ บอกเธอในทุกๆ ที่
ว่าเธอจะยังคงมีฉัน เคียงข้างเธอ
ไม่เคยเปลี่ยนผัน และจะแคร์เธอ
แม้ว่าเธอนั้นจะไม่รับรู้ว่า ฉันนั้นคิดอย่างไร

ฉันอยากเพียงให้เธอได้รู้
อยากกระซิบข้างๆ หู
ปลอบโยนให้รู้ว่า
เธอสำหรับฉันนั้นสำคัญแค่ไหน

ไม่ว่าจะเป็นเวลาที่สุขหรือทุกข์
ไม่ว่าจะใกล้ไกลแค่ไหน
แม้ภูเขาจะสูง แม่น้ำกว้างเท่าไหร่
ก็ไม่อาจขวาง และไม่ให้ฉันข้ามไป

ขอให้เพลงจากใจนี้ บอกเธอในทุกๆ ที่
ว่าเธอจะยังคงมี ฉันเคียงข้างเธอ
ไม่เคยเปลี่ยนผัน และจะแคร์เธอ
แม้ว่าเธอนั้นจะไม่รับรู้ว่า ฉันนั้นคิดอย่างไร

ฉันอยากเพียงให้เธอได้รู้
อยากกระซิบข้างๆ หู
ปลอบโยนให้รู้ว่า
เธอสำหรับฉันนั้นสำคัญแค่ไหน

สำคัญแค่ไหน อยากบอกให้รู้

ขอให้เพลงจากใจนี้ บอกเธอในทุกๆ ที่
และให้คำสัญญานี้ บอกว่าทุกวินาที

เธอนั้นจะยังคงมีฉัน เคียงข้างเธอ
ไม่เคยเปลี่ยนผัน และจะแคร์เธอ
แม้ว่าเธอนั้นจะไม่รับรู้ว่า ฉันนั้นคิดอย่างไร

ฉันอยากเพียงให้เธอได้รู้
อยากกระซิบข้างๆ หู
ปลอบโยนให้รู้ว่า
เธอสำหรับฉันนั้นสำคัญแค่ไหน

ทุกๆ เมื่อเพื่อเธอ และเพื่อเธอเสมอไป
ไม่ว่าวันไหน คืนไหน เดือนไหน ปีไหน",two_popetorn
ทูเดย์ (Today),/music/thailyric/1907,"ชูวีดูวีดู ปั๊บปั๊บ ชูวีดูวีดู ปั๊บปั๊บ
เริ่มชีวิตเราทั้งสองด้วยกันไหม
ชูวีดูวีดู ปั๊บปั๊บ ชูวีดูวีดู ปั๊บปั๊บ
ให้ได้ใช้ชีวิตที่เหลือนั้นร่วมกัน

โปรดรับแหวน แทนหัวใจ
ไว้ที่นิ้วซ้ายนางข้างนั้น
รอเพียงแค่เธอตอบ

ในวันนี้ ในตอนนี้
ฉันนั้นมีเรื่องราวข้างใน
ที่เก็บเอาไว้ และบ่มในหัวใจ
เพื่อเฝ้ารอให้มาถึงวันเวลา

เรื่องราวต่างๆ ที่ผ่านพ้น
ทำให้ฉันเชื่อและมั่นใจหนักหนา
จึงก้มลงและคุกเข่า ต่อหน้าของเธอ

แต่งงานกับฉันจะได้ไหม
เริ่มชีวิตเราทั้งสองด้วยกันไหม
ให้ต่อจากนี้และเสมอไป
เราได้ใช้ชีวิตที่เหลือนั้นร่วมกัน

ได้โปรดรับแหวนที่แทนหัวใจ
แล้วสวมไว้ที่นิ้วซ้ายนางข้างนั้น
รอเพียงแค่เธอตอบ ตกลงกับฉัน

เรื่องราวต่างๆ ที่ผ่านพ้น
ทำให้ฉันเชื่อและมั่นใจหนักหนา
จึงก้มลงและคุกเข่า ต่อหน้าของเธอ

แต่งงานกับฉันจะได้ไหม
เริ่มชีวิตเราทั้งสองด้วยกันไหม
ให้ต่อจากนี้และเสมอไป
เราได้ใช้ชีวิตที่เหลือนั้นร่วมกัน

ได้โปรดรับแหวนที่แทนหัวใจ
แล้วสวมไว้ที่นิ้วซ้ายนางข้างนั้น
รอเพียงแค่เธอตอบ ตกลงกับฉัน",two_popetorn
พูดทำไม (Don't Say That You Do),/music/thailyric/9132,"จะวอนขอให้ตายยังไงใจเธอก็คงไม่เปลี่ยน
เธออยากไป (เตรียมใจยังไงฉันก็ช้ำ)
ฉันคงต้องปล่อย เธอเก็บของเธอไปเหลือไว้
เพียงแค่ความข่มขื่น ทำได้ไง
(มีใครจึงหมดรักใช่ไหม)
ooh baby บอกฉันหน่อย
เธอบอกว่าเสียใจที่ทำไปไม่เคยต้องการทำร้าย
ให้ฉันต้องเจ็บ เธออยากให้ฉันเข้าใจ

ลากกระเป๋าเตรียมจะไป แล้วเธอก็บอก
ว่าเคยรักฉันมากเท่าไหร่ ก็ยังจะรักตลอดไป

ooh baby baby ถ้าเธอคิด
ว่าเธอไม่รักและไม่เหลือเยื่อใย
ได้โปรดอย่า cry cry cry ทำให้ฉันหวั่นไหว
จะทิ้งกัน จะพูดว่าเธอยังรักฉันทำไม

พูดทำไม เพื่ออะไร

จำได้ไหม วันที่เราเคยให้คำมั่นสัญญาจะจริงใจ
(มีอะไรคุยกันได้ทุกครั้ง) ooh เราเข้าใจ
แต่วันนี้เธอมีอะไรที่เธอปิดบังใช่ไหม
เธอมีใคร huh (มีคนมารอรับใช่ไหม)
คิดว่าฉันไม่รู้หรือยังไง

ลากกระเป๋าเตรียมจะไป แล้วเธอก็บอก
ว่าเคยรักฉันมากเท่าไหร่ ก็ยังจะรักตลอดไป

ooh baby baby ถ้าเธอคิด
ว่าเธอไม่รักและไม่เหลือเยื่อใย
ได้โปรดอย่า cry cry cry ทำให้ฉันหวั่นไหว
จะทิ้งกัน จะพูดว่าเธอยังรักฉันทำไม

ohh baby พูดทำไม ohh อย่าพูดว่ารักกัน

ถ้าเธอคิดจะไป (เธอจะไป)
จะพูดอย่างไร (เธอก็ไป)
อ้อนวอนเท่าไหร่ แล้วเธอก็ไป
จะไม่ขออะไร (เธออยากไป)
จะไม่ง้อต่อไป (เธอก็ไป)
ถ้าเธอหมดใจ ไม่ต้องพูดอะไร

Baby.. I see you got all your bags packed up
and ready to leave
and I know the before you go
You probably wanna say something to me
something that's on your mind
But please I don't wanna hear it

ooh baby baby ถ้าเธอคิด
ว่าเธอไม่รักและไม่เหลือเยื่อใย
ได้โปรดอย่า cry cry cry ทำให้ฉันหวั่นไหว
จะทิ้งกัน อย่าพูดว่าเธอยังรักฉัน

ได้โปรดเถอะ baby baby ถ้าเธอคิด
ว่าเธอไม่รักและไม่เหลือเยื่อใย
ได้โปรดอย่า cry cry cry ทำให้ฉันหวั่นไหว
จะทิ้งกัน จะพูดว่าเธอยังรักฉันทำไม

พูดทำไม ยังจะพูดคำว่ารักเพื่ออะไร
Ooh baby Oh yeah
จะพูดว่าเธอยังรักฉันเพื่ออะไร
เพื่ออะไร อย่าพูดคำๆ นั้นจะได้ไหม",two_popetorn
เพื่อนกันทุกที (Just Friends?),/music/thailyric/9689,"รักกับใครไม่รัก ดันไปรักกับเธอ เธอคนนี้
(ดันไปรักกับเธอคนนี้)
แต่เธอไม่รับไม่รู้ เธอบอกว่าเราเป็นเพื่อนกันทุกที
บางวันฉันก็ท้อ (ทำเท่าไหร่ ก็ไม่พอ)
ที่ต้องคอยวิ่งตามอย่างนี้ (ที่ต้องคอยวิ่งตามอย่างนี้)
แต่พอพรุ่งนี้ตื่นมามันก็คิดถึงเธอทุกที

ไม่ว่าใครจะสวยแค่ไหน ไม่เคยจะสนใจ
มีเพียงเธอนี้ที่ทำให้ฉันหวั่นไหว

ถ้าหากไม่รักกับเธอจะรักกับใคร ไม่เคยเผื่อใจให้ใครที่ไหน
จะรอจนเธอเปิดใจให้ฉันเข้าไป ไม่ว่านานสักเท่าไร
อาจจะไม่ดีพร้อม แต่ถ้าเธอยอม รับคนอย่างฉันไว้
ฉันก็จะรักแต่เธอ ไม่รักกับใคร อย่าให้รออย่างนี้เรื่อยไป
เพื่อนกันแบบไหน บอกฉันให้รู้สักที

ยิ่งนานเท่าไรยิ่งรัก (นานเท่าไหร่ นานเท่าไหร่)
แต่อยากให้เราเป็นมากกว่านี้ (ไม่อยากจะเป็นแค่เพื่อนอย่างนี้)
แต่พอจะถามเธอ ก็เหมือนเดิม เธอเปลี่ยนเรื่องคุยทุกที

ไม่ว่าใครจะสวยแค่ไหน ไม่เคยจะสนใจ
มีเพียงเธอนี้ที่ทำให้ฉันหวั่นไหว

ถ้าหากไม่รักกับเธอจะรักกับใคร ไม่เคยเผื่อใจให้ใครที่ไหน
จะรอจนเธอเปิดใจให้ฉันเข้าไป ไม่ว่านานสักเท่าไร
อาจจะไม่ดีพร้อม แต่ถ้าเธอยอม รับคนอย่างฉันไว้
ฉันก็จะรักแต่เธอ ไม่รักกับใคร อย่าให้รออย่างนี้เรื่อยไป
เพื่อนกันแบบไหน บอกฉันให้รู้สักที

[Rap]
ใจเย็นๆ อย่าไปเร่งไปรัด เธออาจจะยังไม่พร้อมที่จะยอมผูกมัด
เรื่องความรักมันต้องใช้เวลา ตัดสินใจไม่ง่ายเหมือนซื้อของลดราคา
เทคแคร์ดูแลทำคะแนนต่อไป พิสูจน์ให้โลกรู้ว่ารักเธอมากแค่ไหน
สู้ต่อไปสักวันต้องเป็นของเรา แต่ดีให้ตาย เฮ้ยถ้าไม่ชอบเค้าก็ไม่เอาว่ะ

(เพื่อนกัน ทุกที) ดีเท่าไหร่ก็ยังเป็น
(เพื่อนเธอ ทั้งปี) มีอะไรก็ให้หมด
(เพราะเธอ เพราะเธอ) เธอคนเดียวที่โดนใจ
(เมื่อไร เมื่อไร) เธอจะรู้ว่า

ไม่ว่าใครจะสวยแค่ไหน ไม่เคยจะสนใจ
มีแต่เธอนี้ที่ทำให้ฉันหวั่นไหว

ถ้าหากไม่รักกับเธอจะรักกับใคร ไม่เคยเผื่อใจให้ใครที่ไหน
จะรอจนเธอเปิดใจให้ฉันเข้าไป ไม่ว่านานสักเท่าไหร่
อาจจะไม่ดีพร้อม แต่ถ้าเธอยอมรับ คนอย่างฉันไป
ฉันก็จะรักแต่เธอไม่รักกับใคร อย่าให้รออย่างนี้เรื่อยไป
เพื่อนกันแบบไหน บอกฉันให้รู้ สักที",two_popetorn
หลับฝันดี,/music/thailyric/9885,"เหนื่อยบ้างไหมอะไรๆ ที่เธอต้องทำทุกวัน
ตื่นแต่เช้ารีบๆ ออกไปเธอทานอะไรหรือยัง
ฉันพอดูออก ว่าเธอเหนื่อยขนาดไหน

แต่ละวันเธอเดินออกไปเจอโลกที่มันวุ่นว­าย
ไม่ว่าเธอต้องเจออะไร เธอก็ยังเดินหน้าไป
ถึงเธอไม่เคยบอก แต่ก็รู้ว่าเธอคงเหนื่อยและล้า

ถ้าเธอต้องการใครสักคน
เธอมีฉันรอคอยที่จะปลอบโยน เธอไม่ต้องไปไหนไกล

เหนื่อยก็กลับบ้านไหม
กลับมาพักใจเธอสักนิดก่อน
นั่งตรงนี้พิงลงมาข้างๆ ฉัน
เรื่องที่เธอร้อนใจ
ให้ระบายให้หมด บอกฉัน
ในคืนนี้จะมีอ้อมแขนของฉันให้เธอได้พักผ่อ­น
เหนื่อยมากแล้ว นอนลงมาข้างๆ ฉัน
พรุ่งนี้ค่อยเริ่มใหม่
หลับให้เย็นสบายคืนนี้ปล่อยให้ฉัน
กล่อมเธอให้หลับฝันดี

หนักแค่ไหนเธอทำต่อไปและไม่เคยท้อใจ
แบกความฝันเดินทางออกไปไม่ว่าจะใกล้ไกล
หนทางที่ลำบาก บางครั้งก็อาจทำให้อ่อนล้า

ถ้าเธอต้องการใครสักคน
เธอมีฉันรอคอยที่จะปลอบโยน เธอไม่ต้องไปไหนไกล

เหนื่อยก็กลับบ้านไหม
กลับมาพักใจเธอสักนิดก่อน
นั่งตรงนี้พิงลงมาข้างๆ ฉัน
เรื่องที่เธอร้อนใจ
ให้ระบายให้หมด บอกฉัน
ในคืนนี้จะมีอ้อมแขนของฉันให้เธอได้พักผ่อ­น
เหนื่อยมากแล้ว นอนลงมาข้างๆ ฉัน
พรุ่งนี้ค่อยเริ่มใหม่
หลับให้เย็นสบายคืนนี้ปล่อยให้ฉัน
กล่อมเธอให้หลับฝันดี

ถ้าเธอต้องการใครสักคน
เธอมีฉันรอคอยที่จะปลอบโยน เธอไม่ต้องไปไหนไกล

เหนื่อยก็กลับบ้านไหม
กลับมาพักใจเธอสักนิดก่อน
นั่งตรงนี้พิงลงมาข้างๆ ฉัน
เรื่องที่เธอร้อนใจ
ให้ระบายให้หมด บอกฉัน
ในคืนนี้จะมีอ้อมแขนของฉันให้เธอได้พักผ่อ­น
เหนื่อยมากแล้ว นอนลงมาข้างๆ ฉัน
พรุ่งนี้ค่อยเริ่มใหม่
หลับให้เย็นสบายคืนนี้ปล่อยให้ฉัน
กล่อมเธอให้หลับฝันดี",two_popetorn
เหมือนจะ,/music/thailyric/10271,"นาน แค่ไหนที่ไม่ได้มองหน้าเธอ
ที่ไม่ได้ยิ้มเหมือนเวลาได้ใกล้เธอ
ที่ไม่ต้องคอยง้อกัน หรือต้องโกรธกัน
นาน จนรูปที่หัวเตียงนั้นเริ่มซีดจาง
คล้ายๆ เรื่องราวที่มันพ้นผ่าน
ยิ่งนานก็เหมือนเรา จะยิ่งห่าง

รู้ ว่ามันจบแล้ว ไม่มีสิทธิ์แล้ว
ปล่อยให้เรื่องราวมันผ่านพ้นไป
ปล่อยให้เวลามันรักษาแผลในจิตใจ

เหมือนว่าจะดีขึ้นแล้ว แต่ความจริงแล้วยังไม่ลืมทุกรอยยิ้มของเธอ
ไม่อาจลืมช่วงเวลาที่เคยสุข ทุกวันตั้งแต่วันที่เรา ได้พบเจอ
ก็คล้ายๆ ว่าจะดีขึ้นแล้ว แต่ว่าสุดท้ายฉันก็ยังไม่อยากลบเรื่องราว
ที่เราเคยสัญญาว่าเราจะอยู่ ข้างเคียงกันตลอดไป
จนถึงคำพูดสุดท้ายที่เธอ บอกให้ลืมเรื่องของเรา

นาน แค่ไหนที่ไม่มีคำทักทาย
ที่ไม่มีใครมาคอยวุ่นวาย ที่ไม่ต้องคอยรับใคร หรือคอยส่งใคร
นาน จนกลิ่นน้ำหอมของเธอมันค่อยๆ จาง
ต้นไม้ที่วางอยู่ริมหน้าต่าง ก็เริ่มเหี่ยวเฉาลง เหมือนทุกอย่าง

ก็รู้ ว่ามันจบแล้ว ไม่มีสิทธิ์แล้ว
ปล่อยให้เรื่องราวมันผ่านพ้นไป
ปล่อยให้เวลา มันรักษาแผลในจิตใจ

เหมือนว่าจะดีขึ้นแล้ว แต่ความจริงแล้วยังไม่ลืมทุกรอยยิ้มของเธอ
ไม่อาจลืมช่วงเวลาที่เคยสุข ทุกวันตั้งแต่วันที่เราได้พบเจอ
ก็คล้ายๆ ว่าจะดีขึ้นแล้ว แต่ว่าสุดท้ายฉันก็ยังไม่อยากลบเรื่องราว
ที่เราเคยสัญญาว่าเราจะอยู่ ข้างเคียงกันตลอดไป
จนถึงคำพูดสุดท้ายที่เธอ ไม่อยากจำแล้ว

เหมือนว่าจะดีขึ้นแล้ว แต่ความจริงแล้วยังไม่ลืมทุกรอยยิ้มของเธอ
ไม่อาจลืมช่วงเวลาที่เคยสุข ทุกวันตั้งแต่วันที่เรา ได้พบเจอ
ก็คล้ายๆ ว่าจะดีขึ้นแล้ว แต่ว่าสุดท้ายฉันก็ยังไม่อยากลบเรื่องราว
ที่เราเคยสัญญาว่าเราจะอยู่ ข้างเคียงกันตลอดไป
แต่แล้วคำพูดสุดท้ายของเธอ กลับบอกให้ลืมเรื่องของเรา",two_popetorn
ขอบคุณทุกวัน (Thankful),/music/thailyric/8217,"นึกถึงทุกครั้งก็ยังอุ่นใจ ไม่ว่านานสักเท่าไร
ฉันก็รู้เธอยังคงอยู่เคียงข้างฉัน เหมือนวันวาน
ยังคงจำไม่ลืมภาพนั้นไม่เคยจาง จะหัวเราะหรือร้องไห้
ฉันมีเธอ คอยจูงมือเอาไว้ไม่เคยห่าง

อยากจะบอกให้เธอได้รับรู้ ไม่ว่าอยู่ที่ไหน
เธอยังเป็นดวงดาวในหัวใจ
เป็นแสงคอยส่องทางอยู่ข้างฉัน
แม้จะอ้างว้างเท่าไร

คงจะไม่มีคำอธิบาย
ความสุขจากรักที่เธอนั้นเคยให้กับฉัน
อยากขอบคุณทุกวันที่ได้เคียงข้างเธอ

ในวันที่ร้องไห้เสียใจ ยังจำคำที่เธอปลอบฉันไม่ให้เศร้าใจ
หลับไปในอ้อมแขนที่อบอุ่นของเธอ
ยังคงจำไม่ลืม วันนั้นเหมือนเพิ่งผ่าน
จะหัวเราะหรือร้องไห้ ฉันมีเธอคอยจูงมือเอาไว้ไม่เคยห่าง

อยากจะบอกให้เธอได้รับรู้ ไม่ว่าอยู่ที่ไหน
เธอยังเป็นดวงดาวในหัวใจ
เป็นแสงคอยส่องทางอยู่ข้างฉัน
แม้จะอ้างว้างเท่าไร

คงจะไม่มีคำอธิบาย
ความสุขจากรักที่เธอนั้นเคยให้กับฉัน
อยากขอบคุณทุกวันที่ได้เคียงข้างเธอ

แม้จะไม่มีเธอตรงนี้ แต่ฉันก็รู้ดีว่าเธออยู่ที่ไหน

อยากจะบอกให้เธอได้รับรู้ ไม่ว่าอยู่ที่ไหน
เธอยังเป็นดวงดาวในหัวใจ
เป็นแสงคอยส่องทางอยู่ข้างฉัน
แม้จะอ้างว้างเท่าไร

คงจะไม่มีคำอธิบาย
ความสุขจากรักที่เธอนั้นเคยให้กับฉัน
อยากขอบคุณทุกวันที่ได้เคียงข้างเธอ

อยากจะบอกให้เธอได้รับรู้ อยากบอกให้เธอได้รู้
เธอยังเป็นดวงดาวในหัวใจ
เป็นแสงคอยส่องทางอยู่ข้างฉัน
แม้จะอ้างว้างเท่าไร

คงจะไม่มีคำอธิบาย
ความสุขจากรักของเธอที่ให้ฉัน
อยากขอบคุณทุกวันที่ได้เคียงข้างเธอ

อยากให้เธอนั้นได้นอนหลับตา ฝันดี",two_popetorn
