song_name,href,lyric,artist
ขอคำตอบ,/music/thailyric/4924,"ได้เรียนได้รู้ได้ดูใจมา
จนวันเวลาพ้นผ่าน
แต่เธอก็ยังเก็บซ่อนอาการ
ว่าเธอนั้นคิดอย่างไร

อยากได้ยินเสียงข้างในใจเธอ
ว่าจะเป็นฉันหรือไม่
ในมือของฉันมีแหวนแทนใจ
ที่เตรียมให้เธอเท่านั้น

วันนี้ฉันมาเพื่อหาคำตอบ
ที่รอมานานแสนนาน
ก็รู้ว่าเธอคงเงียบงัน
แต่มันไม่ยากอะไร

ขอแค่ใส่แหวนนี้ที่มือขวา
รู้ว่าเธอไม่มีใจ
ขอให้ใส่แหวนนี้ที่มือซ้าย
เพื่อบอกแทนคำพูดในใจ
ว่ารักกัน

ถ้าเธอไม่รักก็ไม่เป็นไร
ยังไงก็เป็นเพื่อนอยู่
แต่สิ่งที่หวังที่เฝ้ารอดู
คือใจเธอตรงกับฉัน",uht
ขอคำยืนยัน,/music/thailyric/4925,"ได้อยู่ที่ตรงนี้ มองสายตาเธออยู่
สิ่งหนึ่งที่ใจรู้ เธอนั้นยังสดใสและดูดี

ฉันคิดว่าช่วงหนึ่ง ที่เราได้ห่างเหินไป
เมื่อวันที่ไม่มีใคร เธอเป็นแรงใจ ที่ทำให้ฉันพ้นความโดดเดี่ยวนั้นไป

กลับมาคราวนี้ ไม่ใช่รักเหมือนเดิมแค่นั้น
แต่จะขอดูแลหัวใจกัน จะอยู่ทดแทนที่วันนั้นฉันเคยห่างไป
กลับมาคราวนี้ เธอกับฉันเหมือนเดิมใช่ไหม
บอกกับฉันสักคำให้ชื่นใจ แค่อยากได้ยิน ว่าวันนี้ไม่มีอะไรเปลี่ยนแปลง

ถ้าหากว่าวันนี้ เธอนั้นยังเชื่อใจ
ไม่ว่าจะดีร้าย เราสองคนจะยืนข้างเคียงกัน

ฉันคิดว่าช่วงหนึ่ง ที่เราได้ห่างเหินไป
เมื่อวันที่ไม่มีใคร เธอเป็นแรงใจ ที่ทำให้ฉันพ้นความโดดเดี่ยวนั้นไป

กลับมาคราวนี้ ไม่ใช่รักเหมือนเดิมแค่นั้น
แต่จะขอดูแลหัวใจกัน จะอยู่ทดแทนที่วันนั้นฉันเคยห่างไป
กลับมาคราวนี้ เธอกับฉันเหมือนเดิมใช่ไหม
บอกกับฉันสักคำให้ชื่นใจ แค่อยากได้ยิน ว่าวันนี้ไม่มีอะไรเปลี่ยนแปลง

กลับมาคราวนี้ ไม่ใช่รักเหมือนเดิมแค่นั้น
แต่จะขอดูแลหัวใจกัน จะอยู่ทดแทนที่วันนั้นฉันเคยห่างไป
กลับมาคราวนี้ เธอกับฉันเหมือนเดิมใช่ไหม
บอกกับฉันสักคำให้ชื่นใจ แค่อยากได้ยิน ว่าวันนี้ไม่มีอะไรเปลี่ยนแปลง",uht
ขอโอกาสสักครั้ง,/music/thailyric/4927,"ถ้าเธอนั้นยังไม่เข้านอน อยากให้เธอช่วยเดินมาตรงหน้าต่าง
เผื่อว่ามีสายลมโชยมาบางๆ ก็คงพาถ้อยคำฉันไปถึงเธอ

ยังไม่เคยมีวันไหน ที่ฉันไม่เสียใจ เรื่องวันวานที่ฉันทำไป ก็ไม่ตั้งใจจะทำร้ายเธอ

ขอโอกาสสักครั้ง หวังให้เธอเข้าใจ ขอโอกาสให้คน ที่ได้เคยพลาดไป
เพียงแค่คำขอโทษ อาจฟังง่ายดาย แต่ลึกๆข้างใน (ฉันเสียใจเหลือเกิน)

ก็เป็นฉันเองที่ละเลย ที่วันนั้นไม่เคยดูแลหัวใจ
หากวันนี้แค่เธอจะยอมอภัย จะไม่ทำให้เธอต้องมีน้ำตา

ยังไม่เคยมีวันไหน ที่ฉันไม่เสียใจ เรื่องวันวานที่ฉันทำไป ก็ไม่ตั้งใจจะทำร้ายเธอ

ขอโอกาสสักครั้ง หวังให้เธอเข้าใจ ขอโอกาสให้คน ที่ได้เคยพลาดไป
เพียงแค่คำขอโทษ อาจฟังง่ายดาย แต่ลึกๆข้างใน (ฉันเสียใจเหลือเกิน)

ขอโอกาสสักครั้ง หวังให้เธอเข้าใจ ขอโอกาสให้คน ที่ได้เคยพลาดไป
เพียงแค่คำขอโทษ อาจฟังง่ายดาย แต่ลึกๆข้างใน (ฉันเสียใจเหลือเกิน)

ขอโอกาสสักครั้ง หวังให้เธอเข้าใจ ขอโอกาสให้คน ที่ได้เคยพลาดไป
เพียงแค่คำขอโทษ อาจฟังง่ายดาย แต่ลึกๆข้างใน (ฉันเสียใจเหลือเกิน)",uht
เธอพร้อมหรือเปล่า,/music/thailyric/4932,"ชีวิตเหงาๆของเธอ ที่ทำให้เธออ่อนล้า และมีบางทีที่เสียน้ำตา รู้สึกเหมือนไม่มีใคร
ชีวิตยากยากของเธอ จากนี้จะไม่เท่าไหร่ ถ้าเธอยินดีถ้าเธอเต็มใจ ให้ฉันได้อยู่ข้างเธอ

ฉันสัญญาจะอยู่ตรงนี้ อยู่กับเธอเสมอ คนบนฟ้าให้เรามาเจอ เพื่อมีกันและกัน

เธอจะพร้อมหรือเปล่า ถ้าฉันจะทำทุกอย่าง แค่เพียงเธอวางใจซักครั้ง ส่งหัวใจให้ฉัน
เธอจะพร้อมหรือเปล่า ถ้าเราจะเดินด้วยกัน ยื่นมือเธอมาให้ฉัน จะขอดูแลเธอเอง

หากโลกนี้ไร้พระจันทร์ ดวงดาวจะไม่มีแสง จะไม่มีวันหมดสิ้นเรี่ยวแรง จะอยู่ตรงนี้เพื่อเธอ
กับโลกร้ายๆทุกวัน เหตุการณ์ใดๆที่เจอ จะเป็นคนดีและสู้เพื่อเธอ ไม่ทิ้งเธอจากนี้ไป

ฉันสัญญาจะอยู่ตรงนี้ อยู่กับเธอเสมอ คนบนฟ้าให้เรามาเจอ เพื่อมีกันและกัน

เธอจะพร้อมหรือเปล่า ถ้าฉันจะทำทุกอย่าง แค่เพียงเธอวางใจซักครั้ง ส่งหัวใจให้ฉัน
เธอจะพร้อมหรือเปล่า ถ้าเราจะเดินด้วยกัน ยื่นมือเธอมาให้ฉัน จะขอดูแลเธอเอง

เธอจงฟังและจำให้ดี นี่คือคำของฉัน เธอคือคนสำคัญ ฉันคือคนของเธอ

เธอจะพร้อมหรือเปล่า ถ้าฉันจะทำทุกอย่าง แค่เพียงเธอวางใจซักครั้ง ส่งหัวใจให้ฉัน
เธอจะพร้อมหรือเปล่า ถ้าเราจะเดินด้วยกัน ยื่นมือเธอมาให้ฉัน จะขอดูแลเธอเอง

แสงตะวันที่เธอนั้นฝัน ฉันพร้อมจะพาเธอไป",uht
ไม่มีวันหมดอายุ,/music/thailyric/4933,"แวะมาเหอะแวะมาเหอะ
เข้ามาเหอะเข้ามาบ่อยบ่อย
เพื่อนกันก็แวะซะหน่อย
เข้ามาเย้วกันหน่อย
ไม่เจอกันนานแล้ว

เช้าหรือเที่ยงคืนก็มาได้เสมอ
แวะเข้ามาเจอได้ตามใจ
คบซะคุ้นเคยใช่คนอื่นที่ไหน
ก็คุ้นใจกัน

อารมณ์ดีไม่ดีก็เข้ามา
ไม่เจอกันนานไม่นานก็เข้ามา
มาเอาความสบายใจสบายสบายกลับไป

คิดคิดถึง กันเมื่อไหร่ก็มาหา
แวะเข้ามาไม่ต้องเคาะประตู
รู้มั้ยเพื่อนกันไม่มีวันหมดอายุ
ไม่ต้องเกรงใจ",uht
ไม่ลืม,/music/thailyric/4934,"ที่รัก...เธอพอจะรู้อะไรบ้างมั้ย วันที่เธอเหงาข้างในหัวใจ
รู้สึกได้มั้ยว่าใครคิดถึงเธอ
ที่รัก...มีใครเคยพูดให้ฟังบ้างมั้ย ว่าคนคนนี้ยังลืมไม่ได้
แม้แต่ฝันก็ยังมีเธอ
เปลี่ยนแปลงตัวเองมาแล้วเท่าไร เปลี่ยนใจตัวเองไม่เคยจะได้
ติดอยู่ในคืนวันที่ดีกับเธอ

ไม่อาจจะลืมได้สักวัน ไม่ลืม ไม่ลืม ไม่ลืม
เมื่อเธอยังคงเป็นของสำคัญของหัวใจ
และอยากจะลืมได้ซักที จะลืมเธอลงเช่นไร
เมื่อวันเวลาไม่ยอมลบเธอจากใจ ยังคิดถึงเธอไม่ลืม
ที่รัก...เคยมีบางครั้งฉันลองตัดใจ ลองทำชีวิตตัวเองซะใหม่
ไปเจอไปพบใครๆให้ลืมเธอ
แต่เหมือนใจมันยังดื้อไม่ยอมเปลี่ยนไป
ไม่มีตรงไหนข้างในหัวใจ
ที่ถูกเว้นไว้เพื่อลืมเธอ

เธอยังคิดถึงฉันรึเปล่า เธอยังเหมือนคนเก่า ยังรักกันอยู่บ้างมั้ย",uht
ขอให้เหมือนเดิม,/music/thailyric/4926,"ไม่ต้องรักฉันล้นฟ้า ไม่ต้องหาถ้อยคำหวานๆ อย่างที่เคยบอกกันก็ยังซึ้งอยู่
ขอแค่รักคำเดียวเท่านั้น หมายถึงฉันคนเดียวเท่านี้ อยากจะฟังอีกทีว่าเธอรักฉัน

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ ขอให้เหมือนเดิม ขอให้เหมือนเดิม

ไม่ต้องฝืนตัวเองเพื่อฉัน ไม่ต้องฝันจะเป็นเหมือนใคร ก่อนเคยเป็นอย่างไรก็เป็นเหมือนเก่า
รักเท่านี้ที่เคยให้ไว้ รักเท่าไหนก็ไม่สำคัญ บอกว่ายังรักกันต้องการเท่านี้

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ ขอให้เหมือนเดิม ขอให้เหมือนเดิม

ขอแค่รักคำเดียวเท่านั้น หมายถึงฉันคนเดียวเท่านี้ อยากจะฟังอีกทีว่าเธอรักฉัน

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ ขอให้เหมือนเดิม ขอให้เหมือนเดิม

ไม่ต้องรักเท่าฟ้า แต่ขอให้รักเท่าเดิม ไม่ต้องมีเพิ่มเติม แต่รักไม่น้อยลงไป
ไม่ต้องรักจนชั่วนิรันดร์ ตราบที่ฉันนั้นยังหายใจ ขอให้เหมือนเดิม ขอให้เหมือนเดิม",uht
คำว่ารัก,/music/thailyric/4928,"ไม่เกี่ยวอะไรกับฟ้าเลย ที่เราได้มาชิดใกล้ แต่วันพ้นไปยิ่งผูกพัน
ไม่เกี่ยวอะไรกับฝนเลย ที่เราต้องคอยถามไถ่ เมื่อจำต้องไกลก็คิดถึงกัน

(แต่เกี่ยวกับ/ก็มีแต่)ใจ ใจของสองคน กับหนึ่งเหตุผลกับคำบางคำ ที่สำคัญ

นั่นคือคำว่ารัก ที่เรา ต่างก็ให้กัน
นั่นคือเธอกับฉัน รู้กัน อยู่ในหัวใจ (เรามีกันเสมอ)

ไม่ต้องมีคำสัญญา ว่าเรื่องราวทุกอย่าง จะไม่จางหายไปอย่างความฝัน
ไม่ต้องมีคำสาบาน ว่าเรื่องราวทุกสิ่ง จะเป็นเรื่องจริงไปนิจนิรันดร์

(แต่เกี่ยวกับ/ก็มีแต่)ใจ ใจของสองคน กับหนึ่งเหตุผลกับคำบางคำ ที่สำคัญ

นั่นคือคำว่ารัก ที่เรา ต่างก็ให้กัน
นั่นคือเธอกับฉัน รู้กัน อยู่ในหัวใจ (เรามีกันเสมอ)

(แต่เกี่ยวกับ/ก็มีแต่)ใจ ใจของสองคน กับหนึ่งเหตุผลกับคำบางคำ ที่สำคัญ

นั่นคือคำว่ารัก ที่เรา ต่างก็ให้กัน
นั่นคือเธอกับฉัน รู้กัน อยู่ในหัวใจ (เรามีกันเสมอ)

นั่นคือคำว่ารัก ที่เรา ต่างก็ให้กัน
นั่นคือเธอกับฉัน รู้กัน อยู่ในหัวใจ (เรามีกันเสมอ)",uht
ตอบฉันที,/music/thailyric/4931,"จะคัดจะสรรมันทันที ที่ดีๆกับเธอ ต้องหาๆให้ได้เจอ แม้ว่าเธอพอใจ
จะคิดจะค้นให้คู่ควร ต้องทบต้องทวนอย่างดี ก็เธอคนเดียว เธอคนดี ที่ฉันนั้นมีใจ

เวลาที่เธอมีปัญหา เวลาไม่เหลือกำลังใจ มีใครคนนึงจะคอยมาเจอ ไม่ทิ้งให้เธอต้องเดียวดาย
ที่ทำให้เธอได้อย่างนี้ ไม่ทำอย่างนี้ให้ใครๆ เธอยังไม่รู้หรือไง ฉันมีใจหรือไม่มี

ตอบฉันที ไม่รักจะทำอย่างนี้รึเปล่า ทุกสิ่งทุกอย่างตั้งใจให้ยืนยาว ไม่ใช่แค่เพียงให้เราผ่านเลยไป

ตอบฉันที อย่างนี้เขาเรียกว่ารักหรือไม่ มีคำๆหนึ่งที่ไม่ได้เอ่ยไป ก็เสียงที่ดังอยู่ในใจมันรักเธอ

จะปกจะป้องมันประจำ จะมีแค่คำว่าเธอ ไม่พลั้งไม่เผลอ ฉันไม่เผลอให้หัวใจใครๆ
จะเรียงจะร้อยเอาเวลา ที่เราได้มาผูกพัน มีเธอและฉัน มีเราเท่านั้น ที่เคียงที่คู่กันไป

เวลาที่เธอมีปัญหา เวลาไม่เหลือกำลังใจ มีใครคนนึงจะคอยมาเจอ ไม่ทิ้งให้เธอต้องเดียวดาย
ที่ทำให้เธอได้อย่างนี้ ไม่ทำอย่างนี้ให้ใครๆ เธอยังไม่รู้หรือไง ฉันมีใจหรือไม่มี

ตอบฉันที ไม่รักจะทำอย่างนี้รึเปล่า ทุกสิ่งทุกอย่างตั้งใจให้ยืนยาว ไม่ใช่แค่เพียงให้เราผ่านเลยไป

เวลาที่เธอมีปัญหา เวลาไม่เหลือกำลังใจ มีใครคนนึงจะคอยมาเจอ ไม่ทิ้งให้เธอต้องเดียวดาย
ที่ทำให้เธอได้อย่างนี้ ไม่ทำอย่างนี้ให้ใครๆ เธอยังไม่รู้หรือไง ฉันมีใจหรือไม่มี

ตอบฉันที ไม่รักจะทำอย่างนี้รึเปล่า ทุกสิ่งทุกอย่างตั้งใจให้ยืนยาว ไม่ใช่แค่เพียงให้เราผ่านเลยไป

ตอบฉันที ไม่รักจะทำอย่างนี้รึเปล่า ทุกสิ่งทุกอย่างตั้งใจให้ยืนยาว ไม่ใช่แค่เพียงให้เราผ่านเลยไป",uht
อยากให้รู้ว่ารักเธอ,/music/thailyric/4940,"อยากให้รู้ว่าไม่มีใครที่พอจะทดแทน อยากให้รู้ว่ารักเธอ

ต่อให้ฝนแรงๆก็ไม่หวั่นไหว ต่อให้ฟ้าทะลายจะไม่ท้อ
แผ่นดินไหวยังไงก็จะรอ จะไม่ท้อไม่มีวันเปลี่ยนใจ

บอกกับฉันคำเดียวว่าต้องการพบ จะไปหาไปเจอในไม่ช้า
จะข้ามน้ำลุยไฟเดินบุกป่า จะไม่เสียเวลาจะรีบไป

สุดชีวิตก็มีเพียงแต่เธอนั้น มีแค่เธอจนเต็มหัวใจ
จะไม่ทิ้งเธอไป ไม่ว่าวันใดจะเป็นคนเดิม

อยากให้รู้ว่ารักเธอ อยากให้รู้ว่ามากมาย
อยากให้รู้ว่าไม่มีใครที่พอจะทดแทน อยากให้รู้ว่ารักเธอ

หากว่าน้ำทะเลเริ่มจะเหือดหาย และใบไม้จะกลายจะเปลี่ยนสี
จากวันนี้จะนานเป็นปีๆ ก็จะขอยืนยันไม่เปลี่ยนใจ

สุดชีวิตก็มีเพียงแต่เธอนั้น มีแค่เธอจนเต็มหัวใจ
จะไม่ทิ้งเธอไป ไม่ว่าวันใดจะเป็นคนเดิม

อยากให้รู้ว่ารักเธอ อยากให้รู้ว่ามากมาย
อยากให้รู้ว่าไม่มีใครที่พอจะทดแทน อยากให้รู้ว่ารักเธอ

ไม่ได้พูดเอาใจ ไม่ได้พูดเพื่อเรียกร้อง เพื่อให้เธอนั้นสนใจ
ที่ฉันกล้ายืนยัน เพราะฉันพูดทุกๆอย่าง ต่างออกมาจากใจ

อยากให้รู้ว่ารักเธอ อยากให้รู้ว่ามากมาย
อยากให้รู้ว่าไม่มีใครที่พอจะทดแทน อยากให้รู้ว่ารักเธอ

อยากให้รู้ว่ารักเธอ อยากให้รู้ว่ามากมาย
อยากให้รู้ว่าไม่มีใครที่พอจะทดแทน อยากให้รู้ว่ารักเธอ

อยากให้รู้ว่ารักเธอ อยากให้รู้ว่ามากมาย
อยากให้รู้ว่าไม่มีใครที่พอจะทดแทน อยากให้รู้ว่ารักเธอ",uht
