song_name,href,lyric,artist
แก..,/music/thailyric/13706,"และแล้วฉันก็ได้รู้และเข้าใจ
ความหมายของคนที่อยู่ข้างกัน
เป็นคนสำคัญ ที่ไม่มีวันสำคัญกว่านี้
มีค่าแค่เพียงให้เธอมองข้ามไป
เป็นคนใกล้ตัวที่แอบคิดในใจ
คิดเกินไปไกล เป็นคนนิสัยไม่ดี
ที่รักเพื่อนลงคอ

ความใกล้ชิดไม่มีผล
ไม่เคยเปลี่ยนอะไร
เพื่อนก็คือเพื่อนไง
เธอไม่มีทางจะคิดเกินกว่านั้น

แต่ว่าฉันรักเธอ
รักไปแล้วทั้งใจ
เธอไม่รักจะโทษใคร
โทษฉันเองที่มันอ่อนไหว
อ่อนแอ ยิ่งใกล้ก็ยิ่งเหงา
ไม่อยากเป็นเพื่อนแท้
ที่เอาแต่แอบรักเธอ
แต่เธอไม่เคยสนใจ

เป็นแค่คนไกลของเธอยังดีกว่า
เป็นคนใกล้ตัวที่บอกช้าไป
ต้องทำใจ เป็นคนนิสัยไม่ดี
ที่รักเพื่อนลงคอ

ความใกล้ชิดไม่มีผล
ไม่เคยเปลี่ยนอะไร
เพื่อนก็คือเพื่อนไง
เธอไม่มีทางจะคิดเกินกว่านั้น

แต่ว่าฉันรักเธอ
รักไปแล้วทั้งใจ
เธอไม่รักจะโทษใคร
โทษฉันเองที่มันอ่อนไหว
อ่อนแอ ยิ่งใกล้ก็ยิ่งเหงา
ไม่อยากเป็นเพื่อนแท้
ที่เอาแต่แอบรักเธอ
แต่เธอไม่เคยสนใจ

แต่ว่าฉันรักเธอ รักไปแล้วทั้งใจ
เธอไม่รักจะโทษใคร
โทษฉันเองที่มันอ่อนไหว
อ่อนแอ ยิ่งใกล้ก็ยิ่งเหงา
ไม่อยากเป็นเพื่อนแท้
ที่เอาแต่แอบรักเธอ ฉันรักเธอ

แต่ว่าฉันรักเธอ
รักไปแล้วทั้งใจ
ขอโทษจริงๆ ที่มันอ่อนไหว
อ่อนแอ ยิ่งใกล้ก็ยิ่งเหงา
ไม่อยากเป็นคนแพ้
ที่เอาแต่แอบรักเธอ
แต่เธอไม่รักฉันเลย",wan_thanakrit
ดาวอังคาร,/music/thailyric/10170,"ที่ประชุมตอนบ่ายวันอังคาร โต๊ะคุยงานมีแต่งานทั้งนั้น
ทุกนาทียืดเวลายาวนาน นา นา นา ยิ่งกว่านาน
เจ้านายคงมาจากดาวอังคาร พูดอะไรไม่เข้าใจสักครั้ง
แถมเป็นคนที่ไม่เคยรับฟัง นัดประชุมเพื่ออะไร

ยังดีที่มีเธอ นั่งตรงกับฉันสบตาอย่างเข้าใจ
เปลี่ยนวันที่แสนจะน่าเบื่อ ให้มีความหมาย

เพิ่งจะรู้ว่ามีนางฟ้าที่อยู่ในที่ทำงาน
เปลี่ยนโลกนี้ให้มีสีสัน จนอยากจะขอมองนานๆ
นี่มันคืองานในฝัน เพียงได้เจอเธอเท่านั้น
ฉันรอตั้งนาน โอ้ ดาวอังคาร

แลก Line กันตอนเสร็จงานได้ไหม ขอเวลากินข้าวกันสักครั้ง
ที่ทำงานแปรเปลี่ยนเป็นความหวัง ฉันมีเธอนานเท่านาน
ใช้เงินเดือนไปด้วยกันได้ไหม ท่องราตรีไปด้วยสักหน
ที่ฟาลาคนอยู่เป็นล้านคน ฉันยังมองเพียงแต่เธอ

คงดีถ้าเป็นเธอ นั่งตรงกับฉันสบตาอย่างเข้าใจ
เปลี่ยนวันที่แสนจะน่าเบื่อ ให้มีความหมาย

เพิ่งจะรู้ว่ามีนางฟ้าที่อยู่ในที่ทำงาน
เปลี่ยนโลกนี้ให้มีสีสัน จนอยากจะขอมองนานๆ
นี่มันคืองานในฝัน เพียงได้เจอเธอเท่านั้น
ฉันรอตั้งนาน โอ้ เธอคนนี้

เพิ่งจะรู้ว่ามีนางฟ้าที่อยู่ในที่ทำงาน
เปลี่ยนโลกนี้ให้มีสีสัน จนอยากจะขอมองนานๆ
นี่มันคืองานในฝัน เพียงได้เจอเธอเท่านั้น
ฉันรอตั้งนาน โอ้ ดาวอังคาร

วันทำงานเป็นสีชมพู โอ้ ดาวอังคาร",wan_thanakrit
ถูกและดี,/music/thailyric/10462,"เจอใครมากี่คนก็ยังไม่รู้ว่าเป็นอะไร
คนที่เราถูกใจและถูกสเปกทุกอย่าง
ก็ไปไม่รอดสักที ก็ชีวิตจริงเรามันต่างกัน
สุดท้ายจบไม่สวยเลย

คนดีๆ ผ่านมาแต่ดูหน้าตาไม่ค่อยจะไหว
ต่อให้เธอทำดีอย่างไร ไม่ถูกใจฉันสักอย่าง
และเธอไปโมกลับมา อีกทีสวยเลยจนเราตกใจ
แต่แล้ว เธอกลับไม่สนใจฉัน

มันคืออะไร ทำไมไม่เจอสักที
คนที่ถูกใจ และพอดี กับตัวฉัน
พอเจอกับเธอ รู้สึกได้เลยเธอคือคนนั้น ถูกและดี

มาคบกันเลยดีกว่าไหม รู้ในใจกัน
รักกันเลยดีกว่าไหม อยู่กันยาวๆ
ผิดถูกก็ลองมาหลายที ที่สุดก็เจอกันแล้วสักทีใช่ไหม
ก็คือเธอ ก็คือเธอ เธอ

เคยมีช่วงเวลาที่ได้พบคนที่เราถูกใจ
และฉันก็เทหมดใจ เพื่อได้ความรักเธอมา
ก็คงเป็นโชคชะตาที่ทำให้พบเธอนั้นมีใคร
อยู่แล้ว เรามาช้าไปอีกแล้ว

มันคืออะไร ทำไมไม่เจอสักที
คนที่ถูกใจ และพอดีกับตัวฉัน
พอเจอกับ เธอรู้สึกได้เลย เธอคือคนนั้น ถูกและดี

มาคบกันเลยดีกว่าไหม รู้ในใจกัน
รักกันเลยดีกว่าไหม อยู่กันยาวๆ
ผิดถูกก็ลองมาหลายที ที่สุดก็เจอกันแล้วสักทีใช่ไหม
ก็คือเธอ ก็คือเธอ เธอ

มันคืออะไร ทำไมไม่เจอสักที
คนที่ถูกใจ และพอดีกับตัวฉัน
พอเจอกับเธอรู้สึกได้เลย เธอคือคนนั้น ถูกและดี

มาคบกันเลยดีกว่าไหม รู้ในใจกัน
รักกันเลยดีกว่าไหม อยู่กันยาวๆ
ผิดถูกก็ลองมาหลายที ที่สุดก็เจอกันแล้วสักทีใช่ไหม
ก็คือเธอ ก็คือ

มาคบกันเลยดีกว่าไหม รู้ในใจกัน
รักกันเลยดีกว่าไหม อยู่กันยาวๆ
ผิดถูกก็ลองมาหลายที ที่สุดก็เจอกันแล้วสักทีใช่ไหม
ก็คือเธอ ก็คือเธอ เธอ",wan_thanakrit
เพลงรักเก่า,/music/thailyric/10421,"นานแล้วใช่ไหมที่เราไม่เจอ
นับจากวันนั้นก็ไม่พบกัน
ไม่ได้ข่าวคราวของเธอเลย ตั้งแต่วันนั้น
วันที่เป็นทางแยกของเรา

เพลงรักเก่า วันนี้ไม่ได้ทำให้ฉันเศร้า
แต่ทำให้นึกถึงเรื่องของเราคราวนั้น เธอจำได้ไหม

ไม่เคยเสียใจที่เคยรักเธอ
เธอทำให้ฉันเจอความสุขมากมาย
เราอาจไม่ใช่คนรักกันแล้ว
แต่เราก็เคยรักกันจนถึงวันสุดท้าย
ฉันจะจำไว้เสมอ

ถ้าเพลงหนึ่งเพลงมีความรู้สึก
ส่งแทนความรักที่มันล้นเอ่อ
ฉันขอให้เพลงๆ นี้ ส่งไปถึงเธอ
ให้เป็นเพลงสุดท้ายของเรา

เพลงรักเก่า วันนี้ไม่ได้ทำให้ฉันเศร้า
แต่ทำให้นึกถึงเรื่องของเราคราวนั้น เธอจำได้ไหม

ไม่เคยเสียใจที่เคยรักเธอ
เธอทำให้ฉันเจอความสุขมากมาย
เราอาจไม่ใช่คนรักกันแล้ว
แต่เราก็เคยรักกันจนถึงวันสุดท้าย
ฉันจะจำไว้

ขอบคุณวันเหล่านั้น
ขอบคุณในความฝัน ที่เราเคยมีให้กันและกัน
ขอบคุณในความรักที่งดงาม ที่มอบให้ฉัน

ไม่เคยเสียใจที่เคยรักเธอ
เธอทำให้ฉันเจอความสุขมากมาย
เราอาจไม่ใช่คนรักกันแล้ว
แต่เราก็เคยรักกันจนถึงวันสุดท้าย
ฉันจะจำไว้เสมอ",wan_thanakrit
มีประโยชน์ต่อระบบนิเวศ,/music/thailyric/11232,"หากว่าวันนั้น
หากเรา ไม่พบกัน
ชีวิตของเธอ ก็คงอ้างว้าง
หากไม่มีฉัน ที่หลงเดินเข้ามา
เธอทั้งสองคน สุดท้ายคงต้องไกลห่าง

อาจมีความหมาย แม้เราต้องจบ
อย่างน้อยทำเพื่อเธอ
เมื่อเรื่องราวระหว่างเรา ทำให้รู้ว่าเธอรักเขาแค่ไหน

อย่างน้อยก็มีประโยชน์ แม้ต้องเสียใจเท่าไร
รักของเธอได้เริ่มใหม่ ฉันเข้าใจ

เธออาจจะมีฉัน แต่แล้วความจริงนั้น
ไม่อาจทิ้งคนที่เธอฝัน ฉันเข้าใจ

อาจมีความหมาย แม้เราต้องจบ
อย่างน้อยทำเพื่อเธอ
เมื่อเรื่องราวระหว่างเรา ทำให้รู้ว่าเธอรักเขาแค่ไหน

อย่างน้อยก็มีประโยชน์ แม้ต้องเสียใจเท่าไร
รักของเธอได้เริ่มใหม่ ฉันเข้าใจ

เธออาจจะมีฉัน แต่แล้วความจริงนั้น
ไม่อาจทิ้งคนที่เธอฝัน ฉันเข้าใจ

อาจมีความหมาย แม้เราต้องจบ
อย่างน้อยทำเพื่อเธอ
เมื่อเรื่องราวระหว่างเรา ทำให้รู้ว่าเธอรักเขาแค่ไหน

อย่างน้อยก็มีประโยชน์ แม้ต้องเสียใจเท่าไร
รักของเธอได้เริ่มใหม่ ฉันเข้าใจ

รักของเธอได้เริ่มใหม่ ฉันเข้าใจ",wan_thanakrit
ร้อยแก้ว (Slam Drunk),/music/thailyric/10899,"รวมแก้วที่แล้ว แก้วนี้เป็นแก้วที่ร้อย
แก้วสุดท้ายของคืนนี้ต้องใช้สองมือ ประคองไว้
แก้วที่แล้วฉันนั้นถือด้วยความวู่วาม
ทำหลุดมือจนน้ำตามันหล่นไป
แก้วนี้ต้องตั้งใจ นึกเรื่องที่แล้วมา

แก้วแรกที่พบ เพียงครั้งที่เราได้สบตา
แก้วที่คิดว่าความรักที่เคยคว้ามา ไม่ใช่ความฝัน
แก้วที่สองแก้วที่สามฉันคิดถึงเธอ
แก้วที่เธอไปคิดถึงใครคนนั้น
แก้วที่เธอทิ้งกัน แก้วที่ฉันเสียใจ

หมดไม่เหลือแล้ว แก้วของสองเรา
เหลือเพียงรอยร้าว ที่ฝากไว้
ฉันเสียเธอ และเสียใจ เธอรักใคร ไม่ใช่ฉัน
แก้วสุดท้ายนี้ ดื่มให้หัวใจ ที่ถูกลืมไป ไม่มีชิ้นดี
รักเราที่เคยมี มันไม่จริง

หนึ่งแก้วสุดท้าย เพราะรู้ว่าทนอีกไม่ไหว
แก้วที่พบว่าปัญหาไม่ได้มากมาย แค่เธอหลอกฉัน

แก้วที่สอนว่าความรักไม่ใช่ด้านเดียว
แก้วที่วางลงให้ไกลพ้นใจฉัน
แก้วที่ฉันรู้ทัน เมื่อฉันไม่เหลือใคร

อ่อนว่ะ แก้วแรกเธอยกเพียวอย่างโอชา
แก้วที่แปดเธอหวานผสมโคคาโคลา
แก้วสิบเอ็ดผสมหลงใหลกับโซดา
ยกแก้วสิบสี่ผสมน้ำผึ้ง ทุกครั้งที่เธอโทรมา
แก้วสิบห้าเราเต้นด้วยกัน เพราะมันม่วน
แก้วสิบหก สิบเจ็ด เธอเริ่มวางสายด้วยเสียงห้วนๆ
ผสมน้ำลายจากคำโกหกที่เธอบ้วน
ที่แก้วสิบเก้าผสมน้ำตา ที่แก้วยี่สิบถ้วน
ยกแก้วที่ยี่สิบสองเพราะอยากลบเธอออกจากสมอง
เพื่อนชวนยกแก้วที่สามสิบห้าบอกกลับมาโสดเราต้องฉลอง
หมดแก้วที่ห้าสิบแปดขอให้เธอกรรมตามสนอง
สุดท้ายนั่งดื่มลำพังแก้วที่เจ็ดสิบสอง
เจ้าของร้านออกมาไล่ ฉันเดินไปอ้วก
แปดสิบแก้วคอไหม้ ใจโดนไฟลวก
คว่ำแก้วที่เก้าสิบเก้า อีกแก้วจะพอแล้วพวก
หมดแก้วที่หนึ่งร้อยปาดน้ำตาที่ย้อย ชน

หมดไม่เหลือแล้ว แก้วของสองเรา
เหลือเพียงรอยร้าว ที่ฝากไว้
ฉันเสียเธอ และเสียใจ เธอรักใคร ไม่ใช่ฉัน
แก้วสุดท้ายนี้ ดื่มให้หัวใจ ที่ถูกลืมไป ไม่มีชิ้นดี
รักเราที่เคยมี มันไม่จริง

หนึ่งแก้วสุดท้าย เพราะรู้ว่าทนอีกไม่ไหว
แก้วที่พบว่าปัญหาไม่ได้มากมาย แค่เธอหลอกฉัน

แก้วที่สอนว่าความรักไม่ใช่ด้านเดียว
แก้วที่วางลงให้ไกลพ้นใจฉัน
แก้วที่ฉันรู้ทัน เมื่อฉันไม่เหลือใคร

แก้วที่สอนว่าความรักไม่ใช่ด้านเดียว
แก้วที่วางลงให้ไกลพ้นใจฉัน
แก้วที่ฉันรู้ทัน เมื่อฉันไม่เหลือใคร",wan_thanakrit
ระหว่างที่เธอจะจากไป,/music/thailyric/14228,"รู้ฉันรู้ดี สุดท้ายแล้วเราคง ต้องจากกัน
รักฉันรักเธอ สุดท้ายแล้วเราคง ทำได้แค่นั้น
รู้ฉันควรต้องเข้าใจ สุดท้ายแล้วเราคงต้องไป
แต่ทำไมใจยังไม่ยอมรับ

เพราะฉันก็ยังไม่รู้ว่านานเท่าไร
กว่าที่หัวใจฉันพร้อมจะทรมาน
ฉันขอแค่เพียงให้เธอนั้นรักฉันบ้าง
ระหว่างที่เธอจะจากไป
สักพักแค่เพียงให้ฉันแข็งแรงอีกหน่อย
แล้วฉันก็จะค่อยๆ หายไป
ตอนนี้ฉันยังไม่พร้อมจะเริ่มต้นใหม่
โปรดเถอะได้ไหม แค่เพียงอีกวัน

ใครว่าเวลา จะทำให้น้ำตา จางหาย
ร้องฉันร้องไห้ วันนี้ก็ร้องไห้
ไม่เห็นมันจางหายไป

รู้ฉันควรต้องเข้าใจ สุดท้ายแล้วเราคงต้องไป
แต่ทำไมใจยังไม่ยอมรับ

เพราะฉันก็ยังไม่รู้ว่านานเท่าไร
กว่าที่หัวใจฉันพร้อมจะทรมาน
ฉันขอแค่เพียงให้เธอนั้นรักฉันบ้าง
ระหว่างที่เธอจะจากไป

สักพักแค่เพียงให้ฉันแข็งแรงอีกหน่อย
แล้วฉันก็จะค่อยๆ หายไป
ตอนนี้ฉันยังไม่พร้อมจะเริ่มต้นใหม่
โปรดเถอะได้ไหม แค่เพียงอีกวัน",wan_thanakrit
นาที,/music/thailyric/8589,"จบลงไปแล้วหยุดเธอกับฉัน
แต่มันทนไม่ไหว
เหลือแค่ฉันคนเดียวที่ยังหายใจ
ทิ้งกันไว้เธอไม่มีวันย้อนมา

กลิ่นที่เคยคุ้น กอดที่เคยหวาน
ผ่านไปเร็วหนักหนา
ทิ้งฉันไว้ลำพังกับรอยน้ำตา
เธอรู้บ้างไหมว่าฉันมันลืมไม่ไหว

ขอแลกทุกอย่างที่มี เพื่อวินาทีของเธอ
ขอเจอคนที่รักเหลือเกินได้ไหม
ฉันแทบจะกราบอ้อนวอน
ร้องไห้จนเหือดหายไป
เสี้ยวนาทีเท่านั้นที่ต้องการ

จับมืออีกครั้งกอดเธอเอาไว้
บอกความในว่าฉัน
รักได้แค่เธอเพียงผู้เดียวชั่วกาล
อย่าทิ้งฉันไว้ตรงนี้ลำพังได้ไหม

ขอแลกทุกอย่างที่มี เพื่อวินาทีของเธอ
ขอเจอคนที่รักเหลือเกินได้ไหม
ฉันแทบจะกราบอ้อนวอน
ร้องไห้จนเหือดหายไป
เสี้ยวนาทีเท่านั้นที่ต้องการ

มันไม่จริงยังคงรอ พรุ่งนี้รอเธอคืนมา
ในเวลาที่ไม่เหลือใคร
โลกนั้นหมุนไปอย่างเยือกเย็นไม่มีหัวใจ
แบกความเดียวดายอ้างว้างเดินทางเฝ้าคอย

ขอแลกทุกอย่างที่มี เพื่อวินาทีของเธอ
ขอเจอคนที่รักเหลือเกินได้ไหม
ฉันแทบจะกราบอ้อนวอน
ร้องไห้จนเหือดหายไป
เสี้ยวนาทีเท่านั้นที่ต้องการ

ฉันแทบจะกราบอ้อนวอน
ร้องไห้จนเหือดหายไป
แค่สักนาทีที่ขอเธอคืนมา",wan_thanakrit
เพลงบังคับ,/music/thailyric/8656,"นี่คือเพลงบังคับ ที่จะบังคับให้เธอต้องฟัง
และนี่คือเพลงบังคับ ได้โปรดอย่าขัดขืนและจงเชื่อฟัง
เธอมีหน้าที่ฟังก็ฟังให้จบ ฉันมีหน้าที่ร้องจะร้องให้ฟัง
เป็นสิ่งที่พูดแทนใจฉันทุกอย่าง เรื่องราวที่เธอควรรู้

จะบังคับให้เธอฟังคำว่ารัก จะบังคับให้เธอลองเข้าใจฉัน
จะบังคับให้เธอเป็นหนึ่งคนสำคัญกับฉัน จะได้ไหม
จะบังคับเธอไปจนจบเพลงนี้ ต่อจากนี้จะลงเอยที่ตรงไหน
และสุดท้ายคงเป็นเธอจะตัดสินใจอย่างไร ก็คงไม่บังคับเธออยู่ดี

นี่คือเพลงบังคับ โดนบีบบังคับเธอจึงต้องฟัง
และนี่คือเพลงบังคับถ้าฟังจบเพลงแล้วเธอคงเข้าใจ
เธอมีหน้าที่ฟังก็ฟังให้จบ ฉันมีหน้าที่ร้องจะร้องให้ฟัง
เป็นสิ่งที่พูดแทนใจฉันทุกอย่าง เรื่องราวที่เธอควรรู้

จะบังคับให้เธอฟังคำว่ารัก จะบังคับให้เธอลองเข้าใจฉัน
จะบังคับให้เธอเป็นหนึ่งคนสำคัญกับฉัน จะได้ไหม
จะบังคับเธอไปจนจบเพลงนี้ ต่อจากนี้จะลงเอยที่ตรงไหน
และสุดท้ายคงเป็นเธอจะตัดสินใจอย่างไร ก็คงไม่บังคับเธออยู่ดี

คงไม่บังคับให้เธอรักกัน ก็คงไม่อาจฝืนใจ
เพียงแค่บังคับตัวเองไม่ไหว

จะบังคับให้เธอฟังคำว่ารัก จะบังคับให้เธอลองเข้าใจฉัน
จะบังคับให้เธอเป็นหนึ่งคนสำคัญกับฉัน จะได้ไหม
จะบังคับเธอไปจนจบเพลงนี้ ต่อจากนี้จะลงเอยที่ตรงไหน
และสุดท้ายคงเป็นเธอจะตัดสินใจอย่างไร
ไม่อยากบังคับใครอยู่แล้ว ก็คงไม่บังคับเธออยู่ดี",wan_thanakrit
คนไม่มีเวลา,/music/thailyric/5319,"ฉากเก่าๆ ยังจำไว้ในใจ
เคยรักเธอยังไง รักเธอดังเดิม
ภาพทุกภาพยังตามติดอยู่ไม่หายไป
เสียงหัวเราะบนความอ่อนไหว

เจ็บปวดรู้ไหม ไม่อยากเคลื่อนไหว
ไม่อยากทำร้ายใคร
มันยังไม่พร้อมมีใครใช่ไหม
จะขอรอเธออย่างเดิม

เธออยากกลับมาไหม
อยู่ตัวคนเดียวไม่เหลือใคร
เหงาเกินไปบ้างไหมเธอ
รออยู่ไม่ไปไหน ปล่อยให้เวลาผ่านฉันไป
เพราะลืมเธอไม่ไหวไม่ได้อยู่ดี

สิ่งใหม่ๆ ไม่เคยให้เข้ามา
คนไม่มีเวลา แม้นานยังไง
แค่พรุ่งนี้วันเดียวที่ตื่นมาหายใจ
และเพื่อพร้อมรอเธอต่อไป

เหน็ดเหนื่อยรู้ไหม ไม่อยากเคลื่อนไหว
ไม่อยากจะรักใคร
มันยังไม่พร้อมมีใครใช่ไหม
จะขอรักเธออย่างเดิม

เธออยากกลับมาไหม
อยู่ตัวคนเดียวไม่เหลือใคร
เหงาเกินไปบ้างไหมเธอ
รออยู่ไม่ไปไหน ปล่อยให้เวลาผ่านฉันไป
เพราะลืมเธอไม่ไหวไม่ได้อยู่ดี

ความทรงจำที่ดีฉันขอให้มันไม่หายไป
แต่เธอคงจะลืมเมื่อเธอมีใคร
กาลเวลาอาจมีเงื่อนไข
แต่แตกต่างจากใจของฉัน
ที่จะรอเพียงเธอเหมือนเดิม

ยังรออยู่ไม่ไปไหน
ปล่อยให้เวลาผ่านฉันไป
ฉันลืมเธอไม่ไหวไม่ได้อยู่ดี",wan_thanakrit
