song_name,href,lyric,artist
ก็พอ,/music/thailyric/14777,"ฉันขอแค่ฝันเท่านั้นเองไม่มากมาย
ขอฝันได้ไหมต้องจ่ายตังค์ หรือเปล่า

เธอบอกว่าฉันคงผิดหวัง
ไม่มีทางใดที่เราจะรักจะผูกพัน
ฉันบอกว่าฉันเองก็รู้
ฉันเองเป็นเพียงแค่คนเคยๆ เห็นกัน

ฉันขอแค่ฝันเท่านั้นเองไม่มากมาย
ขอฝันได้ไหมต้องจ่ายตังค์ หรือเปล่า
ไม่ต้องมารักไม่ต้องมีเรื่องราว
แค่นี้ให้ได้หรือเปล่า ให้รักเธอ

ก็ไม่มีอะไรดี ไม่ดีพอสักอย่าง
อย่างฉันนั้นคงยังห่าง ห่างไกลชีวิตเธอ
แต่ถ้าเป็นความจริงใจ ฉันจริงใจเสมอ
ไม่ต้องการใจของเธอ ปล่อยให้ฉันได้รักเธอ ก็พอ

ขอบอกว่าฉันไม่ผิดหวัง
เพราะมันไม่มีอะไรให้หวังเลยสักอัน
ความสุขของฉันมีเท่านี้
ได้มองไกลๆ ก็พอไม่ขอใกล้กัน

ฉันขอแค่ฝันเท่านั้นเองไม่มากมาย
ขอฝันได้ไหมต้องจ่ายตังค์ หรือเปล่า
ไม่ต้องมารักไม่ต้องมีเรื่องราว
แค่นี้ให้ได้หรือเปล่า ให้รักเธอ

ก็ไม่มีอะไรดี ไม่ดีพอสักอย่าง
อย่างฉันนั้นคงยังห่าง ห่างไกลชีวิตเธอ
แต่ถ้าเป็นความจริงใจ ฉันจริงใจเสมอ
ไม่ต้องการใจของเธอ ปล่อยให้ฉันได้รักเธอ ก็พอ

Yo Yo DAJIM in the House
Yes sir hey
Yes'sir days come on
หล่อนพูดมาได้ยังไง อย่าทำเป็นหมามองเครื่องบิน
ไม่เคยคุย ไม่เคยคบ ไม่เคยลอง ไม่เคยกิน
เธอบอกให้ฝันไปก่อนนะ เวลานอนจะได้ฟิน
กำลังอิน กำลังจิ้น สะดุ้งตื่น กำลังจะเข้าวิน เฮ้ย
สมัครงานยังได้โอกาสสัมภาษณ์
สมัครรักครั้งแรกก็ยังไม่ได้โอกาส
ไอ้เราไม่ดีตรงไหน ก็แล้วเมื่อไรจะมีคู่ใจมานอนกอด
แอนด์ ป๊าบ ป๊าบ ป๊าบ

ก็ไม่มีอะไรดี ไม่ดีพอสักอย่าง
อย่างฉันนั้นคงยังห่าง ห่างไกลชีวิตเธอ
แต่ถ้าเป็นความจริงใจ ฉันจริงใจเสมอ
ไม่ต้องการใจของเธอ ปล่อยให้ฉันได้รักเธอ

ก็ไม่มีอะไรดี ไม่ดีพอสักอย่าง
อย่างฉันนั้นคงยังห่าง ห่างไกลชีวิตเธอ
แต่ถ้าเป็นความจริงใจ ฉันจริงใจเสมอ
ไม่ต้องการใจของเธอ ปล่อยให้ฉันได้รักเธอ ก็พอ",yes_sir_days
การมาของเธอ,/music/thailyric/8733,"ใครผ่านมา ผ่านไป ไม่มีรักจริงสักคน
ใครก็เข้ามา หลอกกัน จนไม่รู้ว่ากี่หน
ใจเหนื่อยไป เหนื่อยมา กับชีวิตที่วกวน
ใครจะเข้ามา ไม่ออกไป อยากจะพบรักสักคน

ที่บนฟ้าไม่มี แค่สักคน ที่บนนั้นไม่มี
แล้วหรือไง ความรักที่ดี ถามสักที ใครเก็บไว้

ฉันรออยู่ ฉันรออยู่ ฉันรอบางคนมาอย่างเนิ่นนาน
ฉันมองอยู่ ฉันดูอยู่ สักคนที่ตรงใจอย่างฉันต้องการ
สักคนที่คงจะไม่ผ่านไป สักคนที่คงไม่ทำร้ายหลอกกัน
และคนๆ เดียวที่จะเจอคนนั้น จะต้องรอจะต้องคอยอีกเท่าไหร่

เธอผ่านมา ก่อนไป หยุดตรงนี้สักทีก่อน
เธออย่าเพิ่งเลย ผ่านไป อยากให้รู้ใจมันร้อน
ใครผ่านมา ผ่านไป ก็ไม่เห็นเป็นมาก่อน
เธอเมื่อเข้ามา อย่าเพิ่งไป เปลี่ยนชีวิตฉันสักตอน

ที่บนฟ้าไม่มี ใครสักคน ที่ตรงนั้นจะมีได้ยังไง
ความรักที่ดี ฉันว่าเธอ มีเก็บไว้

ฉันรออยู่ ฉันรออยู่ ฉันรอการมาของเธอเนิ่นนาน
ฉันมองอยู่ ฉันดูอยู่ ว่าคงเป็นเธอคนที่ฉันต้องการ
สักคนที่คงจะไม่ผ่านไป สักคนที่คงไม่ทำร้ายหลอกกัน
และคนๆ เดียวที่จะเป็นคนนั้น บอกได้เลยว่าคือเธอไม่ใช่ใคร

ฉันรออยู่ ฉันรออยู่ ฉันรอการมาของเธอเนิ่นนาน
ฉันมองอยู่ ฉันดูอยู่ ว่าคงเป็นเธอคนที่ฉันต้องการ
สักคนที่คงจะไม่ผ่านไป สักคนที่คงไม่ทำร้ายหลอกกัน
และคนๆ เดียวที่จะเป็นคนนั้น บอกได้เลยว่าคือเธอเท่านั้น

สักคนที่คงไม่ทำร้ายหลอกกัน และคนๆ เดียวที่จะเป็นคนนั้น
บอกได้เลยว่าคือเธอไม่ใช่ใคร ไม่ใช่ใคร
เธอ เมื่อเข้ามา อย่าเพิ่งไป เปลี่ยนชีวิตฉันได้ไหม",yes_sir_days
ใกล้เกินไป,/music/thailyric/11152,"คำถามในใจยังคงชัดเจน
เหตุใดเธอจึงไม่เคยเห็นความจริงใจของฉัน
รักที่มีให้กัน เธอไม่เคยรู้

เก็บไว้ในใจมานานแสนนาน
ต้องทรมานกับคำว่าเพื่อนที่คอยกีดกัน
ไม่ให้รักของฉันมันส่งถึงเธอ

เหมือนใกล้เท่าไร ยิ่งไม่ชัดเจน
เธอยิ่งไม่เห็น ยิ่งมองข้ามไป
มันปวดร้าว หัวใจขนาดไหน

ทุกสิ่งที่ทำให้ไป เธอไม่เคยรู้
ไม่เคยจะลองคิดดู ว่ามีความรัก
อยู่ใกล้ๆ เธอ อยู่ตรงนี้เสมอทุกลมหายใจ
มันเจ็บที่ทำเท่าไร ไม่มีความหมาย
อึดอัดในใจแทบตาย
ก็ทำได้เพียงแค่เก็บไว้
ฉันมันคงอยู่ใกล้เกินไป

หากรู้ว่าวันหนึ่งจะรักเธอ
หากรู้ว่าวันหนึ่งฉันต้องเผลอใจไปอย่างนั้น
ฉันคงไม่มีวันจะเป็นเพื่อนเธอ

เหมือนใกล้เท่าไร ยิ่งไม่ชัดเจน
เธอยิ่งไม่เห็น ยิ่งมองข้ามไป
มันปวดร้าว หัวใจขนาดไหน

ทุกสิ่งที่ทำให้ไป เธอไม่เคยรู้
ไม่เคยจะลองคิดดู ว่ามีความรัก
อยู่ใกล้ๆ เธอ อยู่ตรงนี้เสมอทุกลมหายใจ
มันเจ็บที่ทำเท่าไร ไม่มีความหมาย
อึดอัดในใจแทบตาย
ก็ทำได้เพียงแค่เก็บไว้
ฉันมันคงอยู่ใกล้เกินไป

ทุกสิ่งที่ทำให้ไป เธอไม่เคยรู้
ไม่เคยจะลองคิดดู ว่ามีความรัก
อยู่ใกล้ๆ เธอ อยู่ตรงนี้เสมอทุกลมหายใจ
มันเจ็บที่ทำเท่าไร ไม่มีความหมาย
อึดอัดในใจแทบตาย
ก็ทำได้เพียงแค่เก็บไว้
ฉันมันคงอยู่ใกล้เกินไป",yes_sir_days
คำตอบที่เธอเลือก,/music/thailyric/13574,"ฉันก็ไม่รู้จะเอาชนะเขายังไง
แค่เห็นคำตอบในแววตาของเธอ
คือฉันนั้นเสียเธอไปนานแล้ว
ฉันนั้นจะทำเพื่อให้เธอคืนมา
แต่เธอจะยอมตัดใจจากเขา
แล้วกลับมาไหม

ความรักเคยมีแค่เราสอง วันนี้กับมีมือที่สาม
มันจะเป็นไปได้ไง เมื่อเธอมีใคร
ต่อให้ฉันพยายามที่จะดึงที่จะฉุดรั้งเธอ

คำตอบที่เธอเลือกไปแล้ว แล้วฉันจะทำเช่นไร
ร้องไห้จะเป็นจะตายเธอก็คงไม่แคร์
เธอเลือกให้ฉันพ่ายแพ้
ก้มตัวล้มลงกอดขายังไงเธอก็ไม่แล
ไม่มีทางให้ฉันเลือกเลยจริงๆ

เสียงหัวใจที่แผ่วเบาจะเดินต่อไปยังไง
เมื่อฉันไม่เคยได้เตรียมใจ
รู้ตัวเมื่อเธอยืนกอดกัน
กับเขาแล้ว ก็คงชัดเจน

ความรักเคยมีแค่เราสอง วันนี้กับมีมือที่สาม
มันจะเป็นไปได้ไง เมื่อเธอมีใคร
ต่อให้ฉันพยายามที่จะดึงที่จะฉุดรั้งเธอ

คำตอบที่เธอเลือกไปแล้ว แล้วฉันจะทำเช่นไร
ร้องไห้จะเป็นจะตายเธอก็คงไม่แคร์
เธอเลือกให้ฉันพ่ายแพ้
ก้มตัวล้มลงกอดขายังไงเธอก็ไม่แล
ไม่มีทางให้ฉันเลือกเลยจริงๆ

คำตอบที่เธอเลือกไปแล้ว แล้วฉันจะทำเช่นไร
ร้องไห้จะเป็นจะตายเธอก็คงไม่แคร์
เธอเลือกให้ฉันพ่ายแพ้
ก้มตัวล้มลงกอดขายังไงเธอก็ไม่แล
ไม่มีทางให้ฉันเลือกเลยจริงๆ

คำตอบที่เธอเลือกไปแล้ว แล้วฉันจะทำเช่นไร
ร้องไห้จะเป็นจะตายเธอก็คงไม่แคร์
เธอเลือกให้ฉันพ่ายแพ้
ก้มตัวล้มลงกอดขายังไงเธอก็ไม่แล
ไม่มีทางให้ฉันเลือกเลยจริงๆ",yes_sir_days
คู่กรณี,/music/thailyric/10892,"มันหวั่นไหวทุกทีกับรอยยิ้มเธอ
ทำเอาเพ้อทุกทีที่สบสายตา
อยากทักทาย อยากพูดจา
แต่ไม่กล้าพอเลยสักที

ลองกลับไปค้นตำรา ลองปรึกษาใครๆ
เผื่อจะมีทางใดให้เธอนั้นหันมา
ก็ไม่รู้จริงๆ ว่าทุกครั้งที่สบตา
เธอจะมีอาการอย่างฉันไหม

ช่วยบอกทีได้ไหม อยากจะรู้ว่าในหัวใจ
เธอจะคิดตรงกันหรือไม่
เพราะฉันก็ไม่แน่ใจ กับท่าทีที่เธอส่งมา

ช่วยบอกทีได้ใหม บอกให้รู้ความจริงข้างใน
ส่งสัญญาณว่าเธอนั้นเองก็มีใจ ให้มันชัดเจนกันไป
ถ้าเธอคิดตรงกัน เธอก็ช่วยมาเคลียร์กับฉันที

เป็นคำถามที่ยังก่อกวนหัวใจ
อยากจะรู้ว่าเธอหน่ะ คิดยังไง
ได้แค่มอง ไม่กล้าลอง
ไม่รู้ต้องทำอย่างไร

เลยกลับไปค้นตำรา ลองปรึกษาใครๆ
เผื่อจะมีทางใดให้เธอนั้นหันมา
ก็ไม่รู้จริงๆ ว่าทุกครั้งที่สบตา
เธอจะมีอาการอย่างฉันไหม

ช่วยบอกทีได้ไหม อยากจะรู้ว่าในหัวใจ
เธอจะคิดตรงกันหรือไม่
เพราะฉันก็ไม่แน่ใจ กับท่าทีที่เธอส่งมา

ช่วยบอกทีได้ใหม บอกให้รู้ความจริงข้างใน
ส่งสัญญาณว่าเธอนั้นเองก็มีใจ ให้มันชัดเจนกันไป
ถ้าเธอคิดตรงกัน เธอก็ช่วยมาเคลียร์กับฉันที

โวะโอะโอ อุโวะโอะโอ (ช่วยบอกทีได้ไหม)
โวะโอะโอ อุโวะโอะโอ (ว่าเธอคิดตรงกันหรือไม่)
โวะโอะโอ อุโวะโอะโอ (อยากจะรู้)
โวะโอะโอ อุโว

ช่วยบอกทีได้ไหม อยากจะรู้ว่าในหัวใจ
เธอจะคิดตรงกันหรือไม่
เพราะฉันก็ไม่แน่ใจ กับท่าทีที่เธอส่งมา

ช่วยบอกทีได้ใหม บอกให้รู้ความจริงข้างใน
ส่งสัญญาณว่าเธอนั้นเองก็มีใจ ให้มันชัดเจนกันไป
ถ้าเธอคิดตรงกัน เธอก็ช่วยมาเคลียร์กับฉันที",yes_sir_days
ฆาตกรต่อเนื่อง,/music/thailyric/12481,"เธอยังทำ เหมือนไม่มีอะไร ที่เธอทำลายหัวใจเกินจะทน
ไม่มีเหตุผลที่คนคนหนึ่งจะต้องทน แต่ก็ต้องทนต่อไป
ให้คนอื่นมองว่าฉันมันงมงาย โดนเธอทำร้ายยังโง่ที่จะยอม
ในความเป็นจริงก็รู้ว่ายังไม่พร้อม จะหนีไป

ก็ไอ้ความรักคำเดียว นี่แหละปัญหา
จะต้องเสียน้ำตาสักเท่าไร
ตัดใจไม่ได้เลย เหมือนมีดกรีดหัวใจ
ถูกบีบคั้นจะเป็นจะตายก็ต้องยอม

ก็ไอ้ความรักคำเดียว นี่แหละปัญหา
ที่เธอใช้มันมาให้ความหวัง
ว่าเธอนั้นต้องเปลี่ยน คงต้องมีสักวัน
แต่สุดท้ายเธอกลายเป็นเหมือน
ฆาตกรหลอกลวง ฆ่าฉันทุกวัน

ไม่รู้เมื่อไร ที่ฉันจะเกิดใหม่
ไม่วนกลับไปสู่เส้นทางเดิมๆ
จะเริ่มทำใจยอมรับความจริงวันไหน ไม่รู้เลย

ก็ไอ้ความรักคำเดียว นี่แหละปัญหา
จะต้องเสียน้ำตาสักเท่าไร
ตัดใจไม่ได้เลย เหมือนมีดกรีดหัวใจ
ถูกบีบคั้นจะเป็นจะตายก็ต้องยอม

ก็ไอ้ความรักคำเดียว นี่แหละปัญหา
ที่เธอใช้มันมาให้ความหวัง
ว่าเธอนั้นต้องเปลี่ยน คงต้องมีสักวัน
แต่สุดท้ายเธอกลายเป็นเหมือนฆาตกร
หลอกลวง ฆ่าฉันทุกวัน

วังวนแห่งความรักที่ยังวนกลับมา
ยังคงสร้างปัญหา ให้ฉันต้องตายทั้งเป็น
เธอเองก็รู้ว่า ฉันน่ะรักเธอ ยังทำร้ายกันอยู่ดี
ยังทำร้ายกันอยู่ดี ยังทำร้ายกันอยู่ดี
มันคงมีสักทางที่ฉันจะหลุดพ้นไม่ให้เธอทำร้ายกันอย่างนี้

ก็ไอ้ความรักคำเดียว นี่แหละปัญหา
จะต้องเสียน้ำตาสักเท่าไร
ตัดใจไม่ได้เลย เหมือนมีดกรีดหัวใจ
ถูกบีบคั้นจะเป็นจะตายก็ต้องยอม
ก็ไอ้ความรัก คำเดียว นี่แหละปัญหา

ที่เธอใช้มันมาให้ความหวัง ว่าเธอนั้นต้องเปลี่ยน
คงต้องมีสักวัน แต่สุดท้ายเธอกลายเป็นเหมือนฆาตกร
หลอกลวง ฆ่าฉันทุกวัน",yes_sir_days
เจ็บไปรักไป,/music/thailyric/8828,"เสียงที่เธอบอกคำว่ารักจากวันนั้นยังดังในหัวใจ
ไออุ่นนั้นที่เธอกอดฉันมันยังไม่จางหายไป
เรื่องเดียวที่เปลี่ยนแต่ฉันไม่รู้ว่าเหตุผลมันคืออะไร
ได้แต่แบกรับความเจ็บไว้ที่เธอไม่เป็นคนเดิม

เธออาจไม่รู้สึกตัว ว่าเธอทำร้ายหัวใจฉันเท่าไหร่
ที่เธอลืมฉันคนนี้ที่เคยรักเคยขอให้ฝากหัวใจ

เจ็บแค่ไหน ปวดใจเท่าไรไม่รู้
เหตุใดหัวใจยังรักเธออยู่ก็ตอบตัวเองไม่ได้
อยากหนีหลบไปให้ไกลแต่ฉันก็หนีไม่เคยได้
คงต้องทนให้ไหวที่ต้องเจ็บไปรักไปจนตาย

หรือว่าเธอหลอกคำว่ารักแต่ว่าฉันเชื่อเธอทั้งหัวใจ
ไม่อยากคิดให้เป็นแบบนั้นเธอคงไม่ใจร้ายไป
ฉันเดาไม่ถูกแต่อยากจะรู้ว่าเหตุผลมันคืออะไร
ได้แต่แบกรับความเจ็บไว้ที่เธอไม่เป็นคนเดิม

เธออาจไม่รู้สึกตัว ว่าเธอทำร้ายหัวใจฉันเท่าไหร่
ที่เธอลืมฉันคนนี้ที่เคยรักเคยขอให้ฝากหัวใจ

เจ็บแค่ไหน ปวดใจเท่าไรไม่รู้
เหตุใดหัวใจยังรักเธออยู่ก็ตอบตัวเองไม่ได้
อยากหนีหลบไปให้ไกลแต่ฉันก็หนีไม่เคยได้
คงต้องทนให้ไหวที่ต้องเจ็บไปรักไปจนตาย

เธออาจไม่รู้สึกตัว ว่าเธอทำร้ายหัวใจฉันเท่าไหร่
ที่เธอลืมฉันคนนี้ที่เคยรักเคยขอให้ฝากหัวใจ

เจ็บแค่ไหน ปวดใจเท่าไรไม่รู้
เหตุใดหัวใจยังรักเธออยู่ก็ตอบตัวเองไม่ได้

อยากหนีหลบไปให้ไกลแต่ฉันก็หนีไม่เคยได้
คงต้องทนให้ไหวที่ต้องเจ็บไปรักไปจนตาย

คงต้องเจ็บไปรักไปจนตาย",yes_sir_days
ใจ (ไม่) ร้าย,/music/thailyric/20132,"อยากให้มันชิน แต่มันก็ยังไม่ชินสักที
เจ็บมาเท่าไร ก็เจ็บมานานจนถึงวันนี้
มีบ้างไหมหัวใจดีๆ ถ้าใครเห็นช่วยบอกฉันที

เมื่อได้เจอเธอ ก็ตอบคำถามที่มีในใจ
กับใจเดิมๆ ก็กลายเป็นเธอที่รับมันไว้
เธอทำให้ฉันได้เริ่มต้นใหม่ แค่อยากจะถามเธอให้แน่ใจ

คือเธอใช่ไหมที่จะไม่ใจร้าย
คือเธอใช่ไหมที่ฉันจะรักได้
จะให้ไปหมดใจ จะให้ไปหมดตัว
ถ้าเธอไม่ ใจร้าย

ไม่ได้ลังเล แต่อยากจะขอแค่ความมั่นใจ
ไม่อยากเอาคืน ถ้าเธอได้ใจของฉันเก็บไว้
แค่เธอย้ำให้ฉันมั่นใจ และบอกได้ไหมว่ามันใช่เธอ

คือเธอใช่ไหมที่จะไม่ใจร้าย
คือเธอใช่ไหมที่ฉันจะรักได้
จะให้ไปหมดใจ จะให้ไปหมดตัว
ถ้าเธอไม่ ใจร้าย

แค่อยากจะรักเธอให้นาน
แค่บอกกับฉัน ให้ฉันมั่นใจ

คือเธอใช่ไหมที่จะไม่ใจร้าย
คือเธอใช่ไหมที่ฉันจะรักได้
จะให้ไปหมดใจ จะให้ไปหมดตัว
ถ้าเธอไม่ ใจร้าย

ไม่ใจร้าย ให้ฉันรักได้
จะให้ไปหมดใจ จะให้ไปหมดตัว
ขอได้โปรดอย่าใจร้าย",yes_sir_days
ปั่น,/music/thailyric/10606,"เขาบอกดี (เธอก็เชื่อทุกอย่าง)
เขาบอกเลว (เธอก็เชื่อไปตาม)
เขาว่าขาว (เธอไม่เห็นเป็นดำ)
เขาด่าฉัน (เธอก็เชื่อทุกที)
ฉันทุ่มเท (เธอไม่เห็นสักอย่าง)
เขาถากถาง (การกระทำของฉัน)
เขาปรักปรำ (เธอก็เชื่อทุกคำ)
ถามหน่อยฉัน (จะต้องทำยังไง)

เหนื่อยมันท้อ ต้องทน กับคนที่คอยปั่น
เขาเป็นใคร อยากรู้เหมือนกัน บอกฉันที

รักจนจะเป็น จนจะตาย เธอก็ยังไม่คิด
ทำอะไร ทำลงไป มันก็ยังพ่ายแพ้
คำบางคำ ของคนบางคน ต้องทน อยู่ทุกวัน
ต่อให้รักจนจะเป็นจนจะตาย เธอก็ยังไม่คิด
ทำอะไร ทำลงไป เธอก็ยังไม่สน
เธอก็ยังเชื่อคนที่เขาไม่รู้จักฉัน

ฉันไม่รู้ (เขาคนนั้นเป็นใคร)
ฉันไม่รู้ (มันก็ยังสงสัย)
เขาบอกมา (เธอก็เชื่อกันไป)
ฉันปวดใจ (เธอก็ทำไม่สน)

เหนื่อยมันท้อ ต้องทน กับคนที่คอยปั่น
เขาเป็นใคร อยากรู้เหมือนกัน บอกฉันที

รักจนจะเป็น จนจะตาย เธอก็ยังไม่คิด
ทำอะไร ทำลงไป มันก็ยังพ่ายแพ้
คำบางคำ ของคนบางคน ต้องทน อยู่ทุกวัน
ต่อให้รักจนจะเป็นจนจะตาย เธอก็ยังไม่คิด
ทำอะไร ทำลงไป เธอก็ยังไม่สน
เธอก็ยังเชื่อคนที่เขาไม่รู้จักฉัน

เหนื่อยมันท้อ ต้องทน กับคนที่คอยปั่น
เขาเป็นใคร อยากรู้เหมือนกัน บอกฉันที

รักจนจะเป็น จนจะตาย เธอก็ยังไม่คิด
ทำอะไร ทำลงไป มันก็ยังพ่ายแพ้
คำบางคำ ของคนบางคน ต้องทน อยู่ทุกวัน
ต่อให้รักจนจะเป็น จนจะตาย เธอก็ยังไม่คิด
ทำอะไร ทำลงไป เธอก็ยังไม่สน
เธอก็ยังเชื่อคนที่เขาไม่รู้จักฉัน",yes_sir_days
แผลที่ไม่มีวันหาย,/music/thailyric/9084,"ไม่ว่านานเท่าไหร่
แผลข้างในหัวใจมันยังไม่เคยลบเลือน
แม้ฉันพบเจอใคร
ก็ไม่ทำให้ใจมันดีขึ้นมามันยังเหมือน

วันที่เธอทิ้งฉันไป
เมื่อไหร่ก็เหมือนเก่า ความเจ็บนั้นยังตาม
ติดตัวเป็นเหมือนเงา ก็ไม่รู้ทำไม
เมื่อไหร่จะบรรเทาความเจ็บนี้ ที่อยู่ในหัวใจ

ทำไมยังต้องรักเธออยู่ ยังคิดถึงเธออยู่
ยังเห็นเธออยู่ ในความฝัน
วันที่เธอทิ้งฉันไป ทุกอย่างก็เปลี่ยนผัน
มีแต่แผลที่อยู่กลางใจฉัน ที่มันไม่เปลี่ยนไป

แม้ร่ำร้องเท่าไหร่
ก็ไม่ทำให้ใจเธอคืนมาเหมือนวันวาน
ฉันคิดถึงเท่าไหร่
ก็ได้แต่แค่รอคอยเธอมาในความฝัน

วันที่เธอทิ้งฉันไป
เมื่อไหร่ก็เหมือนเก่า ความเจ็บนั้นยังตาม
ติดตัวเป็นเหมือนเงา ก็ไม่รู้ทำไม
เมื่อไหร่จะบรรเทาความเจ็บนี้ ที่อยู่ในหัวใจ

ทำไมยังต้องรักเธออยู่ ยังคิดถึงเธออยู่
ยังเห็นเธออยู่ ในความฝัน
วันที่เธอทิ้งฉันไป ทุกอย่างก็เปลี่ยนผัน
มีแต่แผลที่อยู่กลางใจฉัน ที่มันไม่เปลี่ยนไป

วันที่เธอทิ้งฉันไป
เมื่อไหร่ก็เหมือนเก่า ความเจ็บนั้นยังตาม
ติดตัวเป็นเหมือนเงา ก็ไม่รู้ทำไม
เมื่อไหร่จะบรรเทาความเจ็บนี้ ที่อยู่ในหัวใจ

ทำไมยังต้องรักเธออยู่ ยังคิดถึงเธออยู่
ยังเห็นเธออยู่ ในความฝัน
วันที่เธอทิ้งฉันไป ทุกอย่างก็เปลี่ยนผัน
มีแต่แผลที่อยู่กลางใจฉัน
ที่มันไม่เปลี่ยนไป

มันเป็นแผลที่ไม่มีวันหาย
มันเป็นแผลที่ไม่มีวันหาย
มันยังเป็นแผล",yes_sir_days
